GEN.1.1	Kuwaripatjara mulapa Godalu ilkaṟi munu manta palyaṉu uwankara wiyangka. 
GEN.5.3+GEN.5.4	Ka Adamanya yiya tjuṯa 130 nyinanytjatjanu piṟuku katjatjararingu, ka katja nyanga paluṟu mama puṟunypa alatjiṯu, ka palunya ininu Tjiitjinya. Munu nyara palula maḻangka Adamanya piṟuku yiya tjuṯa mulapa nyinangi nampa 800 munu tjitji kutjupa tjuṯatjararingangi. 
GEN.5.5	Munu paluṟu tjiḻpi mulararira kutju ilungu yiya 930 nyinanytjatjanu rawa mulapa.
GEN.5.6+GEN.5.7+GEN.5.8	Ka Tjiitjinya puḻkaringkula yiya tjuṯaṯu nyinangi, munu 105 nyinanytjatjanu katjatjararingu munu katja palunya ininu Inatjanya. Munu palula maḻangka paluṟu piṟuku yiya tjuṯa mulapa nyinangi nampa 807 munu tjitji kutjupa tjuṯatjararingangi. Munu ngula mulapalta ilungu yiya 912 nyinanytjatjanu rawa mulapa.
GEN.5.9+GEN.5.10+GEN.5.11	Ka wati panya Inatjanya yiya 90 nyinanytjatjanu katjatjararingu munu palunya ininu Kinannga. Munu paluṟu piṟuku yiya tjuṯa mulapa nyinangi nampa 815 munu tjitji kutjupa tjuṯatjararingangi. Munu paluṟu ngula mulapalta ilungu yiya 905 nyinanytjatjanu rawa mulapa.
GEN.5.12+GEN.5.13+GEN.5.14	Ka wati panya Kinannga yiya 70 nyinanytjatjanu katjatjararingu munu palunya ininu Maalalilnga. Munu nyara palula maḻangka paluṟu yiya tjuṯa mulapaṯu nyinangi nampa 840 munu tjitji kutjupa tjuṯatjararingangi. Munu paluṟu ngula mulapalta ilungu yiya 910 nyinanytjatjanu rawa mulapa.
GEN.5.15+GEN.5.16+GEN.5.17	Ka wati Maalalinya yiya nampa 65 nyinanytjatjanu katjatjararingu munu palunya ininu Tjaṟitanya. Munu palula maḻangka piṟuku yiya tjuṯa mulapa nyinangi nampa 830 munu tjitji kutjupa tjuṯatjararingangi. Munu paluṟu ngula mulapalta ilungu yiya 895 nyinanytjatjanu rawa mulapa.
GEN.5.18+GEN.5.19+GEN.5.20	Ka Tjaṟitanya yiya tjuṯaṯu nyinangi munu 162 nyinanytjatjanu katjatjararingu munu palunya ininu Inakanya. Munu palula maḻangka paluṟu piṟuku yiya tjuṯa mulapa nyinangi nampa 800 munu tjitji kutjupa tjuṯatjararingangi. Munu palulanguṟu tjiḻpi mulararira ilungu yiya tjuṯa mulapa nyinanytjatjanu nampa 962.
GEN.5.21+GEN.5.22	Ka wati panya Inakanya yiya 65 nyinanytjatjanu katjatjararingu munu palunya ininu Mitjutjilanya. Munu palula maḻangka Inakanya pula Godanya maḻpaṟara nyinangi yiya tjuṯa mulapa nampa 300, munu paluṟu tjitji kutjupa tjuṯatjararingangi. 
GEN.5.23+GEN.5.24	Paluṟu panya Godaku maḻpa tiṯutjara nyinangi palula tjungu, munu yiya nampa 365 nyinanytjatjanu paluṟu ilunytja wiya arkayiringu, panya Godalu palunya kultukaṯangku wanka mantjinu ngarira ilunytja wiyaṯu.
GEN.5.25+GEN.5.26+GEN.5.27	Ka wati panya Mitjutjilanya yiya nampa 187 nyinanytjatjanu katjatjararingu munu katja palunya ininu Lamikanya. Munu palula maḻangka piṟuku yiya tjuṯa mulapa nyinangi nampa 782, munu tjitji kutjupa tjuṯatjararingangi. Munu paluṟu rawa mulapa nyinara ngula mulapa ilungu yiya nampa 969 nyinanytjatjanu.
GEN.5.28+GEN.5.29	Ka wati panya Lamikanya yiya nampa 182 nyinanytjatjanu katjatjararingu munu palunya ininu Noah-nya munu wangkangu, “Mayatja Godalu panya manta kuraṉu, kala palulanguṟu maikitja puḻkaṟa mulapa waṟkarira pakuringkupai. Palu tjitji nyanga Noah-lu puḻkaringkula ngalinya pakuringkunyangka paku wiyalku pukuḻpa nyinanytjaku.” Alatji paluṟu wangkara ininu Noah-nya. 
GEN.5.30+GEN.5.31	Munu tjitji palunya mantjintjatjanu maḻangka Lamikanya piṟuku yiya tjuṯa mulapa nyinangi munu tjitji kutjupa tjuṯatjararingangi. Munu paluṟu ngula mulapalta ilungu yiya tjuṯa mulapa nyinanytjatjanu nampa 777.
GEN.5.32	Ka wati Noah-nya yiya tjuṯa mulapalta nyinangi nampa 500 munu palulanguṟu katjatjararingu munu palunya ininu Tjimanya. Munu palulanguṟu katja kutjupa kanyinu ini Aamanya munu piṟuku kutjupa kanyinu ini Tjaipitjanya.
GEN.6.1+GEN.6.2	Kaya tjitji tjuṯatjararingkula aṉangu winki mulararingu munuya manta winkingka ma-nyinara waṉaningi. Kaya nyara palula aṟangka ilkaṟitja tjuṯangku aṉangu tjuṯaku uṉṯalpa tjuṯa nyangangi, munuya yunpa wiṟuku nyakula puḻkaṟa mukuringangi palunya tjananya aḻṯinytjikitja, munuya kuṉṯawiyangku aḻṯingi tjana mukuringkula. 
GEN.6.3	Ka Mayatja Godalu nyangatja nyakula tjituṟu-tjituṟuringu munu alatji wangkangu, “Nyanga palulanguṟuya aṉangu tjuṯa kuwari ngayuku kuruntjara tiṯutjara nyinanytja wiyaringkuku, panya paluṟu tjana iltjanpatjara kutju mantangka nyinapai unytju. Palulanguṟuya aṉangu tjuṯa kuwari iṯinguṟu puḻkaringkula yiya 120 kutju nyinanytjatjanu wiyaringkuku, ngaṉmanyitja tjuṯa puṟunypa rawa mulapa nyinanytja wiya.”
GEN.6.4	Ka nyara palula aṟangka munu maḻangka kuḻu aṉangu puḻka tjuṯa nyinangi ini Nipilima, panya ilkaṟitja tjuṯaya aṉanguku uṉṯalpa tjuṯangka tjunguringangi, kaya tjanampa tjitji tjuṯa kanyiningi ini Nipilima tjuṯa. Kaya aṉangu tjuṯangku kuwari wati Nipilima tjuṯa kulilpai iriti nyinanytja, munuya tjananya mirawaṉipai wati mirpaṉtju puḻka tjuṯa, kutjupa uwankarangka waintarinytja.
GEN.6.5+GEN.6.6	Ka Godalu aṉangu tjuṯa puḻkaṟa kuraringkunyangka nyangangi, panya paluṟu tjana tiṯutjarangku kura kutju kulilpai palyanyku nyinanytjikitjangku kulilwiyangku. Ka Godanya puḻkaṟa tjituṟu-tjituṟuringu puṯu palya nyakula munu kulinu, “Nyaakuṉa panyatja aṉangu nyanganpa palyaṟa tjunu mantangka?” 
GEN.6.7	Munu palulanguṟu wangkangu, “Aṉangu nyanga ngayulu palyantja uwankaraṉa kuwari iluntaṟa wiyalku, kuka tjuṯa, mantangka para-ngaṟapai tjuṯa, tjuḻpu tjuṯa kuḻukuḻu uwankara mulapa. Panya ngayulu palyantjatjanu kuwari puḻkaṟa tjituṟu-tjituṟuringu. Utiṉa panyatja tjananya palyantja wiyangku wantima.” Alatji Mayatja Godalu tjituṟu-tjituṟurira wangkangu. 
GEN.6.8	Palu wati kutjuku Mayatjanya nyakula pukuḻaringu tjukaṟuru nyinanyangka, wati panya ini Noah-ku.
GEN.6.9	Ka nyangatja tjukurpa panya Noah-nyatjara. Panya paluṟu kutju wati tjukaṟuru nyinapai, palya mulapa, ka aṉangu tjuṯangku palunya kura puṯu ngurkantanangi. Panya paluṟu Godala wangaṉarangku kulilpai palumpa maḻpa mulapa. 
GEN.6.10	Munu paluṟu katja maṉkurtjararingu ini nyanganpa Tjimanya, Aamanya munu Tjaipitjanya.
GEN.6.11	Palu Godalu aṉangu kutjupa uwankara nyangangi kura mulapa nyinanyangka, kaya manta winkingka aṉangu tjuṯangku pikangku pungkula waṉingi mirpaṉṯu alatjiṯu ngaḻṯuringkunytja wiyangku. 
GEN.6.12	Ka Godalu ngura uwankarangka nyangangi kura puḻka ngaṟanyangka, panya aṉangu uwankara kura mulararingu.
GEN.6.13	Palulanguṟu Godalu Noah-la wangkangu alatji, “Ngayulu aṉangu uwankara wiyantjikitjangku kulini, mantatja uwankara kuḻu, panya tjana kura puḻka mulararingu manta winkingka. Ka palulanguṟuṉa tjananya uwankara alatjiṯu wiyalku. 
GEN.6.14	Ka nyuntu pauta puḻka palyala puṉu palyanguṟu, munu pauta uṟilitja munu unngutja kuḻu kiṯitjuṟa aḻa tjuṯa patila aḻawanu uṟu tjarpanytjaku-tawara. Munu pauta unngu ruuma tjuṯa palyala tjuṯa nyinanytjaku. 
GEN.6.15	Pauta palunya palyala puḻka mulapa nyanga alatji, waṟa puḻka palyala nampa nyangatja 133 metre, munu kultunguṟu mitjuṟamilaṟa palyala nampa nyangatja 22 metre, munu mantanguṟu mitjuṟamilaṟa palyala katukutu nampa nyangatja 13 metre. 
GEN.6.16	Munu minangka-tawara pauta katu kuḻu palyala, palu katu palyaṟa tjura tjukutjuku kantilytja katu panya katutjangka kantilytja nguṟurpa aḻa tjukutjuku para-ngaṟala waṉantjaku. Munu pauta unngu palyala ruuma katulkira katulkira maṉkurpa ngaṟanytjaku, munu pauta kultungka tuwa kutju palyala tjarpanytjaku. 
GEN.6.17	Kaṉa ngayulu mina puḻka mulapa iyalku mantakutu uṟu puḻkaringkula katuringkula mulapa tjiwariwari ngarira aṉangu uwankara kuka kuḻu uṟungku tjutuṟa wiyantjaku. Kaya mantangka para-ngaṟapai uwankara iluku, kuka tjuṯa, kuka wiya tjuṯa, tjuḻpu tjuṯa, aṉangu tjuṯa, uwankara mulapaya wanka nyinanytjatjanu uṟu tjikiṟa ngakaṟa iluku. 
GEN.6.18	Palu nyuranya ngayulu kalkuṉi wankaṟu kanyintjikitjangku. Ka nyupali kuriṟara munu nyupalimpa katja maṉkurpa munu tjanampa kuri maṉkurpa kuḻu, paluṟu nyura pautangka tjarpara wankaringkuku. 
GEN.6.19+GEN.6.20	Munu nyuntu kuka tjuṯa, kuka wiya tjuṯa kuḻu ini kutjupa kutjupa uwankaranguṟu kutjara mantjiṟa pauta unngu tjarpatjura kuriṟara kuriṟara, munu tjuḻpu ini kutjupa kutjupa uwankaranguṟu, tjuninguṟu ankupai ini kutjupa kutjupa uwankaranguṟu kuḻu kutjara kuriṟara kuriṟara tjarpatjura pauta unngu tjana kuḻu wankaringkunytjaku. Panya paluṟu tjana uwankara nyuntulakutu kuriṟara kuriṟara pitjaku nyuntu tjarpatjuṟa wankaṟu kanyintjaku. 
GEN.6.21	Munu mai puḻka mulapa tjiṉṯu tjuṯaku mantjiṟa pautangka tjarpatjura mai kutjupa kutjupa tjuṯa kuka tjuṯaku, kuka wiya tjuṯaku, tjuḻpu tjuṯaku munu nyurampa kuḻukuḻu.”
GEN.6.22	Ka Noah-lu wangaṉarangku kulinu munu Godalu wangkanytja uwankara palyaṉu.
GEN.7.1	Ka pauta panya palyaṟa wiyaringkunyangka Mayatja Godalu Noah-la wangkangu, “Pauta unnguya tjarpa nyupali kuriṟara munu nyupalimpa katja maṉkurpa munu tjanampa kuri maṉkurpa kuḻu. Panya ngayulu nyuntunya kutju nyangu tjukaṟuru palyanyku nyinanyangka, panya aṉangu kutjupa uwankaraya kura kutju palyalpai nyinanyi. 
GEN.7.2	Ka panya kuka kutjupa kutjupa tjuṯa ngaṟanyi nyura pungkula waṟungka tiliwakaṟa Godanya ungkula waḻkuntjaku. Kuka panya palula tjanalanguṟu tjara mantjiṟa pautangka tjarpatjura 7 kutjupa, 7 kutjupa kuriṟara kuriṟara. Palu kuka kutjupa tjuṯanguṟu kutjara kutju kuriṟara mantjiṟa tjarpatjura kutjara kutjupa, kutjara kutjupa. 
GEN.7.3	Munu tjuḻpu kutjupa kutjupa uwankaranguṟu kuḻu mantjiṟa tjarpatjura 7 kutjupa, 7 kutjupa. Alatji kuka, tjuḻpu, mantangka para-ngaṟapai uwankaranguṟu tjara mantjiṟa tjarpatjura paluṟu tjana wankaringkula uṟungka maḻangka pautanguṟu ukalingkula piṟuku mantangka nyinara ma-tjuṯaringkunytjaku. 
GEN.7.4	Uwa, kuwari nyanga tjiṉṯu 7 ngaṟala wiyaringkunyangkaṉa ngayulu mina puḻka iyalku mantakutu, ka mina paluṟu kaḻaḻa mungangka rawangku puyilku piṟa kutjara nguwanpa, ka manta winkingka uṟu puḻkaringkuku munu ngayulu palyaṟa tjunkunytja uwankara wiyalku, aṉangu tjuṯa, kuka tjuṯa, tjuḻpu tjuṯa kuḻukuḻu, mantangka para-ngaṟapai uwankara.” Alatji Godalu wangkangu. 
GEN.7.5	Ka Noah-lu wangaṉarangku kulinu munu Godalu wangkanytja uwankara palyaṉu.
GEN.7.6	Ka uṟu puḻka mantangka wirkankunytja aṟangka Noah-nya wati irititja mulapa nyinangi yiya nampa 600. 
GEN.7.7	Munu paluṟu pula kuriṟara pautangka tjarpangu uṟunguṟu wankaringkunytjikitja, ka pulampa katja maṉkurpa munu tjanampa kuri maṉkurpa kuḻu tjarpanguṯu. 
GEN.7.8+GEN.7.9	Ka Godalu mantangka para-ngaṟapai uwankaranguṟu nyiṯayira kungka ngurkantanu munu Noah-lakutu wirkakatingu, kuka tjuṯa, tjuḻpu tjuṯa, kutjupa kutjupa tjuṯa kuḻukuḻu. Ka Noah-lu tjananya uwankara pautangka tjarpatjunu Godalu wangkanytjitjangka. 
GEN.7.10	Ka uwankara tjarpara wiyaringu, ka palulanguṟu tjiṉṯu 7 ngaṟala wiyaringkunyangka uṟu puḻka mulatu manta tjutuṉu.
GEN.7.11+GEN.7.12	Uwa, Noah-nya yiya panya 600 nyinanyangka maḻangka piṟa kutju ngaṟala wiyaringkula piṟa kutjupalta piṟuku ma-pakaṉu kutjararinytjikitja, ka nyara palula-aṟangka mina puḻka mulatu manta winki apu murpu tjuṯa kuḻu tjutuṉu. Panya uṟungka unngu manta unngunguṟu mina kutjupa puḻka mulapa ngalya-pakaṉu, ka uṟungku panya ma-puḻkaringkula ma-lipiringkula mantalta tjutuṉu. Ka panya ilkaṟinguṟu mina puḻka mulapa punkaṟa tjunguringangi uṟu panya mantatjangka munu kaḻaḻa mungangka kuḻu rawangku puyiningi piṟa kutjara nguwanpa. 
GEN.7.13+GEN.7.14+GEN.7.15+GEN.7.16	Ka panya palula kuwaripangka Godalu wangkanyangka Noah-lu mantangka para-ngaṟapai kutjupa kutjupa uwankaranguṟu kuriṟara kuriṟara mantjiṟa pautangka tjarpatjunu, kuka kutjupa kutjupa tjuṯa munu kuka wiya tjuṯa kuḻukuḻu, ngultju tjuṯa munu inuṟa tjuṯa, tjuḻpu kutjupa kutjupa tjuṯa munu tjuninguṟu ankupai kutjupa kutjupa tjuṯa kuḻukuḻu Noah-lu tjarpatjunu. Munu palulanguṟu paluṟu pula kuḻu kuriṟara pauta unngu tjarpangu, ka pulampa katja maṉkurpa Tjimanya, Aamanya, Tjaipitjinya tjana kuḻu tjarpangu kuriṟara kuriṟara. Ka tjana uwankara tjarpara wiyaringkunyangka Godalu tuwa patinu.
GEN.7.17+GEN.7.18	Ka panya minangku rawangku puyiningi kaḻaḻa mungangka piṟa kutjara nguwanpa, ka uṟu mantangka puḻkaringkula katuringangi, munu ngaṯi puḻka mulapalta ngaringi tjiwariwari. Ka pauta panya palunya uṟungku katuningi, ka uṟungka katu nyinangi. 
GEN.7.19	Ka uṟungku panya piṟuku katuringkula tjaalyngaṟala puḻi murpu waṟa tjuṯa uwankara tjutuṟa patinu munu uṟu kutju ngaringi tjiwariwari manta winkingka. 
GEN.7.20	Munu uṟu paluṟu piṟukuṯu katuringkula katu mulapa ngaringi puḻi murpungka waintaṟa nampa panya 7 metre. 
GEN.7.21	Ka uwankara mulapa mantangka wanka para-ngaṟanytja tjuṯa ilungu uṟu tjikiṟa, tjuḻpu tjuṯa, kuka tjuṯa, kuka wiya tjuṯa, tjuninguṟu ankupai tjuṯa, uwankara mulapa wiyaringu aṉangu uwankara kuḻu. 
GEN.7.22+GEN.7.23	Uwankara panya mulyanguṟu tjaanguṟu ngaalymankupai ilungu uṟu unngu. Mantangka wanka para-ngaṟapai uwankara mulapa wiyaringu Godalu uṟungka wiyannyangka, aṉangu tjuṯa, kuka tjuṯa, kuka wiya tjuṯa, tjuninguṟu ankupai tjuṯa, tjuḻpu tjuṯa kuḻukuḻu uwankara paluṟu wiyaṉu. Ka Noah-nya tjana pauta panya unngu nyinanytja tjuṯa kutju wankaringu. 
GEN.7.24	Ka uṟu panya puḻkangku manta tjutuṟa ngaringi rawa alatjiṯu tjiṉṯu nyanga alatjiṯu 150, panya piṟa panya maṉkur-kutjara.
GEN.8.1	Ka Godalu Noah-nya tjananya kuka tjuṯa, kuka wiya tjuṯa, tjuḻpu tjuṯa kuḻu watarkurinytja wiyangku kuliningi alatjiṯu pautangka panya nyinanyangka, munu waḻpa iyaṉu manta winkikutu uṟu panya rungkaṟa tjaṟuntjaku, ka mulapaṯu uṟu panya katu ngaṟanytjatjanu ma-tjaṟuringangi. 
GEN.8.2	Ka uṟu unngu mulapa manta unngunguṟu panya mina puḻka piṟuku ngalya-pakantja wiyaringu Godalu angatjunkunyangka. Munu mina panya ilkaṟitja Godalu markuṉu, ka piṟuku puyintja wiyaringu. 
GEN.8.3	Ka uṟu panya puḻka purkaṟa purkaṟa tjaṟuringangi rawa mulapa piṟa mankur-kutjara. 
GEN.8.4	Ka nyara palula aṟangka uṟu tjaṟuringkunyangka pauta panya nyinakatingu puḻi katu ngura ini Aṟaṟatala. 
GEN.8.5	Ka uṟu panya piṟuku purkaṟa tjaṟuringangi piṟa maṉkurpa, ka nyara palulanguṟu puḻi murpu tjuṯalta utiringu. 
GEN.8.6+GEN.8.7	Ka nyara palula maḻangka tjiṉṯu 40 piṟuku ngaṟala wiyaringkunyangka Noah-lu pauta unngunguṟu winta tjukutjuku aḻaṉu munu tjuḻpu kaaṉka iyaṉu, ka paluṟu uṟungka katu rawa para-ngaṟangi uṟu panya ma-tjaṟuringkula wiyaringkunytjaku paṯaṟa paṯaṟa. 
GEN.8.8	Munu Noah-lu piṟuku iyaṉu tjuḻpu kutjupa ini kuukuuku ankula nguriṟa nyakunytjaku manta utiringkunyangka. 
GEN.8.9	Palu uṟu tjiwariwariṯu ngaringi kuwaripa, ka kuukuuku panya mantangka nyinakatinytjikitja puṯu nguriṟa maḻaku wirkanu Noah-lakutu. Ka Noah-lu maṟa katuringkula palunya mantjiṟa ngalya-tjarpatjunu maḻakungku pautangka. 
GEN.8.10	Munu Noah-lu tjiṉṯu 7 ngaṟala wiyaringkunyangka paṯaṟa kuukuuku panya palunya piṟuku iyaṉu. 
GEN.8.11	Ka kuukuuku paluṟu ankula mungartji maḻaku pitjangu puṉu alipa nyaḻpi tjaali, puṉu wanka, panya tjuḻpu paluṟu kuwari kutju kaṯantaṟa ngalya-katingu. Ka Noah-lu nyaḻpi nyakula kulinu, “Munta-uwa! Uṟu panya tjinguṟu tjaṟuringu, ka manta utiringu.” 
GEN.8.12	Munu paluṟu piṟuku tjiṉṯu 7 kutjupa ngaṟala wiyaringkunyangka paṯaṟa kuukuuku palunya piṟuku iyaṉu, ka paluṟu ankula ma-nyinangi maḻaku pitjawiya.
GEN.8.13	Uwa, Noah-nya tjana piṟa 10 nguwanpa pauta unngu nyinangi, ka tjiḻpi panya Noah-nya yiya nampa 601-aringu. Ka uṟu uwankara mantangka tjaṟuringkula wiyaringu. Ka Noah-lu pauta katutja araṉu munu para-nyakula nyangu manta ma-piḻṯiringkula waṉannyangka. 
GEN.8.14	Munu paluṟu piṟuku pauta unngu nyinangi manta piḻṯi mulararinytjaku paṯaṟa. Ka nyara palulanguṟu piṟa kutjara ngaṟala wiyaringkunyangka manta uwankara piḻṯiringu alatjiṯu.
GEN.8.15+GEN.8.16	Ka Godalu Noah-la wangkangu, “Pautanguṟu palaya ukaliwa nyupali kuriṟara munu nyupalimpa katja maṉkurpa munu tjanampa kuri kuḻu. 
GEN.8.17	Munu kuka tjuṯa, kuka wiya tjuṯa, tjuḻpu tjuṯa kuḻu uwankara pautanguṟu walatjura tjana waṟarakatira mantangka nyinara tjuṯatjararingkunytjaku munu tjuṯaringkula ngura winkikutu lipiringkula nyinanytjaku manta winkingka.” 
GEN.8.18	Ka Noah-nya kuliṟa pautanguṟu ukalingu palumpa kuri kuḻu munu katja maṉkurpa kuriṟara kuriṟara. 
GEN.8.19	Ka kuka tjuṯa, kuka wiya tjuṯa, tjuḻpu tjuṯa kuḻu, mantangka para-ngaṟapai uwankara pautanguṟu ukalingu walytjaṟara walytjaṟara.
GEN.8.20	Ka Noah-lu pautanguṟu ukalingkula mantangka pitjilpa puḻka palyaṉu, munu paluṟu kuka palyanguṟu maṉkurpa mantjinu tjinatjara maṉkurpa munu tjuḻpu maṉkurpa kuḻu munu kuka palunya tjananya pungkula pitjilta katu waṟungka tiliwakaṉu Mayatja Godanya waḻkuṟa ungkunytjikitjangnku. 
GEN.8.21	Ka Godalu kuka tiliwakannyangka mayu wiṟu paṉṯinu munu pukuḻarira unngu kuliningi alatji, “Ngayulu panya aṉangu tjuṯanguṟu manta nyanga kuraṉu uṟu puḻka iyaṟa, palu kuwariṉa tjanalanguṟu manta piṟuku kurantja wiyangku wantiku alatjiṯu, panya tjaka aṉangu tjuṯangku tjitjinguṟu rawangku kura kutju kulilpai. Palu ngayulu aṉangu tjuṯa, kuka tjuṯa, ngaalymankupai uwankara piṟuku wiyantja wiyangku wantiku alatjiṯu, nyanga kuwaritja puṟunypa piṟuku palyantja wiya alatjiṯu. 
GEN.8.22	Ka manta nyangatja ngaṟanyangkampa wari munu unytjunpa, kuḻi munu nyiṉnga, kaḻaḻa munu munga tiṯutjaraṯu ngaṟakatiku wiyaringkunytja wiya alatjiṯu. Ka piriyakutu kutjupa piriyakutu kutjupa manta tjawaṟa kaḻka tjuṯa tjunkunytjaku tiṯutjara ngaṟaku, munu palulanguṟu kuḻi kutjupa kuḻi kutjupa mai pakaṟa kuṟuringkunyangka urantjaku tiṯutjara palu puṟunypaṯu ngaṟakatiku.” Alatji Godalu kalkuṟa wantingu tiṯutjara ngaṟanytjaku kutjuparinytja wiya paluṟuṯu.
GEN.9.1	Munu Godalu Noah-nya tjananya palumpa katja maṉkurpa pukuḻmanu wangkara, “Tjitji tjuṯatjarariwaya, kaya nyurampa tjitjinguṟu aṉangu tjuṯa piṟuku ma-tjuṯaringkuku maḻatja maḻatja, munuya ngura tjuṯangka ma-lipiringkula nyinaku manta winkingka. 
GEN.9.2	Kaya mantangka para-ngaṟapai uwankara nyurampa nguḻuringkuku aṉangu tjuṯaku kuka tjuṯa, kuka wiya tjuṯa, tjuninguṟu ankupai tjuṯa, tjuḻpu tjuṯa, antipina tjuṯa kuḻukuḻu. Ngayuluṉa nyara palunya tjananya nyuranya unganyi nyura pungkunytjaku, munta tjinguṟu paintjaku, munta tjinguṟu kanyintjaku, munta tjinguṟu nintintjaku. Ka nyura tjanampa uwankaraku mayatja nyinaku. 
GEN.9.3	Ngaṉmanytjuṉa aṉangu tjuṯa mai kutju ungangi ngalkunytjaku, palu nyanga palulanguṟuṉa nyuranya kuka kuḻu unganyi ngalkunytjaku maingka tjungu. Ka kuwari kuka nyanga paluṟu tjana uwankara ngaṟanyi nyura pungkula ngalkunytjaku. 
GEN.9.4	Palu kulila! Kuka pungkula nyura milkaḻi winki ngalkuwiyangku wantima. Alatjiṉa milkaḻingka-tawara angapaini, panya milkaḻingku wankaṟu kanyilpai pulykungka ankula. Pala palulanguṟu milkaḻi miḻmiḻpa ngaṟanyi ngalkunytjaku wiya. 
GEN.9.5	Ka tjukurpa puḻka nyangatja ngaṟanyi, panya aṉangu tjuṯa uti aṉangu kutjupa tjuṯaku pukuḻarima tjananya mirpaṉṯu pungkula iluntankunytja wiya. Tjinguṟu aṉangu kutjungku aṉangu kutjupa miri pungkunyangkampaṉa ngayulu palunya ngapartji pungkuku. Munu palu puṟunytju kuka inuṟangku aṉangu patjaṟa iluntankunyangkampa ngayulu kuka palunya ngapartji pungkuku. 
GEN.9.6	Panya ngayulu aṉangu palyaṉu ngayunya puṟunypa nyinanytjaku. Palulanguṟu nyura uti aṉangu kutjupa tjuṯaku pukuḻarima tjananya mirpaṉṯu pungkula iluntankunytja wiya. Palu tjinguṟu nyura aṉangu kutjupa mirpaṉṯu miri pungkunyangkampa, aṉangu kutjupangku nyuntunya ngapartji miri pungkukuṯu. 
GEN.9.7	Ka nyura uti kuwari tjitji tjuṯatjararingama aṉangu tjuṯa piṟuku ma-tjuṯaringkunytjaku. Munu nyura tjuṯa mulararira mungilyirima munu ngura tjuṯakutu lipiringkula manta winkingka nyinama tjuṯa mulapa.” Alatji Godalu Noah-la tjanala wangkangu. 
GEN.9.8+GEN.9.9+GEN.9.10	Munu palulanguṟu piṟuku tjanala wangkangu nyanga alatji, “Kuwariṉa nyuranya kalkuṉi, nyurampa walytja tjuṯa kuḻu maḻatja maḻatja. Munu ngayulu mantangka para-ngaṟapai uwankara kuḻu kalkuṉi, kuka tjuṯa, kuka wiya tjuṯa, tjuḻpu tjuṯa uwankara panya nyurala tjungu pautanguṟu ukalingkunytja tjuṯa. 
GEN.9.11	Nyanga alatjiṉa nyuranya munu tjananya kuḻu kalkuṉi panya uṟu puḻkangku manta winki piṟuku tjutuṟa kurantja wiyaringkuku. Manta nyanga winkingka ngaalymankupai uwankara uṟu puḻka nyanga puṟunytju piṟuku tjutuṟa iluntankuwiyangku wantiku. 
GEN.9.12	Munu ngayulu kutjupa kutjupa katu tjunkuku nyura nyakula kulintjaku ngayulu kalkuntja, panya ngayulu nyuranya munu mantangka para-ngaṟapai uwankara kuḻu kalkuṉi, nyurampa walytja tjuṯa kuḻu maḻatja maḻatja. 
