MAT.1.1	Ã ndei Jesucristo i ñiinda ã. David rei ei tuchɨ. Abraham abe no.
MAT.5.45	Eɨ̃ jenye mose ra Ibatenda riirĩ turã tuchɨ jẽ. Dios quiarei eturã mbia ja je. Mbia turã je. Mbia ɨcuã je abe no. Dios quiarei tenda mbusẽ turã mbeɨ mbia turã je. Eɨcuã je abe no. Dios quiarei ama mbuchaaqui turã mbeɨ mbia turã je. Eɨcuã je abe. 
MAT.5.46	Ae eturãte riqui mbia jẽje nae, ũquɨ̃ achõ je jẽturã mose, eɨcuãte ũquɨ̃. Mbia ɨcuã abe mbae turã saãte uquiato achõ je. Eɨ̃ jenyechɨ̃ nda jẽ. 
MAT.5.47	Jẽquiato achõ je jeñee turã mose, aba biãte ũquɨ̃. Eɨ̃ ño Dios quiatoã abe nguiã ñee turã uquiato je. 
MAT.5.48	Jẽ nguia jẽɨngo turã mbeɨ mbia ja je. Sã jendu Ibatenda turã mbeɨ riqui no.
MAT.6.1	“Sã mbia mae ja sechɨao turã ndese”, jenyechɨ̃ nda mbae turã naa mose. Mbia résaa achõ nda mbae turã jẽsaã saãchɨ̃ jẽ. Ũquɨ̃ jẽsaã saã mose ra jendu Ibatenda mbae turã mee eã jẽje. 
MAT.6.2	Jẽɨngo mose mbae mee mee mbaecha reã je, jemondo checuayã ño nguia ee. Mbia mbiirandu randu eã. Ae uturã saã saã nguia nae, ũquɨ̃ na nda jẽɨngochɨ̃. Dios ra mbae turã mee eã ũquɨ̃ je. “Sã mbia mae ja sechɨao turã ndese”, jenyechɨ̃ nda jẽ. 
MAT.6.3	Mbae turã jẽsaã mose, jẽsaã mingue chõ. 
MAT.6.4	Mbae turã jẽsaã nyecuayã ño. Jẽɨngo mose mbae turã naa naa nyecuayã, Dios ae ra mae jẽturã ndese. Ae quia ra mbae turã mee nyecua jẽje cote.
MAT.6.5	Jeñee mose Dios je, jeñee mingue chõ nguia ee. Uturã naa naasa rã nda jẽɨngochɨ̃. Ũquɨ̃ ndiqui nyoɨ choɨ mbiásaa ñee sacuã Dios je ũquɨ̃. “Sã mbia mae ja serese secheẽ mose Dios je”, ɨ equia ũquɨ̃. Mbia riqui mae jate raque erese. Dios quia ra mbae turã mee eã ee. 
MAT.6.6	Nde ñeese mose Dios je, nde ae chõ echeẽ nguia ee ndechuchúaa. “Sa mbia mae ja serese”, erechɨ̃ nda jẽ. Nde a e chõ echeẽ nguia ee. Dios ae ra siqui nderese. Dios ae mbae ɨcua ja nguiã. Ae quia ra mbae turã mee ndeje cote.
MAT.6.7	Nde ñee mose Dios je, hue rɨ̃ beɨte ra ereɨcochɨ̃ ñee ee. Eɨ̃ ño Dios ɨcuasa reã nguiã ñee ndaque Dios je. “Hue rɨ̃ urecheẽ mbeɨ mose ra Dios ureandu”, ɨ rei nguiã. 
MAT.6.8	Ũquɨ̃ na nda jẽɨngochɨ̃. Ae mbae ãte riqui jẽje nae, ũquɨ̃ Dios ɨcuate quia co. Jeñee nonde ee. “Mbae embu ure je”, jẽ ɨ nonde ee. 
MAT.6.9	Eɨ̃ jenye chõ nguia ñee Dios je:
MAT.6.9	Paba Ibatenda, sã mbia ñee turã mbeɨ quia nderɨɨ̃.
MAT.6.10	Mbia rere cuarã ja sacuã echu jeɨ íbii.
MAT.6.10	Sã mbia ibatenda riqui siqui beɨte ndebi rese no.
MAT.6.10	Sã mbia ibi jenda abe riqui ndebi rese.
MAT.6.11	Ae ra ureu namo, ũquɨ̃ embu rã urechɨurã.
MAT.6.12	Ae uresaã ɨcuã ɨcuã ndeje nae, ũquɨ̃ embutiã ná uresɨ. Sã ureɨco tesareɨ mbia ɨcuã ɨcuã mose ure je no.
MAT.6.13	“Mbae ɨcuã jẽsaã” ¡ɨchɨ̃ nda emo ure je jẽ!
MAT.6.13	Urereaquiatu beɨ quia mbae ɨcuã sɨ.
MAT.6.13	Nde mɨɨ ño mbia rerecuarã nde.
MAT.6.13	Nde mɨɨ ño ndequirãcuã nde.
MAT.6.13	Nde mɨɨ je mbia ñee turã sacuã mbeɨ. Amén.
MAT.6.13	Eɨ̃ jenye chõ ñee Dios je. 
MAT.6.14	Mbia ɨcuã ɨcuã mose jẽje, jẽtesareɨ chõ esɨ. Eɨ̃ jenye mose ra Dios Ibatenda abe jeɨcuã mbutiã jẽsɨ. 
MAT.6.15	Jẽtesareɨ eã mose mbia ɨcuã sɨ, Dios abe ra jẽɨcuã mbutiã eã jẽsɨ.
MAT.6.16	Jenyɨu sɨ jẽhuɨ mose Dios je, “sã mbia mae jate seyayã ndese”, jenyechɨ̃ nda ñee. Jendesa ia eã techɨ̃ nda aque mose jẽ. Eɨ̃ ño uturã naa naasa nguiã. Mbia nda mae ja rei nguiã erese. Dios quia ra mbae turã mee eã ee. 
MAT.6.17	Ndehuɨ mose ndechɨu sɨ Dios je, ndeya chõ eɨco. 
MAT.6.18	Sã mbia jiranuã nderiãcuã ndese. Sã Dios ae jirandu nderiãcuã ndese. Dios quia mbae ɨcua jate nguiã. Ae quia ra mbae mee ndeje cote.
MAT.6.19	“Mbae turã tamunua nu a sembaerã aa íbii”, jenyechɨ̃ nda jẽ. Chicuaquiareɨ̃ nda eu arõte. Emo embuquiachã arõte jẽsɨ. Eichoi arõ ndete no. 
MAT.6.20	Ibate quia mbae jemunua nua jembaerã. Ibate quia ra chicuaquiareɨ̃ eu eã. Ibate quia ra jembaerã ichoi eã mbeɨ. Ibate quia ra emo embuquiachã eã jẽsɨ. 
MAT.6.21	Jembaerã chɨ mose ibate, Dios rese ra jẽɨngo ndua turã. Jembaerã chɨ mose íbii, ibi jenda mɨɨ ndese ra jẽɨngo ndua.
MAT.6.22	Nanderesa quiarei mbae resae nanderete je. Nanderesa turã mose, nanderete abe ra oso turã. 
MAT.6.23	Nanderesa ɨcuã mose, nanderete abe ra oso ɨcuã ɨcuã no. Tat a rendi rã jẽɨngo beɨ. Ũquɨ̃ mose ra jẽɨngo jiri jiriã itondáruu.
MAT.6.24	Erimba mɨɨ mo siqui aronea ererecua nyeremo ndese. Ererecua nyeremo mose, huee ra erimba ererecua nongue ucuayã. Ererecua nongue ra ebite. Eɨ̃ sɨ chõ mbia re. Ae ndua beɨte quia mbae isiquia rese nae, ũquɨ̃ siqui aroneate Dios ruɨ. Ae siqui beɨte quia Dios rese nae, ũquɨ̃ nguiarei ndua eã jiri mbae isiquia rese.
MAT.6.25	“¿Mbae ra nandeu re?” jenyechɨ̃ nda quɨcoɨ coɨ jẽ. “¿Ma tiru ra nandemingue re?” jenyechɨ̃ nda quɨcoɨ coɨ no jẽ. Mbia chɨu ae ra mbia mingo eã. Mbia ɨrao abe ra mbia mingo eã no. 
MAT.6.26	Sã nguireɨ̃ no. Mbae tiquiayã ndaque. Mbae ɨshao eã ndaque no. Mbae ruacuã eãte raque embae no. Dios ae quiarei embuquiaru quiaru beɨ. Jẽ nguiarei Dios queteamba tuchɨ nguireɨ̃ sɨ. Dios ae jembuquiaru nguiã jẽ no. 
MAT.6.27	Mbi a ae ra tiarõ eã. “Se ra atiarombe”, ɨ raque ndua ndua uchɨangui re. Dios ae mbia mbutiarõ nguiã. 
MAT.6.28	“¿Ma tiru ra nandemingue re?” jenyechɨ̃ nda pare pare ɨ jẽ. Sã mbae uti no. Sã mbae uti turãte riqui no. Mbae ao ao eã ndaque. Ninyu mburirã ndirã eã ndaque. 
MAT.6.29	Dios ae chõ mbae uti mbuturã nguiã. Mbae uti quiarei eturã jiri Salomón sɨ. Salomón turãte raque. 
MAT.6.30	Sã Dios quiata mbuturã no. Quiata mano jeɨte raque. ¿Mañɨ nda Dios jembɨɨrao eã jẽ nde no? ¿Mbaerã jẽɨngo Dios ɨcuayãte re? 
MAT.6.31	“¿Mbae ra nandeu re?” jenyechɨ̃ nda pare pare ɨ jẽ. “¿Mbae ra nandembei re?” jenyechɨ̃ nda pare pare ɨ jẽ. “¿Ma tiru ra nandemingue re?” jenyechɨ̃ nda eno jẽ. 
MAT.6.32	Eɨ̃ ño Dios quiatoã nguiã. Jẽ nguia jendu Ibatenda tesareɨã mbeɨte nguiã jẽsɨ. 
MAT.6.33	Jẽ nguia jẽɨngo tuchɨ Dios rese jenderecuarã. Sã Dios turãte no. Ũquɨ̃ na ño jẽɨngo. Ũquɨ̃ mose ra Dios mbae mee mee mbeɨ jẽje. Jenyɨurã. Jeñɨmbeirã abe no. Jẽɨraorã abe no. 
MAT.6.34	“Mbae tiã ñochɨ̃ nda seje isamamɨ nde”, jenyechɨ̃ nda pare pare ɨ jẽ. Isamamɨnda rese ra jendua nduachɨ̃ namo jẽ. Namonda mɨɨ ndese jendua namo no. Isamamɨ nguiatu jendua isamamɨnda rese.
MAT.7.1	“Co que eɨcuãte ra”, jenyechɨ̃ nda emo nɨɨ. “Jẽɨcuãte” ɨã nda Dios jẽje chã. 
MAT.7.2	Mbia ɨcuã mose, jeñeechɨ̃ nda ee. Jẽturã mose ee, Dios abe ra eturã jẽje. Mbae jemee mee turã mbia je. Dios abe quia ra mbae mee tuchɨ jẽje cote. Jẽ embisẽ mee mose emo je, Dios abe ra embisẽ mee jẽje no. 
MAT.7.3	¿Mbaerã jẽɨngo “eɨcuã” ɨ emo je re? Jẽ jẽɨcuã tuchɨ mose esɨ. “Mbae ñetẽ ndiqui nderésaa aque”, jenyechɨ̃ nda emo je, jẽ mbae cuasu rerequia mose jendésaa jẽ nguiatu. 
MAT.7.4+MAT.7.5	“Mbae turã ndese chõ jẽɨngo”, jenyechɨ̃ nda jẽ jẽɨcuã mose jẽ. “Mbae ñetẽ tasirõ nderesa sɨ”, jenyechɨ̃ nda mbae cuasu siqui mose jendésaa jẽ. Jẽ nguia jẽturã jẽsaã saã ñote nguiã aque. Jẽ nane nguia jẽturã ndiqui. Aquere quia jeñee emo mingo turã cote. 
MAT.7.6	Sã mbia mo ndiqui perro rã sɨ no. Teasu socoi quía rã abe no. Ũquɨ̃ nguiarei mbia ɨcuã mbeɨ Dios cheẽ andure. Dios cheẽ isi teã teã. Dios cheẽ jẽsenei eã ũquɨ̃ je cote. Emo je quia jẽsenei cote.
MAT.7.7	Jeñee mbeɨ mose Dios je, mbae ra emondo jẽje. Jẽ mbae mo ndequia mose, jẽtea rae. Jẽ eɨquesa mbuu mbuu mose, ũquɨ̃ mose ra embuquiata jẽje no. 
MAT.7.8	Ae ñee mbeɨte quia Dios je nae, mbae ra Dios mondo ee. Ae mbae mo sequia beɨte quia nae, tea rae. Ae eɨquesa mbuu mbuu quia no nae, equia ra ee no. 
MAT.7.9	Jendiirĩ “mbichae embu seje” ɨ mose, ¿sɨta ra eru mee ee re? 
MAT.7.10	Jendiirĩ “sɨra embu seje” ɨ mose, ¿mbeɨ ra eru mondo ee re? 
MAT.7.11	Mbia ɨcuã nyee mbae turã mondo mondo quia nguiirĩ je ã. Jendu Ibatenda quia ra mbae turã tuchɨ mee jẽje, jeñee mose ee. 
MAT.7.12	Sã jẽyate riqui mbia siqui turã mose jẽje no. Eɨ̃ jenye sɨ chõ nguia siqui turã mbia je no. Moisés chɨmbesa tuchɨ chõ ũquɨ̃ nde. Dios quiato cose ndare chɨmbesa ja chõ ũquɨ̃ nde.
MAT.7.13	Eɨquesa chumumbi rɨ̃ ño jẽso ɨque jẽ. Aque ñeenda oso quia tata cuasu nae, eɨcoɨ chõ aque re. Ae eɨquesa ngasẽ nguia tat a cuasu nae, eɨcoɨ chõ aque no nde. Hue rɨ̃ mbia tubɨrɨã ndiqui nguiã ũquɨ̃. 
MAT.7.14	Ñeenda nongue ruɨ quiatu ngasẽ nguiã Dios je. Aque ñeenda quiarei echumumbi. Echumumbi chõ aque ñeenda ɨquesa re. Mbia mɨɨ mɨɨ ño siqui nguiã aque ñeenda ruɨ. Ũquɨ̃ nguia ra Dios mingo beɨ.
MAT.7.15	Ae Dios cheẽ senei ñooño nguia nae, aba mbɨɨrɨ̃ ɨrɨ̃sa chõ ũquɨ̃ nde. Ũquɨ̃ ndei Dios quiato raã ñooño. Mbia mbɨɨrɨ̃ ɨrɨ̃sa Dios rɨɨ̃. 
MAT.7.16	Sã ira ae e a ae ae no. Uva a rã eã nda nyu a ɨa no. Ea ae eno nde. Higo a rã eã nda isio rashɨ̃ a no. Ea ae eno nde. 
MAT.7.17	Eɨ̃ sɨ chõ mbia no nde. Mbia turã nda siqui mbae turã ndese. Mbia ɨcuã nda siqui mbae ɨcuã ndese no. 
MAT.7.18	Ira turã mose, ea abe ra eturã. Nyɨabi aronea. Ira ɨcuã mose, ea abe r a eɨcuã no. Ei rã sɨ ra ea. 
MAT.7.19	Ira mo ɨa turã eã mose, nyisia rae. Mendi rae. 
MAT.7.20	Dios cheẽ nenei neneisa chõ jẽɨcua rã. Dios cheẽ nduɨ sɨ eriqui turã mose, Dios quiato chõ ũquɨ̃ nde. Dios cheẽ nduɨ eã mose, Dios quiato eã ño ũquɨ̃ no nde.
MAT.7.21	“Sererecua” ɨ rei mbia tubɨrɨã nguiã seje ã. Ũquɨ̃ nguia nda ɨque ja eã nguiã serécuaa. Ae siqui Seru Ibatenda cheẽ nduɨ nae, ũquɨ̃ mɨɨ ño nda ɨque serécuaa. 
MAT.7.22	Aque mose ra mbia ñee tuchɨ seje. “Jesús, ndecheẽ ngue urembuchecua checua tuchɨ quia mbia je resẽ. Aba checuayã ngue urejea jea tuchɨ quia mbia sɨ nderɨɨ̃ ndesẽ. Mbia mae sayã ngue uresaã saã tuchɨ quia nderɨɨ̃ ndesẽ”, ɨ tuch ɨ rei ra mbia seje. 
MAT.7.23	Ũquɨ̃ je ra acheẽ. “Co aɨco jẽɨcuayã mbeɨte co resẽ. Jẽso serecha. Mbae ɨcuã aosa chõ jẽ nde”, ae ra ee.
MAT.7.24	Ae siqui serese, ae secheẽ mumbayã nguia nae, ũquɨ̃ nguiarei eturã tuchɨ. Tuchua ãtã aosa rã ño ũquɨ̃ nde. Sã eaquiatu mo tuchua ao sɨta turã arõ no. 
MAT.7.25	Ama nyaaqui mose, amandi cuasu raque. Quɨrɨrɨã abe ɨchu ɨchu raque tuchu a je. Tuchua mbuquiata aroneate. Sɨta turã arõ nguia ngue uchuchu a ao nguiã. Eɨ̃ sɨ chõ secheẽ mumbasa rẽ a nde. Tuchu a ãtã aosa rã sɨ. 
MAT.7.26	Ae secheẽ mumba quia eandu mose nae, eaquiatuã na ño ũquɨ̃ nde. Sã eaquiatuã mo uchuchuarã ao no. Aque quiarei ibi rɨbɨcoɨ tuchɨã. Sɨta quiishɨ̃ arõchɨ chõ uchuchua ao nguiã. 
MAT.7.27	Ama nyaaqui mose, amandi cuasu ee cote. Quɨrɨrɨã abe ɨchu ɨchu tuchua je. Aque quiarei iãcuã mbucoɨ asi mondo. Eɨ̃ sɨ chõ secheẽ mumbasa re, ɨ que Jesús ra.
MAT.7.28	Jesús que huɨ ucheẽ sɨ cote ra. Mbia que nyuruɨra tuchɨ echeẽ andu ra. 
MAT.7.29	Ererecua rã ño ngue eriqui nguiã mbia mbaaquiatu quiatu.
MAT.8.1	Jesús que nguichi ibi ibate sɨ cote ra. Mbia cuabẽte que siqui eruɨ ra. 
MAT.8.2	Emo ndasi que tu ee ra. Leproso, ɨ que aque erasi je ra. Tu que ngoi ngũíã ndese ñee Jesús je ra. —Sererecua, nde sembucherõse mose, sembucherõ se, ɨ que ñee Jesús je ra. 
MAT.8.3	Jesús que oco erese cote ra. —Echerõ cote, ɨ que ee ra. Echeẽ mosebe que nyerõ nda. 
MAT.8.4	Jesús que ñee ee ra. —¡Erecheẽchɨ̃ nda mbia mo je jẽ! Eso nderasiã ndeacuquia sacerdote je cote. Moisés cheẽ nduɨ sɨ chõ mbae mo emondo Dios je. Eɨ̃ nda mbi a jirandu nderasiã ndese cote, ɨ que Jesús ñee ee ra.
MAT.8.5	Jesús que oso sucha tubɨrɨã Capernaum cote ra. Soldado rerecu a mo ngue tu ñee ee ra. Capitán ngue ae ra. 
MAT.8.6	—Sererecua, serimba rasite riqui sechuchua huee. Erasi tuchɨ. Umɨ umɨ sayã tuchɨ, ɨ que capitán ñee Jesús je ra. 
MAT.8.7	—Taso embucherõ, ɨ que Jesús echeẽ mose ra. 
MAT.8.8	Capitán ngue ñee Jesús je ra. —Seɨcuãte aɨco co, Jesús. Sechuchua ra ereɨquechɨ̃. Echeeño. Ndecheẽ achõ ño emondo serimba mbucherõ sacuã. 
MAT.8.9	Se abe sererecua riqui co. Echeẽ amumba aroneate quia co. Se abe soldados rerecua aɨco nguiã co no. Secheẽ abe emumbayãte quia co no. Eso, ɨ mose, secheẽ mumbayãte no. Echu, ɨ mose, secheẽ mumbayãte no. Se neẽ mose serimba je, secheẽ mumbayãte no. Ndequirãcuã na eãte raque se, ɨ que capitán ñee Jesús je ra. 
MAT.8.10	Echeẽ andu mose que Jesús nyuruɨrate ra. Ñee ngue nguesenda je ra. —Tacheẽ nyecua jẽje. Capitán ndiqui seɨcua tuchɨte co. Seɨcua tuchɨte equia judíos mo sɨ co. 
MAT.8.11	Tacheẽ nyecua jẽje. Ae judíos eã emo jenda ja nae, ũquɨ̃ tubɨrɨã nda siqui Dios rese. Dios siqui mose mbi a rerecuarã. Ũquɨ̃ tubɨrɨãte ra quiaru turã Abraham ndese. Isaac rese. Jacob rese no. Judíos eã ndaque ũquɨ̃. 
MAT.8.12	Dios quia ra judíos mombo itaicuee. Itondáruu. Huee ra nyeseo tuchɨ cote. Erasite ra huee cote, ɨ que Jesús ñee judíos rɨɨ̃ nda. 
MAT.8.13	Jesús que ñee capitán je cote ra. —Eso chõ ndechuchúaa cote. Ereɨco seɨcuate co. Nyebe ndecheẽ amumba eã nguiã nderimba mbucherõ, ɨ que Jesús ee ra. Jesús cheẽ mosebe que erimba nyerõ nda.
MAT.8.14	Jesús que oso Pedro chuchua cote ra. Ɨ que Pedro chari rasi u nyaara ee ra. Eracu tuchɨ que ra. 
MAT.8.15	Jesús que oco ari o rese ra. Eracu que ti ɨ cote ra. Ari que juã cote ra. Mbae que echao chao quia mbia chɨurã cote ra.
MAT.8.16	Itondaru ramo mose que mbia erasi rurucuaẽ cuaẽ tuchɨ Jesús je ra. Ae aba checuayã quereco qui a nae, ũquɨ̃ ndurucuaẽ tuchɨ Jesús je. Aba checuayã ngue usẽ usẽ nguia mbia sɨ Jesús cheẽ mose ra. Erasi chumumbara que embucherõ cherõ tuchɨ quia ra. 
MAT.8.17	Ũquɨ̃ mose que Isaías cheẽ ɨo cote ra. Eɨ̃ ño ngue Isaías embesa cose ra: “Dios rucucha que nandeɨcuã sirõ nandesɨ ra. Dios rucucha que nanderasi sirõ nandesɨ no nda”, ɨ que Isaías embesa ra. Ũquɨ̃ ngue ɨo cote ra.
MAT.8.18	Mbia cuabẽte que Jesús mamate ra. Nyebe Jesús ñee nguiã uchɨmbaaquiatu je. —Nyao rã sobeɨ, ɨ rei que ee ra. 
MAT.8.19	Aque mosete que embesasa mo ñee ee ra. —Taɨco beɨ nderese. Ndeso mose manguiti, se abe ra aso beɨ quia nderese, ɨ rei que ñee Jesús je ra. 
MAT.8.20	Jesús que ñee ee ra. —¿Mbae rasi ra eresaã saã serese re? Eoita quia ecua jiri re. Nguɨreɨ̃ nguia equisa jiri no nde. Se quia sequisayã mbeɨ re, ɨ que Jesús ee ra. 
MAT.8.21	Echɨmbaaquiatu mo ngue ñee ee ra. —Sererecua, sã paba mano na. Aquere quia ra aɨco beɨ nderuɨ cote, ɨ rei que Jesús je ra. 
MAT.8.22	Jesús que ñee ee ra. —Sã mbia ataque chõ nderu chati. Eɨco chõ seruɨ nde, ɨ que Jesús ñee ee ra.
MAT.8.23	Jesús que ua canoa ye cote ra. Uchɨmbaaquiatu rese. 
MAT.8.24	Ama ndiit e re mose que quɨrɨrɨã ɨcuã ɨcuã ndu ee ra. I rebera que ɨque ɨque tuchɨ quia canoa ye ra. Jesús que uque oso quia canoa ye ra. 
MAT.8.25	Nyebe echɨmbaaquiatu Jesús mumba nguiã. —Urembaaquiatusa, echumumba. Ureraaro nã. Nandemanochɨ̃ nda re, ɨ que ñee Jesús je ra. 
MAT.8.26	Jesús que ñee uchɨmbaaquiat u je ra. —¿Mbaerã jẽsiquichete riqui re? ¿Seɨcuayãte equia ã nde? ɨ que Jesús ñee ee ra. Nyuruã ngue ñee asite quɨrɨrɨã je cote ra. Ama je abe no. Quɨrɨrɨã ngue ti ɨ echeẽ mose cote ra. Ama abe. 
MAT.8.27	Echɨmbaaquiatu que nyuruɨra tuchɨ mae Jesús quirãcuã ndese ra. —Quɨrɨrɨã echeẽ mumbayã ñochɨ̃. Ama abe echeẽ mumbayã ñochɨ̃, ɨ que ñee ñee nyue cote ra.
MAT.8.28	Jesús que ngasẽ ama ndobeɨ cote ra. Gadara, ɨ que hue ibi je ra. Ameɨ mo nyeremo ngue ngaẽ ngasẽ Jesús je ra. Mbia raaque tãsa sɨ chõ ngue ecuaẽ ngasẽ Jesús je ra. Aba checuayã ɨcuã ño ngue siqui tuchɨ nguiã ũquɨ̃ ñɨangui re ra. Aba checuayã ño ũquɨ̃ mbɨɨcuã tuchɨ nguiã. Nyebe mbia mo hue rurubiã mbeɨ nguiã. 
MAT.8.29	Ũquɨ̃ ngue ñee asite cuaẽ Jesús je ra. —¿Mañɨ ere ra equia ure je re, Jesús? Dios rucucha chõ nde re. ¿Urembasi jeɨ sacuã ño erechu aa re? ɨ que ñee tuchɨ Jesús je ra. 
MAT.8.30	Chɨasu socoɨ tubɨrɨã ngue chɨ quiaru huee rurubi ra. 
MAT.8.31	Nyebe aba checuayã ɨcuã ñee jate nguiã Jesús je. —Nde urejea mose mbia sɨ, chɨasu chɨangui re ureso rã, ɨ que aba checuayã ñee Jesús je ra. 
MAT.8.32	—Eno, ɨ que Jesús ee ra. Nyebe aba checuayã usẽ ja nguiã ameɨ ñɨa sɨ cote. Chɨasu chɨangui re que echoɨ ja ra. Chɨasu que uchã ja choɨ nyiichere ama nimia mbucu rɨ̃ nda. Ama ndɨsha ye que echoɨ ja mano nda. 
MAT.8.33	Chɨasu raarõsa mundite que ra. Mae mose erese. Nyoɨ que mbia mbiirandu jate chɨasu rese ra. —Jesús que ameɨ mbucherõ nda. Aba checuayã ngue ejea esɨ ra, ɨ que maesa erese ñee mbia ataque je ra. 
MAT.8.34	Nyebe hue jenda nyoɨ ja nguiã ñee Jesús je. —Eso rã urerecha urerecua sɨ, ɨ jate que hue such a jenda ñee Jesús je ra.
MAT.9.1	Jesús que ua canoa ye cote ra. Nyoɨ que sobeɨ ra. Ngasẽ ngue uchuchúaa cote ra. 
MAT.9.2	Mbia que erasi mo curucuaẽ quisa ye ee ra. Emɨ sayãte que ae ra. —Erurucuaẽsa riqui seɨcua ũquɨ̃, ɨ que Jesús ñee uchɨangui re ra. Nyebe ñee nguiã emɨ sayã je. —Echimbia chõ, Echo. Ndechɨsaã mbae ɨcuã ambutiã nguia ndesɨ a, ɨ que Jesús ñee umɨ sayã je ra. 
MAT.9.3	Embesasa que ñee nyue ra. —Jesús riqui Dios ibatenda raã naa ñochɨ̃ co, ɨ que ñee nyue ra. 
MAT.9.4	Jesús que ũquɨ̃ ndua ndua ɨcuate quia ra. Nyebe ñee nguiã ee cote. —¿Mbaerã jẽɨngo ndua ndua ɨcuã nde? 
MAT.9.5	¿Ma mbaranguiatuã eã jiri jẽje re? ¿Mbia ɨcuã mbutiã esɨ ere? ¿Mbia rasi mbucherõ ere no? ¿Ma mbaranguiatuã eã jiri jẽje re? 
MAT.9.6	Dios rucucha rei se. Mbia chɨao ɨcuã mbutiã aquiatu chõ se re. Sequirãcuã tateacuquia jẽje, ɨ que Jesús ñee ee ra. Ñee ngue erasi je cote ra. —Ehuã na. Ndechuchua eso cote. Ndequisa abe erao, ɨ que Jesús emɨ sayã je ra. 
MAT.9.7	Emɨ sayã ngue juã asi oso ra. 
MAT.9.8	Mbia que nyuruɨra ja u mae emɨ sayã ngata rese ra. Mbia que ñee turã ja Dios quirãcuã nɨɨ cot e ra.
MAT.9.9	Mateo, ɨ que emo je ra. Ae que impuestos isi isi beɨ quia mbia rerecua mbaerã nda. Jesús que ngasẽ ee cote ra. Ngoi que huɨ̃ plata isi isi impuestorã nda. —Seruɨ beɨ eɨco, ɨ que Jesús ñee ee ra. Ae Mateo juã oso nguiã eruɨ. 
MAT.9.10	Emo mose que Jesús nyoɨ quiaru erese ra. Impuestos isi isiquia ata que chɨ quiaru erese huee ra. Echɨmbaaquiatu abe rese. Mbia ɨcuã mo abe que chɨ quiaru erese no nda. 
MAT.9.11	Fariseos que ñee ɨcuãte Jesús chɨmbaaquiatu je ra. —¿Mbaerã Jesús riqui quiaru mbia ɨcuãte rese re? ɨ que ñee nda. 
MAT.9.12	Nyebe Jesús ñee nguiã ee. —Sã mbia rasiã ndiqui aba mbucherõsa requia eãte no. Sã erasi chõ ndiqui erequia no. 
MAT.9.13	¿Ã embesa ji jẽɨcuayãte re?
MAT.9.13	“Mbae mo jemee seje”, ae eã nguiã jẽje co.
MAT.9.13	“Jẽya eã ño mbia rese”, ae chõ nguiã jẽje co,
MAT.9.13	ɨ que embesa ji ra. Ũquɨ̃ embesa ji jẽɨcua jiri ae. “Jenyu seje”, aeã ngue u nguiã mbia turã je. Mbia ɨcuã je chõ ngue achu nguiã “jenyu seje” ɨ, ɨ que Jesús ñee ee ra.
MAT.9.14	Juan ñɨmbaaquiatu que ngasẽ ñee Jesús je ra. —Ure quia ureɨco nguiã huɨ huɨ urechɨu sɨ ã. Fariseos chɨmbaaquiatu abe huɨ huɨ quia uchɨu sɨ no. ¿Mbaerã ndechɨmbaaquiatu riqui huɨ ãte uchɨu sɨ ã nde? ɨ que ñee Jesús je ra. 
MAT.9.15	Jesús que ñee ee ra. —Sã emo ndiqui ngũinisirã isi ramo no. Sã eresenda iate riqui quiaru erese no. Sã eriqui huɨ aroneate uchɨu sɨ aque mose no. Sã eru riqui mano emo mose no. Aque mose quiatu ra equiato huɨ uchɨu sɨ cote. 
MAT.9.16	Sã emo ndiqui tiru yasu mɨɨ aroneate tiru ima sorei rese no. Eyasu ra nyaacua quiata eima sɨ. Soro ɨcoɨ tuchɨ ra cote. 
MAT.9.17	Sã emo mbaeri rasi ramo nderecoquiatu eã eriru ima ye no. Mbae ɨre ima ye ererecoquiatu aronea ño ñene. Eri rasi ra ñimatã ño mbae ɨre ndoro. Eri ra uchẽ ja. Mbae ɨre abe mbɨɨcuãte ra cote. Mbaeri yasu quia nda equerecoquiatu nguiã mbae ɨre yasu ye. Soroã sacuã, ɨ que Jesús ñee ee ra.
MAT.9.18	Jesús cheẽ mose que judío rerecua mo ngasẽ ee ra. Jesús jii que ngoi ñee ee ra. —Quɨ seriirĩ sɨ mano namote quɨ. Nyao rã erea. Ndeoco mose erese, quera sɨ rae, ɨ que ñee Jesús je ra. 
MAT.9.19	Jesús que juã oso erese ra. Echɨmbaaquiuiatu abe nyoɨ erese. 
MAT.9.20	Ari rasi mo abe que oso quia mbia ite rɨ̃ nda. Eruqui nda uchẽ mbeɨ quia ee ra. Doce años nyee. Eruqui nda tibayã mbeɨ ee ra. Ari que tu Jesús quite quiti erɨɨchã nda. Jesús ɨrao ai rese que oco cote ra. 
MAT.9.21	—Seoco mose Jesús ɨrao rese ra acherõ, ɨ nda ra. 
MAT.9.22	Jesús que uba ñee ari je ra. —Coche ñene, Echo. Seɨcuate que se ra. Nyebe arembucherõ nguiã, ɨ que Jesús ñee ari je ra. Aque mose tuchɨ que eruqui tiba ee cote ra. 
MAT.9.23	Jesús que ngasẽ nyee judío rerecua chuchua ra. Mbia que nyeseo seo quia ãquẽ ndaaque rese ra. Mbia que ɨraseɨ raseɨ eraaque tiquia nonde ra. 
