GEN.1.1	Mbere na mbere Imana yaremye ijuru n'isi. 
GEN.9.10	n'ibifite ubugingo byose muri kumwe, inyoni n'ibisiga n'amatungo, n'inyamaswa zo mu isi zose hamwe namwe, ibisohotse mu nkuge byose, inyamaswa zo mu isi zose. 
GEN.9.11	Ndakomeza isezerano ryanjye namwe: ibifite umubiri byose ntibizongera kurimburwa n'amazi y'umwuzure, kandi ntihazabaho ukundi umwuzure urimbura isi.” 
GEN.9.12	Imana iravuga iti “Iki ni cyo kimenyetso cy'isezerano nsezeranye namwe n'ibifite ubugingo byose muri kumwe, kugeza ibihe byose. 
GEN.9.13	Nshyize umuheto wanjye mu gicu, ni wo mukororombya, uzaba ikimenyetso cy'isezerano ryanjye n'isi. 
GEN.9.14	Nuko ubwo nzajya nzana igicu hejuru y'isi, umukororombya uzabonekera muri cyo, 
GEN.9.15	nanjye nzajya nibuka isezerano riri hagati yanjye namwe n'ibibaho bifite umubiri byose: amazi ntakongere kuba umwuzure urimbura ibifite umubiri byose. 
GEN.9.16	Umukororombya uzaba mu gicu, nanjye nzajya nywureba kugira ngo nibuke isezerano rihoraho ry'Imana n'ibibaho bifite umubiri byose biri mu isi.” 
GEN.9.17	Imana ibwira Nowa iti “Icyo ni cyo kimenyetso cy'isezerano nakomeje riri hagati yanjye n'ibifite umubiri byose biri mu isi.”
GEN.9.18	Bene Nowa basohotse mu nkuge ni Shemu na Hamu na Yafeti. Hamu ni se wa Kanāni. 
GEN.9.19	Abo uko ari batatu ni bo Nowa yabyaye, ari bo bakomotsweho n'abakwiriye mu isi yose.
GEN.9.20	Nowa atangira guhinga ubutaka ateramo uruzabibu, 
GEN.9.21	anywa vino
GEN.9.22	Hamu se wa Kanāni abona se yambaye ubusa, abibwira bene se bari hanze. 
GEN.9.23	Shemu na Yafeti benda umwambaro bawushyira ku bitugu byabo bombi, bagenza imigongo batwikira ubwambure bwa se, kandi kuko bari bamuteye imigongo ntibarora ubwambure bwe. 
GEN.9.24	Nowa arasinduka, amenya ibyo umuhererezi we yamugiriye. 
GEN.9.25	Aravuga ati
GEN.9.25	“Kanāni avumwe,
GEN.9.25	Azabe umugaragu w'abagaragu kuri bene se.”
GEN.9.26	Kandi ati
GEN.9.26	“Uwiteka ahimbazwe,
GEN.9.26	Ni we Mana ya Shemu,
GEN.9.26	Kanāni abe umugaragu we.
GEN.9.27	Imana yagure Yafeti,
GEN.9.27	Abe mu mahema ya Shemu,
GEN.9.27	Kanāni abe umugaragu we.”
GEN.9.28	Hanyuma ya wa mwuzūre, Nowa amara imyaka magana atatu na mirongo itanu. 
GEN.9.29	Iminsi yose Nowa yaramye ni imyaka magana urwenda na mirongo itanu, arapfa.
GEN.10.1	Uru ni urubyaro rwa bene Nowa, ni bo Shemu na Hamu na Yafeti, babyaye abana hanyuma ya wa mwuzure.
GEN.10.2	Bene Yafeti ni Gomeri na Magogi, na Madayi na Yavani na Tubali, na Mesheki na Tirasi. 
GEN.10.3	Bene Gomeri ni Ashikenazi na Rifati na Togaruma. 
GEN.10.4	Bene Yavani ni Elisha na Tarushishi, na Kitimu na Dodanimu. 
GEN.10.5	Abo ni bo bagabiwe ibirwa by'abanyamahanga, nk'uko ibihugu byabo biri, umuntu wese nk'uko ururimi rwabo rumeze, nk'uko imiryango yabo iri, nk'uko amahanga yabo ari.
GEN.10.6	Bene Hamu ni Kushi na Misirayimu, na Puti na Kanāni. 
GEN.10.7	Bene Kushi ni Seba na Havila, na Sabuta na Rāma na Sabuteka, bene Rāma ni Sheba na Dedani. 
GEN.10.8	Kandi Kushi yabyaye Nimurodi, atangira kuba umunyamaboko mu isi. 
GEN.10.9	Yari umuhigi w'umunyamaboko imbere y'Uwiteka, ni cyo gituma bavuga bati “Nka Nimurodi, wa muhigi w'umunyamaboko imbere y'Uwiteka.” 
GEN.10.10	Igihugu yimyemo ubwa mbere ni Babeli na Ereki, na Akadi n'i Kalune mu gihugu cy'i Shinari. 
GEN.10.11	Ava muri icyo gihugu ajya muri Ashuri, yubaka i Nineve n'i Rehobotiru n'i Kala, 
GEN.10.12	n'i Reseni iri hagati y'i Nineve n'i Kala (aho ni ho wa mudugudu ukomeye).
GEN.10.13	Misirayimu yabyaye Abaludi n'Abanami, n'Abalehabi n'Abanafutuhi, 
GEN.10.14	n'Abapatirusi n'Abakasiluhi (ni bo bakomotsweho n'Abafilisitiya), yabyaye n'Abakafutori.
GEN.10.15	Kanāni yabyaye imfura ye Sidoni na Heti. 
GEN.10.16	Yabyaye n'Abayebusi n'Abamori n'Abagirugashi, 
GEN.10.17	n'Abahivi n'Abaruki n'Abasini, 
GEN.10.18	n'Abanyaruvadi n'Abasemari n'Abahamati, ubwa nyuma imiryango y'Abanyakanāni irakwira. 
GEN.10.19	Urugabano rw'Abanyakanāni rwaheraga i Sidoni, rukagenda rwerekeje i Gerari rukageza i Gaza, rukagenda rwerekeje i Sodomu n'i Gomora, na Adima n'i Seboyimu rukageza i Lesha. 
GEN.10.20	Abo ni bo buzukuruza ba Hamu, nk'uko imiryango yabo iri, nk'uko indimi zabo ziri, nk'uko ibihugu byabo biri, nk'uko amahanga yabo ari.
GEN.10.21	Na Shemu, mukuru wa Yafeti, sekuruza w'urubyaro rwa Eberi rwose, na we abyara abana. 
GEN.10.22	Bene Shemu ni Elamu na Ashuri, na Arupakisadi na Ludi na Aramu. 
GEN.10.23	Abana ba Aramu ni Usi na Huli, na Geteri na Mashi. 
GEN.10.24	Arupakisadi yabyaye Shela, Shela yabyaye Eberi. 
GEN.10.25	Eberi yabyaye abahungu babiri: umwe yitwa Pelegi kuko mu gihe cye arimo isi yagabanirijwemo, kandi murumuna we yitwa Yokitani. 
GEN.10.26	Yokitani yabyaye Alumodadi na Shelefu, na Hasarumaveti na Yera, 
GEN.10.27	na Hadoramu na Uzali na Dikila, 
GEN.10.28	na Obalu na Abimayeli na Sheba, 
GEN.10.29	na Ofiri na Havila na Yobabu. Abo bose ni bene Yokitani. 
GEN.10.30	Urugabano rw'igihugu cyabo rwaheraga i Mesha, rukagenda rwerekeje i Sefaru, rukageza ku musozi w'iburasirazuba. 
GEN.10.31	Abo ni bo buzukuruza ba Shemu, nk'uko imiryango yabo iri, nk'uko indimi zabo ziri, mu bihugu byabo no mu mahanga yabo.
GEN.10.32	Iyo ni yo miryango ya bene Nowa nk'uko yabyaranye mu mahanga yabo, muri bo ni ho amahanga yose yagabanirijwe mu isi hanyuma ya wa mwuzure.
GEN.11.1	Isi yose yari ifite ururimi rumwe n'amagambo amwe. 
GEN.11.2	Bagenda berekeye iburasirazuba, babona ikibaya kiri mu gihugu cy'i Shinari, barahatura. 
GEN.11.3	Barabwirana bati “Mureke tubumbe amatafari, tuyotse cyane.” Kandi bagiraga amatafari mu cyimbo cy'amabuye, bakayafatanisha ibumba mu cyimbo cy'ibyondo. 
GEN.11.4	Baravuga bati “Mureke twiyubakire umudugudu n'inzu y'amatafari ndende, izagere ku ijuru, kugira ngo twibonere izina rimenyekana, twe gutatanira gukwira mu isi yose.”
GEN.11.5	Uwiteka amanurwa no kureba umudugudu n'inzu ndende, abana b'abantu bubatse. 
GEN.11.6	Uwiteka aravuga ati “Dore aba ni ubwoko bumwe n'ururimi rumwe, ibyo ni byo babanje gukora none ntakizabananira gukora bagishatse. 
GEN.11.7	Reka tumanuke tuhahindurire ururimi rwabo, rubemo nyinshi zinyuranye, be kumvana.” 
GEN.11.8	Uwiteka abatataniriza gukwira mu isi yose, barorera kubaka wa mudugudu. 
GEN.11.9	Ni cyo cyatumye witwa Babeli, kuko ari yo Uwiteka yahinduriye ururimi rw'abo mu isi bose, rukavamo nyinshi zinyuranye, kandi ari yo yabakuriyeyo, akabatataniriza gukwira mu isi yose.
GEN.11.10	Uru ni rwo rubyaro rwa Shemu. Shemu yamaze imyaka ijana avutse, abyara Arupakisadi mu mwaka wa kabiri wa mwuzure ushize. 
GEN.11.11	Amaze kubyara Arupakisadi, Shemu arongera amara imyaka magana atanu, ayibyaramo abahungu n'abakobwa.
GEN.11.12	Arupakisadi yamaze imyaka mirongo itatu n'itanu avutse, abyara Shela. 
GEN.11.13	Amaze kubyara Shela, Arupakisadi arongera amara imyaka magana ane n'itatu, ayibyaramo abahungu n'abakobwa.
GEN.11.14	Shela yamaze imyaka mirongo itatu avutse, abyara Eberi. 
GEN.11.15	Amaze kubyara Eberi, Shela arongera amara imyaka magana ane n'itatu, ayibyaramo abahungu n'abakobwa.
GEN.11.16	Eberi yamaze imyaka mirongo itatu n'ine avutse, abyara Pelegi. 
GEN.11.17	Amaze kubyara Pelegi, Eberi arongera amara imyaka magana ane na mirongo itatu, ayibyaramo abahungu n'abakobwa.
GEN.11.18	Pelegi yamaze imyaka mirongo itatu avutse, abyara Rewu. 
GEN.11.19	Amaze kubyara Rewu, Pelegi arongera amara imyaka magana abiri n'icyenda, ayibyaramo abahungu n'abakobwa.
GEN.11.20	Rewu yamaze imyaka mirongo itatu n'ibiri avutse, abyara Serugi. 
GEN.11.21	Amaze kubyara Serugi, Rewu arongera amara imyaka magana abiri n'irindwi, ayibyaramo abahungu n'abakobwa.
GEN.11.22	Serugi yamaze imyaka mirongo itatu avutse, abyara Nahori. 
GEN.11.23	Amaze kubyara Nahori, Serugi arongera amara imyaka magana abiri, ayibyaramo abahungu n'abakobwa.
GEN.11.24	Nahori yamaze imyaka makumyabiri n'icyenda avutse, abyara Tera. 
GEN.11.25	Amaze kubyara Tera, Nahori arongera amara imyaka ijana na cumi n'icyenda, ayibyaramo abahungu n'abakobwa.
GEN.11.26	Tera yamaze imyaka mirongo irindwi avutse, abyara Aburamu na Nahori na Harani.
GEN.11.27	Uru ni rwo rubyaro rwa Tera. Tera yabyaye Aburamu na Nahori na Harani, Harani yabyaye Loti. 
GEN.11.28	Harani apfira aho Tera se ari, mu gihugu yavukiyemo, ahitwa Uri y'Abakaludaya. 
GEN.11.29	Aburamu na Nahori bararongora, umugore wa Aburamu yitwa Sarayi, umugore wa Nahori yitwa Miluka, umukobwa wa Harani, ni we se wa Miluka na Yisika. 
GEN.11.30	Sarayi yari ingumba, ntiyari afite umwana.
GEN.11.31	Tera ajyana Aburamu umwana we na Loti mwene Harani umwuzukuru we, na Sarayi umukazana we, umugore wa Aburamu umuhungu we, bava muri Uri y'Abakaludaya barajyana, bavanwayo no kujya mu gihugu cy'i Kanāni, bagera i Harani barahatura. 
GEN.11.32	Iminsi Tera yaramye ni imyaka magana abiri n'itanu. Tera apfira i Harani.
GEN.12.2	Nzaguhindura ubwoko bukomeye, nzaguha umugisha, nzogeza izina ryawe, uzabe umugisha. 
GEN.12.3	 Kandi nzaha umugisha abakwifuriza umugisha, kandi uzakuvuma nzamuvuma, kandi muri wowe ni mo imiryango yose yo mu isi izaherwa umugisha.”
GEN.12.4	Aburamu aragenda nk'uko Uwiteka yamutegetse, Loti ajyana na we. Ubwo yavaga i Harani, Aburamu yari amaze imyaka mirongo irindwi n'itanu avutse. 
GEN.12.5	Aburamu ajyana Sarayi umugore we, na Loti umuhungu wabo, n'ubutunzi bwose bari batunze, n'abantu baronkeye i Harani. Bavanwayo no kujya mu gihugu cy'i Kanāni, Kanāni ubwaho ni ho basohoye. 
GEN.12.6	Aburamu anyura muri icyo gihugu, agera ahitwa i Shekemu, ahari igiti cyitwa umweloni cya More. Muri icyo gihe Umunyakanāni yari muri icyo gihugu. 
GEN.12.7	 Uwiteka abonekera Aburamu aramubwira ati “Urubyaro rwawe nzaruha iki gihugu.” Yubakirayo igicaniro Uwiteka wamubonekeye. 
GEN.12.8	Avayo ajya ku musozi w'iruhande rw'iburasirazuba rw'i Beteli, abamba ihema rye. Beteli iri iruhande rw'iburengerazuba, na Ayi iri iruhande rw'iburasirazuba, yubakirayo Uwiteka igicaniro, yambaza izina ry'Uwiteka. 
GEN.12.9	Aburamu akomeza kugenda yerekeje i Negebu.
GEN.12.10	Inzara itera muri icyo gihugu, Aburamu aramanuka ajya muri Egiputa asuhukirayo, kuko inzara yari nyinshi muri icyo gihugu. 
GEN.12.11	Ari bugufi bwo gusohora muri Egiputa, abwira Sarayi umugore we ati “Dore nzi yuko uri umugore w'igikundiro, 
GEN.12.12	nuko Abanyegiputa nibakubona bazavuga bati ‘Uyu ni umugore we’, maze banyice nawe bagukize. 
GEN.12.13	 Ndakwinginze, uzajye ubabwira uti ‘Ndi mushiki we’, kugira ngo ngirirwe neza ku bwawe, ukirishe ubugingo bwanjye.” 
GEN.12.14	Aburamu ageze muri Egiputa, Abanyegiputa bareba uko wa mugore ari mwiza cyane. 
GEN.12.15	Abatware ba Farawo baramureba baramumushimira, wa mugore ajyanwa kwa Farawo. 
GEN.12.16	Agirira Aburamu neza ku bwa Sarayi, kandi yari afite intama n'inka n'indogobe z'ingabo, n'abagaragu n'abaja n'indogobe z'ingore n'ingamiya.
GEN.12.17	Uwiteka ahanisha Farawo n'inzu ye ibyago bikomeye, amuhora Sarayi umugore wa Aburamu. 
GEN.12.18	Farawo ahamagaza Aburamu aramubaza ati “Icyo wangiriye iki ni iki? Ko utambwira yuko ari umugore wawe? 
GEN.12.19	Ni iki cyatumye umbwira ko ari mushiki wawe, nanjye nkamwenda nkamugira umugore wanjye? Nuko nguyu umugore wawe mujyane wigendere.” 
GEN.12.20	Farawo amuha abantu bo kumuherekeza, bamuherekezanya n'umugore we n'ibyo yari afite byose.
GEN.13.1	Aburamu avana muri Egiputa n'umugore we n'ibye byose, na Loti ajyana na we, bajya i Negebu. 
GEN.13.2	Aburamu yari afite ubutunzi bwinshi bw'amatungo n'ifeza n'izahabu. 
GEN.13.3	Aragenda, ava i Negebu agera i Beteli, agera aho mbere yabanje kubamba ihema rye, hagati y'i Beteli na Ayi, 
GEN.13.4	ahari igicaniro yubatse mbere. Aburamu yambarizaho izina ry'Uwiteka.
GEN.13.5	Kandi na Loti wagendanaga na Aburamu, yari afite imikumbi n'amashyo n'amahema. 
GEN.13.6	Icyo gihugu nticyabakwiriye kugituranamo, kuko ubutunzi bwabo bwari bwinshi, bibabuza guturana. 
GEN.13.7	Habaho intonganya z'abashumba b'inka za Aburamu n'ab'iza Loti, kandi muri icyo gihe Abanyakanāni n'Abaferizi babaga muri icyo gihugu.
GEN.13.8	Aburamu abwira Loti ati “He kubaho intonganya kuri jye nawe, no ku bashumba bacu, kuko turi abavandimwe. 
GEN.13.9	Mbese igihugu cyose ntikiri imbere yawe? Ndakwinginze tandukana nanjye. Nuhitamo kujya ibumoso nanjye nzajya iburyo, cyangwa nuhitamo kujya iburyo nanjye nzajya ibumoso.”
GEN.13.11	Nuko Loti yihitiramo ikibaya cyose cyo kuri Yorodani, ajya iburasirazuba, baratandukana. 
GEN.13.12	Aburamu atura mu gihugu cy'i Kanāni, Loti atura mu midugudu yo muri cya kibaya, yimura ihema rye, agera i Sodomu. 
GEN.13.13	Kandi Abasodomu bari babi, bari abanyabyaha bacumura ku Uwiteka cyane.
GEN.13.14	Loti amaze gutandukana na Aburamu, Uwiteka abwira Aburamu ati “Rambura amaso urebe, uhere aho uri hano, ikasikazi n'ikusi,
GEN.13.15	 Igihugu cyose ubonye ni wowe nzagiha n'urubyaro rwawe iteka ryose. 
GEN.13.16	Kandi nzagwiza urubyaro rwawe ruhwane n'umukungugu wo hasi. Umuntu yashobora kubara umukungugu wo hasi, urubyaro rwawe na rwo rwazabarika. 
GEN.13.17	Haguruka ugende, unyure muri iki gihugu mu burebure bwacyo no mu bugari bwacyo, kuko ari wowe nzagiha.” 
GEN.13.18	Aburamu yimura ihema rye aragenda, atura ku biti byitwa imyeloni bya Mamure biri i Heburoni, yubakirayo Uwiteka igicaniro.
GEN.14.1	Ku ngoma za Amurafeli umwami w'i Shinari, na Ariyoki umwami wa Elasari, na Kedorulawomeri umwami wa Elamu, na Tidali umwami w'i Goyimu, 
GEN.14.2	abo bami barwanije Bera umwami w'i Sodomu, na Birusha umwami w'i Gomora, na Shinabu umwami wa Adima, na Shemeberi umwami w'i Seboyimu, n'umwami w'i Bela (ni ho Sowari). 
GEN.14.3	Abo bose bateranira mu gikombe cya Sidimu (aho ni ho Nyanja y'Umunyu). 
GEN.14.4	Bamaze imyaka cumi n'ibiri bakorera Kedorulawomeri, mu mwaka wa cumi n'itatu baragoma. 
GEN.14.5	Mu mwaka wa cumi n'ine, Kedorulawomeri n'abami bari kumwe na we baraza, baneshereza Abarafa muri Ashiteroti Karunayimu, baneshereza n'Abasuzi i Hamu, baneshereza n'Abemi i Shavekiriyatayimu, 
GEN.14.6	baneshereza n'Abahori ku musozi wabo Seyiri, barabirukana babageza muri Eliparani, iri hafi y'ubutayu. 
GEN.14.7	Basubirayo, bagera muri Enimishipati (ni ho Kadeshi), banesha Abamaleki mu gihugu cyabo cyose, n'Abamori batuye Hasasonitamari.
GEN.14.8	Maze hatabara umwami w'i Sodomu, n'umwami w'i Gomora, n'umwami wa Adima, n'umwami w'i Seboyimu, n'umwami w'i Bela (ni ho Sowari), bashingira urugamba mu gikombe cya Sidimu. 
GEN.14.9	Barwanya Kedorulawomeri umwami wa Elamu, na Tidali umwami w'i Goyimu, na Amurafeli umwami w'i Shinari, na Ariyoki umwami wa Elasari, abane barwanya abatanu. 
GEN.14.10	Kandi icyo gikombe cya Sidimu cyari cyuzuyemo imyobo irimo ibumba, abami b'i Sodomu n'i Gomora barahunga bagwamo, abacitse ku icumu bahungira ku musozi. 
GEN.14.11	Banyaga ibintu by'i Sodomu n'i Gomora n'ibyokurya byabo byose, baragenda. 
GEN.14.12	Na Loti bamufatirayo mpiri, umuhungu wabo wa Aburamu wari utuye i Sodomu, banyaga ibintu bye barigendera.
GEN.14.13	Haza umuntu umwe wacitse ku icumu, abibwira Aburamu Umuheburayo. Yari atuye ku biti byitwa imyeloni bya Mamure Umwamori, mwene se wa Eshikoli na Aneri, bari basezeranye na Aburamu. 
GEN.14.14	Aburamu yumvise yuko mwene wabo yafashwe mpiri, atabarana n'umutwe we wigishijwe kurwana, bavukiye mu rugo rwe, magana atatu na cumi n'umunani barabakurikira bagera i Dani. 
GEN.14.15	Aburamu n'abagaragu be bigabanyamo imitwe nijoro barabatera, barabanesha, barabirukana babageza i Hoba, iri ibumoso bw'i Damasiko. 
GEN.14.16	Agarura iminyago yose, na Loti mwene wabo n'ibye, n'abagore na bo n'abandi bantu.
GEN.14.17	Atabarutse avuye gutsinda Kedorulawomeri n'abandi bami bari kumwe na we, umwami w'i Sodomu amusanganirira mu gikombe Shave (ni cyo gikombe cy'umwami). 
GEN.14.18	 Kandi Melikisedeki umwami w'i Salemu azana imitsima na vino, yari umutambyi w'Imana Isumbabyose. 
GEN.14.19	Amuhesha umugisha ati “Aburamu ahabwe umugisha n'Imana Isumbabyose, nyir'ijuru n'isi, 
GEN.14.20	kandi Imana Isumbabyose ihimbazwe, yakugabije ababisha bawe.” Nuko Aburamu amuha kimwe mu icumi cya byose.
GEN.14.21	Umwami w'i Sodomu abwira Aburamu ati “Mpa abantu, ibintu ubyijyanire.”
GEN.14.22	Aburamu asubiza umwami w'i Sodomu ati “Ndahirishirije Uwiteka kumanika ukuboko kwanjye, ni we Mana Isumbabyose, nyir'ijuru n'isi, 
GEN.14.23	yuko ntazatwara akadodo cyangwa agashumi k'inkweto ko mu byawe, kugira ngo utibwira uti ‘Ni jye utungishije Aburamu.’ 
GEN.14.24	Keretse gusa wishyura impamba nahaye abagaragu banjye, kandi uhe abo twatabaranye umugabane. Aneri na Eshikoli na Mamure bo bajyane umugabane wabo.”
GEN.15.1	Hanyuma y'ibyo, ijambo ry'Uwiteka riza kuri Aburamu, mu iyerekwa riti “Aburamu, witinya ni jye ngabo igukingira, uzagororerwa ingororano ikomeye cyane.”
GEN.15.2	Aburamu aramubaza ati “Mwami Uwiteka, uzangororera iki ko ngenda ndi incike, kandi uzazungura urugo rwanjye ari Eliyezeri Umunyadamasiko?” 
GEN.15.3	Ati “Dore nta rubyaro wampaye, kandi uwavukiye mu rugo rwanjye azaragwa ibyanjye.”
GEN.15.4	Maze ijambo ry'Uwiteka riza kuri we riti “Uwo si we uzaragwa ibyawe, ahubwo uzakomoka ku rukiryi rwawe ni we uzabiragwa.” 
GEN.15.5	 Aramusohokana aramubwira ati “Rarama urebe ijuru, ubare inyenyeri niba wabasha kuzibara.” Ati “Urubyaro rwawe ni ko ruzangana.”
GEN.15.7	Aramubwira ati “Ni jye Uwiteka wakuvaniye muri Uri y'Abakaludaya kugira ngo nzakurage iki gihugu.”
GEN.15.8	Aramubaza ati “Mwami Uwiteka, icyamenyesha yuko nzakiragwa ni iki?”
GEN.15.9	Aramusubiza ati “Enda iriza y'inka imaze imyaka itatu ivutse, n'ibuguma y'ihene imaze imyaka itatu, n'impfizi y'intama imaze imyaka itatu, n'intungura imwe, n'icyana cy'inuma.” 
GEN.15.10	Maze yenda ibyo byose abicamo kabiri, arabyerekeranya, keretse za nyoni ni zo atagabanije. 
GEN.15.11	Inkongoro zagwaga ku mirambo, Aburamu akazigurutsa.
GEN.15.13	 Uwiteka abwira Aburamu ati “Menya neza yuko urubyaro rwawe ruzaba abashyitsi mu gihugu kitari icyabo, bazakorera ab'aho, na bo bazabababaza imyaka magana ane. 
GEN.15.14	 Nanjye nzacira ho iteka iryo shyanga bazakorera, ubwa nyuma bazarivamo bavanyemo ubutunzi bwinshi. 
GEN.15.15	Ariko wowe ho uzasanga ba sogokuruza amahoro, uzahambwa ushaje neza. 
GEN.15.16	Ubuvivi bw'abazajyayo ni bwo buzagaruka ino, kuko gukiranirwa kw'Abamori kutaruzura.”
GEN.15.17	Maze izuba rirenze hatakibona, ikome ricumba n'urumuri rwaka binyura hagati ya bya bice. 
GEN.15.18	 Kuri uwo munsi Uwiteka asezeranya Aburamu isezerano, ati “Urubyaro rwawe nduhaye iki gihugu, uhereye ku ruzi rwa Egiputa ukageza ku ruzi runini ari rwo Ufurate, 
GEN.15.19	igihugu cy'Abakeni n'icy'Abakenizi n'icy'Abakadimoni, 
GEN.15.20	n'icy'Abaheti n'icy'Abaferizi n'icy'Abarafa, 
GEN.15.21	n'icy'Abamori n'icy'Abanyakanāni, n'icy'Abagirugashi n'icy'Abayebusi.”
GEN.16.1	Sarayi umugore wa Aburamu ntibari babyaranye, kandi yari afite umuja w'Umunyegiputakazi witwaga Hagari. 
GEN.16.2	Sarayi abwira Aburamu ati “Dore Uwiteka yanyimye urubyaro. Ndakwinginze gira umuja wanjye inshoreke, ahari nazabonera urubyaro kuri we.” Aburamu yumvira Sarayi. 
GEN.16.3	Nuko Aburamu amaze imyaka cumi atuye mu gihugu cy'i Kanāni, Sarayi umugore we, ajyana Hagari Umunyegiputakazi umuja we, amushyingira Aburamu umugabo we. 
GEN.16.4	Aryamana na Hagari asama inda, abonye yuko asamye inda bimusuzuguza nyirabuja.
GEN.16.5	Sarayi abwira Aburamu ati “Guhemurwa kwanjye kube kuri wowe, ko nashyize umuja wanjye mu gituza cyawe, maze abonye yuko asamye inda biramunsuzuguza. Uwiteka abe ari we uducira urubanza wowe nanjye.”
GEN.16.6	Aburamu asubiza Sarayi ati “Dore umuja wawe mwitegekere, umugire uko ushatse kose.” Sarayi amugirira nabi, na we aramuhunga.
GEN.16.7	Marayika w'Uwiteka amubonekera mu butayu, ari hafi y'isōko yo mu nzira ijya i Shuri. 
GEN.16.8	Aramubaza ati “Hagari muja wa Sarayi, urava he ukajya he?” Aramusubiza ati “Mpunze mabuja Sarayi.”
GEN.16.9	Marayika w'Uwiteka aramubwira ati “Subirayo kwa nyokobuja, wemere ibyo akugirira.” 
GEN.16.10	Marayika w'Uwiteka arongera aramubwira ati “Nzagwiza cyane urubyaro rwawe, rwe kubarika.” 
GEN.16.11	Marayika w'Uwiteka arongera aramubwira ati “Dore, uratwite uzabyara umuhungu, uzamwite Ishimayeli,
GEN.16.12	Hagati y'abantu azamera nk'imparage, azagira undi muntu wese umubisha we, n'abandi bose bazamugira umubisha wabo, azatura imbere ya bene se bose.”
GEN.16.13	Ahimba Uwiteka wavuganye na we izina ati “Uri Imana ireba.” Ati “Mbese Indeba nayiboneye na hano?” 
GEN.16.14	Ni cyo cyatumye rya riba ryitwa Iriba rya Lahayiroyi
GEN.16.16	Aburamu yari amaze imyaka mirongo inani n'itandatu avutse, ubwo yabyaranaga na Hagari Ishimayeli.
GEN.17.1	Aburamu amaze imyaka mirongo urwenda n'icyenda avutse, Uwiteka aramubonekera aramubwira ati “Ni jye Mana Ishoborabyose, ujye ugendera imbere yanjye kandi utungane rwose. 
GEN.17.2	Nanjye ndasezerana isezerano ryanjye nawe, nzakugwiza cyane.” 
GEN.17.3	Aburamu arubama, Imana iramubwira iti 
GEN.17.4	“Dore isezerano ryanjye ubwanjye ndariguhaye, nawe uzaba sekuruza w'amahanga menshi. 
GEN.17.5	 Kandi ntuzitwa ukundi Aburamu, ahubwo wiswe Aburahamu kuko nkugize sekuruza w'amahanga menshi. 
GEN.17.6	Kandi nzakororotsa cyane, nzatuma amahanga agukomokaho, n'abami bazagukomokaho.
GEN.17.8	 Kandi wowe n'urubyaro rwawe ruzakurikiraho, nzabaha igihugu cy'ubusuhuke bwawe, igihugu cy'i Kanāni cyose kuba gakondo y'iteka, nanjye nzaba Imana yabo.”
GEN.17.9	Imana yongera kubwira Aburahamu iti “Nawe uzakomeze isezerano ryanjye, wowe n'urubyaro rwawe ruzakurikiraho kugeza ibihe byabo byose. 
GEN.17.10	 Iri ni ryo sezerano ryanjye muzakomeza, riri hagati yanjye namwe n'urubyaro rwawe ruzakurikiraho, umugabo wese muri mwe azakebwa. 
GEN.17.11	Muzakebwa umunwa w'ibyo mwambariye, kizaba ikimenyetso cy'isezerano ryanjye namwe. 
GEN.17.12	Umuhungu wese muri mwe uzaba amaze iminsi munani avutse azakebwa, bigeze ibihe by'ingoma zanyu zose. Uzaba avukiye mu rugo rwawe, cyangwa utari uwo mu rubyaro rwawe waguzwe n'ifeza n'abanyamahanga, 
