MAT.1.1	Naunaekhimayun Jesus Christim hivullingita atingit, tamna Davidim kingullia, Abrahamlu kingullia. 
MAT.7.17	Taima napaaktun naguyun ahiakakpaktun naguyumik, napaaktulli nagungitun tapkua ahiakakpaktun nagungitumik. 
MAT.7.18	Napaaktuk nagugumi ahianiyuituk nagungitumik. Napaaktuglunin nagungitkumi tamna ahianiyuituk naguyumik. 
MAT.7.19	Napaaktun tamangmik ahiakangngitkumik naguyumik kipiyauyukhat igitaukuvlugit ingnengmun. 
MAT.7.20	Taima huliyangingnin ilitaginiaktahi.
MAT.7.21	“Tamnaungitum ukautivlunga ukakhuni, 'Atanengmik, Atanengmik' kilaum atanguvianun itegniaktuk, tamnauyumli Angutima kilangmiitum ihumangit pigumigit kihimi. 
MAT.7.22	Uvluk kingullik tikitpan amihut ukautiniaktangnga ukaglutik, 'Atanek, Atanek hivuniugiakpagngilavut atingni, agiuktunlu anipkakpagngilavut atingni, hapengnaktuniklunin havakpagngilavut atingni?' 
MAT.7.23	Talva ukallautihunguyavut tapkua imaatun, 'Uvanga ilihimangngitpiagapfi kimakhinga huinekituyuhi.'
MAT.7.24	“Kinalika tapfuma ukauhitka tuhaagumigit maliklugit angutun-ituk ihumatuyutun iglulivangman kaektumun. 
MAT.7.25	Ilaani nipalugyuaman kugaglu ulipkangman, anukim iglu hayuktitugu imiglimaituk tungavikakpagami kaektumi. 
MAT.7.26	Kinalikalunin ukauhitka nalaugumigit malikhimaitumik angutuniniaktuk ihumaitutun tamna iglulengman hiugainangmun. 
MAT.7.27	Nipalugyuaman, kugaglu ulipkangman anukimlu iglu hayuktimani imikpaktuk. Tapfumalu tamagvia kuvianaitpiaktuk.”
MAT.7.28	Jesuslu ukaguegman hapkuninga inuit agligutakpiaktun ilithauyyutainun, 
MAT.7.29	ilithautivangmatik akhukhuni tiitigaktitun-ingitgaluakhunilu.
MAT.8.1	Jesus manilgulmin atkauman inuit amihun maliktaat. 
MAT.8.2	Aahin inum kilakhimayum tikittugu hitkuvigiyaa ukallautivlugu, “Atanek, piyumaguvin kilaektiniaktangma.” 
MAT.8.3	Jesusimlu ihakhuni aktuktaa ukakhuni, “Piyumayunga, naguhiguin”. Tayyainaglu kilaekpaktuk. 
MAT.8.4	Jesus ukallautiyagaluanga, “Uminga uniutitailugit inuit. Angayyuvikpagyuakut kihimi upakit takupkaikuvlutin ilingnik tapkununga aitugiaktuklutinlu Mosesim pitkuivangman naunaikutikhakakuvlutin inungnun.”
MAT.8.5	Jesus Capernaumun tikilektillugu angun anguyaktilik tapfumunga upangniktuk tukhiagvigivlugu 
MAT.8.6	ukakhuni, “Atanek, kivgaga iglumni nallayuk tumangayutun ulugiahukpiakhuni” 
MAT.8.7	Kiuyaa, “Pulaayyavunga naguhipkakuvlugu”. 
MAT.8.8	Anguyaktilgum ukautiyagaluanga, “Atanek, uvanga kanguhutikhakakpallaagama iglumnun pulaaktukhaungitkaluaktutin; ukainagiaguvin kivgaga naguhiniaktuk. 
MAT.8.9	Uvanga ataninguktitauhimavagama anguyaktinun, ilangaanun ukaguma, 'Ailegin', aiyuk, allanunlunin 'Kaigiagin', kaiyuk, kivgagalunin ukautigupku, 'Una piguk', piyaa tamna.” 
MAT.8.10	Jesus tapfuminga tuhaagami agligutaktuk maligutiminun ukakhuni, “Ilumun ukautigipfi Israelmiuni ilaa ukpekpiaktumik ikumaatun-itumik tautuyuitpaktunga. 
MAT.8.11	Ukautigipfilu uataanin, kivataaninlu inuit amigaitun kaithunguyun ikhivakatigiyumavlugit Abraham, Isaaclu, Jacoblu kilaum atanguviani, 
MAT.8.12	atanguviata kitungain taaknengmun hilataanun igitaugaluaktillugit; takanani inuit kiahunguyun kiipkaktiniakhutik. 
MAT.8.13	Anguyaktilingmunlu Jesus ukaktuk, “Ailutin, ukpegavin pinialekutin piyumaningnik.” Tayyainaglu tapfuma kivganga naguhipkaktauyuk.
MAT.8.14	Jesus Peterm igluanun pulaagami, tapfuma hakia angnak nallayuk kiyyahimavluni tautuktaa. 
MAT.8.15	Angnam algaa aktugmagu kiyyahuegami makittuk kivgaktukhugu.
MAT.8.16	Uvlailgunmi Jesusmun inuit agiuktulgit amihut agitiyauyun. Tapfumalu ukauhimigun agiuktun anipkaktain naguhipkakhugillu aaniakhimayun taimaita. 
MAT.8.17	Taimaatun nalautaiyim Isaiam ukauhiit ilumukpaktun ukangman, “Tapfuma aaniagutivut piektitpagain.”
MAT.8.18	Aahin Jesusim inuit amigaitun takugamigit iluvangniamayyuk ikaakuiyuk tahiup akiaanun. 
MAT.8.19	Tiitigaktilu tikinami ukallautiyaa, “Ilihauyyi, naamunlunin aullaguvin malingniaktagin.” 
MAT.8.20	Jesusim kiuyagaluanga, “Teggiganiat hitikaktun, tingmiallu uvlukakhimayun, Inum engnigali innikhaekpiaktugaluak.” 
MAT.8.21	Maligumayunlu ilangata ukallautiyaa Jesus, “Atanek, angutiga tukuman iluvegiaktugniagiga ilvin pipkagungma.” 
MAT.8.22	Jesusim kiuyagaluanga, “Malinga, tukungayun tukungayunik iluvegiaktuglit.”
MAT.8.23	Jesus umiagmun ikinman, maligutaita maliktaat. 
MAT.8.24	Ilaa tahengmilu maligyualengman umiak kalualektuk, Jesusli hiningnaktugaluak. 
MAT.8.25	Tapkua tupapkaktaat ukakhutik, “Atanek, annautitigut tamangnialegapta.” 
MAT.8.26	Tapfuma ukaullautiyain, “Hug nangialekihi ukpegnekukitpallagapfi?” Makinamilu anugi malgillu nutkaktitain, ukhuaktuklu talva. 
MAT.8.27	Angutillu tapkua aglegutakpiagamik ukaktun, “Una angut kinauva anukimlu, malgit tuhaavigimayyuk?”
MAT.8.28	Tahiup akiaanun tikinman Gadaremiun nunaanun, agiuktulik malguk iluvilingmin kaigamik upaktaak. Tapkuak ekhinakpiangmanik inuit apkuhagumangngitain. 
MAT.8.29	Tapkuak tukhulayuk, “Godim engniga, huliniakkitiguk? Uktuktauvik tikitinagu kapiahuktiniakkitiguk?” 
MAT.8.30	Taikani kanilgumi tuktukluit amigaitun neginialektun. 
MAT.8.31	Agiuktun Jesus tukhiagvigigamitku ukaktun, “Anipkangniaguptigut tuktuklungnun tapkununga itekutigut.” 
MAT.8.32	Ukautiyain, “Tapkunungaugitti”. Tayyainaglu tapkua anigamik tuktukluit itegvigiyain. Aahin tuktukluit tamangmik uvinnanengmin hitualegamik iyukaktun imangmun tamakhutik.
MAT.8.33	Tuktuklukhekiyit angutit kimauvlutik aiyun iglukagvingmun inuit uniutiyain tamainik agiuktuliktigun. 
MAT.8.34	Aahin iglukagvigmiut tamangmik paaktaat Jesus, takugamitkulu tukhiagvigiyaat nunamingnin aullakuvlugu.
MAT.9.1	Jesus umiagmun ikinami ikaaktuk iglukagvini tikittugu. 
MAT.9.2	Inuillu tumangayuk kagitiyaat kipikhimayumik tapfumunga. Jesusimlu tapkua ukpegningit nalunginamigit tumangayumun ukallaktuk, “Kuviahugin, engniga, huinekutin ihumagiyauyunaengmata.” 
MAT.9.3	Tapfumanilu tiitigaktit ilait ingmingnik ukallaktun, “Una angun ukaniluktuk Godmik.” 
MAT.9.4	Jesusimli tapkua ihumangit ilihimagamigit ukaktuk, “Hug umatipfingni ihumalukpihi? 
MAT.9.5	Nalliak aiyungnaitkiak, ukalluni, 'Huinekutitin ihumagiyauyunaektun', imaatunlunin, 'Makittin pihugiaginlu'? 
MAT.9.6	Ilihimakuvluhi Inum engniga hakugingman nunami inuit huinekutain ihumagiyunaeglugit” – tumangayumun ukallaktuk – “Makittin kipkin tiguguk aigiaginlu.” 
MAT.9.7	Tamna makinami aiyuk. 
MAT.9.8	Inuillu amigaitun tamna takugamitku agligutaktun kuyagivlugu God hakugiktimatik inuit.
MAT.9.9	Jesuslu talvanga aullamigami angumik atikaktumik Matthewmik tautuktuk tamna manilekhiyikagvingmi ikhivainaktillugu. Tapfuma ukallautiyaa, “Malinga”. Nangekamilu maligahualektaa.
MAT.9.10	Aahin Jesus iglumi negitillugu, ilaa manilekhiyit amihun huinekiyullu negikatigiyain Jesus maligutaillu. 
MAT.9.11	Pharisekullu takugamitku tapfuma maligutain ukautiyain, “Hug ilihauyipfi negikatigivagit manilekhiyit huinekiyullu?” 
MAT.9.12	Jesusim tamna tuhaagamiuk ukaktuk, “Inuit naamaktillugit daktimik takuyumangngitun, tapkua aaniaktun kihimi. 
MAT.9.13	Takki uma hivunia ilihagiaktukhiuk, 'Nagliguhuktun pitkuhiit nagutkiyaunahugiyatka aitutikhaanin amigaitunin'. Kaithimangngitpaktunga inuit ilumuktun kaitkukuvlugit uvamnun, huinekiyun kihimi.
MAT.9.14	Aahin Johnim maligutaita upaktaat Jesus ukakhutik, “Hug Pharisekullu negitailingnaktilluta maligutitin ilvin negitailiyuitpaktun?” 
MAT.9.15	Jesusim kiuyain, “Nulianiyukilektum ilannain kuviahungngitukhauvat uikhak ilagitillugu? Kakugulunin uikhak aullautiyautpan tapkunanga, talva negitailihunguyun.
MAT.9.16	“Annugak alikhimayuk ilaahakaktukhaungitpiaktuk nutaamik tamna alikataknakhavuk nutaamin angikiyamik. 
MAT.9.17	Imektautinun utukangnun wainmik nutaamik ilahitailuhi imektautin aheguknakhavun wainlu kuvingnaklugit. Wainlu nutat imektautini nutaaniitpata tamangmik naamangniaktun.”
MAT.9.18	Taimatumik Jesus ukaktillugu, inuk ataninguyuk tikittuk hitkukhuni hanganun ukaktuk, “Tayyanuak paniga tukuyuk; kaiguvinli aktugiaktugungni inuyumaaktuk.” 
MAT.9.19	Jesuslu makinami maliktaa maligutaitalu malikhugu.
MAT.9.20	Ilaa tapfumani angnak aungnayuktuk ukiuni 12ni tapfuma angugamiuk annugaata hinagun aktugiaktuktaa tunuanun, 
MAT.9.21	inmigun ukagami, “Annugainak aktugupku naguhiniaktunga.” 
MAT.9.22	Jesusimlu kiviakami tautukhugu ukaktuk, “Kuviahugin, paniga, ukpegnivin naguhipkagmatin”, tayyainaglu naguhivaktuk angnak tamna.
MAT.9.23	Jesuslu atangum igluanun tikinami tautukhugit huvlutaliktuktun inuillu nipyainakhutik, 
MAT.9.24	ukautiyain, “Aahivagitti, angnanguhek hiningnangman tukuhimaitumik.” Inuit iglautigiyagaluangat. 
MAT.9.25	Inuit anipkaktaukaaktillugit itektuk angnanguhem alganga tiguvlugu, tamnatauk makittuk. 
MAT.9.26	Havaangalu tuhaatitauvaktuk nunani aahini tapfumani.
MAT.9.27	Jesuslu talvanga aullangman angutik takpiituk tapfumunga maliktuk tukhulauvlutik nipikuktuyumik, “Ilvin, Davidim engniga, nagligitiguk.” 
MAT.9.28	Iglumun itegman Jesus, takpiitun upaktaak. Jesusim ukautiyak, “Pinahualektamnik iliptingnun ukpekpitik?” Tapkua kiuyaak, “Ilaa, Atanek”. 
MAT.9.29	Iyingillu aktugamigit ukallaktuk, “Ukpegaptik piyauli iliptingnun.” 
MAT.9.30	Tautuglektuk talva. Jesusimlu ukallautiyak akhukhugik, “Uminga uniuyyitailutik inungnun”. 
MAT.9.31	Tapkuagli aigamik uniuyyivaktugaluak tamainik inungnun.
MAT.9.32	Tapkuak animanik, inuk agiuktulik ukayuituk agitiyauyuk Jesusmun. 
MAT.9.33	Agiuktugli anipkaktauman ukayuitugaluak ukalektuk. Inuit agligutakamik ukaktun, “Taimatumik tautugnaitugaluak Israelmiuni. 
MAT.9.34	Pharisekulli ukallaktugaluit, “Uma agiuktun anipkaktain agiuktun ataniagun.” 
MAT.9.35	Jesuslu akuivaktuk iglukagvingnun iglugiegngitununlu tamainun atugvingni ilihauyyivluni atanguvia ukauhianik naguyunik, naguhipkaivluni aaniaktunik tamainik.
MAT.9.36	Jesusim inuit amigaitun takugamigit nagligiyain aiyukalengmata ikayuktikhaekhutik imnaitun imnailikangngitutun-ilivlutik.
MAT.9.37	Talva Jesusim maligutini ukallautiyain, “Katihivik ilaa angiyuk, havaktilli ikitugaluit. 
MAT.9.38	Talva katihivium ataningat tukhiagvigiluhiuk havaktukhanik tilikuvlugu katihiviminun.
MAT.10.1	Jesusim maligutini 12nguyun kaitkugamigit inminun hakugiktitain tapkua agiuktun anipkakuvlugit aaniagutilgitlu tamaita naguhipkakuvlugit. 
MAT.10.2	Apostles 12n atingit hapkua; hivullik Simon, Petermik taiyauyuk, anikataalu Andrew. James Zebedeem engniga, nukaalu John. 
MAT.10.3	Philip Bartholomewlu; Thomaslu Matthewlu manilekhiyinguyuk tamna. Jameslu, Aphaeusim engniga, Thaddaeuslu. 
MAT.10.4	Simonlu Cananmiutak, Judas Iscariotlu tuniniaktagaluanga Jesus.
MAT.10.5	Tapkua 12nguyun Jesusim tiliyain pitkuvlugit ukakhuni, “Jewmiungitun nunainun aullaktailuhi, Samariamiullu iglukagvit apkuhaktailugit, 
MAT.10.6	Israelmiunun tamakhimayunun imnaitun aullakpagluhi. 
MAT.10.7	Aullagaigupfi ukauyyigitti, 'Kilaum atanguvia kaglilektuk'. 
MAT.10.8	Aaniaktun naguhipkakhigit, tukungayun makitihigit, kilakhimayullu kilaektihigit anipkaklugit agiuktun. Ilipfi akikangngitumik pivaktuhi, akikangngitumiglu tunipkaihimaluhi. 
MAT.10.9	Aullagaigupfi goldmik, silvamiglu, kanuyagmiglu natkaktailuhi manikagvipfingni. 
MAT.10.10	Aahin natkaktailuhi pukhautiniglu, atigihaniglu malgunik, kamikhaniglunin, aiyaupiamiglunin, havakti nekihaminik aituhiaktukhauman.
MAT.10.11	Iglukagvingnun iglukagluangitununlunin nallianun tikikaigupfi inungmik ilumuktumik keniyyavuhi naiyukuvlugu tamna aullakiktinahi. 
MAT.10.12	Iglumunlu itegupfi iglum inuningit hallupaglugit. 
MAT.10.13	Inuillu nagutpata naguguktihigit, nagungitpatalunin naguguktitailiyyavahi. 
MAT.10.14	Kialika ilagiyumangngitpahi tuhaayumangngitkivlutik ukauhipfingnun anigupfi igluanin iglukagvianinlu hiugaektilugit itigahi kemaktilluhi tapkunanga. 
MAT.10.15	Ilumun ukautigipfi, uktuktauvium uvlua tikitpan tamna Sodomiunun Gomorrahmiununlu kuvianaitkiyauyunaituk tapkunanga.
MAT.10.16	“Ilaa tiliyapfi imnaitun amakkut akunganun talva aiyuekpagluhi nimegiaktun ekhinaitgaluaktilluhilu akkelyyektun. 
MAT.10.17	Upingakhitailuhi inungnin tapkua uktuktauvimingnun agitihungumahi atugvimingni ungulagumavluhi. 
MAT.10.18	Aahin ataningnun, atanekpainunlu agitiyauniaktuhi pivlunga uniuyyikuvluhi tapkununga Jewmiungitununlu. 
MAT.10.19	Tapkua agitipahi ihumaluktailuhi ukautikangniaktilaapfingnik ukautikhapfingnik ilihimangniagapfi talvangukkan 
MAT.10.20	ukagunaekapfi ilipfigun, Angutipfi Anengningata ukaktiniangmahi.
MAT.10.21	“Inuit anikatitik aitutiginiaktain tukutaukuvlugit, nutakalgillu nutakatik. Kitungallu angayukatik imakaaginiaktain tukutaukuvlugit. 
MAT.10.22	Ilipfilu tamainin nagugiyauyunaituhi pivlunga atipkun. Kinalika ukpekhimagumi ipigakhimaitumik annauyyauhunguyuk. 
MAT.10.23	Iglukagvingmi atauhengmi nangiktipahi allanun kimauyaktugluhi. Ilumun ukautigipfi, Israelmiuni iglukagvit tamaita tikittunaitahi Inum engniga tikikaaktinagu.
MAT.10.24	“Maliguhuktuk ilihauyyiminin ataniukiyaungituk, kivgaklunin ataniminin. 
MAT.10.25	Maliguhuktuk ilihauyyimitun, kivgaklunin atanimitun-itkumi naamakhiyuk. Inuit iglum atania taivagamitku Beelzebulmik, amigaitkiyamik tapfuma iglumiukatain ukanilutiginiaktain.
MAT.10.26	“Talva ekhigitailugit tapkua; hullika ulikhimayuk takupkaktauhunguyuk, iyekhimayuglu naunaekhunguyuk. 
MAT.10.27	Taaktillugu uvamnin tuhaayahi ukautigihigit kaumayumi. Tuhaayahilu avaliitilluta ukauhinik tukhulauvagluhi iglupaita kanganin. 
MAT.10.28	Ekhigitailugillu tapkua tukuttiyun timimik tukuttilimainmata napamik; ekhigiluhiuk tamna tukuttiyuk timimik napamiglu ikualakttivingmi. 
MAT.10.29	Kupanuak malguk akikakpangngilak maniuyagmik atauhengmik? Tapkuali ilangat atauheklunin nunamun katagunaituk Angutipfi pipkakngitpani. 
MAT.10.30	Ilipfilu niakupfi nuyain kititauhimayunlu. 
MAT.10.31	Talva ekhitailuhi kupanuanin amigaitunin akitukiyaugapfi.
MAT.10.32	“Kialika ukautigipanga naguyumik inungnun, uvangatauk ukautiginiagiga tamna Angutimnun kilangmiitumun naguyumik. 
MAT.10.33	Kialikalunin ukautigipanga nagungitumik inungnun, uvangatauk ukautiginiagiga tamna nagungitumik Angutimnun kilangmiitumun.
MAT.10.34	“Ihumatailuhi naamaktumik tikihimayunga havakuvlunga nunami, kaithimagaluaktunga inuit avitkuvlugit. 
MAT.10.35	Tikinama inuk anguminun tuhayunaektuk, angnam panialu angnaminun tuhaayunaektuk, angnaklunin ukuallu hakiminun aiyungnangniaktuk. 
MAT.10.36	Inuglu iglulik nagugiyauyunaektuk iglumiukatiminin.
MAT.10.37	“Inum anguni angnanilu nagugikiyagigumigik uvamnin ilagiyakhagingitanga. Kialika engnini paninilunin nagugikiyagigumiuk uvamnin ilauyukhaungitpiaktuk uvamnun. 
MAT.10.38	Inuglu haniagutiminik tiguhingitkumi malikuvlunga ilagiyakhagingitanga. 
MAT.10.39	Inuk inuheminik munakhigumi tamaktiniaktaa. Inugli inuheminik munakhingitkumi tamaktitunaitagaluanga.
MAT.10.40	“Inum ilagigumihi ilipfi, ilagiyangatauk; tapfuma ilagiguminga atauhektun ilagiyaa tiliyigatauk. 
MAT.10.41	Kialika nalautaiyi ilagigumiuk nalautaiyiuman akiliuhiakhunguyuk nalautaiyitun. Kialikalunin inuk ilumuktuk ilagigumiuk tamna ilumungman, akiliuhiakhunguyuglu inuk ilumuktutun. 
MAT.10.42	Kinalunin niglaktumik imektihigumi maligutima ilainik malilengman uvamnun, ukaktunga ilumuktumik, tamna akiliukhiakhunguyuk puiguktauhimaitumik.
MAT.11.1	Aahin Jesusim maligutini 12n ilihautiguekamigit talvanga aullaktuk ilihauyyikuvlugu iglukavingni.
MAT.11.2	Talva John itektauvigmiitillugu Christim havaagingnik tuhaagami maligutiminik ilainik tiliyuk, 
MAT.11.3	apekhukuvlugu, “Tamna inuk tikitukhak tamauvin allamiglunin negiuktukhauvita?” 
MAT.11.4	Jesusim kiugamigik ukaktuk, “Takki utegittik John uniutilugu takuyaptingnik tuhaayaptingniglu. 
MAT.11.5	Takpiitun tautuglektun, niuluktun pihukpaktun, kilalgitlu kilaekpaktun, tuhaayuitunlu tuhaalektun, tukungayunlu inupkaktauvaktun, ilingayununlu Godim ukauhiit naguyun ukaktauyun. 
MAT.11.6	Kuviahuktuk inuk ihuigingitkuminga.
MAT.11.7	Tapkuak aullangmanik Jesusim John unipkautiginahualektaa inungnun, “Hug inuilgulmun aullakpakpihi? Tautukuvlugu ivik aulayyakhimayumik anugimun? 
MAT.11.8	Hug taavungakpakpihi? Takuyaktukuvlugu angun annugakhimayuk pinektumik? Ilaa inuit annugakhimayun pinektunik atanitpait igluningniitpaktun. 
MAT.11.9	Talva hug talvungakpakpihi? Nalautaiyi takuyaktukuvlugu? Ilaa ukautigipfi, tamna nalautaiyimin ataniukiyauyuk.
MAT.11.10	Tapfumuna tiitigakhimayuk imaatun,
MAT.11.10	'Ilaa, uniuyyiga tiliyaga hivunengnun,
MAT.11.10	Apkutikhangnik upalungayakuvlugu hivunengni.'
MAT.11.11	Ilumun, ukautigipfi, inungnin tamainin John ataniukiyauvaktuk, kilaum atanguvianili tamna ataniukiyaungituk Johmin ataniukiyauyugaluak. 
MAT.11.12	John Baptaiekti umatillugu talvaangaanin kilaum atanguvia akhuktauvaktuk inuillu akhukhutik piyutigiyaat. 
MAT.11.13	Nalautaiyit pitkuyaillu hivuniugiakpaktun John tikitkaaktinagu, 
MAT.11.14	ukpegiyumagupfiuglu, tamna Elijauyuk tikittukhauyuk. 
MAT.11.15	Inuk hiutilik hapkuninga tuhaali.
MAT.11.16	“Inuitli inuyun tayya hunaatun-ilivat? Tapkua nutakatun-iliyun ikhivainakhutik niuvavingmi hilami, ingmingnun tukhulaumata ukakhutik, 
MAT.11.17	'Atuktuyaktugaptali ilipfingnun numegiagumangngitugaluyuhi; ilaektutun-inguagaptalu mamiahuguakhuta kiagumangngitgaluaktuhi'. 
MAT.11.18	John tikinman negitailivluni imiyuikivlunilu inuit ukaktun, 'Agiuktukaktuk tamna'. 
MAT.11.19	Inum engnigali tikinman negivluni imekhunilu tapkua ukaktun, 'Tamayya negivallaaktuk, imiyuktuglu, ilannagivlugit manilekhiyit, huinekiyunlu!' Ihumatuyun havaangit ilumukpiagamik naunaektugaluit.”
MAT.11.20	Talva Jesusim ihuakhagahuaktain iglukagvigmiun ihumaliukigngimata tapkunani hapengnaktumik havagaluaktillugu. 
MAT.11.21	“Kapiahuglit Chorazinmiun! Kapiahuglit Bethsaidamiun! Tyremiun Sidonmiunlu tautugumitigit hapengnaktun havaktauhimayugaluit ilipfingni tapkua ihumaliukingniaktun kangagaaluk annugaglutik miihugmik pingiyaklutiglu paugmik. 
MAT.11.22	Ukautigipfili, uktugvium uvlua Tyremiunun Sidonmiununlu ekhinaitkiyauhunguyuk ilipfingnin. 
MAT.11.23	Ilipfitauk Capernaumiun, kilangmun kangatakhimayuhi? Napatikagvingmun atkautiyauhunguyuhi. Sodomiuni hapengnaktun havaktaupata, havakhimayutun ilipfingni, iglukagvik tamna nungulimaitugaluak talvangaanin. 
MAT.11.24	Ukautigipfi, Uktugvium uvlua Sodomiunun ekhinaitkiyauhunguyuk ilipfingnin.”
MAT.11.25	Tapfumani Jesus ukaktuk, “Kuyagigipkin, Angutiga ataniuvlutin kilangmun nunamunlu, hapkua iyektihimagapkin ihumatuyunin ilihimayuninlu naunaekhimakuvlugit nutakatun-itunun. 
MAT.11.26	Taima, Angutiga, ihumagavin.
MAT.11.27	“Angutima tunivaktanga tamainik. Godim engnilgum engnini ilitagingnaktaa allat ilitakhiyuitpiaktugaluit tapfuminga. Tapfuma engningata kihiata anguni ilitagingnaktaa, allat ilitakhiyuitpiaktugaluit engningata takupkaktingitpatik.
MAT.11.28	“Kaigiagitti uvamnun unagukgupfi aktukhakupfilu unanguekhektiniagapfi. 
MAT.11.29	Nangmautiga pihiuk ilihakuvluhi uvamnin anangayayuinama umatimni unanguekhevikangniaktuhi napatipfingnun. 
MAT.11.30	Nangmautiga aiyungnangngiman, nangmatkalu ukkiitpiakhutik.”
MAT.12.1	Tapfumani Jesusim nauttivit mukpauyakhaglit apkutigiyain Sabbathium uvluani. Maligutaillu kaalegamik mukpauyakhainik ilainik ungavakhutik negiyun. 
MAT.12.2	Pharisekulli takugamitigit Jesus ukallautiyaat, “Taku, maligutin Sabbathmi piyukhangitumik pilektun.” 
MAT.12.3	Kiuyainli imaatun, “Taigugngilahi Davidim huliyanik inungitlu kaalegamik 
MAT.12.4	Godim igluanun itegami mukpauyamik Godim piyutanik negivaktuk, tapfuminga tapkua negiyukhaungitgaluaktillugit Davidlu inungitlunin angayyuvikkut kihimi? 
MAT.12.5	Pitkuyaniglunin taigugngilahi, Sabbathium uvluani angayyuvikkut angayyuvigmiitillugit havainaktun ihuitugiyauhimaitunik. 
MAT.12.6	Ukautigapfili, inuk angayyuvikpagyuagmin ataniukiak hamanitunektuk. 
MAT.12.7	Ilitugigupfigit hapkua ukauhit, 'Nagliguhuktun pitkuhiit nagutkiyaunahugiyatka aitutikhainin' ihuigiyunaitahi kanuiliyuitun. 
MAT.12.8	Ilaa Inum engniga Sabbathmuntauk ataniuyuk.”
MAT.12.9	Talvangalu Jesus aullagami atugvingmun itektuk. 
MAT.12.10	Aahin inuk algagluktuk taikaniituk. Inuillu apegiyumavlugu Jesus ukaktun, “Sabbatiutillugu naguhipkailugit aaniaktunik naamakpa?”, tamna imakaagiyauniangmangan ihumavlutik. 
MAT.12.11	Tapfuma ukallautiyain, “Nallikhi imnailiuguvin atauhengmik Sabbatiutillugu itekhangmun katakpan tiguyunaitpiuk? 
MAT.12.12	Inuk imnainmin kanuk akitukkiyauva? Taima naamakpiaktuk naguyumik pigupfi Sabbathmi.” 
MAT.12.13	Talva ukallautiyaa algagluktuk, “Ihaguk.” Inuk ihagami naguhiyuk igluatun. 
MAT.12.14	Pharisekulli anigamik tayyainak katimakatauyun Jesuskun tukutumagamitku.
MAT.12.15	Jesusli tapfuminga ilihimagami kimauyuk talvanga. Inuit amigaitun maligmayyuk naguhipkaktain tamaita 
MAT.12.16	uniuyitailivlugit inmigun allanun. 
MAT.12.17	Nalautaiyim Isaiam ukautigihimayain ilumukuvlugit ukangman,
MAT.12.18	“Takuluhiuk kivgaga pilluaktaga nagugivlugu.
MAT.12.18	Tamna umatima kuviahutigiyaa.
MAT.12.18	Uvanga anengnimnik tuniniagiga,
MAT.12.18	tapfumalu Jewmiungitun ukagviginiaktain ilumugnengmik.
MAT.12.19	Akhugunaituglu tukhulauyumangngitkivluni,
MAT.12.19	aahin nipaa tuhaanagunaituk iglukagvit apkutaini.
MAT.12.20	Ivik pingiyakan igitunaitaa,
MAT.12.20	maniglu ihilekan kamitunaitaa,
MAT.12.20	Godim ilumugniga akimangniagutaanun.
MAT.12.21	Atinganunlu Jewmiungitun ukpengniaktun.”
MAT.12.22	Aahin Jesusmun agiuktulik takpiitumik, ukalimaitumiglu kagitiyauyuk tapfuma naguhipkagmani ukayuitugaluak ukalektuk tautuklekhunilu. 
MAT.12.23	Inuillu tamangmik agligutakhutik ukaktun, “Ilaa una angun Davidim engnigingilauk?” 
MAT.12.24	Pharisekulli tuhaagamitku ukaktun “Uma agiuktun anipkainaktain Beelzebulkun, agiuktun ataniagun,” 
MAT.12.25	Jesusimli ihumangit tapkua ilihimagamigit ukautiyain, “Atanguvigmiun ingmingnik avitkumik piektitauhunguyun, iglukagvigmiullu, iglukpagmiullunin ingmingnik avitkumik itlimaektun. 
MAT.12.26	Taima Satan Satanmik anipkaigumi inminik avigniaktuk. Talva pigumi kanuk atanguvia itniakka? 
MAT.12.27	Uvangalu agiuktun anipkagupkit Beelzebulkun kinakun kitungapfi anipkakpatigik tapkua? Ilipfi uktuktauluhi kitungapfingnin. 
MAT.12.28	Uvangali agiuktun anipkakupkit Godim Anengningagun talva Godim atanguvia ilipfingnun tikitunektuk.
MAT.12.29	“Inuk kukiyuktuk hakugiktum igluanun kanuk itegniakka kukitumavluni hivullengmik kilekhugngitkumiuk hakugiktuk? Kinguagun kihimi igluata tamaiyain tiguniaktain.
MAT.12.30	“Kialika ilagingitkuminga akikektuktanga. Kinalunin katipkaingitkumi uvamnun aptektuk uvamnin. 
