GEN.1.1	Pada mulanya, ketika Allah mula menciptakan alam semesta,
GEN.9.22	Apabila Ham, bapa Kanaan, melihat bapanya bertelanjang, dia keluar dan memberitahukan hal itu kepada kedua-dua orang saudaranya. 
GEN.9.23	Kemudian Sem dan Yafet mengambil sehelai jubah. Mereka membentangkan jubah itu pada bahu, lalu berjalan mundur masuk ke khemah dan menyelimuti bapa mereka dengan jubah itu. Mereka memalingkan muka supaya tidak nampak bapa mereka yang bertelanjang. 
GEN.9.24	Apabila Nuh sedar daripada mabuknya dan mengetahui perbuatan anak bongsunya, 
GEN.9.25	dia berkata,
GEN.9.25	“Terkutuklah Kanaan!
GEN.9.25	Dia akan menjadi abdi saudara-saudaranya.
GEN.9.26	Pujilah TUHAN, Allah Sem!
GEN.9.26	Kanaan akan menjadi abdi Sem.
GEN.9.27	Semoga Allah menambahkan berkat kepada Yafet
GEN.9.27	Semoga keturunannya tinggal bersama dengan keturunan Sem.
GEN.9.27	Kanaan akan menjadi abdi Yafet.”
GEN.9.28	Selepas banjir itu, Nuh hidup selama 350 tahun lagi. 
GEN.9.29	Nuh meninggal ketika dia berumur 950 tahun.
GEN.10.1	Inilah keturunan Sem, Yafet, dan Ham, anak-anak Nuh. Selepas banjir itu, ketiga-tiga mereka mendapat anak lelaki. 
GEN.10.2	Inilah anak-anak Yafet: Gomer, Magog, Madai, Yawan, Tubal, Mesekh, dan Tiras. 
GEN.10.3	Keturunan Gomer ialah penduduk Askenas, Rifat, dan Togarma. 
GEN.10.4	Keturunan Yawan ialah penduduk Elisa, Sepanyol, Siprus, dan Rodes. 
GEN.10.5	Mereka nenek moyang orang yang tinggal di sepanjang pantai dan di pulau-pulau. Mereka semua keturunan Yafet. Setiap suku tinggal di negeri masing-masing, dan mempunyai bahasa sendiri.
GEN.10.6	Inilah keturunan Ham: Kus, Mesir, Libia, dan Kanaan. 
GEN.10.7	Keturunan Kus ialah penduduk Seba, Hawila, Sabta, Raema, dan Sabtekha. Keturunan Raema ialah penduduk Syeba dan Dedan. 
GEN.10.8	Kus mempunyai seorang anak lelaki yang bernama Nimrod. Nimrod menjadi seorang penakluk agung yang pertama sekali di dunia. 
GEN.10.9	Dengan pertolongan TUHAN, Nimrod menjadi seorang pemburu yang ulung. Oleh itu orang berkata, “Semoga TUHAN menjadikan kamu pemburu yang ulung seperti Nimrod.” 
GEN.10.10	Mula-mula kerajaan Nimrod meliputi Babel, Erekh, dan Akad, yang semuanya di Babilonia. 
GEN.10.11	Dari sana, Nimrod pergi ke Asyur lalu membina kota Niniwe, Rehobot-Ir, Kalah, 
GEN.10.12	dan Resen, yang terletak di antara Niniwe dan Kalah, sebuah kota yang besar.
GEN.10.13	Keturunan Mesir ialah penduduk Lidia, Anamim, Lehabim, Naftuhim, 
GEN.10.14	Patrusim, Kasluhim, dan Kaftorim, nenek moyang bangsa Filistin.
GEN.10.15	Anak Kanaan ialah Sidon yang sulung, dan Het. 
GEN.10.16	Kanaan juga nenek moyang orang Yebusi, Amori, Girgasi, 
GEN.10.17	Hewi, Arki, Sini, 
GEN.10.18	Arwadi, Semari, dan Hamati. Keturunan suku-suku Kanaan itu terserak jauh 
GEN.10.19	sampai ke sempadan negeri mereka dan meluas dari Sidon ke selatan menuju Gerar, sampai ke Gaza, dan ke timur menuju Sodom, Gomora, Adma, dan Zeboim, sampai ke Lasa. 
GEN.10.20	Mereka semua keturunan Ham. Setiap suku tinggal di negeri masing-masing dan mempunyai bahasa sendiri.
GEN.10.21	Sem, abang Yafet, ialah nenek moyang semua orang Ibrani. 
GEN.10.22	Inilah anak-anak Sem: Elam, Asyur, Arpakhsad, Lud, dan Aram. 
GEN.10.23	Keturunan Aram ialah penduduk Us, Hul, Geter, dan Mas. 
GEN.10.24	Arpakhsad bapa Selah, dan Selah bapa Eber. 
GEN.10.25	Eber mempunyai dua orang anak lelaki; yang pertama dinamakan Peleg,
GEN.10.26	Keturunan Yoktan ialah penduduk Almodad, Selef, Hazarmawet, Yerah, 
GEN.10.27	Hadoram, Uzal, Dikla, 
GEN.10.28	Obal, Abimael, Syeba, 
GEN.10.29	Ofir, Hawila, dan Yobab. Mereka semua keturunan Yoktan. 
GEN.10.30	Daerah tempat tinggal mereka meluas dari Mesa ke Sefar, kawasan pergunungan di sebelah timur. 
GEN.10.31	Mereka semua keturunan Sem. Setiap suku tinggal di negeri masing-masing dan mempunyai bahasa sendiri.
GEN.10.32	Mereka semua keturunan Nuh, suku demi suku, menurut jurai keturunan masing-masing. Selepas banjir itu, semua orang di dunia keturunan anak-anak Nuh.
GEN.11.1	Pada mulanya, orang di seluruh dunia hanya mempunyai satu bahasa dan mereka menggunakan kata-kata yang sama. 
GEN.11.2	Apabila mereka mengembara ke sebelah timur, mereka tiba di suatu dataran di Babilonia, lalu menetap di situ. 
GEN.11.3	Mereka bercakap sesama sendiri, “Mari kita membuat batu bata dan membakarnya sampai keras.” Demikianlah mereka mempunyai batu bata untuk dijadikan bahan binaan, serta tar sebagai bahan pelekat. 
GEN.11.4	Mereka berkata, “Mari kita bina kota dengan sebuah menara yang puncaknya sampai ke langit, supaya kita termasyhur dan tidak tercerai-cerai di seluruh bumi.”
GEN.11.5	Kemudian TUHAN turun untuk melihat kota dan menara yang dibina oleh manusia. 
GEN.11.6	Dia berfirman, “Mereka ini satu bangsa dengan satu bahasa, dan hal ini baru permulaan rancangan mereka. Tidak lama lagi mereka akan sanggup melakukan apa sahaja yang dikehendaki mereka. 
GEN.11.7	Marilah Kita turun dan kacau bahasa mereka supaya mereka tidak memahami satu sama lain.” 
GEN.11.8	Demikianlah TUHAN mencerai-beraikan mereka ke seluruh bumi. Maka mereka berhenti membina kota itu. 
GEN.11.9	Kota itu dinamakan Babel
GEN.11.10	Inilah keturunan Sem. Dua tahun selepas banjir itu, ketika Sem berumur 100 tahun, dia mendapat seorang anak lelaki bernama Arpakhsad. 
GEN.11.11	Selepas itu, Sem hidup selama 500 tahun lagi dan mendapat anak-anak lain.
GEN.11.12	Ketika Arpakhsad berumur 35 tahun, dia mendapat seorang anak lelaki bernama Selah. 
GEN.11.13	Selepas itu Arpakhsad hidup selama 403 tahun lagi dan mendapat anak-anak lain.
GEN.11.14	Ketika Selah berumur 30 tahun, dia mendapat seorang anak lelaki bernama Eber. 
GEN.11.15	Selepas itu Selah hidup selama 403 tahun lagi dan mendapat anak-anak lain.
GEN.11.16	Ketika Eber berumur 34 tahun, dia mendapat seorang anak lelaki bernama Peleg. 
GEN.11.17	Selepas itu Eber hidup selama 430 tahun lagi dan mendapat anak-anak lain.
GEN.11.18	Ketika Peleg berumur 30 tahun, dia mendapat seorang anak lelaki bernama Reu. 
GEN.11.19	Selepas itu Peleg hidup selama 209 tahun lagi dan mendapat anak-anak lain.
GEN.11.20	Ketika Reu berumur 32 tahun, dia mendapat seorang anak lelaki bernama Serug. 
GEN.11.21	Selepas itu Reu hidup selama 207 tahun lagi dan mendapat anak-anak lain.
GEN.11.22	Ketika Serug berumur 30 tahun, dia mendapat seorang anak lelaki bernama Nahor. 
GEN.11.23	Selepas itu Serug hidup selama 200 tahun lagi dan mendapat anak-anak lain.
GEN.11.24	Ketika Nahor berumur 29 tahun, dia mendapat seorang anak lelaki bernama Terah. 
GEN.11.25	Selepas itu Nahor hidup selama 119 tahun lagi dan mendapat anak-anak lain.
GEN.11.26	Ketika Terah berumur 70 tahun, dia mendapat tiga orang anak lelaki, iaitu Abram, Nahor, dan Haran.
GEN.11.27	Inilah keturunan Terah. Terah ialah bapa Abram, Nahor, dan Haran. Haran mempunyai seorang anak lelaki bernama Lot. 
GEN.11.28	Haran meninggal di Ur, kampung halamannya di Babilonia, ketika bapanya masih hidup. 
GEN.11.29	Abram berkahwin dengan Sarai, dan Nahor berkahwin dengan Milka, anak perempuan Haran. Haran mempunyai anak lelaki lain bernama Yiska. 
GEN.11.30	Sarai tidak mempunyai anak kerana dia mandul.
GEN.11.31	Terah meninggalkan kota Ur di Babilonia bersama dengan Abram anaknya, Lot cucunya, dan Sarai menantunya, iaitu isteri Abram. Terah bermaksud pergi ke negeri Kanaan tetapi setibanya di Haran, mereka menetap di sana. 
GEN.11.32	Di tempat itu Terah meninggal ketika berumur 205 tahun.
GEN.12.2	Aku akan memberi engkau keturunan yang banyak dan mereka akan menjadi satu bangsa yang besar. Aku akan memberkati engkau dan menjadikan namamu termasyhur, sehingga engkau menjadi berkat bagi bangsa-bangsa.
GEN.12.3	dan mengutuk orang yang mengutuk engkau.
GEN.12.3	Melalui engkau,
GEN.12.3	Aku akan memberkati semua bangsa di bumi.”
GEN.12.4+GEN.12.5	Abram berumur 75 tahun ketika dia meninggalkan Haran, menurut perintah TUHAN kepadanya. Abram berangkat ke tanah Kanaan bersama-sama Sarai isterinya, Lot anak saudaranya, dan membawa semua harta benda serta hamba yang diperoleh mereka di Haran.
GEN.12.4+GEN.12.5	Selepas mereka tiba di Kanaan, 
GEN.12.6	Abram menjelajahi tanah itu sehingga dia tiba di pokok keramat di More, tempat ibadat di Sikhem. (Pada masa itu orang Kanaan masih tinggal di tanah itu.) 
GEN.12.7	 TUHAN menampakkan diri kepada Abram dan berfirman kepadanya, “Inilah negeri yang akan Kuberikan kepada keturunanmu.” Kemudian Abram membina sebuah mazbah di situ untuk TUHAN yang sudah menampakkan diri kepadanya. 
GEN.12.8	Selepas itu Abram meneruskan perjalanannya ke selatan, ke kawasan berbukit di sebelah timur kota Betel, lalu berkhemah di antara Betel dan kota Ai; Betel di sebelah barat dan Ai di sebelah timur. Di situ juga dia membina sebuah mazbah dan menyembah TUHAN. 
GEN.12.9	Kemudian Abram meneruskan perjalanan, dari satu tempat ke tempat berikutnya, menuju ke bahagian selatan tanah Kanaan.
GEN.12.10	Tetapi ada kebuluran yang sangat dahsyat di negeri Kanaan, sehingga Abram pergi lebih jauh lagi ke selatan, ke negeri Mesir, lalu tinggal di sana untuk sementara waktu. 
GEN.12.11	Pada masa dia hendak melintasi sempadan negeri Mesir, dia berkata kepada isterinya Sarai, “Engkau perempuan cantik. 
GEN.12.12	Apabila orang Mesir nampak engkau, mereka akan berkata, ‘Dia ini isteri Abram’, lalu mereka akan membunuh aku dan membiarkan engkau hidup. 
GEN.12.13	 Lebih baik engkau katakan saja bahawa engkau adikku supaya aku dibiarkan hidup dan diperlakukan dengan baik kerana engkau.” 
GEN.12.14	Setelah Abram melintasi sempadan negeri Mesir, orang Mesir nampak bahawa Sarai sangat cantik. 
GEN.12.15	Beberapa orang pegawai istana nampak Sarai, lalu memberitahu raja betapa cantiknya perempuan itu; oleh itu Sarai dibawa ke istana raja. 
GEN.12.16	Kerana Sarai, raja memperlakukan Abram dengan baik lalu memberikan hamba, kawanan domba dan kambing, lembu, keldai, serta unta kepadanya.
GEN.12.17	Tetapi kerana raja mengambil Sarai, TUHAN mendatangkan penyakit yang dahsyat kepada baginda serta semua orang di dalam istana baginda. 
GEN.12.18	Oleh itu raja memanggil Abram dan bertanya kepadanya, “Apakah yang telah kamu lakukan terhadap beta? Mengapa kamu tidak memberitahu beta bahawa perempuan itu isterimu? 
GEN.12.19	Mengapa kamu katakan bahawa dia adikmu, dan membiarkan beta mengambilnya menjadi isteri beta? Ini dia isterimu; ambillah dia dan pergilah!” 
GEN.12.20	Raja memberikan perintah kepada beberapa orang pegawainya, lalu mereka menyuruh Abram pergi dari negeri itu bersama-sama isterinya dan segala miliknya.
GEN.13.1	Abram meninggalkan Mesir lalu pergi ke arah utara, menuju ke bahagian selatan tanah Kanaan bersama dengan isterinya serta segala miliknya; Lot juga mengikut Abram. 
GEN.13.2	Abram kaya raya; dia mempunyai domba, kambing, lembu, dan juga emas serta perak. 
GEN.13.3	Kemudian dia meninggalkan tempat itu dan pergi dari satu tempat ke tempat yang lain, menuju ke Betel. Dia tiba di daerah di antara Betel dan Ai, tempat dia berkhemah 
GEN.13.4	dan mendirikan mazbah dahulu. Dia menyembah TUHAN di situ.
GEN.13.5	Lot, yang mengikut Abram, juga mempunyai keluarga sendiri dan hamba, domba, kambing, serta lembu. 
GEN.13.6	Padang rumput di situ tidak cukup bagi mereka tinggal bersama-sama, kerana mereka mempunyai ternakan yang sangat banyak. 
GEN.13.7	Oleh sebab itu pertengkaran berlaku antara para gembala Abram dan para gembala Lot. (Pada masa itu orang Kanaan dan orang Feris masih tinggal di tanah itu.)
GEN.13.8	Kemudian Abram berkata kepada Lot, “Kita ini bersaudara; orangmu dan orangku tidak sepatutnya bertengkar. 
GEN.13.9	Oleh itu sebaiknya kita berpisah. Pilihlah bahagian tanah yang kamu suka. Jika kamu pergi ke sebelah sini, aku akan pergi ke sebelah sana.”
GEN.13.11	Akhirnya Lot memilih seluruh Lembah Yordan, lalu berangkat ke sebelah timur. Demikianlah kedua-dua orang itu berpisah. 
GEN.13.12	Abram tetap tinggal di tanah Kanaan, sedangkan Lot tinggal di antara kota-kota di lembah itu dan berkhemah dekat Sodom. 
GEN.13.13	Penduduk kota Sodom sangat jahat dan berdosa terhadap TUHAN.
GEN.13.14	Selepas Lot meninggalkan tempat itu, TUHAN berfirman kepada Abram, “Dari tempat engkau berdiri, pandanglah baik-baik ke segala arah; 
GEN.13.15	 Aku akan memberikan seluruh tanah yang engkau lihat itu kepadamu dan keturunanmu. Tanah itu akan menjadi milikmu selama-lamanya. 
GEN.13.16	Aku akan memberi engkau keturunan yang sangat banyak, sehingga tiada sesiapa pun dapat menghitung mereka. Sebagaimana debu di tanah tidak dapat dihitung, demikian juga keturunanmu tidak akan dapat dihitung. 
GEN.13.17	Sekarang, jelajahilah seluruh tanah ini, kerana Aku akan memberikan tanah ini kepadamu.” 
GEN.13.18	Selepas itu Abram memindahkan perkhemahannya, lalu menetap berhampiran dengan pokok-pokok keramat di Mamre, dekat Hebron. Di situ dia membina sebuah mazbah untuk TUHAN.
GEN.14.1	Empat orang raja, iaitu Raja Amrafel dari Babilonia, Raja Ariokh dari Elasar, Raja Kedorlaomer dari Elam, dan Raja Tideal dari Goyim, 
GEN.14.2	keluar berperang melawan lima orang raja lain, iaitu Raja Bera dari Sodom, Raja Birsya dari Gomora, Raja Syinab dari Adma, Raja Semeber dari Zeboim, dan raja dari Bela (atau Zoar). 
GEN.14.3	Kelima-lima orang raja itu bersekutu lalu mengumpulkan tentera mereka di Lembah Sidim, yang sekarang disebut Laut Mati. 
GEN.14.4	Mereka telah ditakluk oleh Raja Kedorlaomer selama dua belas tahun, tetapi pada tahun yang ketiga belas mereka memberontak melawan baginda. 
GEN.14.5	Pada tahun keempat belas, Raja Kedorlaomer dan sekutu-sekutunya datang dengan tentera mereka, lalu mengalahkan orang Refaim di Asyterot-Karnaim, orang Zuzim di Ham, orang Emim di dataran Kiryataim, 
GEN.14.6	dan orang Hori di pergunungan Edom, lalu mengejar mereka sejauh El-Paran di pinggir padang gurun. 
GEN.14.7	Kemudian raja-raja itu berpatah balik dan kembali ke En-Mispat yang sekarang disebut Kades. Mereka menaklukkan seluruh tanah orang Amalek dan mengalahkan orang Amori yang tinggal di Hazezon-Tamar.
GEN.14.8	Selepas itu raja dari Sodom, Gomora, Adma, Zeboim, dan Bela mengatur barisan tentera mereka di Lembah Sidim, lalu berperang 
GEN.14.9	melawan raja dari Elam, Goyim, Babilonia, dan Elasar; lima orang raja melawan empat orang raja. 
GEN.14.10	Lembah itu penuh dengan lubang tar. Apabila raja dari Sodom dan Gomora cuba melarikan diri dari peperangan, mereka jatuh ke dalam lubang tar. Tiga orang raja yang lain berjaya melarikan diri ke pergunungan. 
GEN.14.11	Empat orang raja yang menang, menjarah segala sesuatu di Sodom dan Gomora, termasuk bahan makanan, lalu mereka pergi dari situ. 
GEN.14.12	Lot, anak saudara Abram, juga tinggal di Sodom, maka dia pun ditawan oleh musuh berserta segala harta bendanya.
GEN.14.13	Tetapi seorang yang berjaya melepaskan diri melaporkan segala peristiwa itu kepada Abram, orang Ibrani itu. Abram tinggal berhampiran dengan pokok-pokok keramat, tempat ibadat kepunyaan seorang Amori yang bernama Mamre. Mamre dan saudara-saudaranya, Eskol dan Aner, ialah teman sekutu Abram. 
GEN.14.14	Apabila Abram mendengar bahawa anak saudaranya sudah ditawan, dia mengumpulkan semua orang yang dapat berperang di perkhemahannya, sebanyak 318 orang lalu mengejar empat orang raja itu sampai ke kota Dan. 
GEN.14.15	Di sana Abram membahagikan orangnya menjadi beberapa pasukan, lalu menyerang musuh pada waktu malam dan mengalahkan mereka. Dia mengejar mereka sampai ke Hoba di sebelah utara kota Damsyik. 
GEN.14.16	Abram berjaya merebut semula barang-barang yang sudah dirampas. Dia juga membawa kembali Lot bersama dengan segala harta bendanya, kaum wanita, serta orang tawanan yang lain.
GEN.14.17	Setelah mengalahkan Raja Kedorlaomer dan raja-raja sekutunya, Abram kembali. Kemudian raja Sodom pergi menyambut Abram di Lembah Syawe yang disebut juga Lembah Raja. 
GEN.14.18	Raja Melkisedek, raja Salem yang juga menjadi imam Allah Yang Maha Tinggi, membawa roti dan wain untuk Abram. 
GEN.14.19	Kemudian baginda memberkati Abram dan bertitah, “Semoga Allah Yang Maha Tinggi, yang sudah menciptakan langit dan bumi, memberkati Abram. 
GEN.14.20	 Terpujilah Allah Yang Maha Tinggi, yang sudah memberi kamu kemenangan melawan musuh-musuhmu.” Selepas itu Abram memberi Raja Melkisedek sepersepuluh daripada segala barang jarahan yang sudah dibawanya balik.
GEN.14.21	Kemudian Raja Sodom bertitah kepada Abram, “Ambillah barang jarahan itu, tetapi sudilah kembalikan semua orang beta.”
GEN.14.22	Tetapi Abram menjawab, “Hamba bersumpah di hadapan TUHAN, Allah Yang Maha Tinggi, Pencipta langit dan bumi, 
GEN.14.23	bahawa hamba tidak akan mengambil sesuatu pun milik tuanku, bahkan seutas benang atau tali kasut pun tidak. Dengan demikian, tuanku tidak akan dapat bertitah, ‘Betalah yang membuat Abram kaya.’ 
GEN.14.24	Hamba tidak mahu mengambil apa-apa pun untuk diri hamba. Hamba hanya mahu menerima apa yang sudah digunakan oleh anak buah hamba. Tetapi biarlah teman sekutu hamba, iaitu Aner, Eskol, dan Mamre mengambil bahagian mereka.”
GEN.15.1	Selepas itu, Abram mendapat penglihatan dan mendengar TUHAN berfirman kepadanya, “Jangan takut, Abram. Aku akan melindungi engkau daripada bahaya dan memberikan pahala yang besar kepadamu.”
GEN.15.2	Tetapi Abram berkata, “Ya TUHAN Raja, apakah gunanya pahala itu bagiku kerana aku tidak mempunyai anak? Orang yang akan mewarisi hartaku hanya Eliezer, hambaku dari Damsyik. 
GEN.15.3	Engkau tidak mengurniakan anak kepadaku. Oleh itu yang mewarisi hartaku hanya seorang daripada hambaku.”
GEN.15.4	Kemudian Abram mendengar TUHAN berfirman lagi kepadanya, “Hamba itu tidak akan mewarisi hartamu, melainkan anak lelakimu sendiri.” 
GEN.15.5	 TUHAN membawa Abram ke luar lalu berfirman, “Pandanglah ke langit dan cubalah hitung bintang; engkau akan mempunyai keturunan sebanyak bintang.” 
GEN.15.6	 Abram percaya kepada TUHAN, maka TUHAN berkenan kepadanya.
GEN.15.7	Kemudian TUHAN berfirman lagi kepada Abram, “Akulah TUHAN yang sudah memimpin engkau keluar dari Ur di negeri Babilonia, untuk memberikan tanah ini kepadamu supaya menjadi milikmu.”
GEN.15.8	Tetapi Abram bertanya, “Ya TUHAN Raja, bagaimana aku dapat mengetahui bahawa tanah ini akan menjadi milikku?”
GEN.15.9	TUHAN menjawab, “Ambillah seekor lembu betina, seekor kambing betina, dan seekor domba jantan untuk-Ku. Setiap satunya harus berumur tiga tahun, dan ambil juga seekor burung merpati, serta seekor burung tekukur.” 
GEN.15.10	Kemudian Abram mengambil semuanya bagi Allah. Abram membelah lembu, kambing, dan domba itu. Dia meletakkan belahan-belahan binatang itu pada dua barisan, setiap belahan menghadap satu sama lain, tetapi dia tidak membelah burung. 
GEN.15.11	Burung-burung pemakan bangkai hinggap atas daging binatang itu, tetapi Abram menghalau semuanya.
