LUK.1.1	Kän mange käsäkädä dackä ngakä wexeki kasogäning na kä'desesäning tä warogkang tä räbäne kä'day, 
LUK.15.17	“Na xongonendäng manimäng pang mesa na mängade tä ngasäma ka, ‘Wi siye agä anycu todong xas paxe agä, yä appanang wekenetäng mange menggä wexeke siyacca matasa de kulung tegeteseng.’ 
LUK.15.18	Mängade ka, ‘Anoco tä pa ta appanang aläpede täma ka, “Appa, kasog ngaka tasiny tagä Kaläg na tagä gi. 
LUK.15.19	Kandäppas ka bandäs agä penägi mändey song. Wanga agä alayis me wexiccägi.”’
LUK.15.20	“Na kala mamen sog mämele tä pa ta mesa. Na mesa kox ma täxande na age kawasa täma käpaxas ma kagapas ma. 
LUK.15.21	Na mängade ta mesa ka, ‘Appa, kasog ngaka tasiny tagä Kaläg na tagä gi. Kandäppas ka agä anäs penägi mändey song.’
LUK.15.22	“Neng mesa kabandä cäläxinyge ka, ‘ 'Dägana goyining tandäni appoyong laga ma nang, na baga kälingic loxi tä päxä andäma na laga ma na käbadaga apoccu.’ 
LUK.15.23	Na mesa kabandä menggä wexed ka, ‘Goyining päxä 'dämädi kawingang nycugo ampärki ma nang, na aledäning, 
LUK.15.24	xa päxä penanggong kämes neng sa'dox ma! Oxodig ka mägäxsä, neng manang mawung moxacca.’ Na kän käledäno.
LUK.15.25	“Yä päxä penämani ngondeyang nyandäng tä pelow na kala kawung wede dänge tädäxä kän buldi na coxad na langad tä pa. 
LUK.15.26	Na kala mägädokala täxande mabandä me wexed mamän ka, ‘Oxadi kasiwa tä pang?’ 
LUK.15.27	Na me wexed lapada täma ka, ‘Päxä bonggo kämel kawung, neng menggo käpärkä ma na päxä 'dämädi kawing pacceyang, xa mawung wanäma apo.’
LUK.15.28	“Na mägäsänga malewa täxande na mesa kä'doc täma mäne ma ka, ‘Wi siye gi zaxe wunad towang?’ 
LUK.15.29	Na mängade ka, ‘Za, kalayigädä nagi ewexecce tägi kala cäläx ndä ande ngagigi, yä kax taxä nuxu kädong päxä ayis ka apax asig na aminugang song. 
LUK.15.30	Yä päxä penäginong kasax gi, kabag malene kä'doc kawanye nang na tabany, ndä kawung kämpärkä na käledäwa täng.’
LUK.15.31	“Na mesa kabuc täma ka, ‘Penang, ging nagä tol ndä wegkang kä'day kinggig. 
LUK.15.32	Yä päxä bonggonong kämese täpox neng sa'dox, oxodig ka käxsä neng manang mawung moxacca, nyang kasog kampärkä mang ndey ledänig.’”
LUK.16.1	Yasuwa kaläpe tä menggä räbke ka, “Apangandäng näs tanganic saläpe täma ka me menekä wegkäma kawanydäs weg. 
LUK.16.2	Na ma 'doxti kadangandeyang kabandä me menekä wegke kamän ka, ‘Oxadi kasiwa andänge sälege ngakä wexekäging? Genesa wexeki käwex kä'dayang xa gi mändey noco layis me menekä wegkang song.’
LUK.16.3	“Na me menekä weg ngade tängase ka, ‘Oxadi gang asogkang, xa bazuweccang paye caye agä tä wexekangang? Agä ampädäg de ka awacca song ndä zänggä matag tagä ndey ka anyäxayza. 
LUK.16.4	Ayex 'doga asogo ndey kax säbogkung agä tunyu tä wexekang na kän bokatasa agä tä padägka.’
LUK.16.5	“Na kala mabanggädä känggi kamendä amusudi tä 'doxti kadangandeyang nunuxundi. Na mamän ani täzälägkang ka, ‘Gining bazuweccang paye tägi käreny?’ 
LUK.16.6	Na nya apangzi kabuc ka, ‘Bälegkä belenyinygä midä kuluc udiny mädäginy tespedespe (800).’ Na me menekä weg ngade täma ka, ‘Koyung faragiccä amusunugi icca täzäg tetex gärekärejesa udiny mädäginy tesped (400).’ 
LUK.16.7	Na mändey me menekä weg kamän 'doxti nuxungang ka, ‘Gining bazuwec paye tägi käreny?’ Na nya 'doxti kabuc ka, ‘Mäpaye landagä guruwec päsic nuxung (1,000).’ Na me menekä weg ngade täma ka, ‘Baga faragiccä amusunugi gärekärejesa udiny mädäginy tespedespe (800).’
LUK.16.8	“Na bazuwec käboxey me menekä wegki käläkäläjang xa mawexse na yerändäg. Xa känggi mene ngakä Kaläg songang, yeräniny tä wexekanagi wexe na acängganang mo'do känggi kamen ngakä Kalägkang. 
LUK.16.9	Ndä aläpedäng tanggo ka zoga biskodagägo na bangä tangandägkä walangic, ndey edekeny asänggägo kalaye päloccung, ndey säbogkasa anggo tä pang Kalägi tiyating.
LUK.16.10	“Käxa mägaxse bow tä päxä 'doga bälaxang, mändey mägaxse bow tä wegka mangeccä, yä käxa mägaxse jul sogo raj tä päxä 'doga bälaxang, mändey sogo mänang tä wegka mangeccä. 
LUK.16.11	Känox gang mägaxsägi bow tä menekä tangandägkä walangic songang, zogowa key mägaxsägi laye bow tä tangandäg tä pang Kalägi tiyating? 
LUK.16.12	Ndä känox mägaxsägi bow tä menekä wegkä käxa caka songang, xänang togodung känggi täging? 
LUK.16.13	Me wexetandäng päx wexecce ta bazuwecciny pädax song, xa nyäsogo 'do paye nuxung paccey yä saxe nuxung. Mändey nuxus nyäsog gigili nuxung yä ndäridäswa tä nuxung. Kigkandäng dacada wexe ngakä Kaläg na ngakä male song.”
LUK.16.14	Farisinygi paye ngakä male pacceyang kädäng ngaki Yasuwa kalegey kä'dayang, na sagug ma näs anyad. 
LUK.16.15	Neng Yasuwa ngade täsa ka, “Anggo läpedeng ngastänggägo tagä kän ka anggo mpoccang na'do yä dara Kaläg yex ngakä mäganygägo. Wegkägogi ngoxodänang nang tagä kän na tä warä känang, tas tagä Kaläg.
LUK.16.16	“Asiriyenä Musa na sorunu menggä logey kawexse tä loydägkä ow basa Yoxana me Pac kawung. Ndä kala yaxsäwecci apo lege ngakä bugundugku Kalägkang duwaleywa ndä kala kän kä'day kasägkesäno ndey ka läs bugundugku Kaläg. 
LUK.16.17	Zäkoxa na täzäg way winy 'diti päxä munu jengicca sacarasa ta asiriyenä Kaläg ka werwa.
LUK.16.18	“Käxa kasax uxe ndä 'doc bag uxa cakang, kasog ramic, ndä käxa kabag uxa yoxe kasaxang, ramacca.”
LUK.16.19	Yasuwa ngade ka, “Apangandäng kadangandey ndä lagewa na tanduga dulatulajeccä ndä todotol siye siyaka apoccu. 
LUK.16.20	Ndä apangandäng säbangäs Liyasir wane bägälic käpoposu wunodung sängo tä akäsogaldä pang nyapangzi kadangandeyang, 
LUK.16.21	paye ka 'dox enggä siyaki teldeccä tä tumunu siyakämang ndey ka si. Ndä isu wunosung laxte wanämani käpoposung.
LUK.16.22	“Na kala ani Liyasir käxsäsang, malayikada kabag ma kagoyas ma tä owdi Apraxim tängang. Na apangzi kadangandeyang mändey käxsä na sabosu. 
LUK.16.23	Na mägä'doc tä mas na mägäsa tiyati moxada Apraxim täxande na Liyasir käcca tä wane käsac. 
LUK.16.24	Na mabandäsa ka, ‘Wawa Apraxim, wanga agägi wayesäng tagä, lapi ta Liyasir ka mä'doc mäluji päxä andäma tä ma mäwung mädälbes tä nyipärang xa agänanganang tä cäläxtäg tä mas.’ 
LUK.16.25	Na Apraxim kabuc täma ka, ‘Atä, bäli ka tä cuku gi täzäg kä'dox wegkä apoccu kä'day yä Liyasir ka'dox wegka apoccu song, tabewa winy. Neng gang ma mägäluki buduldug yä gi käwalas tabi. 
LUK.16.26	Ndä tä ngakong kä'dayakang, salu ow tägog tä pidi ndey ka kängga paye ca'dsa wuno tanggo tä owdiyang, wunosung song na kängga tanggo tä owdi paye wuno täwas tä owdongang, cogo owduskonong song.’
LUK.16.27	“Na sax mändey apangzi kadangandeyang ngade ta Apraxim ka, ‘Wawa, ampaye gi ka yaxsa Liyasir tä menggä panäsko täzäg 
LUK.16.28	xa enggä bongguskotäng kawangasa mädäg ndey Liyasir 'doc daxä sa ndey säccagä exenggäsa ndakä sädelese tä mas ka'das agä.’ 
LUK.16.29	Neng Apraxim ngade täma ka, ‘Asiriyenä Musandäng na sorunu menggä logey wanga sa sädäng ngaki legeng.’ 
LUK.16.30	Na apangzi kadangandeyang ngade ka, ‘A'a, wawa Apraxim, basa nuxung käxa käxsä kangäsa tä xäs kä'doc kaläpe ngakong täsang, säxajeccä säwange ngaka tasiny.’ 
LUK.16.31	Neng Apraxim kämeley täma ka, ‘Känox sägädäng ngakä me logey Musa na menggä logeygi nasa songang, kax kig äxsä ndä ngäsa 'doc läpe nga täsa na sädänge säxong.’”
LUK.17.1	Yasuwa ngade tä menggä räbke ka, “Bäli ka ngatatäng wunosung gawadas anggo tä ngaka tasiny! Ndä woyoy tä känggi 'docco sogongang! 
LUK.17.2	Ndä käxi kädäppa ka 'doco sogong, saxsa ngayiccä ngorey tä ngase ndä sägawa nang tä colonggo 'diti togku känggong mäganyga bowinyang tä sogku ngaka tasiny. 
LUK.17.3	Meskäde ngastänggägo. Känoxang päxä bonggo sogo ngaka tasinyang, duxi ndä mägäxajä mawang ngaka tasinyang, zaxi täma. 
LUK.17.4	Kax mäsog ngaka tasiny tägi taxä paxtänding tä xongonda nuxung ndä mämeley ngasäma mäwung tägi taxä paxtänding mangad ka, ‘Agä kaxajä tä sogku ngaka tasinyang,’ saxi täma.”
LUK.17.5	Na känggi Yasuwa käligäng ngadeccä täma Bazuwec Yasuwa ka, “Posa menekä ngakä Kaläg täwas!” 
LUK.17.6	Na Bazuwec kabuc ka, “Kä'dang menekä ngakä Kaläg tanggo biyey kala päxä yugicca biyeyang, kax läpeng tä etong ngoteyang ka zuduwa na mäxke 'doc udusawa tä kaxsä colonggo, na dänge ngakägo.
LUK.17.7	“Päx nuxung accägondäng cäläxse päkädäng pelow na cong näs megäskä sagunuwang na läpede tänya cäläxseneni ka, ‘Bo icca siysi?’ 
LUK.17.8	A'a, wadi gi bazuwec noco läpede ta cäläxsägi ka, ‘'Dayawa, wexe siyad ndey dogung siyad tagä accäg asiyza na awuxsi ndä kala gang gi ziyza na wuxsi.’ 
LUK.17.9	Bazuwec logo cäläxse xa ka kasog ngaki maläpe tängang song, päx mälogo täng? 
LUK.17.10	Anggo mändey käwexeng wexeki agä kaläpäng tanggo ka wexengang, kax wexeng na noccang ngadaccang ka, ‘Was anäsig cäläxinyga täbangä wexeki wexedäningang nenyang kandäppig dädäxti song.’”
LUK.17.11	Ani Yasuwa kä'docus tä Ursalimang, mägälang pidänä Samriya na Calil. 
LUK.17.12	Mägä'doc ngäte tä päxä cabär, na apanginyatäng layis menggä omoda asiny käpasasa täma na kadenggeze täxande, 
LUK.17.13	kädawasa ngadeccä ka, “Yasuwa, Bazuwec, wanga agägi wayesäng täwas.” 
LUK.17.14	Mägäxo sa na mäläpede täsa ka, “Wesi pari ngastänggägo ta menggä tämed tä Kaläg ndey säduwaley ka wadäkägo kalaye apoccu.” Na kala säwedetese na sa'doxung wadäkäsa kädäxäno salaye säpoccu.
LUK.17.15	Na nuxung accäsa kox wane kalay apo na kämel dawe dädäxti Kaläg. 
LUK.17.16	Kä'doc kädukurusa tagä Yasuwa logo Kaläg, ndä ma 'doxti me Samriyang. 
LUK.17.17	Na Yasuwa ngade täma ka, “Kandäxä anggo näsang asiny song? Kulung känggi paye nuxungang sati? 
LUK.17.18	Basa me pungudongang tol kämel kawung kädädäxti Kaläg tä ngakä däxkeneng?” 
LUK.17.19	Na tänya owdi Yasuwa läpede tä nya me Samriyani ka, “Ngäsa wede xa menekä ngakägi tagä kädäxä gi.”
LUK.17.20	Xongonendäng kulung Farisiny kamän Yasuwa ka, “Xongonda keyang bugundugku Kaläg wunosung tängang?” Na Yasuwa kabuc ka, “Bugundugku Kaläg wunosung na bolu de oxowa song. 
LUK.17.21	Oxowa ndey ka anggo ngadang ka, ‘Nyanang!’ na, ‘Nyani!’ song. Bugundugku Kalägkatäng nanggo kala.”
LUK.17.22	Yasuwa ngade tä menggä räbke ka, “Owandäng wunodung ndä anggo noccang mpadang ka zang cukang, agä Päxä Käxa Jul tä butug, ndä zadang säxong. 
LUK.17.23	Ndä kän ngadeccä tanggo ka, ‘Lala, mani todi!’ na cong ka, ‘Lala, manang todong!’ Ndä ndakä ndängeng ngakäsa. 
LUK.17.24	Xa agä, Päxä Käxa Jul, xongondeneni awunodung kala wuxekä koxana banye tiyati na ota kä'day.
LUK.17.25	“Ndä täzäläg basa agä anycäläxtiwa tä weg mange na mändey menggä zong pexkä agä. 
LUK.17.26	Ka'das wexeki kän kawex tä xongondu 'doxti säbangäs Noxang, mändey kän wexe sawexeki basa xongondi agä, Päxä Käxa Jul awunodung tängang. 
LUK.17.27	Kän siyacca na wuxicci na batacca na sädere bal koxasa xongondi Nox kaläsa kaxsä dämpejigseneng. Na faya kawung kapax kän kä'day.
LUK.17.28	“Winy ka'das ani tä xongondu 'doxti säbangäs Lotang, kän siyacca, wuxicci, nganyacca ndä nganyatasa, ndä zäbecce na tonyacca, 
LUK.17.29	neng xongondi Lod kawetäs tä kaxsä pana säbangäs Sudumang, Kaläg kayaxsä mas na nganyuga kusuccu kaduny kän bägälic. 
LUK.17.30	Ndä kän wexe nya bangongang, mändey laye kala xongondi agä, Päxä Käxa Jul aweyetesawa tängang. 
LUK.17.31	Ndä tänya xongondi, käxi täzä ax yä wegke tä axang, ndakä coccoleza ndey ka bag wegke song na mändey känggi tä pelowang ndakä mele tä pa song. 
LUK.17.32	Gärning ngaki kasoguno tä uxu Lotang!
LUK.17.33	“Käxa paye ka meske rongicce täzägkang wadi mesede yä käxa meske rongicce täzäg songang 'doxo aygä liliy. 
LUK.17.34	Aläpedäng tanggo ka ongudeneni kän tugu salany pädapädax, ndä Kaläg bate nuxu yä nuxu laye. 
LUK.17.35+LUK.17.36	Mändey uxu pädax tugu ngoreygä kuny tä ngayicca nuxu, ndä nuxu ux säbate yä nuxu laye.”
LUK.17.37	Na kala menggä räb kamän Yasuwa ka, “Tä owda key, Bazuwec?” Na mabuc täsa ka, “Owda wininy kädurisäno tängang, bäli ka wegka käxsetäng täng.”
LUK.18.1	Yasuwa kaser nga tä menggä räbke ka palacca todotol ndakä cananga. 
LUK.18.2	Mängade ka, “Buguningandäng tä nuxu bo pandäng nyigate Kaläg song ndä nyaye kän song. 
LUK.18.3	Ndä mändey mandurandäng tänya bo pani wunodung melde täma läpede täma ka, ‘Bo geye was na me kurang ndey ndäppoy was.’ 
LUK.18.4	Täzälägäne buguning kalewa, neng magärtä ngaki mandur melde tängang, na mängade tä ngasäma ka, ‘Agä anyigate Kaläg song ndä anyaye kän song, 
LUK.18.5	ndä mandursong nyanang gang nyalange agä todotol, bal anoc agey ta me kure xa cämelde tagä cäwange agä anungu song.’”
LUK.18.6	Na Yasuwa ngade ka, “Ndänge sele ngakä buguningza däppo kän song! 
LUK.18.7	Yä päx nya Kaläg nyädäppo känggänyagi nyalebäng ngeyeccä tänya säxe na ongutang song? Yä päx Kaläg waxe posakä kän? 
LUK.18.8	Aläpedäng tanggo ka Kaläg däppo kängge tetex, yä tä wunakang agä, Päxä Käxa Jul, päx awunodung a'doxodung menekä ngakä Kaläg täzäg?”
LUK.18.9	Mändey Yasuwa kaser seredäniccong ta kulung känggi kabogkasa ngastängga ka yex ngaki wexeng ndä laleyis kän kängga winyang ka, 
LUK.18.10	“Apanginyatäng pädax kä'docco taxä tämed tä paley, nuxung Farisiccang yä ani nuxungang me yawgä tulubang.
LUK.18.11	“Na Farisic kangäsa tiyati kapaleza ngade ka, ‘Kaläg, alogo gi xa agänangang kala kulung kän song, kala menggä celdug song, na kala menggä ngananganegä nga song, na kala menggä ramiccu song, ndä agäng kala me yawgä tulubanani song. 
LUK.18.12	Tä sängga paxtinding, agä amene uxkud tä sängga pädax ndä aluwu asiny tä wegkanggi a'doxo udiny mädägkang (100) adogodung tägi.’
LUK.18.13	“Yä me yawgä tuluba kädokol täxande ndä gunusawa na zänggä mayad ngade ka, ‘Kaläg, wanga agägi wayesäng tagä, xa kasog ngaka tasiny!’
LUK.18.14	“Aläpedäng tanggo ka kala tä 'dockäsa tä pa, Kaläg kagixi me yawgä tuluba xa mägaxse bow, yä Farisic, Kaläg kagixi song. Käxa poko ngaseneng, Kaläg maye ze yä käxa coccolo ngaseneng, Kaläg pokada tiyati.”
LUK.18.15	Xongonendäng kän kagoying engga ta Yasuwa ndey ka mäpes. Neng menggä räb kox mänang, na sadux kän ka dokalas koyinakä pipu. 
LUK.18.16	Neng Yasuwa kabandä pipu ka, “Wanga pipu wuno tagä, ndakä zekeng sa xa känggi 'dase pipugongang bugundugku Kaläg känanag. 
LUK.18.17	Aläpedäng zänggä nga tanggo ka, käxa käpay bugundugku Kaläg kala päxä pipi songang, Kaläg kixidi tä bugundugke song.”
LUK.18.18	Xongonendäng bazuweccä Yaxudinyandäng kamän Yasuwa ka, “Me bäldic, gi mpoyo na'do, asogowa key ndey a'dox aygä liliyang?” 
LUK.18.19	Na Yasuwa kabuc täma ka, “Oxadi kasog gi bangäs agä käxa apong? Käxa apondäng song, basa Kaläg nuxundugke. 
LUK.18.20	Anggo yexeng täsedänic ngade ka, ‘Acaka rameyza, acaka paxsa, acaka pälze, acaka lege celdug, nyaya menggo na bonggo.’” 
LUK.18.21	Na nya bazuweccä Yaxudinygi kabuc ka, “Cawu biyeydägkang agändäng awexe ngakong bägälic.”
LUK.18.22	Yasuwa kädäng mänang, na lapada täma ka, “ 'Dogkandäng nuxung musku käsog song. Nganyi wegki täging kä'day larti tä känggi widunong ndey dangandey tä pang Kaläg tiyati. Ndä bag bangang.” 
LUK.18.23	Ani 'doxti kädängäs ngaki Yasuwa kalegey mänangang, mägaxse ka'dexwa xa madangandey nano.
LUK.18.24	Yasuwa kox mänang na ngade ka, “Bede paccey tä käxa kadangandey ndey ka läs bugundugku Kaläg! 
LUK.18.25	Tireneng ka kamalä läso axä wuladä 'diti käxa kadangandey tä läsakä bugundugku Kaläg.”
LUK.18.26	Na känggi kädängang ngadeccä ka, “Neng gang mänangang xänang seley xonyo ngaseneng?” 
LUK.18.27	Na Yasuwa kabuc ka, “Käxa seley xonyo ngasenendäng song, basa Kalägkang tol xonyaccang.”
LUK.18.28	Na Putros ngade ka, “Lala, kawangesänig wegkäsko kä'day ndey ka abagig banggi!”
LUK.18.29	Na Yasuwa ngade täsa ka, “Aläpedäng zänggä nga tanggo ka, käxa tanggo kawangasa pane na uxe na enggä bongga na mena na bona na pengge ndey ka wex ngakä Kalägkang, 
LUK.18.30	nyäposo täng mange mo'do aki kalayeng tä jendong na ur'dug tä 'doxakä aygä liliy.”
LUK.18.31	Yasuwa kabag känggenegi käligä asiny wang pädaxang, kä'doc nang tä cengic na mäläpede täsa ka, “Kala lala, 'doccig tä Ursalim, ndä ngaki kä'day menggä logey gärekärejesa tä ngakä agä Päxä Käxa Julang, 'docco 'desetäsäning tä owdi. 
LUK.18.32	Kän 'docco menedes agä ta asänggä känggi näs Yaxudiny songang, sä'docco sängobo agä, säcäläxti agä ndä säpädadas agä. 
LUK.18.33	Sä'docco säbade agä na ke'diccä oxay, säpaxe agä ndä asängo pädax na tä sängädi kodosang angäsata tä xäs.”
LUK.18.34	Neng känggi mägäligä asiny wang pädaxang, kabäle bangä ngakämagi song, xa legeygi malegeyang kacungguli sa. Sabäle bangä ngaki Yasuwa lege täsang song.
LUK.18.35	Ani Yasuwa kawunäs ngäte ta Arixang, apangandäng näs ngojox käcca tä nyixtä akäsog nyäxacca. 
LUK.18.36	Na mägädäng tädäxä kän na mamänze ka, “Oxadi kiyang kasiwang?” 
LUK.18.37	Na säläpede täma ka, “Yasuwa me Nasra nyang wedeng.” 
LUK.18.38	Na kala mabandäsa ka, “Yasuwa, päxä pe Dawud, ata agägi wayesäng tagä!” 
LUK.18.39	Na känggi kädoleyzang kadux ma ka mäpäla neng mägädawa paccey ka, “Päxä pe Dawud, ata agägi wayesäng tagä.”
LUK.18.40	Na kala Yasuwa kädokala läpede ka sägoyung ngojox täma ngäte. Sagoyung ma ngäte na Yasuwa kamän ma ka, 
LUK.18.41	“Oxadiyang mpaye agä asog täging?” Na mabuc ta Yasuwa ka, “Bazuwec, soga agä azayza mändey.” 
LUK.18.42	Na Yasuwa ngade täma ka, “Laleyzi, menekä ngakägi tagä kaxony gi.” 
LUK.18.43	Na tetex agäma kalengesuno na mabag bangä Yasuwa, mädädäxti Kaläg. Kän kä'day kox mänang, na kädädäxti Kaläg mändey.
LUK.19.1	Yasuwa kadus bo pana säbangäs Arixa. 
LUK.19.2	Ndä apangandäng tänya owdi säbangäs Zaka näs ngotorponu menggä yawgä tulbada kadangandey. 
LUK.19.3	Mäpaye ka mälaley Yasuwa neng mädäläng tä warä xä'dä kasog ma moxo Yasuwa song. 
LUK.19.4	Na mägoy tetex mapäcca mägä'doc ma'deg zä balasu ndey ka mox Yasuwa, xa Yasuwa 'doco lange nya sogi.
LUK.19.5	Ani Yasuwa käcogus owdumaniyang, koxas ma tiyati täzä ed na ngade täma ka, “Zaka, coccoleyzi tetex bo xa xongondong 'doccig cuccig tä panägi.” 
LUK.19.6	Na tetex Zaka kacoccoleza kä'doc kabokasa Yasuwa tä pane na led.
LUK.19.7	Kän kä'day kox mänang na kangunungunizi ka Yasuwa kä'doc kalayis palangasiccä käxa sogo ngaka tasiny. 
LUK.19.8	Neng Zaka kangäsa ngade ta Bazuwec ka, “Lala, Bazuwec, agä alare wegkang tä pidi adogada kulung tä menggä wiy, na mändey kasog käläkäläjtäg tä wegkä nuxu kigkang amelede 'dogi payeng täng taxä tesped!”
LUK.19.9	Na Yasuwa ngade täma ka, “Xongondong Kaläg kaxony panong, xa Zaka tirä päxä pe Apraximang! 
LUK.19.10	Xa agä, Päxä Käxa Jul kawung tä nyam na tä xonyakä kängga kämese.”
LUK.19.11	Ani xä'dä deldeyäs wungga tä legeygä Yasuwang, mawung ngäte tä Ursalim, ndä kän oxo ka bugundugku Kaläg kala wunosung käccogos. Na todi maser nga täsa. 
LUK.19.12	Mängade ka, “Päxä pe buguningandäng kä'doc tä walangicca täxande ndey ka sädoga butug täng ndä mel. 
LUK.19.13	Na kala ka mä'doco na mabandä cäläxinygäma asiny mägälarta ariyaliny täng asiny ka däseydä basa mämel mäwung.
LUK.19.14	“Neng känggäma paye ngakäma song na sayaxsa menggä yaxsäwiny ka läpe ka, ‘Ampayedig 'doxtong layis buguningzäsko song.’ 
LUK.19.15	Ani mägä'docus sadoganäs butug täma ndä mämeläsang, mabandä cäläxinygämagi madoga ariyaliny täng ndey ka däseydäng. Mäpaye mäbäle wegki sa'dox tä zängganang.
LUK.19.16	“Cäläxsi täzälägkang kapäcca täma ngade ka, ‘Bazuwec, ariyalicci kädogung tagä nuxungang, kawexä ka'dox täze asiny.’ 
LUK.19.17	Na buguning ngade täma ka, ‘Käwexä apo, gi näs cäläxsa apo! Xa mägaxsägi bow tä päxä 'doga bälax, asogus gi ngotorpo mene kaxsänggä padäg asiny.’
LUK.19.18	“Na mändey pädaxeneni kawung ngade täma ka, ‘Bazuwec, ariyalicci kädogungang kawexä ka'dox täze mädäg.’ 
LUK.19.19	Na buguning ngade täma ka, ‘Gi noco mene kaxsänggä padäg mädäg.’
LUK.19.20	“Na kodoseneni kawung täma ngade ka, ‘Bazuwec, ariyalicci kädogung tagäng nyanang kamulungiy na päxä nyonggo kayokas. 
LUK.19.21	Xa anyigate gi xa ayex gi ka näs apangza mägaxse täbag na'do. Ndä gi bate maleni layis nänggi kä'dangas songang ndä jede wegki käzäbä songang.’ 
LUK.19.22	Na buguning ngade täma ka, ‘Agänang amene gi tä legeygä ikägi, gi näs cäläxsa kadawustey! Yex ka agä anäs buguningza mägaxse täbag abate maleni layis nanggä ka'dangas songang, na ajede wegki kazäbä songang? 
LUK.19.23	Neng wi siye gi kä'danga ariyaliccang tä axä owdu däsey ndey koyung ze songang?’
LUK.19.24	“Na buguning ngade tä menggä wexekenegi dokoloccung ka, ‘Gujuyning ariyalicci tämang tunyu dogi tä cäläxsong käne asinyang.’ 
LUK.19.25	Neng sängadeccä täma ka, ‘Bazuwec, noxo ma ariyalinygämatäng asiny!’ 
LUK.19.26	Na buguning ngade ka, ‘Aläpedäng tanggo ka käxi kädäsey wegkeneng aposo täng, yä käxi kädäsey käne songang, agujudung täng tunyu. 
LUK.19.27	Wadi gang menggä kuranggong paye ka alayis buguningza songang, goyining sa tagang todong dämde ngastänggä sa!’”
LUK.19.28	Ani Yasuwa kä'desenäs seredäniccongang, mawetäde tiyati tä Ursalim. 
LUK.19.29	Kala mägä'doc ngäte tä enggä cabärtaga säbangäs Faci na Petani tä Cabärä Zayitun, na mägäpäcca menggä räbkäma pädax. 
LUK.19.30	Mäläpede täsa ka, “Wesi tä päxä cabäri taggägong. Känoccang käläsangang, 'doxadang päxä kaccäna taxä nuxung kig kasana täze song kaxsasawa todi. Nyuli goyining tagä todong. 
LUK.19.31	Kä'doxang käxa kamän anggo ka, ‘Wi siye anggo nyuliding kaccängang?’ Läpi täng ka, ‘Bazuwec paye.’”
LUK.19.32	Na sa känggi mayaxsa kapäccasang ka'doxa sangaki maläpe täsang. 
LUK.19.33	Sägä'docco säludi päxä kaccä na letuge mäne sa ka, “Nyuliding kaccänong koyadang ti?” 
LUK.19.34	Na sabuc täsa ka, “Bazuwec paye.” 
LUK.19.35	Na kala sagoya päxä kaccä ta Yasuwa sapetäde tandugusa tä onge ndä Yasuwa 'deg.
LUK.19.36	Masana täze na kän kapetädesa tanduga tä akäsog ndey dädäxti ma tä laxänakäma. 
LUK.19.37	Kala mawung käsac tä akäsogi coccolacca päkädäng Cabärä Zayitunang, na menggä räbkäma kä'day daweccä lededäning dädäxti Kaläg tä wexeki Kaläg kawex sägoxang. 
LUK.19.38	Sängadeccä ka, “Baxändäg tä buguningzi Bazuwec Kaläg yaxsedängang! Modeyatäng tä pang Kaläg tiyati na dädäxtiy tä Kaläg!”
LUK.19.39	Neng kulung Farisinyatäng tä warä xä'dä ngadeccä täma ka, “Me bäldic, daxa menggä räbkägi ka säpälasa.” 
LUK.19.40	Na Yasuwa kämeley täsa ka, “Aläpedäng tanggo ka kax säpälasa na nganyugong dawatasa dädäxti agä!”
LUK.19.41	Ani Yasuwa kawunäs ngäte koxus Ursalimang, mangedä tä ngake, 
LUK.19.42	mängade ka, “Anggo menggä Ursalim, kämeseng xa xongondong käbäleng ngaki koyodung modey tanggong song, neng gang kala mändey noxadang 'dogi koyodung modey tanggo song. 
LUK.19.43	Tä sänggi wunosunong menggä kurugo kakaradas anggo tä kaxsä cabär tä cende kä'day ndä räbadas anggo. 
LUK.19.44	Säwasadas anggo käked, anggo na penggägo säwange nuxu accägo tä kaxsä Ursalim song, ndä kax ngayicca säwange täzä wayanandäng song. Ngakong sogoduno xa anggo käjenggereng na käbäleng ka Kaläg kawung tanggo song.”
LUK.19.45	Yasuwa kaläs kal taxä tämed tä Kaläg mägä'doc mamagäng menggä nganyad tunyu, 
LUK.19.46	mängade täsa ka, “Gärekärejesawa tä Sorunu Kaläg ka, ‘Panang, pang paleyang,’ yä anggo käsogasang axä menggä bärada!”
LUK.19.47	Yasuwa bäldecce todotol tä kaxsä kaldagä axä tämed tä Kaläg. Ndä bazuwinygä tämed tä Kaläg na menggä lelericcä asiriyenä Musa na kulung ngotorpugä Yaxudiny nyame rajsa ndey ka paxäs Yasuwa, 
LUK.19.48	neng sa'dox rakawza ndey säpaxäs ma song, xa kän kä'day kagur ma delde wungga tä ngaki mälegeng.
LUK.20.1	Xongenendäng Yasuwa bälde kän tä kaxsä kaldä axä tämed tä Kaläg na mäduwale yaxsäwecci apo lege ngakä Kaläg tä känang. Na bazuwinygä menggä tämed na menggä lelericcä asiriyenä Musa na ngondowinygä Yaxudiny kawuno täma 
LUK.20.2	ngadeccä täma ka, “Lapäng, xänang kä'dakas gi ka wexseng? Xänang kadong butug tägi ka wexseng?” 
LUK.20.3	Neng Yasuwa kämeley täsa ka, “Amäne anggo mäned ndä anggo buci tagä. 
LUK.20.4	Kalägkang kä'daka Yoxana ka pacä känang, wala känag kä'dakas ma ka mäpacsang?”
