GEN.1.1	Kezdetben 
GEN.10.28	Obált, Abimáélt és Sébát. 
GEN.10.29	Ofirt, Havilát és Jóbábot. Ezek mind a Joktán fiai. 
GEN.10.30	És vala ezeknek lakása, Mésától fogva Séfárba menve a napkeleti hegyekig. 
GEN.10.31	Ezek a Sém fiai családjok, nyelvök, földjök és nemzetségök szerint. 
GEN.10.32	Ezek a Noé fiainak családjai az ő nemzetségeik szerint, az ő népeik között, és ezektől szaporodának el a népek a földön, az özönvíz után.
GEN.11.1	Mind az egész földnek pedig egy nyelve és egyféle beszéde vala. 
GEN.11.2	És lőn mikor kelet felől elindultak vala, Sineár földén egy síkságot találának és ott letelepedének. 
GEN.11.3	És mondának egymásnak: Jertek, vessünk téglát és égessük ki jól; és lőn nékik a tégla kő gyanánt, a szurok pedig ragasztó gyanánt. 
GEN.11.4	És mondának: Jertek, építsünk magunknak várost és tornyot, melynek teteje az eget érje, és szerezzünk magunknak nevet, hogy el ne széledjünk az egész földnek színén. 
GEN.11.5	Az Úr pedig leszálla, hogy lássa a várost és a tornyot, melyet építenek vala az emberek fiai.
GEN.11.6	És monda az Úr: Ímé e nép egy, s az egésznek egy a nyelve, és munkájának ez a kezdete; és bizony semmi sem gátolja, hogy véghez ne vigyenek mindent, a mit elgondolnak magukban. 
GEN.11.7	Nosza szálljunk alá, és zavarjuk ott össze nyelvöket, hogy meg ne értsék egymás beszédét. 
GEN.11.8	És elszéleszté őket onnan az Úr az egész földnek színére; és megszűnének építeni a várost. 
GEN.11.9	Ezért nevezék annak nevét Bábelnek; mert ott zavará össze az Úr az egész föld nyelvét, és onnan széleszté el őket az Úr az egész földnek színére.
GEN.11.10	Ez 
GEN.11.11	És éle Sém, minekutánna nemzette Arpaksádot, ötszáz esztendeig és nemze fiakat és leányokat. 
GEN.11.12	Arpaksád pedig harminczöt esztendős vala, és nemzé Séláht. 
GEN.11.13	És éle Arpaksád, minekutánna nemzette Séláht, négyszáz három esztendeig, és nemze fiakat és leányokat. 
GEN.11.14	Séláh pedig harmincz esztendős vala, és nemzé Hébert. 
GEN.11.15	És éle Séláh, minekutánna nemzé Hébert, négyszáz három esztendeig, és nemze fiakat és leányokat. 
GEN.11.16	Héber pedig harmincznégy esztendős vala és nemzé 
GEN.11.17	És éle Héber, minekutánna nemzé Péleget, négyszáz harmincz esztendeig, és nemze fiakat és leányokat. 
GEN.11.18	Péleg pedig harmincz esztendős vala, és nemzé Réut. 
GEN.11.19	És éle Péleg, minekutánna nemzé Réut, kétszáz kilencz esztendeig, és nemze fiakat és leányokat. 
GEN.11.20	Réu pedig harminczkét esztendős vala, és nemzé Sérugot. 
GEN.11.21	És éle Réu, minekutánna nemzé Sérugot, kétszáz hét esztendeig és nemze fiakat és leányokat. 
GEN.11.22	Sérug pedig harmincz esztendős vala, és nemzé Nákhort. 
GEN.11.23	És éle Sérug, minekutánna nemzé Nákhort, kétszáz esztendeig, és nemze fiakat és leányokat. 
GEN.11.24	Nákhor pedig huszonkilencz esztendős vala, és nemzé Thárét. 
GEN.11.25	És éle Nákhor, minekutánna nemzé Thárét, száz tizenkilencz esztendeig, és nemze fiakat és leányokat. 
GEN.11.26	Tháré pedig hetven esztendős vala, és nemzé Ábrámot, Nákhort, Háránt. 
GEN.11.27	Ez a Tháré nemzetsége: Tháré nemzé Ábrámot, Nákhort és Háránt. Hárán pedig nemzé Lótot. 
GEN.11.28	Meghala pedig Hárán, az ő atyjának Thárénak szemei előtt, az ő születésének földjén, Úr-Kaszdimban. 
GEN.11.29	Ábrám pedig és Nákhor vőnek magoknak feleséget: az Ábrám feleségének neve Szárai; a Nákhor feleségének neve Milkhah, Háránnak Milkhah atyjának és Jiszkáh atyjának leánya. 
GEN.11.30	Szárai pedig magtalan vala; nem vala néki gyermeke. 
GEN.11.31	És felvevé Tháré Ábrámot 
GEN.11.32	Vala pedig Tháré kétszáz öt esztendős, és meghala Tháré Háránban.
GEN.12.1	És monda az Úr 
GEN.12.2	És nagy nemzetté 
GEN.12.3	És megáldom azokat, a kik téged áldanak, és a ki téged átkoz, megátkozom azt: és megáldatnak te benned a föld minden nemzetségei. 
GEN.12.4	És kiméne Ábrám, a mint az Úr mondotta vala néki, és Lót is kiméne ő vele: Ábrám pedig hetvenöt esztendős vala, mikor kiméne Háránból. 
GEN.12.5	És felvevé Ábrám az ő feleségét Szárait, és Lótot, az ő atyjafiának fiát, és minden szerzeményöket, a melyet szereztek vala, és a cselédeket, a kikre Háránban tettek vala szert, és elindulának, hogy Kanaán földére menjenek, és el is jutának a Kanaán földére. 
GEN.12.6	És általméne Ábrám a földön mind Sikhem vidékéig, Móréh tölgyeséig. Akkor Kananeusok valának azon a földön.
GEN.12.7	És megjelenék az Úr Ábrámnak, és monda néki: A te magodnak adom ezt a földet. És 
GEN.12.8	Onnan azután a hegység felé méne Bétheltől keletre és felüté sátorát: Béthel vala nyugatra, Hái pedig keletre, és ott oltárt építe az Úrnak, és segítségűl hívá az Úr nevét. 
GEN.12.9	És tovább költözék Ábrám; folyton délfelé húzódván.
GEN.12.10	Azonban éhség lőn az országban, és Ábrám aláméne Égyiptomba, hogy ott tartózkodjék, mert nagy vala az éhség az országban. 
GEN.12.11	És lőn mikor közel vala, hogy bemenjen Égyiptomba, monda feleségének Szárainak: Ímé tudom, hogy szép ábrázatú asszony vagy. 
GEN.12.12	Azért mikor meglátnak téged az égyiptomiak, majd azt mondják: felesége ez; és engem megölnek, téged pedig életben tartanak. 
GEN.12.13	Mondd 
GEN.12.14	És lőn mikor Ábrám Égyiptomba érkezék, láták az égyiptomiak az asszonyt, hogy az nagyon szép. 
GEN.12.15	Mikor megláták őt a Faraó főemberei, magasztalák a Faraó előtt és elvivék az asszonyt a Faraó udvarába. 
GEN.12.16	És jól tőn érette Ábrámmal, és valának juhai, ökrei, szamarai, szolgái, szolgálói, nőstényszamarai és tevéi. 
GEN.12.17	De megveré az Úr a Faraót és az ő házát nagy csapásokkal, Száraiért, Ábrám feleségéért. 
GEN.12.18	Hívatá azért a Faraó Ábrámot és monda: Miért mívelted ezt velem? Miért nem mondottad meg énnékem, hogy ez néked feleséged? 
GEN.12.19	Miért mondottad: Húgom ő; azért vevém magamnak feleségűl. Most már imhol a te feleséged, vedd magadhoz és menj el. 
GEN.12.20	És parancsola felőle a Faraó némely embereknek, a kik elbocsáták őtet és az ő feleségét, és mindenét a mije vala.
GEN.13.1	Feljöve azért Ábrám Égyiptomból, ő és az ő felesége, és mindene valamije vala, és Lót is ő vele, a déli tartományba. 
GEN.13.2	Ábrám pedig igen gazdag vala barmokkal, ezüsttel és aranynyal. 
GEN.13.3	És méne helyről helyre délfelől mind Béthelig, oda a hol először vala az ő sátora, Béthel és Hái között. 
GEN.13.4	Annak az oltárnak helyére, 
GEN.13.5	Lótnak is pedig, a ki Ábrámmal jár vala, valának juhai, ökrei és sátorai. 
GEN.13.6	És nem bírá meg őket az a föld, hogy együtt lakjanak, mert sok jószáguk vala, és nem lakhatának együtt. 
GEN.13.7	Versengés is támada az Ábrám barompásztorai között, és a Lót barompásztorai között; és a Kananeusok és a Perizeusok is ott laknak vala akkor azon a földön. 
GEN.13.8	Monda azért Ábrám Lótnak: Ne legyen versengés közöttem és közötted, se az én pásztoraim között és a te pásztoraid között: hiszen atyafiak vagyunk. 
GEN.13.9	Avagy nincsen-é előtted mind az egész föld? Válj el kérlek, tőlem; ha te balra tartasz, én jobbra megyek; ha te jobbra menéndesz, én balra térek. 
GEN.13.10	Felemelé azért Lót az ő szemeit, és látá, hogy a Jordán egész melléke bővizű föld; mert minekelőtte elvesztette volna az Úr Sodomát és Gomorát, mind Czoárig olyan vala az, mint az Úr kertje, mint Égyiptom földe. 
GEN.13.11	És választá Lót magának a Jordán egész mellékét, és elköltözék Lót kelet felé: és elválának egymástól. 
GEN.13.12	Ábrám lakozik vala a Kanaán földén, Lót pedig lakozik vala a 
GEN.13.13	Sodoma 
GEN.13.14	Az Úr pedig monda Ábrámnak, minekutánna elválék tőle Lót: Emeld fel szemeidet és tekints arról a helyről, a hol vagy, északra, délre, keletre és nyugotra. 
GEN.13.15	Mert 
GEN.13.16	És 
GEN.13.17	Kelj fel, járd be ez országot hosszában és széltében: mert néked adom azt. 
GEN.13.18	Elébb mozdítá azért sátorát Ábrám, és elméne, és lakozék Mamré tölgyesében, mely Hebronban van, és oltárt építe ott az Úrnak.
GEN.14.1	Lőn pedig Amrafelnek, Sineár királyának és Ariókhnak, Elászár királyának, Khédorlaomernek, Élám királyának, és Thidálnak, a Góim királyának napjaiban: 
GEN.14.2	Hadat indítának 
GEN.14.3	Mind ezek a Sziddim völgyében egyesűlének; ez a Sóstenger. 
GEN.14.4	Tizenkét esztendeig szolgálták vala Khédorlaomert, és a tizenharmadik esztendőben ellene támadtak vala. 
GEN.14.5	A tizennegyedik esztendőben pedig eljöve Khédorlaomer, és a királyok, a kik ő vele 
GEN.14.6	És a 
GEN.14.7	És megtérének s menének Hén Mispátba, azaz Kádesbe, és elpusztíták az Amálekiták egész mezőségét, és az Emoreusokat is, kik laknak vala Háczaczon-Thámárban. 
GEN.14.8	Kiméne tehát Sodoma királya, Gomora királya, Admáh királya, Czeboim királya, és Bélah, azaz Czoár királya, és megütközének azokkal a Sziddim völgyében: 
GEN.14.9	Khédorlaomerrel, Élám királyával, és Thidállal, Gójim királyával, Amráfellel, Sineár királyával, és Ariókhkal, Elászár királyával: négy király öt ellen. 
GEN.14.10	A Siddim völgye pedig tele vala szurok-forrásokkal. És megfutamodának Sodoma és Gomora királyai, és azokba esének: a megmaradottak pedig a hegységbe futának. 
GEN.14.11	És elvivék Sodomának és Gomorának minden jószágát és minden eleségét; és elmenének. 
GEN.14.12	Elvivék Lótot is az Ábrám atyjafiának fiát jószágostól együtt, és elmenének; mert Lót Sodomában lakik vala.
GEN.14.13	Eljöve pedig egy menekűlt és hírűl hozá a héber Ábrámnak, a ki lakik vala az Emoreus Mamrénak, Eskol atyjafiának és Áner atyjafiának tölgyesében, a kik meg Ábrámnak szövetségesei valának. 
GEN.14.14	A mint meghallá Ábrám, hogy az ő atyjafia fogságba esett, felfegyverzé házában nevekedett háromszáz tizennyolcz próbált legényét és üldözve nyomula Dánig. 
GEN.14.15	És csapatokra oszolván ellenök éjszaka ő és szolgái, megveré őket, és űzé őket mind Hóbáig, a mely Damaskustól balra esik. 
GEN.14.16	És visszahozá mind a jószágot; Lótot is, az ő atyjafiát jószágával egybe visszahozá, meg az asszonyokat és a népet. 
GEN.14.17	Minekutánna pedig visszatért Khédorlaomernek és a vele volt királyoknak megveréséből, kiméne ő elébe Sodomának királya a Sáve völgyébe, azaz a király völgyébe. 
GEN.14.18	Melkhisédek 
GEN.14.19	És megáldá őt, és monda: Áldott legyen Ábrám a Magasságos Istentől, ég és föld teremtőjétől. 
GEN.14.20	Áldott a Magasságos Isten, a ki kezedbe adta ellenségeidet. És tizedet ada 
GEN.14.21	És monda Sodoma királya Ábrámnak: Add nékem a népet, a jószágot pedig vedd magadnak. 
GEN.14.22	És monda Ábrám Sodoma királyának: Felemeltem az én kezemet az Úrhoz, a Magasságos Istenhez, ég és föld teremtőjéhez: 
GEN.14.23	Hogy én egy fonalszálat, vagy egy sarukötőt sem veszek el mindabból, a mi a tiéd, hogy ne mondjad: Én gazdagítottam meg Ábrámot. 
GEN.14.24	Semmi egyebet, csupán a legények élelmét, és ama férfiak részét, kik én velem eljöttek volt: Áner, Eskhol, Mamré, ők vegyék ki az ő részöket.
GEN.15.1	E dolgok után lőn az Úr beszéde Ábrámhoz 
GEN.15.2	És monda Ábrám: Uram Isten, mit adnál énnékem, holott én magzatok nélkűl járok, és az, a kire az én házam száll, a Damaskusbeli Eliézer? 
GEN.15.3	És monda Ábrám: Ímé énnékem nem adtál magot, és ímé az én házam szolgaszülöttje lesz az én örökösöm. 
GEN.15.4	És ímé szóla az Úr ő hozzá, mondván: Nem ez lesz a te örökösöd: hanem a ki a te ágyékodból származik, az lesz a te örökösöd.
GEN.15.5	És kivivé őt, és monda: 
GEN.15.6	És 
GEN.15.7	És monda néki: Én vagyok az Úr, ki téged kihoztalak Úr-Kaszdimból, hogy néked adjam e földet, örökségedűl. 
GEN.15.8	És monda: Uram Isten, miről tudhatom meg, hogy öröklöm azt? 
GEN.15.9	És felele néki: Hozz nékem egy három esztendős üszőt, egy három esztendős kecskét, és egy három esztendős kost, egy gerliczét és egy galambfiat. 
GEN.15.10	Elhozá azért mind ezeket, és kétfelé hasítá azokat, és mindeniknek fele 
GEN.15.11	És ragadozó madarak szállának e húsdarabokra, de Ábrám elűzi vala azokat. 
GEN.15.12	És lőn naplementekor, mély álom lepé meg Ábrámot, és ímé rémülés és nagy setétség szálla ő reá. 
GEN.15.13	És monda 
GEN.15.14	De azt a népet, melyet szolgálnak, szintén megítélem én, és 
GEN.15.15	Te 
GEN.15.16	Csak 
GEN.15.17	És mikor a nap leméne és setétség lőn, ímé egy füstölgő kemencze, és tüzes fáklya, mely általmegyen vala a húsdarabok között. 
GEN.15.18	E napon kötött az Úr 
GEN.15.19	A Keneusokat, Kenizeusokat, és a Kadmoneusokat. 
GEN.15.20	A Hittheusokat, Perizeusokat, és a Refeusokat. 
GEN.15.21	Az Emoreusokat, Kananeusokat, Girgazeusokat, és a Jebuzeusokat.
GEN.16.1	És Szárai, az Ábrám felesége nem szűle néki; de vala néki egy Égyiptomból való szolgálója, kinek neve Hágár vala. 
GEN.16.2	Monda azért Szárai Ábrámnak: Ímé az Úr bezárolta az én méhemet, hogy ne szűljek: kérlek, menj be az én szolgálómhoz, talán az által megépülök; és engede Ábrám a Szárai szavának. 
GEN.16.3	Vevé tehát Szárai, Ábrám felesége az Égyiptombeli Hágárt, az ő szolgálóját, tíz esztendővel azután, hogy Ábrám a Kanaán földén letelepedék, és adá azt Ábrámnak az ő férjének feleségül. 
GEN.16.4	És béméne Hágárhoz, és az fogada az ő méhében; ez pedig a mint látta, hogy terhes, nem vala becsülete az ő asszonyának ő előtte. 
GEN.16.5	Monda azért Szárai Ábrámnak: Bántódásom van miattad. Én adtam öledbe szolgálómat, és mivelhogy látja, hogy teherbe esett, nincsen előtte becsületem. Tegyen ítéletet az Úr én közöttem és te közötted. 
GEN.16.6	És monda Ábrám Szárainak: Ímé a te szolgálód kezedben van, azt tedd vele a mit jónak látsz. Nyomorgatja vala azért Szárai, és az elfuta ő előle.
GEN.16.7	És találá őt az Úrnak angyala egy forrásnál a pusztában, annál a forrásnál, a mely a Súrba menő úton van. 
GEN.16.8	És monda: Hágár, Szárai szolgálója! honnan jössz és hová mégy? És az monda: Az én asszonyomnak, Szárainak színe elől futok én. 
GEN.16.9	Akkor monda néki az Úr angyala: Térj meg a te asszonyodhoz, és alázd meg magad az ő kezei alatt. 
GEN.16.10	És monda néki az Úrnak angyala: Felettébb megsokasítom a te magodat, hogy sokasága miatt megszámlálható se legyen. 
GEN.16.11	És monda néki az Úrnak angyala: Ímé te terhes vagy, és szűlsz fiat; és nevezd nevét Ismáelnek, mivelhogy meghallá Isten a te nyomorúságodat. 
GEN.16.12	Az pedig vadtermészetű ember lesz: az ő keze mindenek ellen, és mindenek keze ő ellene; és minden ő atyjafiának ellenébe üti fel sátorát. 
GEN.16.13	És nevezé Hágár az Úrnak nevét, a ki ő vele szólott vala: Te vagy a látomás Istene. Mert monda: Avagy nem e helyen láttam a látomás után? 
GEN.16.14	Annakokáért nevezé azt a 
GEN.16.15	És fiat szűle 
GEN.16.16	Ábrám pedig nyolczvanhat esztendős vala, a mikor Hágár Ismáelt szűlé Ábrámnak.
GEN.17.1	Mikor Ábrám kilenczvenkilencz esztendős vala, megjelenék az Úr Ábrámnak, és monda néki: Én a mindenható Isten vagyok, 
GEN.17.2	És megkötöm 
GEN.17.3	És arczára borúla Ábrám; az Isten pedig szóla őnéki, mondván: 
GEN.17.4	A mi engem illet, imhol az én szövetségem te veled, hogy 
GEN.17.5	És ne neveztessék ezután a te neved Ábrámnak, hanem legyen a te neved Ábrahám, mert népek sokaságának atyjává teszlek téged. 
GEN.17.6	És felette igen megsokasítalak téged; és népekké teszlek, és királyok is származnak tőled. 
GEN.17.7	És megállapítom az én szövetségemet én közöttem és te közötted, és te utánad a te magod között annak nemzedékei szerint örök szövetségűl, hogy legyek tenéked Istened, és a te magodnak te utánad. 
GEN.17.8	És adom tenéked és a te magodnak te utánnad a te bujdosásod földét, Kanaánnak egész földét, örök birtokul; és Istenök lészek nékik.
