GEN.1.1	IN die 
GEN.13.2	En Abram was baie ryk aan vee, aan silwer en goud.
GEN.13.3	En hy het van plek tot plek uit die Suidland getrek tot by Bet-el, na die plek waar sy tent in die begin gestaan het, tussen Bet-el en Ai,
GEN.13.4	na die 
GEN.13.5	En Lot, wat saam met Abram getrek het, het ook kleinvee en beeste en tente gehad.
GEN.13.6	En 
GEN.13.7	En daar het 
GEN.13.8	Toe sê Abram vir Lot: Laat daar tog geen twis wees tussen my en jou, en tussen my wagters en jou wagters nie; ons is mos broers.
GEN.13.9	Lê die hele land nie voor jou oop nie? Skei jou tog van my af; gaan jy links, dan sal ek regs gaan, en gaan jy regs, dan sal ek links gaan.
GEN.13.10	Toe slaan Lot sy oë op en sien dat die hele Jordaanstreek oral volop water het; voordat die 
GEN.13.11	En Lot het vir hom die hele Jordaanstreek gekies, en Lot het na die ooste weggetrek. So het hulle dan die een van die ander geskei.
GEN.13.12	Abram het bly woon in die land Kanaän, en Lot het gaan woon in die stede van die 
GEN.13.13	En die manne van Sodom 
GEN.13.14	En die 
GEN.13.15	want die hele land wat jy sien, 
GEN.13.16	En 
GEN.13.17	Maak jou klaar, trek die land deur in sy lengte en sy breedte, want Ek sal dit aan jou gee.
GEN.13.18	Toe het Abram al verder tente opgeslaan en gaan woon by die terpentynbome van Mamre wat by Hebron is; en hy het daar vir die 
GEN.14.1	EN in die dae van Ámrafel, die koning van 
GEN.14.2	het hulle oorlog gevoer teen Bera, die koning van Sodom, en teen Birsa, die koning van Gomorra, Síneab, die koning van 
GEN.14.3	Hulle het almal hulle leërs verenig in die laagte Siddim, 
GEN.14.4	Twaalf jaar lank het hulle Kedor-Laómer toe al gedien, maar in die dertiende jaar het hulle opstandig geword.
GEN.14.5	Toe kom Kedor-Laómer in die veertiende jaar, en die konings wat saam met hom was, en hulle verslaan die 
GEN.14.6	en die 
GEN.14.7	Daarop het hulle omgedraai en by En-Mispat, dit is Kades, gekom en die hele land van die Amalekiete verower en ook die Amoriete wat in 
GEN.14.8	Toe trek die koning van Sodom uit en die koning van Gomorra en die koning van Adma en die koning van Sebóim en die koning van Bela, dit is Soar, en stel hulle in die laagte Siddim in slagorde teen hulle op,
GEN.14.9	teen Kedor-Laómer, die koning van Elam, en Tídeal, die koning van die nasies, en Ámrafel, die koning van Sínear, en Áriog, die koning van Ellásar: vier konings teen vyf.
GEN.14.10	Maar die laagte Siddim was vol 
GEN.14.11	En hulle het 
GEN.14.12	Hulle het ook Lot, Abram 
GEN.14.13	Toe kom daar een wat vrygeraak het, en vertel dit aan Abram, die Hebreër, wat woonagtig was by die 
GEN.14.14	Toe Abram hoor dat sy 
GEN.14.15	hy het hulle in die nag van verskillende kante aangeval, hy en sy dienaars, en hulle verslaan en hulle agtervolg tot by Hoba wat noord van Damaskus lê.
GEN.14.16	En hy het al die goed teruggebring, en ook sy broer Lot en sy goed teruggebring; en ook die vroue en die manskappe.
GEN.14.17	Ná sy terugkoms van die oorwinning op Kedor-Laómer en die konings wat saam met hom was, het die koning van Sodom uitgetrek hom tegemoet na die laagte Sawe, 
GEN.14.18	En 
GEN.14.19	en hom geseën en gesê: Geseënd is Abram deur God, die Allerhoogste, 
GEN.14.20	En geseënd is God, die Allerhoogste, wat u vyande in u hand gegee het. Toe gee hy hom die 
GEN.14.21	En die koning van Sodom sê vir Abram: Gee my die mense, maar neem die goed vir uself.
GEN.14.22	Toe antwoord Abram die koning van Sodom: 
GEN.14.23	dat ek geen draad en geen skoenriem, ja, dat ek niks sal neem van alles wat uwe is nie, sodat u nie kan sê nie: Ek het Abram ryk gemaak.
GEN.14.24	Niks vir my nie! Net wat die dienaars geëet het en die deel van die manne 
GEN.15.1	NÁ hierdie dinge het die woord van die 
GEN.15.2	Toe vra Abram: Here 
GEN.15.3	Verder het Abram gesê: Aan my het U geen nageslag gegee nie; so sal dan 
GEN.15.4	Toe kom die woord van die 
GEN.15.5	Daarop lei Hy hom uit na buite met die woorde: Kyk nou op na die hemel en 
GEN.15.6	En hy 
GEN.15.7	Verder het Hy vir hom gesê: Ek is die 
GEN.15.8	En hy sê: Here 
GEN.15.9	En Hy antwoord hom: Neem vir My 'n driejaaroud vers en 'n driejaaroud bokooi en 'n driejaaroud ram en 'n tortelduif en 'n jong duif.
GEN.15.10	En hy het dit alles vir Hom gebring en dit 
GEN.15.11	Toe kom daar roofvoëls op die dooie diere af, maar Abram het hulle weggejaag.
GEN.15.12	En toe die son wou ondergaan, val daar 'n diepe slaap op Abram, en kyk, skrik 
GEN.15.13	Daarop sê Hy vir Abram: Weet verseker 
GEN.15.14	Maar Ek sal ook die nasie oordeel aan wie hulle diensbaar moet wees, en daarna 
GEN.15.15	Maar 
GEN.15.16	En die vierde geslag sal hierheen terugkom, want die ongeregtigheid van die 
GEN.15.17	En ná sononder, toe dit heeltemal donker was, gaan daar 'n rokende oond en vurige fakkel tussen dié stukke vleis deur.
GEN.15.18	Op dié dag het die 
GEN.15.19	die Keniete en Kenissiete en Kadmoniete
GEN.15.20	en Hetiete en Feresiete en Refaïete
GEN.15.21	en Amoriete en Kanaäniete en Girgasiete en Jebusiete.
GEN.16.1	MAAR Sarai, die vrou van Abram, 
GEN.16.2	En Sarai het vir Abram gesê: Jy weet, die 
GEN.16.3	Toe neem Sarai, die vrou van Abram, Hagar, die Egiptiese, haar slavin — nadat Abram tien jaar in die land Kanaän gewoon het — en gee haar aan haar man Abram om sy vrou te wees.
GEN.16.4	En hy het by Hagar ingegaan, en sy het swanger geword. Maar toe sy sien dat sy swanger was, het haar meesteres 
GEN.16.5	En Sarai sê vir Abram: Die onreg my aangedoen, is op jou! Ek self het my slavin in jou skoot gegee, en nou dat sy sien dat sy swanger is, het ek veragtelik in haar oë geword. 
GEN.16.6	En Abram antwoord Sarai: Daar is jou slavin in jou hand — doen met haar soos dit goed is in jou oë. Toe het Sarai haar sleg behandel, en sy het van haar af weggevlug.
GEN.16.7	En die Engel van die 
GEN.16.8	en gevra: Hagar, slavin van Sarai, waar kom jy vandaan, en waar gaan jy heen? En sy antwoord: Ek vlug van my meesteres Sarai af weg.
GEN.16.9	Toe sê die Engel van die 
GEN.16.10	Verder sê die Engel van die 
GEN.16.11	Ook sê die Engel van die 
GEN.16.13	Toe noem sy die Naam van die 
GEN.16.14	Daarom noem hulle die put: Put van Lagai-Roï. Dit lê daar tussen 
GEN.16.15	En Hagar het vir Abram 'n seun gebaar; en Abram het sy seun wat Hagar gebaar het, 
GEN.16.16	En Abram was ses-en-tagtig jaar oud toe Hagar Ismael vir Abram gebaar het.
GEN.17.1	TOE Abram negen-en-negentig jaar oud was, het die 
GEN.17.2	En Ek wil my verbond sluit tussen My en jou, en jou 
GEN.17.3	Toe val Abram 
GEN.17.4	Wat My aangaan, kyk, my verbond is met jou, en 
GEN.17.5	Daarom sal hulle jou nie meer Abram noem nie, maar jou 
GEN.17.6	En Ek sal jou buitengewoon 
GEN.17.7	En Ek sal my verbond oprig tussen My en jou en jou nageslag ná jou in hulle geslagte as 'n ewige verbond, 
GEN.17.8	En Ek sal aan jou en jou nageslag ná jou die land van jou vreemdelingskap gee, die hele land Kanaän, as 'n ewige besitting; en 
GEN.17.9	Verder het God aan Abraham gesê: Maar jý moet my verbond hou, jy en jou nageslag ná jou, van geslag tot geslag.
GEN.17.10	Dit is my verbond wat julle moet hou tussen My en julle en jou nageslag ná jou: Al wat manlik onder julle is, moet besny word —
GEN.17.11	julle moet aan die vlees van julle voorhuid besny word, en dit sal 'n 
GEN.17.12	'n Seuntjie van agt dae dan 
GEN.17.13	die wat in jou huis gebore en wat met jou geld gekoop is, moet sekerlik besny word. So moet dan my verbond in julle vlees wees as 'n ewige verbond.
GEN.17.14	En wat manlik is en die voorhuid het, wat nie aan die vlees van sy voorhuid besny is nie — dié siel moet uit sy volksgenote uitgeroei word: hy het my verbond verbreek.
GEN.17.15	Verder het God aan Abraham gesê: Sarai, jou vrou, moet jy nie Sarai noem nie, maar haar naam sal Sara wees.
GEN.17.16	En Ek sal haar seën en 
GEN.17.17	Toe val Abraham op sy aangesig, 
GEN.17.18	En Abraham sê aan God: Ag, mag 
GEN.17.19	Toe antwoord God: Voorwaar, jou vrou Sara sal vir jou 'n seun baar, en jy moet hom Isak noem; en Ek sal my verbond met hom oprig as 'n ewige verbond vir sy nageslag ná hom.
GEN.17.20	Ook wat Ismael aangaan, het Ek jou verhoor. Kyk, Ek seën hom en maak hom vrugbaar en 
GEN.17.21	Maar my verbond sal Ek oprig met Isak wat Sara vir jou anderjaar op hierdie tyd sal baar.
GEN.17.22	En nadat Hy klaar met hom gespreek het, 
GEN.17.23	Daarop neem Abraham sy seun Ismael en almal wat in sy huis gebore is, en almal wat met sy geld gekoop is, almal wat manlik was onder die mense in die huis van Abraham, en hy het die vlees van hulle voorhuid nog op daardie selfde dag besny, soos God met hom gespreek het.
GEN.17.24	En Abraham was negen-en-negentig jaar oud toe hy aan die vlees van sy voorhuid besny is.
GEN.17.25	En sy seun Ismael was dertien jaar oud toe hy aan die vlees van sy voorhuid besny is.
GEN.17.26	Op daardie selfde dag is Abraham en sy seun Ismael besny
GEN.17.27	en al die manne van sy huis — die wat in sy huis gebore en die wat van vreemdelinge met geld gekoop is, is saam met hom besny.
GEN.18.1	DAARNA het die 
GEN.18.2	Toe hy sy oë opslaan en kyk, 
GEN.18.3	En hy sê: My heer, as ek nou genade in u oë gevind het, gaan dan tog nie by u kneg verby nie.
GEN.18.5	En 
GEN.18.6	Toe loop Abraham haastig in die tent na Sara en sê: Maak gou, knie drie mate meel, die beste, en maak roosterkoeke.
GEN.18.7	Daarop loop Abraham na die beeste en vang 'n jong, mooi kalf en gee dit aan die dienaar, wat dit gou klaargemaak het.
GEN.18.8	En hy neem dikmelk en soetmelk en die kalf wat hy klaargemaak het, en sit dit aan hulle voor, terwyl hy self by hulle onder die boom bly staan; en hulle het geëet.
GEN.18.9	Toe sê hulle vir hom: Waar is Sara, u vrou? En hy antwoord: Daar in die tent.
GEN.18.10	En Hy sê: Ek sal oor 'n jaar sekerlik weer na jou toe kom — dan 
GEN.18.11	Maar 
GEN.18.12	En Sara 
GEN.18.13	Toe sê die 
GEN.18.15	Maar Sara het dit ontken en gesê: Ek het nie gelag nie — want sy was bang. Maar Hy sê: Nee, maar jy het gelag.
GEN.18.16	Toe staan die manne daarvandaan op, en hulle het gekyk na die kant van Sodom; en Abraham het saam met hulle gegaan 
GEN.18.17	Daarop sê die 
GEN.18.18	terwyl Abraham tog sekerlik 'n groot en magtige nasie sal word en al die nasies van die aarde in hom geseën sal word?
GEN.18.19	Want Ek het hom verkies, 
GEN.18.20	Verder het die 
GEN.18.21	Ek wil neerdaal en sien of hulle werklik gehandel het soos die geroep oor hulle is wat by My gekom het; en so nie, 
GEN.18.22	Toe het die manne daarvandaan weggedraai en 
GEN.18.23	En Abraham het 
GEN.18.24	Miskien is daar vyftig regverdiges binne-in die stad; sal U hulle ook ombring en die plek nie spaar ter wille van die vyftig regverdiges wat daarin is nie?
GEN.18.25	Laat dit ver van U wees om so iets te doen: 
GEN.18.26	Toe sê die 
GEN.18.27	En Abraham antwoord en sê: 
GEN.18.28	Miskien sal daar aan die vyftig regverdiges vyf ontbreek; sal U ter wille van vyf die hele stad verwoes? En Hy antwoord: Ek sal dit nie verwoes as Ek daar vyf-en-veertig vind nie.
GEN.18.29	En hy het nog verder met Hom gespreek en gesê: Miskien sal daar veertig gevind word. En Hy antwoord: Ek sal dit ter wille van die veertig nie doen nie.
GEN.18.30	Verder sê hy: Laat die Here tog nie toornig wees nie, en mag ek nog iets sê. Miskien sal daar dertig gevind word. En Hy antwoord: Ek sal dit nie doen as Ek daar dertig vind nie.
GEN.18.31	Toe sê hy: Kyk tog, ek het dit gewaag om met die Here te spreek. Miskien sal daar twintig gevind word. En Hy antwoord: Ek sal dit ter wille van die twintig nie verwoes nie.
GEN.18.32	Toe sê hy: 
GEN.18.33	En die 
GEN.19.1	EN die 
GEN.19.2	en gesê: Kyk tog, my here, 
GEN.19.3	Maar hy het baie by hulle aangehou, sodat hulle na hom uitgedraai en in sy huis gekom het. En hy het vir hulle 'n maaltyd berei en ongesuurde koeke gebak, en hulle het geëet.
GEN.19.4	Hulle het nog nie gaan slaap nie toe die manne van die stad, die manne van Sodom, die huis omsingel: jonk en oud, die hele bevolking, almal saam.
GEN.19.6	Daarop gaan Lot na hulle toe uit voor die ingang en sluit die deur agter hom toe
GEN.19.7	en sê: My broers, moet tog nie kwaad doen nie.
GEN.19.8	Kyk tog, ek het twee dogters wat geen man beken het nie; laat ek dié na julle uitbring, en doen met hulle soos dit goed is in julle oë. Net aan hierdie manne moet julle niks doen nie, 
GEN.19.9	Toe antwoord hulle: Gee pad daar! En hulle sê: 
GEN.19.10	Maar die manne het hulle hand uitgesteek en Lot by hulle in die huis gebring en die deur toegesluit.
GEN.19.11	Toe slaan hulle die manne wat by die ingang van die huis was, klein en groot, met 
GEN.19.12	Daarop sê die manne vir Lot: Wie het jy hier nog? 'n Skoonseun en jou seuns en jou dogters en almal wat jy het in die stad — 
GEN.19.13	want ons gaan hierdie plek verwoes, omdat die geroep oor hulle groot is voor die aangesig van die 
GEN.19.14	Toe gaan Lot uit en praat met sy skoonseuns wat met sy dogters sou trou, en sê: 
GEN.19.15	En toe die dag begin breek, het die engele by Lot aangedring en gesê: Maak jou klaar, neem jou vrou en jou twee dogters wat by jou is, dat jy weens die ongeregtigheid van die stad nie omkom nie.
GEN.19.16	Maar hy het nog getalm. Toe gryp die manne hom en sy vrou en sy twee dogters aan die hand, omdat die 
GEN.19.17	En toe hulle hulle na buite uitgelei het, sê Hy: Vlug vir jou lewe! 
GEN.19.18	Daarop antwoord Lot hulle: Ag nee, my Here!
GEN.19.19	Kyk tog, u kneg het genade in u oë gevind, en U het u guns groot gemaak wat U aan my bewys het deur my in die lewe te behou. Maar ek is nie in staat om na die gebergte te vlug sonder dat die onheil my inhaal en ek sterwe nie.
GEN.19.20	Kyk tog, hierdie stad is naby om daarheen te vlug, en dit is klein. Laat my tog daarheen vlug — is dit nie klein nie? — dat ek kan lewe!
GEN.19.21	En Hy sê vir hom: Kyk, 
GEN.19.22	Vlug gou daarheen, want Ek kan niks doen voordat jy daar aankom nie. 
GEN.19.23	Die son het oor die aarde opgegaan toe Lot in Soar aankom.
GEN.19.24	En die 
GEN.19.25	en Hy het hierdie stede omgekeer en die hele 
GEN.19.26	En sy vrou het agter hom omgekyk, en sy het 'n 
GEN.19.27	En Abraham is vroeg in die môre na die plek waar hy 
GEN.19.28	Toe hy uitkyk oor Sodom en Gomorra en oor die hele land van die 
GEN.19.29	En onderwyl God die stede van die 
GEN.19.30	En Lot het uit Soar opgetrek en saam met sy twee dogters gaan woon op die 
GEN.19.31	En die oudste het aan die jongste gesê: Ons vader is oud, en daar is geen man in die land om, na die reël van die ganse aarde, by ons in te gaan nie.
GEN.19.32	Kom, laat ons aan ons vader wyn gee om te drink en met hom gemeenskap hou, sodat ons deur ons vader 'n geslag in die lewe kan hou.
GEN.19.33	Hulle gee toe dié nag aan hulle vader wyn om te drink, en die oudste het gekom en met haar vader gemeenskap gehad sonder dat hy dit gewaar het toe sy gaan lê en toe sy opstaan.
GEN.19.34	Die volgende dag sê die oudste aan die jongste: Kyk, ek het verlede nag met my vader gemeenskap gehad; laat ons hom vannag weer wyn gee om te drink; gaan dan in, hou met hom gemeenskap, dat ons deur ons vader 'n geslag in die lewe kan hou.
GEN.19.35	Hulle gee toe dié nag weer aan hulle vader wyn om te drink, en die jongste het opgestaan en met hom gemeenskap gehad sonder dat hy dit gewaar het toe sy gaan lê en toe sy opstaan.
GEN.19.36	So het dan die twee dogters van Lot by hulle vader bevrug geword,
GEN.19.37	en die oudste het 'n seun gebaar en hom Moab genoem. 
GEN.19.38	En die jongste het ook 'n seun gebaar en hom Ben-Ammi genoem. 
GEN.20.1	EN Abraham het 
GEN.20.2	En Abraham het van Sara, sy vrou, gesê: 
GEN.20.3	Maar 
GEN.20.4	Maar Abiméleg het nog nie naby haar gekom nie; daarom het hy gevra: Here, 
GEN.20.5	Het hy my nie self gesê nie: Sy is my suster? En sy het self ook gesê: Hy is my broer. In die onskuld van my hart en in die reinheid van my hande het ek dit gedoen.
GEN.20.6	Daarop antwoord God hom in die droom: Ek weet ook dat jy dit in die onskuld van jou hart gedoen het, en Ek self het jou daarvan teruggehou om nie teen My te sondig nie. Daarom het Ek jou nie toegelaat om haar aan te raak nie.
GEN.20.7	Gee dan nou die man se vrou terug, 
GEN.20.8	Abiméleg is toe die môre vroeg op en het al sy dienaars geroep en die hele saak voor hulle ore vertel. Toe was die manne baie bang.
GEN.20.9	En Abiméleg het Abraham laat roep en hom gevra: Wat het jy ons aangedoen? En wat het ek teen jou gesondig, dat jy oor my en my koninkryk 'n groot sonde gebring het? Dinge wat nie mag gebeur nie, het jy my aangedoen.
GEN.20.10	Verder sê Abiméleg vir Abraham: Wat was jou bedoeling dat jy dit gedoen het?
GEN.20.11	En Abraham antwoord: Ek het gedink daar is regtig 
GEN.20.12	En sy is ook werklik 
GEN.20.13	En 
GEN.20.14	Toe 
GEN.20.15	En Abiméleg sê: Daar lê 
GEN.20.16	En vir Sara sê hy: Hier gee ek aan jou 
GEN.20.17	Toe het Abraham tot God gebid, en God het Abiméleg gesond gemaak; ook sy vrou en sy slavinne, sodat hulle kon baar.
GEN.20.18	Want die 
GEN.21.1	EN die 
GEN.21.2	Sara het bevrug geword en vir Abraham in sy ouderdom 'n seun gebaar 
GEN.21.3	En Abraham het sy seun wat vir hom gebore is, wat Sara vir hom gebaar het, 
GEN.21.4	En Abraham 
GEN.21.5	En 
GEN.21.6	En Sara het gesê: 
GEN.21.7	Verder sê sy: Wie kon ooit aan Abraham voorspel het: Sara soog kinders? 
GEN.21.8	En die kind het opgegroei en is gespeen. En Abraham het 'n groot maaltyd berei op die dag toe Isak gespeen is.
GEN.21.9	Toe sien Sara hoe die seun van Hagar, 
