GEN.1_1.1	I. 
GEN.8_1.21	Ba me iʼago hoea omasiõ andrõ Jehowa, ba imane dõdõnia: 
GEN.9_1.1	I. 
GEN.9_1.2	Ndramoeʼataʼoefi ami, jamoehocha mboe zaliw̃aliw̃a ba danõ fefoe, awõ wofo ba daloe mbanoea fefoe, awõ zanananana ba danõ fefoe, ba awõ giʼa ba nasi, fefoe: barõ mbawami tebeʼe. 
GEN.9_1.3	Fefoe zaliw̃aliw̃a, si so noso, ba õmi: si mane fameʼegoe boeloe ndroeʼoe andrõ oebeʼe chõmi, fefoe. 
GEN.9_1.4	Ha nagole si so noso na bacha, si so donia na, ba lõ tola miʼā. 
GEN.9_1.5	Ba oelaoe mbalõ ndromi; ba zaliw̃aliw̃a ba danõ fefoe oelaoe, ba ba niha fefoe, oelaoe mbalõ noso niha, me no si fatalifoesõ; me no ibeʼe famaedonia niha Lowalangi, wamazõchi jaʼia. 
GEN.9_1.6	Na so zameʼe adoewa ndro niha, ba niha zoei zameʼe adoewa ndronia, me no ibeʼe famaedonia niha Lowalangi, wamazõchi jaʼia. 
GEN.9_1.7	Ba jaʼami, ba miʼoʼono, miʼojaʼõ ami; miʼaliw̃aliw̃a ba goeli danõ ba miʼojaʼõ ami ba detenia.
GEN.9_1.8	II. 
GEN.9_1.9	Hiza, fawoeʼoe li ndraʼodo chõmi, ba ba maʼoewoemi, 
GEN.9_1.10	ba ba zi so noso fefoe, awõmi, he fofo ba he oerifõmi andrõ ba oetoe ndroeʼoe fefoe, si faofao chõmi, fefoe gofoe hadia zaliw̃aliw̃a ba danõ, si oroi nowo andrõ. 
GEN.9_1.11	Fawoeʼoesa li andrõ chõgoe chõmi: tenga saʼae nihori hadia ia nifazõchi, ba nidanõ andrõ, si nõnõi tanõ, ba lõʼõ saʼae itõrõ faʼanõnõ danõ, ba wamakiko oeli danõ. 
GEN.9_1.12	Ba imane Lowalangi: Daʼõ dandra wawoeʼoesa li andrõ, fawoeʼoesa li chõgoe chõmi ba ba zi so noso fefoe, awõmi, ba ngaʼõtõ fefoe mitooe. 
GEN.9_1.13	Doemi andrõ chõgoe, ba oebeʼe ba lawoeo, enaʼõ tandra wawoeʼoesa li ia ba gotaloeama danõ. 
GEN.9_1.14	Ba na so oehõna lawoeo, jaw̃a danõ, ba na teʼila ndroemi andrõ, 
GEN.9_1.15	ba itõrõ tõdõgoe wawoeʼoesa li andrõ, fawoeʼoesa li chõgoe chõmi ba ba zonoso fefoe ba nõsi goeli danõ maʼafefoe; fa bõi saʼae anõnõ danõ idanõ andrõ, ba wamakiko õsi goeli danõ fefoe. 
GEN.9_1.16	Ba na no so ba lawoeo ndroemi andrõ, ba oefaigi ia, enaʼõ itõrõ tõdõgoe wawoeʼoesa li andrõ, si lõ teboelõ, nilaoe Lowalangi ba zonoso fefoe ba nõsi goeli danõ maʼafefoe. 
GEN.9_1.17	Ba imane Lowalangi chõ Noachi: Ja daʼõ dandra wawoeʼoesa li andrõ, fawoeʼoesa li andrõ chõgoe ba nõsi goeli danõ fefoe.
GEN.9_1.18	III. 
GEN.9_1.19	Daʼõ nono Noachi si datõloe andrõ, ba jaʼira woeroegõ niha ba goeli danõ fefoe. 
GEN.9_1.20	Ba ibõrõtaigõ Noachi ifazõchi kaboe nagoe, sangahalõ ia. 
GEN.9_1.21	Ba me ibadoe nagoe, ba maboe ia, ba mõrõmõrõ tooe ia ba nosenia, lõ baloebaloe zaila ia. 
GEN.9_1.22	Ba me iʼila Chamo andrõ, ama Ganaʼana, lõ baloebaloe namania, ba mõi ia moew̃aʼõ chõ gaʼania si daroea andrõ, baero. 
GEN.9_1.23	Ba lahalõ mbaroe seboea ira Semi Jafeti, laʼangalisigõ, laʼerogõ weʼamõi chõ namara ba laboeloegõ zaila ia; noa sa laʼerogõ, fa bõi laʼila zaila namara. 
GEN.9_1.24	Ba me tokea Noachi, me dõhõ wemaboenia ba me irongo nilaoe nononia si achi andrõ chõnia, ba imane: 
GEN.9_1.25	Niʼelifi Ganaʼana, ja sawoejoe zawoejoe ia ba chõ gaʼania andrõ! 
GEN.9_1.26	Ba imane na: 
GEN.9_1.27	Jamoefonaha sebolo Jafeti Lowalangi ba jamonahia [Jafeti] ba nose Zemi; ba sawoejoera dania Ganaʼana! 
GEN.9_1.28	Ba 350 fache tõ na Noachi, me no aefa waʼanõnõ danõ andrõ, ba 950 fache waʼanaoe noso Noachi fefoe, ba mate ia.
GEN.10_1.1	I. 
GEN.10_1.2	Daʼe nono Jafeti andrõ: Gomeri ba Magogi ba Madai ba Jawano ba Toebalo ba Mesechi ba Tirasi. 
GEN.10_1.3	Ba ono Gomeri, ba Asekena ba Rifati ba Togarima. 
GEN.10_1.4	Ba ono Jawano, ba Elisa ba Tarisi ba mado Chiti andrõ ba mado Rodani. 
GEN.10_1.5	Ba daʼõ fabali zi so ba hoelõ andrõ, niha baero. Daʼõ nono Jafeti andrõ, fasamboea danõra, ba fasamboea lira, fasamboea madora, fasamboea soi.
GEN.10_1.6	II. 
GEN.10_1.7	Ba ono Goesi, ba Seba ba Hewila ba Sabata ba Raʼema ba Sabitecha; ba ono Raʼema, ba Secheba ba Dedano. 
GEN.10_1.8	Ba ono Goesi na Nimerodi; ba ibõrõtaigõ sabõlõ daʼõ ba goeli danõ. 
GEN.10_1.9	Sabõlõ ba wealoe ia, tánõ fõna Jehowa; andrõ wa law̃aʼõw̃aʼõ: ”Sabõlõ ba wealoe, tánõ fõna Jehowa, si mane Nimerodi.” 
GEN.10_1.10	Bõrõta gamatõrõw̃ania Mbabeli andrõ ba Erechi ba Akadi ba Kalene, ba danõ Zineara. 
GEN.10_1.11	Ba daʼõ iʼotarai wanaw̃a tanõ Asoeri, ba itaroeʼõ Niniwe andrõ ba Rehoboti-Iri ba Kala, 
GEN.10_1.12	ba Reseni andrõ ba gotaloeara Niniwe Gala — daʼõ mbanoea seboea andrõ. 
GEN.10_1.13	Ba ngaʼõtõ Miseraji andrõ, ba mado Loedi ba mado Ganami ba mado Lehabi ba mado Nafetoehi, 
GEN.10_1.14	ba mado Wateroezi ba mado Gaseloehi (bõrõta Ndrawa Wilisiti andrõ) ba mado Gafetori. 
GEN.10_1.15	Ba ono Ganaʼana, ba Sidona, ononia si aʼa, ba Cheti; 
GEN.10_1.16	ba ngaʼõtõnia na Ndraono Jeboesi andrõ ba Iraono Gamori ba Iraono Girigasi, 
GEN.10_1.17	ba Iraono Hewi ba Iraono Gariki ba Iraono Zini, 
GEN.10_1.18	ba Iraono Gariwadi ba Iraono Zemari ba Iraono Hamata; ba si manõ waʼafabali soi Ndrawa Ganaʼana andrõ. 
GEN.10_1.19	Ba tanõ Ndrawa Ganaʼana andrõ, ba iʼotarai Zidona ba noemalõ ba Gerara, irege Gasa, ba noemalõ ba Zodoma ba ba Gomora ba ba Gadama ba ba Zeboʼi, iroegi Laza. 
GEN.10_1.20	Daʼõ ndraono Chamo, soira ba hadia ngawalõ lira, tanõra andrõ ba madora.
GEN.10_1.21	III. Ba Semi andrõ, foeroegõ ndraono Heberi andrõ fefoe, gaʼa Jafeti, ba moʼonoʼono gõi. 
GEN.10_1.22	Ono Zemi ba Elama ba Asoeri ba Arafasa ba Loedi ba Aramo. 
GEN.10_1.23	Ba ono Garamo, ba Oesi ba Hoeli ba Geteri ba Masi. 
GEN.10_1.24	Ba ono Garafasa, ba Sela, ba ono Zela, ba Heberi. 
GEN.10_1.25	Ba chõ Heberi andrõ, ba domboea nono matoea; tõi zi samboea, ba Felegi, me ba gõtõnia fabali niha ba goeli danõ. Ba tõi dalifoesõnia andrõ, ba Joketana. 
GEN.10_1.26	Ba ono Joketana andrõ, ba Alimodadi ba Salefi ba Hasamaweti ba Jara, 
GEN.10_1.27	ba Hadoramo ba Oesala ba Dikela, 
GEN.10_1.28	ba Obala ba Abimaʼeli ba Seba 
GEN.10_1.29	ba Ofiri ba Hawila ba Jobabi, oi ono Joketana daʼõ. 
GEN.10_1.30	Ba banoeara, ba iʼotarai Mesa, noemalõ ba Zefara, irege hili andrõ, tánõ ba gatoemboecha loeo. 
GEN.10_1.31	Daʼõ ngaʼõtõ Zemi andrõ, soira andrõ ba hadia ngawalõ lira ba tanõra ba madora andrõ. 
GEN.10_1.32	Daʼõ ngaʼõtõ ndraono Noachi, iwara andrõ ba soira; ba ba chõra fabali soi andrõ ba goeli danõ, me no aefa waʼatoea danõ andrõ fõna.
GEN.11_1.1	I. 
GEN.11_1.2	Ba me latõrõi danõ tánõ ba gatoemboecha loeo, ba lasõndra ndraso ba danõ Zineara, ba mowanoea ira ba daʼõ. 
GEN.11_1.3	Ba faoma lamane chõ nawõra: Talaboe, tafazõchi gara tembo ba tatoenoe! Ba kara chõra gara tembo andrõ ba soeloemooe wamabõbõ. 
GEN.11_1.4	Ba lamane: Talaboe, tataroeʼõ chõda mbanoea, awõ malige, siroegi banoea si jaw̃a zoezoe, taʼeboeaʼo dõida, fa bõi moezaewe ita ba goeli danõ maʼasagõrõ. 
GEN.11_1.5	Ba mõi tooe Jehowa, ba wamaigi banoea andrõ, awõ malige, nilaoe nono niha andrõ. 
GEN.11_1.6	Ba imane Jehowa: Ha samboea soi ira ba ha sambalõ lira, ba bõrõta wolaoera daʼõ, ba lõʼõ [saʼae] si tebai lalaoe, nichoi dõdõra. 
GEN.11_1.7	Ba damõi ita tooe ba tafachõjõ lira, fa bõi saʼae iʼila li nawõnia zamõsana! 
GEN.11_1.8	Ba tobali ifazawili ira Jehowa ba zi manõ, moroi ba daʼõ, ifazaewe ira ba goeli danõ maʼasagõrõ, ba tobali tebai saʼae lataroeʼõ mbanoea andrõ. 
GEN.11_1.9	Andrõ wa labeʼe tõinia Mbabeli, me no ba daʼõ ifachõjõ Jehowa li niha fefoe, ba me ba daʼõ iʼoroi Jehowa, wamazawili jaʼira ba goeli danõ maʼasagõrõ.
GEN.11_1.10	II. 
GEN.11_1.11	Ba me no toemboe Garafasa, ba 500 fache tõ na noso Zemi, ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe. 
GEN.11_1.12	Ba me no 35 fache Garafasa, ba toemboe chõnia Zela. 
GEN.11_1.13	Ba me no toemboe Zela, ba 403 fache tõ na noso Garafasa, ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe. 
GEN.11_1.14	Ba me no 30 fache Zela, ba toemboe chõnia Heberi. 
GEN.11_1.15	Ba me no toemboe Heberi andrõ, ba 403 fache tõ na noso Zela, ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe. 
GEN.11_1.16	Ba me no 34 fache Heberi, ba toemboe chõnia Welegi. 
GEN.11_1.17	Ba me no toemboe Welegi, ba 430 fache tõ na noso Heberi, ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe. 
GEN.11_1.18	Ba me no 30 fache Welegi, ba toemboe chõnia Reoe. 
GEN.11_1.19	Ba me no toemboe Reoe andrõ, ba 209 fache tõ na noso Welegi, ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe. 
GEN.11_1.20	Ba me no 32 fache Reoe, ba toemboe chõnia Zeroegi. 
GEN.11_1.21	Ba me no toemboe Zeroegi, ba 207 fache tõ na noso Reoe, ba toemboetoemboe chõnia ndraono ono matoea ba ono alawe. 
GEN.11_1.22	Ba me no 30 fache Zeroegi, ba toemboe chõnia Nachori. 
GEN.11_1.23	Ba me no toemboe Nachori andrõ, ba 200 fache tõ na noso Zeroegi ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe. 
GEN.11_1.24	Ba me no 29 fache Nachori, ba toemboe chõnia Dara. 
GEN.11_1.25	Ba me no toemboe Dara andrõ, ba 119 fache tõ na noso Nachori, ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe.
GEN.11_1.26	III. 
GEN.11_1.27	Ba daʼe ngaʼõtõ Dara andrõ: Ono Dara, ba Aberamo ba Nachori ba Harana. 
GEN.11_1.28	Ba ono Harana Loti andrõ. Ba si mate fõna namania Tara Harana andrõ, ba mbanoeara andrõ, ba Goeri ba Galedaia. 
GEN.11_1.29	Ba mangowaloe ndra Aberamo Nachori; tõi woʼomo Gaberamo, ba Saraʼi, ba tõi woʼomo Nachori, ba Milika, ono Harana andrõ, ama ndra Milika Jisika. 
GEN.11_1.30	Ba si lõ moʼono Zaraʼi andrõ. 
GEN.11_1.31	Ba iʼohe nononia Aberamo Tara, awõ Loti, ono nononia Harana andrõ, awõ noemõnõnia Saraʼi andrõ, foʼomo nononia Aberamo, aheta ira ba Goeri ba Galedaia, ba wanaw̃a tanõ Ganaʼana. Ba laroegi Harana, ba ahono ira ba daʼõ. 
GEN.11_1.32	Ba faʼanaoe noso Dara, ba 205 fache; ba mate Dara ba Harana.
GEN.12_1.1	I. 
GEN.12_1.4	Ba awoeʼa Gaberamo, iʼoʼõ niw̃aʼõ Jehowa chõnia, ba fao chõnia Loti. Ba no 75 fache Geberamo, me aheta ia ba Harana. 
GEN.12_1.5	Ba iʼohe woʼomonia Saraʼi Aberamo, awõ Loti, ono dalifoesõnia, awõ nibajabajara fefoe, si so chõra, awõ niha andrõ (sangai halõw̃õ) nisõndrara ba Harana, ba laheta ira, ba weʼamõi ba danõ Ganaʼana, ba laroegi danõ Ganaʼana. 
GEN.12_1.6	Ba itõrõi danõ andrõ Aberamo, iroegi mbanoea Zichema, iroegi gatoea More; ba me loeo daʼõ, ba Dawa Ganaʼana zi so ba danõ. 
GEN.12_1.7	Ba iʼoromaʼõ ia chõ Gaberamo Jehowa, imane chõnia: Ba maʼoewoemõ oebeʼe danõ andre! Ba ifaʼanõ naha wameʼe soemange ba daʼõ chõ Jehowa, si no mangoromaʼõ jaʼia chõnia. 
GEN.12_1.8	Ba ifaʼese ia fõna, isaw̃a hili tánõ ba gatoemboecha loeo, iʼotarai Mbetiëli, ba daʼõ itaroeʼõ nosenia, tobali tánõ ba gaechoela Mbetiëli ba tánõ ba gatoemboecha Gaʼi, iʼotarai zi so ia. Ba ifaʼanõ ba daʼõ naha wameʼe soemange chõ Jehowa ba iʼangarõfi li Jehowa. 
GEN.12_1.9	Aefa daʼõ, ba idooeʼõdooeʼõ ia Aberamo miraja.
GEN.12_1.10	II. 
GEN.12_1.11	Ba me no ahatõ ira ba danõ Miseraji, ba imane Aberamo chõ woʼomonia Saraʼi: Hiza, oeʼila, wa no ira alawe si sõchi bawa ndraʼoegõ. 
GEN.12_1.12	Ba na laʼilaʼõ dania Dawa Miseraji, ba lamane dania: Foʼomonia! ba laboenoe ndraʼo, ba laʼorifi ndraʼoegõ. 
GEN.12_1.13	Oeʼandrõ chõoe, õw̃aʼõ dania, achigoe ndraʼoegõ, enaʼõ ohahaoe dõdõgoe, bõrõ ndraʼoegõ, fa aoerido, bõrõ ndraʼoegõ. 
GEN.12_1.14	Ba me no iroegi danõ Miseraji Aberamo, ba laʼila Dawa Miseraji, wa no si sõchi sibai ndra alawe andrõ. 
GEN.12_1.15	Ba me no laʼila ia koemandroe seboea andrõ chõ Waraʼo ba lasoeno ia chõ Waraʼo, ba teʼohe ba gõdo Waraʼo ndra alawe andrõ. 
GEN.12_1.16	Ba obõwõ Waraʼo chõ Gaberamo, bõrõ ndra alawe, ba isõndra Aberamo mbiribiri ba saw̃i ba kalide ba sawoejoe ono matoea ba sawoejoe ono alawe ba kalide si alawe ba ondra. 
GEN.12_1.17	Ba ifatõrõ wamakao seboea Jehowa chõ Waraʼo ba ba zoroijomonia, bõrõ Zaraʼi, foʼomo Gaberamo. 
GEN.12_1.18	Ba ifakaoniʼõ Gaberamo Faraʼo, imane: Hana wa õlaoe chõgoe daʼõ? Hana wa lõ õw̃aʼõ chõgoe, wa foʼomooe? 
GEN.12_1.19	Hana wa õw̃aʼõ: achigoe, fa tobali oehalõ ia foʼomogoe? Ba iadaʼe, ba hiza woʼomooe, ohe ia ba foeliʼõ! 
GEN.12_1.20	Ba iw̃aʼõ niha Faraʼo, chõnia, enaʼõ mõi ira awõra ba lala, ba fao woʼomonia, awõ fefoe hadia ia chõnia.
GEN.13_1.1	I. 
GEN.13_1.2	Ba no eboea sibai gochõta Gaberamo, he oerifõ ba he firõ ba he anaʼa. 
GEN.13_1.3	Ba itohoetohoegõ wofanõnia, iheta ia si raja, isaw̃a Mbetiëli, irege zi so osenia no, ba gotaloeara Mbetiëli Gaʼi, 
GEN.13_1.4	irege zi so naha wameʼe soemange no, nifaʼanõnia ba daʼõ fõna. Ba iʼangarõfi li dõi Jehowa Aberamo ba daʼõ.
GEN.13_1.5	II. 
GEN.13_1.6	Ba tebai itaha ira tanõ, fa oroedoeroedoe manõ ira menaʼõ, me no oja sibai goerifõra, tebai oroedoe manõ ira. 
GEN.13_1.7	Ba tobali fasosososo ira goebalo goerifõ Gaberamo goebalo goerifõ Loti. Ba so na gõi Ndrawa Ganaʼana ba danõ ba Dawa Weresi, me loeo daʼõ. 
GEN.13_1.8	Ba imane Aberamo chõ Loti: Bõi fasoso ita, ba bõi fasoso ira goebalo chõgoe goebalo chõoe, noa sa si fatalifoesõ ita. 
GEN.13_1.9	Tenga no so fõnaoe danõ maʼafefoe. Sõchi na õhetaʼõ chõgoe; na ba gabera zomasiʼõ, ba ba gambõlõ mõi ndraʼo, ba na ba gambõlõ õw̃aʼõ, ba ba gabera ndraʼo. 
GEN.13_1.10	Ba ifaõga hõrõnia Loti, ba iʼila, tanõ si lõ ambõʼambõ idanõ ndraso Joridano andrõ maʼasagõrõ, me lõʼõ na nidoedoegõ Lowalangi Sodoma ba Gomora andrõ, ba hoelõ kaboe Jehowa, si mane tanõ Miseraji, iroegi Zoara andrõ. 
GEN.13_1.11	Ba itoejoe chõnia ndraso Joridano andrõ maʼasagõrõ Loti, ba maoso ia, isaw̃a gatoemboecha loeo, ba tobali fabali ira. 
GEN.13_1.12	Ba danõ Ganaʼana so Gaberamo, ba Loti, ba ba mbanoea ba ndraso iʼiagõ, ba ifaʼezeʼeze nosenia, iroegi Zodoma. 
GEN.13_1.13	Ba si lõ sõchi inbanoea Zodoma andrõ, fahõna horõra chõ Jehowa.
GEN.13_1.14	III. 
GEN.13_1.15	Fefoe danõ andrõ sa, niʼilaoe, ba chõoe ba ba maʼoewoemõ oebeʼe, si lõ teboelõ. 
GEN.13_1.16	Ba oeʼojaʼõ maʼoewoemõ, irege faʼoja ngawoea nene ba danõ, fa tebai laʼerai maʼoewoemõ, si mane faʼatebai wangerai ngawoea nene ba danõ. 
GEN.13_1.17	Faoso ba tõrõi danõ, faʼanaoe ba faʼebolo, chõoe sa oebeʼe ia, tána chõoe. 
GEN.13_1.18	Ba ifaʼese nosenia Aberamo, iroegi gatoea Mamere ba tebato ia ba daʼõ, ba Heberona andrõ, ba ifaʼanõ naha wameʼe soemange chõ Jehowa.
GEN.14_1.1	I. 
GEN.14_1.2	razo Zodoma ba Birisa, razo Gomora ba Sinaba, razo Gadama, ba Semeberi, razo Zeboʼi ba razo Mbela, jaʼia Zoʼara andrõ. 
GEN.14_1.3	Daʼõ fefoe zoroedoe weʼamõi ba ndraso Sidi andrõ, jaʼia ziloea asi sasiʼasi maʼõchõ. 
GEN.14_1.4	No mewelendroea fache ira barõ mbawa Kedoro Laʼomoro andrõ ba me aefa daʼõ, ba laheta ira banoeania. 
GEN.14_1.5	Ba me no aloea meweledõloe fache, ba so Kedoro Laʼomoro, ba razo andrõ, si mõi awõnia, ba laʼalani mado Refaʼi andrõ ba Gasaroto Karanaï, awõ mado Zoesi ba Hama, awõ mado Gemi, ba ndraso ba Giriataʼi, 
GEN.14_1.6	ba mado Hori ba hili Zeʼira andrõ chõra, iroegi Geli Farana, tánõ ba gatoemboecha loeo, iʼotarai danõ si mate andrõ. 
GEN.14_1.7	Ba lafoeli ira foeri ba laroegi Geni Misefa, ja ia Kadesi, ba lasoewõ danõ Ndraono Gamaleki maʼasagõrõ, awõ Ndraono Gamori ba Hazaso Tamara. 
GEN.14_1.8	Ba maoso razo Zodoma ba razo Gomora ba razo Gadama ba razo Zebo i ba razo Mbela, jaʼia Zoara andrõ, lafaʼanõ ira ba wolaoe chõra ba zaloʼo ba Zidi, 
GEN.14_1.9	ba wolaoe chõ Kedoro Laʼomoro andrõ, razo Gelama, ba chõ Didala, razo niha baero, ba chõ Garambeli, razo Zineara, ba chõ Gariochi, razo Gelasara — daõfa razo oedoe zi dalima. 
GEN.14_1.10	Ba ba ndraso Sidi andrõ, ba no fahõna manõ dõgi zoeloemooe. Ba me no tetimba foeri razo Zodoma ba razo Gomora, ba ahõndrõ ira ba daʼõ, ba si tosai, ba moloi, lasaw̃a hili. 
GEN.14_1.11	Ba ahori lahalõ nibajabaja ba Zodoma ba ba Gomora ba balazora fefoe, ba mofanõ. 
GEN.14_1.12	Ba laʼoloiʼõ gõi Loti andrõ, ono dalifoesõ Gaberamo, si no fatewoe ba Zodoma, awõ nibajabajania, ba mofanõ.
GEN.14_1.13	II. 
GEN.14_1.14	Ba me irongo Gaberamo, no laraʼoe dána nononia andrõ ba no laʼoloiʼõ, ba ifaʼanõ niha andrõ chõnia, si no fadoehoe dõdõnia, si toemboe baomo nia [sawoejoe], 318, ba igohi zanoewõ andrõ, irege Dano. 
GEN.14_1.15	Ba ibarigõ niha andrõ chõnia ba lahawoei zanoewõ, ba zi bongi, ba teʼala labeʼe ba lagohi, irege Hoba, jõoe Ndramaseko. 
GEN.14_1.16	Ba iʼohe mangawoeli [Aberamo] fefoe nibajabaja, ba he Loti gõi, tana nononia, awõ nibajabajania, iʼohe mangawoeli, awõ ndra alawe, awõ niha sato niʼoloiʼõ.
GEN.14_1.17	III. 
GEN.14_1.18	Ba iʼohe baero roti ba agoe Melechisede, razo Zalema, ere Lowalangi Fondrege Zalaw̃a daʼõ. 
GEN.14_1.19	Ba ifahowoeʼõ Gaberamo, imane: Jawahowoeʼõ Gaberamo Lowalangi Fondrege Zalaw̃a, samazõchi banoea si jaw̃a, awõ danõ! 
GEN.14_1.20	Ba nisoeno Lowalangi Fondrege Zalaw̃a, si no mameʼe ba dangaoe emalioe. Ba ibeʼe chõnia Aberamo zamboea niʼofoeloe fefoe hadia ia. 
GEN.14_1.21	Ba imane razo Zodoma chõ Gaberamo: Niha andrõ beʼe chõgoe, ba nibajabaja andrõ, ba halõ chõoe. 
GEN.14_1.22	Ba imane Aberamo chõ razo Zodoma: Oefazaw̃a dangagoe chõ Jehowa, Lowalangi Fondrege Zalaw̃a, samazõchi banoea si jaw̃a, awõ danõ: 
GEN.14_1.23	Sara bana fanagoe ba sara bõbõ mbadagahe ba hadia ia fefoe zi so chõoe, ba lõ oehalõ, fa bõi õw̃aʼõ, no õfoʼanaʼa Gaberamo. 
GEN.14_1.24	Alacha lõ chõgoe! Ha niʼa nono matoea andrõ ba tána ba niha andrõ, si no mõi awõgoe, Aneri ba Esikoli ba Mamere — acha moʼoeracha ira!
GEN.15_1.1	I. 
GEN.15_1.2	Ba imane Aberamo: He Soʼaja Jehowa, hadia nibeʼeoe chõgoe? mowaõwaõ manõ ndraʼo ba lõ onogoe, ba sanema ondrõitagoe dania, ba Eliezeri andrõ, banoea Ndramaseko. 
GEN.15_1.3	Ba imane na Aberamo: Lõʼõ sa nibeʼeoe chõgoe ngaʼõtõ, ba tobali sanema ondrõitagoe, ba sawoejoe baomogoe. 
GEN.15_1.4	Ba hoemede chõnia Jehowa, imane: Tenga sanema ondrõitamo daʼõ, si otarai nõsioe dania, daʼõ zanema ondrõitamõ. 
GEN.15_1.5	Ba iʼohe ia baero baewali ba imane: Faigi mbanoea si jaw̃a ba erai ndrõfi; hadia, õʼila maõ õʼerai? Ba imane na chõnia: Si manõ [waʼoja] maʼoewoemõ dania. 
GEN.15_1.7	II. 
GEN.15_1.8	Ba imane: He Soʼaja, Jehowa! heza oroma chõgoe, wa ochõtagoe dania? 
GEN.15_1.9	Ba imane chõnia Jehowa: Halõ chõgoe zaw̃i si no medõloe fache ba nambi si medõloe fache ba si matoea mbiribiri si medõloe fache ba samboea woene ba samboea nono marafadi. 
GEN.15_1.10	Ba ihalõ chõnia daʼõ fefoe ba idozigõ ibago daloe ba ifatahõ zi tambatambai; ba fofo andrõ, ba lõ isila. 
GEN.15_1.11	Ba aechoe mojo ba nagole andrõ; ba itaboi ira Aberamo. 
GEN.15_1.12	Ba me aechoeʼaechoe loeo, ba ihawoei Gaberamo femõrõ sabõlõ ba faʼataʼoe; ihawoei ia faʼogõmigõmi sabeʼe. 
GEN.15_1.13	Ba imane [Jehowa] chõ Gaberamo: Bõi zi lõ õrongo, wa si fatewoe ba danõ si tenga tanõra maʼoewoemõ dania ba sawoejoe ira ba daʼõ ba lafakao sibai ira niha andrõ, õfa ngaotoe fache waʼara. 
GEN.15_1.14	Ba soi andrõ gõi, si mõi ira sawoejoe, ba oehoekoe, ba awena dania aefa ira, eboea laʼohe anaʼa. 
GEN.15_1.15	Ba jaʼoegõ, ba sohahaoe tõdõ, irege oroedoeʼõ chõ ndra toeaoe; ba waʼatoea omasiõ tekoʼo ndraʼoegõ. 
GEN.15_1.16	Ba õfa ngaʼõtõra, ba mangawoeli ira ba daʼe; lõʼõ na sa afõnoe zoeʼasoeʼa horõ Ndraono Gamori. 
GEN.15_1.17	Ba me no aechoe loeo, me no ogõmigõmi sibai, ba so zimbo, hoelõ zimbo zino waʼoe ba soeloe, sanõrõ nisila no mege. 
GEN.15_1.18	Me loeo daʼõ fawoeʼoe li Jehowa chõ Gaberamo, imane: Ba maʼoewoemõ oebeʼe danõ andre, iʼotarai nidanõ Miseraji andrõ, iroegi nidanõ seboea andrõ, Oiferati, 
GEN.15_1.19	tanõ Ndraono Geni ba tanõ Ndraono Genisi ba tanõ Ndraono Gadamoni, 
GEN.15_1.20	ba tanõ Ndraono Cheti ba tanõ Ndraono Weresi ba tanõ Ndraono Refati ba 
GEN.15_1.21	tanõ Ndraono Gamori ba tanõ Ndrawa Ganaʼana ba tanõ Ndraono Girigasi ba tanõ Ndraono Jeboesi.
GEN.16_1.1	I. 
GEN.16_1.2	Ba imane Saraʼi chõ Gaberamo: Me lõʼõ sa nibeʼe Jehowa chõgoe ono, ba hana na oroedoe ndraʼoegõ chõ zawoejoegoe jomo andrõ, ma faloechado nono chõnia! Ba iʼoʼõ niw̃aʼõ Zaraʼi Aberamo. 
GEN.16_1.3	Ba ihalõ zawoejoenia jomo andrõ, Hagara, Dawa Miseraji, Saraʼi, foʼomo Gaberamo, ba ibeʼe donga woʼomonia Aberamo, me no mewoeloe fache Gaberamo ba danõ Ganaʼana. 
GEN.16_1.4	Ba oroedoe ia chõ Hagara andrõ, ba manabina. Ba me iʼila, no manabina ia, ba lõ ba dõdõnia saʼae sochõ jaʼia. 
GEN.16_1.5	Ba imane Saraʼi chõ Gaberamo: Horõoe wa faloechado wangoʼaja. Jaʼodo zoloeloe chõoe sawoejoegoe jomo andrõ, ba ijaʼe, me iʼila no manabina ia, ba lõʼõ saʼae ba dõdõnia jaʼodo. Jamoefaigi lala chõda Jehowa. 
GEN.16_1.6	Ba imane Aberamo chõ Zaraʼi: Ba dangaoe atṍ so zawoejoemõ; si so ba dõdõoe laoe chõnia! Ba ifakao ia Saraʼi, irege moloi. 
GEN.16_1.7	Ba faloecha chõnia malaʼika Jehowa, ba zinga goemboe ba danõ si mate, oemboe ba ngai lala ba Zoeri. 
GEN.16_1.8	Ba imane: He Hagara, sawoejoe Zaraʼi! he õʼotarai ba heza moiʼõ? Imane: Soloi ndraʼo chõ Zaraʼi andrõ, sochõ jaʼodo. 
GEN.16_1.9	Ba imane chõnia malaʼika Jehowa andrõ: Foeliʼõ chõ zochõ jaʼoegõ andrõ, ba oʼõ niw̃aʼõnia. 
GEN.16_1.10	Ba imane na chõnia malaʼika Jehowa andrõ: Oja sibai maʼoewoemõ dania oebeʼe, irege tebai teʼerai waʼoja. 
