GEN.1.1	Bunso zaa piiligu, Naawunni n daa n maalini saazu ni tiŋŋa. 
GEN.29.13	Leban ni si n wumi Rabeeka biduu Yakubu baaru, o zo yoom ti tuusi u. A ŋaami u tabi o nyaari, ka mugisi u, ka mari u ta laanta, Yakubu yeli u bunso zaa n niŋi. 
GEN.29.14	Leban yeli u, e niŋini m valiga ni m zeem, Yakubu ba o saani ŋmerigunni.
GEN.29.15	Leban boosi u, “A kpali e nira n niŋi ma zu, e tumi n ti ma jaga? Yeli ma e sanyoori.” 
GEN.29.16	Bipunsi bayi n na Leban daa n mari, kpeema daana la yuuri n niŋi Liya, bibila daana la mi yuuri n niŋi Rachel. 
GEN.29.17	Liya nimbiisi daa n bi niŋi dede, ama Rachel wune daa n veela pogisara ga. 
GEN.29.18	Yakubu daa n kpabira Rachel, a zu, o yeli u, m ni tumi n ti i yuma ayapoin, ka e naa e bibila daana Rachel ti ma.
GEN.29.19	Leban yeli u, “M ni naag u ti i n so, m ni naag u ti dabyindaana. Zi n saani kpe.” 
GEN.29.20	Yakubu tumi yuma ayapoin, a kpali Rachel zu, ka a ŋmaani maa daasi beela yi o saani, seema o n kpabira Rachel la zu. 
GEN.29.21	Dindaso, Yakubu yeli Leban, “M tuma la jemani baasiya, cheli m ni e bii Rachel kulisi.”
GEN.29.22	A zu, Leban laŋsi tiŋŋa maa niriba zaa, a ti ba dugi poginaagirisim bindira ti ba. 
GEN.29.23	Ama yiiŋu n zibi, o naa Liya ti Yakubu, o mari u do. 
GEN.29.24	(Leban naa o guruŋbipuŋŋu Zilipa ti Liya, o niŋi o bipoga.)
GEN.29.25	Bee n ti chee Yakubu baŋŋi maa Liya n na. O wa ti boosi Leban, “Bo n na e niŋi ma lala? M tumi i ni, ka e naa Rachel ti ma, wula zu n na e yomsi ma?”
GEN.29.26	Leban yeli u, “Ti kpe, ti kaari chisirini bii ni daŋŋi kpeema kulisi. 
GEN.29.27	Baasi e pogipaali yaniŋisa zaa daba ayapoin nyaaŋa, ka m naa Rachel ti i, ka e lee n tumi n ti ma yuma ayapoin.” 
GEN.29.28	Yakubu sagi, ka baasi poginaagirisim yaniŋisa maa daba ayapoin maa, Leban naa o bipuŋŋu Rachel ti u o niŋi o poga. 
GEN.29.29	(Leban naa o guruŋbipuŋŋu Biliha ti Rachel, o niŋi o bipoga.) 
GEN.29.30	Yakubu mari Rachel gba do, ka kpabira u gaa Liya. Niŋi n na, o lee n tumi yuma ayapoin ti Leban.
GEN.29.31	Duuma nye maa, o bi kpabira Liya maa Rachel, o yoog o dogim, ka Rachel niŋi poginyee. 
GEN.29.32	Liya mari puwa, a dogi biduwa, ka yeli, “Duuma nye m nimbaa, pimparaŋa m sira ni kpabira ma.” A zu, o digili o bii maa yuuri Rubin
GEN.29.33	O lee n mari puwa, a dogi biduwa, ka yeli, “Duuma na ti ma ni biduwaa, a kpali o wumiya maa m ka kpabira.” A zu, o digili o yuuri Simiyon. 
GEN.29.34	O lee n maali n mari puwa, a dogi biduwa. Ka yeli, “Pimparaŋa m sira ni vuu n kpari ma, a kpali m dogini biduusi bata ti u.” A zu, o digili o yuuri Livai.
GEN.29.35	O lee n maali n mari puwa, a dogi biduwa, ka yeli, “Pimparaŋa wune m ni naa kpeesigu ti m Duuma.” A zu, o digili bii maa yuuri Juuda. Niŋi n na, o dogim tisi.
GEN.30.1	Rachel nye maa o bi dogi bii zaa ti Yakubu, o beeri yela gbaag u pubeerim. A zu, o yeli Yakubu, “Ti ma biisi, ka pa lala, ni kpi.” 
GEN.30.2	Yakubu suuri nyisigi, o boosi u, “Mani n niŋi Naawunni, a gbaag e dogim mari?”
GEN.30.3	Rachel yeli u, “M bipoga Biliha n na la, mari u do, o ni dogi biisi ti ma. O niŋi n na mani dolli n loobi biisi ma.” 
GEN.30.4	A zu, o naag o bipoga Biliha ti u, a maa o poga. Yakubu mari u do. 
GEN.30.5	O mari puwa, a dogi biduu ti Yakubu. 
GEN.30.6	Rachel yeli, “Naawunni zabi n pa m zu. O wumi m suusigu, ka ti ma biduwa.” Ka digili o yuuri Dan.
GEN.30.7	Biliha lee n mari puwa, a dogi biduwa paasi n ti Yakubu. 
GEN.30.8	Rachel yeli, “M zabi m beeri kpeeŋtiri, ka mi nyaŋŋi.” A zu, o digili bii maa yuuri Nafitali.
GEN.30.9	Liya n ti nye maa o bi lee dogira, o naa o bipoga Zilipa ti Yakubu maa o poga. 
GEN.30.10	Zilipa dogi biduu ti Yakubu. 
GEN.30.11	Liya yeli, “M mari zusuŋŋu.” Ka digili o yuuri Gadi. 
GEN.30.12	Zilipa maali n dogi biduu ti Yakubu. 
GEN.30.13	Liya yeli, “Wula sufupeelim ma bi mari? Pogiba ni boona ma sufupeelim.” Ka digili o yuuri Asa.
GEN.30.14	Chi cheebu jemani, Rubin nye dogim tiim vaari yi moo puu ti ti o ma Liya. Rachel yeli Liya, “Jaande, ti ma e biyaa dogim tiim vaari ŋa seesi.” 
GEN.30.15	Liya boosi u, “E n fa m sira ka che ma la, a na bi paali e nufu, e lee n ya n ti dee m bii dogim tiim vaari?” Rachel yeli u, “Ka e yi ti ma e biyaa dogim tiim vaari ŋa, e ni Yakubu ni tee n do yiiŋaa.” 
GEN.30.16	Zaanoori jemani, Yakubu n yi moo puu chena, Liya tuusi u soori, ka yeli u, “M nini n ya n do yiiŋaa, a kpali bo, m naani m bii dogim tiim vaari yo o lala samini.” O mari u do dindaari yiiŋu maa.
GEN.30.17	Naawun wumi Liya suusigu, o mari puwa, a dogi biduusi banu daana ti Yakubu. 
GEN.30.18	Liya yeli, “Naawunni yo ma samini, a kpali ni naa m bipoga ti m sira zu.” Ka digili bii maa yuuri Isaka.
GEN.30.19	Liya lee n mari puu dogi biisi bayoobu daana ti Yakubu. 
GEN.30.20	Ka yeli, “Naawunni pi ma ni piinisuŋŋu, pimparaŋa m sira ni tira ma jilima, a kpali biduusi bayoobu n na ma dogi n ti u.” Ka digili o yuuri Zebulun. 
GEN.30.21	A nyaaŋa, o dogi bipuŋŋu, ka digili o yuuri Dayina.
GEN.30.22	Naawunni teesi Rachel yela, a wumi o suusigu, ka yoog o dogim, 
GEN.30.23	o mari puwa, a dogi biduwa. Ka yeli, “Naawunni nyisi ma yi vi niŋi, o ti ma dogi biduwa.” 
GEN.30.24	O digili o yuuri Yisifu, ka yeli, “Naawunni o na kpari n paasi ma biduwa.”
GEN.30.25	Rachel n dogi Yisifu nyaaŋa, Yakubu yeli Leban, “Basi ma soori m pori n gaa m yiri. 
GEN.30.26	Naa m pogiba ni biisi seesi zu ni kpali m tumi i la ti ma, m gaari. E baŋŋi seema ni tumi i nene.”
GEN.30.27	Leban yeli u, “Ka e nye m nimbaa, e zi kpe. M bogini nye maa, Duuma nafa ma ni, a ti ma bindaalim, a kpali e zu. 
GEN.30.28	Wusi ma m samini, m yo i.”
GEN.30.29	Yakubu yeli u, “E baŋŋi seema ni tumi n ti i, a ni seema e buŋkobiri n wasi m nuu niŋi. 
GEN.30.30	Beela seesi e n daa n mari poin, ka ma ta, a paasiya ga. Seela zaa ni matira, Naawunni nafara i ni. Jemani paaya maa, m gbagba m nye m toori.”
GEN.30.31	O boosi u, “Bo n na e kpabira?” Yakubu yeli u, “Da ti ma sen. Ama, ka e ni sagi n niŋi yaso ni ya n yeli i ŋa, m na n kpari n nyaasira e buŋkobiri maa. 
GEN.30.32	Ti m kpe buŋkobiri maa puu gamisi a binchericherisi buusi ni peeri maa zaa, a ni pebiraasi, a loobi n toori. M sanyoori zaa n na la. 
GEN.30.33	O soosa zu, e ni nye maa m mari birikoŋsi koo m ka birikoŋsi. Jemanso e n ta a puwa, ka nye bimpeeli yi a niŋi, buu koo pee, a ni pe so n bi niŋi bimbiraa, ka wune, m zuuni n na la.”
GEN.30.34	Leban yeli u, “M sagi seema e n yeli maa.” 
GEN.30.35	Dindaari maa zaa Leban gamisi budaasi ni bunyaana seesi n ba chericheri, a ni pebiraasi ni a binchericherisi zaa nyem ti o biisi, ba nyaasira a. 
GEN.30.36	O naa dabaa ata mari buŋkobiri maa chaŋŋi n gaa wogila, ka Yakubu nyaasira a seesi n che la.
GEN.30.37	Yakubu wa ti kpabi tibalisi ata, a ŋma a wulimaasa foli n foli a pegiri, boomabooma, a peligi n peligi. 
GEN.30.38	Niŋi n na, o naa daari digili n digili buŋkobiri maa koom ŋuubu ziya, a kpali, buŋkobiri maa yi duurini taaba koom ŋuubu maa ziya. 
GEN.30.39	Buŋkobiri maa si n za daari maa see duura, a dogirini binchericherisi. 
GEN.30.40	Yakubu barigi pesaasi maa yi Leban buŋkobiri maa niŋi. Ka penyaana maa ya n ti du, o yi tini a nyaasira Leban buŋkobseesi n ba chericheri maa. N ŋa n na Yakubu niŋi n barigi o buŋkobiri yi Leban toori niŋi.
GEN.30.41	Buŋkobnyaana seesi n mari kpeena si n ti duura, Yakubu yi naa ni daari maa digili a koom ŋuubu zii maa, a duura nisaaniŋi. 
GEN.30.42	Ama, a bimpugiri la wune si n ti duura, o bi diŋina daari maa niŋi. A zu, bimpugiri maa loobirini Leban toori, ka bi n kpeena la mi loobira Yakubu toori.
GEN.30.43	N ŋa sooraa n na Yakubu naa n loobi bindaana, a mari buŋkobdamta, a ni guruŋbipogiba, guruŋnachiinsi, nyogimasi, a ni buŋsi.
GEN.31.1	Dindaso n na Yakubu wumi maa Leban biisi togsirini n ŋa, “Yakubu naani ti ba bini zaa loobi o toori, a loobi daama daana.” 
GEN.31.2	Ka Yakubu mi nye maa Leban yaniŋisa bi lee n ba seema o n daa n be la.
GEN.31.3	Niŋi n na, Duuma yeli Yakubu n ŋa. Pori n gaa e niriba saani, e yaadima tiŋgbaŋŋu niŋi, ka m ni ba e saani. 
GEN.31.4	Yakubu ni wumi n ŋa, o tolimi n yeli Rachel ni Liya, ni ba ta o saani, seela o ni buŋkobiri n be la. 
GEN.31.5	O yeli ba, “M nyeya maa, m ni ya ba beebu bi lee n be seema o n daa n be la, ama m ba Naawunni la mi bani m saani. 
GEN.31.6	Ya zaa mi nye seema ni peligi puu tumi ya ba. 
GEN.31.7	Ama, ya ba puni ma, o cherigi m sanyoori bupii zu, ama, Naawunni mi bi ti o nye daama niŋi ma daaŋu. 
GEN.31.8	Jemani zaa ka Leban daa n si n ti yeli ni buŋkoochericherisi la n niŋi e sanyoobu, a zaa si n ya n dogi, a dogirini binchericherisi. O n lee n yeli ni pimparaŋa, buŋkobseesi niŋa n too booma n niŋi e sanyoori, buŋkobiri maa zaa yi lee n dogirini lala biisi. 
GEN.31.9	A zu, Naawunni deeni ya ba buŋkobiri maa ti ma.
GEN.31.10	“Buŋkobiri maa duubu jemani, m daa zaasini zaasim, a nye maa, gbeesi dima la daa n bani chericheri, ka seesi gba mari booma. 
GEN.31.11	Zaasim maa puwa, Naawunni malaaka booli yeli ma, ‘Yakubu.’ Ma sagi, ‘Mani n ŋa.’ 
GEN.31.12	Malaaka maa yeli ma, ‘Nyaasi, gbeesi dima la n duura la bani chericheri, ka seesi niŋa mari booma, m nye bunso zaa Leban ni niŋini i. 
GEN.31.13	Mani n niŋi Naawunni so n daa n nyisi m maŋŋa wusi i yi Betel la, seela e n daa n kpaa kpaam duligi kugiri, ka digili noori ti ma la. Pimparaŋa, yi kpe, a gaa tiŋgbanso niŋi ba n dogi i la.’”
GEN.31.14	Niŋi n na, Rachel ni Liya yeli Yakubu, “Ti bi lee n mari kapete zaa yi ti ba kapete puwa. 
GEN.31.15	M ba nyaasira ti ni maa saamba, o koosi ti di. 
GEN.31.16	A zu, bunso zaa Naawunni n dee n yi ti ba saani niŋini ti nini zaa biisi bini. A kpali lala zu, niŋi bunso zaa Naawunni n yeli e niŋi.”
GEN.31.17	Niŋi n na, Yakubu naa o poga ni biisi ziili nyogimasi niŋi, 
GEN.31.18	ka kpagi o buŋkobiri zaa pa yiya, a ni binseesi zaa o n daa nye, a yi Mesopoteemiya paaligu paasi n gaa o ba Yisaaka saani, Keenan paaligu.
GEN.31.19	Poin ka ba yi, Leban daa n wa ti ŋmaasirini o peeri koba, ka Rachel zu o ba laanta buga. 
GEN.31.20	Yakubu gba daa n yomsini Leban, so n niŋi Aram daba la, o bi kpabira o baŋŋi maa ba warini. 
GEN.31.21	A kpali lala zu, Yakubu daa n naani o bunso zaa zo n wa ti du mogikarigu, so ba n boona Yufireeti la, a naa o zu kpa Giliyadi pelli, seela zoori ni be ga la.
GEN.31.22	Yakubu n daa zo maa dabaa ta daari, poin ka Leban wumi maa o zoya. 
GEN.31.23	Niŋi n na, Leban mari o niriba kari n pa Yakubu zu, dabaa ayapoin daari poin, ka o paag u, a yi Giliyadi paaligu, seela zoori n be ga maa.
GEN.31.24	Dindaari yiiŋu, Naawunni nyisi o maŋŋa wusi Leban, a yi zaasim niŋi, ka yeli u, “Dasi, ka da pa togsi yatogidagu zaa ŋmeŋsi u.” 
GEN.31.25	Yakubu daa sabini o gbana suga yi Giliyadi zoori puwa, nisaaniŋi gbagba maa n na Leban gba ni o yidima sabi ba gbana suga.
GEN.31.26	Niŋi n na, Leban boosi Yakubu, “Wula zu n na e yomsi ma, a mari m bipunsi zo maa ba n gbaa daaba yi toowa niŋi. 
GEN.31.27	Wula zu n na e sogi n zo, ka bi yeli ma? Ka e di kali ma ni, m di n naa binŋmeera ŋme, a yiimi n beeli i soori. 
GEN.31.28	E mi bi lee n ti ma mugisi m yaŋsi, ka kali ba ni ba madima, e wusi zolim ga. 
GEN.31.29	M mari daama, m di n ti ba namsi i, ama, soosila yiiŋu, e ba Naawunni la, yeli ma ni m dasi, ka da pa ti togsi yatogibee zaa ti i. 
GEN.31.30	M baŋiya maa e zoni, e ba yiri weebu yela n moog e nufu, ka wula n na e zu m yiri buga?”
GEN.31.31	Yakubu yeli Leban n ŋa, “M daa zora i ni dabeem, ka fe maa, ka m yeli i, e ni fa e bipunsi. 
GEN.31.32	Ka e nye e buga ŋa yi ti yindaana zaa saani, a daana bi daga o di nyevuri. Nyaasi m binaa zaa puwa, ka e yi nye bunso n niŋi e toori, e nyisima.” Yakubu mi daa n bi baŋŋi maa Rachel n zu o ba buga maa.
GEN.31.33	Leban kpe Yakubu gbana suga dii, a yuligi n kpabira o buga, a ni Liya ni ba bipogiba diisi zaa n na o kpe. A nyaaŋa, o kpe Rachel sugiri puwa.
GEN.31.34	Rachel mi daa n naani o ba buga maa niŋi o nyogima kogu gbinniŋi, ka zi a niŋi. Niŋi n na, Leban nyaasi gbana sugiri maa zaa puu nyem, o bi nye bunso zaa. 
GEN.31.35	Rachel yeli o ba Leban, “Jaande, da pa ti je suuri niŋi ma, a kpali ni bi nyisigi n za e yii zu, m pegirini.” Niŋi n na, Leban nyaasi seela zaa, ka bi nye o yiri buga maa.
GEN.31.36	Yakubu je suuri niŋi Leban, ka boosi u, “Yabee bo n na ma niŋi i, e kpali lala zu kari n pa m zu? 
GEN.31.37	Pimparaŋa, e n nyaasi m bini zaa puusi, bo n na e nye, ka o niŋi e toori? Bunso zaa e ni nye, ka o niŋi e toori, e naag u digili so zaa, a ni e niriba ba nye, ka nye so n mari yamonsi.
GEN.31.38	“M nini ni ba niŋi, yuma pisiyi ŋa zaa, m na bi ku e pedaa koo budaa zaa ŋobi, ka e penyaana ni bunyaana mi bi saasi n basi. 
GEN.31.39	Ka moo puu buŋkoowa yi gbaag e buu koo pee, mani n yi yo o samini. Buŋkoowa so zaa ba n daa n yi zu, yiiŋu koo wuntooŋu, e yi tini ma yo o samini. 
GEN.31.40	Jemanso wuluŋu ni waari n daa n kuura ma, ka ma daa n ki tee n gbisi. 
GEN.31.41	N ŋa beebu puu ma daa n be, a yi e saani yuma pisiyi. M tumi i yuma pii ni anaasi poin, ka nye e bipunsi bayi naa, yuma ayoobu n na ma lee n nyaasi e buŋkobiri, ka m gba mi nye m toori, a ni ŋama zaa, e cherigi m sanyoori bupii zu. 
GEN.31.42	Ka Naawunni, so m ba dima, Ibrahim ni Yisaaka ni daa n tumina la, di ka m saani, e di kari ma basi nuyoosi, ama, Naawunni nye m nam, a ni seema ni tumi i, ka yiiŋu la, o kpaasi e tubiri.”
GEN.31.43	Niŋi n na, Leban yeli Yakubu, “E pogiba ŋa niŋini m biisi, ka e biisi a gba mi niŋini m yaŋsi, buŋkobiri ŋa gba niŋini m bini, binseesi e nyaasira ŋa zaa niŋini m bini, ama pimparaŋa, wula ma lee n ya n niŋi m bipunsaa ni ba biisaa yela? 
GEN.31.44	A zu, m niŋini siri ta, m nini ti digili noori ti taaba, o niŋi toŋine ti sunsuuniŋi.”
GEN.31.45	Niŋi n na, Yakubu naa kugiri sabi, a duligi nisaaniŋi. 
GEN.31.46	O n niŋi n ŋa baasi, o yeli o nyaaŋa dima, ni ba laŋsi kuga pa taaba niŋi. Ba laŋsi a pa taaba niŋi, ka ba zi n begi kuga maa, a di.
GEN.31.47	Leban daa n digilini nisaaniŋi yuuri Jaga Sahaduta, ka Yakubu gba mi digili nisaaniŋi yuuri Galiidi. 
GEN.31.48	Niŋi n na, Leban yeli Yakubu, “Kuga ŋa n laŋsi n do ŋa n niŋi ti toŋine zinaa.” A zu n na ba daa n digili niŋi Galiidi la. 
GEN.31.49	Leban gba yeli, “Naawunni o nyaasira ti zaa jemanso ti n ya n barigi taaba ŋa.” A zu, o yuyindaana n daa n niŋi Mizipa.
GEN.31.50	Leban yeli, “Ka e si n namsira m biisaa, koo a naa poga paasi ba niŋi, halli ti n barigira taaba ŋa zaa, teesira maa Naawunni n nyaara ti.”
GEN.31.51	Ŋama nyaaŋa, Leban lee n yeli Yakubu, “Kuga ŋa ni laŋsi n do ŋa, a ni so m ni sabi a, n niŋi bunso n ba m nini sunsuuniŋi. 
GEN.31.52	Kuga ŋa n za n ti ti naŋgbandigiligu maa toŋinesi. M ki gali ŋama zaa nyaaŋa, a namsi i, e mi gba e da pa ta, a ti namsi ma. 
GEN.31.53	Ibrahim ni Naho Naawunni la ni di ti seriya.”
GEN.31.53	Niŋi n na, Yakubu za Naawunni so, o ba Yisaaka ni daa tumina la, yuuri niŋi, a pe maa o ni pa ba naŋgbandigiligu maa niŋi. 
GEN.31.54	O ku buŋkoowa nyisi sariga, a yi zoori maa zu, ka booli o dogiriba zaa ba ti di. Ba n ti di n baasi, ba do zoori maa puwa.
GEN.31.55	A n kaa bee, Leban nyisigi, a mugisi o yaŋsi, a ni o bipunsi la, ka nafa ba, ka pori n kuli o yiri.
GEN.32.1	Niŋi n na, Yakubu daa lee n naa soori wara, Naawunni malaakasi ti paag u. 
GEN.32.2	O n si n nye ba, o yeli, “Naawunni ziiziya n ŋa.” Ka digili niŋi yuuri Mahanayim. 
GEN.32.3	Niŋi n na, Yakubu tumi o tumusi, ba pa yii we o beeri Isawu saani, a yi Seya n ba Idom paaligu.
GEN.32.4	Yatogso o n naa ti tumusi maa ba wa ti ti o beeri la n niŋi, ni ba yeli u, ni o nachiima, Yakubu, so n daa n ba Leban saani yuu, ka bi chena yiri la n na. 
GEN.32.5	Ni o marini naagi, buŋsi, peeri, buusi, a ni gurunsi dabsi ni pogiba, ka o suusira i maa e zo u nimbaa.
GEN.32.6	Tumusi maa n pori n ta, n ŋa n na ba yeli Yakubu, “Ti wa ti yeli e beeri Isawu, o mari niriba kobsinaasi tuusira i.”
GEN.32.7	Niŋi n na, dabeem ni sufusaaŋu gbaa Yakubu, a zu, o barigi o niriba la ni buusi, peeri, naagi, a ni nyogimasi tulum buyaayi zu. 
GEN.32.8	A kpali bo, o feni maa, ka Isawu ti zabi n nyaŋŋi tulum buluŋko, seesi n che la ni sogi n zo.
GEN.32.9	Niŋi n na, Yakubu suusi Naawunni, “M yaadaba Ibrahim ni m ba Yisaaka Naawunni, m yidaana, nyini n daa n yeli ma, ni m pori n gaa m paaligu, m niriba saani, e ni ti bunso zaa chaŋŋi nene ti ma. 
GEN.32.10	Mani e guruŋu di bi daga e niŋi ma bunso ni nye ŋa, e kpabirisim ni e yamonsi n ka baasigu so e wusi a. M daa n duni Joodan mogiraa ni daŋkpalli ko, ama, zinni, m niriba ni m buŋkobiri ba tulum buyi zu. 
GEN.32.11	A zu, m suusira i ni e moligi ma yi m beeri Isawu nuusi niŋi. M zorini dabeem maa o chena o ti zabi m ni pogiba ni biisi toowa. 
GEN.32.12	Ama, nyini n daa n yeli ma, ni e n ti m loobi bindaana, ka ti m baligu saligi maa teeku puu tambisigu seesi di n ki tee n kaali.”
GEN.32.13	Yakubu daa doni niŋi kaa bee, ka nyisi binseesi o naa wa ti pi o beeri Isawu piini. 
GEN.32.14	O daa nyisini bunyaana kobsiyi, gbeesidima pisiyi, penyaana kobsiyi, a ni pedaasi pisiyi, 
GEN.32.15	nyogimanyaana pisita a ni a biisi, naginyaana pisinaasi a ni nagidaasi piiya, buŋnyaana pisiyi ni bindaasi piiya. 
GEN.32.16	O daa n nyisini buŋkobiri yiri zaa kpagira, ka yeli ba, “Ya pa ma yii wara, ka ti taaba lagima.”
GEN.32.17	Niŋi n na, o yeli o guruŋtumusi maa yipaara, “Ka m beeri Isawu tuusi ya soori, ka boosi i, ‘E yidaana n niŋi ŋani?’ koo ‘Ya n na e wara?’ koo ‘Ŋani buŋkobiri n ŋa?’, 
GEN.32.18	e yeli u, ‘A niŋini e nachiima Yakubu bini, o tumi ti, ni ti naa n ti ti i, ama o gba ba nyaaŋa chena.’”
GEN.32.19	Lala yatogiraa gbagba n na o naa n ti tumusi bayi daana maa gba, a ni bata daana maa, ni ba zaa ba yeli o beeri Isawu. 
GEN.32.20	Ya daŋŋi n yeli u, “E nachiima Yakubu ba nyaaŋa chena.” Yakubu daa feni maa, “Ka o naa n ŋa piini pa yii wa ti ti o beeri Isawu, o puu ni peligi, ka o deeg u nuusi ayi.” 
GEN.32.21	A zu, o ti ni piini ŋa pa yiya, ka ba do nisaaniŋi.
GEN.32.22	Dindaari maa yiiŋu, Yakubu mari o pogiba bayi ni o pogibilisi bayi, a ni ba biisi pii ni yinni, a loo n du Jabok mogiri. 
GEN.32.23	O n mari ba du mogiri maa baasi, o pori n ti mari o bunso zaa n che du. 
GEN.32.24	A nyaaŋa, o ko pori n ti ba o ziizii maa, dindaari yiiŋu maa. Dabso ti mari u moora, halli bee ti kaa.
GEN.32.25	Lala daba maa n nyaasi, ka o ki tee n nyaŋŋi Yakubu, o salli Yakubu kpiiligu, o kpiiligu maa furisi. 
GEN.32.26	Niŋi n na, daba maa yeli Yakubu, “Cheli m gaari, bee kaaya.” Yakubu yeli u, “M ki ti e gaa, ama e nafa ma ni.” 
GEN.32.27	Daba maa boosi u. “E yuuri?” “M yuuri n niŋi Yakubu.” 
GEN.32.28	Niŋi n na, daba maa yeli u, “Za zinaa wara, e yuuri bi lee n niŋi Yakubu, e yuuri n niŋi Izireel
GEN.32.29	Yakubu yeli u, “Wusi ma e yuuri.” “Bo zu n na e kpabira e baŋŋi m yuuri?” Ka nafa Yakubu. 
GEN.32.30	Niŋi n na, Yakubu yeli, “M nye Naawunni nufu niŋi, ka ma na mari nyevuri.” A zu, Yakubu digili niŋi yuuri Peniyel.
GEN.32.31	Wuluŋu daa n pusini poin, ka Yakubu yi Peniyel, ka kpagsira o kpiiligu la niŋi. 
GEN.32.32	Halli a ti yinni zinni, n ŋa zu n na Izireel dima bi dira buŋkoo gberi tomu ziya, a kpali Naawunni ni daa n salli Yakubu kpiiligu la zu.
GEN.33.1	Yakubu daa n nyaasi, ka nye Isawu ni o niriba kobsinaasi n chena, a zu, o barigi o biisi la ti Liya, Rachel a ni ba bipogiba bayi la. 
GEN.33.2	O ti bipogiba bayi la ni ba biisi pa yiya, Liya ni o biisi pa, ka Rachel ni Yisifu pa nyaaŋa. 
GEN.33.3	Ba n ti paagira o beeri, Yakubu gaa yii wa ti gba u tiŋŋa buyapoin.
GEN.33.4	Isawu chee n ti ŋaami u tabi o puwa, a naag o kpuŋkpama vili o nuŋgori, ka mugisi u, ka ba zaa kumina. 
GEN.33.5	Niŋi n na, Isawu nye pogiba ni biisi la, ka boosi u, “Ya saani dima n ŋa?” Yakubu yeli u, “Biseesi Naawunni n zo e nachiima nimbaa, ka ti u n na la.”
GEN.33.6	Bipogiba la ni ba biisi ti gba tiŋŋa. 
GEN.33.7	Seesi n lee n pa, Liya ni o biisi ti gba tiŋŋa. A baasigu, Yisifu ni Rachel gba ti gba tiŋŋa. 
GEN.33.8	Isawu boosi u, “Ka buŋkobseesi ni tuusi la mini, bo n na a mi wusi?” Yakubu yeli u, “M yidaana, e piini n na, m nye seema ti mabiilim di n gbaa taaba.”
GEN.33.9	Isawu yeli u, “M sunzo, m sali n mari buŋgbaliŋu, mari e bini.” 
GEN.33.10	Yakubu suusi u, “Jaande, ka a yi peligi e sufu maa ni za e saana, dee piini so ni ma n ti ti i ŋa. Seema ni si n za e saani a, a niŋini maa ni za Naawunni saani. 
GEN.33.11	Jaande, dee binseesi ni ma n ti ti i ŋa. Naawunni zo ma ni nimbaa, ka ti ma bunso zaa ni kpabira.” A kpali Yakubu n suusi Isawu zu, o deeg a.
GEN.33.12	Isawu yeli u, “Niŋi siriya ti gaari, m ni pa i yiya.” 
GEN.33.13	Ama Yakubu yeli u, “M yidaana, e baŋiya maa biisaa na ka kpeeŋu, ka a daga maa m dasi penyaana ni naginyaana seesi n na mari bibaala la niŋi. Ka ti si n kari a kpeeŋtiri dindaluŋko lala, buŋkobiri maa zaa ni kpi. 
GEN.33.14	A zu, m yidaana, paara e nachiima yiya, ka m mari buŋkobiri la ni biisi maa chaŋina boinboin, a ti paag i yi Idom paaligu.”
GEN.33.15	Isawu yeli u, “M ni ti e ni m niribaa seesi ya chena.” Yakubu yeli u, “Da niŋi lala. O bi tiri n ti, m si n kpabira ni m nye seema e sufu n peligi m niŋi.” 
GEN.33.16	A dindaari zaa n na, Isawu daa n pori n gaa Idom. 
GEN.33.17	Yakubu gaa Sukoti me dii, ka maali o buŋkobiri beebu ziisi. A zu n na ba boona nisaaniŋi Sukoti la.
GEN.33.18	Yakubu n yi Mesopoteemiya paaligu la, o paa Sekem n niŋi Keenan dima tiŋŋa, a ni alaanfiya, ka sabi o gbana suga, a zi nisaaniŋi, a leeli tiŋŋa maa. 
GEN.33.19	Yakubu dani tiŋgbaŋŋu maa yi Hamo, so n niŋi Sekem ba, biisi saani. Gbitisi koowa n na o da u.
GEN.33.20	Nisaaniŋi n na Yakubu me Naawunni sariga daaŋu, ka digili u El-Elohe Izireel.
GEN.34.1	Dindaso n na, Dayina, so n niŋi Yakubu ni Liya bipuŋŋu la, yi n gaa o taaba pogiba saani yi tiŋŋa maa puwa. 
GEN.34.2	Niŋi n na, Sekem, Hamo so n niŋi Hivati nira, ka niŋi paaligu maa naaba biduwa, nye Dayina, ka gbaag u wa ti bibi u kpabi. 
GEN.34.3	Ama, o n nye bipuŋŋu maa, o yela peri u ga, o togsi u kpabirisim yela, a kpabira maa o loobi o poga. 
GEN.34.4	Sekem yeli o ba Hamo, “Naa bipuŋŋaa ti ma, o niŋi m poga.”
GEN.34.5	Yakubu n wumi maa ba saami o bii Dayina la, ka o biduusi na mari o buŋkobiri ba moopuwa, o na muuri yelli maa, a ti paa jemanso ba n ta yiri. 
GEN.34.6	Niŋi n na, Sekem ba Hamo wa ti togsi Yakubu saani. 
GEN.34.7	Yakubu biduusi n yi moo puu ta, ba wumi yaso n niŋi maa, sufusaaŋu ni suuri gbaa ba ga, seema Sekem n niŋi n ŋa ŋaaba yelli, a yi Yakubu biisi puwa, a kpabi Yakubu biya, yaso n di n bi daga o niŋi.
GEN.34.8	Hamo yeli Yakubu, “M bii Sekem kpabira e bipuŋŋaa ga. Jaande, naag u ti u, o niŋi o poga. 
GEN.34.9	Ti naagira taaba, ya ti ti naagira ya bipunsi, ka ya gba ya naagira ti bipunsi. 
