GEN.1.1	Na počátku Bůh stvořil nebe a zemi. 
GEN.9.26	„Požehnán buď Hospodin, Bůh Semův, 
GEN.9.26	jemuž bude Kanaán otročit! 
GEN.9.27	Kéž Bůh rozšíří Jáfeta, 
GEN.9.27	ať bydlí ve stanech Semových, 
GEN.9.27	jemuž bude Kanaán otročit!“ 
GEN.9.28	Po potopě žil Noe ještě 350 let. 
GEN.9.29	Noe žil celkem 950 let a potom zemřel. 
GEN.10.1	Toto jsou rody Noemových synů Sema, Chama a Jáfeta. Po potopě se jim narodili synové. 
GEN.10.2	Synové Jáfetovi jsou: Gomer, Magog, Madaj, Javan, Tubal, Mešek a Tiras. 
GEN.10.3	Synové Gomerovi: Aškenáz, Rifat a Togarma. 
GEN.10.4	Synové Javanovi: Eliša a Taršiš, Kitejští a Rodanští.
GEN.10.5	Z nich se rozdělily přímořské národy podle svých zemí, jazyků, rodů a národností. 
GEN.10.6	Synové Chamovi jsou: Habeš,
GEN.10.7	Synové Habeše: Seba, Chavíla, Sabta, Raema a Sabteka. 
GEN.10.7	Synové Raemovi: Šeba a Dedan. 
GEN.10.8	Habeš také zplodil Nimroda, jenž se stal prvním bojovníkem na zemi. 
GEN.10.9	Byl to před Hospodinem udatný lovec, a proto se říká: „Jako Nimrod, udatný lovec před Hospodinem.“ 
GEN.10.10	Hlavními městy v jeho království byly Bábel, Uruk, Akkad a Kalne v zemi Šineár.
GEN.10.11	Z té země pak šel do Asýrie, kde vystavěl Ninive, Rechobot-ír, Kelach 
GEN.10.12	a Resen, jež leží mezi Ninive a Kelachem, oním velikým městem. 
GEN.10.13	Egypt zplodil Ludské, Anamské, Lehabské, Naftuchské, 
GEN.10.14	Patruské, Kasluchské (z nichž pocházejí Filištíni) a Kaftorské. 
GEN.10.15	Kanaán zplodil Sidona, svého prvorozeného, dále Cheta, 
GEN.10.16	Jebusejce, Emorejce, Girgašejce, 
GEN.10.17	Hivejce, Arkejce, Sinejce, 
GEN.10.18	Arvadejce, Semarejce a Chamatejce. Kanaánské rody se později rozšířily, 
GEN.10.19	takže hranice Kanaánu vedly od Sidonu směrem přes Gerar až ke Gaze a směrem přes Sodomu, Gomoru, Admu a Cebojim až k Leše. 
GEN.10.20	To jsou synové Chamovi podle svých rodů, jazyků, zemí a národností. 
GEN.10.21	Semovi, otci všech Heberových synů, bratru staršího Jáfeta, se také rodili potomci. 
GEN.10.22	Semovi synové jsou: Elam, Ašur, Arpakšad, Lud a Aram. 
GEN.10.23	Synové Aramovi: Úc, Chul, Geter a Mešek.
GEN.10.24	Arpakšad zplodil Šelacha a Šelach zplodil Hebera. 
GEN.10.25	Heberovi se narodili dva synové: jeden se jmenoval Peleg, Rozdělení, neboť za jeho dnů byla země rozdělena, a jeho bratr se jmenoval Joktan. 
GEN.10.26	Joktan zplodil Almodada, Šelefa, Chasarmaveta, Jeracha, 
GEN.10.27	Hadorama, Uzala, Diklu, 
GEN.10.28	Obala, Abimaele, Šebu, 
GEN.10.29	Ofira, Chavílu a Jobaba; všichni tito jsou synové Joktanovi. 
GEN.10.30	Jejich bydliště se prostíralo od Mešy směrem k hoře Sefar na východě. 
GEN.10.31	To jsou synové Semovi podle svých rodů, jazyků, zemí a národností. 
GEN.10.32	To jsou rody Noemových synů podle svých pokolení a národností; z nich se po potopě rozdělily národy země. 
GEN.11.1	Celá země mluvila jednou řečí, jedněmi slovy. 
GEN.11.2	Když lidé putovali na východ, našli planinu v zemi Šineár
GEN.11.3	Tehdy si spolu řekli: „Pojďme, udělejme cihly a vypalme je v ohni.“ A tak měli cihly místo kamene a asfalt místo malty. 
GEN.11.4	Řekli si totiž: „Pojďme, postavme si město a věž, jejíž vrchol dosáhne až k nebi. Tak si uděláme jméno, abychom nebyli rozptýleni po celé zemi!“ 
GEN.11.5	Hospodin však sestoupil, aby spatřil to město a tu věž, kterou lidští synové stavěli. 
GEN.11.6	Hospodin si řekl: „Hle, lid je zajedno a všichni mají jednu řeč. A toto je jen začátek jejich díla. Nic jim už nezabrání vykonat, cokoli si předsevzali. 
GEN.11.7	Nuže, sestoupíme a zmateme tam jejich řeč, aby jeden nerozuměl řeči druhého.“ 
GEN.11.8	Hospodin je odtud rozptýlil po celé zemi, a tak to město přestali stavět. 
GEN.11.9	Proto se to město jmenuje Bábel, Zmatek, neboť tam Hospodin zmátl řeč všech obyvatel země. Hospodin je odtud rozptýlil po celé zemi. 
GEN.11.10	Toto je Semův rod. 
GEN.11.10	Dva roky po potopě zplodil Sem ve věku 100 let Arpakšada. 
GEN.11.11	Sem žil po zplození Arpakšada ještě 500 let a plodil syny a dcery. 
GEN.11.12	Arpakšad ve věku 35 let zplodil Šelacha. 
GEN.11.13	Po zplození Šelacha žil Arpakšad ještě 403 let a plodil syny a dcery. 
GEN.11.14	Šelach ve věku 30 let zplodil Hebera. 
GEN.11.15	Po zplození Hebera žil Šelach ještě 403 let a plodil syny a dcery. 
GEN.11.16	Heber ve věku 34 let zplodil Pelega. 
GEN.11.17	Po zplození Pelega žil Heber ještě 430 let a plodil syny a dcery. 
GEN.11.18	Peleg ve věku 30 let zplodil Reúa. 
GEN.11.19	Po zplození Reúa žil Peleg ještě 209 let a plodil syny a dcery. 
GEN.11.20	Reú ve věku 32 let zplodil Seruga. 
GEN.11.21	Po zplození Seruga žil Reú ještě 207 let a plodil syny a dcery. 
GEN.11.22	Serug ve věku 30 let zplodil Náchora. 
GEN.11.23	Po zplození Náchora žil Serug ještě 200 let a plodil syny a dcery. 
GEN.11.24	Náchor ve věku 29 let zplodil Teracha. 
GEN.11.25	Po zplození Teracha žil Náchor ještě 119 let a plodil syny a dcery. 
GEN.11.26	Terach ve věku 70 let zplodil Abrama, Náchora a Hárana. 
GEN.11.27	Toto je Terachův rod. 
GEN.11.27	Terach zplodil Abrama, Náchora a Hárana; Háran pak zplodil Lota. 
GEN.11.28	Háran však zemřel ve své vlasti, v chaldejském Uru, dříve než jeho otec Terach. 
GEN.11.29	Abram a Náchor se oženili. Abramova žena se jmenovala Saraj a Náchorova žena Milka, dcera Hárana, otce Milky a Jisky. 
GEN.11.30	Saraj však byla neplodná, neměla děti. 
GEN.11.31	Terach vzal svého syna Abrama, Háranova syna Lota a svou snachu Saraj, ženu svého syna Abrama, a vydali se spolu na cestu z chaldejského Uru do kanaánské země. Když však přišli do Cháranu, usadili se tam. 
GEN.11.32	Terach žil 205 let a zemřel v Cháranu. 
GEN.12.1	Hospodin Bůh řekl Abramovi: „Odejdi ze své země, ze svého příbuzenstva a ze svého otcovského domu do země, kterou ti ukážu. 
GEN.12.2	Učiním z tebe veliký národ 
GEN.12.2	a požehnám ti. 
GEN.12.2	Zjednám ti veliké jméno 
GEN.12.2	a budeš požehnáním. 
GEN.12.3	Požehnám těm, kdo ti žehnají, 
GEN.12.3	a toho, kdo ti zlořečí, prokleji. 
GEN.12.3	Všechny rodiny země 
GEN.12.3	dojdou požehnání v tobě.“ 
GEN.12.4	Abram tedy šel, jak mu řekl Hospodin, a šel s ním i Lot. Když odešel z Cháranu, bylo Abramovi sedmdesát pět let. 
GEN.12.5	Abram s sebou vzal svou ženu Saraj, svého synovce Lota a všechen majetek, jehož nabyli, i čeleď, kterou získali v Cháranu. Vydali se na cestu do kanaánské země a přišli do ní. 
GEN.12.6	Abram procházel tou zemí až k místu zvanému Šechem, až k dubu More. (V zemi tenkrát žili Kananejci.) 
GEN.12.7	Tehdy se Abramovi ukázal Hospodin a řekl: „Tuto zem dám tvému semeni.“ Abram tam proto postavil oltář Hospodinu, jenž se mu ukázal. 
GEN.12.8	Odtud se přesunul k horám na východ od Bet-elu. Vztyčil svůj stan mezi Bet-elem na západě a Ajem na východě, postavil tam oltář Hospodinu a vzýval Hospodinovo jméno. 
GEN.12.9	Potom Abram pokračoval v cestě a putoval na jih, k Negevu. 
GEN.12.10	V zemi pak nastal hlad, a tak se Abram vydal dolů do Egypta. Chtěl tam nějakou dobu pobýt, neboť v zemi panoval krutý hlad. 
GEN.12.11	Cestou, když se blížil k Egyptu, řekl své ženě Saraj: „Pohleď, vím, jak překrásná jsi žena. 
GEN.12.12	Až tě Egypťané uvidí, řeknou: ‚To je jeho žena!‘ a zabijí mě, ale tebe nechají naživu. 
GEN.12.13	Říkej prosím, že jsi má sestra, aby se mi díky tobě vedlo dobře a abych díky tobě zůstal naživu.“ 
GEN.12.14	Abram tedy přišel do Egypta a Egypťané viděli, jak je ta žena velmi krásná. 
GEN.12.15	A když ji uviděli faraonovi hodnostáři, vychválili ji před faraonem tak, že byla vzata do faraonova domu. 
GEN.12.16	Abramovi se díky ní vedlo velmi dobře – měl brav, skot i osly, otroky, otrokyně, oslice a velbloudy. 
GEN.12.17	Hospodin však kvůli Abramově manželce Saraj bil faraona a jeho dům velikými ranami. 
GEN.12.18	Farao si proto Abrama zavolal. „Cos mi to udělal?“ řekl mu. „Proč jsi mi zatajil, že je to tvá manželka? 
GEN.12.19	Proč jsi říkal: ‚Je to má sestra‘? Vždyť jsem si ji vzal za ženu! Zde máš svou manželku, vezmi si ji a jdi!“ 
GEN.12.20	Farao pak o něm svým mužům přikázal, aby ho vyhostili i s manželkou a se vším, co měl. 
GEN.13.1	Abram tedy se svou manželkou a se vším, co měl, i s Lotem odešel z Egypta vzhůru do Negevu. 
GEN.13.2	(Abram byl velmi bohatý ve stádech, ve stříbře i ve zlatě.) 
GEN.13.3	A šel po svých starých cestách od Negevu až k Bet-elu, k místu, kde zpočátku stával jeho stan mezi Bet-elem a Ajem, 
GEN.13.4	k místu oltáře, který tam předtím postavil. Tam Abram vzýval Hospodinovo jméno. 
GEN.13.5	Také Lot, který šel s Abramem, měl brav, skot a stany. 
GEN.13.6	Země jim však nemohla stačit, aby bydleli spolu. Jejich jmění bylo totiž tak rozsáhlé, že nemohli bydlet pohromadě. 
GEN.13.7	Proto došlo mezi pastýři Abramova stáda a pastýři Lotova stáda k rozepři. (V zemi tenkrát bydleli Kananejci a Perizejci.) 
GEN.13.8	Abram tehdy Lotovi řekl: „Prosím, ať mezi mnou a tebou a mezi mými a tvými pastýři není rozepře – jsme přece bratři. 
GEN.13.9	Neleží snad před tebou celá země? Odděl se ode mě, prosím. Půjdeš-li vlevo, já půjdu vpravo; půjdeš-li vpravo, půjdu vlevo.“ 
GEN.13.10	Lot pozvedl oči a viděl, že celá jordánská rovina je až k Coaru bohatě zavlažována jako Hospodinova zahrada, jako egyptská země (- bylo to předtím, než Hospodin zničil Sodomu a Gomoru). 
GEN.13.11	Lot si tedy vybral celou jordánskou rovinu a vydal se na východ. Tak se jeden od druhého oddělili. 
GEN.13.12	Abram bydlel v kanaánské zemi, ale Lot bydlel ve městech jordánské roviny a postavil své stany až k Sodomě. 
GEN.13.13	Sodomští lidé však byli zlí a velmi hřešili proti Hospodinu. 
GEN.13.14	Poté, co se od něho Lot oddělil, řekl Hospodin Abramovi: „Pozvedni oči z místa, na němž jsi, a rozhlédni se na sever, na jih, na východ i na západ. 
GEN.13.15	Všechnu zemi, kterou vidíš, dám tobě a tvému semeni až navěky. 
GEN.13.16	Způsobím, že tvého semene bude jako prachu země: bude-li možné sečíst zemský prach, půjde sečíst i tvé símě. 
GEN.13.17	Vstaň, projdi tu zemi nadél i našíř, neboť tobě ji dám.“ 
GEN.13.18	Abram tedy přesunul svůj stan a usadil se u háje Mamre, který je v Hebronu, a postavil tam oltář Hospodinu. 
GEN.14.1	V oněch dnech šineárský král Amrafel, elasarský král Arioch, elamský král Kedor-laomer a král národů Tidal 
GEN.14.2	válčili proti Berovi, králi Sodomy, Biršovi, králi Gomory, Šineábovi, králi Admy, Šemeberovi, králi Cebojim, a proti králi Bely (to jest Coaru). 
GEN.14.3	Ti se spolčili v údolí Sidim (což je teď Mrtvé moře). 
GEN.14.4	Dvanáct let sloužili Kedor-laomerovi, ale třináctého roku se vzbouřili. 
GEN.14.5	Čtrnáctého roku tedy Kedor-laomer přitáhl s králi, kteří byli s ním, a pobili Refajce v Ašterot-karnajim, Zuzejce v Hamu, Emejce na pláni Kiriatajim 
GEN.14.6	a Chorejce na jejich pohoří Seír až k El-paranu, který je nad pouští. 
GEN.14.7	Potom obchvatem přitáhli k En-mišpatu (což je Kádeš) a udeřili na celý kraj Amalekovců a také na Emorejce bydlící v Chasason-tamaru. 
GEN.14.8	Králové Sodomy, Gomory, Admy, Cebojim a Bely (to jest Coaru) tedy vytáhli a seřadili se v údolí Sidim k bitvě proti nim: 
GEN.14.9	proti elamskému králi Kedor-laomerovi, králi národů Tidalovi, šineárskému králi Amrafelovi a elasarskému králi Ariochovi – čtyři králové proti pěti. 
GEN.14.10	Údolí Sidim je ovšem plné ložisek asfaltu. Sodomský a gomorský král do nich při útěku zapadli; ostatní utekli do hor. 
GEN.14.11	Vítězové pobrali všechen majetek Sodomy a Gomory i všechny jejich potraviny a odtáhli. 
GEN.14.12	Vzali také Abramova synovce Lota (neboť bydlel v Sodomě) i jeho majetek a odjeli. 
GEN.14.13	Jeden uprchlík přišel a vyprávěl to Hebreji Abramovi. Ten se mezitím usadil u háje Emorejce Mamreho, příbuzného Eškola a Anera, což byli Abramovi spojenci. 
GEN.14.14	Když Abram uslyšel, že jeho příbuzný byl zajat, vypravil 318 vycvičených služebníků, narozených v jeho domě, a sledoval ty krále až k Danu. 
GEN.14.15	Abram a jeho služebníci se rozdělili, v noci je přepadli a pronásledovali je až k Chobě (jež leží na sever od Damašku). 
GEN.14.16	A tak dobyl zpět všechen majetek. Přivedl i svého příbuzného Lota a jeho majetek a také ženy a lid. 
GEN.14.17	Když se pak vracel od porážky Kedor-laomera a králů, kteří byli s ním, vyšel mu král Sodomy naproti do údolí Šave (což je Královské údolí). 
GEN.14.18	Melchisedech, král Sálemu, který byl knězem Nejvyššího Boha, přinesl chléb a víno 
GEN.14.19	a požehnal mu těmito slovy: 
GEN.14.19	„Požehnán buď Abram od Nejvyššího Boha, 
GEN.14.19	Stvořitele nebe i země! 
GEN.14.20	Požehnán buď Nejvyšší Bůh, 
GEN.14.20	jenž ti tvé nepřátele vydal do rukou!“ 
GEN.14.20	Abram mu tehdy ze všeho dal desátek. 
GEN.14.21	Král Sodomy mu řekl: „Dej mi lidi. Majetek si nech.“ 
GEN.14.22	Abram mu ale odpověděl: „Přísahám před Hospodinem, Nejvyšším Bohem, Stvořitelem nebe i země, 
GEN.14.23	že ze všeho, co ti patří, si nevezmu nic – ani nitku, ani sandálový řemínek – abys neřekl: ‚Já jsem obohatil Abrama.‘ 
GEN.14.24	Nechám si jen to, co snědli služebníci, a podíl mužů, kteří šli se mnou. Aner, Eškol a Mamre si vezmou svůj podíl.“ 
GEN.15.1	Po nějaké době měl Abram vidění, ve kterém dostal Hospodinovo slovo: „Neboj se, Abrame, já jsem tvůj štít, tvá nesmírná odměna.“ 
GEN.15.2	Abram odpověděl: „Hospodine, Pane můj, co mi chceš dát? Chodím životem bezdětný a svůj dům zanechám Eliezerovi z Damašku. 
GEN.15.3	Pohleď, nedal jsi mi potomka,“ pokračoval Abram, „a tak mým dědicem bude můj čeledín!“ 
GEN.15.4	Vtom dostal Hospodinovo slovo: „Ten tvým dědicem nebude; tvůj dědic vyjde z tvých vlastních beder!“ 
GEN.15.5	Vyvedl jej ven a řekl: „Pohlédni k nebi a spočítej hvězdy, budeš-li je moci spočítat.“ Pak dodal: „Tolik bude tvého semene.“ 
GEN.15.6	Abram tehdy uvěřil Hospodinu a ten mu to počítal za spravedlnost. 
GEN.15.7	Řekl mu také: „Já jsem Hospodin, jenž tě vyvedl z chaldejského Uru, abych ti dal za dědictví tuto zem.“ 
GEN.15.8	Abram se zeptal: „Hospodine, Pane můj, podle čeho poznám, že ji zdědím?“ 
GEN.15.9	On mu odpověděl: „Přines mi tříletou jalovici, tříletou kozu, tříletého berana, také hrdličku a holoubě.“ 
GEN.15.10	Abram mu všechna ta zvířata přinesl, rozťal je napůl a položil jednu část proti druhé; ptáky však neroztínal. 
GEN.15.11	K mrtvým tělům se snášeli dravci, ale Abram je odháněl. 
GEN.15.12	Když pak slunce začalo zapadat, přišel na Abrama hluboký spánek. Náhle jej sevřela hluboká, děsivá tma. 
GEN.15.13	Tehdy Hospodin Abramovi řekl: „Buď si jist, že tví potomci budou přistěhovalci v zemi, jež nebude jejich; tam budou zotročeni a utiskováni po čtyři sta let. 
GEN.15.14	Já však také budu soudit národ, jemuž budou otročit, a tak odtud potom vyjdou s velikým jměním. 
GEN.15.15	Ty sám se odebereš ke svým otcům v pokoji a budeš pohřben ve šťastném stáří. 
GEN.15.16	Sem se ale vrátí až čtvrté pokolení, neboť nepravost Emorejců ještě není dovršena.“ 
GEN.15.17	Když slunce zapadlo a nastala tma, objevila se kouřící pec a mezi těmi díly zvířat prošla ohnivá pochodeň. 
GEN.15.18	V ten den Hospodin vstoupil s Abramem do smlouvy. Řekl: „Tuto zem dávám tvému semeni; od Egyptské řeky až po tu velikou řeku, řeku Eufrat: 
GEN.15.19	Kenijce, Kenizejce a Kadmonce, 
GEN.15.20	Chetejce, Perizejce, Refajce, 
GEN.15.21	Emorejce, Kananejce, Girgašejce a Jebusejce.“ 
GEN.16.1	Saraj, Abramova manželka, mu nerodila děti; měla však egyptskou otrokyni jménem Hagar. 
GEN.16.2	Proto Saraj Abramovi řekla: „Pohleď, Hospodin mi nedopřál, abych rodila. Spi tedy s mou otrokyní – snad získám syny skrze ni.“ A Abram ji poslechl. 
GEN.16.3	Deset let poté, co se Abram usadil v kanaánské zemi, vzala Abramova manželka Saraj svou otrokyni, Egypťanku Hagar, a dala ji svému muži Abramovi za ženu. 
GEN.16.4	Spal tedy s Hagar a ona počala. A když uviděla, že je těhotná, začala svou paní pohrdat. 
GEN.16.5	Saraj pak Abramovi řekla: „Za mé příkoří můžeš ty! Sama jsem ti dala svou otrokyni do náručí, ale když uviděla, že je těhotná, začala mnou pohrdat. Ať mě s tebou rozsoudí Hospodin!“ 
GEN.16.6	Abram Saraj odpověděl: „Pohleď, je to tvá otrokyně, je ve tvé moci. Udělej s ní, co chceš.“ Saraj ji tedy pokořovala, až od ní Hagar utekla. 
GEN.16.7	U pramene vody v poušti, u onoho pramene při cestě do Šuru, ji našel Hospodinův anděl. 
GEN.16.8	Řekl: „Hagar, Sarajina otrokyně, odkud jsi přišla? Kam jdeš?“ 
GEN.16.8	Odpověděla: „Utíkám od své paní Saraj.“ 
GEN.16.9	Hospodinův anděl jí řekl: „Vrať se ke své paní a pokoř se pod její ruku.“ 
GEN.16.10	Hospodinův anděl jí řekl: „Nesmírně rozmnožím tvé símě. Bude ho tolik, že nepůjde sečíst.“ 
GEN.16.11	Hospodinův anděl jí řekl: 
GEN.16.11	„Hle, jsi těhotná a porodíš syna. 
GEN.16.11	Dáš mu jméno Izmael, Bůh slyší, 
GEN.16.11	neboť Hospodin slyšel tvé trápení. 
GEN.16.12	Bude jak divoký hřebec: 
GEN.16.12	on proti všem, všichni proti němu; 
GEN.16.12	v neshodě se všemi bratry bude žít.“ 
GEN.16.13	Hospodina, jenž k ní promluvil, pak nazvala „Ty jsi Bůh, který mne vidí!“ Řekla totiž: „Právě zde jsem pohlédla k Tomu, který mne vidí.“ 
GEN.16.14	A tak ta studna dostala jméno „Beer-lachai-roi, Studnice Živého, který mne vidí.“ Jak známo, leží mezi Kádešem a Beredem. 
GEN.16.15	Hagar pak Abramovi porodila syna. Abram dal svému synovi narozenému z Hagar jméno Izmael, Bůh slyší. 
GEN.16.16	Když mu Hagar porodila Izmaele, bylo Abramovi osmdesát šest let. 
GEN.17.1	Když bylo Abramovi devadesát devět let, ukázal se mu Hospodin a řekl mu: „Já jsem Všemohoucí Bůh. Choď stále přede mnou a buď poctivý. 
