GEN.1.1	Na počátku
GEN.15.21	Emorejce, Kenaance, Girgašejce a Jebúsejce.
GEN.16.1	Sáraj, Abramova žena, mu nerodila. Měla však egyptskou otrokyni jménem Hagar. 
GEN.16.2	Sáraj řekla Abramovi: Hle, Hospodin mi zabránil rodit.
GEN.16.3	Abramova žena Sáraj tedy na konci desíti let Abramova pobývání v kenaanské zemi vzala svou otrokyni, Egypťanku Hagar, a dala ji svému muži Abramovi za ženu. 
GEN.16.4	Vešel k Hagar a 
GEN.16.5	Sáraj pak řekla Abramovi: Ty 
GEN.16.6	Abram Sáraji odpověděl: Vždyť tvá otrokyně 
GEN.16.7	Hospodinův anděl ji nalezl v pustině u vodního pramene, u pramene na cestě 
GEN.16.8	a řekl: Hagaro, otrokyně Sáraje, odkud jsi přišla a kam jdeš? Odpověděla: Utíkám od své paní Sáraje. 
GEN.16.9	Hospodinův anděl jí řekl: Navrať se ke své paní a pokoř se pod její ruku. 
GEN.16.10	A Hospodinův anděl jí řekl: Velice rozmnožím tvé potomstvo, takže pro množství nebude 
GEN.16.11	Dále jí Hospodinův anděl řekl: Hle, jsi těhotná a porodíš syna; dáš mu jméno Izmael,
GEN.16.12	Bude to člověk 
GEN.16.13	 dala Hospodinu, který k ní promluvil, jméno: Ty 
GEN.16.14	Proto se 
GEN.16.15	Pak Hagar porodila Abramovi syna a Abram svého syna, kterého porodila Hagar, pojmenoval Izmael. 
GEN.16.16	Abramovi bylo osmdesát šest let, když mu
GEN.17.1	Když bylo Abramovi devadesát devět let, ukázal se mu
GEN.17.2	Ustanovím svou smlouvu mezi sebou a tebou a převelice
GEN.17.3	Tu Abram padl na tvář a Bůh s ním 
GEN.17.4	Já 
GEN.17.5	Tvé jméno již nebude
GEN.17.6	Převelice tě rozplodím a učiním 
GEN.17.7	Ustanovím svou smlouvu mezi sebou a tebou a tvým potomstvem po tobě 
GEN.17.8	A tobě a tvému potomstvu po tobě dám zemi, kde jsi hostem,
GEN.17.9	A Bůh řekl Abrahamovi: A ty
GEN.17.10	Toto 
GEN.17.11	Obřežte si maso své předkožky a 
GEN.17.12	Po 
GEN.17.13	Musí být obřezán zrozený 
GEN.17.14	Neobřezaný mužského pohlaví, který nedá obřezat maso své předkožky, takový člověk bude ze svého lidu vyhlazen.
GEN.17.15	Potom Bůh řekl Abrahamovi: 
GEN.17.16	Požehnám ji a také z ní ti dám syna. Požehnám ji a budou 
GEN.17.17	Abraham padl na tvář a smál se. Řekl si v srdci: Cožpak se stoletému 
GEN.17.18	A
GEN.17.19	Ale Bůh odpověděl: Kdepak, tvá žena Sára ti porodí syna a dáš mu jméno Izák.
GEN.17.20	A ohledně Izmaela jsem tě vyslyšel. Hle, požehnám ho, rozplodím ho a převelice ho rozmnožím. Zplodí dvanáct knížat a učiním 
GEN.17.21	Ale svou smlouvu ustanovím s Izákem, kterého ti porodí Sára v příštím roce o tomto čase. 
GEN.17.22	Tu Bůh dokončil rozhovor s Abrahamem a vystoupil od něho.
GEN.17.23	Pak Abraham vzal svého syna Izmaela i všechny zrozené 
GEN.17.24	Abraham 
GEN.17.25	Jeho syn Izmael 
GEN.17.26	Právě tentýž den byl obřezán Abraham i jeho syn Izmael 
GEN.17.27	i všichni muži 
GEN.18.1	I ukázal se mu Hospodin u Mamreho dubů, když seděl 
GEN.18.2	Když pozvedl oči a rozhlédl se, hle, tři muži stáli proti němu. Když 
GEN.18.3	a řekl: Panovníku, jestliže jsem nyní nalezl ve tvých očích milost, nepomíjej prosím svého otroka. 
GEN.18.4	Nechám přinést trochu vody, abyste si mohli umýt nohy, a odpočiňte si
GEN.18.5	Vezmu trochu jídla, abyste se
GEN.18.6	Abraham pospíchal do stanu k Sáře a řekl: Rychle zadělej tři míry
GEN.18.7	A Abraham běžel k dobytku, vzal jemné a hezké tele a dal 
GEN.18.8	Potom vzal máslo, mléko a tele, které připravil, a předložil jim 
GEN.18.9	Zeptali se ho: Kdepak 
GEN.18.10	 řekl: Jistě se k tobě vrátím 
GEN.18.11	Abraham i Sára 
GEN.18.12	Sára se v nitru zasmála: Poté, co jsem zestárla, se mi dostane rozkoše!
GEN.18.13	Hospodin řekl Abrahamovi: Proč se to Sára smála a říkala si: Cožpak budu opravdu rodit, když jsem stará? 
GEN.18.14	Je snad 
GEN.18.15	Ale Sára 
GEN.18.16	Pak se odtamtud muži zvedli a pohlédli směrem k Sodomě.
GEN.18.17	A Hospodin řekl: Cožpak budu před Abrahamem tajit,
GEN.18.18	Abraham se jistě stane velikým a mocným národem a budou v něm požehnány všechny národy země. 
GEN.18.19	Neboť jsem se s ním sblížil, takže
GEN.18.20	I řekl Hospodin: Křik 
GEN.18.21	 musím sestoupit a podívat se, zdali jednají zcela podle toho křiku, který se ke mně donesl. A jestli ne, zjistím 
GEN.18.22	Muži se odtamtud obrátili a šli k Sodomě, ale Abraham ještě stál před Hospodinem.
GEN.18.23	Abraham přistoupil a řekl: Cožpak
GEN.18.24	Možná je uprostřed toho města
GEN.18.25	Ať je to od tebe vzdáleno, abys učinil takovou věc, že bys usmrtil spravedlivého s ničemou, takže by 
GEN.18.26	Hospodin odpověděl: Jestliže najdu v Sodomě uprostřed města padesát spravedlivých, odpustím kvůli nim celému tomu místu.
GEN.18.27	Abraham pokračoval
GEN.18.28	Možná, 
GEN.18.29	Ještě dále k němu mluvil slovy: Možná se 
GEN.18.30	Pak řekl: Ať se Panovník nerozzlobí,
GEN.18.31	Nato řekl: Hle, dovolím si mluvit k Panovníkovi. Možná se 
GEN.18.32	Potom řekl: Ať se Panovník nerozhněvá,
GEN.18.33	Když dokončil rozhovor s Abrahamem, Hospodin odešel; a Abraham se vrátil do svého domova.
GEN.19.1	Dva andělé přišli večer do Sodomy, když Lot seděl v sodomské bráně.
GEN.19.2	a řekl: Moji páni, zajděte prosím do domu svého otroka a přenocujte a umyjte si nohy. Časně ráno pak půjdete svou cestou. Odpověděli: Nikoli, jenom přenocujeme na náměstí.
GEN.19.3	Velmi je nutil, takže zašli k němu a vešli do jeho domu. Připravil jim jídlo, napekl nekvašené chleby a jedli.
GEN.19.4	Dříve nežli ulehli, muži města, muži Sodomy, mládenci i starci, všechen lid bez výjimky, obklíčili dům, 
GEN.19.5	pokřikovali na Lota a říkali mu: Kde 
GEN.19.6	Lot k nim vyšel ke vchodu, zavřel za sebou dveře 
GEN.19.7	a řekl: Prosím, moji bratři, nepáchejte 
GEN.19.8	Podívejte, mám dvě dcery, které nepoznaly muže, nyní vám je vyvedu a učiňte s nimi, co vám bude libo. Jenom nic nedělejte těmto mužům, vždyť proto vešli do stínu
GEN.19.9	Odpověděli: Kliď se!
GEN.19.10	Nato muži 
GEN.19.11	a muže 
GEN.19.12	Potom muži Lotovi řekli: Koho tu ještě máš? Zetě, syny a dcery i všechny, které máš ve městě, vyveď z tohoto místa! 
GEN.19.13	Neboť zničíme
GEN.19.14	Lot tedy vyšel a mluvil ke svým zeťům, kteří si 
GEN.19.15	Když vyšla jitřenka, andělé naléhali na Lota: Vstaň 
GEN.19.16	Když váhal, muži z Hospodinova soucitu s ním uchopili jeho ruku, ruku jeho ženy i ruku obou jeho dcer, vyvedli ho a zanechali ho venku za městem. 
GEN.19.17	A když je vyváděli pryč, 
GEN.19.18	Lot jim odpověděl: Prosím ne, Panovníku. 
GEN.19.19	Hle, nyní tvůj otrok nalezl milost ve tvých očích a veliké je tvé milosrdenství, které jsi mi prokázal, když jsi zachoval mou duši při životě. Ale já nebudu moci
GEN.19.20	Jen pohleď 
GEN.19.21	I řekl mu: Dobře, vyhovím ti
GEN.19.22	Rychle tam uteč do bezpečí, protože nemohu nic dělat, dokud tam nevejdeš. Proto se to město jmenuje Sóar.
GEN.19.23	Slunce 
GEN.19.24	A Hospodin seslal na Sodomu a na Gomoru
GEN.19.25	Tak vyvrátil tato města a celou tu rovinu, i všechny obyvatele těch měst, i 
GEN.19.26	Lotova
GEN.19.27	Abraham časně ráno spěchal k místu, kde stál před Hospodinem, 
GEN.19.28	a pohlédl na Sodomu a Gomoru a na celé území té roviny a spatřil, 
GEN.19.29	Stalo se však, když Bůh ničil města té roviny, že Bůh pamatoval na Abrahama a poslal Lota ze středu zkázy, když vyvracel města, v nichž Lot pobýval.
GEN.19.30	Lot vystoupil ze Sóaru a usadil se v horách a s ním jeho dvě dcery. Bál se totiž bydlet v Sóaru. Usadil se tedy v jeskyni, on i jeho dvě dcery. 
GEN.19.31	Tu prvorozená řekla té mladší: Náš otec je starý a v zemi není muž, aby k
GEN.19.32	Pojď, dáme otci napít vína a budeme s ním ležet,
GEN.19.33	Daly tedy otci té noci pít víno. Pak vešla prvorozená a ležela se svým otcem. Nepoznal,
GEN.19.34	Příští den prvorozená řekla té mladší: Hle, včera jsem ležela s otcem. Dáme mu pít víno také tuto noc a vejdi 
GEN.19.35	Také oné noci daly otci pít víno a ta mladší přišla
GEN.19.36	Tak obě Lotovy dcery otěhotněly se
GEN.19.37	Prvorozená porodila syna a pojmenovala ho Moáb.
GEN.19.38	A ta mladší, ta také porodila syna a pojmenovala ho Benamí.
GEN.20.1	Abraham odtamtud odtáhl do území Negebu
GEN.20.2	řekl Abraham o své manželce Sáře: Je 
GEN.20.3	K Abímelekovi přišel v noci ve snu
GEN.20.4	Ale Abímelek se k ní nepřiblížil a řekl: Panovníku,
GEN.20.5	Což mi on neřekl: Je 
GEN.20.6	A Bůh mu ve snu odpověděl: Já jsem také věděl, žes to udělal s bezúhonným srdcem, a já sám jsem tě zadržel, abys proti mně nezhřešil. Proto jsem tě nenechal se jí dotknout. 
GEN.20.7	A teď navrať ženu toho muže, neboť je 
GEN.20.8	Abímelek časně ráno vstal, svolal všechny své otroky a pověděl jim
GEN.20.9	Abímelek zavolal Abrahama a řekl mu: Cos nám 
GEN.20.10	Abímelek se ještě Abrahama zeptal: Co jsi sledoval
GEN.20.11	Abraham odpověděl: Řekl jsem si, že na tomto místě jistě není bázeň 
GEN.20.12	Opravdu 
GEN.20.13	Ale když mne Bůh vyvedl
GEN.20.14	Abímelek vzal tedy brav a skot, otroky a otrokyně a dal 
GEN.20.15	Pak Abímelek řekl: Hle, má země 
GEN.20.16	Sáře pak řekl: Hle, dal jsem tvému bratrovi
GEN.20.17	A Abraham se modlil k Bohu a Bůh uzdravil Abímeleka, jeho ženu i jeho otrokyně, a 
GEN.20.18	Hospodin totiž zcela uzavřel každé lůno
GEN.21.1	Hospodin navštívil
GEN.21.2	Sára otěhotněla a porodila Abrahamovi v jeho stáří syna v určeném čase, o kterém s ním mluvil Bůh. 
GEN.21.3	Abraham dal svému synu, který se mu narodil, kterého mu Sára porodila,
GEN.21.4	Když bylo Izákovi osm dní, Abraham svého syna obřezal, tak jak mu Bůh přikázal. 
GEN.21.5	Abrahamovi bylo sto let, když se mu narodil syn Izák. 
GEN.21.6	Sára řekla: Bůh mi způsobil smích. Každý, kdo 
GEN.21.7	Ještě řekla: Kdo 
GEN.21.8	Dítě rostlo a bylo odstaveno. V den Izákova odstavení udělal Abraham velkou hostinu.
GEN.21.9	Když Sára viděla, 
GEN.21.10	řekla Abrahamovi: Vyžeň tuto otrokyni i jejího syna, neboť syn této otrokyně nebude dědicem 
GEN.21.11	Abraham byl z toho velmi skleslý:
GEN.21.12	Bůh však Abrahamovi řekl: Nebuď skleslý kvůli chlapci a své otrokyni. Poslechni Sáru 
GEN.21.13	Syna otrokyně také učiním národem, protože je tvým potomkem. 
GEN.21.14	Abraham vstal časně ráno, vzal chléb a měch vody a dal 
GEN.21.15	Když voda v měchu došla, odložila
GEN.21.16	Odešla a posadila se naproti opodál na dostřel luku, neboť si řekla: Nebudu se dívat na smrt toho dítěte.
GEN.21.17	Bůh uslyšel
GEN.21.18	Vstaň, zvedni chlapce a pevně ho drž 
GEN.21.19	Tu jí Bůh otevřel oči a uviděla studnu 
GEN.21.20	Bůh byl s chlapcem, když vyrůstal. Usadil se v pustině a stal se velkým lukostřelcem. 
GEN.21.21	Bydlel v Páranské pustině a matka mu vybrala ženu z egyptské země.
GEN.21.22	V té době řekl Abímelek a Píkol,
GEN.21.23	Nyní mi tu přísahej při Bohu, že si budeš počínat věrně
GEN.21.24	A Abraham řekl: Ano, přísahám.
GEN.21.25	Abraham však Abímeleka pokáral ohledně studny 
GEN.21.26	Abímelek odpověděl: Nevím, kdo tu věc udělal. Ani ty jsi mi 
GEN.21.27	Abraham tedy vzal brav a skot, dal 
GEN.21.28	Abraham postavil sedm oveček ze stáda zvlášť. 
GEN.21.29	Abímelek se Abrahama zeptal: Co s těmi sedmi ovečkami, které jsi postavil zvlášť? 
GEN.21.30	 odpověděl: Těch sedm oveček si ode mne vezmi, aby mi byly na svědectví, že tuto studnu jsem vyhloubil 
GEN.21.31	Proto nazval
GEN.21.32	Tak uzavřeli smlouvu v Beeršebě. Abímelek s velitelem své armády Píkolem vstali a navrátili se do pelištejské země. 
GEN.21.33	 pak vysadil v Beeršebě tamaryšek a vzýval tam jméno Hospodina, Boha věčného.
GEN.21.34	Abraham pobýval v pelištejské zemi jako cizinec 
GEN.22.1	Po těch událostech se stalo, že Bůh Abrahama zkoušel. Řekl mu: Abrahame! 
GEN.22.2	 řekl: Nuže, vezmi svého syna, svého jediného, jehož miluješ, Izáka, a jdi do země Mórija. Tam ho obětuj jako zápalnou oběť na jedné z hor, 
GEN.22.3	Abraham vstal časně ráno, osedlal osla, vzal s sebou dva své služebníky a svého syna Izáka, naštípal dříví 
GEN.22.4	Třetího
GEN.22.5	a
GEN.22.6	Potom vzal Abraham dříví 
GEN.22.7	Tu Izák řekl svému otci Abrahamovi: Otče?
GEN.22.8	Abraham odpověděl: Bůh si opatří beránka
GEN.22.9	Když přišli na místo, 
GEN.22.10	Pak
GEN.22.11	Vtom na něho zavolal Hospodinův anděl z nebes: Abrahame, Abrahame! Odpověděl: Tady jsem. 
GEN.22.12	I řekl: Nevztahuj ruku na chlapce a nic mu nedělej, protože teď jsem poznal, že jsi bohabojný a 
GEN.22.13	Abraham pozvedl oči a uviděl, že se jeden
GEN.22.14	A Abraham pojmenoval ono místo: Hospodin opatří.
GEN.22.15	Hospodinův anděl zavolal z nebes na Abrahama podruhé 
GEN.22.16	a řekl: Při sobě jsem přísahal, 
GEN.22.17	proto tě jistě požehnám a tvé símě velice rozmnožím jako nebeské hvězdy a jako písek na mořském břehu. Tvé símě zdědí bránu
GEN.22.18	Ve tvém semeni si budou žehnat všechny národy
GEN.22.19	Pak se Abraham navrátil ke svým služebníkům a vydali se společně do Beeršeby. A Abraham bydlel v Beeršebě.
GEN.22.20	Po těchto událostech bylo Abrahamovi oznámeno: Hle, také Milka porodila tvému bratru Náchorovi syny: 
GEN.22.21	Prvorozeného Úsa, jeho bratra Búza a Kemúela, otce Aramova,
GEN.22.22	Keseda, Chazóa, Pildáše, Jidláfa a Betúela. 
GEN.22.23	Betúel pak zplodil Rebeku. Těchto osm porodila Milka Abrahamovu bratru Náchorovi.
GEN.22.24	A jeho konkubína jménem Reúma také porodila: Tabecha, Gachama, Tachaše a Maaku.
GEN.23.1	Sára byla živa
GEN.23.2	Sára zemřela v Kirjatarbě, 
GEN.23.3	Pak
GEN.23.4	Jsem u vás cizinec a příchozí. Prodejte
GEN.23.5	Chetejci
GEN.23.6	Slyš nás, pane: Jsi uprostřed nás kníže Boží!
GEN.23.7	Tu Abraham vstal a poklonil se lidu té země, Chetejcům,
GEN.23.8	a promluvil k nim: Jestliže 
GEN.23.9	aby mi prodal svou jeskyni 
GEN.23.10	(Efrón však seděl mezi Chetejci.)
GEN.23.11	Nikoli, pane, vyslechni mne. Prodám
GEN.23.12	Abraham se poklonil před lidem té země 
GEN.23.13	a promluvil k Efrónovi před
GEN.23.14	Efrón Abrahamovi odpověděl: 
GEN.23.15	Vyslechni mě, pane. Pozemek 
GEN.23.16	Abraham Efróna uposlechl a odvážil mu cenu,
GEN.23.17	Tak Efrónovo pole v Makpele proti
GEN.23.18	do Abrahamova majetku před zraky Chetejců,
GEN.23.19	Potom Abraham svou ženu Sáru pohřbil v jeskyni 
GEN.23.20	Tak připadlo to pole s jeskyní na něm od Chetejců
GEN.24.1	Abraham byl 
GEN.24.2	I řekl Abraham svému otroku, nejstaršímu
GEN.24.3	Zapřísahám tě při Hospodinu, Bohu nebes i Bohu země, že nevybereš ženu pro mého syna z dcer Kenaanců, uprostřed nichž bydlím, 
GEN.24.4	ale půjdeš do mé 
GEN.24.5	Ten otrok mu řekl: Možná mne ta žena nebude chtít
GEN.24.6	Abraham mu řekl: Měj se na pozoru, abys tam mého syna nepřivedl nazpět! 
GEN.24.7	Hospodin, Bůh nebes, který mne vzal z domu mého otce a z mé rodné země
GEN.24.8	A kdyby tě ta žena nechtěla následovat, budeš této mé přísahy zproštěn. Jenom tam mého syna nevoď zpátky.
GEN.24.9	Ten otrok tedy vložil ruku pod bedra svého pána Abrahama a tu věc mu odpřisáhl.
GEN.24.10	Pak ten otrok vzal z velbloudů svého pána deset kusů
GEN.24.11	Navečer, v době, kdy 
GEN.24.12	a řekl: Hospodine, Bože mého pána Abrahama, způsob
GEN.24.13	Stojím zde u pramene vody a dcery mužů toho města vycházejí čerpat vodu. 
GEN.24.14	Ať dívka, jíž řeknu: Nakloň prosím džbán, abych se napil, a 
GEN.24.15	Ještě
GEN.24.16	Ta dívka 
GEN.24.17	Otrok jí vyběhl naproti a řekl: Dej mi prosím napít trochu vody ze džbánu. 
GEN.24.18	Odpověděla: Napij se, můj pane. A rychle sundala džbán na ruku a dala mu napít.
GEN.24.19	Když se napil,
GEN.24.20	A rychle vylila džbán do žlabu a běhala 
GEN.24.21	Muž na ni mlčky pozorně hleděl, aby poznal, zda Hospodin dopřeje jeho cestě úspěch, či nikoli. 
GEN.24.22	Když přestali velbloudi pít, vzal muž zlatý 
GEN.24.23	a zeptal se: Čí jsi dcera? Pověz mi prosím, jeli 
GEN.24.24	Odpověděla mu: Jsem dcera Betúela, syna Milky, kterého porodila Náchorovi. 
GEN.24.25	A pokračovala: Slámy i krmiva 
GEN.24.26	Muž poklekl, klaněl se Hospodinu 
GEN.24.27	a řekl: Požehnán buď Hospodin, Bůh mého pána Abrahama, který od mého pána neodňal své milosrdenství a věrnost.
GEN.24.28	A dívka běžela a oznámila tyto věci v domě své matky. 
GEN.24.29	Rebeka měla bratra jménem Lában. Lában běžel ven k prameni za tím mužem. 
GEN.24.30	Když totiž viděl 
GEN.24.31	Řekl 
GEN.24.32	Muž vešel do domu a odstrojil velbloudy. Pak dal 
GEN.24.33	Když před něj prostřeli,
GEN.24.34	Řekl tedy: Jsem Abrahamův otrok. 
GEN.24.35	Hospodin mému pánu velmi požehnal, takže je bohatý.
GEN.24.36	Žena mého pána Sára porodila mému pánu ve
GEN.24.37	Můj pán mne zapřisáhl slovy: Nevybereš ženu pro mého syna z dcer Kenaanců, v jejichž zemi bydlím, 
GEN.24.38	nýbrž půjdeš do domu mého otce, k mé rodině a 
GEN.24.39	Řekl jsem svému pánu: Možná mne ta žena nebude následovat. 
GEN.24.40	Odpověděl mi: Hospodin, před nímž chodím, pošle s tebou svého anděla a dopřeje tvé cestě úspěch. A 
GEN.24.41	 tehdy budeš zproštěn mé přísahy, když přijdeš k mé rodině a jestliže ti 
GEN.24.42	Když jsem dnes přišel k tomu prameni, řekl jsem: Hospodine, Bože mého pána Abrahama, jestliže opravdu dopřáváš úspěch mé cestě, na které se nacházím, 
GEN.24.43	hle, stojím 
GEN.24.44	a 
GEN.24.45	Ještě jsem v srdci
GEN.24.46	Rychle sundala džbán a řekla: Napij se a také tvé velbloudy napojím. Napil jsem se a napojila i velbloudy. 
GEN.24.47	Zeptal jsem se jí: Čí jsi dcera? Odpověděla: Dcera Betúela, syna Náchorova, kterého mu porodila Milka. Pak jsem jí dal kroužek na nos a náramky na ruce. 
GEN.24.48	A poklekl jsem a klaněl jsem se Hospodinu. Dobrořečil jsem Hospodinu, Bohu mého pána Abrahama, že mě vedl po pravé cestě, abych přivedl dceru
GEN.24.49	A nyní mi oznamte, chceteli mému pánu prokázat milosrdenství a věrnost; jestli ne, oznamte mi 
GEN.24.50	Lában i Betúel odpověděli: Ta věc vyšla od Hospodina. Nemůžeme ti říct ani ano 
GEN.24.51	Hle, Rebeka 
GEN.24.52	Když Abrahamův otrok uslyšel jejich slova, poklonil se před Hospodinem 
GEN.24.53	Pak otrok vyňal stříbrné a zlaté předměty a šaty a dal 
GEN.24.54	A jedli a pili on i muži, kteří 
GEN.24.54	 Když ráno vstali, řekl: Propusťte mne k mému pánu. 
GEN.24.55	Její bratr a matka však odpověděli: Ať s námi děvče zůstane 
GEN.24.56	Ale 
GEN.24.57	Řekli: Zavoláme dívku a zeptáme se jí.
GEN.24.58	Zavolali tedy Rebeku a zeptali se jí: Půjdeš s tímto mužem? Odpověděla: Půjdu. 
GEN.24.59	Propustili tedy svou sestru Rebeku a její chůvu, i Abrahamova otroka a jeho muže. 
GEN.24.60	Požehnali
GEN.24.61	Pak Rebeka i její služky
GEN.24.62	Izák přišel z
GEN.24.63	Když se schylovalo 
GEN.24.64	I Rebeka pozvedla oči a uviděla Izáka. Seskočila z velblouda 
GEN.24.65	a zeptala se otroka: Kdo 
