GEN.1.1	A kipatcilin Pasian in van le lei piangsak hi. 
GEN.9.28	 Tuiciin tun nung, Noah kum 350 nungta lai hi. 
GEN.9.29	 Noah a nuntak sung khempeuh kum 950 hi a, tua khit ciangin a si hi.
GEN.10.1	Hih in tuiciin tun khita amau neih tapate Noah tapa Shem, Ham le Japheth-te khanggui sutna ahi hi.
GEN.10.2	 Japheth’ tapate: e
GEN.10.2	Gomer, Magog, Madai, Javan, Tubal, Meshech le Tiras.
GEN.10.3	 Gomer’ tapate:
GEN.10.3	Ashkenaz, Riphath le Togarmah.
GEN.10.4	 Javan’ tapate:
GEN.10.4	Elishah; Tarshish, Kittim le Rodanim. f
GEN.10.5	 (Hihte panin tuipi gei-a teng mite amau gamah kizelh a, amau kampau ciat zangin amau minam ah a beh zui-in om uh hi.)
GEN.10.6	 Ham’ tapate:
GEN.10.6	Cush, Mizraim, g
GEN.10.7	 Cush tapate:
GEN.10.7	Seba, Havilah, Sabtah, Raamah le Sabteca.
GEN.10.7	Raamah’ tapate:
GEN.10.7	Sheba le Dedan.
GEN.10.8	 Cush pen leitunga a thahat gal siam masa-a kigen Nimrod’ pa h
GEN.10.9	 Amah 
GEN.10.10	 A masa pen ama kumpi gam khuapite Shinar, i
GEN.10.11	 Tua gam panin amah in Nineveh, Rehoboth-Ir k
GEN.10.12	 le Nineveh le Calah kikal-a khuapi lian Resen-te a satna Assyria ah amah pai hi.
GEN.10.13	 Mizram pen Lud-te,
GEN.10.13	Anam-te, Lehab-te, Naphtuh-te, 
GEN.10.14	 Pathru-te, Casluh-te, (Philistia-te pianna pa) le Caphtor-te’ pa ahi hi.
GEN.10.15	 Canaan pen a ta masa l
GEN.10.15	Sidon le Hit-te 
GEN.10.16	 le Jebus-te, Amor-te, Girgash-te, 
GEN.10.17	 Hiv-te, Arki-te, Sin-te, 
GEN.10.18	 Arvad-te, Zamari-te le Hamath-te’ pa ahi hi.
GEN.10.18	Tua nung ciangin Canaan behte kithehthang uh a, 
GEN.10.19	 Canaan gamgi pen Sidon pan Gerar manawh in Gaza dong ban hi. Tua ciangin Sodom, Gomorrah, Admah le Zeboiim lam manawh a Lasha dong ban hi.
GEN.10.20	 Hihte pen amau minam gamgi huam sunga, amau beh le kampau a zang Ham suante ahi hi.
GEN.10.21	 Shem in tapate zong nei a, amau unau sungah a upa m
GEN.10.22	 Shem’ tapate:
GEN.10.22	Elam, Asshur, Arphaxad, Lud le Aram.
GEN.10.23	 Aram’ tapate:
GEN.10.23	Uz, Hul, Gether le Meshech a
GEN.10.24	 Shelah’ pa b
GEN.10.24	Eber’ pa Shelah ahi hi.
GEN.10.25	 Eber in tapa nih nei hi:
GEN.10.25	khat pen min Peleg c
GEN.10.26	 Joktan in
GEN.10.26	Almodad, Shelepth, Hazarmaveth, Jerah, 
GEN.10.27	 Hadoram, Uzal, Diklah, 
GEN.10.28	 Obal, Abimael, Sheba, 
GEN.10.29	 Ophir, Havilah le Jobab-te’ pa ahi hi. Hihte khempeuh Joktan tapate ahi hi.
GEN.10.30	 Amau tenna kual Mesha pan Sephar lamah kizalhin nisuahna lam mual tung dong ban hi.
GEN.10.31	 Hihte in amau minam gamgi huam sunga amau beh le kampau zang Shem’ tapate ahi hi.
GEN.10.32	 Hihte in Noah tapate beh a khangsimna uh tawh kizui-in amau minam ahi hi. Tuiciin tun khit nungin hihte panin leitungah minamte a kizel hi.
GEN.11.1	Tu-in leitung bupin kampau khat nei-in pautaang khat zang hi. 
GEN.11.2	 Mite nisuahna d
GEN.11.3	 Amaute in, "Hong pai un lei sekin limtakin i hal ding hi," kici uh hi. Amaute in suangtum tangin leisek zang uh a, leikang dingin kultar a zang uh hi. 
GEN.11.4	 Tua khit ciangin amaute in, "Hong pai un, leimaitangte ah i kithehthang loh nadingin i min dingin khuapi khat lamin a dawn in van aban tausang khat neisak ni," kici uh hi.
GEN.11.5	 Ahi hangin khuapi le mihingte lam tausang en dingin 
GEN.11.7	 Hong pai un, khat le khat a kitel loh na dingun va paisukin amaute kampau kitukalhsak ni," a ci hi.
GEN.11.8	 Tua ahi ciangin tua mun panin 
GEN.11.9	 Tua thu hangin Babel f
GEN.11.10	 Hih in Shem khanggui sutna ahi hi.
GEN.11.10	Tuiciin tun zawh kum nih, Shem kum 100 a upat ciangin Arphaxad’ pa g
GEN.11.11	 Amah Arphaxad pa ahi khit nungin Shem kum zanga nungta lai a, tanu dang le tapa dang a nei lai hi.
GEN.11.12	 Arphaxad kum 35 a phak ciangin Tapa Shelah’ a nei hi. 
GEN.11.13	 Amah Shelah’ pa ahi nungin Arphaxad kum 403 nungta a tanu h
GEN.11.14	 Shelah kum 30 a phak ciangin tapa Eber a nei hi. 
GEN.11.15	 Eber’ pa ahi khit nungin Shelah kum 430 nungta a, tanu le tapa dang a nei lai hi.
GEN.11.16	 Eber kum 34 a phak ciangin tapa Peleg’ a nei hi. 
GEN.11.17	 Peleg’ pa ahi nungin Eber kum 430 nungta a, tanu le tapa adang a nei lai hi.
GEN.11.18	 Peleg kum 30 a phak ciangin tapa Reu’ a nei hi. 
GEN.11.19	 Reu’ pa ahi nungin Peleg kum 209 nungta a, tanu le tapa adang a nei lai hi.
GEN.11.20	 Reu kum 32 a phak ciangin tapa Serug’ a nei hi. 
GEN.11.21	 Serug’ pa ahi nungin Reu kum 207 nungta a, tanu le tapa adang a nei lai hi.
GEN.11.22	 Serug kum 30 a phak ciangin tapa Nahor’ a nei hi. 
GEN.11.23	 Nahor’ pa ahi nungin kum 200 nungta a, tanu le tapa adang a nei lai hi.
GEN.11.24	 Nahor kum 29 a phak ciangin tapa Terah’ a nei hi. 
GEN.11.25	 Amah Terah’ pa ahi nungin Nahor kum 119 nungta a, tanu le tapa adang a nei lai hi.
GEN.11.26	 Terah kum 70 a phak khit ciangin tapa Abram, Nahor le Haran-te a nei hi.
GEN.11.27	 Hih in Terah khanggui sutna ahi hi.
GEN.11.27	Terah pen Abram, Nahor le Haran-te’ pa ahi hi. Haran pen Lot’ pa ahi hi. 
GEN.11.28	 A pa Terah a nuntak lai-in ama suahna Chaldea gam Ur ah Haran a si hi. 
GEN.11.29	 Abram le Nahor in zi nei tuak uh hi. Abram’ zi min Sarai hi a, Nahor’ zi min Milcah ahi hi; amah Milcah le Iscah-te pa Haran tanu ahi hi.
GEN.11.30	 Sarai tasel ahi hi; ta a nei kei hi.
GEN.11.31	 Terah in a tapa Abram, ama tupa, Haran tapa Lot, a mo Abram zi Sarai-te tonpih in Chaldea gam Ur panin Canaan-a pai dingin a kuankhia khawm uh hi. Ahi hangin Haran a tun uh ciangin tua lai-ah teng uh hi.
GEN.11.32	 Terah kum 205 nungta a, tua ciangin Haran ah si hi.
GEN.12.1	 in Abram kiangah, "Na gam, na mite le na pa’ innkuante nusia-in nang kong lah ding gamah pai in.
GEN.12.2	 "Nang minam lianpi kong suaksak ding a;
GEN.12.2	thupha kong pia ding hi;
GEN.12.2	na min ka liansak dinga,
GEN.12.2	nang, thupha khat na hi ding hi.
GEN.12.3	 Nang thupha hong piate,
GEN.12.3	thupha ka pia dinga, nang hong hamsiat peuhmah ka hamsiat ding hi;
GEN.12.3	nang tungtawnin leitunga minam khempeuh
GEN.12.3	thupha kipia ding hi," ci hi.
GEN.12.4	 Tua ciangin 
GEN.12.5	 A zi Sarai, a tupa Lot, a neihsa khempeuh le Haran-a a zat nasem khempeuh tonpih in Canaan gam zuanin paikhia uh a, tua lai-ah a tung uh hi.
GEN.12.6	 Abram in tua gam tawna, Shechem-a Moreh singkungpi phung dongah a pai hi. Tua hunin Canaan mite tua munah teng uh hi. 
GEN.12.7	 Abram kiangah 
GEN.12.8	 Tua lai panin Bethel nisuahna lam mualte tungah paisuaka, a puanbuk a lam hi; a nitumna lamah Bethel oma, a nisuahna lamah Ai om hi. Tua lai-ah 
GEN.12.9	 Tua ciangin Abram paikhia-a, Negev manawh in paisuak hi.
GEN.12.10	 Tua hun laitakin tua gamah kialpi tunga, kialpi nasia lua ahi manin Egypt ah tawlkhat sung a teng dingin Abram paisuk hi. 
GEN.12.11	 Egypt a lut kuan laitakin a zi Sarai kiangah, "Na mel a hoih mahmah lam ka thei hi. 
GEN.12.12	 Egypt-te in nang hong muh uh ciangin ‘Hih nu ama zi hi,’ ci-in kei hong thatin nang bel hong hingkhawi ding uh hi. 
GEN.12.13	 Nang hanga ka nuntakna bangmah a cih loh nadingin nang kei sanggamnu in kigen lecin kei hong limbawl ding uh hi," ci hi.
GEN.12.14	 Egypt ah Abram a tun ciangin Egypt-te in tuanu numei melhoih mahmah khat ahilam a mu uh hi. Pharaoh’ uliante in tuanu a muh uh ciangin 
GEN.12.15	 Pharaoh kiangah amah phat uh a, ama kumpi innah a kipaipih hi. 
GEN.12.16	 Tuanu hangin amah in Abram limbawla, Abram tuuhon, bawnghon, laa a nu le a pa, nasem numei, nasem pasal le kala-oh-te ngah hi.
GEN.12.17	 Ahi hangin 
GEN.12.18	 Tua ciangin Pharaoh in Abram sama, "Kei bang hong cih na hi hiam? Bang hangin amah na zi ahilam hong gen lo na hi hiam? 
GEN.12.19	 Bang hanga amah ka zi dinga ka lak theih nadingin, ‘Amah ka sanggamnu hi,’ ci na hi hiam? Tua ahi ciangin tu-in hi lai-ah na zi om hi, la inla pai in!" ci hi. 
GEN.12.20	 Tua ciangin Pharaoh in Abram tawh kisai-in a mite thu pia a, a zi le a neihsa khempeuh tawh amah a khakhia uh hi.
GEN.13.1	Tua ciangin Egypt panin Abram, a neihsa khempeuh le a zi tawh Negev ah paito a, Lot in amah zui hi. 
GEN.13.2	 Abram in ganhing le ngun le kham hau mahmah hi.
GEN.13.3	 Negev panin amah Bethel a tun dong mun khat pan mun khat ah a pai kawikawi hi; a tunna mun pen 
GEN.13.4	 hun masa lai-a Bethel le Ai kikal-a puanbuk lama biaknatau a dawh nasa mun ahi hi. Tua munah Abram in 
GEN.13.5	 Tu-in Abram tawh a ton kawikawi Lot in zong tuuhon le ganhon le puanbukte nei hi. 
GEN.13.6	 Ahi zongin amaute a ten khawm uh ciangin leitang in amaute a vak zo nawn kei hi. Ahang in, amau neihsate tam lua mahmah a, a teng khawm thei kei uh hi. 
GEN.13.7	 Tua hi a Abram gan cingte le Lot gan cingte kitawng uh hi. Tua hun lai-in Canaan mite le Periz mite zong tua gamah a teng uh hi.
GEN.13.8	 Tua ciangin Abram in Lot kiangah, "Eite unau khat i hi ciangin nang le kei kikal ahi a, nang gancingte le kei gancingte kikal ahi zongin kitotna i omsak nawn kei ding hi. 
GEN.13.9	 Na mai-ah gambuppi om hi lo ahi hiam? Kipawl khen ni. Nang veilamah na pai leh kei taklamah ka pai ding hi. Nang taklamah na pai leh kei veilamah ka pai ding hi," ci hi.
GEN.13.10	 Lot khuadakto a, Jordan zanglei buppi in limtakin tui ngah a, 
GEN.13.11	 Tua ahi ciangin Lot in ama adingin Jordan zanglei bup tel a, nisuahna lamah kisuankhia hi. Tua mi nihte kipawlkhen uh hi: 
GEN.13.12	 Zanglei khuapite lakah Lot tengin Sodom gei ciangah a puanbuk a lam laitakin, Canaan gamah Abram teng hi. 
GEN.13.13	 Tu-in Sodom-a mite gilo a, 
GEN.13.14	 Ama kiang pan Lot a paikhiat nungin 
GEN.13.15	 Na muhna gam khempeuh nang le na suante b
GEN.13.16	 Na suante leivui ka bangsak dinga, mi khatpeuh in leivui a sim theih leh na suan-le-khakte zong kisim thei ding hi. 
GEN.13.17	 Nang hong pia ding ka hi manin pai-in leitang adung a vai-in siksuak in," ci hi.
GEN.13.18	 Tua ciangin Abram in a puanbuk suankhia a, Hebron-a Mamre singkungpite kiangah teng hi. Tua lai-a 
GEN.14.1	Hih hun laitakin Shinar c
GEN.14.2	 Sodom kumpipa Bera, Gomorrah kumpipa Birsha, Admah kumpipa Shinab, Zeboiim kumpipa Shemeber le Bela kumpite (tua pen Zoar) sim uh hi. 
GEN.14.3	 Hih a nununga kumpite in Siddim Kuam (Ci Tuipi) d
GEN.14.4	 Kum sawm le nih sung Kedorlaomer ukna nuai-ah om uh a, ahi hangin a kum sawm le thumna kumin lehdo uh hi.
GEN.14.5	 A kum sawm le lina kumin Kedorlaomer le amah tawh a kop kumpite kuankhia uh a, Ashteroth Karnaim a Rephai-te, Ham a Zuzim-te, Shaveh Kiriathaim a Emim-te 
GEN.14.6	 le Seir mualtung gama Hori mite zo in sehnel-gam kianga El Paran dong a zo uh hi. 
GEN.14.7	 Tua ciangin amaute kihei kik uh a En Mishpat (tua pen, Kadesh) ah pai-in Amalek mite gam buppi le Hazezon Tamar a teng Amor mite zo uh hi.
GEN.14.8	 Tua ciangin Sodom kumpipa, Gomorrah kumpipa Admah kumpipa, Zeboiim kumpipa, le Bela kumpipa (tua pen Zoar) - te kuankhia uh a Siddim Kuamah a galsim nading uh gelin 
GEN.14.9	 Elam kumpi, Kedorlaomer Goiim kumpi Tidal, Shinar kumpi Amraphel le Ellasar kumpi Arioch-te - kumpi li in kumpi nga sim uh hi. 
GEN.14.10	 Tua hunin Siddim Kuam teng Kultar khuk tawh kidima, Sodom le Gomorrah kumpite a tai uh ciangin a mite uh pawlkhat tuate sungah kia in, tua lo teng mual tungah tai uh hi. 
GEN.14.11	 Kumpi lite in Sodom le Gomorrah-te’ vante khempeuh, a ante khempeuh uh manin, tua ciangin a pai mang uh hi. 
GEN.14.12	 Amaute in Abram sanggampa tapa Lot, Sodom ah teng ahi manin a neihsate puakhia uh hi.
GEN.14.13	 A suakta mi khat in hih thu Hebrew mi Abram kiangah ko hi. Tu-in Eshcol le Aner-te’ sanggampa a
GEN.14.14	 Abram in a tanaupa uh sal-a kiman cih a zak ciangin ama inn sunga suak a kisinsa mi 318 samkhia a, Dan dong delh uh hi. 
GEN.14.15	 Zanin Abram in amaute sim dingin a mite khena, amaute vatgawpin Damascus leilu lama Hobah dong a zandelh hi. 
GEN.14.16	 Amah in vante khempeuh ngah kika, a tanaupa uh Lot, le a neihsate, numeite le midangte a ciahpih kik hi.
GEN.14.17	 Abram in kumpi Kedorlaomer le a koppihte zo khina a ciah ciangin Shava Kuam (tua pen Kumpi Kuam) ah Sodom kumpipa amah dawn dingin kuankhia hi.
GEN.14.18	 Tua khit ciangin Salem b
GEN.14.19	 Abram thupha pia in,
GEN.14.19	"Van le lei a Piangsakpa c
GEN.14.19	a Sang Pen Pasian in Abram, thupha pia henla,
GEN.14.20	 Na galte na khut sunga hong piapa
GEN.14.20	a Sang Pen Pasian in thupha d
GEN.14.20	Tua khit ciangin Abram in amah na khempeuhah sehsawm suah sehkhat pia hi.
GEN.14.21	 Sodom kumpipa in Abram kiangah, "A mite kei hong pia inla a vante nang tang in," a ci hi.
GEN.14.22	 Ahi hangin Abram in Sodom kumpipa kiangah, "Van le lei a Piangsakpa Sang Pen Pasian 
GEN.14.23	 ‘Abram kei hauhsak hi,’ na cih khak loh nadingin nang tawh kisai na khat beek, khauzang khat ahikeh khedap khau nangawn ka la kei ding hi," ci-in ka kiciam khin hi. 
GEN.14.24	 Ka mite neksate le kei tawh hong kuan khawm - Aner, Eshcol le Mamre te tanhte tawh kisai lo buang bangmah kong sang kei ding hi. Amaute amau tanh ciat lasak in," a ci hi.
GEN.15.1	Hih khit ciangin mangmuhna tawh 
GEN.15.1	"Abram aw, lau kei in.
GEN.15.1	Keimah na lum ka hi hi; e
GEN.15.1	Na pahtakman a lian mahmah pa ka hi hi," f
GEN.15.2	 Ahi hangin Abram in, "Thuneipipen 
GEN.15.3	 Abram in, "Ta nong pia kei hi; tua ahi ciangin ka inn sunga nasem khat in ka inn luah ding hi," a ci hi.
GEN.15.4	 Tua ciangin ama tungah 
GEN.15.5	 Amah a pualamah paikhiatpih a, "Vante ento-in na sim zo hiam aksite sim in," ci a, tua ciangin ama kiangah, "Na suan-le-khakte tua bang hi ding hi," ci hi.
GEN.15.6	 Abram in 
GEN.15.7	 Amah in, "Keimah in Chalde-te gama Ur pan hong pikhia a, na neih hih gam hong piapa 
GEN.15.8	 Ahi hangin Abram in, "Thunei-pipen 
GEN.15.9	 Tua ahi ciangin 
GEN.15.10	 Abram in hihte khempeuh amah puaka, tuate phel nih suahin a sate khat le khat a kigalsai dimdiam in a gual hi: vasate pen phel nih a suah kei hi. 
GEN.15.11	 Tua ciangin sasialne vasate, tua sate tungah tu uh a, ahi hangin Abram in hawlkhia mang hi.
GEN.15.12	 Ni tumkuan a, Abram ihcipin a lauhuai khuamial sah mahmah in amah a mialnelh hi. 
GEN.15.13	 Tua ciangin 
GEN.15.14	 Ahi hangin a sila suahna uh minam, dan ka pia dinga, tua nung ciangin amaute neihsa tampitak tawh a paikhia ding uh hi. 
GEN.15.15	 Nang na hileh na pate kiang lungnuamtakin na zuan dinga, tekkut vuaikutin hong kivui ding hi. 
GEN.15.16	 Amor mite mawhna kicing kim nai lo ahi manin a khang lina ciangin na suan-le-khakte hih lai-ah a pai kik ding uh hi," ci hi.
GEN.15.17	 Ni tumin khua a mial khit ciangin meikhu kawma a kuang meibel tang hong kilangin tua sate kikalah a paisuak hi. 
GEN.15.18	 Tua ni-in 
GEN.15.19	 Ken-te, Keniz-te, Kadmon-te, 
GEN.15.20	 Hit-te, Periz-te, Rephaim-te, 
GEN.15.21	 Amor-te, Canaan-te, Girgash-te le Jebus-te ka pia hi," ci hi.
GEN.16.1	Tu-in Abram zi Sarai in ta a nei kei hi. Ahi hangin Hagar min nei Egypt-te numei khat nasemin a nei hi; 
GEN.16.2	 tua hi a amah in Abram kiangah, "
GEN.16.2	Sarai cih bangin Abram a thukim hi. 
GEN.16.3	 Tua ahi ciangin Canaan a Abram a ten zawh kum sawm khit ciangin a zi Sarai in ama nasemnu Egypt mi Hagar paipih a, a pasal kiangah a zi dingin pia hi. 
GEN.16.4	 Amah in Hagar luppihin tuanu in nau paii hi.
GEN.16.4	Tuanu in a gai lam a kitheih ciangin a pi simmawh ding a kipan hi. 
GEN.16.5	 Tua khit ciangin Sarai in Abram kiangah, "Ka thuakna nang hang ahi hi. Na angah ka nasemnu kong koih hi; tuanu a gai lam kithei a, kei hong simmawh hi. 
GEN.16.6	 Abram in, "Na nasemnu nang thu ahi hi, hoih pen dinga na ngaihsut bangin hih in,"" ci hi. Tua ciangin Sarai in Hagar bawlsia a; a kiang pan taikhia hi.
GEN.16.8	 Amah in, "Sarai’ nasemnu Hagar aw, koi pan hong kipana koi-a pai ding na hi hiam?" a ci hi.
GEN.16.8	Tuanu in, "Ka pi Sarai kiang pana taikhia ka hi hi;" ci-in dawng hi.
GEN.16.9	 Tua ciangin 
GEN.16.10	 "Na suan-le-khakte sim zawh lohin ka tamsak ding hi," cih beh lai hi.
GEN.16.11	"Tu-in nang nau na paii a,
GEN.16.11	tapa khat na nei ding hi.
GEN.16.11	 in na thuaksiatna hong za khin
GEN.16.11	ahi manin a min Ishmael a
GEN.16.12	 Amah mi’ laa le hi ding a,
GEN.16.12	ama khutin mi khempeuh langpangin,
GEN.16.12	mi khempeuh khutin
GEN.16.12	amah langpan dinga b
GEN.16.12	a sanggamte khempeuh galbawlin a nungta ding hi," a ci hi.
GEN.16.13	 Tuanu in amah a hopih 
GEN.16.14	 Tua ahi manin tua tuikhuk Beer Lahai Roi d
GEN.16.15	 Tua ciangin Abram in Hagar tawh tapa khat nei a, a tapa min Ishmael phuak hi. 
GEN.16.16	 Hagar in Ishmael a suah in Abram kum sawm giat le guk pha ta hi.
GEN.17.1	Abram kum sawm kua-le-kua a phak ciangin ama kiangah 
GEN.17.2	 Kei le nang kikala ka thukhun ka kipsak dinga hong pungsakin tampi kong phasak ding hi," ci hi.
GEN.17.3	 Abram khupbawh suka Pasian in ama kiangah, 
GEN.17.4	 "Kei adingin hih in nang tawh ka thukhun ahi hi! Nang, minam tampite’ pa na hi ding hi. 
GEN.17.5	 Nang, Abram f
GEN.17.6	 Nang kong ciphasak dinga; minam liante hong suaksakin nang panin kumpite piangkhia ding hi. 
GEN.17.7	 Keimah in na Pasian le nang nunga na suan-le-khakte’ Pasian ka hina dingin tawntung thukhun in kei le nang le hong tung lai ding khangte-a na suan-le-khakte tungah thukhun kip ka bawl ding hi. 
GEN.17.8	 Tu laitaka mikhual na hina Canaan leitang bup, nang le nang nunga na suan-le-khakte neih tawntung dingin kong pia dinga; kei amaute’ Pasian ka hi ding hi." ci hi.
GEN.17.9	 Tua ciangin Pasian in Abraham kiangah, "Nang ahileh nang le nang nunga khang na suan-le-khakte tunga ka thukhun zui pelmawh in. 
GEN.17.10	 Hih in na zuih pelmawh ding nang le nang nunga na suan-le-khakte tawh ka thukhun ahi hi, na zuih ding uh thukhun in: Note laka pasal peuhmah vun ki-at ding hi. 
GEN.17.11	 Na vun na at dinga, tua pen nang le kei kikala thukhun lim hi ding hi. 
GEN.17.12	 Mailama khangte adingin, no inn sunga suakte ahi a, gamdang mite tunga sum tawh na leite uh - no sung pana piang a hi lote a hi zongin pasal peuhmah nigiat a phak nak leh a vun ki-at pelmawh ding hi. 
GEN.17.13	 No innkuan sunga suakte ahi a, sum tawh na leite uh ahi zongin amaute vun ki-at pelmawh ding hi. Note ci-le-sa sunga ka thukhun, tu le a tawntunga thukhun ahi hi. 
GEN.17.14	 Pasal vun at lo, a ci-le-sa vun at lo peuhmah ama mite pan kikhenkhia ding hi; amah ka thukhun a palsat ahi hi," ci hi.
GEN.17.15	 Pasian in Abraham tungah, "Na zi Sarai ahileh Sarai na ci nawn kei ding hi; ama min Sarah hi ding hi. 
GEN.17.16	 Thupha ka pia dinga, amah panin tapa khat kong pia taktak ding hi. Amah minamte’ nu ahi theih nadingin thupha ka pia ding hi; minamte’ kumpite amah panin piang ding hi," ci lai hi.
GEN.17.17	 Abraham khupbawha, nui-in amah le amah, "Kum zakhat a phasa mi khat sungah tapa piang ding maw? Kum sawm kua a phasa Sarah in ta nei ding maw?" a kici hi. 
GEN.17.18	 Tua ciangin Abraham in Pasian kiangah, "Ishmael in nang ma thupha sangin minungta-a hong om nak leh!" a ci hi.
GEN.17.19	 Tua ciangin Pasian in, "Sang thei ding hi, ahi hangin na zi Sarah in nang tawh tapa khat nei dinga, ama min Isaac h
GEN.17.20	 Ishmael ahileh, na gen ka za zo hi! Thupha ka pia takpi ding hi; amah ka ciphasak dinga pungsakin tampi ka phasak ding hi. Amah gam-uk sawm le nihte’ pa hi dinga minam lian khat ka suaksak ding hi. 
GEN.17.21	 Ahi hangin mai kum tu hun ciangin Sarah tawh na neih ding Isaac tawh ka thukhun ka bawl ding hi," a ci hi. 
GEN.17.22	 Abraham tawh a kiho a man ciangin ama kiang pan Pasian a paikhia to hi.
GEN.17.23	 Tua ni tektek in Abraham in a tapa Ishmael le ama inn sunga suakte le sum-a a leite khempeuh, a inn sunga pasal peuhmah, Pasian gen bangin amaute’ vun a at hi. 
GEN.17.24	 Abraham in a vun a at in kum sawm kua le kua pha a, 
GEN.17.25	 a tapa Ishmael kum sawm le thum pha hi. 
GEN.17.26	 Abraham le a tapa Ishmael in a ni kibangin vun at khawm uh hi. 
GEN.17.27	 Ama inn sunga suakte ahi a, gamdang mite tunga a leite ahi zongin Abraham innkuan sunga pasal peuhmah in amah tawh vun at uh hi.
GEN.18.1	Mamre singpite kianga puanbuk kongah nisat laitakin Abraham tu-a tua laitakin ama tungah 
GEN.18.2	 Abraham khuadak to a, ama kiang mahmah a ding mi thum a mu hi. Amaute a muh ciangin a puanbuk kong panin manlangin va dawna lei lamah kunsuk hi.
GEN.18.3	 Amah in, "Ka topa a
GEN.18.4	 Tui tawm i lasak dinga na khe uh silin hih sing nuai-ah na khawl phot ding uh hi. 
GEN.18.5	 Na tawldam theih nadingun nek ding na khat ka va la ding hi; tua khit ciangin paisuak un - tu-in na nasempa kiang na tung zo uh hi," ci hi.
GEN.18.5	Amaute in, "Hoih mahmah hi, na cih bangin hih in," ci-in dawng uh hi.
GEN.18.6	 Tua ciangin puanbuk sunga Sarah kiangah Abraham pai-a, "Kinawh in, annel hoihte seah b
GEN.18.7	 Tua ciangin ganhon lakah tai-a bawngno dawng khat teelin a nasempa pia-a, tuapa in manlang takin a bawl hi. 
GEN.18.8	 Tua ciangin bawngnawi le bawngnawi khal pawlkhat le bawngno sa minsa tawi-in amaute mai-ah lui hi. Amaute in a nek laitakun amaute kiang sing nuai-ah amah ding hi.
GEN.18.9	 Amaute in, "Na zi Sarah koi-ah om hiam?" ci-in amah dong uh hi.
GEN.18.9	Amah in "Hua lai puanbuk sungah," ci hi.
GEN.18.10	 Tua ciangin 
GEN.18.10	Tua laitakin Sarah in ama nunglam puanbuk sungah na ngai hi. 
GEN.18.11	 Abraham le Sarah tek lua ta in a kum uh tam lua-a, Sarah zong taneih hun nawn lo hi. 
GEN.18.12	 Tua ciangin Sarah in, "Ka vuai khit nung, ka topa d
GEN.18.13	 Tua ciangin 
GEN.18.15	 Sarah lau-a, zuau phuakin, "Ka nui kei hi," a ci hi.
GEN.18.15	Ahi hangin amah in, "Hi mah hi, na nui hi," ci hi.
GEN.18.16	 Mite ciah dinga a dinkhiat uh ciangin amaute in Sodom lam ensuk uh hi. Abraham in amaute kha dingin zui hi. 
GEN.18.17	 Tua ciangin 
GEN.18.18	 Abraham pen a vanglian minam suak taktak dinga ama tungtawnin leitunga minam khempeuh thupha kipia ding hi. 
