GEN.1.1	In the beginning God (
1SA.15.25	Now, please, pardon my sin and return with me, so that I may worship the L
1SA.15.26	But Samuel said to Saul, “I will not return with you; for you have rejected the word of the L
1SA.15.27	As Samuel turned to go [away], 
1SA.15.28	So Samuel said to him, “The L
1SA.15.29	Also the Splendor 
1SA.15.30	Saul said, “I have sinned; but please honor me now before the elders of my people and before Israel, and go back with me, so that I may worship the L
1SA.15.31	So Samuel went back following Saul, and Saul worshiped the L
1SA.15.32	Then Samuel said, “Bring me Agag, the king of the Amalekites.” And Agag came to him 
1SA.15.33	Samuel said, “As your sword has made women childless, so shall your mother be childless among women.” And Samuel cut Agag in pieces before the L
1SA.15.34	Then Samuel went to Ramah, but Saul went up to his house in Gibeah of Saul. 
1SA.15.35	Samuel did not see Saul again until the day of his death, for Samuel grieved over Saul. And the L
1SA.16.1	The L
1SA.16.2	But Samuel said, “How can I go? When Saul hears 
1SA.16.3	You shall invite Jesse to the sacrifice, and I will show you what you shall do [after that]; and you shall anoint for Me the one whom I designate.” 
1SA.16.4	So Samuel did what the L
1SA.16.5	And he said, “In peace; I have come to sacrifice to the L
1SA.16.6	So it happened, when they had come, he looked at Eliab [the eldest son] and thought, “Surely the L
1SA.16.7	But the L
1SA.16.8	Then Jesse called Abinadab and had him pass before Samuel. But Samuel said, “The L
1SA.16.9	Next Jesse had Shammah pass by. And Samuel said, “The L
1SA.16.10	Jesse had seven of his sons pass before Samuel. But Samuel said to Jesse, “The L
1SA.16.11	Then Samuel said to Jesse, “Are all your sons here?” Jesse replied, “There is still one left, the youngest; he is tending the sheep.” Samuel said to Jesse, “Send 
1SA.16.12	So Jesse sent 
1SA.16.13	Then Samuel took the horn of oil and anointed David in the presence of his brothers; and the Spirit of the L
1SA.16.14	Now the Spirit of the L
1SA.16.15	Saul’s servants said to him, “Behold, an evil spirit from God is tormenting you. 
1SA.16.16	Let our lord now command your servants who are here before you to find a man who plays skillfully on the harp; and when the evil spirit from God is on you, he shall play 
1SA.16.17	So Saul told his servants, “Find me a man who plays well and bring him to me.” 
1SA.16.18	One of the young men said, “Behold, I have seen a son of Jesse the Bethlehemite who is a skillful musician, a brave 
1SA.16.19	So Saul sent messengers to Jesse and said, “Send me David your son, who is with the flock.” 
1SA.16.20	Jesse took a donkey [loaded with] bread and a jug of wine and a young goat, and sent them to Saul with David his son. 
1SA.16.21	Then David came to Saul and attended him. Saul loved him greatly and [later] David became his armor bearer. 
1SA.16.22	Saul sent 
1SA.16.23	So it came about that whenever the [evil] spirit from God was on Saul, David took a harp and played it with his hand; so Saul would be refreshed and be well, and the evil spirit would leave him.
1SA.17.1	Now the Philistines gathered their armies for battle and were assembled at Socoh, which belongs to Judah; and they camped between Socoh and Azekah, in Ephes-dammim. 
1SA.17.2	Saul and the men of Israel were gathered together and they camped in the Valley of Elah, and assembled in battle formation to meet the Philistines. 
1SA.17.3	The Philistines were standing on the mountain on one side and Israel was standing on the mountain on the other side, with the valley between them. 
1SA.17.4	Then a 
1SA.17.5	 a bronze helmet on his head, and wore a coat of scale-armor (overlapping metal plates) which weighed 
1SA.17.6	 bronze shin protectors on his legs and a bronze 
1SA.17.7	The [wooden] shaft of his spear was like a 
1SA.17.8	Goliath stood and shouted to the battle lines of Israel, saying to them, “Why have you come out to draw up for battle? Am I not the Philistine and are you not servants of Saul? Choose a man for yourselves and have him come down to me. 
1SA.17.9	If he is able to fight with me and kill me, then we will become your servants; but if I prevail against him and kill him, then you shall become our servants and serve us.” 
1SA.17.10	Again the Philistine said, “I defy the battle lines of Israel this day; give me a man so that we may fight together.” 
1SA.17.11	When Saul and all Israel heard these words of the Philistine, they were dismayed and greatly afraid.
1SA.17.12	Now David was the son of the 
1SA.17.13	His three older sons had followed Saul into battle. The names of his three sons who went to battle were Eliab, the firstborn; next, Abinadab; and third, Shammah. 
1SA.17.14	David was the youngest. Now the three oldest followed Saul, 
1SA.17.15	but David went back and forth from Saul to tend his father’s flock at Bethlehem. 
1SA.17.16	The Philistine [Goliath] came out morning and evening, and took his stand for forty days.
1SA.17.17	Then Jesse said to David his son, “Take for your brothers an ephah of this roasted grain and these ten loaves of bread and run quickly to the camp to your brothers. 
1SA.17.18	Also take these ten cuts of cheese to the commander of the 
1SA.17.19	Now they are with Saul and all the men of Israel in the Valley of Elah, fighting with the Philistines.”
1SA.17.20	So David got up early in the morning, left the flock with a keeper, picked up 
1SA.17.21	Israel and the Philistines drew up in battle formation, army against army. 
1SA.17.22	Then David left his provisions in the care of the supply keeper, and ran to the ranks and came and greeted his brothers. 
1SA.17.23	As he was talking with them, behold, the champion, the Philistine of Gath named Goliath, was coming up from the army of the Philistines, and he spoke these same words 
1SA.17.24	When the men of Israel all saw the man, they fled from him, and were very frightened. 
1SA.17.25	The men of Israel said, “Have you seen this man who is coming up? Surely he is coming up to defy Israel. The king will reward the man who kills him with great riches, and will give him his daughter [in marriage] and make his father’s house (family) free [from taxes and service] in Israel.”
1SA.17.26	Then David spoke to the men who were standing by him, “What will be done for the man who kills this Philistine and removes the disgrace [of his taunting] from Israel? For who is this uncircumcised Philistine that he has taunted 
1SA.17.27	The men 
1SA.17.28	Now Eliab his oldest brother heard what he said to the men; and Eliab’s 
1SA.17.29	But David said, “What have I done now? Was it not just a [harmless] question?” 
1SA.17.30	Then David turned away from Eliab to someone else and asked the same question; and the people gave him the same answer as the first time.
1SA.17.31	When the words that David spoke were heard, the men reported them to Saul, and he sent for him. 
1SA.17.32	David said to Saul, “Let no man’s 
1SA.17.33	Then Saul said to David, “You are not able to go against this Philistine to fight him. For you are [only] a young man and he has been a warrior since his youth.” 
1SA.17.34	But David said to Saul, “Your servant was tending his father’s sheep. When a lion or a bear came and took a lamb out of the flock, 
1SA.17.35	I went out after it and attacked it and rescued the lamb from its mouth; and when it rose up against me, I seized it by its whiskers and struck and killed it. 
1SA.17.36	Your servant has killed both the lion and the bear; and this uncircumcised Philistine will be like one of them, since he has taunted 
1SA.17.37	David said, “The L
1SA.17.38	Then Saul dressed David in his garments and put a bronze helmet on his head, and put a coat of mail (armor) on him. 
1SA.17.39	Then David fastened his sword over his armor and tried to walk, [but he could not,] because he was not used to them. And David said to Saul, “I cannot go with these, because I am not used to them.” So David took them off. 
1SA.17.40	Then he took his [shepherd’s] staff in his hand and chose for himself five 
1SA.17.41	The Philistine came and approached David, with his shield-bearer in front of him. 
1SA.17.42	When the Philistine looked around and saw David, he derided 
1SA.17.43	The Philistine said to David, “Am I a dog, that you come to me with [shepherd’s] staffs?” And the Philistine cursed David by his gods. 
1SA.17.44	The Philistine also said to David, “Come to me, and I will give your flesh to the birds of the sky and the beasts of the field.” 
