GEN.1.1	In the beginning of God's preparing the heavens and the earth —
GEN.12.8	And he removeth from thence towards a mountain at the east of Beth-El, and stretcheth out the tent (Beth-El at the west, and Hai at the east), and he buildeth there an altar to 
GEN.12.9	And Abram journeyeth, going on and journeying towards the south.
GEN.12.10	And there is a famine in the land, and Abram goeth down towards Egypt to sojourn there, for the famine [is] grievous in the land;
GEN.12.11	and it cometh to pass as he hath drawn near to enter Egypt, that he saith unto Sarai his wife, ‘Lo, I pray thee, I have known that thou [art] a woman of beautiful appearance;
GEN.12.12	and it hath come to pass that the Egyptians see thee, and they have said, ‘This [is] his wife,’ and they have slain me, and thee they keep alive:
GEN.12.13	say, I pray thee, thou [art] my sister, so that it is well with me because of thee, and my soul hath lived for thy sake.’
GEN.12.14	And it cometh to pass, at the entering of Abram into Egypt, that the Egyptians see the woman that she [is] exceeding fair;
GEN.12.15	and princes of Pharaoh see her, and praise her unto Pharaoh, and the woman is taken [to] Pharaoh's house;
GEN.12.16	and to Abram he hath done good because of her, and he hath sheep and oxen, and he-asses, and men-servants, and handmaids, and she-asses, and camels.
GEN.12.17	And 
GEN.12.18	And Pharaoh calleth for Abram, and saith, ‘What [is] this thou hast done to me? why hast thou not declared to me that she [is] thy wife?
GEN.12.19	Why hast thou said, She [is] my sister, and I take her to myself for a wife? and now, lo, thy wife, take and go.’
GEN.12.20	And Pharaoh chargeth men concerning him, and they send him away, and his wife, an all that he hath.
GEN.13.1	And Abram goeth up from Egypt (he and his wife, and all that he hath, and Lot with him) towards the south;
GEN.13.2	and Abram [is] exceedingly wealthy in cattle, in silver, and in gold.
GEN.13.3	And he goeth on his journeyings from the south, even unto Bethel, unto the place where his tent had been at the commencement, between Bethel and Hai —
GEN.13.4	unto the place of the altar which he made there at the first, and there doth Abram preach in the name of 
GEN.13.5	And also to Lot, who is going with Abram, there hath been sheep and oxen and tents;
GEN.13.6	and the land hath not suffered them to dwell together, for their substance hath been much, and they have not been able to dwell together;
GEN.13.7	and there is a strife between those feeding Abram's cattle and those feeding Lot's cattle; and the Canaanite and the Perizzite [are] then dwelling in the land.
GEN.13.8	And Abram saith unto Lot, ‘Let there not, I pray thee, be strife between me and thee, and between my shepherds and thy shepherds, for we [are] men — brethren.
GEN.13.9	Is not all the land before thee? be parted, I pray thee, from me; if to the left, then I to the right; and if to the right, then I to the left.’
GEN.13.10	And Lot lifteth up his eyes, and seeth the whole circuit of the Jordan that it [is] all a watered country (before 
GEN.13.11	and Lot chooseth for himself the whole circuit of the Jordan; and Lot journeyeth from the east, and they are parted — a man from his companion;
GEN.13.12	Abram hath dwelt in the land of Canaan, and Lot hath dwelt in the cities of the circuit, and tenteth unto Sodom;
GEN.13.13	and the men of Sodom [are] evil, and sinners before 
GEN.13.14	And 
GEN.13.15	for the whole of the land which thou are seeing, to thee I give it, and to thy seed — to the age.
GEN.13.16	And I have set thy seed as dust of the earth, so that, if one is able to number the dust of the earth, even thy seed is numbered;
GEN.13.17	rise, go up and down through the land, to its length, and to its breadth, for to thee I give it.’
GEN.13.18	And Abram tenteth, and cometh, and dwelleth among the oaks of Mamre, which [are] in Hebron, and buildeth there an altar to 
GEN.14.1	And it cometh to pass in the days of Amraphel king of Shinar, Arioch king of Ellasar, Chedorlaomer king of Elam, and Tidal king of Goyim,
GEN.14.2	they have made war with Bera king of Sodom, and with Birsha king of Gomorrah, Shinab king of Admah, and Shemeber king of Zeboim, and the king of Bela, which [is] Zoar.
GEN.14.3	All these have been joined together unto the valley of Siddim, which [is] the Salt Sea;
GEN.14.4	twelve years they served Chedorlaomer, and the thirteenth year they rebelled.
GEN.14.5	And in the fourteenth year came Chedorlaomer, and the kings who [are] with him, and they smite the Rephaim in Ashteroth Karnaim, and the Zuzim in Ham, and the Emim in Shaveh Kiriathaim,
GEN.14.6	and the Horites in their mount Seir, unto El-Paran, which [is] by the wilderness;
GEN.14.7	and they turn back and come in unto En-Mishpat, which [is] Kadesh, and smite the whole field of the Amalekite, and also the Amorite who is dwelling in Hazezon-Tamar.
GEN.14.8	And the king of Sodom goeth out, and the king of Gomorrah, and the king of Admah, and the king of Zeboim, and the king of Bela, which [is] Zoar; and they set the battle in array with them in the valley of Siddim,
GEN.14.9	with Chedorlaomer king of Elam, and Tidal king of Goyim, and Amraphel king of Shinar, and Arioch king of Ellasar; four kings with the five.
GEN.14.10	And the valley of Siddim [is] full of bitumen-pits; and the kings of Sodom and Gomorrah flee, and fall there, and those left have fled to the mountain.
GEN.14.11	And they take the whole substance of Sodom and Gomorrah, and the whole of their food, and go away;
GEN.14.12	and they take Lot, Abram's brother's son (seeing he is dwelling in Sodom), and his substance, and go away.
GEN.14.13	And one who is escaping cometh and declareth to Abram the Hebrew, and he is dwelling among the oaks of Mamre the Amorite, brother of Eshcol, and brother of Aner, and they [are] Abram's allies.
GEN.14.14	And Abram heareth that his brother hath been taken captive, and he draweth out his trained domestics, three hundred and eighteen, and pursueth unto Dan.
GEN.14.15	And he divideth himself against them by night, he and his servants, and smiteth them, and pursueth them unto Hobah, which [is] at the left of Damascus;
GEN.14.16	and he bringeth back the whole of the substance, and also Lot his brother and his substance hath he brought back, and also the women and the people.
GEN.14.17	And the king of Sodom goeth out to meet him (after his turning back from the smiting of Chedorlaomer, and of the kings who [are] with him), unto the valley of Shaveh, which [is] the king's valley.
GEN.14.18	And Melchizedek king of Salem hath brought out bread and wine, and he [is] priest of God Most High;
GEN.14.19	and he blesseth him, and saith, ‘Blessed [is] Abram to God Most High, possessing heaven and earth;
GEN.14.20	and blessed [is] God Most High, who hath delivered thine adversaries into thy hand;’ and he giveth to him a tenth of all.
GEN.14.21	And the king of Sodom saith unto Abram, ‘Give to me the persons, and the substance take to thyself,’
GEN.14.22	and Abram saith unto the king of Sodom, ‘I have lifted up my hand unto 
GEN.14.23	from a thread even unto a shoe-latchet I take not of anything which thou hast, that thou say not, I — I have made Abram rich;
GEN.14.24	save only that which the young men have eaten, and the portion of the men who have gone with me — Aner, Eshcol, and Mamre — they take their portion.’
GEN.15.1	After these things hath the word of 
GEN.15.2	And Abram saith, ‘Lord 
GEN.15.3	And Abram saith, ‘Lo, to me Thou hast not given seed, and lo, a domestic doth heir me.’
GEN.15.4	And lo, the word of 
GEN.15.5	and He bringeth him out without, and saith, ‘Look attentively, I pray thee, towards the heavens, and count the stars, if thou art able to count them;’ and He saith to him, ‘Thus is thy seed.’
GEN.15.6	And he hath believed in 
GEN.15.7	And He saith unto him, ‘I [am] 
GEN.15.8	and he saith, ‘Lord 
GEN.15.9	And He saith unto him, ‘Take for Me a heifer of three years, and a she-goat of three years, and a ram of three years, and a turtle-dove, and a young bird;’
GEN.15.10	and he taketh to him all these, and separateth them in the midst, and putteth each piece over against its fellow, but the bird he hath not divided;
GEN.15.11	and the ravenous birds come down upon the carcases, and Abram causeth them to turn back.
GEN.15.12	And the sun is about to go in, and deep sleep hath fallen upon Abram, and lo, a terror of great darkness is falling upon him;
GEN.15.13	and He saith to Abram, ‘knowing — know that thy seed is a sojourner in a land not theirs, and they have served them, and they have afflicted them four hundred years,
GEN.15.14	and the nation also whom they serve I judge, and after this they go out with great substance;
GEN.15.15	and thou — thou comest in unto thy fathers in peace; thou art buried in a good old age;
GEN.15.16	and the fourth generation doth turn back hither, for the iniquity of the Amorite is not yet complete.’
GEN.15.17	And it cometh to pass — the sun hath gone in, and thick darkness hath been — and lo, a furnace of smoke, and a lamp of fire, which hath passed over between those pieces.
GEN.15.18	In that day hath 
GEN.15.19	with the Kenite, and the Kenizzite, and the Kadmonite,
GEN.15.20	and the Hittite, and the Perizzite, and the Rephaim,
GEN.15.21	and the Amorite, and the Canaanite, and the Girgashite, and the Jebusite.’
GEN.16.1	And Sarai, Abram's wife, hath not borne to him, and she hath an handmaid, an Egyptian, and her name [is] Hagar;
GEN.16.2	and Sarai saith unto Abram, ‘Lo, I pray thee, 
GEN.16.3	And Sarai, Abram's wife, taketh Hagar the Egyptian, her handmaid, at the end of the tenth year of Abram's dwelling in the land of Canaan, and giveth her to Abram her husband, to him for a wife,
GEN.16.4	and he goeth in unto Hagar, and she conceiveth, and she seeth that she hath conceived, and her mistress is lightly esteemed in her eyes.
GEN.16.5	And Sarai saith unto Abram, ‘My violence [is] for thee; I — I have given mine handmaid into thy bosom, and she seeth that she hath conceived, and I am lightly esteemed in her eyes; 
