GEN.1.1	In the beginning God created the sky and the earth. 
GEN.14.2	All these kings went to war against several other kings: Bera king of Sodom, Birsha king of Gomorrah, Shinab king of Admah, Shemeber king of Zeboiim, and the king of Bela. (Bela is also called Zoar.)
GEN.14.3	These kings who were attacked united their armies in the Valley of Siddim (now the Dead Sea). 
GEN.14.4	They had served Kedorlaomer for twelve years, but in the thirteenth year, they all turned against him. 
GEN.14.5	Then in the fourteenth year, Kedorlaomer and the kings with him came and defeated the Rephaites in Ashteroth Karnaim, the Zuzites in Ham, and the Emites in Shaveh Kiriathaim. 
GEN.14.6	They also defeated the Horites in the mountains of Edom to El Paran (near the desert). 
GEN.14.7	Then they turned back and went to En Mishpat (that is, Kadesh). They defeated all the Amalekites, as well as the Amorites who lived in Hazazon Tamar.
GEN.14.8	At that time the kings of Sodom, Gomorrah, Admah, Zeboiim, and Bela went out to fight in the Valley of Siddim. (Bela is called Zoar.) 
GEN.14.9	They fought against Kedorlaomer king of Elam, Tidal king of Goiim, Amraphel king of Babylonia, and Arioch king of Ellasar—four kings fighting against five. 
GEN.14.10	There were many tar pits in the Valley of Siddim. When the kings of Sodom and Gomorrah and their armies ran away, some of the soldiers fell into the tar pits, but the others ran away to the mountains.
GEN.14.11	Now Kedorlaomer and his armies took everything the people of Sodom and Gomorrah owned, including their food. 
GEN.14.12	They took Lot, Abram’s nephew who was living in Sodom, and everything he owned. Then they left. 
GEN.14.13	One of the men who was not captured went to Abram, the Hebrew, and told him what had happened. At that time Abram was camped near the great trees of Mamre the Amorite. Mamre was a brother of Eshcol and Aner, and they had all made an agreement to help Abram.
GEN.14.14	When Abram learned that Lot had been captured, he called out his 318 trained men who had been born in his camp. He led the men and chased the enemy all the way to the town of Dan. 
GEN.14.15	That night he divided his men into groups, and they made a surprise attack against the enemy. They chased them all the way to Hobah, north of Damascus. 
GEN.14.16	Then Abram brought back everything the enemy had stolen, the women and the other people, and Lot, and everything Lot owned.
GEN.14.17	After defeating Kedorlaomer and the kings who were with him, Abram went home. As he was returning, the king of Sodom came out to meet him in the Valley of Shaveh (now called King’s Valley).
GEN.14.18	Melchizedek king of Salem brought out bread and wine. He was a priest for God Most High 
GEN.14.19	and blessed Abram, saying,
GEN.14.19	“Abram, may you be blessed by God Most High,
GEN.14.19	the God who made heaven and earth.
GEN.14.20	And we praise God Most High,
GEN.14.20	who has helped you to defeat your enemies.”
GEN.14.20	Then Abram gave Melchizedek a tenth of everything he had brought back from the battle.
GEN.14.21	The king of Sodom said to Abram, “You may keep all these things for yourself. Just give me my people who were captured.”
GEN.14.22	But Abram said to the king of Sodom, “I make a promise to the L
GEN.14.23	I promise that I will not keep anything that is yours. I will not keep even a thread or a sandal strap so that you cannot say, ‘I made Abram rich.’ 
GEN.14.24	I will keep nothing but the food my young men have eaten. But give Aner, Eshcol, and Mamre their share of what we won, because they went with me into battle.”
GEN.15.1	After these things happened, the L
GEN.15.2	But Abram said, “Lord G
GEN.15.3	Abram said, “Look, you have given me no son, so a slave born in my house will inherit everything I have.”
GEN.15.4	Then the L
GEN.15.5	Then God led Abram outside and said, “Look at the sky. There are so many stars you cannot count them. Your descendants also will be too many to count.”
GEN.15.6	Abram believed the L
GEN.15.7	God said to Abram, “I am the L
GEN.15.8	But Abram said, “Lord G
GEN.15.9	The L
GEN.15.10	Abram brought them all to God. Then Abram killed the animals and cut each of them into two pieces, laying each half opposite the other half. But he did not cut the birds in half. 
GEN.15.11	Later, large birds flew down to eat the animals, but Abram chased them away.
GEN.15.12	As the sun was going down, Abram fell into a deep sleep. While he was asleep, a very terrible darkness came. 
GEN.15.13	Then the L
GEN.15.14	But I will punish the nation where they are slaves. Then your descendants will leave that land, taking great wealth with them. 
GEN.15.15	And you, Abram, will die in peace and will be buried at an old age. 
GEN.15.16	After your great-great-grandchildren are born, your people will come to this land again. It will take that long, because I am not yet going to punish the Amorites for their evil behavior.”
GEN.15.17	After the sun went down, it was very dark. Suddenly a smoking firepot and a blazing torch passed between the halves of the dead animals. 
GEN.15.18	So on that day the L
GEN.15.19	This is the land of the Kenites, Kenizzites, Kadmonites, 
GEN.15.20	Hittites, Perizzites, Rephaites, 
GEN.15.21	Amorites, Canaanites, Girgashites, and Jebusites.”
GEN.16.1	Sarai, Abram’s wife, had no children, but she had a slave girl from Egypt named Hagar. 
GEN.16.2	Sarai said to Abram, “Look, the L
GEN.16.2	Abram did what Sarai said. 
GEN.16.3	It was after he had lived ten years in Canaan that Sarai gave Hagar to her husband Abram. (Hagar was her slave girl from Egypt.)
GEN.16.4	Abram had sexual relations with Hagar, and she became pregnant. When Hagar learned she was pregnant, she began to treat her mistress Sarai badly. 
GEN.16.5	Then Sarai said to Abram, “This is your fault. I gave my slave girl to you, and when she became pregnant, she began to treat me badly. Let the L
GEN.16.6	But Abram said to Sarai, “You are Hagar’s mistress. Do anything you want to her.” Then Sarai was hard on Hagar, and Hagar ran away.
GEN.16.7	The angel of the L
GEN.16.8	The angel said, “Hagar, Sarai’s slave girl, where have you come from? Where are you going?”
GEN.16.8	Hagar answered, “I am running away from my mistress Sarai.”
GEN.16.9	The angel of the L
GEN.16.10	The angel also said, “I will give you so many descendants they cannot be counted.”
GEN.16.11	The angel added,
GEN.16.11	“You are now pregnant,
GEN.16.11	and you will have a son.
GEN.16.11	You will name him Ishmael,
GEN.16.11	because the L
GEN.16.12	Ishmael will be like a wild donkey.
GEN.16.12	He will be against everyone,
GEN.16.12	and everyone will be against him.
GEN.16.12	He will attack all his brothers.”
GEN.16.13	The slave girl gave a name to the L
GEN.16.14	So the well there, between Kadesh and Bered, was called Beer Lahai Roi.
GEN.16.15	Hagar gave birth to a son for Abram, and Abram named him Ishmael. 
GEN.16.16	Abram was eighty-six years old when Hagar gave birth to Ishmael.
GEN.17.1	When Abram was ninety-nine years old, the L
GEN.17.2	I will make an agreement between us, and I will make you the ancestor of many people.”
GEN.17.3	Then Abram bowed facedown on the ground. God said to him, 
GEN.17.4	“I am making my agreement with you: I will make you the father of many nations. 
GEN.17.5	I am changing your name from Abram to Abraham because I am making you a father of many nations. 
GEN.17.6	I will give you many descendants. New nations will be born from you, and kings will come from you. 
GEN.17.7	And I will make an agreement between me and you and all your descendants from now on: I will be your God and the God of all your descendants. 
GEN.17.8	You live in the land of Canaan now as a stranger, but I will give you and your descendants all this land forever. And I will be the God of your descendants.”
GEN.17.9	Then God said to Abraham, “You and your descendants must keep this agreement from now on. 
GEN.17.10	This is my agreement with you and all your descendants, which you must obey: Every male among you must be circumcised. 
GEN.17.11	Cut away your foreskin to show that you are prepared to follow the agreement between me and you. 
GEN.17.12	From now on when a baby boy is eight days old, you will circumcise him. This includes any boy born among your people or any who is your slave, who is not one of your descendants. 
GEN.17.13	Circumcise every baby boy whether he is born in your family or bought as a slave. Your bodies will be marked to show that you are part of my agreement that lasts forever. 
GEN.17.14	Any male who is not circumcised will be cut off from his people, because he has broken my agreement.”
GEN.17.15	God said to Abraham, “I will change the name of Sarai, your wife, to Sarah. 
GEN.17.16	I will bless her and give her a son, and you will be the father. She will be the mother of many nations. Kings of nations will come from her.”
GEN.17.17	Abraham bowed facedown on the ground and laughed. He said to himself, “Can a man have a child when he is a hundred years old? Can Sarah give birth to a child when she is ninety?” 
GEN.17.18	Then Abraham said to God, “Please let Ishmael be the son you promised.”
GEN.17.19	God said, “No, Sarah your wife will have a son, and you will name him Isaac. I will make my agreement with him to be an agreement that continues forever with all his descendants.
GEN.17.20	“As for Ishmael, I have heard you. I will bless him and give him many descendants. And I will cause their numbers to grow greatly. He will be the father of twelve great leaders, and I will make him into a great nation. 
