GEN.1.1	In the beginning, God
GEN.13.11	So Lot chose the Plain of the Jordan for himself. Lot travelled east, and they separated themselves from one other. 
GEN.13.12	Abram lived in the land of Canaan, and Lot lived in the cities of the plain, and moved his tent as far as Sodom. 
GEN.13.13	Now the men of Sodom were exceedingly wicked and sinners against the 
GEN.13.14	The 
GEN.13.15	for I will give all the land which you see to you and to your offspring forever. 
GEN.13.16	I will make your offspring as the dust of the earth, so that if a man can count the dust of the earth, then your offspring may also be counted. 
GEN.13.17	Arise, walk through the land in its length and in its width; for I will give it to you.”
GEN.13.18	Abram moved his tent, and came and lived by the oaks of Mamre, which are in Hebron, and built an altar there to the 
GEN.14.1	In the days of Amraphel, king of Shinar; Arioch, king of Ellasar; Chedorlaomer, king of Elam; and Tidal, king of Goiim, 
GEN.14.2	they made war with Bera, king of Sodom; Birsha, king of Gomorrah; Shinab, king of Admah; Shemeber, king of Zeboiim; and the king of Bela (also called Zoar). 
GEN.14.3	All these joined together in the valley of Siddim (also called the Salt Sea). 
GEN.14.4	They served Chedorlaomer for twelve years, and in the thirteenth year they rebelled. 
GEN.14.5	In the fourteenth year Chedorlaomer and the kings who were with him came and struck the Rephaim in Ashteroth Karnaim, the Zuzim in Ham, the Emim in Shaveh Kiriathaim, 
GEN.14.6	and the Horites in their Mount Seir, to El Paran, which is by the wilderness. 
GEN.14.7	They returned, and came to En Mishpat (also called Kadesh), and struck all the country of the Amalekites, and also the Amorites, that lived in Hazazon Tamar. 
GEN.14.8	The king of Sodom, and the king of Gomorrah, the king of Admah, the king of Zeboiim, and the king of Bela (also called Zoar) went out; and they set the battle in array against them in the valley of Siddim 
GEN.14.9	against Chedorlaomer king of Elam, Tidal king of Goiim, Amraphel king of Shinar, and Arioch king of Ellasar; four kings against the five. 
GEN.14.10	Now the valley of Siddim was full of tar pits; and the kings of Sodom and Gomorrah fled, and some fell there. Those who remained fled to the hills. 
GEN.14.11	They took all the goods of Sodom and Gomorrah, and all their food, and went their way. 
GEN.14.12	They took Lot, Abram’s brother’s son, who lived in Sodom, and his goods, and departed.
GEN.14.13	One who had escaped came and told Abram, the Hebrew. At that time, he lived by the oaks of Mamre, the Amorite, brother of Eshcol and brother of Aner. They were allies of Abram. 
GEN.14.14	When Abram heard that his relative was taken captive, he led out his three hundred and eighteen trained men, born in his house, and pursued as far as Dan. 
GEN.14.15	He divided himself against them by night, he and his servants, and struck them, and pursued them to Hobah, which is on the left hand of Damascus. 
GEN.14.16	He brought back all the goods, and also brought back his relative Lot and his goods, and the women also, and the other people.
GEN.14.17	The king of Sodom went out to meet him after his return from the slaughter of Chedorlaomer and the kings who were with him, at the valley of Shaveh (that is, the King’s Valley). 
GEN.14.18	Melchizedek king of Salem brought out bread and wine. He was priest of God Most High. 
GEN.14.19	He blessed him, and said, “Blessed be Abram of God Most High, possessor of heaven and earth. 
GEN.14.20	Blessed be God Most High, who has delivered your enemies into your hand.”
GEN.14.20	Abram gave him a tenth of all.
GEN.14.21	The king of Sodom said to Abram, “Give me the people, and take the goods for yourself.”
GEN.14.22	Abram said to the king of Sodom, “I have lifted up my hand to the 
GEN.14.23	that I will not take a thread nor a sandal strap nor anything that is yours, lest you should say, ‘I have made Abram rich.’ 
GEN.14.24	I will accept nothing from you except that which the young men have eaten, and the portion of the men who went with me: Aner, Eshcol, and Mamre. Let them take their portion.”
GEN.15.1	After these things the 
GEN.15.2	Abram said, “Lord
GEN.15.3	Abram said, “Behold, you have given no children to me: and, behold, one born in my house is my heir.”
GEN.15.4	Behold, the 
GEN.15.5	The 
GEN.15.6	He believed in the 
GEN.15.7	He said to Abram, “I am the 
GEN.15.8	He said, “Lord GOD, how will I know that I will inherit it?”
GEN.15.9	He said to him, “Bring me a heifer three years old, a female goat three years old, a ram three years old, a turtledove, and a young pigeon.” 
GEN.15.10	He brought him all these, and divided them in the middle, and laid each half opposite the other; but he didn’t divide the birds. 
GEN.15.11	The birds of prey came down on the carcasses, and Abram drove them away.
GEN.15.12	When the sun was going down, a deep sleep fell on Abram. Now terror and great darkness fell on him. 
GEN.15.13	He said to Abram, “Know for sure that your offspring will live as foreigners in a land that is not theirs, and will serve them. They will afflict them four hundred years. 
GEN.15.14	I will also judge that nation, whom they will serve. Afterward they will come out with great wealth; 
GEN.15.15	but you will go to your fathers in peace. You will be buried at a good old age. 
GEN.15.16	In the fourth generation they will come here again, for the iniquity of the Amorite is not yet full.” 
GEN.15.17	It came to pass that, when the sun went down, and it was dark, behold, a smoking furnace and a flaming torch passed between these pieces. 
GEN.15.18	In that day the 
GEN.15.19	the land of the Kenites, the Kenizzites, the Kadmonites, 
GEN.15.20	the Hittites, the Perizzites, the Rephaim, 
GEN.15.21	the Amorites, the Canaanites, the Girgashites, and the Jebusites.”
GEN.16.1	Now Sarai, Abram’s wife, bore him no children. She had a servant, an Egyptian, whose name was Hagar. 
GEN.16.2	Sarai said to Abram, “See now, the 
GEN.16.3	Sarai, Abram’s wife, took Hagar the Egyptian, her servant, after Abram had lived ten years in the land of Canaan, and gave her to Abram her husband to be his wife. 
GEN.16.4	He went in to Hagar, and she conceived. When she saw that she had conceived, her mistress was despised in her eyes. 
GEN.16.5	Sarai said to Abram, “This wrong is your fault. I gave my servant into your bosom, and when she saw that she had conceived, she despised me. May The 
GEN.16.6	But Abram said to Sarai, “Behold, your maid is in your hand. Do to her whatever is good in your eyes.” Sarai dealt harshly with her, and she fled from her face.
GEN.16.7	The 
GEN.16.8	He said, “Hagar, Sarai’s servant, where did you come from? Where are you going?”
GEN.16.8	She said, “I am fleeing from the face of my mistress Sarai.”
GEN.16.9	The 
GEN.16.10	The 
GEN.16.11	The 
GEN.16.12	He will be like a wild donkey amongst men. His hand will be against every man, and every man’s hand against him. He will live opposed to all of his brothers.”
GEN.16.13	She called the name of the 
GEN.16.14	Therefore the well was called Beer Lahai Roi.
GEN.16.15	Hagar bore a son for Abram. Abram called the name of his son, whom Hagar bore, Ishmael. 
GEN.16.16	Abram was eighty-six years old when Hagar bore Ishmael to Abram.
GEN.17.1	When Abram was ninety-nine years old, the 
GEN.17.2	I will make my covenant between me and you, and will multiply you exceedingly.”
GEN.17.3	Abram fell on his face. God talked with him, saying, 
GEN.17.4	“As for me, behold, my covenant is with you. You will be the father of a multitude of nations. 
GEN.17.5	Your name will no more be called Abram, but your name will be Abraham; for I have made you the father of a multitude of nations. 
GEN.17.6	I will make you exceedingly fruitful, and I will make nations of you. Kings will come out of you. 
GEN.17.7	I will establish my covenant between me and you and your offspring after you throughout their generations for an everlasting covenant, to be a God to you and to your offspring after you. 
GEN.17.8	I will give to you, and to your offspring after you, the land where you are travelling, all the land of Canaan, for an everlasting possession. I will be their God.”
GEN.17.9	God said to Abraham, “As for you, you shall keep my covenant, you and your offspring after you throughout their generations. 
GEN.17.10	This is my covenant, which you shall keep, between me and you and your offspring after you. Every male amongst you shall be circumcised. 
GEN.17.11	You shall be circumcised in the flesh of your foreskin. It will be a token of the covenant between me and you. 
GEN.17.12	He who is eight days old shall be circumcised amongst you, every male throughout your generations, he who is born in the house, or bought with money from any foreigner who is not of your offspring. 
GEN.17.13	He who is born in your house, and he who is bought with your money, must be circumcised. My covenant shall be in your flesh for an everlasting covenant. 
GEN.17.14	The uncircumcised male who is not circumcised in the flesh of his foreskin, that soul shall be cut off from his people. He has broken my covenant.”
GEN.17.15	God said to Abraham, “As for Sarai your wife, you shall not call her name Sarai, but her name shall be Sarah. 
