LKA.1.1	Many have undertaken to draw up an account of the things that have been fulfilled
LKA.8.35	and the people went out to see what had happened. When they came to Jesus, they found the man from whom the demons had gone out, sitting at Jesusʼ feet, dressed and in his right mind; and they were afraid. 
LKA.8.36	Those who had seen it told the people how the demon-possessed man had been cured. 
LKA.8.37	Then all the people of the region of the Gerasenes asked Jesus to leave them, because they were overcome with fear. So he got into the boat and left.
LKA.8.38	The man from whom the demons had gone out begged to go with him, but Jesus sent him away, saying, 
LKA.8.39	 So the man went away and told all over town how much Jesus had done for him.
LKA.8.40	Now when Jesus returned, a crowd welcomed him, for they were all expecting him. 
LKA.8.41	Then a man named Jairus, a synagogue leader, came and fell at Jesusʼ feet, pleading with him to come to his house 
LKA.8.42	because his only daughter, a girl of about twelve, was dying.
LKA.8.42	As Jesus was on his way, the crowds almost crushed him. 
LKA.8.43	And a woman was there who had been subject to bleeding for twelve years,
LKA.8.44	She came up behind him and touched the edge of his cloak, and immediately her bleeding stopped.
LKA.8.45	When they all denied it, Peter said, “Master, the people are crowding and pressing against you.”
LKA.8.46	But Jesus said, 
LKA.8.47	Then the woman, seeing that she could not go unnoticed, came trembling and fell at his feet. In the presence of all the people, she told why she had touched him and how she had been instantly healed. 
LKA.8.48	Then he said to her, 
LKA.8.49	While Jesus was still speaking, someone came from the house of Jairus, the synagogue leader. “Your daughter is dead,” he said. “Donʼt bother the teacher anymore.”
LKA.8.50	Hearing this, Jesus said to Jairus, 
LKA.8.51	When he arrived at the house of Jairus, he did not let anyone go in with him except Peter, John and James, and the childʼs father and mother. 
LKA.8.52	Meanwhile, all the people were wailing and mourning for her. 
LKA.8.53	They laughed at him, knowing that she was dead. 
LKA.8.54	But he took her by the hand and said, 
LKA.8.55	Her spirit returned, and at once she stood up. Then Jesus told them to give her something to eat. 
LKA.8.56	Her parents were astonished, but he ordered them not to tell anyone what had happened.
LKA.9.1	When Jesus had called the Twelve together, he gave them power and authority to drive out all demons and to cure diseases, 
LKA.9.2	and he sent them out to proclaim the kingdom of God and to heal the sick. 
LKA.9.3	He told them: 
LKA.9.6	So they set out and went from village to village, proclaiming the good news and healing people everywhere.
LKA.9.7	Now Herod the tetrarch heard about all that was going on. And he was perplexed because some were saying that John had been raised from the dead, 
LKA.9.8	others that Elijah had appeared, and still others that one of the prophets of long ago had come back to life. 
LKA.9.9	But Herod said, “I beheaded John. Who, then, is this I hear such things about?” And he tried to see him.
LKA.9.10	When the apostles returned, they reported to Jesus what they had done. Then he took them with him and they withdrew by themselves to a town called Bethsaida, 
LKA.9.11	but the crowds learned about it and followed him. He welcomed them and spoke to them about the kingdom of God, and healed those who needed healing.
LKA.9.12	Late in the afternoon the Twelve came to him and said, “Send the crowd away so they can go to the surrounding villages and countryside and find food and lodging, because we are in a remote place here.”
LKA.9.13	He replied, 
LKA.9.13	They answered, “We have only five loaves of bread and two fish — unless we go and buy food for all this crowd.” 
LKA.9.14	(About five thousand men were there.)
LKA.9.14	But he said to his disciples, 
LKA.9.15	The disciples did so, and everyone sat down. 
LKA.9.16	Taking the five loaves and the two fish and looking up to heaven, he gave thanks and broke them. Then he gave them to the disciples to distribute to the people. 
LKA.9.17	They all ate and were satisfied, and the disciples picked up twelve basketfuls of broken pieces that were left over.
LKA.9.18	Once when Jesus was praying in private and his disciples were with him, he asked them, 
LKA.9.19	They replied, “Some say John the Baptist; others say Elijah; and still others, that one of the prophets of long ago has come back to life.”
LKA.9.20	Peter answered, “Godʼs Messiah.”
LKA.9.21	Jesus strictly warned them not to tell this to anyone. 
LKA.9.22	And he said, 
LKA.9.23	Then he said to them all: 
LKA.9.28	About eight days after Jesus said this, he took Peter, John and James with him and went up onto a mountain to pray. 
LKA.9.29	As he was praying, the appearance of his face changed, and his clothes became as bright as a flash of lightning. 
LKA.9.30	Two men, Moses and Elijah, appeared in glorious splendor, talking with Jesus. 
LKA.9.31	They spoke about his departure,
LKA.9.32	Peter and his companions were very sleepy, but when they became fully awake, they saw his glory and the two men standing with him. 
LKA.9.33	As the men were leaving Jesus, Peter said to him, “Master, it is good for us to be here. Let us put up three shelters — one for you, one for Moses and one for Elijah.” (He did not know what he was saying.)
LKA.9.34	While he was speaking, a cloud appeared and covered them, and they were afraid as they entered the cloud. 
LKA.9.35	A voice came from the cloud, saying, “This is my Son, whom I have chosen; listen to him.” 
LKA.9.36	When the voice had spoken, they found that Jesus was alone. The disciples kept this to themselves and did not tell anyone at that time what they had seen.
LKA.9.37	The next day, when they came down from the mountain, a large crowd met him. 
LKA.9.38	A man in the crowd called out, “Teacher, I beg you to look at my son, for he is my only child. 
LKA.9.39	A spirit seizes him and he suddenly screams; it throws him into convulsions so that he foams at the mouth. It scarcely ever leaves him and is destroying him. 
LKA.9.40	I begged your disciples to drive it out, but they could not.”
LKA.9.42	Even while the boy was coming, the demon threw him to the ground in a convulsion. But Jesus rebuked the impure spirit, healed the boy and gave him back to his father. 
LKA.9.43	And they were all amazed at the greatness of God.
LKA.9.43	While everyone was marveling at all that Jesus did, he said to his disciples, 
LKA.9.45	But they did not understand what this meant. It was hidden from them, so that they did not grasp it, and they were afraid to ask him about it.
LKA.9.46	An argument started among the disciples as to which of them would be the greatest. 
LKA.9.47	Jesus, knowing their thoughts, took a little child and had him stand beside him. 
LKA.9.48	Then he said to them, 
LKA.9.49	“Master,” said John, “we saw someone driving out demons in your name and we tried to stop him, because he is not one of us.”
LKA.9.51	As the time approached for him to be taken up to heaven, Jesus resolutely set out for Jerusalem. 
LKA.9.52	And he sent messengers on ahead, who went into a Samaritan village to get things ready for him; 
LKA.9.53	but the people there did not welcome him, because he was heading for Jerusalem. 
LKA.9.54	When the disciples James and John saw this, they asked, “Lord, do you want us to call fire down from heaven to destroy them
LKA.9.55	But Jesus turned and rebuked them. 
LKA.9.56	Then he and his disciples went to another village.
LKA.9.57	As they were walking along the road, a man said to him, “I will follow you wherever you go.”
LKA.9.58	Jesus replied, 
LKA.9.59	He said to another man, 
LKA.9.59	But he replied, “Lord, first let me go and bury my father.”
LKA.9.60	Jesus said to him, 
LKA.9.61	Still another said, “I will follow you, Lord; but first let me go back and say goodbye to my family.”
LKA.9.62	Jesus replied, 
LKA.10.1	After this the Lord appointed seventy-two
LKA.10.2	He told them, 
LKA.10.17	The seventy-two returned with joy and said, “Lord, even the demons submit to us in your name.”
LKA.10.18	He replied, 
LKA.10.21	At that time Jesus, full of joy through the Holy Spirit, said, 
LKA.10.23	Then he turned to his disciples and said privately, 
LKA.10.25	On one occasion an expert in the law stood up to test Jesus. “Teacher,” he asked, “what must I do to inherit eternal life?”
LKA.10.27	He answered, “ ‘Love the Lord your God with all your heart and with all your soul and with all your strength and with all your mind’
LKA.10.29	But he wanted to justify himself, so he asked Jesus, “And who is my neighbor?”
LKA.10.30	In reply Jesus said: 
LKA.10.37	The expert in the law replied, “The one who had mercy on him.”
LKA.10.37	Jesus told him, 
LKA.10.38	As Jesus and his disciples were on their way, he came to a village where a woman named Martha opened her home to him. 
LKA.10.39	She had a sister called Mary, who sat at the Lordʼs feet listening to what he said. 
LKA.10.40	But Martha was distracted by all the preparations that had to be made. She came to him and asked, “Lord, donʼt you care that my sister has left me to do the work by myself? Tell her to help me!”
LKA.11.1	One day Jesus was praying in a certain place. When he finished, one of his disciples said to him, “Lord, teach us to pray, just as John taught his disciples.”
LKA.11.2	He said to them, 
LKA.11.5	Then Jesus said to them, 
LKA.11.14	Jesus was driving out a demon that was mute. When the demon left, the man who had been mute spoke, and the crowd was amazed. 
LKA.11.15	But some of them said, “By Beelzebul, the prince of demons, he is driving out demons.” 
LKA.11.16	Others tested him by asking for a sign from heaven.
LKA.11.17	Jesus knew their thoughts and said to them: 
LKA.11.27	As Jesus was saying these things, a woman in the crowd called out, “Blessed is the mother who gave you birth and nursed you.”
