GEN.1.1	 In the beginning God created heaven and earth.
EXO.29.2	 Use the finest wheat flour, but no yeast, and bake some loaves of bread, some rings of bread made with olive oil, and some wafers brushed with olive oil. 
EXO.29.3	 Put the bread in a basket, and bring the basket along with the young bull and the two rams.
EXO.29.4	 “Then bring Aaron and his sons to the entrance of the tent of meeting, and wash them. 
EXO.29.5	 Take the clothes, and put them on Aaron—the linen robe, the ephod and the robe that is worn with it, and the breastplate. Use the belt to tie it on him tightly. 
EXO.29.6	 Put his turban on him, and fasten the holy crown to it. 
EXO.29.7	 Take the anointing oil, pour it on his head, and anoint him.
EXO.29.8	 “Have his sons come forward. Dress them in their linen robes, 
EXO.29.9	 and put turbans on them. Tie belts around the waists of Aaron and his sons. They alone are to be priests; this is a permanent law. In this way you will ordain Aaron and his sons.
EXO.29.10	 “Then bring the young bull to the front of the tent of meeting. Aaron and his sons will place their hands on its head. 
EXO.29.11	 Slaughter the bull in the L
EXO.29.12	 Take some of the bull’s blood, and put it on the horns of the altar with your finger. Pour the rest of it out at the bottom of the altar.
EXO.29.13	 “Then take all the fat that covers the internal organs, the lobe of the liver, and the two kidneys with the fat on them, and burn them on the altar. 
EXO.29.14	 But burn the bull’s meat, skin, and excrement outside the camp. It is an offering for sin.
EXO.29.15	 “Take one of the rams. Then Aaron and his sons will place their hands on its head. 
EXO.29.16	 Slaughter it, take the blood, and throw it against the altar on all sides. 
EXO.29.17	 Cut the ram into pieces, wash the internal organs and legs, and put them with the other pieces and the head. 
EXO.29.18	 Then burn the whole ram on the altar. It’s a burnt offering, a soothing aroma, an offering by fire to the L
EXO.29.19	 “Take the other ram. Then Aaron and his sons will place their hands on its head. 
EXO.29.20	 Slaughter it, take some of the blood, and put it on the right ear lobes of Aaron and his sons, on their right thumbs, and on the big toes of their right feet. Throw the ⌊rest of the⌋ blood against the altar on all sides. 
EXO.29.21	 Take some of the blood that is on the altar and some of the anointing oil, and sprinkle it on Aaron and his clothes and on his sons and their clothes. In this way Aaron, his sons, and their clothes will be holy.
EXO.29.22	 “From this ⌊same⌋ ram take the fat, the fat from the tail, the fat that covers the internal organs, the lobe of the liver, the two kidneys with the fat on them, and the right thigh. (This is the ram for the ordination.) 
EXO.29.23	 From the basket of unleavened bread which is in the L
EXO.29.24	 Put all of these in the hands of Aaron and his sons, who will offer them to the L
EXO.29.25	 Then take them from their hands, and burn them on the altar on top of the burnt offering. It’s a soothing aroma in the L
EXO.29.26	 “Take the breast from the ram used for Aaron’s ordination, and present it to the L
EXO.29.27	 Set apart as holy the breast that is offered to the L
EXO.29.28	 It is a permanent law that the Israelites give this portion to Aaron and his sons as a contribution. This will also be their contribution to the L
EXO.29.29	 “Aaron’s holy clothes will belong to his descendants so that they can be anointed and ordained in them. 
EXO.29.30	 The son who succeeds him as priest—the one who goes into the tent of meeting to serve in the holy place—will wear them for seven days.
EXO.29.31	 “Take the ram used for the ordination, and boil its meat in a holy place. 
EXO.29.32	 At the entrance to the tent of meeting, Aaron and his sons will eat the meat of the ram and the bread ⌊left⌋ in the basket. 
EXO.29.33	 They will eat those offerings through which they made peace with the L
EXO.29.34	 If any meat or bread from the ordination is left over until morning, burn it up. It must not be eaten because it is holy.
EXO.29.35	 “Do this with Aaron and his sons exactly as I have commanded you. Take seven days to ordain them. 
EXO.29.36	 Each day sacrifice a young bull as an offering to make peace with the L
EXO.29.37	 For seven days at the altar make peace with the L
EXO.29.38	 “This is what you are to offer on the altar regularly every day: two one-year-old lambs. 
EXO.29.39	 Offer one in the morning and the other at dusk. 
EXO.29.40	 With the first lamb make an offering of eight cups of flour mixed with one quart of virgin olive oil. Make a wine offering of one quart of wine. 
EXO.29.41	 Offer the other lamb at dusk, and with it make the same grain offering and wine offering as in the morning. This is a soothing aroma, an offering by fire to the L
EXO.29.42	 “For generations to come this will be the daily burnt offering ⌊made⌋ in the L
EXO.29.43	 I will also meet with the Israelites there, and my glory will make this place holy. 
EXO.29.44	 I will dedicate the tent of meeting and the altar for their holy purposes. I will set Aaron and his sons apart for their holy duties of serving me as priests.
EXO.29.45	 “Then I will live among the Israelites and be their God. 
EXO.29.46	 They will know that I am the L
EXO.30.1	 ⌊The L
EXO.30.2	 Make it 18 inches square and 36 inches high. The horns and altar must be made out of one piece ⌊of wood⌋. 
EXO.30.3	 Cover all of it with pure gold—the top, the sides, and the horns. Put a gold molding around it. 
EXO.30.4	 Make two gold rings, and put them below the molding on opposite sides to hold the poles for carrying it. 
EXO.30.5	 Make the poles out of acacia wood, and cover them with gold. 
EXO.30.6	 Put the altar in front of the canopy which ⌊hangs⌋ over the ark containing the words of my promise. I will meet with you there in front of the throne of mercy that is on the ark.
EXO.30.7	 “Aaron must burn sweet-smelling incense on this altar every morning when he takes care of the lamps. 
EXO.30.8	 Also, when Aaron lights the lamps at dusk, he must burn incense. For generations to come an incense offering must burn constantly in the L
EXO.30.9	 “Never burn any unauthorized incense on this altar or any burnt offerings or grain offerings. Never pour a wine offering on it. 
EXO.30.10	 Once a year Aaron must make peace with the L
EXO.30.11	 Then the L
EXO.30.12	 “When you take a census of the Israelites, each person must pay the L
EXO.30.13	 As each person is counted, he must give one-fifth of an ounce of silver using the standard weight of the holy place.
EXO.30.14	 Everyone counted who is at least 20 years old must give this contribution to the L
EXO.30.15	 The rich must not give more than one-fifth of an ounce of silver, and the poor must not give less. This contribution is given to make peace with the L
EXO.30.16	 Take the money the Israelites give to make peace with the L
EXO.30.17	 The L
EXO.30.18	 “Make a bronze basin with a bronze stand for washing. Put it between the tent of meeting and the altar, and fill it with water. 
EXO.30.19	 Aaron and his sons will use it for washing their hands and feet. 
EXO.30.20	 Before they go into the tent of meeting, they must wash so that they will not die. Before they come near the altar to serve as priests and burn an offering by fire to the L
EXO.30.21	 they will wash their hands and feet so that they will not die. This will be a permanent law for him and his descendants for generations to come.”
EXO.30.22	 The L
EXO.30.23	 “Take the finest spices: 12½ pounds of powdered 
EXO.30.24	 12½ pounds of cassia—all weighed using the standard weight of the holy place—and 4 quarts of olive oil. 
EXO.30.25	 Have a perfumer make these into a holy oil, a fragrant mixture, used only for anointing. This will be the holy oil used for anointing.
EXO.30.26	 “Use it to anoint the tent of meeting, the ark containing the words of my promise, 
EXO.30.27	 the table and all the dishes, the lamp stand and all the utensils, the altar for incense, 
EXO.30.28	 the altar for burnt offerings and all its accessories, and the basin with its stand. 
EXO.30.29	 In this way you will dedicate them for their holy purpose. Then they will be most holy, and anything that touches them will become holy. 
EXO.30.30	 Anoint Aaron and his sons as well. In this way you will set them apart for their holy duties of serving me as priests.
EXO.30.31	 “Say to the Israelites, ‘For generations to come, this will be my holy oil used only for anointing. 
EXO.30.32	 It must never be poured on the bodies of other people. Never make any perfumed oil using this formula. It is holy, and you must treat it as holy. 
EXO.30.33	 Whoever prepares a perfume like this or puts it on anyone who is not a priest must be excluded from the people.’ ”
EXO.30.34	 The L
EXO.30.35	 Have a perfumer make it into fragrant incense, seasoned with salt, pure and holy. 
EXO.30.36	 Grind some of it into a fine powder, and put it in front of ⌊the ark containing⌋ the words of my promise in the tent of meeting, where I will meet with you. You must treat it as most holy. 
