GEN.1.2	The earth was without form and void, and darkness was upon the face of the deep; and the Spirit
2SA.4.4	Jonathan, the son of Saul, had a son who was crippled in his feet. He was five years old when the news about Saul and Jonathan came from Jezreel; and his nurse took him up, and fled; and, as she fled in her haste, he fell, and became lame. And his name was Mephibosheth.
2SA.4.5	Now the sons of Rimmon the Be-erothite, Rechab and Baanah, set out, and about the heat of the day they came to the house of Ish-bosheth, as he was taking his noonday rest. 
2SA.4.6	And behold, the doorkeeper of the house had been cleaning wheat, but she grew drowsy and slept; so Rechab and Baanah his brother slipped in.
2SA.4.7	When they came into the house, as he lay on his bed in his bedchamber, they smote him, and slew him, and beheaded him. They took his head, and went by the way of the Arabah all night, 
2SA.4.8	and brought the head of Ish-bosheth to David at Hebron. And they said to the king, “Here is the head of Ish-bosheth, the son of Saul, your enemy, who sought your life; the 
2SA.4.9	But David answered Rechab and Baanah his brother, the sons of Rimmon the Be-erothite, “As the 
2SA.4.10	when one told me, ‘Behold, Saul is dead,’ and thought he was bringing good news, I seized him and slew him at Ziklag, which was the reward I gave him for his news. 
2SA.4.11	How much more, when wicked men have slain a righteous man in his own house upon his bed, shall I not now require his blood at your hand, and destroy you from the earth?” 
2SA.4.12	And David commanded his young men, and they killed them, and cut off their hands and feet, and hanged them beside the pool at Hebron. But they took the head of Ish-bosheth, and buried it in the tomb of Abner at Hebron.
2SA.5.2	In times past, when Saul was king over us, it was you that led out and brought in Israel; and the 
2SA.5.3	So all the elders of Israel came to the king at Hebron; and King David made a covenant with them at Hebron before the 
2SA.5.4	 David was thirty years old when he began to reign, and he reigned forty years. 
2SA.5.5	At Hebron he reigned over Judah seven years and six months; and at Jerusalem he reigned over all Israel and Judah thirty-three years.
2SA.5.7	Nevertheless David took the stronghold of Zion, that is, the city of David. 
2SA.5.8	And David said on that day, “Whoever would smite the Jebusites, let him get up the water shaft to attack the lame and the blind, who are hated by David's soul.” Therefore it is said, “The blind and the lame shall not come into the house.” 
2SA.5.9	And David dwelt in the stronghold, and called it the city of David. And David built the city round about from the Millo inward. 
2SA.5.10	And David became greater and greater, for the 
2SA.5.12	And David perceived that the 
2SA.5.13	And David took more concubines and wives from Jerusalem, after he came from Hebron; and more sons and daughters were born to David. 
2SA.5.14	 And these are the names of those who were born to him in Jerusalem: Shammu-a, Shobab, Nathan, Solomon, 
2SA.5.15	Ibhar, Elishu-a, Nepheg, Japhia, 
2SA.5.16	Elishama, Eliada, and Eliphelet.
2SA.5.18	Now the Philistines had come and spread out in the valley of Rephaim. 
2SA.5.19	And David inquired of the 
2SA.5.20	And David came to Baal-perazim, and David defeated them there; and he said, “The 
2SA.5.21	And the Philistines left their idols there, and David and his men carried them away.
2SA.5.23	And when David inquired of the 
2SA.5.24	And when you hear the sound of marching in the tops of the balsam trees, then bestir yourself; for then the 
2SA.5.25	And David did as the 
2SA.6.2	And David arose and went with all the people who were with him from Baale-judah, to bring up from there the ark of God, which is called by the name of the 
2SA.6.3	And they carried the ark of God upon a new cart, and brought it out of the house of Abinadab which was on the hill; and Uzzah and Ahio,
2SA.6.4	with the ark of God; and Ahio
2SA.6.5	And David and all the house of Israel were making merry before the 
2SA.6.6	And when they came to the threshing floor of Nacon, Uzzah put out his hand to the ark of God and took hold of it, for the oxen stumbled. 
2SA.6.7	And the anger of the 
2SA.6.8	And David was angry because the 
2SA.6.9	And David was afraid of the 
2SA.6.10	So David was not willing to take the ark of the 
2SA.6.11	And the ark of the 
2SA.6.13	and when those who bore the ark of the 
2SA.6.14	And David danced before the 
2SA.6.15	So David and all the house of Israel brought up the ark of the 
2SA.6.16	As the ark of the 
2SA.6.17	And they brought in the ark of the 
2SA.6.18	And when David had finished offering the burnt offerings and the peace offerings, he blessed the people in the name of the 
2SA.6.19	and distributed among all the people, the whole multitude of Israel, both men and women, to each a cake of bread, a portion of meat,
2SA.6.20	And David returned to bless his household. But Michal the daughter of Saul came out to meet David, and said, “How the king of Israel honored himself today, uncovering himself today before the eyes of his servants' maids, as one of the vulgar fellows shamelessly uncovers himself!” 
2SA.6.21	And David said to Michal, “It was before the 
2SA.6.22	I will make myself yet more contemptible than this, and I will be abased in your
2SA.6.23	And Michal the daughter of Saul had no child to the day of her death.
2SA.7.2	the king said to Nathan the prophet, “See now, I dwell in a house of cedar, but the ark of God dwells in a tent.” 
2SA.7.3	And Nathan said to the king, “Go, do all that is in your heart; for the 
2SA.7.4	But that same night the word of the 
2SA.7.5	“Go and tell my servant David, ‘Thus says the 
2SA.7.6	I have not dwelt in a house since the day I brought up the people of Israel from Egypt to this day, but I have been moving about in a tent for my dwelling. 
2SA.7.7	In all places where I have moved with all the people of Israel, did I speak a word with any of the judges
2SA.7.8	Now therefore thus you shall say to my servant David, ‘Thus says the 
2SA.7.9	and I have been with you wherever you went, and have cut off all your enemies from before you; and I will make for you a great name, like the name of the great ones of the earth. 
2SA.7.10	And I will appoint a place for my people Israel, and will plant them, that they may dwell in their own place, and be disturbed no more; and violent men shall afflict them no more, as formerly, 
2SA.7.11	from the time that I appointed judges over my people Israel; and I will give you rest from all your enemies. Moreover the 
2SA.7.12	When your days are fulfilled and you lie down with your fathers, I will raise up your offspring after you, who shall come forth from your body, and I will establish his kingdom. 
2SA.7.13	He shall build a house for my name, and I will establish the throne of his kingdom for ever. 
2SA.7.14	 I will be his father, and he shall be my son. When he commits iniquity, I will chasten him with the rod of men, with the stripes of the sons of men; 
2SA.7.15	but I will not take
2SA.7.16	And your house and your kingdom shall be made sure for ever before me; your throne shall be established for ever.’ ” 
2SA.7.17	In accordance with all these words, and in accordance with all this vision, Nathan spoke to David.
2SA.7.18	Then King David went in and sat before the 
2SA.7.19	And yet this was a small thing in thy eyes, O Lord 
2SA.7.20	And what more can David say to thee? For thou knowest thy servant, O Lord 
2SA.7.21	Because of thy promise, and according to thy own heart, thou hast wrought all this greatness, to make thy servant know it. 
2SA.7.22	Therefore thou art great, O 
2SA.7.23	What other
2SA.7.24	And thou didst establish for thyself thy people Israel to be thy people for ever; and thou, O 
2SA.7.25	And now, O 
2SA.7.26	and thy name will be magnified for ever, saying, ‘The 
2SA.7.27	For thou, O 
2SA.7.28	And now, O Lord 
2SA.7.29	now therefore may it please thee to bless the house of thy servant, that it may continue for ever before thee; for thou, O Lord 
2SA.8.2	And he defeated Moab, and measured them with a line, making them lie down on the ground; two lines he measured to be put to death, and one full line to be spared. And the Moabites became servants to David and brought tribute.
