GEN.1.1	In the 
GEN.19.20	See now, this city 
GEN.19.21	And he said to him, “See, 
GEN.19.22	Hurry, escape there. For 
GEN.19.22	Therefore 
GEN.19.23	The sun had risen upon the earth when Lot entered Zoar. 
GEN.19.24	Then the 
GEN.19.25	So He overthrew those cities, all the plain, all the inhabitants of the cities, and 
GEN.19.26	But his wife looked back behind him, and she became 
GEN.19.27	And Abraham went early in the morning to the place where 
GEN.19.28	Then he looked toward Sodom and Gomorrah, and toward all the land of the plain; and he saw, and behold, 
GEN.19.29	And it came to pass, when God destroyed the cities of the plain, that God 
GEN.19.30	Then Lot went up out of Zoar and 
GEN.19.31	Now the firstborn said to the younger, “Our father 
GEN.19.32	Come, let us make our father drink wine, and we will lie with him, that we 
GEN.19.33	So they made their father drink wine that night. And the firstborn went in and lay with her father, and he did not know when she lay down or when she arose.
GEN.19.34	It happened on the next day that the firstborn said to the younger, “Indeed I lay with my father last night; let us make him drink wine tonight also, and you go in 
GEN.19.35	Then they made their father drink wine that night also. And the younger arose and lay with him, and he did not know when she lay down or when she arose.
GEN.19.36	Thus both the daughters of Lot were with child by their father. 
GEN.19.37	The firstborn bore a son and called his name Moab; 
GEN.19.38	And the younger, she also bore a son and called his name Ben-Ammi; 
GEN.20.1	And Abraham journeyed from 
GEN.20.2	Now Abraham said of Sarah his wife, 
GEN.20.3	But 
GEN.20.4	But Abimelech had not come near her; and he said, “Lord, 
GEN.20.5	Did he not say to me, ‘She 
GEN.20.6	And God said to him in a dream, “Yes, I know that you did this in the integrity of your heart. For 
GEN.20.7	Now therefore, restore the man’s wife; 
GEN.20.8	So Abimelech rose early in the morning, called all his servants, and told all these things in their hearing; and the men were very much afraid. 
GEN.20.9	And Abimelech called Abraham and said to him, “What have you done to us? How have I offended you, 
GEN.20.10	Then Abimelech said to Abraham, “What did you have in view, that you have done this thing?”
GEN.20.11	And Abraham said, “Because I thought, surely 
GEN.20.12	But indeed 
GEN.20.13	And it came to pass, when 
GEN.20.14	Then Abimelech 
GEN.20.15	And Abimelech said, “See, 
GEN.20.16	Then to Sarah he said, “Behold, I have given your brother a thousand 
GEN.20.17	So Abraham prayed 
GEN.20.18	for the 
GEN.21.1	And the 
GEN.21.2	For Sarah 
GEN.21.3	And Abraham called the name of his son who was born to him—whom Sarah bore to him—
GEN.21.4	Then Abraham 
GEN.21.5	Now 
GEN.21.6	And Sarah said, 
GEN.21.7	She also said, “Who would have said to Abraham that Sarah would nurse children? 
GEN.21.8	So the child grew and was weaned. And Abraham made a great feast on the same day that Isaac was weaned.
GEN.21.9	And Sarah saw the son of Hagar 
GEN.21.10	Therefore she said to Abraham, 
GEN.21.11	And the matter was very displeasing in Abraham’s sight 
GEN.21.12	But God said to Abraham, “Do not let it be displeasing in your sight because of the lad or because of your bondwoman. Whatever Sarah has said to you, listen to her voice; for 
GEN.21.13	Yet I will also make 
GEN.21.14	So Abraham rose early in the morning, and took bread and a skin of water; and putting 
GEN.21.15	And the water in the skin was used up, and she placed the boy under one of the shrubs. 
GEN.21.16	Then she went and sat down across from 
GEN.21.17	And 
GEN.21.18	Arise, lift up the lad and hold him with your hand, for 
GEN.21.19	Then 
GEN.21.20	So God 
GEN.21.21	He dwelt in the Wilderness of Paran; and his mother 
GEN.21.22	And it came to pass at that time that 
GEN.21.23	Now therefore, 
GEN.21.24	And Abraham said, “I will swear.”
GEN.21.25	Then Abraham rebuked Abimelech because of a well of water which Abimelech’s servants 
GEN.21.26	And Abimelech said, “I do not know who has done this thing; you did not tell me, nor had I heard 
GEN.21.27	So Abraham took sheep and oxen and gave them to Abimelech, and the two of them 
GEN.21.28	And Abraham set seven ewe lambs of the flock by themselves.
GEN.21.29	Then Abimelech asked Abraham, 
GEN.21.30	And he said, “You will take 
GEN.21.31	Therefore he 
GEN.21.32	Thus they made a covenant at Beersheba. So Abimelech rose with Phichol, the commander of his army, and they returned to the land of the Philistines. 
GEN.21.33	Then 
GEN.21.34	And Abraham stayed in the land of the Philistines many days.
GEN.22.1	Now it came to pass after these things that 
GEN.22.1	And he said, “Here I am.”
GEN.22.2	Then He said, “Take now your son, 
GEN.22.3	So Abraham rose early in the morning and saddled his donkey, and took two of his young men with him, and Isaac his son; and he split the wood for the burnt offering, and arose and went to the place of which God had told him. 
GEN.22.4	Then on the third day Abraham lifted his eyes and saw the place afar off. 
GEN.22.5	And Abraham said to his young men, “Stay here with the donkey; the lad and I will go yonder and worship, and we will 
GEN.22.6	So Abraham took the wood of the burnt offering and 
GEN.22.7	But Isaac spoke to Abraham his father and said, “My father!”
GEN.22.7	And he said, “Here I am, my son.”
GEN.22.7	Then he said, “Look, the fire and the wood, but where 
GEN.22.8	And Abraham said, “My son, God will provide for Himself the 
GEN.22.9	Then they came to the place of which God had told him. And Abraham built an altar there and placed the wood in order; and he bound Isaac his son and 
GEN.22.10	And Abraham stretched out his hand and took the knife to slay his son.
GEN.22.11	But the 
GEN.22.11	So he said, “Here I am.”
GEN.22.12	And He said, 
GEN.22.13	Then Abraham lifted his eyes and looked, and there behind 
GEN.22.14	And Abraham called the name of the place, The-
GEN.22.15	Then the Angel of the 
GEN.22.16	and said: 
GEN.22.17	blessing I will 
GEN.22.18	In your seed all the nations of the earth shall be blessed, 
GEN.22.19	So Abraham returned to his young men, and they rose and went together to 
GEN.22.20	Now it came to pass after these things that it was told Abraham, saying, “Indeed 
GEN.22.21	Huz his firstborn, Buz his brother, Kemuel the father 
GEN.22.22	Chesed, Hazo, Pildash, Jidlaph, and Bethuel.” 
GEN.22.23	And 
GEN.22.24	His concubine, whose name was Reumah, also bore Tebah, Gaham, Thahash, and Maachah.
GEN.23.1	Sarah lived one hundred and twenty-seven years; 
GEN.23.2	So Sarah died in 
GEN.23.3	Then Abraham stood up from before his dead, and spoke to the sons of 
GEN.23.4	“I 
GEN.23.5	And the sons of Heth answered Abraham, saying to him, 
GEN.23.6	“Hear us, my lord: You 
GEN.23.7	Then Abraham stood up and bowed himself to the people of the land, the sons of Heth. 
GEN.23.8	And he spoke with them, saying, “If it is your wish that I bury my dead out of my sight, hear me, and meet with Ephron the son of Zohar for me, 
GEN.23.9	that he may give me the cave of 
GEN.23.10	Now Ephron dwelt among the sons of Heth; and Ephron the Hittite answered Abraham in the presence of the sons of Heth, all who 
GEN.23.11	“No, my lord, hear me: I give you the field and the cave that 
GEN.23.12	Then Abraham bowed himself down before the people of the land; 
GEN.23.13	and he spoke to Ephron in the hearing of the people of the land, saying, “If you 
GEN.23.14	And Ephron answered Abraham, saying to him, 
GEN.23.15	“My lord, listen to me; the land 
GEN.23.16	And Abraham listened to Ephron; and Abraham 
GEN.23.17	So 
GEN.23.18	to Abraham as a possession in the presence of the sons of Heth, before all who went in at the gate of his city.
GEN.23.19	And after this, Abraham buried Sarah his wife in the cave of the field of Machpelah, before Mamre (that 
GEN.23.20	So the field and the cave that 
GEN.24.1	Now Abraham 
GEN.24.2	So Abraham said 
GEN.24.3	and I will make you 
GEN.24.4	but you shall go 
GEN.24.5	And the servant said to him, “Perhaps the woman will not be willing to follow me to this land. Must I take your son back to the land from which you came?”
GEN.24.6	But Abraham said to him, “Beware that you do not take my son back there. 
GEN.24.7	The 
GEN.24.8	And if the woman is not willing to follow you, then 
GEN.24.9	So the servant put his hand under the thigh of Abraham his master, and swore to him concerning this matter.
GEN.24.10	Then the servant took ten of his master’s camels and departed, 
GEN.24.11	And he made his camels kneel down outside the city by a well of water at evening time, the time 
GEN.24.12	Then he 
GEN.24.13	Behold, 
GEN.24.14	Now let it be that the young woman to whom I say, ‘Please let down your pitcher that I may drink,’ and she says, ‘Drink, and I will also give your camels a drink’—
GEN.24.15	And it happened, 
GEN.24.16	Now the young woman 
GEN.24.17	And the servant ran to meet her and said, “Please let me drink a little water from your pitcher.”
GEN.24.18	So she said, “Drink, my lord.” Then she quickly let her pitcher down to her hand, and gave him a drink. 
GEN.24.19	And when she had finished giving him a drink, she said, “I will draw 
GEN.24.20	Then she quickly emptied her pitcher into the trough, ran back to the well to draw 
GEN.24.21	And the man, wondering at her, remained silent so as to know whether 
GEN.24.22	So it was, when the camels had finished drinking, that the man took a golden 
GEN.24.23	and said, “Whose daughter 
GEN.24.24	So she said to him, 
GEN.24.25	Moreover she said to him, “We have both straw and feed enough, and room to lodge.”
GEN.24.26	Then the man 
GEN.24.27	And he said, 
GEN.24.28	So the young woman ran and told her mother’s household these things.
GEN.24.29	Now Rebekah had a brother whose name 
GEN.24.30	So it came to pass, when he saw the nose ring, and the bracelets on his sister’s wrists, and when he heard the words of his sister Rebekah, saying, “Thus the man spoke to me,” that he went to the man. And there he stood by the camels at the well. 
GEN.24.31	And he said, “Come in, 
GEN.24.32	Then the man came to the house. And he unloaded the camels, and 
GEN.24.33	 was set before him to eat, but he said, 
GEN.24.33	And he said, “Speak on.”
GEN.24.34	So he said, “I 
GEN.24.35	The 
GEN.24.36	And Sarah my master’s wife 
GEN.24.37	Now my master 
GEN.24.38	but you shall go to my father’s house and to my family, and take a wife for my son.’ 
GEN.24.39	And I said to my master, ‘Perhaps the woman will not follow me.’ 
GEN.24.40	But he said to me, ‘The 
GEN.24.41	You will be clear from this oath when you arrive among my family; for if they will not give 
GEN.24.42	“And this day I came to the well and said, 
GEN.24.43	behold, I stand by the well of water; and it shall come to pass that when the virgin comes out to draw 
GEN.24.44	and she says to me, “Drink, and I will draw for your camels also,”—
GEN.24.45	“But before I had finished 
GEN.24.46	And she made haste and let her pitcher down from her 
GEN.24.47	Then I asked her, and said, ‘Whose daughter 
GEN.24.48	And I bowed my head and worshiped the 
GEN.24.49	Now if you will 
GEN.24.50	Then Laban and Bethuel answered and said, 
GEN.24.51	Here 
GEN.24.52	And it came to pass, when Abraham’s servant heard their words, that 
GEN.24.53	Then the servant brought out 
GEN.24.54	And he and the men who 
GEN.24.55	But her brother and her mother said, “Let the young woman stay with us 
GEN.24.56	And he said to them, “Do not hinder me, since the 
GEN.24.57	So they said, “We will call the young woman and ask her personally.” 
GEN.24.58	Then they called Rebekah and said to her, “Will you go with this man?”
GEN.24.58	And she said, “I will go.”
GEN.24.59	So they sent away Rebekah their sister 
GEN.24.60	And they blessed Rebekah and said to her:
GEN.24.60	“Our sister, 
GEN.24.60	 And may your descendants possess
GEN.24.60	The gates of those who hate them.”
GEN.24.61	Then Rebekah and her maids arose, and they rode on the camels and followed the man. So the servant took Rebekah and departed.
GEN.24.62	Now Isaac came from the way of 
GEN.24.63	And Isaac went out 
GEN.24.64	Then Rebekah lifted her eyes, and when 
GEN.24.65	for she had said to the servant, “Who 
GEN.24.65	The servant said, “It 
GEN.24.66	And the servant told Isaac all the things that he had done. 
GEN.24.67	Then Isaac brought her into his mother Sarah’s tent; and he 
GEN.25.1	Abraham again took a wife, and her name 
GEN.25.2	And 
GEN.25.3	Jokshan begot Sheba and Dedan. And the sons of Dedan were Asshurim, Letushim, and Leummim. 
GEN.25.4	And the sons of Midian 
GEN.25.5	And 
GEN.25.6	But Abraham gave gifts to the sons of the concubines which Abraham had; and while he was still living he 
GEN.25.7	This 
GEN.25.8	Then Abraham breathed his last and 
GEN.25.9	And 
GEN.25.10	the field which Abraham purchased from the sons of Heth. 
GEN.25.11	And it came to pass, after the death of Abraham, that God blessed his son Isaac. And Isaac dwelt at 
GEN.25.12	Now this 
GEN.25.13	And 
GEN.25.14	Mishma, Dumah, Massa, 
GEN.25.15	Hadar, Tema, Jetur, Naphish, and Kedemah. 
GEN.25.16	These 
GEN.25.17	These 
GEN.25.18	(They dwelt from Havilah as far as Shur, which 
GEN.25.19	This 
GEN.25.20	Isaac was forty years old when he took Rebekah as wife, 
GEN.25.21	Now Isaac pleaded with the 
GEN.25.22	But the children struggled together within her; and she said, “If 
GEN.25.23	And the 
GEN.25.23	“Two nations 
GEN.25.23	Two peoples shall be separated from your body;
GEN.25.23	 people shall be stronger than 
GEN.25.23	And the older shall serve the younger.”
GEN.25.24	So when her days were fulfilled 
GEN.25.25	And the first came out red. 
GEN.25.26	Afterward his brother came out, and 
GEN.25.27	So the boys grew. And Esau was 
GEN.25.28	And Isaac loved Esau because he 
GEN.25.29	Now Jacob cooked a stew; and Esau came in from the field, and he 
GEN.25.30	And Esau said to Jacob, “Please feed me with that same red 
