GEN.1.1	I begyndelsen skabte Gud himlen og jorden. 
GEN.11.27	Det følgende er en liste over Teras efterkommere. Tera var far til Abram, Nakor og Haran. Haran fik en søn, der blev kaldt Lot, 
GEN.11.28	men døde ellers forholdsvis ung på sin fødeegn ved den kaldæiske by Ur. (Hans far, Tera, var stadig i live på det tidspunkt.)
GEN.11.29	Abram giftede sig med Saraj, og Nakor giftede sig med sin niece Milka, en datter af Haran og søster til Jiska. 
GEN.11.30	Saraj kunne ikke få børn. 
GEN.11.31	Tera tog sin søn Abram, sin svigerdatter Saraj og sit barnebarn Lot med sig og forlod sin hjemby Ur for at drage til Kanaʼans land. Men da de kom til byen Karan, slog de sig ned der. 
GEN.11.32	Tera blev 205 år gammel og døde i Karan.
GEN.12.1	Herren havde sagt
GEN.12.2	Jeg vil velsigne dig og gøre dig til stamfar for et mægtigt folk. Jeg vil gøre dig kendt vidt omkring, og du skal blive til velsignelse for mange. 
GEN.12.3	Jeg vil velsigne dem, der velsigner dig, og forbande dem, der forbander dig. Og gennem dig vil alle jordens folkeslag blive velsignet.”
GEN.12.4	Abram rejste nu videre til det land, Herren havde talt om, og Lot fulgte med ham. Abram var 75 år, da han forlod Karan. 
GEN.12.5	Han rejste til Kanaʼans land sammen med sin kone Saraj og sin nevø Lot, og han tog alle sine ejendele med og de slaver, han havde erhvervet sig i Karan. 
GEN.12.6	De fortsatte ind i landet og kom til Sikem, til Mores egetræ.
GEN.12.7	Dér viste Herren sig for Abram og sagde: „Jeg vil give dette land til dine efterkommere.” På det sted byggede Abram et alter for Herren, som havde vist sig for ham. 
GEN.12.8	Derpå forlod Abram stedet og rejste sydpå, indtil han kom til bjerglandet med Betel mod vest og Aj mod øst. Der slog han lejr og byggede et alter for at tilbede Herren. 
GEN.12.9	Derefter rejste han fra sted til sted i sydlig retning, indtil han bosatte sig i Negev.
GEN.12.10	Engang blev der hungersnød i landet, og det var så slemt, at Abram besluttede at rejse ned til Egypten med sin familie for at bo der en tid. 
GEN.12.11+GEN.12.12+GEN.12.13	Da de nærmede sig grænsen til Egypten, sagde Abram til Saraj: „Du er jo en virkelig smuk kvinde. Når nu egypterne ser dig, vil de sige: ‚Det er hans kone. Lad os slå ham ihjel og tage hende.’ Men hvis du så siger, at du er min søster, vil egypterne spare mit liv og behandle mig godt på grund af dig.” 
GEN.12.14	Og sådan gik det. Da de kom ind i Egypten, talte alle om Sarajs skønhed. 
GEN.12.15	Da embedsmændene ved paladset omtalte hende i rosende ord overfor Farao, blev Saraj hentet til hans harem. 
GEN.12.16	Abram blev godt behandlet på grund af Saraj. Farao gav ham får, køer, æsler, kameler og mange slaver, både mænd og kvinder.
GEN.12.17	Men Herren ramte Farao og hans hof med frygtelige plager på grund af Saraj, Abrams kone. 
GEN.12.18	Farao sendte da bud efter Abram. „Hvad er det dog, du har gjort imod mig?” råbte han. „Hvorfor fortalte du mig ikke, at hun var din kone? 
GEN.12.19	Hvordan kunne du sige, hun var din søster, så jeg tog hende til mit harem? Her er hun! Tag hende og forsvind!” 
GEN.12.20	Så blev Abram og hans kone, deres slaver og al deres ejendom eskorteret ud af landet.
GEN.13.1	Abram forlod så Egypten og rejste nordpå til Negev sammen med sin kone og Lot og al deres ejendom. 
GEN.13.2	Han var nu meget rig. Han havde meget kvæg og masser af sølv og guld. 
GEN.13.3+GEN.13.4	De fortsatte nordpå fra sted til sted, indtil de nåede Betel og det sted mellem Betel og Aj, hvor de tidligere havde slået lejr, og hvor Abram havde bygget et alter. Der ofrede han igen til Herren.
GEN.13.5	Lot, som fulgte med Abram, var også en velstående mand med mange får og køer og telte. 
GEN.13.6	Der var imidlertid ikke græs nok på stedet til deres mange dyr, så de kunne ikke blive ved at bo så tæt sammen. 
GEN.13.7	Kanaʼanæerne og perizzitterne boede jo også i landet. Så da det kom til slagsmål mellem Abrams og Lots hyrder, 
GEN.13.8	sagde Abram til Lot: „Det her går ikke. Der må ikke være strid mellem os eller mellem vores folk. Vi er jo trods alt i familie. 
GEN.13.9	Her er land nok. Så lad os hellere gå hver til sit. Hvis du går til venstre, så går jeg til højre; eller hvis du går til højre, så går jeg til venstre.”
GEN.13.10	Da Lot spejdede ud over landet, lagde han mærke til Jordandalens frugtbare slette, der strakte sig helt til Zoar. Det var før Sodoma og Gomorra blev ødelagt, og området var endnu frodigt som Edens have og Egyptens land. 
GEN.13.11	Lot valgte Jordandalen. Han tog afsked med Abram og gik mod øst. 
GEN.13.12	Abram blev altså i Kanaʼans land, mens Lot med sin teltlejr drog østpå fra sted til sted, indtil han nåede Sodoma, hvor han slog sig ned. 
GEN.13.13	Folkene dér var berygtet for deres store ondskab. De syndede groft imod Herren.
GEN.13.14	Efter at Lot var taget af sted, sagde Herren til Abram: „Se dig omkring til alle sider fra det sted, hvor du står. Se mod nord og mod syd, mod øst og mod vest. 
GEN.13.15	Jeg vil give dig og dine efterkommere hele dette land til evigt eje. 
GEN.13.16	Jeg vil gøre dine efterkommere så talrige som sandkornene på jorden. 
GEN.13.17	Rejs nu gennem landet på kryds og tværs og se nøje på det, for jeg vil give det til dig.” 
GEN.13.18	Så slog Abram lejr i Mamres egelund ved Hebron. Der byggede han et alter for Herren.
GEN.14.1	På det tidspunkt udbrød der krig i landet. Amrafel, kongen af Shinear, Arjok, kongen af Ellasar, Kedorlaomer, kongen af Elam, og Tidal, kongen af Gojim, 
GEN.14.2	kæmpede mod Bera, kongen af Sodoma, Birsha, kongen af Gomorra, Shinab, kongen af Adma, Shemeber, kongen af Sebojim, og kongen af Bela—også kaldet Zoar.
GEN.14.3	De sidstnævnte konger allierede sig og mobiliserede deres hære i Siddims dal ved Det Døde Hav.
GEN.14.4	I 12 år havde de været undertrykt af Kedorlaomer, men i det trettende år gjorde de oprør, 
GEN.14.5	og nu i det fjortende år var Kedorlaomer og hans allierede på vej imod dem. Efter at disse allierede hære havde slået refaitterne i Ashterot-Karnajim, zuzitterne i Ham, emitterne på Kirjatajimsletten 
GEN.14.6	og horitterne i Seirs bjerge og forfulgt dem helt til El-Paran ved ørkenens udkant, 
GEN.14.7	vendte de om og kom til En-Mishpat—det senere Kadesh—hvor de slog amalekitterne og de amoritter, der boede i Hatzetzon-Tamar.
GEN.14.8	Men nu rykkede kongerne af Sodoma, Gomorra, Adma, Sebojim og Bela altså ud i Siddims dal imod 
GEN.14.9	kong Kedorlaomer og hans allierede. Det var fire konger mod fem. 
GEN.14.10	Siddims dal var imidlertid fuld af asfaltgruber, og da Sodomas og Gomorras konger blev slået på flugt, faldt nogle af deres folk ned i gruberne, mens resten flygtede op i bjergene. 
GEN.14.11	Sejrherrerne kunne nu uden videre plyndre Sodoma og Gomorra for ejendele og levnedsmidler, hvorefter de drog bort. 
GEN.14.12	De tog Lot, Abrams nevø, og alt hvad han ejede, med sig—for han boede jo i Sodoma. 
GEN.14.13	En mand, som var undsluppet, kom og fortalte hebræeren Abram, hvad der var sket. Abram boede stadig i egelunden, der tilhørte amoritten Mamre, som var bror til Eshkol og Aner—Abrams allierede.
GEN.14.14	Da Abram hørte, at Lot var taget til fange, sammenkaldte han alle sine mandlige slaver, 318 i alt, og satte efter Kadorlaomers folk, til han indhentede dem oppe ved Dan. 
GEN.14.15	Han og folkene spredte sig, og i nattens løb overrumplede de fjenderne, slog dem og forfulgte dem helt til Hoba nord for Damaskus. 
GEN.14.16	Det lykkedes på den måde Abram at befri Lot og de øvrige krigsfanger, og han tog alt det med tilbage, som fjenderne havde taget i krigsbytte.
GEN.14.17	Da Abram vendte tilbage efter sejren over Kedorlaomer og de andre konger, kom Sodomas konge ham i møde i Shavedalen—også kaldet Kongedalen. 
GEN.14.18	Også Melkizedek, Jerusalems konge, som var den højeste Guds præst, kom ham i møde. Han havde brød og vin med. 
GEN.14.19+GEN.14.20	Han velsignede Abram med følgende ord: „Lovet være den højeste Gud, han, som er himlens og jordens skaber, han, som gav dig sejr over dine fjender. Må den højeste Guds velsignelse hvile over dig, Abram.” Så gav Abram ham en tiendedel af alt krigsbyttet.
GEN.14.21	Sodomas konge sagde til Abram: „Giv mig bare mine tilfangetagne folk tilbage. Krigsbyttet må du beholde.”
GEN.14.22	Men Abram svarede: „Jeg sværger ved Herren, den højeste Gud, himlens og jordens Skaber, 
GEN.14.23	at jeg ikke vil tage noget, som tilhører dig, ikke så meget som en tråd eller en sandalrem! Du skal ikke senere kunne sige, at du gjorde Abram rig. 
GEN.14.24	Men lad mine unge mænd få betaling for deres arbejde, og giv mine allierede, Aner, Eshkol og Mamre, deres del af krigsbyttet.”
GEN.15.1	Senere talte Herren til Abram i et syn: „Vær ikke bange, Abram, for jeg er med dig, og jeg vil belønne dig rigeligt.” 
GEN.15.2+GEN.15.3	„Men almægtige Herre,” udbrød Abram, „hvad skal jeg med din velsignelse, hvis jeg dør barnløs? Min tjener Eliezer kommer til at arve al min rigdom, for du har jo ikke givet mig en søn.” 
GEN.15.4	Men Herren svarede: „Nej, han skal ikke være din arving. Det skal din egen søn!”
GEN.15.5	Herren førte nu Abram udenfor og sagde: „Kig op mod himlen og prøv at tælle stjernerne. Dine efterkommere skal blive lige så talrige.” 
GEN.15.6	Abram troede på, hvad Herren sagde, og derfor blev han accepteret.
GEN.15.7	Herren fortsatte: „Jeg er Herren, som førte dig fra din hjemby Ur for at give dig det land, du nu bor i.” 
GEN.15.8	Men Abram indvendte: „Almægtige Herre, hvordan kan jeg være sikker på, at du vil give mig det?” 
GEN.15.9	Da sagde Herren: „Bring mig en treårs kvie, en treårs ged, en treårs vædder, en turteldue og en ung due.”
GEN.15.10	Abram hentede dyrene og slagtede dem. Så skar han dem midt igennem på langs og lagde halvdelene overfor hinanden. Dog skar han ikke fuglene over. 
GEN.15.11	Straks slog gribbene ned på de døde dyr, men Abram jog dem bort.
GEN.15.12	Hen mod aften faldt Abram i en dyb søvn, og et stort og frygteligt mørke sænkede sig over ham.
GEN.15.13	Da sagde Herren til Abram: „Dine efterkommere vil komme til at opleve slaveri og undertrykkelse i et fremmed land i 400 år, 
GEN.15.14	men jeg vil straffe det folk, som undertrykker dem, og til sidst skal dit folk rejse bort derfra med megen rigdom. 
GEN.15.15	(Dette skal dog ikke ske i din tid. Du skal nå en høj alder og dø i fred.) 
GEN.15.16	Fire generationer
GEN.15.17	Da Abram vågnede, var solen gået ned, og han så noget som en rygende ovn eller en flammende fakkel passere midt imellem halvdelene af de døde dyr. 
GEN.15.18	Sådan bekræftede Herren den dag pagten med Abram. „Jeg giver dette land til dig og dine efterkommere,” sagde han, „lige fra grænsen til Egypten mod syd og op til Eufratfloden mod nord—hele det område, 
GEN.15.19	som bebos af kenitterne, kenizzitterne, kadmonitterne, 
GEN.15.20	hittitterne, perizzitterne, refaitterne, 
GEN.15.21	amoritterne, kanaʼanæerne, girgashitterne og jebusitterne.”
GEN.16.1	Abrams kone, Saraj, kunne stadig ingen børn få, men hun havde en egyptisk slavepige, der hed Hagar. 
GEN.16.2+GEN.16.3	En dag sagde hun til Abram: „Herren har hindret mig i at få børn. Prøv du at gå ind til Hagar. Måske hun så får en søn, som jeg kan regne for min egen.”
GEN.16.2+GEN.16.3	Abram gik ind på forslaget, og Saraj gav ham egypterpigen Hagar som hans anden kone. Dette skete ti år efter, at Abram var kommet til Kanaʼans land. 
GEN.16.4	Men da Hagar blev gravid, viste hun foragt for Saraj.
GEN.16.5	Saraj beklagede sig til Abram: „Hvorfor tillader du Hagar at være nedladende overfor mig? Jeg gav dig min slavepige, for at jeg kunne få en søn, men nu hvor hun er gravid, har hun ingen respekt for mig. Må Herren selv dømme om du eller jeg har ret!”
GEN.16.6	„Siden hun er din slavepige, kan du gøre med hende, hvad du vil,” svarede Abram. Fra da af var Saraj så hård imod Hagar, at hun til sidst løb sin vej.
GEN.16.7	Herrens engel fandt hende ved en kilde langs den øde vej til Shur. 
GEN.16.8	Englen sagde til hende: „Hagar, Sarajs slavepige, hvor kommer du fra, og hvor er du på vej hen?” „Jeg er løbet væk fra min frue,” svarede hun. 
GEN.16.9	„Vend tilbage til din frue og adlyd hende,” fortsatte englen. 
GEN.16.10	„Jeg vil give dig flere efterkommere, end man kan tælle. 
GEN.16.11	Du skal føde en søn, som du skal give navnet Ishmael.
GEN.16.12	Men din søn bliver en mand med et hidsigt temperament og stædig som et æsel. Han vil være i oprør mod alle, og alle vil være imod ham. Selv sine nærmeste slægtninge vil han strides med.”
GEN.16.13	Efter den oplevelse omtalte Hagar altid Herren, der havde talt til hende, som „den Gud, der ser mig”, for—som hun sagde: „Jeg har set den Gud, som ser mig.” 
GEN.16.14	Senere blev stedet kaldt 
GEN.16.15	Så fødte Hagar en søn, og Abram kaldte ham Ishmael. 
GEN.16.16	På det tidspunkt var Abram 86 år gammel.
GEN.17.1	Da Abram var 99 år gammel, viste Herren sig for ham og sagde: „Jeg er den almægtige Gud! Adlyd mig og gør, hvad der er rigtigt. 
GEN.17.2	Jeg opretter en pagt med dig. Jeg lover dig, at dine efterkommere skal blive umådelig talrige.”
GEN.17.3	Abram bøjede sig med ansigtet mod jorden i ærefrygt, og Gud fortsatte: 
GEN.17.4	„Dette er mit pagtsløfte til dig: Du skal blive far til mange folkeslag. 
GEN.17.5	Jeg vil også give dig et andet navn. Du skal ikke længere hedde Abram, men Abraham
GEN.17.6	Mange folk vil se dig som deres far, og konger skal nedstamme fra dig. 
GEN.17.7	Denne pagt skal fortsætte fra slægt til slægt—til evig tid. Jeg vil altid være din Gud og dine efterkommeres Gud. 
GEN.17.8	Dette Kanaʼans land, hvor du nu bor som fremmed, giver jeg til dig og dine efterkommere for evigt, og jeg vil være deres Gud. 
GEN.17.9	Men du skal holde din del af pagten. Det gælder både dig og dine efterkommere fra slægt til slægt: 
GEN.17.10+GEN.17.11+GEN.17.12+GEN.17.13	Alle mænd og drenge iblandt jer skal omskæres. Det skal være tegnet på, at I vil holde pagten. I skal omskære alle drenge på den ottende dag efter fødslen; det gælder også slaver, der hører til jeres husstand. Det skal være tegnet på pagten mellem os til evig tid. 
GEN.17.14	Enhver, som ikke bliver omskåret, skal udelukkes fra folket, for han har brudt min pagt.”
GEN.17.15	Og Gud tilføjede: „Hvad din kone Saraj angår, skal du ikke længere kalde hende Saraj. Fra nu af skal du kalde hende Sara.
GEN.17.16	Jeg vil velsigne hende og give dig et barn med hende. Hun skal blive stammor til mange folk—selv konger skal nedstamme fra hende.”
GEN.17.17	Da bøjede Abraham sig igen for Herren med ansigtet mod jorden, men han lo for sig selv og tænkte: „Kan en hundredårig blive far? Og kan Sara, der er 90, blive mor?” 
GEN.17.18	Men til Gud sagde han: „Ja, Herre, må din velsignelse være med Ishmael!”
GEN.17.19	„Nej, det er 
GEN.17.20	Hvad Ishmael angår, vil jeg gøre, som du siger. Jeg vil også velsigne ham og gøre hans efterkommere til et stort folk. Tolv fyrster skal nedstamme fra ham. 
GEN.17.21	Men min pagt gælder ikke for Ishmael, men for Isak—den søn, som Sara skal føde dig næste år ved denne tid.” 
GEN.17.22	Da Gud var færdig med at tale med Abraham, gik han sin vej.
GEN.17.23	Samme dag omskar Abraham sin søn Ishmael og alle andre mænd og drenge i sin teltlejr, sådan som Gud havde sagt. 
GEN.17.24	Abraham var 99 år 
GEN.17.25+GEN.17.26	og Ishmael 13 år, da de blev omskåret 
GEN.17.27	sammen med alle deres slaver, både de købte og dem, der var født som slaver.
GEN.18.1	Mens Abraham boede i Mamres egelund, viste Herren sig for ham igen. En dag sad Abraham i teltåbningen på den varmeste tid af dagen. 
GEN.18.2	Pludselig lagde han mærke til, at der stod tre mænd i nærheden. Han løb dem i møde og bød dem velkommen ved at bøje sig dybt til jorden.
GEN.18.3	„Herre,” sagde han, „vis mig den gunst ikke at gå din tjeners dør forbi, men tag imod min gæstfrihed. 
GEN.18.4	Lad mig sørge for, at I får vand til at vaske støvet af jeres fødder. I kan hvile jer under træet her. 
GEN.18.5	Så kommer jeg med lidt mad, som I kan styrke jer på. Siden I nu er kommet denne vej, håber jeg, I vil gøre mig den ære at blive lidt, inden I rejser videre.” „Tak, det vil vi gerne,” svarede de.
GEN.18.6	Abraham skyndte sig tilbage til teltet og gav besked til Sara: „Hurtigt! tag det bedste mel, vi har, og lav noget brød af det.” 
GEN.18.7	Så løb han videre ud til kvægflokken, hvor han udvalgte en fedekalv og gav den til en tjener, som skyndte sig at slagte den. 
GEN.18.8	Da maden var klar, tog Abraham syrnet mælk og sødmælk samt noget af den stegte kalv og serverede det for mændene. Han vartede selv op, mens mændene sad og spiste ude under træerne.
GEN.18.9	„Hvor er Sara, din kone?” spurgte en af mændene. „Inde i teltet,” svarede Abraham. 
GEN.18.10	Da sagde manden: „Næste år ved denne tid kommer jeg igen, og da har Sara født en søn!”
GEN.18.10	Sara stod i teltdøren bagved og hørte det hele. 
GEN.18.11	Både hun og Abraham var gamle, og hun vidste jo godt, at hun var alt for gammel til at få børn. 
