GEN.1.1	Дар ибтидо Худо замину осмонро офарид. 
GEN.8.4	Рӯзи ҳабдаҳуми моҳи ҳафтум киштӣ болои кӯҳҳои Аророт қарор гирифт. 
GEN.8.5	Об то моҳи даҳум пасттар шудан гирифт ва дар рӯзи якуми моҳи даҳум қуллаҳои кӯҳҳо намоён шуданд.
GEN.8.6	Баъд аз чил рӯзи дигар Нӯҳ тирезаи киштиро, ки худаш сохта буд, кушода, 
GEN.8.7	зоғеро ба берун фиристод ва он то хушк шудани оби рӯйи замин парида мерафту меомад. 
GEN.8.8	Сипас ӯ кабӯтареро фиристод, то бубинад, ки оби рӯйи замин паст шуд ё не. 
GEN.8.9	Азбаски дар рӯйи замин ҳанӯз об буд, кабӯтар барои пой гузоштан ҷое наёфт ва ба киштӣ баргашт. Бинобар ин Нӯҳ дасташро дароз карда, кабӯтарро гирифту ба киштӣ даровард. 
GEN.8.10	Ӯ ҳафт рӯзи дигар интизор шуду боз кабӯтарро аз киштӣ ба берун фиристод. 
GEN.8.11	Кабӯтар бегоҳирӯзӣ наздаш баргашт ва инак, барги тару тозаи зайтун дар нӯлаш буд ва Нӯҳ фаҳмид, ки об кам шудааст. 
GEN.8.12	Ӯ ҳафт рӯзи дигар интизор шуду кабӯтарро боз фиристод, лекин ин дафъа он барнагашт.
GEN.8.13	Дар шашсаду яксолагии Нӯҳ, дар рӯзи якуми моҳи якум об аз рӯйи замин рафт. Ӯ сарпӯши киштиро бардошта дид, ки рӯйи замин хушк шуда истодааст. 
GEN.8.14	Пас аз ду моҳ, дар рӯзи бисту ҳафтуми моҳи дуюм замин пурра хушк гардид.
GEN.8.15	Сипас Худо ба Нӯҳ гуфт: 
GEN.8.16	«Ту, занат ва писаронат бо занонашон аз киштӣ бароед. 
GEN.8.17	Ҳама намуди мавҷудоти зинда: парандаҳо, ҳайвонот ва хазандаҳоеро, ки ҳамроҳат ҳастанд, берун ор, то сернасл ва сершумор гардида, дар рӯйи замин паҳн шаванд».
GEN.8.18	Ҳамин тавр, Нӯҳ бо занаш, писаронаш ва келинҳояш аз киштӣ баромаданд. 
GEN.8.19	Инчунин тамоми ҳайвонот, парандагону хазандагон, яъне ҳар мавҷудоте, ки дар рӯйи замин ҳаракат мекунад, бо ҳамҷинси худ аз киштӣ баромад.
GEN.8.20	Сипас Нӯҳ барои Худованд қурбонгоҳе сохта, аз ҳар ҳайвону парандаи ҳалол гирифта, бар қурбонгоҳ ҳамчун қурбонии сӯхтанӣ пешкаш намуд. 
GEN.8.21	Чун Худованд бӯйи форамро ҳис кард, ба Худ гуфт: «Ниятҳои одам аз давраи ҷавониаш бад аст, лекин ба хотири ӯ шуда дигар ҳеҷ гоҳ заминро лаънат намекунам. Инчунин тамоми мавҷудоти зиндаро нобуд намесозам, чунон ки кардам.
GEN.8.22	Аз ин пас то даме ки замин ҳаст,
GEN.8.22	кишту дарав,
GEN.8.22	сармо ва гармо,
GEN.8.22	тобистону зимистон,
GEN.8.22	шабу рӯз
GEN.8.22	ба охир намерасад».
GEN.9.1	Худо Нӯҳ ва писаронашро баракат дода, гуфт: «Сернаслу сершумор шавед ва заминро пур кунед. 
GEN.9.2	Тамоми ҳайвонот, парандагон, хазандагон ва моҳиёни баҳр аз шумо метарсанду меларзанд. Ҳамаи онҳоро ба дасти шумо супурдаам. 
GEN.9.3	Чунон ки растаниҳоро ба шумо барои хӯрок дода будам, ҳамон тавр онҳоро низ барои хӯрок медиҳам. 
GEN.9.4	Фақат гӯшти ҳайвонро бо ҷонаш, яъне бо хунаш нахӯред. 
GEN.9.5	Ҳар кӣ хуни одамро мерезонад, ҷавобгар мегардонам. Ҷони ҳар ҳайвон ва одамеро, ки хуни одам, яъне бародарашро мерезонад, мегирам.
GEN.9.6	Чун ба Худаш монанд
GEN.9.6	Худо одамро офаридаст,
GEN.9.6	хуни одамро ҳар ки резад,
GEN.9.6	хуни ӯро низ одам бирезад.
GEN.9.7	Шумо дар навбати худ сернаслу сершумор гардида, дар рӯйи замин паҳн шавед».
GEN.9.8	Сипас Худо ба Нӯҳ ва писаронаш гуфт: 
GEN.9.9	«Инак, Ман бо шумо, бо наслҳои ояндаатон, 
GEN.9.10	бо ҳар ҷондор, парандагон, ҳайвоноти хонагиву ваҳшии ҳамроҳатон буда, бо ҳамаи онҳое, ки аз киштӣ бо шумо баромаданд, яъне бо ҳама ҷондорҳои рӯйи замин аҳду паймони Худро мебандам. 
GEN.9.11	Бо шумо аҳд баста, ваъда медиҳам, ки мавҷудоти зинда дигар ҳеҷ гоҳ аз обхезӣ нест нахоҳад шуд ва обхезие, ки заминро хароб кард, дигар нахоҳад буд. 
GEN.9.12	Рамзи паймоне, ки байни Ману шумо ва ҳама ҷондорони ҳамроҳатон буда аз насл ба насл ба таври абадӣ мебандам, ин аст: 
GEN.9.13	дар абрҳо рангинкамонамро мегузорам ва он рамзи аҳду паймон байни Ману замин хоҳад буд. 
GEN.9.14	Ҳар вақте ки абрҳоро рӯйи замин меораму рангинкамон дар абрҳо намоён мешавад, 
GEN.9.15	аҳду паймонамро, ки байни Ману шумо ва ҳама гуна ҷондор аст, ба хотир меорам. Об дигар ҳеҷ гоҳ барои нобуд кардани мавҷудоти зинда ба обхезӣ мубаддал нахоҳад гашт. 
GEN.9.16	Вақте ки рангинкамонро дар абрҳо мебинам, аҳду паймони абадиамро байни Худ ва ҳар ҷони зиндаи рӯйи замин ба хотир меорам. 
GEN.9.17	Ин аст рамзи аҳду паймоне, ки Ман байни Худам ва ҳар ҷони зиндае, ки дар рӯйи замин ҳаст, бастаам».
GEN.9.18	Писарони Нӯҳ, ки аз киштӣ берун омаданд, Сом, Ҳом ва Ёфат буданд. Ҳом падари Канъон буд. 
GEN.9.19	Ҳарсеи онҳо писарони Нӯҳ буданд ва ҳама одамони ҷаҳон аз онҳо баромадаанд. 
GEN.9.20	Нӯҳ деҳқон шуд ва токзоре бунёд намуд.
GEN.9.21	Рӯзе Нӯҳ шароб нӯшида, маст шуд ва худашро дар хаймааш луч карда, дароз кашид. 
GEN.9.22	Ҳом — падари Канъон, падараш Нӯҳро луч дида, берун баромад ва ба ҳарду бародараш гуфт. 
GEN.9.23	Сипас Сом ва Ёфат ҷомаеро гирифта, болои кифташон гузошта, пуштнокӣ рафтанду бадани лучи падарашонро пӯшонданд. Рӯйи писарон гардонидагӣ буд ва онҳо падарашонро луч надиданд. 
GEN.9.24	Чун Нӯҳ ҳушёр шуд ва фаҳмид, ки писари хурдиаш ба вай чӣ кор кард, 
GEN.9.25	гуфт:
GEN.9.25	«Лаънат ба Канъон!
GEN.9.25	Бошад ба бародарони худ пасттарин ғулом».
GEN.9.26	«Худованд машҳур шавад,
GEN.9.26	Ёбад ҷалол Худои Сом,
GEN.9.26	Хизмат кунад Канъон ба Сом.
GEN.9.27	Ёбад афзоиш Ёфат
GEN.9.27	Дар хаймаҳои Сом пазируфта шавад,
GEN.9.27	Ва Канъон ба ӯ хизмат кунад».
GEN.9.28	Баъд аз обхезӣ Нӯҳ сесаду панҷоҳ соли дигар умр ба сар бурд. 
GEN.9.29	Ӯ ҳамагӣ нӯҳсаду панҷоҳ сол зиндагӣ карда, аз дунё гузашт.
GEN.10.1	Ин аст рӯйхати авлоди писарони Нӯҳ — Сом, Ҳом ва Ёфат, ки баъд аз обхезӣ писардор шуданд.
GEN.10.2	Писарони Ёфат Ҷӯмар, Моҷӯҷ, Модай, Ёвон, Тубол, Машак ва Тирос буданд. 
GEN.10.3	Писарони Ҷӯмар Ашканаз, Рифат ва Тӯҷармо буданд. 
GEN.10.4	Писарони Ёвон Алишо, Таршиш, Киттим ва Дӯдоним буданд. 
GEN.10.5	Аз инҳо халқҳои лаби баҳр зиндагӣ мекардагӣ баромада, паҳн шуданд. Ҳар халқ дар сарзамину қабилаи худ зиндагӣ мекард ва ҳар қабила бо забони худ гап мезад.
