GEN.1.1	Uru-uru tèka, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.
GEN.6.9+GEN.6.10	Lii lolo Noh sèmi neꞌe ka: Ana mone na, dhèu tèlu, nuka Sem, Yafet dènge Ham. Noh mamuri dènge mola, koe-kapengo boe. Taa èèna, nèngu di dhu mamuri mola. Dꞌara na dhodhoka ètu Ama Lamatua.
GEN.6.11+GEN.6.12	Te ngaa dhèu leo se, Ama Lamatua ladhe ra bhelu aaꞌi mèu-mèu. Ètu mia-mia èèna ka, jꞌara mamuri dhèu se ele iie aaꞌi. Ama Lamatua nèdhi dhodhoka bhabhelu di, ètu rai-haha ne. 
GEN.6.13	Hèia Ama Lamatua peka dènge Noh, aku Nèngu na, “Jaꞌa kèdhi dhoka bhabhelu dhèu di, dhu pale-lème rai-haha ne. Ka Jaꞌa pamaꞌète kore le, sèna ka Jaꞌa palaho aaꞌi rai-haha ne dènge isi na aaꞌi-aaꞌi. 
GEN.6.14	De sèmi neꞌe, Noh! Èu tao kapa aae cue, dhu tao nèti ajꞌu adhu. Re dꞌara roa na, èu bagi mi kama-kama. Aa re dꞌara dènge liꞌu kapa, èu lame dènge èi dama. 
GEN.6.15	Mu sabꞌe kapa na, madhera na 133 (ca ngasu tèlu nguru tèlu) meter; bhabhèla na 22 (dua nguru dua) meter; dènge katitu na 13 (canguru tèlu) meter. 
GEN.6.16	Èu tao èmu ètu dedha kapa na. Te ngaa paconga ca laa ai nèti kadidhi re dedha. Èu bagi kapa ne mi tèlu tadꞌa. Aa re karasa na, tao babèdho èci.
GEN.6.17	Sanèdꞌe paie-iie! Bèli-camèdꞌa, Jaꞌa papuru èi aae lala, ho pacène eele rai-haha ne, sèna ka pamadhe aaꞌi dhu mamuri. 
GEN.6.18	Te ngaa Jaꞌa paꞌèki lii pajaji dènge èu. Èèna na, èu maso dꞌara kapa èèna, mèti dènge dhèu èmu èu, ana-ana èu, dènge dhèu èmu ana-ana èu.
GEN.6.19+GEN.6.20	Badha aaꞌi-aaꞌi ra, èu hagꞌe more ca pasa-ca pasa, eo mèti asa dꞌara kapa, ho ra abhu mamuri dènge èu kahèi. Sèmi: badha ani, manu-bhui, dènge badha dhu rodꞌo, sèna ka ra abhu mamuri. 
GEN.6.21	Èu hudꞌi mèti dènge ngangaꞌa-nganginu, pala miu dènge pala badha sèra hèi.”
GEN.6.22	Ka Noh sabꞌe madhutu sèmi lii paredha Ama Lamatua aaꞌi-aaꞌi sèra.
GEN.7.1	Èle èèna ka, LAMATUA peka dènge Noh, “Jaꞌa ladhe le palème, te ngaa abhu dhoka èu di dhu dꞌara mola. Nèti èèna ka, èu dènge bhèni-ana niki èu, lami ka asa dꞌara kapa. 
GEN.7.2+GEN.7.3	Mèti dènge badha-badha dhu bisa miꞌa, aa bisa hia Jaꞌa kahèi, de mèti pidhu-pidhu pasa asa dꞌara kapa. Mèti kahèi rupa-rupa manu-bhui pidhu-pidhu pasa. Te ngaa badha dhu leo, mèti dhoka ca pasa-ca pasa di. Sèna ka badha dènge manu-bhui se, jꞌajꞌi hini, ho baku maꞌète.
GEN.7.4	Sanèdꞌe paie-iie, oo! Di pidhu lodꞌo ka, Jaꞌa papuru èjꞌi aae mai dhu bhoka boe ca lodꞌo sa, toke dꞌai èpa nguru lodꞌo mèu-mèda. Dènge sèmi neꞌe, Jaꞌa pamadhe aaꞌi ngaa-ngaa dhu mamuri ètu dedha-rai, dhu Jaꞌa pajꞌajꞌi kore le.”
GEN.7.5	Ka Noh tao aaꞌi sèmi lii paredha LAMATUA. 
GEN.7.6	Lodꞌo èi aae lala, umur Noh 600 (èna ngasu) tèu. 
GEN.7.7	Noh dènge dhèu èmu na, dènge ana niki na, aa dènge dhèu èmu ana ra di, lasi asa dꞌara kapa, ho ra abhu mamuri. 
GEN.7.8+GEN.7.9	Madhutu lii paredha LAMATUA, ka Noh pamaso manu-bhui dènge badha leo sèra, èci-èci ka dènge pasa na, nèti dhu bisa raꞌa, dènge dhu bisa boe raꞌa. 
GEN.7.10	Ropa èle pidhu lodꞌo, cagꞌagꞌa laa èi aae lala, ka rai-haha ne, mulai cène.
GEN.7.11	Lèke dènge umur Noh 600 (èna ngasu) tèu, risi dua hèru, canguru pidhu lodꞌo, ka mulai èi aae lala. Lodꞌo èèna, sèmi babèdho liru dhu bhoke eele sa, ka èi na tao sabhori mai. Aa èi madha-èi madha ètu rai-haha sabhoka, ka sèmi tao sabhuu sa dedha. 
GEN.7.12	Ka èjꞌi bhori mai loe boe èpa nguru lodꞌo mèu-mèda.
GEN.7.13	Te ngaa lodꞌo èèna, Noh dènge dhèu èmu na, dènge ana mone na dhèu tèlu: Sem, Yafet dènge Ham, dènge dhèu èmu ra, maso lasi asa dꞌara kapa. 
GEN.7.14	Lasi palere dènge badha aaꞌi-aaꞌi ra, sèmi: badha ani, badha hui, badha dhu rodꞌo, manu-bhui, dènge badha-badha leo dhu dènge èla sèra. 
GEN.7.15+GEN.7.16	Ca pasa-ca pasa nèti aaꞌi-aaꞌi dhu mamuri, lasi asa dꞌara kapa palere dènge Noh, madhutu sèmi lii paredha Ama Lamatua.
GEN.7.15+GEN.7.16	Ropa aaꞌi-aaꞌi ra dꞌai dꞌara kapa, LAMATUA bèdho babèdho kapa èèna.
GEN.7.17+GEN.7.18+GEN.7.19	Èjꞌi aae puru maꞌète boe dꞌai èpa nguru lodꞌo. Hèia kapa èèna talebꞌo. Èi caꞌe loe boe toke hutu nare kolo ledhe dhu dedha aae. 
GEN.7.20	Èi caꞌe taruu, ka marèma na seli èpa rèpa risi nèti kolo ledhe sèra.
GEN.7.21+GEN.7.22+GEN.7.23	Dènge jꞌara èèna, ngaa-ngaa dhu mamuri ètu dedha-rai sèra, madhe aaꞌi mèu-mèu. Nuka: dhèu, badha ani, badha hui, badha dhu rodꞌo, dènge manu-bhui aaꞌi-aaꞌi ra. Ate dhoka Noh dènge aaꞌi-aaꞌi dhu ètu dedha kapa. 
GEN.7.24	Èi na, kura boe toke 150 (ca ngasu lèmi nguru) lodꞌo.
GEN.8.1	Masi ka sèmi èèna, Ama Lamatua bhèlu boe Noh si dènge badha-manu aaꞌi-aaꞌi dhu ètu dedha kapa. Hèia Na hia ngèlu gꞌoro, ka èi na kura ka noo-noo. 
GEN.8.2	Na katange èi madha aaꞌi-aaꞌi ètu rai-haha ne, aa Na taha èjꞌi kahèi. 
GEN.8.3	Ka èi kura noo-noo ka. Dꞌai cangasu lèmi nguru lodꞌo, èi marèma heka. 
GEN.8.4	Lèke dènge hèru ka pidhu, risi canguru pidhu lodꞌo, kapa eta ètu kolo ledhe aae èci, ngara na Ararat. 
GEN.8.5	Èi kura taruu toke lodꞌo ka èci, hèru ka canguru, ka kolo-kolo ledhe cèu noo-noo.
GEN.8.6	Risi nèti èpa nguru lodꞌo, hèia Noh bhoke jendela èci. 
GEN.8.7	Ka na patalale lakaa ciꞌu. Manu-bhui ne lela laꞌe-mai, toke èi puru. Ka na lèpa heka asa kapa. 
GEN.8.8	Hèia Noh patabuli hari, koro jꞌaha ciꞌu, sèna ka neo neꞌa èi na puru le, do dhae. 
GEN.8.9	Te ngaa, lula èi hutu nare dedha-rai era, ka koro ne abhu boe era tèka. Ka lèpa hari asa kapa. Hèia Noh jꞌole ai na, kèpe nare, ka na pamaso hari asa dꞌara kapa.
GEN.8.10	Ka Noh tatae hari dꞌai pidhu lodꞌo, hèia na patabuli hari koro jꞌaha deo na. 
GEN.8.11	Dꞌara lodꞌo nihia sa, koro ne lèpa hari laꞌe asa Noh, tutu nèti dènge rèu saitun ca rèu dhu heka tutu nare kèna. Nèti èèna ka, Noh heka neꞌa kèna, èi na dhu puru le tareꞌa di. 
GEN.8.12	Ka na mate hari dꞌai pidhu lodꞌo, hèia na patalale hari koro jꞌaha ca hari ni. Te ngaa ca tèka ne, koro ne lèpa heka.
GEN.8.13	Lodꞌo Noh mamuri dꞌai 601 (èna ngasu ca) tèu, lèke lodꞌo ka èci hèru èci, èi mèti aaꞌi le. Hèia Noh bhoke jendela, ka na ladhe palème, nèdhi rai dhu mango le. 
GEN.8.14	Dꞌai hèru ka dua, lodꞌo ka dua nguru pidhu, dedha-rai ne dhu mango meto le.
GEN.8.15	Ka Ama Lamatua peka dènge Noh, 
GEN.8.16	“Noh! Aaꞌi-aaꞌi mi puru ka nèti dedha kapa èèna. 
GEN.8.17	Papuru aaꞌi badha-manu sèra! Nuka: badha ani, badha hui, badha dhu rodꞌo, dènge manu-bhui aaꞌi-aaꞌi ra. Hudꞌi si, sèna ka ra bèba, papènu rai-haha ne.”
GEN.8.18+GEN.8.19	Èle èèna ka, Noh dènge dhèu èmu na, dènge ana-ana na, aa dènge dhèu èmu ana na sèra, aaꞌi-aaꞌi ra puru nèti dedha kapa èèna. Badha se, aaꞌi-aaꞌi ra, kalua ka madhutu anga ra èci-èci.
GEN.8.20	Hèia Noh pudhi hadhu, tao mei korban hia LAMATUA. Nèti badha-badha dhu bisa raꞌa sèra, Noh nare ciꞌu-ciꞌu, ka na roro, tunu ètu dedha mei deo na, ho jꞌajꞌi mi tadha makasi mi LAMATUA. 
GEN.8.21	Ropa LAMATUA sangèdꞌu nare hèu gèmu korban deo na, dꞌara Na karejꞌe. Ka Na ngee na,
GEN.8.21	“Nèti deo neꞌe ne, Jaꞌa huku heka rai-haha ne, lula bhabhelu-katubꞌa dhèu. Masi ka rèngu dhoka ngee bhabhelu di, Jaꞌa paꞌele iie heka ngaa-ngaa dhu mamuri, sèmi dhu Jaꞌa heka tao kore èèna. 
GEN.8.22	Lodꞌo rai-haha ne era, hèru dènge tèu, kako madhutu atora. Sèmi: hèru sèla dènge hèru puu-gꞌètu, hèru pacuhi dènge hèru sagoro, hèru hadhu dènge hèru èjꞌi lai, mèu dènge mèda.”
GEN.9.1	Hèia Ama Lamatua pala-bagi berkat mi Noh dènge ana-ana na, peka na, “Miu matana paꞌae-ae, sèna ka papènu rai-haha ne. 
GEN.9.2	Ladhe èèna na, badha hui, manu-bhui dènge iꞌa aaꞌi-aaꞌi ra madhaꞌu dènge miu. Miu ka dhu ator si. 
GEN.9.3	Sisi badha aaꞌi-aaꞌi, miu bisa miꞌa, sèmi dhu miꞌa hua-hela, dènge rèu ana aajꞌu se. Aaꞌi-aaꞌi se, Jaꞌa hia miu.
GEN.9.4	Dhoka sisi dhu dènge raa era, miu madha mèu miꞌa, lula samanga badha ètu raa na. 
GEN.9.5+GEN.9.6	Jaꞌa pajꞌajꞌi dhèu madhutu raropa Jaꞌa. Nèti èèna ka, baku pamadhe dhèu. Ladhe abhu dhèu, do badha, dhu pamadhe dhèu, na, pamadhe ne kahèi. Neꞌe, lii paredha nèti Jaꞌa. 
GEN.9.7	Miu se hudꞌi matana paꞌae-ae ku, sèna ka papènu hari rai-haha ne.”
GEN.9.8	Ka Ama Lamatua tuhu hari lii padhai lii Na, 
GEN.9.9	“De neꞌe ne, Jaꞌa pajaji dènge miu, toke dꞌai lai ana lai èpu. 
GEN.9.10	Lii pajaji ne, lèke kahèi mi aaꞌi-aaꞌi dhu mamuri, sèmi: badha ani, badha hui, dènge manu-bhui. Peka ka laa, lèke aaꞌi-aaꞌi dhu kalua palere-lere dènge miu nèti dedha kapa. 
GEN.9.11	Lii pajaji Jaꞌa sèmi neꞌe: Jaꞌa hia heka èi aae lala, ho pamadhe aaꞌi ngaa-ngaa dhu mamuri, aa dènge paꞌele iie rai-haha ne.
GEN.9.12+GEN.9.13	Jaꞌa pasa saroo ètu dedha-liru, sèna ka jꞌajꞌi tadha pasanèdꞌe lii pajaji Jaꞌa dhu maꞌète boe dènge miu, dènge aaꞌi-aaꞌi dhu mamuri, aa dènge rai-haha ne. 
GEN.9.14+GEN.9.15+GEN.9.16+GEN.9.17	Ladhe abhu raꞌi-liru, ho saroo cèu, èèna na pasanèdꞌe Jaꞌa nèti lii pajaji èèna. Na peka na, èi aae paꞌele iie heka aaꞌi-aaꞌi dhu mamuri. Dènge jꞌara neꞌe ne ka, lii pajaji Jaꞌa dhu maꞌète boe, paꞌèki tèke le dènge miu, aa dènge aaꞌi-aaꞌi dhu mamuri.”
GEN.9.18	Ana-ana Noh dhu puru nèti dedha kapa, Sem, Yafet dènge Ham (Ham èèna, ama Kanaꞌan). 
GEN.9.19	Dhèu aaꞌi-aaꞌi ra ètu rai-haha ne, jꞌajꞌi nèti ana Noh dhèu tèlu sèra.
GEN.9.20	Noh èèna, dhèu sabꞌa oka-tedhe. Nèngu ka dhu uru jꞌara tao oka anggor. 
GEN.9.21	Ca tèka, na ninu èi anggor, ka na mahu titu kèna. Hèia na puru eele mèdha-papake nèti ua na. Ka na jꞌunu lega-loli dènge boe mèdha-papake ètu dꞌara paleo na. 
GEN.9.22	Ropa Ham ladhe nèdhi era makae ama na, ka rai liꞌu laꞌe, lolo dènge aꞌa na, Sem dènge Yafet. 
GEN.9.23	Hèia dua ra rare sigꞌi-kalolo ca bèla, ka ra bhoke mema ètu kabela-kao ra. Ka dua ra kako kabodho lasi asa dꞌara paleo ama ra, sèna ka ra pahutu mi ngiꞌu na. Dènge sèmi èèna, rèdhi boe era makae ama ra. Èle èèna ka, ra kalua sa liꞌu.
GEN.9.24	Ropa Noh maseꞌa, na neꞌa tatao nèti ana limuri na, Ham. 
GEN.9.25	Ka na peka, aku nèngu na, “He! Ama Kanaꞌan! Jaꞌa dhoo èu! Èu ne, èèna na jꞌajꞌi ènu nèti aꞌa mu si!
GEN.9.26	Koa-kio LAMATUA, lula Sem!
GEN.9.26	Te ngaa Kanaꞌan jꞌajꞌi ènu Sem.
GEN.9.27	Hudꞌi laa, Ama Lamatua pataleo rai unu Yafet.
GEN.9.27	Aa ana-èpu na mamuri mera-milu dènge ana-èpu Sem.
GEN.9.27	Te ngaa hudꞌi Kanaꞌan jꞌajꞌi ènu Yafet.”
GEN.9.28	Nèti èle èi aae lala, Noh mamuri era dꞌai 350 (tèlu ngasu lèmi nguru) tèu. 
GEN.9.29	Umur Noh dꞌai 950 (ceo ngasu lèmi nguru) tèu, heka madhe kèna.
GEN.10.1	Èle èi aae, ka ana-ana Noh abhu ana-èpu. Nuka ana-èpu nèti Sem, Yafet, dènge Ham.
GEN.10.2+GEN.10.3+GEN.10.4+GEN.10.5	Ana-èpu Yafet, nuka: Gomer, Magog, Madai, Yawan, Tubal, Mesek dènge Tiras. Èci-èci ka dènge lii, suku, aa dènge rai ra.
GEN.10.2+GEN.10.3+GEN.10.4+GEN.10.5	Ana-èpu Gomer, ka: Askenas, Rifat dènge Togarma.
GEN.10.2+GEN.10.3+GEN.10.4+GEN.10.5	Ana-èpu Yawan, ka: Elisa, Tarsis, dhèu Kitim, dènge dhèu Dodanim dhu pea ètu sebhe dhasi.
GEN.10.6	Ana-èpu Ham, ka: Kus, Misraim, Put, dènge Kanaꞌan.
GEN.10.7	Ana-èpu Kus, ka: Seba, Hawila, Sabta, Raema dènge Sabteka.
GEN.10.7	Ana-èpu Raema, ka: Syeba dènge Dedan.
GEN.10.8	Ana mone Kus, ka, Nimrod. Nèngu ne, kapala musu dhu uru tèka, aa èra. 
GEN.10.9	Aꞌèra na mai nèti LAMATUA, aa nèngu kahèi jꞌajꞌi dhèu dhu èra bia magèla badha. Nèti èèna ka, dhèu biasa peka na, “Sèna ka èu more dhèu dhu èra bia magèla badha, sèmi Nimrod, dhu abhu aꞌèra nèti LAMATUA.” 
GEN.10.10	Era na, mulai uru nèti rae Babel, Erek Akad, toke Kalne. Rae se aaꞌi-aaꞌi ra, ètu rai Sinear.
GEN.10.11	Nèti era sèra, na nare hari Asyur. Ka na patitu kota Niniwe, Rehobot-Ir, Kala, 
GEN.10.12	dènge Resen, ètu talora aae Niniwe dènge Kala. Aaꞌi-aaꞌi sèra, kota-kota kapai hua.
GEN.10.13	Ana-èpu Misraim, ka: dhèu Ludim, dhèu Ananim, dhèu Lehabim, dhèu Naftuhim, 
GEN.10.14	dhèu Patrusim, dhèu Kasluhim, dènge dhèu Kaftorim. Dhèu Kasluhim nuka bèi-baki nèti dhèu Pilistin.
GEN.10.15	Ana uuru Kanaꞌan, nuka, Sidon. Kanaꞌan jꞌajꞌi bèi-baki nèti dhèu Het, 
GEN.10.16	dhèu Yebusi, dhèu Amori, dhèu Girgasi, 
GEN.10.17	dhèu Hiwi, dhèu Arki, dhèu Sini, 
GEN.10.18	dhèu Arwadi, dhèu Semari, dènge dhèu Hamati.
GEN.10.18	Ana-èpu Kanaꞌan se, pea palème dꞌai era dhu kajꞌèu, 
GEN.10.19	toke too rai rèngu mulai nèti Sidon taruu asa Gerar, dꞌai Gasa. Nèti èèna, laꞌe dꞌai Sodom, Gomora, Adma dènge Seboim, dꞌai kota Lasa.
GEN.10.20	Rèngu aaꞌi-aaꞌi sèra, ana-èpu Ham. Èci-èci dènge lii, suku, aa dènge rai ra.
GEN.10.21	Sem, aꞌa Yafet, nèngu ka jꞌajꞌi bèi-baki dhèu Eber.
GEN.10.22	Ana-èpu Sem, ka: Elam, Asyur, Arpaksad, Lud dènge Aram.
GEN.10.23	Ana-èpu Aram ka: dhèu Us, dhèu Hul, dhèu Geter, dènge dhèu Mas.
GEN.10.24	Ana Arpaksad ka, Sela. Ana Sela ka, Eber.
GEN.10.25	Ana Eber, mone dhèu dua. Ana uuru, ngara na Pelek (dhu sasoa na ‘palème era’), lula taa èèna dhèu pea palème ètu rai-haha ne. Ngara ari na, Yoktan.
GEN.10.26	Ana-èpu Yoktan, ka: Almodad, Selef, Hasar-Mawet, Yera, 
GEN.10.27	Hadoram, Usal, Dikla, 
GEN.10.28	Obal, Abimael, Syeba, 
GEN.10.29	Ofir, Hawila, dènge Yobab. Rèngu aaꞌi-aaꞌi se, ana-èpu Yoktan.
GEN.10.30	Era pea rèngu, mulai nèti Mesa, taruu dꞌai Sefar, nuka era dhu kabhuku re sebhe dhimu.
GEN.10.31	Rèngu aaꞌi-aaꞌi se, ana-èpu Sem. Èci-èci ka dènge lii, suku, aa dènge rai ra.
GEN.10.32	Aaꞌi-aaꞌi se, ana-èpu Noh, èci-èci ka dènge suku ra. Ropa èi aae lala èle, rèngu seꞌe ka pea papènu lème rai-haha ne.
GEN.11.1	Uru-uru tèka na, dhèu ètu rai-haha ne, dhoka lii èci di. 
GEN.11.2	Lodꞌo rèngu cahagꞌe lasi asa ca bèka dhimu, ra dꞌai era mera ètu Sinear, ka ra pea ètu èèna.
GEN.11.3+GEN.11.4	Rèngu aaꞌi-aaꞌi rare lii èci, aku rèngu na, “Aꞌari, ee! Mai ta patitu kota kapai aae cue. Ti tao hadhu bata; ti tunu paꞌadhu. Èèna na, èdhi pudhi sa dedha, ho ti tape dènge èi dama. Ho èèna na, ti patitu manara dedha aae èci, dhu kolo nèngu na dꞌai dedha-liru, sèna ka èdhi abhu kolongara kapai. Ho sèna ka èdhi jꞌajꞌi ca kabarai aae, dhu pahagꞌa ia ka.”
GEN.11.5	Hèia LAMATUA puru mai laladhe kota dènge manara dhu ra patitu èèna. 
GEN.11.6	Ka Na peka na, “Dhèu rai-haha se, aaꞌi-aaꞌi ra ca kabarai, dènge lii èci di. Ngaa dhu rèngu tao ne, heka mulai kèna. Bèli-camèdꞌa ladhe rèngu aaꞌi-aaꞌi ra jꞌajꞌi mi èci sèmi neꞌe, èèna na, ngaa dhu rèngu neo tao, jꞌajꞌi aaꞌi mèu-mèu. 
GEN.11.7	De beꞌa risi, Èdhi puru lati ho tao lii si baka-leo, ho sèna ka èci neꞌa boe lii èci.”
GEN.11.8	Hèia Lamatua puru, ka kakeho lii ra. Dènge jꞌara sèmi èèna, Na pacèri si palème rai-haha ne. Ka ra pakèdꞌi taruu heka kota deo na. 
GEN.11.9	Nèti èèna ka, ra pangare kota na, 
GEN.11.10	Seꞌe se, ana-èpu Sem. Ropa èle èi aae lala dua tèu sa, Sem mamuri cangasu tèu kèna, ka na abhu ana mone ca dhèu, ngara na Arpaksad. 
GEN.11.11	Ka Sem mamuri hari dꞌai 500 (lèmi ngasu) tèu, na abhu hari ana mone dènge ana bhèni.
GEN.11.12	Lodꞌo umur Arpaksad dꞌai 35 (tèlu nguru lèmi) tèu, na abhu ana mone ca dhèu, ngara na Sela. 
GEN.11.13	Ka Arpaksad mamuri hari dꞌai 403 (èpa ngasu tèlu) tèu, na abhu hari ana mone dènge ana bhèni.
GEN.11.14	Lodꞌo umur Sela dꞌai 30 (tèlu nguru) tèu, na abhu ana mone ca dhèu, ngara na Eber. 
GEN.11.15	Ka Sela mamuri hari dꞌai 403 (èpa ngasu tèlu) tèu, na abhu hari ana mone dènge ana bhèni.
GEN.11.16	Lodꞌo umur Eber dꞌai 34 (tèlu nguru èpa) tèu, na abhu ana mone ca dhèu, ngara na Pelek. 
GEN.11.17	Ka Eber mamuri era dꞌai 430 (èpa ngasu tèlu nguru) tèu, na abhu hari ana mone dènge ana bhèni.
GEN.11.18	Lodꞌo umur Pelek dꞌai 30 (tèlu nguru) tèu, na matana ana mone ca dhèu, ngara na Rehu. 
GEN.11.19	Ka Pelek mamuri era dꞌai 209 (dua ngasu ceo) tèu, na abhu hari ana mone dènge ana bhèni.
GEN.11.20	Lodꞌo umur Rehu dꞌai 32 (tèlu nguru dua) tèu, na abhu ana mone èci, ngara na Seruk. 
GEN.11.21	Ka Rehu mamuri era dꞌai 207 (dua ngasu pidhu) tèu, na abhu hari ana mone dènge ana bhèni.
GEN.11.22	Lodꞌo umur Seruk dꞌai 30 (tèlu nguru) tèu, na matana ana mone ca dhèu, ngara na Nahor. 
GEN.11.23	Ka Seruk mamuri era dꞌai 200 (dua ngasu) tèu, ka na abhu hari ana mone dènge ana bhèni.
GEN.11.24	Lodꞌo umur Nahor dꞌai 29 (dua nguru ceo) tèu, na abhu ana mone èci, ngara na Tera. 
GEN.11.25	Ka Nahor mamuri era dꞌai 119 (cangasu canguru ceo) tèu, ka na abhu hari ana mone dènge ana bhèni.
GEN.11.26	Lodꞌo umur Tera dꞌai pidhu nguru tèu risi, na abhu ana mone, dhèu tèlu: Abram, Nahor, dènge Haran.
GEN.11.27	Ana-èpu Tera, sèmi neꞌe: ana mone na, ka: Abram, Nahor, dènge Haran. Haran abhu ana mone ca dhèu, ngara na Lot. 
GEN.11.28	Haran madhe ètu rae èta-èsu na, ngara na Ur, rai dhèu Kasdim. Lodꞌo èèna, ama na Tera mamuri era. 
GEN.11.29	Abram madhèdi dènge Sarai. Nahor leo dènge ana bhèni Haran, ngara na Milka. Haran abhu ana mone èci kahèi, ngara na Yiska. 
GEN.11.30	Te ngaa Sarai dènge boe ana.
GEN.11.31	Ca tèka, Tera nèti ana na Abram, dènge Sarai dhèu èmu Abram, dènge èpu na Lot, lasi tèke eele rae Ur, neo lasi asa rai Kanaꞌan. Te ngaa lasi dꞌai rae Haran, rèngu pea ka ètu èèna. 
GEN.11.32	Tera madhe ètu èèna, dènge umur na 205 (dua ngasu lèmi) tèu.
GEN.12.1	Lodꞌo èèna, LAMATUA peka le dènge Abram, peka na, “Abram! Èu pakèdꞌi nèti era èu ne, tèke eele ina-ama èu, èmu ina-ama mu, dènge rae-lesa èu. Lamu asa era èci, dhu pe Jaꞌa peka dènge èu.
GEN.12.2	Èèna na, Jaꞌa hia mèngi-nale mi èu.
GEN.12.2	Aa ana-èpu èu, èèna na, bèba-kacanga,
GEN.12.2	jꞌajꞌi suku dhu kapai, toke dhèu tadhe kolongara èu.
GEN.12.2	Ho bèli-camèdꞌa, èu jꞌajꞌi berkat hia dhèu leo kahèi.
GEN.12.3	Èèna na, Jaꞌa hia berkat mi dhèu dhu hia berkat mi èu.
GEN.12.3	Te ngaa Jaꞌa huku dhèu cee dhu dhoo èu.
GEN.12.3	Nanene paie!
GEN.12.3	Pe èèna na, dhèu aaꞌi-aaꞌi ètu rai-haha ne abhu berkat lula èu.”
GEN.12.4+GEN.12.5	Lodꞌo èèna, umur Abram 75 (pidhu nguru lèmi) tèu. Na nèti dhèu èmu na Sarai, aa dènge ana ari na, Lot, dènge mèdha-panyau ra aaꞌi-aaꞌi, aa dènge dhèu sabꞌa na aaꞌi-aaꞌi dhu na abhu ètu kota Haran. Hèia Abram si lasi ka, tèke eele kota Haran, asa era dhu LAMATUA peka le dènge ne. Ka ra kako taruu, dꞌai rai èci, ngara na Kanaꞌan.
GEN.12.6	Dꞌai era èèna, Abram kako palème rai ne, toke dꞌai padètu dènge rae èci, ngara na Sikem. Ka ra pea taha ètu èèna, padètu dènge ajꞌu aae ca kapua ètu More. Lodꞌo èèna, dhèu Kanaꞌan dhu pea ètu èèna era. 
GEN.12.7	Ètu era èèna ka, LAMATUA padꞌelo iisi Na mi Abram, peka na, “Èèna na, Jaꞌa hia ana-èpu èu rai neꞌe ne.” Ka Abram pudhi hadhu tao mei korban hia LAMATUA dhu padꞌelo iisi Na dènge nèngu ètu era èèna.
GEN.12.8	Èle èèna ka, Abram si pidha hari asa ledhe re balèu. Ka ra pea taha ètu talora rae Betel dènge rae Ai. Ètu èèna, na patitu mei korban èci ho na mangajꞌi mi LAMATUA. 
GEN.12.9	Èle èèna ka, na pidha-pidha era, dꞌai rai Negeb re ca bèka balèu nèti rai Kanaꞌan.
GEN.12.10	Ca tèka, rai Kanaꞌan lèke manganga aae. Nèti èèna ka, Abram si lasi asa bèka balèu, ka ra dꞌai rai Masir. Ka ra manubha taha ètu nèi. 
GEN.12.11	Ropa oe dꞌai Masir, Abram peka dènge dhèu èmu na, Sarai, aku nèngu na, “Sarai, èu bhèni iia, nia boe. 
GEN.12.12	De ladhe dhèu Masir rèdhi èu bhèni iia sèmi neꞌe, mage dhoka ra pamadhe jaꞌa, lula jaꞌa dhèu èmu-kamali èu. Dènge sèmi èèna, ra parame rare èu. 
GEN.12.13	De beꞌa risi, èu peka dènge ra, na jaꞌa ne, ana mone èu. Dènge sèmi èèna ka, rèngu pamadhe boe jaꞌa, aa ra beꞌa-beꞌa dènge jaꞌa, lula èu ne.”
GEN.12.14	Ropa Abram si dꞌai Masir, dhèu ètu èèna, ladhe laa na, Sarai ne bhèni iia titu kèna. 
GEN.12.15	Ropa dhèu sabꞌa dhèu aae sèra ladhe rèdhi ne, aa ra koa bhabhèni iia na ètu madha dhèu aae. Ka rèti bhèni ne, asa èmu dhèu aae. 
GEN.12.16	Hèia dhèu aae beꞌa-beꞌa ka dènge Abram, lula Sarai. Ka na parasee Abram mèdha rupa-rupa. Nuka badha sèmi: kahibꞌi-kalèbho, kahibꞌi-kaꞌia, sapi, keledꞌei, dènge onta. Na parasee kahèi, ènu dhèu mone dènge dhèu bhèni.
GEN.12.17	Lula na nare dhèu èmu dhèu asa dꞌara èmu na, nèti èèna ka, LAMATUA hia huku rupa-rupa mi dhèu aae dènge isi èmu na. 
GEN.12.18	Hèia dhèu aae Masir paroa Abram, ka na karèi ne, aku nèngu na, “Èu ne tao tasamia mi jaꞌa ne? Nga tao ka èu peka boe na, bhèni ne dhèu èmu èu? 
GEN.12.19	Te ngaa aku èu na, nèngu ne ana hèni èu! Nèti èèna ka, jaꞌa oe kore ne jꞌajꞌi dhèu èmu jaꞌa! Dhèu èmu èu ka neꞌe! More hari ka, aa pakajꞌèu ka nèti madha jaꞌa!” 
GEN.12.20	Hèia dhèu aae paredha dhèu sabꞌa na sèra, babège eele Abram, dhèu èmu na, rèti dènge dhèu aa mèdha-panyau aaꞌi-aaꞌi ra, kalua nèti rai èèna.
GEN.13.1	Ka Abram si tèke eele Masir, lasi asa rai Negeb. Laꞌe dènge dhèu èmu na, aa dènge dhèu aa mèdha-panyau aaꞌi-aaꞌi ra. Ana ari na Lot madhutu ra kahèi. 
GEN.13.2	Abram èèna, kaja ae titu kèna. Badha-manu na, mèdha hualaa dènge mèdha hualaa-pudhi na, ae titu kèna.
