GEN.1.1	Kafa viuḡuwai Guyau abama keta fwayafwaya i fufunisiya. 
GEN.13.18	Keta Ebenamu i noḡokawawa keta Mamene kana kai nakanakasisi niniusiyai i vikabaḡa Ebinoni menana nakasina nenei. Nokomai didiḡa i didiiya Yave nenei.
GEN.14.11+GEN.14.12	Sodoma keta Gomona fiyaosi kasi kaniyabina si nemiya keta yasi nogonogo be kasi kabwaga matatafuna si yuna. Ebenamu auna Nota Sodoma i fakwafakwa, tanake tauna keta yana nogonogo matatafuna yota si visiya keta si niisiya.
GEN.14.13	Tamokaḡa namoḡa vikamunumunuwa nenei i dibwana keta i nemiya Ebenamu biga i veniya. Tovanama nenei Ebenamu tene Ibeniu i fakwafakwa tene Amonai kana wava Mamene yana kai nakanakasisi niniusiyai. Mamene na sisitaina, Esikoni keta Ane, si vinowaniya Ebenamu vitana nukusi sina vikaovivita vikamunumunuwa nenesiyai.
GEN.14.14	Ebenamu yana tonuaviya kasi yagwana 318 yana kabaḡai si tufuwa. Tovanama i nowaniya nifanifaisi auna si viya, yana namonamoḡa matatafusi i wenevakukusisiya keta nifanifaisi si kwavinisiya kana nivaniva Dani menana nakasina nenei. 
GEN.14.15	Tovanama i kumanovana, Ebenamu yana tonuaviya i vitukuwisiya yoko nenesiyai keta nifanifaisi si kanasunisiya fafani tuninatunina nenesiyai keta si vatanisiya. Nifanifaisi si dibwana eketa Ebenamu yana namonamoḡa nukusi si omunitawisiya kana nivaniva Oba menana nakasina Damasiko bomatu kuweyaina. 
GEN.14.16	Ibasima matatafuna nifanifaisi si gikumisiya, matatafuna i visiya. Yota Nota na yana nogonogo nukusi keta vivine be mani namoḡa matatafusi nukusi i nemiye-savavinisiya.
GEN.14.19	Menekisedeki Ebenamu i sawanuwagabubuwiya i iyaviya i bwaduwa,
GEN.14.19	“Guyau Etanemokenei abama keta fwayafwaya i fufunisiya,
GEN.14.19	iba dewadewasi fasiweu ita savivinisiya.
GEN.14.20	Guyau Etanemokenei nifanifaiu nimaweu i tenisiya,
GEN.14.20	na fasinei tana daviya.”
GEN.14.20	Eketa Ebenamu nogonogosima i visiya nifanifaina nenesiyai, dawana 10 i tenisiya keta dawananama nenei tamokaḡa Menekisedeki i veniya.
GEN.15.1	Muniyai Yave Ebenamu kenokita nenei i iyaviya i bwaduwa,
GEN.15.1	“Ebenamu, muka kuna matuta.
GEN.15.1	Iyau ya veve,
GEN.15.1	Iyau fatau nakatamokena ana veniwa.”
GEN.15.2+GEN.15.3	Ebenamu i nufata i bwaduwa, “Yaku Tuveka Yave, iyau muka tamo natuku na uḡuna ya nuwagabubunama muka ina oviviteiku. Muka tamo natuku kuta veneiku. Keta taki ana mateya, Eniyesa tanake tene Damasiko kaku toovivita, yaku kaikaiwabu matatafuna ina viya.”
GEN.15.4	Atu Yave i bwadu-savaviniya i bwaduwa, “Muka noko namoḡanama ya kaikaiwabu ina vai. Naki kwaḡa taumokeu uyoweu, natuu ina tufuwa. Kuna mateya nenei, tanake ina vikaiuḡuniya.” 
GEN.15.5	I oviya i kikinomaniya menanai eketa i iyaviya i bwaduwa, “Matau i vane kawasasakaoḡowai be yamasi kinavinavi ku ginaḡanaḡa-nuvanuvaisi, taki ka fata maise. Yawane susukwau maise kinavinavi. Muka tamo aitevana kana fata be ina ginaḡanaḡaisi.”
GEN.15.13	Keta Yave i iyaviya i bwaduwa, “Nofe kuna sanamanadewadewiya. Susukwau sina viyauyauna mani fwayafwayai. Tonifwayafwaya susukwau sina vikaetoisiya keta yota sina vitoagoyogoyowisiya manamana 400 sinenei. 
GEN.15.14	Atu yawane tonifwayafwayasima yasi vitoagoyogoyo fasinei ana vimatadawanisiya eatu susukwau sina vikukuwauna keta fwayafwayanama sina teweiya. 
GEN.15.15+GEN.15.16	Amonai namoisi nofe tova Kenani fwayafwaya nenei si fakwifakwiiya, taki tovanama yasi dewa ina goyomataiya, ana vimatadawanisiya keta ana kwavinisiya nofe fwayafwayanama nenei be sina yauna. Na uḡuna susukwau muka sina venumakavinaisi nofe kabainama nenei atu minominou yasi tovai yoke.
GEN.15.15+GEN.15.16	Atu kwaḡa tauḡu Ebenamu kuna vituvekamoka yo muniyai, biganei kuna mateya keta sina tauniwa.”
GEN.16.1+GEN.16.2+GEN.16.3	Ebenamu nofe tova Kenani i fakwafakwa naki manamana 10 atu kawana Sanai o kakanina, na fasinei keta muka tamo natuna ita vinatunei. Atu kana tookakikakina i viya ne Itifita kana wava Ega, na fasinei Sanai Ebenamu i iyaviya i bwaduwa, “Yave i nuvikakanikuwa be muka ana vinatuna, na fasinei ku nai be kaku tookakikakina nukusi kwa matave. Taki ina vivinatuna, gwadimonamona ana weniya vitana maise iyau natuku.” Fonana i vinowaniya keta Sanai yana kaetoḡa gumayogu Ega i veniya Ebenamu vitana kawana kana vinuwa.
GEN.17.1	Tovanama Ebenamu kana manamana 99, Yave i kenokikinomana nenei keta i iyaviya i bwaduwa, “Iyau Guyau Tofiwanaonaona. Yaku ketaketai kuna niya be muka kuna go'yona, 
GEN.17.2	ebe yaku dedeni ana fufuniya neneweu ebe susukwau ana giviyagwanisiya.”
GEN.17.3	Ebenamu kaetutuna i viketogunisiya maise yota debabouna eatu Guyau i iyaviya i bwaduwa, 
GEN.17.4+GEN.17.5	“Iyau nenekuwai o nofemaise ku vaneneḡei. Yaku dedeni kwaḡa nukusi maise, kwaḡa kunuma yagwanisi waḡasi. Na fasinei ka wava Ebenamu
GEN.17.6	Iyau ana saviviniya be kunuma nakasina kuna nisaiya be sabu yagwanisi sina kikinomana keta yota kwaḡa sabuuma nenesiyai tufomu sina kikinomana.
GEN.17.8	Nofe Kenani fwayafwayana nenei ku viviteneyauyauna, matatafuna fwayafwayanama kwaḡa keta yota susukwau ana venimiya. Naki yasi fwayafwayavaḡata keta Iyau yasi Guyau.”
GEN.17.11	Yami nikana mutugabusi kwana nufifina be noko dedeni kana kiyakiyaya Iyau keta kwami kata kawasasai. 
GEN.17.12	Nofe tova keta ina niya, fwefweyana namoḡa tamokatamokaḡa kana kuyadayada 8 nenei kwana nufifina. Kwana saviviniya natunatumi keta yami tobunanige natunatusi matatafusi namoaḡa nenesiyai. 
GEN.17.13	Maisemoka yota tovanama namoḡa sina tufuwa yami sabu nenei eketa yota tovanama namoḡa vitamaneina nenei kwana viya, kwana nufifiniya nenesiyai. Ina vikiyakiyayavaḡata yaku dedeni tofwamiyai, tova be tova. 
GEN.17.14	Atu taki avi namoḡa yaku dedeni kana kiyakiyaya muka tofwanei, nai o kaku dedeni i yasiya, na naki tauna ina nutakiya yana sabu nenesiyai.”
GEN.17.15	Guyau Ebenaamu i iyaviya i bwaduwa, “Kawau Sanai fasinei, muka kuna wenei Sanai eatu kuna weniya Sena.
GEN.17.16	Ana sawanuwagabubuwiya be tanake nenei natuu namoḡa ana veniwa. Ana sawanuwagabubuwiya ebe kunuma sina visawa-ayona nenei keta susukwana sinenei tufomu sina tufuwa.”
GEN.17.17	Ebenaamu kaetutuna i viketogunisiya maise yota debabouna keta na viniḡana tauna nuwasinenei i bwaduwa, “Kana fata namoḡa kana manamana 100 tamo natuna ina tufuwa? Atu yota Sena o kana manamana 90 kana fata ina vinatuna?” 
GEN.17.18	Eketa Ebenaamu Guyau i iyaviya i bwaduwa, “Taki kana nufota Isimeni kuta sawanuwagabubuwiya!”
GEN.17.19	Atu Guyau i iyaviya i bwaduwa, “Muka. Kawau Sena natuu ina vinatuniya keta kana wava kuna weniya Aisake.
GEN.17.20	Ya nuwanuwa Isimeni fasinei o naki a nowaniya. Na fasinei ana sawanuwagabubuwiya be natunatuna keta susukwana yagwanisi ana veniya. Tanake o kawakawa nasi 12 amasi keta yota susukwana nenei kana kunuma ana givinakasiya. 
GEN.17.21	Atu nofe yaku dedeni ana fufuniya Aisake nukusi. Naki nofe tovanama maise, Sena Aisake ina vinatuniya noko manamananama.”
GEN.18.1	Yave Ebenaamu nenei i kenokikinomana Mamene yana kai nakanakasisi nenesiyai. Nofe kana sifusifufumokena.
GEN.18.1	Kuyadayada i viaudibutoyoḡa kana tovai, Ebenaamu yana vada kana ketakawanai i nuvitoḡa i fakwafakwa. 
GEN.18.2	Matana i kanakasiya nenei namoḡa kasi tonu i kitisiya kutafakaina si misimisiniya. Tovanama i kitisiya, vada i teweiya atu i dibwana i venufotifotisiya keta i koduwa fwayafwayai.
GEN.18.3	I iyavisiya i bwaduwa, “Aiye, taki kwa sanamaniya kaku nufota be ana ovivitimiya nao muka kwana niuniku. 
GEN.18.4	Yami ukowa ana nemiiya be kaemi kwana kigona ebe yo kai sifunei kwana viyawasiya. 
GEN.18.5	Yota kabwaga ana nemiiya be ina givifiwanimiya yo muniyai yami ketai kwana niya. Kwa visawanamonamoikuwa be kwa venufotikuwa, na fasinei ana savivina fasimiyai.”
GEN.18.5	Si iyaviya si bwaduwa, “Dewadewana, avana nuwanuwau ku bwaduwiya maise o ku savivinei.”
GEN.18.6	Eketa Ebenaamu i dibwanamoka vadai i kanasuna keta Sena i iyaviya i bwaduwa, “Kuna omatakayakayakaniya be nimau simo ina badobadowa kausibi dewabauna kuna viya ebe maneka kuna kaguwana.” 
GEN.18.7	Muniyai Ebenaamu i dibwana i niya bunumakau waumisi nenesiyai keta mwanavauna i vinuwadadaniya kakaninama i viya, yana tobunanige i veniya keta i venugidewadewiya.
GEN.18.8	Ebenaamu kedi
GEN.18.9	Si nutoninuvenuviya si bwaduwa, “Atu namai kawau Sena?”
GEN.18.9	I nufata i bwaduwa, “Noko vada sinenei.”
GEN.18.10	Atu Sena o vada kana kawa muninei i vanevaneneiya. 
GEN.18.11	Ebenaamu keta Sena o naki si vituvekamoka keta Sena yana tova vinatuna o naki i kakaviya. 
GEN.18.12	Sena tauna i viniḡa keta i bwaduwa, “Iyau naki a vineveka keta i sinavinukuwa keta yota kawaku i vituveka. Kana fata yawane kana diḡadiḡaina ana kamukoniya?”
GEN.18.13	Yave Ebenaamu i iyaviya i bwaduwa, “Ava uḡuna yo Sena i viniḡa atu i bwaduwa, ‘Naki a vineveka, venemokena gwadimonamona ana vinatuniya?’ 
GEN.18.14	Omasi tamo aviyavana daunamokena Yave nenei, muka kana nufota be ina savivinei? Naki a bwaduwa maise, nofe tovanama maise noko manamananama tovanama ana makavinikuwa neneweu, kawau Sena natuu namoḡa ina vinatuniya.”
GEN.18.15	Sena i matuta na uḡuna keta i sawavigema i bwaduwa, “Iyau muka tamo ata viniḡa.”
GEN.18.15	Atu i iyaviya i bwaduwa, “Mukamokena, ku viniḡa.”
GEN.18.16	Ebenaamu keta namoḡa kasi tonu nukusi si misiniya keta si niniya be ina vateweisiya yasi ketai. Nokomai si kitanusinowa Sodoma nenei.
GEN.18.17	Keta Yave tauna nenei i bwaduwa, “Aviyavana kabegomokena ana saviviniya, muka Ebenaamu nenei ana teneviunei. 
GEN.18.18	Susukwana ina nakata yota fiwafiwanamokena. Keta tanake nenei kunuma matatafuna fwayafwayai ana sawanuwagabubuwisiya. 
GEN.18.19	A gibokiya be tanake ina iyavisiya natunatuna keta yota susukwana muninei si nenemiya, ebe yaku ketaketai sina savivina dawaniniina yota kana matanatotowai. Ebe avana Ebenaamu nenei a bwadudabedabiya maise kana fata be ana saviviniya.”
GEN.18.20	Keta Yave Ebenaamu i iyaviya i bwaduwa, “Menana Sodoma keta Gomona namoisi yasi fufunagoyo i nakatamoka keta yota fasisiyai odo nakasina a nowaniya. 
GEN.18.21	Nofe naki a sobusobuwa be ana kitiya taki noko odosima tasike fasisiyai venemokena o muka, ebe ana sanamaniya.”
GEN.18.22	Namoḡa nasi nuwa si noḡokawawa keta si niya Sodoma kuweyaina, eatu Ebenaamu i fakwa i misimisiniya Yave naunei. 
GEN.18.23	Ebenaamu i vaniya niniunei eketa i iyaviya i bwaduwa, “O venemokena namoḡa goyosi keta eyaeyasi nukusi kuna nuyaunisiya? 
GEN.18.24	Taki namoḡa eyaeyasi nasi 50 menana noko sinenei o namaise, yawane kuna nuyauniya? Taki eyaeyasi fasisiyai o namaise, menananama kuna kitamokiya? 
GEN.18.25	Muka kuna fufuniya, nai o muka dawaniniina. Keta muka kana nufota be namoḡa eyaeyasi atu goyosi nukusi kuna nuvimateisi. Taki kuna saviviniya, nao goyosi kasi vimatadawanai eyaeyasi nukusi kuna nunatusiya. Muka. Kwaḡa o fwayafwaya kana matatafu kana tonuvisi, na fasinei kwaḡa kuna vinuwadadanikiya venemokena namoḡa kama matanatotowai, abe namaise.”
GEN.18.26	Yave i iyaviya i bwaduwa, “Namoḡa matatafusi Sodoma sinenei ana gifafafanisiya taki namoḡa eyaeyasi sinesiyai kasi 50 ana nisaisiya.”
GEN.18.27	Ebenaamu i bwadu-savaviniya i bwaduwa, “Yaku tuveka, iyau o ibakaokaoḡo maise gavi keta kausibi atu yota a vibutuwa a nunusifufuwa nofe fasinei. 
GEN.18.28	Taki namoḡa eyaeyasi kasi 50 eatu 5 nenei ina kesa, noko menaninama kuna nuyauniya?”
GEN.18.28	Yave i iyaviya i bwaduwa, “Taki namoḡa eyaeyasi kasi 45 ana nisaisiya, nao muka ana nuyaunei.”
GEN.18.29	Ebenaamu i vikokone-savaviniya i bwaduwa, “Atu namaise taki kasi 40moka nokomai kuna nisaisiya?”
GEN.18.29	Atu i iyaviya i bwaduwa, “Taki kasi 40, muka ana fufuniya.”
GEN.18.30	Ebenaamu i iyaviya i bwaduwa, “Ae yaku tuveka, muka kuna nuwagoyoweiku eatu kuta tenikuwa be ata nusifufuwa. Namaise taki nasi 30 nokomai?”
GEN.18.30	Keta i iyaviya i bwaduwa, “Taki 30 ana nisaisiya, muka ana fufuniya.”
GEN.18.31	Ebenaamu i iyaviya i bwaduwa, “Eiyoi, naki a nusifufumataiya nofe fasinei atu namaise taki 20 kuta nisaisiya?”
GEN.18.31	I iyaviya i bwaduwa, “Taki 20 ana nisaisiya, muka ana nuyaunei.”
GEN.18.32	Yota Ebenaamu i bwadu-savaviniya i bwaduwa, “Ae yaku tuveka, muka kuna nuwagoyoweiku. Atu naki kawa tamokaḡamoka yota ata bwaduwa. Atu taki 10 kuta nisaisiya?”
GEN.18.32	I iyaviya i bwaduwa, “Taki 10 ana nisaisiya, muka ana nuyaunei.”
GEN.18.33	Tovanama si nusifufukooḡa, Yave Ebenaamu i venuteweiya keta i niya, eatu Ebenaamu i makaviniya yana menanai.
GEN.19.1	Guyau kana kaetoḡa abamei kasi nuwa navinavimokeyai si kikinomana Sodoma. Nota menana kana ketakawanai i nuvitoḡa i fakwafakwa. Tovanama i kitisiya, i misiniya i venufotifotisiya eketa nausiyai i koduwa fwayafwayai. 
GEN.19.2	Keta i iyavisiya i bwaduwa, “Aiye, kwa nemai yaku numai be a oviviteimi. Eatu kaemi kwa kigona be kwa viyawasi, eatu kumana matami kwa kitakiyei yo yami ketai kwana niya.”
GEN.19.2	Atu si iyaviya si bwaduwa, “Muka tamo avana. Naki nofemai kana toḡanumasana.”
GEN.19.3	Atu i gwaeḡemokisiya keta nukusi si niya yana numai. Keta ka i fufuniya fasisiyai. Maneka muka na kana nutuva i kaguwana keta si kawa.
GEN.19.4	Muniyai yo sina banuwa, Sodoma menana gunina be ovina kana tufunakata be vituvekasi, matatafumokesi nokomai numa si misini-fanakwaniuwiya. 
GEN.19.5	Nota nenei si bwauwa si bwadubwaduwa, “Namoḡa kasi nuwa kimoki nuwabuna si nemiya neneweu, nama o fiyaomokesi? Ku kikinomana-nemiyeisi nenekiyai be ka mataveyeisi.”
GEN.19.6	Nota i misini-kikinomana numa kawanei atu kumunina kawa i katuguduya. 
GEN.19.7	Keta i iyavisiya i bwaduwa, “Ae unaunaku, fufuna naki goyomokena muka kwana savivinei. 
GEN.19.8	Kwa vaneneḡeiku! Natunatuku vivine kasi nuwa weka, muka tamo namoḡa nukusi sita matavenuvanuva. Taki nuwanuwami maise vivinesima ata kikinomana-nemiisiya nenemiyai be aviyavana yami nuwanuwa kwata saviviniya nenesiyai. Eatu namoḡa nofe a nemiisiya kanonovakuwai, muka kwana ginuvanuvaisi.”
GEN.19.9	Atu si kawafatiya si bwaduwa, “Ku misininai! Kwaḡa tene wagawaga ku nemiya atu nuwanuwau avage kuna vikainakata. Kimoki kwaḡa kana givikuvavaniwa nakatamokena yo tasike nasi nuwa.” Eketa na yasi fiwana Nota si katutunetuniya numa kana kawa kuweyaina avage nuwanuwasi kawa sina vitutuyakweniya.
GEN.19.10	Atu kaetoḡa kasi nuwa numa sinenei nimasi si kitunina, Nota si sinaviya keta si sinakanasuniya eketa kawa si katuguduya. 
GEN.19.11	Atu yasi fiwana nenei namoḡa matatafusi menanai matasi si weikwava be muka kasi fata kawa sina nisaḡai.
GEN.19.12+GEN.19.13	Eketa namoḡa nasi nuwa Nota si iyaviya si bwaduwa, “Tova kabegomokena menana nofe kana nuyauniya. Yave odo nakatamataina i nowaniya menaninama fasinei keta i visimeikiya ka nemiya be kana nuyauniya. Atu tamo ya sabu nofemai? Maise natunatuu namoḡa keta vivine o nawanawau o taki aitevana tamo yota ya sabu menana nofe sinenei, ku kikinomaneisi.”
GEN.19.14	Eketa Nota i kikinomana menanai keta natunatuna vivine kasi sawagivifoteina i matakawisiya. I iyavisiya i bwaduwa, “Yave kabegomokena menana nofe ina nuyauniya. Kwa venudibwana be menana nofe kwa teweyei.” Atu namoḡasima si bwaduwa vitana ita sawasawaviniḡa.
GEN.19.15	Naki tova i gegegesiya kana manawasasai, kaetoḡasima Nota si nuyakayakaniya be ina venudibwana. Si iyaviya si bwaduwa, “Ku venudibwana! Kawau be natunatuu vivine nasi nuwa nukusi ku kikinomaneisi. Akata ina kakaviwa tovanama Yave menana nofe ina vimatadawaniya nenei.”
GEN.19.17	Tovanama si kikinomanisiya menanai, kaetoḡa tamokaḡa i iyavisiya i bwaduwa, “Kwa dibwana be kwana fakwa yawayawasimi! Muka kwana okikine kumunimi yota muka kwana niviyawasinai kawanauwai! Kwa dibwanamoka koya nenesiyai akata ina kakavimiya.”
GEN.19.23	Tovanama Nota ugunina nukusi menana Sowa
GEN.19.24	Yo muniyai iba nununuina muna nenei maise,
GEN.19.25	Eketa naki kana menana be kana namoḡa be yota kisisiku matatafumokena kawanaunama nenei i siwataunisiya. 
GEN.19.26	Atu Nota kumunina kawana si okikineya keta si vitasiya maise gabana.
GEN.21.1	Yave Sena i sawanuwagabubuwiya keta avana yana bwadudabadaba maise i fufuniya. 
GEN.21.2	Tutuyanama Guyau i bwaduwiya nenei aviyavana ina kikinomana, naki i nuvifotiya. Sena i visifuḡa keta i vinatuniya natuna namoḡa tovanama Ebenaamu yana vituveka nenei. 
GEN.21.3	Gwadimonamonanama i tufuwa keta Ebenaamu i weniya kana wava Aisake. 
GEN.21.4	Kuyadayada 8 muninei, Ebenaamu natuna nenei nufifina i saviviniya kiyakiyaya fasinei, namaise Guyau i visimeiya maise. 
GEN.21.5	Ebenaamu kana manamana 100 nenei Aisake i tufuwa.
GEN.21.8	Gwadimonamona i nakata keta tovanama i sokeya nenei, Ebenaamu visoke kana ka i fufuniya. 
GEN.21.9	Noko tovanama nenei Sena si kitiya Isimeni Aisake i sawasawaviniiya. Isimeni o Ebenaamu natuna kana vinuwa, ne Itifita kaetoḡa kasi wava Ega nenesiyai i tufuwa. 
GEN.21.10	Eketa Ebenaamu si iyaviya si bwaduwa, “Kaetoḡa nofe na natusi ku vikikinomaneisi. Muka simo nuwanuwaki tamo ya kaikaiwabu ina vai tovanama kuna mateya. Naki natukiḡa.”
GEN.21.11	Ebenaamu i nuwatadauna bwadunama fasinei uḡuna Isimeni o yota natuna. 
GEN.21.12	Eatu Guyau i iyaviya i bwaduwa, “Muka nuwanuwa ina munuu kaetoḡa na natusi nukusi fasisiyai. Avana Sena si bwaduwiya maise ku fufuniya. Uḡuna Aisake nenei, susukwanama ka wava sina gikikinomaniya. 
GEN.21.13	Atu kaetoḡa natusi o kwaḡa natuu, na fasinei susukwana yota ana givinakasiya be ina vikunuma.”
GEN.21.14	Eketa tova i katakiya nuwabunimokeyai, Ebenaamu tukwava na ukowina keta kabwaga, Ega i vikavanisiya eketa na natusi i teweisiya si niya.
GEN.22.1	Eketa i vinowana i bwaduwa, “O, iyau weka.”
GEN.22.3	Na fasinei Ebenaamu nuwabunimoka i misiniya, yana doniki i gidewadewiya keta i kaiuna vibwanaose fasinei. Eyo tobunanige nasi nuwa keta natuna Aisake i ovisiya keta si noḡokawawa kabainama Guyau i bwaduwiya nenei si niya. 
GEN.22.4	Si niniya atu kuyadayada kana vitonu nenei, Ebenaamu matana i kanakasiya keta kedawanauwai kabaḡanama i kitiya. 
GEN.22.5	Tobunanige i iyavisiya i bwaduwa, “Doniki nukusi nofemai kwana fakwa. Atu natuku nukusi kana niya nokomai, Guyau nenei kana kodukoduwa yo kana makavinikiya nenemiyai.”
GEN.22.6	Eketa Ebenaamu kai kitavina natuna i vikavaniya eatu tauna o kikanakanata keta giniwakuma i givikavinisiya keta si niya. 
GEN.22.7	Si niniya atu Aisake amana i iyaviya i bwaduwa, “Amaku!”
GEN.22.7	Ebenaamu i iyaviya i bwaduwa, “Natuku, ku nusifufu.”
GEN.22.7	Eketa Aisake i iyaviya i bwaduwa, “Kikikweu keta kikanakanata o nofe, eatu sifi mwanavauna vikanakooḡa bwanaosena fasinei o namai?”
GEN.22.8	Ebenaamu i iyaviya i bwaduwa, “Natuku, Guyau tauna yawane sifi mwanavauna ina venita vibwanaose fasinei.” Eketa si nikaokaoḡowa si niya.
GEN.22.10	Yana giniwakuma i sinayaginiya be natuna ina nuvimatiya. 
GEN.22.11	Eatu tovanama nenei, abamei Yave kana kaetoḡa i bwauwiya i bwaduwa, “Ebenaamu! Ebenaamu!”
GEN.22.11	Ebenaamu i vinowana i bwaduwa, “O, iyau weka.”
GEN.22.12	Eketa Yave kana kaetoḡa i iyaviya i bwaduwa, “Muka natuu kuna givikuvakuvavanei o avana tamo goyona kuna fufuniya nenei! Nofe kimoki o a sanamanemokiwa gewa Guyau ku vifotuwiya uḡuna natukatekateu atu muka kuta nuwanononei nenekuwai.”
GEN.22.13	Ebenaamu matana i kanakasiya keta sifi namoḡa i kitiya kisisiku sinenei ketuketuna kana vinaḡanaḡana nenei i nukabwakuya. I niya yomuyomunama i viya, i nuvimatiya keta i vikanakoḡoiya yana bwanaose Guyau nenei eatu muka natuna. 
GEN.22.14	Noko nenei eketa kabainama i weniya 
GEN.22.15	Eketa abamei Yave kana kaetoḡa Ebenaamu i bwauwe-savaviniya i bwaduwa, 
GEN.22.16	“Nofemaise Yave i bwaduwa, ‘Fonaku ku nowaniya keta natukatekateu atu muka kuta nuwanononei nenekuwai na uḡuna kaku wavai a bwadudabadaba neneweu, 
GEN.22.17	vitana venemokena ana sawanuwagabubuwiwa be susukwau nakatamokena ana veniwa. Sina yagwana vitana kinavinavi abamai yota numagama kwadewai maise. Kasi aviya sina vatanisiya keta yasi menana sina vitoniwagina. 
GEN.22.18	Susukwau nenesiyai eketa kunuma matatafusi fwayafwaya etanei ana sawanuwagabubuwisiya uḡuna fonaku ku muniiya.’”
GEN.22.19	Ebenaamu na natuna si makavinisiya yana tobunanige nenesiyai eketa matatafusi si makavinisiya Biyasiba namai Ebenaamu i fakwafakwa nenei.
