LUK.1.1	O danah naŕi Tiofilus, danah kuŕum la os ag tatam keŕ keŕ ig gamnigwa beko atan qeri né ene yeg. 
LUK.14.21	Kekuak nir qe buliko atko lo memeg qe amegwa anan. Anew ge, lo memeg qe uhŕibew kuak nir nusigri anan, ‘Ofeŕnah atka taunwa ih naŕi am nounu olewa o duak danah, ewlag félag nou ole am amlag gaŕu ole qe diarka uŕi,’ eko anan. 
LUK.14.22	Kekuak nir qe qere seko ge anan, ‘Danah naŕi, na aniŕam sillah sém, gam lo ospi ambé.’ 
LUK.14.23	Géri mallen memeg kekuak nir nusigri anan. ‘Na atka taun dimdim ih naŕiwa am nounuwa ole keigarwe uŕiweg da loul ambar. 
LUK.14.24	Da anarina, da danah tatam uŕwarwi mineg ole qe kunum mallen dasilwa ke nagurnah ospi leweg,’ eko anan,” Yesus qere anaran.
LUK.14.25	Danahas ameg naŕi Yesus dimlamdeppeg, nug buliko danahas qe anaran. 
LUK.14.26	“Oun os dagrowa durigri dew pe, nug dasil o naŕi mousar. Am nug memegri am anigri, wawri, nir nusgur dilag, awgur kamgur dilag, am kéwingur dilag am nugégé nusig o naŕi niew pe, nug da begal diakri olele kawa. 
LUK.14.27	Am oun os nug nugégé nusig ker mawanak ospi mouko am da pi dimlamiŕko pe, nug da begal diakri olele kawa
LUK.14.28	Am ag olagwa danah usih os lo welah am karan os furigri ge, nug dako qarég gane touŕko lo fuko malarigri qe dahmeko peko am digumérig. 
LUK.14.29	Keŕdi nug digumeko lo lagko am pi malarig ge, danah kunum lo qe peksi siwegkoleksi ere anlag. 
LUK.14.30	‘Danah ene lo digumeko fuan gam nug malwakri olele kawa,’ éksi anorlag. 
LUK.14.31	Am king os 10,000 fan danah ih ole nug king os 20,000 fan danah ole fan selasri ge, nug lia qe éŕurdigri ge delle dahmeko koutorko peko digumeko fan sérig. 
LUK.14.32	Nug olele kawa dew pe, king os qe lawaŕ dewew danah os anarew keŕ ihwa olas usih melasri koŕmorlagri atlag. 
LUK.14.33	Am ih qewa, ag oun os nug keŕ keŕ nusig qe kunum pi dimorko pe, nug da begal diakri olele kawa.”
LUK.14.34	“Sol ge keke kena, gam nug mumda kawa mew ge, areg seweg am buliko mumda ole darig? Kawa. 
LUK.14.35	Sol mumda ole kawa qe nug ker os diguwa wanwa meko ker ke morakri kawa, nug kekuak ole kawa. Qeri sol qe touŕweg ate. Oun os doug né duakri ole dew pe, né ene doko koutorar,” eko Yesus anaran.
LUK.15.1	Deŕ os takis wak danah am hipunin danahas ole qe ag Yesus né mariew dolagri uŕiyeksi qagleg. 
LUK.15.2	Gam Farisi am Mosesri Ŕo duak danah ole né né marieksi aneg, “Danah ene hipunin danah ole liam pateksi aŕié ke lési.” 
LUK.15.3	Géri Yesus né tonak ene anaran. 
LUK.15.4	“Ag olagwa danah os nug sipsip 100 qere ole darig am sipsip usih os lariew ge, nug areg sérig? Nug 99 qe minarew awen gisgaŕ olewa deppeg am nug atko sipsip usih larie qe pi te mariko pew? 
LUK.15.5	Am sén nug peko ge, o gamag asew sipsip qe sumko guqawa meko mouko louw ate. 
LUK.15.6	Atko ge, nug leigur am nusigwari qe ole uŕwarew uŕiyeksi qagulweg anare. ‘Ig onig gamag asar. Keŕdi da sipsip dasil usih larian qe peko buliko wém.’ 
LUK.15.7	Da anarina. Kowol qewa ih, hipunin danah os o buliew ge, saw kappa ole olag gamag asak naŕinah nie am danah mangu 99 olag buliakri olele kawa qe dilag olag gamag ase qe eŕdak.”
LUK.15.8	“Qe sillah, as os qarég silwa
LUK.15.9	Am sén nug peko oko ge, leigur am nusigwari qe ole uŕwarew uŕiweg anare. ‘Ag da ole onig gamag asar, keŕdi qarég silwa dasil larian qe peko buliko wém.’ 
LUK.15.10	Da anarina. Kowol qewa ih, hipunin danah os o buliew ge, Tiwurdi doup qe ag ole olag gamag ase,” eko anan.
LUK.15.11	Yesus né ene buliko anaran, “Danah os békuŕ aŕit ole daré. 
LUK.15.12	Géri nag dimbari ge memegri anan, ‘Mem, na keke wasaŕka dasil sillah qe miŕ.’ Géri memeg keke kunum nakuŕ dilas wasaŕko matan. 
LUK.15.13	Wagam ole kawa, nag dimbari qe keke nusig kunum qaglew daren meg. Meweg qarég oko oŕwelle atu os una qewa atan. Atko qewa delle ge, nug o mourakwa ih nouwa qarég sew kawa man. 
LUK.15.14	Kawa mew dimba ge, atu qewa laké naŕi nian. Niew ge, nug digumeko qagrakwa dian. 
LUK.15.15	Géri nug atu qewari danah os dowa kekurigri atew ge, danah qe sew atko awen qewa fo nusig ke marelle gumardé. 
LUK.15.16	Nug laké qew fo tounam gone mardé ole qe lérigri o naŕi daré, gam ounté kité ospi mordé. 
LUK.15.17	Sén dahmak kena nugrowa uŕiyew ge, nug nugégé anan, ‘Da memri kekuak nir ge ag ke olele, gam da ge ewa lakéri mousdil seina. 
LUK.15.18	Da mem dowa buliko atko andil, “Mem, da Tiwur nohwa am na nomba ole hipunin sein. 
LUK.15.19	Da na nam eka aniŕdipri olele kawa, gam sewe da kekuak nir nasip de,” ’ eko andil, eko anan. 
LUK.15.20	Géri nug asko buliko memeg dowa atan. Gam nug ih una uŕiyewew memeg peko nusig o dow guko atko qagru oŕako gamnurko kis moran. 
LUK.15.21	Géri nag memegri anan, ‘Mem, da Tiwur nohwa am na nomba ole hipunin sein. Da na nam diakri olele kawa.’ 
LUK.15.22	Gam memeg kekuak nir nusgur dilag anan, ‘Ag ofeŕ féŕu bala kenanah qe uksi méksi mores. Eweg doŕohwa ring oŕaweg now am fég gaŕa méksi mores. 
LUK.15.23	Am makau yu titŕaknah qe qéksi ke naŕi seweg lettu onig gamag asar. 
LUK.15.24	Keŕdi ig da nal ene mousko malwan qere dahmet, gam buliko uŕiyé. Nug larian, gam buliko peko wém.’ Géri ag olag gamag asakwa ke naŕi qe leg. 
LUK.15.25	Sén qe, nag digam nug dara dian. Nug uŕiko lo mourko dolle ge, kasi seppeg uttulag duan. 
LUK.15.26	Géri nug kekuak nir os uŕwurew wanew ge, koŕmoran, ‘Uni keŕ sessi sési?’ 
LUK.15.27	Kekuak nir qe anan, ‘Na kamap ge buliko uŕiyé. Am na memen makau yu titŕaknah qe qew ke naŕi sam. Keŕdi nug nag larian qe gurak ospi wan kena ih buliko uŕiyew o gamag asew sé,’ eko anan. 
LUK.15.28	Gam awag ge uhŕibew lo owa nuak minan. Géri memeg dimdim wanko lo owa nurigri sinanah koŕmoran. 
LUK.15.29	Gam nug memegri anan, ‘Na pe! Da makaŕ kuŕum nasip kekuak sam sein am né nasip ospi tappi nan. Gam qeri na meme yu usih ospi miŕwe da leilar ole ke nag ospi séktu let. 
LUK.15.30	Sén na nam ene qarég nasip naŕi oko atko o mourakwa ih nouwa am ihwari as feŕlagwa sew kawa mew, am buliko louw uŕiyew ge, na makau yu titŕaknah qeka moŕam,’ eko anan. 
LUK.15.31	Géri memeg anan, ‘Da nal, na sansan da ole daŕu. Am keke dasil kunum qe nasip. 
LUK.15.32	Gam ig ke lettu onig gamag asé, keŕdi na kamap ene mousan gam fouman. Nug larian gam buliko kappa uŕiyew ge, ig buliektu piam,’ eko anan,” Yesus qere anaran.
LUK.16.1	Yesus bégur anaran, “Sén os danah kéhu oleri kuak nir dilag anqak danah keke nusig kunum gumardé ole qe daré. Deŕ os danah os atko danah kéhu ole qe amegwa kekuak nir nusgur dilag anqak danah qe qarég nusig sew kawa meré qeri anoran. 
LUK.16.2	Géri nug uŕwurew now koŕmoran, ‘Danah nasip marisi qe meŕe te? Keŕdi na kuak qewari malwirdil, na qarég areg gumen qe kunum ole yaka miŕ,’ eko anan. 
LUK.16.3	Géri kekuak gumak danah qe nugégé anan, ‘Danah naŕi da gumŕe ge kuakwari géŕildig, géri da aregnah séril? Da dar kekuakri gagragsak ole kawa am da nuqak uŕal ne. 
LUK.16.4	Sén da kekuak ewari malwiŕew ge, aregnah séwi danahas wiŕweg loulagwa danigri ge da duina,’ eko anan. 
LUK.16.5	Géri nug né mew danah naŕi nusig qeri qarég noh makri danah qe usih usih uŕiyeg. Anuqko uŕiyan qe koŕmoran, ‘Na keke gane bulika noh meka danah naŕi dasil murdip?’ 
LUK.16.6	Danah qe né noh meko anan, ‘Oliw goŕen siné 100 qere.’ Kuak gumak danah anoran, ‘Na pepa bulika noh makri ene oka ofeŕ qere daka siné 50 ih qere ya,’ eko anoran. 
LUK.16.7	Qe dimba am danah os dow koŕmoran, ‘Am na ge keke gane noh mérip?’ Danah qe koŕmak noh meko anan, ‘Reis bek 100 qere.’ Kuak gumak danah anoran, ‘Pepa bulika noh makri nasip enan da oka 80 bek ih qere ya.’ 
LUK.16.8	Qeri danah naŕi qe kekuak gumak danah kena kawa qeri ‘Kena sam. Na duak kena ole,’ eko anoran. Keŕdi danah wan ewari ag keke gumarakri duak qe ag dosi koutursi, danah kamsahlak owari dilag duak qe eŕarak. 
LUK.16.9	Da amlagwa anina. Keke wan ewariwa ag leilgar kehnares, geisah keke qe ole diakri sén olele morew, Tiwur ag sumarew saw kappa awen ole dalag. 
LUK.16.10	Oun os nug keke nagur pesorko gumdig ge, nug keke naŕi ole pesorko gumdig. Am oun os nug keke nagur nouni gumdig ge, nug keke naŕi qe ole nouni gumdig. 
LUK.16.11	Géri wan kéhu nouni gumarlag ge, oun nug saw kaw kéhu meŕenah qe gumlagri mardig? 
LUK.16.12	Am ag danah osri keke nouni gumarlag ge, oun nug keke asilagnah qe mardig? Kawa. 
LUK.16.13	Kekuak nir os danah naŕi aŕit dilas sén usihwa kekuakri olele kawa. Nug os ge dimorelle am osri ih o nirig. Nug os ge dimlamdelle am os ge mindig. Qe sillah ag Tiwur méŕiwanessi am keke wan ewari ole méŕiwanakri olele kawa,” eko anan. 
LUK.16.14	Qere anew ge, Farisi qarégri olag niré ole qe dueksi Yesusri né siwkolessi aneg. 
LUK.16.15	Né siwkolessi anweg ge, nug anaran. “Ag ansi, ‘Danah amlagwa ig mangunah,’ gam Tiwur ge ag olag pe am due. Danah ag keŕ kekeri olag naŕi nie ole ge, Tiwur amegwa keke qe nouninah.”
LUK.16.16	“Mosesri Ŕo am profet dilag né kusweppeg uŕiyew Yonwa patan. Qe dimba ge, Tiwurdi Kingdomri né kena qeri kusweppeg uŕiye. Am danahas kunum qewa nolagri kekuak naŕi sési. 
LUK.16.17	Wan saw ole ge kawa mérigri kug kawa, gam Tiwurdi Ŕo Yak ge nagurnah ospi kawa mew. 
LUK.16.18	Danah oun os waw munurko am as la urig ge, nug doŕ dilag kowol qe sérig. Am danah os as gému mundak urig qe ole nug doŕ dilag kowol qe sérig,” eko anan.
LUK.16.19	Yesus né marielle am né ene ole anaran. “Danah os kéhu ole am nug féŕu bala kena kenanah meré. Nug deŕ dorog keke kunum olele daré. 
LUK.16.20	Nusig kaŕ ihŕamba ge o duak danah os wénih Lasarus qe niré. Lasarus nug féŕu kunum isi olele morak. 
LUK.16.21	Am nug danah kéhu ole qe lougwari ke le minak biŕa os lelemba daré. Am o duak danah ge qé isi meŕweppeg daré. 
LUK.16.22	Sén dow o duak danah Lasarus mousew, Tiwurdi doup maweksi ateksi awen kena Abraham dianwa Abraham waŕutqorweg des. Danah kéhu ole qe ole mousew suhmeg. 
LUK.16.23	Nug kew pi qouse olewa gurak naŕinah olle delle amnew tew ge, Abraham unanah uwa pian. Lasarus ole waŕutqorak dewew pian. 
LUK.16.24	Géri nug Abraham uŕwuran, ‘Mem Abraham, da nuqrina. Na dasil ot dow Lasarus anwe eweg guŕ noh lewa meko lémŕul oug mérigri mar. Keŕdi da kew ewa gurak naŕinah wina,’ eko anan. 
LUK.16.25	Gam Abraham noh meko anan, ‘Nir dasil, na dahmor. Na wanwa keke kena ot nian ole qe kunum on, gam Lasarus ge keke nou qe diaran. Gam gei ge nug gamag asewew ewa de am na ge gurakwa dana. 
LUK.16.26	Am ole, ig gamnigwa kuhaŕ naŕinah nie, géri oun ewari agrowa wanakri olele kawa am qewari ole igrowa ewa mataŕko duakri olele kawa.’ 
LUK.16.27	Danah kéhu ole ge Abrahamri anan. ‘Da nuqrina, mem! Lasarus anwe da memel lougwa atar. 
LUK.16.28	Keŕdi da awlar kamlar tanig ole ena dasi. Nug gagrag anarew da gurak duina awen enewa ag aw uŕiweg,’ eko anan. 
LUK.16.29	Abraham noh meko anan, ‘Mosesri Ŕo am profet dilag né yak nie, géri minwe ag qe dues.’ 
LUK.16.30	Géri nug anan, ‘Kawa, mem Abraham. Qe olele kawa. Danah os mousko am buliko asko atko amlagwa andig qe ih ge, ag dueksi olag bulirig.’ 
LUK.16.31	Abraham nug anoran, ‘Ag Moses am profet ole dilag né dueksi pi dimlamurlag ge, danah mousko am sirko anarew qe ole ospi dueksi dimlamurweg,’ ” eko Yesus anan.
LUK.17.1	Yesus bégur anaran, “Sak o kowol seweg danahas hipuninwa tolalagri qe uŕilag, gam danah qe sérig ole ge nug kug os perig. 
LUK.17.2	Danah qe sew nir nagur ene os hipunin sew pe, nug fagwa qar naŕi eiseksi touŕweg iwba nurig olelenah. 
LUK.17.3	Qeri dahméksi koutores. Na liap nagrowa hipunin sew pe, gaŕa morwe buliko aw sew. Am nug o buliew kowol qe minko dimorew ge, hipunin noh nusig kusuqka dowe dout katiar. 
LUK.17.4	Am nug deŕ usihwa nagrowa hipunin seko 7 qere patko am buliko sén 7 qere patak uŕiko ‘Kowol qe nouni sém,’ elle o buliew pe, hipunin nusig kusuqka dowe dout katiar,” eko anaran.
LUK.17.5	Aposel
LUK.17.6	Nug noh meko anaran, “Ag olag meŕe mak nagurnah kapis ég sillah darig ge, ag ker naŕi giŕam eneri anlag, ‘Na siŕka atka iwba diŕin noka be,’ éksi anweg nug dimlamurko qere sérig.”
LUK.17.7	“Né os anwi dolag. Ag olagwa usih os nug kuak nir nusig wan kopattig am sipsip gumardig. Sén nug kuak awenwari uŕiyew ge, danah naŕi nusig ‘Na ere daka ke le,’ eko anurdig te? 
LUK.17.8	Kawa. Nug ere andig, ‘Na le loka bawarka ke dasil se. Na amel meka deppe da ke lewi tatam, am na ke le.’ 
LUK.17.9	Kuak nir nusig né dimlamurko keke kunum sérig, qeri danah naŕi nusig ‘Kena sam,’ eko ospi anew. 
LUK.17.10	Géri ag ole Tiwur keŕ sakri ane qe kunum séksi malweksi ge, ag anes, ‘Ig kuak nir nasip sam. Ig kekuak migak qe sam,’ éksi anes,” eko anaran.
LUK.17.11	Sén Yesus Yerusalem attigri atelle Samaria atu uŕiko patak qe dimlamurko atan. 
LUK.17.12	Nug atko kaw oswa nowew, danah 10 qere leprasi ole peksi unaka pi waneg lawaŕ deg. 
LUK.17.13	Dessi ge, ag uŕweksi anoreg. “O danah naŕi, Yesus! Na isanig ot duar!” 
LUK.17.14	Sén nug piarko ge anaran, “Ag ateksi feŕlag pris
LUK.17.15	Danah 10 qe kunum feŕlagwa leprasi pasaorew peg. Gam danah usih os sén féŕu pasaorew peko ge, fag naŕiwa qalko Tiwur binag sumelle buliko uŕiyan. 
LUK.17.16	Nug atko Yesus nohwa ole fégwa gatewa yako duk noko “Kenanah sam,” eko anoran. Am nug ge Samaria danah. 
LUK.17.17	Yesus koŕman, “Danah 10 qere séwi feŕlag pasaoré. Am danah 9 qere ge arewa dasi? 
LUK.17.18	Aregri uŕiyak danah usih ene ih Tiwur binag mérigri buliko uŕiyé?” 
LUK.17.19	Qere anelle Samariarer qeri anan, “Aska eit, na ot meŕe mak qewa Tiwur féŕun sew pasaoré,” eko anoran.
LUK.17.20	Deŕ os Farisi danah Yesus koŕmoreg. “Ganeh Tiwur king beko danahas nusgur gumardig?” Yesus noh meko anaran, “Tiwurdi Kingdom digumeko bérig ge ag amlagwa peppeg pi bew. 
LUK.17.21	Danahas ‘Enan de,’ am ‘Unan de,’ éksi ospi anweg. Keŕdi Tiwurdi Kingdom iŕil uŕiyan danahas gamlagwa de,” eko anan. 
LUK.17.22	Yesus bégur dilag anan, “Sén qe uŕirig qewa ag da Danah Bega deŕ usih os peiŕlagri selag, gam ag ospi peiŕweg. 
LUK.17.23	Danah anarlag, ‘Mesaia
LUK.17.24	Keŕdi Danah Bega da uŕirildi deŕwa saw karan ampiŕ oko atu kunum olele more qe sillah peksi ge dolag. 
LUK.17.25	Gam tatam ge, da gurak naŕi uril am geiri danahas dimiŕlag. 
LUK.17.26	Nuari sénwa danahas kowol nou seréw qe sillah Danah Begari uŕiyak sénwa ole qere ih selag. 
LUK.17.27	Danahas ke leg, le leg, danahas nug oppeg atew atew ole Nua kuh naŕinah qe owa nuan. Sén qewa gu naŕi neko le kue naŕi bew paral meg. 
LUK.17.28	Qe sillah Lotri sénwa ole qere seréw. Danahas ke lessi, le lessi, keke darendi maressi, keke fou daren maressi, ke keharessi am lo fuaressi daréw. 
LUK.17.29	Gam Lot Sodom minko atewew sén qewa ge, Tiwur sew kew am qar aŕelle saw karandi gu sillah neko aŕarew kunum ole paral meg. 
LUK.17.30	Qe sillah danahas pi bawrak deppeg deŕ qewa Danah Bega kamsahlak gun olewa uŕirig. 
LUK.17.31	Deŕ qewa danah os loug dimdim darig ge, lo owa keke nusgur diardigri pi now. Qe sillah danah os dara darig ge, lougwa keke diardigri buliko ospi atew. 
LUK.17.32	Keŕ ihwa Lot waw paral man qe dahmores. 
LUK.17.33	Oun os nug nugégé kowol kunum nusig dimlamurko ge, foumak sansan diakri ospi ow. Gam oun os kowol kunum nusig dimorko da dimlamŕelle mousdig ge foumak sansan diakri urig. 
LUK.17.34	Da anarina. Danah Bega uŕirig sén qewa danah aŕit os tuqan aŕié nieppes ge, os ge olle am os ge munurdig. 
LUK.17.35	As aŕit os aŕié ke sagŕessa dalas ge, os ge olle am os ge munurdig.” 
LUK.17.36	(Danah aŕit os aŕié dar usihwa dalas ge, os ge olle am os ge munurdig.) 
LUK.17.37	Yesus né mariko malwew, ag koŕmoreg. “Naŕinah, qe arewanah bérig?” Nug koŕmak noh meko anaran. “Awen arewa doŕ mousak os niewew ge, tum qewa qagulsi. Qe sillah, da lugmak ospi uŕiwin ag dueppeg uŕiril,” eko anaran.
LUK.18.1	Am Yesus nug Bégur 12 unuqorak pi minweg sansan unuqorlagri né tonak ene amlagwa anan. 
LUK.18.2	Nug anan, “Né kepŕak danah os taun oswa daré. Nug Tiwur pi faŕurdé am danah dilag ole pi dahmeré. 
LUK.18.3	Am as qehŕas os taun qewa daré. Nug bulibuli né kepŕak danah qe dowa atko nuqurko andé. ‘Kegeŕ dasil nouni siŕan. Qeri na da dimulwa daka né dasil kepaŕ,’ eko anan. 
LUK.18.4	Sén welah né kepŕak danah qe kité ospi san, gam dimba nug nugégé anan. ‘Da Tiwur pi faŕdina am danah dilag ole pi dahmeina. 
LUK.18.5	Gam as ene bulibuli dagnéwa uŕiyew séŕiag iwŕe, géri né nusig kepaŕko mangu murdil. Keŕdi nug sew da kéwsil kawa ospi mew!’ eko anan.” 
LUK.18.6	Am Yesus anan, “Né kepŕak danah mangu kawa nug keŕ eko anan qe dues. 
LUK.18.7	Am Tiwur nug danahas nusgur kepŕaran qe dilag kug tuqan kémun ole unuqorakwa mursi ge, asilag seko pi te mangu morko mare? Nug qere duelle te darig? Kawa. 
LUK.18.8	Da anarina. Nug ofeŕdi mangu morko mardig. Gam sén Danah Bega da wan ewa buliko uŕiko ge, o meŕe mak danah os piardil te?” eko koŕmaran.
LUK.18.9	Danah os ag dueg ge ag mangu essi am la kunum ge sam sillah duardéw qeri Yesus né tonak ene anaran. 
LUK.18.10	“Danah aŕit os unuqorlasri Tiwur Lougwa ates. Os ge Farisi danah am os ge takis wak danah. 
LUK.18.11	Farisi danah qe asko lawaŕ delle nug unuqoran. ‘Tiwur, da na kena sam eko anirina, keŕdi da danah la kunum sillah kawa. Da yawsen danah kawa, sak nou sak danah kawa, danah la walgar diko weiyak danah kawa, am takis wak danah ene sillah kawa. 
LUK.18.12	Da kuha usihwa kurdako aŕit patina am keke kunum wina ge watiwi ameg 10 qere new ameg usih qe na mirina,’ elle unuqoran. 
LUK.18.13	Gam takis wak danah ge lawaŕ asko delle saw karan os ole pi amnan, gam eweg damkowa meko delle unuqoran, ‘Tiwur, da hipunin danah. Na dasil ot dow hipunin dasil kusuqka miŕ,’ eko anan. 
LUK.18.14	Da anarina. Takis wak danah qe Tiwur hipunin nusig noh kusqew Tiwur nohwa danah mangu delle lougwa atan. Gam Farisi danah ge qere kawa. Keŕdi oun due nug wénih ole ge, Tiwur sew nug wénih kawa darig. Am oun nug due nug wénih kawa ge, Tiwur sew nug wénih ole darig,” eko anan.
LUK.18.15	Danahas Yesus nir yu feŕlagwa eweg meko wittak kena mardigri dieksi dog. Sén Yesus bégur ag piareksi ge, gaŕa mareg. 
LUK.18.16	Gam Yesus nir nounu uŕwarew nugrowa doweg ge anan. “Nir nounu paŕwarweg dagrowa dos. Ag aw dagarweg. Keŕdi danahas nir nounu ene sillah qe Tiwurdi Kingdom ge asilag. 
LUK.18.17	Da meŕenah anarina. Danahas are nir nounu ene sillah ag Tiwur kallowa pi dalag ge, ag Tiwurdi Kingdom owa ospi noweg,” eko anan.
LUK.18.18	Yuda dilag kuri danah os Yesus koŕmoran, “Duak marak danah kena, da aregnah seko foumak sansan diakri uril?” 
LUK.18.19	Yesus koŕewa oko anan, “Na keŕdi dasil kena eka anam? Ounté kena os kawa. Tiwur nug nugé ih kena. 
LUK.18.20	Na Tiwurdi Ŕo 10 dona: ‘Na watnah dewew as la ole aw weiwes, danah aw dug kowen, yawsen aw sewen, né dar aw mewen, am anin memen ole kallolaswa denna koŕlas dimlamur,’ ” eko anoran. 
LUK.18.21	Anew kuri danah qe anan, “Ŕo qe kunum ole da nir nagurwa delle dimlamurwi uŕiyan,” eko anan. 
LUK.18.22	Sén Yesus né qe doko ge anoran, “Na ih usih os tuqren. Na kéhun kunum anwe daren meweg am qarég oka o duak danah marka ge, na saw kappari wittak kena qe urip. Qere seka ge, doka da dimlamiŕ,” eko anan. 
LUK.18.23	Gam nug danah kéhu naŕi ole géri, sén Yesus qere anew doko ge neko qan. 
LUK.18.24	Géri Yesus danah qe neko qew peko anan, “Danah kéhu ole os keke nusig kunum minko Tiwurdi kingdomwa nurigri ge kug ole. 
LUK.18.25	Meŕenah, doŕ naŕi wénih kamel ge keke titiyakri nil oŕewa nurigri ge kug ole, gam danah kéhu ole ge Tiwurdi kingdomwa nurigri ge kug qe eŕdak.” 
LUK.18.26	Danahas né qe dueksi Yesus koŕmoreg, “Am oun ge foumak sansan diakri urig olele?” 
LUK.18.27	Yesus koŕmak noh meko anaran, “Keŕ os danah sakri olele kawa ge, Tiwur ge sérig olele,” eko anan. 
LUK.18.28	Anew Pita anoran, “Ig na dimlamirnigri keke isangar kunum minaret,” eko anan. 
LUK.18.29	Anew Yesus anaran, “Da meŕenah anarina. Danah os nug Tiwurdi kingdomri seko loug minko, waw minko awgur kamgur minarko, anig memeg ole am nir nusgur minarko asdig ge, 
LUK.18.30	nug sén wan ewa dewew saw kappari wittak kena kuŕum tatam moran qe eŕdak murdig am keŕew né foumak sansan diakri ole murdig,” eko anaran.
LUK.18.31	Yesus Bégur 12 qe uŕwarew wanweg agé dessi anaran, “Ig Yerusalem tehut ge, Danah Begari né profet yeg qe kunum mou bérig. 
LUK.18.32	Danah ag Danah Bega uksi Yuda danahas kawa la qe ewlagwa melag. Meweg ag geisah nug siwegkolessi uksiuksi qoressi sunu qessi qisleksi am qeweg mousdig. 
LUK.18.33	Gam deŕ kiamba ge nug buliko asdig,” eko anan. 
LUK.18.34	Nug Bégur ag né qe kunum dueg, gam olag ospinah mouran. Né digu lugman, géri ag nug keŕ eko marian ge sam sillah dueg.
LUK.18.35	Yesus Yeriko wandigri wanewew, danah os ameg gaŕu ole ih dougwa ninapiŕko delle nuqran. 
LUK.18.36	Sén nug danahas ameg naŕi duksi eŕdeksi ateppeg uttulag doko koŕman, “Areg sé?” 
LUK.18.37	Danah os anoreg, “Yesus Nasaretrer qe doko wane,” éksi anoreg. 
LUK.18.38	Anweg ge, nug uŕuko anan, “Yesus, Dewit fuŕuh, na dasil ot dow pe kéhniŕ!” eko anan. 
LUK.18.39	Danah anqeksi waneg qe gaŕa moreksi, “Na torka da,” éksi anoreg. Gam nug qalko uŕwan, “Dewit fuŕuh, na dasil ot duar!” eko anan. 
LUK.18.40	Yesus fég yako delle nuqak danah qe omalko nugrowa duakri anan. Unaka dow Yesus koŕmoran. 
LUK.18.41	“Na da keŕ sérildi ot nie?” eko anan. Anew danah ameg gaŕu ge anan, “Naŕinah, da amindil ol nie,” eko anan. 
LUK.18.42	Anew Yesus anoran, “Na amin. Na ot meŕe mak qewa Tiwur sew kena mam.” 
LUK.18.43	Usihri nug ameg koptew ole Tiwur binag melle Yesus dimlamdan. Sén danah kunum qe peksi ge, ag ole Tiwur binag meg.
LUK.19.1	Yesus Yeriko taun owa noko ih dimlamurko atan. 
LUK.19.2	Danah os wénih Sakias nug qewa dian. Nug takis wak danah qe dilag kuri am nug kéhu ole. 
LUK.19.3	Nug Yesus ge oun qe perigrinah san gam olele kawa. Keŕdi nug danah kutuk am danah kuŕum am qataorak. 
LUK.19.4	Géri nug anuqko guko atko guŕaw ker naŕi os teko Yesus qere wanew perigri qewa ameg meko dian. 
LUK.19.5	Sén Yesus awen qewa wanko amnew tew peko ge anoran, “Sakias, na ofeŕ ne. Keŕdi da gei ole na loutwa daril.” 
LUK.19.6	Géri Sakias usihri neko gamag asakwa Yesus gamnurelle omlew lougwa ates. 
LUK.19.7	Danahas kunum qere peksi Yesusri né né marieg, “Nug aregri hipunin danah enenah lougwa ŕo até,” éksi aneg. 
LUK.19.8	Louw ge Sakias asko Naŕinahri anan, “Naŕinah, na né ene doka. Da keke dasil kunum gamagwa watiko leis ge o duak danah mardil. Am da oun os darmakwa qarég kaŕdin ge waŕos patak noh meko murdil,” eko anan. 
LUK.19.9	Yesus anoran, “Gei ole Tiwur na fénarwa ole dilag hipunin noh kusqé. Am danah ene ole Abraham fuŕuh. 
LUK.19.10	Qeri Danah Bega nug oun os gattu owa de qe mariko peko buliko ow Tiwurdi uhŕibak éŕurdigri uŕiyan,” eko anan.
LUK.19.11	Yesus né qe mariew dueppeg, nug Yerusalem mourak nuan am danahas ag Tiwurdi Kingdom usihri wanwa bérig éksi dahmeg. Géri Yesus né tonak ene anaran. 
LUK.19.12	“Danah binlag ole qe fuŕuh os atu una oswa atew king darigri wittak morew uŕirigri atan. 
LUK.19.13	Géri nug kekuak nir nusgur 10 qere anew noweg usih usih qarég gol mina
LUK.19.14	Gam danah nusgur os danah naŕi qeri olag pi nian ole qe danah la os nug dimugri meŕarweg danah naŕi qe atanwa ateksi, ‘Ig danah ene king isanig diakri onig pi nie,’ ellagri ateg. 
LUK.19.15	Gam nug king beko buliko kawagwa uŕiyan. Uŕiko ge, kekuak nir nusgur 10 qere qarég maran ole qe dilag né man. ‘Ag qarégwa kekuak areg seg?’ qe dorigri koŕmaran. 
LUK.19.16	Kekuak nir anuqko duan qe anan. ‘Danah naŕi, qarég na miŕen qe kekuak murwi qarég gol mina 10 la ole qaŕewa ban,’ eko anoran. 
LUK.19.17	Anew king nusig doko ge anan, ‘Kena sen. Na kekuak nir dasil kena. Na qarég nagurwa kekuak kena sen, géri gei na taun ten qere gumardipri anina.’ 
LUK.19.18	Am aŕit patak qe doko anan, ‘King dasil, qarég nasip kekuak murwi qarég gol mina tanig ole la qaŕewa ban,’ eko anan. 
LUK.19.19	Anew ge king nusig anoran, ‘Na taun tanig ole gumardip.’ 
LUK.19.20	Am kekuak nir kiam patak qe doko anan, ‘King dasil, qarég gol mina usih nasip na miŕen ge enan. Da lamen qariwa saputko pesorko méwi dian. 
