GEN.1.2	Na asase da hɔ hunu a ɛnni bɔbea biara, na esum wɔ ebunu no ani. Na Onyankopɔn honhom butu
GEN.8.10	Na ɔtwɛn nnanson bio, na ɔsomaa aburuburo firii adaka no mu bio. 
GEN.8.11	Na aburuburo no baa ne nkyɛn anwummerɛ, na hwɛ, ngo dua ahahan frɔmfrɔm tua n’ano. Noa hunuu sɛ nsuo no awe asase so. 
GEN.8.12	Na ɔtwɛn nnanson bio no, ɔsomaa aburuburo no; na wansane amma ne nkyɛn bio. 
GEN.8.13	Na Noa afe a ɛtɔ so ahansia ne baako, bosome a ɛdi kan no da a ɛdi kan no na na nsuo no awe asase soɔ. Na Noa yii suhyɛ no firii adaka no so, na ɔhwɛe, na hwɛ, na asase ani awo. 
GEN.8.14	Bosome a ɛtɔ so mmienu no da a ɛtɔ so aduonu nson no na na asase so awo koraa.
GEN.8.15	Na Onyankopɔn kasa kyerɛɛ Noa sɛ: 
GEN.8.16	Firi adaka no mu, wo ne wo yere, wo mma ne wɔn yerenom a wɔka wo ho; 
GEN.8.17	 mmoadoma a wɔka wo ho nyinaa a ɛfiri honam nyinaa mu, nnomaa ne ntɔteboa ne deɛ ɛwea asase soɔ nyinaa ne wo mfiri adi, na wɔnwo, na wɔnnɔɔso asase so. 
GEN.8.18	 Na Noa ne ne yere, ne ne mma ne wɔn yerenom firii adi; 
GEN.8.19	mmoadoma nyinaa, wɔn a wɔwea nyinaa ne nnomaa nyinaa, ne deɛ nkwa wɔ mu biara, sɛdeɛ wɔn mmoaban teɛ, firi adaka no mu firii adi.
GEN.8.21	 Na AWURADE tee afɔdeɛ no hwam no, ɔkaa no n’akoma mu sɛ: Onipa nti merennome asase bio, ɛfiri sɛ onipa akoma mu adwene yɛ bɔne firi ne mmɔfraase, na merensɛe deɛ ɛte aseɛ nyinaa bio, sɛdeɛ mayɛ yi.
GEN.8.22	oguo ne otwa, awɔ ne ahuhuro,
GEN.8.22	asuso ne ɔpɛ, awia ne anadwo
GEN.8.22	rennyae da.
GEN.9.2	Na mo ho hu ne mo ho suro mmra asase so mmoadoma nyinaa ne ewiem nnomaa nyinaa, deɛ ɛwea fam nyinaa ne ɛpo mu mpataa nyinaa so; mo nsa na wɔde wɔn ahyɛ. 
GEN.9.3	 Deɛ ɛkeka ne ho a ɛwɔ nkwa nyinaa, ɛnyɛ mo aduane; mede ne nyinaa mama mo, sɛdeɛ mede nhahan mono memaa mo no.
GEN.9.5	 Na onipa biara a ɔka onipa mogya guo no, ne nsam mu na mɛbisa, na aboa mpo ka onipa mogya gu a mɛbisa afiri ne nsam.
GEN.9.6	onipa so na wɔnam bɛhwie ne mogya aguo,
GEN.9.6	ɛfiri sɛ Nyankopɔn suban so
GEN.9.6	na ɔyɛɛ onipa.
GEN.9.7	Na mo deɛ, monwo na monnɔ, na monnɔɔso wɔ asase so.
GEN.9.8	Na Onyankopɔn ka kyerɛɛ Noa ne ne mma a wɔka ne ho no sɛ: 
GEN.9.9	 Hwɛ, afei merema m’apam atim hɔ ama mo ne mo asefoɔ a ɛbɛdi mo akyi, 
GEN.9.10	 ɛne akra a ɛtete aseɛ a ɛka mo ho nyinaa, nnomaa, ntɔteboa ne asase so mmoadoma a wɔne mo wɔ hɔ firi adaka no mu nyinaa. 
GEN.9.11	 Na mama me ne mo apam yi agyina hɔ, sɛ meremfa nsuyire mensɛe abɔdeɛ nyinaa bio, na nsuyire remma mmɛsɛe asase bio. 
GEN.9.12	Na Onyankopɔn kaa sɛ: Apam a merema ada me ne mo ne akra ateasefoɔ a ɛka mo ho nyinaa ntam akɔ nnasanten awoɔ ntoatoasoɔ soɔ no ho nsɛnkyerɛnneɛ nie:
GEN.9.13	Me nyankontɔn na mede masi mununkum mu, na ayɛ me ne asase ntam apam no ho nsɛnkyerɛnneɛ. 
GEN.9.14	Na sɛ mede mununkum meba asase so a, wɔbɛhunu nyankontɔn no wɔ mununkum no mu; 
GEN.9.15	na makae m’apam a ɛwɔ me ne mo, ne abɔdeɛ nyinaa mu ateasefoɔ ntam no, na nsuo annane nsuyire ansɛe abɔdeɛ nyinaa bio. 
GEN.9.16	Na nyankontɔn no bɛba mununkum mu, na mahwɛ, na mede makae daa apam a ɛwɔ Onyankopɔn ne nnipa ne abɔdeɛ mu ateasefoɔ a ɛwɔ asase soɔ nyinaa no ntam. 
GEN.9.17	Na Onyankopɔn ka kyerɛɛ Noa sɛ: Yei ne apam a mama no agyina me ne honam a ɛwɔ asase nyinaa ntam no ho nsɛnkyerɛnneɛ.
GEN.9.19	Yeinom ne Noa mma baasa no. Wɔn mu na nnipa firi petee asase nyinaa soɔ.
GEN.9.20	Na Noa firii aseɛ yɛɛ kua, na ɔyɛɛ bobeturo. 
GEN.9.21	Na ɔnom nsa no bi, na ɔboroe, na ɔda ne ntomadan mu a ne ho da hɔ. 
GEN.9.22	 Na Kanaan agya Ham kɔhunuu n’agya adagya mu, na ɔkɔka kyerɛɛ ne nuanom baanu no wɔ adihɔ. 
GEN.9.23	Na Sem ne Yafet faa ntoma de guu wɔn mmatiri so nam nkyirinkyire de kɔkataa wɔn agya adagya so, na wɔdanee wɔn ani kyerɛɛ akyire, na wɔanhunu wɔn agya adagya mu. 
GEN.9.24	Na Noa ani so tete firii ne nsaborɔ mu na ɔtee deɛ ne ba kumaa no ayɛ no no, 
GEN.9.25	ɔkaa sɛ:
GEN.9.25	Wɔadome Kanaan,
GEN.9.25	ɔbɛyɛ nkoa mu akoa ama ne nuanom.
GEN.9.26	Nhyira ne Sem Nyankopɔn, AWURADE,
GEN.9.26	na Kanaan nyɛ wɔn akoa.
GEN.9.27	na ɔntena Sem ntomadan mu,
GEN.9.27	na Kanaan nyɛ wɔn akoa.
GEN.9.28	Na nsuyire akyiri no, Noa tenaa ase mfirinhyia ahasa aduonum. 
GEN.9.29	Na Noa nna a ɔdiiɛ nyinaa yɛ mfeɛ ahankron aduonum, na ɔwui.
GEN.10.2	Yafet mma nie: Gomer, Magog, Madai, Yawan, Tubal, Mesek ne Tiras. 
GEN.10.3	Na Gomer mma ne Askenas, Rifat ne Togarma. 
GEN.10.4	Na Yawan mma ne Elisa, Tarsis, Kitim ne Dodanim. 
GEN.10.5	 Yeinom mu na nsuano amanaman no firi kɔpetee wɔn nsase soɔ, sɛdeɛ wɔn mu biara kasa ne wɔn mmusua teɛ, wɔn amanaman mu.
GEN.10.6	Na Ham mma ne Kus, Misraim, Put ne Kanaan. 
GEN.10.7	Na Kus mma ne Seba, Hawila, Sabta, Raama ne Sabteka. Na Raama mma ne Saba ne Dedan.
GEN.10.8	Na Kus woo Nimrod. Ɔno na ɔdii kan yɛɛ ɔkatakyie wɔ asase soɔ. 
GEN.10.9	Na ɔyɛ ɔbɔmmɔfoɔ wɔ AWURADE anim; enti na wɔka sɛ: Ɔbɔmmɔfoɔ kɛseɛ a ɔwɔ tumi AWURADE anim te sɛ Nimrod nie. 
GEN.10.10	Na n’ahennie mfitiaseɛ ne Babel, Erek, Akad ne Kalne a ɛwɔ Sinear asase soɔ. 
GEN.10.11	 Asase no so na ɔfiri kɔɔ Asiria kɔkyekyeree Ninewe ne Rehobot-ir ne Kala, 
GEN.10.12	ne Resen kuro kɛseɛ a ɛda Ninewe ne Kala ntam no. 
GEN.10.13	Na Misraim woo Ludim, Anamim, Lehabim, Naftuhim, 
GEN.10.14	Patrusim, Kasluhim (a Filistifoɔ firii wɔn mu), ne Kaftorim.
GEN.10.15	Kanaan woo n’abakan Sidon, ne Het, 
GEN.10.16	Yebusifoɔ, Amorifoɔ, Girgasifoɔ, 
GEN.10.17	Hiwifoɔ, Arkifoɔ, Sinifoɔ, 
GEN.10.18	Arwadfoɔ, Semarifoɔ ne Hamatfoɔ. Ɛno akyi na Kanaanfoɔ mmusua peteeɛ. 
GEN.10.19	Na Kanaanfoɔ hyeɛ firi Sidon kɔduru Gerar de kɔsi Gasa kɔduru Sodom, Gomora, Adma ne Seboim de kɔsi Lasa. 
GEN.10.20	Yeinom ne Ham mma, sɛdeɛ wɔn mmusua ne wɔn kasa, wɔn nsase ne wɔn amanaman teɛ.
GEN.10.22	Sem mma ne Elam, Asur, Arfaksad, Lud ne Aram. 
GEN.10.23	Na Aram mma ne Us, Hul, Geter ne Mas. 
GEN.10.24	Na Arfaksad woo Sela, na Sela woo Eber. 
GEN.10.25	 Na Eber woo mma baanu. Deɛ ɔdi kan no din de Peleg,
GEN.10.26	Na Yoktan woo Almodad, Selef, Hasarmawet, Yera, 
GEN.10.27	Hadoram, Usal, Dikla, 
GEN.10.28	Obal, Abimael, Saba, 
GEN.10.29	Ofir, Hawila ne Yobab. Yeinom nyinaa ne Yoktan mma. 
GEN.10.30	Na wɔn tenabea firi Mesa kɔduru Sefar, apueeɛ bepɔ so. 
GEN.10.31	Yeinom ne Sem mma, sɛdeɛ wɔn mmusua ne wɔn kasa, wɔn nsase ne wɔn amanaman teɛ. 
GEN.10.32	 Yeinom ne Noa mma mmusua, sɛdeɛ wɔn awoɔ ntoatoasoɔ teɛ wɔ wɔn amanaman mu. Na ɛfiri yeinom mu na nsuyire no akyi amanaman petee asase soɔ.
GEN.11.1	Na asase nyinaa sofoɔ yɛ anokorɔ kasa kasa korɔ. 
GEN.11.2	Na wɔtuu kwan faa apueeɛ no, wɔhunuu asasetam bi wɔ Sinear asase so, na wɔtenaa hɔ.
GEN.11.3	Na wɔsesee wɔn ho wɔn ho sɛ: Wiɛ, momma yɛnyɛ ntaayaa, na yɛnto! Na ntaayaa no yɛɛ wɔn aboɔ, na ama yɛɛ wɔn dɔteɛ. 
GEN.11.4	Ɛnna wɔkaa sɛ: Wiɛ, momma yɛnkyekyere kuro, na yɛnto abantenten a n’atifi bɛduru soro, na yɛmfa nnye din, na yɛanhwete asase nyinaa ani.
GEN.11.6	Na AWURADE kaa sɛ: Hwɛ, wɔyɛ ɔman baako, na wɔn nyinaa ka kasa korɔ; na deɛ wɔafiri aseɛ reyɛ nie; na afei, biribiara rentumi nsi wɔn deɛ wɔsusu sɛ wɔbɛyɛ no biara ho kwan. 
GEN.11.7	Wiɛ, momma yɛnsiane nkɔ hɔ na yɛnkɔyɛ wɔn kasa basabasa, na wɔn mu biara ante ne yɔnko kasa bio. 
GEN.11.8	 Na ɛfiri hɔnom na AWURADE bɔɔ wɔn hwetee asase nyinaa ani, na wɔgyaee kuro no kyekyerɛ. 
GEN.11.9	Enti na wɔfrɛ hɔ Babel,
GEN.11.11	Na Sem woo Arfaksad no akyiri no, ɔdii mfeɛ ahanum na ɔwoo mmammarima ne mmammaa. 
GEN.11.12	Na Arfaksad dii mfirinhyia aduasa nnum na ɔwoo Sela. 
GEN.11.13	Na ɔwoo Sela no akyi no, ɔdii mfeɛ ahanan ne mmiɛnsa, na ɔwoo mmammarima ne mmammaa. 
GEN.11.14	Na Sela dii mfirinhyia aduasa na ɔwoo Eber. 
GEN.11.15	Na Sela woo Eber no akyiri no, ɔdii mfeɛ ahanan ne mmiɛnsa na ɔwoo mmammarima ne mmammaa. 
GEN.11.16	Na Eber dii mfirinhyia aduasa nnan na ɔwoo Peleg. 
GEN.11.17	Na ɔwoo Peleg no akyi no, ɔdii mfeɛ ahanan aduasa na ɔwoo mmammarima ne mmammaa. 
GEN.11.18	Na Peleg dii mfirinhyia aduasa na ɔwoo Reu. 
GEN.11.19	Peleg woo Reu no akyiri no, ɔdii mfeɛ ahanu ne nkron na ɔwoo mmammarima ne mmammaa. 
GEN.11.20	Na Reu dii mfirinhyia aduasa mmienu na ɔwoo Serug. 
GEN.11.21	Na Reu woo Serug no akyiri no, ɔdii mfeɛ ahanu ne nson, na ɔwoo mmammarima ne mmammaa. 
GEN.11.22	Na Serug dii mfirinhyia aduasa na ɔwoo Nahor. 
GEN.11.23	Na Serug woo Nahor no akyiri no, ɔdii mfeɛ ahanu na ɔwoo mmammarima ne mmammaa. 
GEN.11.24	Na Nahor dii mfirinhyia aduonu nkron na ɔwoo Tera. 
GEN.11.25	Na Nahor woo Tera no akyiri no, ɔdii mfeɛ ɔha ne dunkron na ɔwoo mmammarima ne mmammaa. 
GEN.11.26	Na Tera dii mfirinhyia aduɔson na ɔwoo Abram, Nahor ne Haran.
GEN.11.27	Na yeinom ne Tera awoɔ ntoatoasoɔ: Tera woo Abram, Nahor ne Haran, na Haran woo Lot. 
GEN.11.28	Na Haran wuu n’agya Tera anim, asase a wɔwoo no soɔ no so, ɛne Ur a ɛwɔ Kaldea. 
GEN.11.29	 Na Abram ne Nahor waree yerenom, Abram yere din de Sarai, na Nahor yere din de Milka a ɔyɛ Haran babaa. Na Haran yɛ Milka ne Iska agya. 
GEN.11.30	Na Sarai yɛ obonini, na ɔnni ba.
GEN.11.32	Na Tera nna yɛ mfeɛ ahanu ne nnum, na Tera wuu wɔ Haran.
GEN.12.2	 Na mɛyɛ wo ɔman kɛseɛ, na mahyira wo, na mama wo din ayɛ kɛseɛ, na woayɛ nhyira. 
GEN.12.3	 Na mɛhyira wɔn a wɔhyira woɔ, na wɔn a wɔdome woɔ no, mɛdome wɔn; na wo mu na wɔbɛhyira asase so mmusua nyinaa.
GEN.12.4	Na Abram kɔe sɛdeɛ AWURADE kasa kyerɛɛ no no, na Lot ne no kɔe. Na Abram firii Haran no, na wadi mfeɛ aduɔson nnum. 
GEN.12.5	Na Abram faa ne yere Sarai ne ne nua ba Lot ne wɔn ahodeɛ a wɔanya nyinaa ne nnipa a wɔnyaa wɔn wɔ Haran, na wɔfirii hɔ sɛ wɔrekɔ Kanaan asase so; na wɔkɔduruu Kanaan asase so.
GEN.12.6	Na Abram twaa mu asase no so kɔduruu baabi a wɔfrɛ hɔ Sekem wɔ More pɔ no ho. Nso berɛ no mu na Kanaanfoɔ wɔ asase no so. 
GEN.12.7	 Na AWURADE yii ne ho kyerɛɛ Abram kaa sɛ: W’asefoɔ na mede asase yi bɛma wɔn. Na ɔsii afɔrebukyia wɔ hɔ maa AWURADE a ɔyii ne ho kyerɛɛ no no. 
GEN.12.8	 Na ɔtu firii hɔ kɔɔ Betel apueeɛ bepɔ bi so. Na ɔsii ne ntomadan a Betel da n’atɔeɛ, na Ai da apueeɛ; na ɔsii afɔrebukyia maa AWURADE wɔ hɔ, na ɔsɔree AWURADE. 
GEN.12.9	Na Abram dii atutena ara kɔɔ Negeb.
GEN.12.11	Na ɔreyɛ aduru Misraim asase soɔ no, ɔka kyerɛɛ ne yere Sarai sɛ: Hwɛ, menim sɛ woyɛ ɔbaa a wo ho yɛ fɛ, 
GEN.12.12	na sɛ Misraimfoɔ hu wo a, wɔbɛka sɛ: Ne yere nie, na wɔaku me, na wɔama woatena ase. 
GEN.12.13	Enti ka sɛ, me nua ne wo, na wo nti wɔayɛ me yie, na matena ase.
GEN.12.14	Na Abram duruu Misraim no, Misraimfoɔ hunuu ne yere no sɛ ne ho yɛ fɛ sɛ. 
GEN.12.15	Na Farao atitire hunuu no, na wɔkɔkamfoo no kyerɛɛ Farao, na wɔbɛfaa ɔbaa no kɔɔ Farao fie. 
GEN.12.16	Na ne nti ɔyɛɛ Abram yie; na ɔnyaa nnwan, anantwie, mfunumu, nkoa, mfenaa, mfunumubereɛ ne yoma. 
GEN.12.17	 Na Abram yere Sarai ho asɛm no nti AWURADE de ɔhaw akɛseɛ haa Farao ne ne fie. 
GEN.12.18	Na Farao frɛɛ Abram kaa sɛ: Ɛdeɛn na woayɛ me yi? Adɛn nti na woanka ankyerɛ me sɛ ɔyɛ wo yerɛ? 
GEN.12.19	Adɛn nti na wose: Ɔyɛ me nua? Anka meremfa no nware no; na afei, hwɛ wo yere nie, fa no na kɔ wo kwan. 
GEN.12.20	Na Farao tuu nnipa maa no sɛ wɔnkɔgya no ne ne yere ne deɛ ɔwɔ nyinaa kwan.
GEN.13.1	Na Abram ne ne yere ne deɛ ɔwɔ nyinaa, ne Lot nso, firii Misraim baa Negeb. 
GEN.13.2	 Na Abram anya ne ho sɛ, mmoa, dwetɛ ne sika mu. 
GEN.13.3	Na ɔdii atutena firi Negeb kɔduruu Betel, deɛ akane na ne ntomadan sie no, wɔ Betel ne Ai ntam, 
GEN.13.4	 deɛ afɔrebukyia a ɔsii kane no wɔ. Na Abram sɔree AWURADE wɔ hɔ.
GEN.13.5	Na Lot nso a ɔne Abram nam no wɔ nnwan ne anantwie ne ntomadan. 
GEN.13.6	Na asase no nso mma wɔn sɛ wɔbɛtena faako, ɛfiri sɛ wɔn ahodeɛ dɔɔso sɛ, enti wɔantumi antena faako.
GEN.13.7	Na akasakasa baa Abram mmoahwɛfoɔ ne Lot mmoahwɛfoɔ ntam. Na berɛ no mu na Kanaanfoɔ ne Perisifoɔ tete asase no so. 
GEN.13.8	 Na Abram ka kyerɛɛ Lot sɛ: Mesrɛ wo, mma akasakasa mmma me ne wo ntam, ne me mmoahwɛfoɔ ne wo mmoahwɛfoɔ ntam, na yɛyɛ anuanom. 
GEN.13.9	Ɛnyɛ asase no nyinaa na ɛda w’anim yi? Mesrɛ wo, twe wo ho firi me ho, sɛ wofa benkum a, mɛfa nifa, na sɛ wofa nifa a, mɛfa benkum.
GEN.13.10	Na Lot maa n’ani so hwɛɛ Yordan kanko nyinaa de kɔsi Soar hunuu sɛ ne nyinaa so wɔ nsuo te sɛ AWURADE turo no, te sɛ Misraim, ansa na AWURADE resɛe Sodom ne Gomora no. 
GEN.13.11	Na Lot yii Yordan kanko no nyinaa, na ɔtu faa apueeɛ fam; na anuanom no dii mpaapaemu. 
GEN.13.12	Abram tenaa Kanaan asase so, na Lot deɛ, ɔtenaa Yordan kanko no nkuro mu, na ɔtutuu ne ntomadan ara de kɔduruu Sodom. 
GEN.13.13	 Nso na Sodomfoɔ yɛ atirimuɔdenfoɔ ne nnebɔneyɛfoɔ kɛse, AWURADE anim.
GEN.13.14	Na Lot tee ne ho firii Abram ho no, AWURADE ka kyerɛɛ Abram sɛ: Ma w’ani so, na firi deɛ wowɔ hɔ hwɛ atifi fam ne anafoɔ fam, apueeɛ ne atɔeɛ. 
GEN.13.15	 Na asase a wohunu yi nyinaa, wo ne w’asefoɔ na mede bɛma mo daa. 
GEN.13.16	 Na mɛma w’asefoɔ adɔɔso sɛ asase so mfuturo. Na sɛ obi tumi kan asase so mfuturo a, ɛnneɛ na ɔbɛtumi akan w’asefoɔ nso. 
GEN.13.17	Sɔre, fa asase no tentene ne ne tɛtrɛtɛ mu, na wo na mede bɛma woɔ.
GEN.14.1	Na Sinear hene Amrafel, Elasar hene Ariok, Elam hene Kedorlaomer ne Goiim hene Tideal berɛ so no, 
GEN.14.2	 wɔne Sodom hene Bera ne Gomora hene Birsa, Adma hene Sinab ne Seboim hene Semeber ne Bela (a ɛne Soar) hene dii ako. 
GEN.14.3	Ahemfo yeinom nyinaa bɛhyiaa Sidim bonhwa mu, (ɛno ne Nkyene Po no). 
GEN.14.4	Mfirinhyia dummienu na wɔsomm Kedorlaomer, na afe a ɛtɔ so dummiɛnsa no, wɔtee atua. 
GEN.14.5	Na afe a ɛtɔ so dunan mu no, Kedorlaomer ne ahemfo a wɔkeka ne ho no bɛkum Refaim wɔ Asterot-karnaim, ne Susifoɔ wɔ Ham, ne Emifoɔ Kiriataim mpaperɛ so, 
GEN.14.6	ne Horifoɔ wɔ wɔn bepɔ Seir so de kɔsii El-paran a ɛwɔ ɛserɛ soɔ no. 
GEN.14.7	Na wɔsane baa Enmispat, (ɛne Kades), na wɔkaa Amalekfoɔ asase nyinaa ne Amorifoɔ nso a wɔte Haseson-tamar no gui.
GEN.14.8	Na Sodom, Gomora, Adma, Seboim ne Bela (a ɛne Soar) ahemfo firi bae. 
GEN.14.9	Na wɔne Elam hene Kedorlaomer, Goiim hene Tideal, Sinear hene Amrafel ne Elasar hene Ariok de bɛbɔɔ ani wɔ Sidim bonhwa mu, ahemfo baanan a wɔreko atia baanum. 
GEN.14.10	Na Sidim bonhwa mu yɛ ama amena ara nko. Na Sodom ne Gomora ahemfo dwanee. Na ebinom totɔɔ amena no mu, na wɔn a aka no dwane kɔɔ bepɔ so. 
GEN.14.11	Na wɔfaa Sodom ne Gomora nnoɔma ne wɔn nnuane nyinaa de sii mu kɔe.
GEN.14.13	Na odwanefoɔ bi bɛka kyerɛɛ Hebrini Abram a ɔte Amorini Mamre, Eskol ne Aner nua no pɔ mu; na wɔne Abram wɔ apam.
GEN.14.14	Na Abram tee sɛ wɔafa ne nua ba dommum no, ɔde ne mmarima a wɔawo wɔn wɔ ne fie ahasa ne dunwɔtwe tuu ɔsa tii wɔn kɔduruu Dan. 
GEN.14.15	Na ɔne ne nkoa kyɛɛ wɔn ho mu baa wɔn so anadwo, na wɔbobɔɔ wɔn, na wɔtaa wɔn kɔduruu Hoba a ɛda Damasko benkum no. 
GEN.14.16	Na ɔde nnoɔma no nyinaa ne ne nua ba Lot ne ne nnoɔma ne mmaa no nso ne nkurɔfoɔ no sane bae.
GEN.14.17	Na ɔsane firii Kedorlaomer ne ahemfo a ɛkeka ne ho so nkonimdie reba no, Sodom hene firi kɔhyiaa no wɔ Sawe bonhwa (a ɛne Ɔhene Bonhwa no) mu. 
GEN.14.18	 Na Salem hene Melkisedek de paanoo ne bobesa brɛɛ no; na ɔyɛ ɔsorosoro Nyankopɔn sɔfoɔ. 
GEN.14.19	Na ɔhyiraa no sɛ:
GEN.14.19	Ɔsorosoro Nyankopɔn a ɔyɛ ɔsoro ne asase wura no
GEN.14.19	nhyira nka Abram.
GEN.14.20	Na nhyira ne ɔsorosoro Nyankopɔn
GEN.14.20	a ɔde w’atamfo ahyɛ wo nsa.
GEN.14.20	Na Abram maa no nnoɔma no nyinaa mu ntotosoɔ du du. 
GEN.14.21	Na Sodom hene ka kyerɛɛ Abram sɛ: Fa nnipa no ma me, na fa ahodeɛ no. 
GEN.14.22	Na Abram ka kyerɛɛ Sodom hene no sɛ: Mema me nsa so mekyerɛ AWURADE, ɔsorosoro Nyankopɔn a ɔyɛ ɔsoro ne asase wura no, 
GEN.14.23	sɛ ɛfiri asaawa so de kɔsi mpaboa homa soɔ, meremfa biribiara a ɛyɛ wo deɛ, na woanka sɛ: Me na mama Abram anya ne ho; 
GEN.14.24	gye deɛ mmeranteɛ no adie no nko, ne mmarima a wɔne me kɔeɛ no, Aner, Eskol ne Mamre nya wɔn kyɛfa.
GEN.15.2	Na Abram bisaa sɛ: AWURADE Nyankopɔn, ɛdeɛn na wode bɛma me? Menni ba na menam, na deɛ ɔbɛdi m’adeɛ ne Damaskoni Eliesa anaa? 
GEN.15.3	Na Abram kaa sɛ: Ao, me deɛ, woamma me asefoɔ, na hwɛ, me fienipa na ɔbɛdi m’adeɛ.
GEN.15.4	Na AWURADE asɛm baa ne nkyɛn sɛ: Ɛnyɛ oyi na ɔbɛdi w’adeɛ, na deɛ ɔbɛfiri wo ara w’asene mu na ɔbɛdi w’adeɛ. 
GEN.15.5	 Na ɔde no firii adi kaa sɛ: Hwɛ ɔsoro ɛ, na kan nsoromma sɛ wobɛtumi akan anaa? Na ɔka kyerɛɛ no sɛ: Sɛ w’asefoɔ bɛyɛ ne no.
GEN.15.7	 Na ɔka kyerɛɛ no sɛ: Mene AWURADE a ɔde wo firii Ur a ɛwɔ Kaldea no, sɛ mede asase yi bɛma wo sɛ agyapadeɛ. 
GEN.15.8	 Na ɔbisaa sɛ: AWURADE Nyankopɔn, ɛdeɛn na mede bɛhunu sɛ mɛnya? 
GEN.15.9	Na AWURADE ka kyerɛɛ no sɛ: Fa nantwie ba a wadi mfeɛ mmiɛnsa, abirekyie a wadi mfeɛ mmiɛnsa, odwennini a wadi mfeɛ mmiɛnsa, anyankuku ne aborɔnoma ba brɛ me. 
GEN.15.10	 Na ɔde yei nyinaa brɛɛ no, na ɔpaepaee wɔn mu mmienu mmienu, na ɔde afaafa no kyerɛkyerɛɛ anim totoo hɔ; na nnomaa no deɛ, wampaapae wɔn mu. 
GEN.15.11	Na nnomaa a wɔdi nam bɛsisii mmoa afunu no so, na Abram pamm wɔn. 
GEN.15.12	 Na owia reyɛ akɔtɔ no, Abram daa nnahɔɔ, na hwɛ, ehu sum kabii duruu no. 
GEN.15.13	 Na AWURADE ka kyerɛɛ Abram sɛ: Hunu ampa ara sɛ w’asefoɔ bɛyɛ ahɔhoɔ asase a ɛnyɛ wɔn dea so, na wɔayɛ nkoa na wɔasom, na wɔbɛha wɔn mfirinhyia ahanan. 
GEN.15.14	 Na ɔman a wɔbɛsom wɔn no, mɛbu wɔn atɛn, na akyire yi no, wɔde ahodeɛ pii bɛfiri hɔ akɔ. 
GEN.15.15	Na wo deɛ, wobɛkɔ wo nananom nkyɛn asomdwoeɛ mu, na wɔasie wo nkɔkoraaberɛ pa mu. 
GEN.15.16	Na awoɔ ntoatoasoɔ nnan mu na wɔbɛsane aba ha, ɛfiri sɛ Amorifoɔ amumuyɛ nnya nnurui.
GEN.15.17	Na owia tɔeɛ na esum kusuu duruiɛ no, hwɛ, biribi a ɛte sɛ gyaframa a ɛrefiri wisie ne tɛnee a ɛredɛre bɛfaa afaafa no ntam. 
GEN.15.18	 Da no ara na AWURADE ne Abram yɛɛ apam sɛ: W’asefoɔ na mede asase yi mama wɔn ɛfiri Misraim asubɔnten ho de kɔsi asubɔnten kɛseɛ, Eufrate asubɔnten ho: 
GEN.15.19	 Kenifoɔ, Kenisifoɔ, Kadmonifoɔ, 
GEN.15.20	 Hetifoɔ, Perisifoɔ, Refaimfoɔ, 
GEN.15.21	Amorifoɔ, Kanaanfoɔ, Girgasifoɔ ne Yebusifoɔ.
GEN.16.1	Na Abram yere Sarai nwo mma no. Na ɔwɔ afenaa bi a ɔyɛ Misraimni a ne din de Hagar. 
GEN.16.2	 Na Sarai ka kyerɛɛ Abram sɛ: Hwɛ, AWURADE asi m’awoɔ ho kwan, enti kɔ m’afenaa nkyɛn, ebia mɛnya ne ho mma. Na Abram tiee Sarai. 
GEN.16.3	Na Abram tenaa Kanaan asase so mfirinhyia du no, ne yere Sarai faa n’afenaa Hagar a ɔyɛ Misraimni no de no maa ne kunu awareɛ.
GEN.16.4	Na ɔkɔɔ Hagar ho, na ɔnyinsɛnee. Na ɔhunuu sɛ wanyinsɛn no, ɔbuu n’awuraa animtia. 
GEN.16.5	Na Sarai ka kyerɛɛ Abram sɛ: Asɛmmɔne a wadi me da wo so. Me na mede m’afenaa mato wo kokom, na ɔhunuu sɛ wanyinsɛn nti, ɔbu me animtia. AWURADE mmu me ne wo ntam atɛn. 
GEN.16.6	Ɛnna Abram ka kyerɛɛ Sarai sɛ: Hwɛ, w’afenaa wɔ wo nsam, yɛ no sɛdeɛ ɛyɛ w’ani soɔ. Na Sarai tanee n’ani maa no dwane firii ne nkyɛn.
GEN.16.7	Na AWURADE bɔfoɔ hunuu no nsuo aniwa bi ho wɔ ɛserɛ so wɔ Sur kwan so nsuo aniwa no ho. 
GEN.16.8	Na ɔbisaa sɛ: Hagar, Sarai afenaa, wofiri he na woreba, na worekɔ he ni? Na ɔse: Mefiri m’awuraa Sarai anim na meredwane. 
GEN.16.9	Na AWURADE bɔfoɔ no ka kyerɛɛ no sɛ: Sane kɔ w’awuraa nkyɛn, na kɔbrɛ wo ho ase ma no. 
GEN.16.10	 Na AWURADE bɔfoɔ no ka kyerɛɛ no sɛ: Dɔ na mɛma w’asefoɔ adɔ, na wɔn dodoɔ nti wɔrentumi nkan wɔn. 
GEN.16.11	Na AWURADE bɔfoɔ no ka kyerɛɛ no sɛ:
GEN.16.11	Hwɛ, woanyinsɛn, na wobɛwo ɔba,
GEN.16.11	na wobɛto ne din Ismael,
GEN.16.11	sɛ AWURADE ate w’amanehunu.
GEN.16.12	Ne nsa bɛtia nnipa nyinaa,
GEN.16.12	na nnipa nyinaa nsa atia no,
GEN.16.12	na ɔbɛsɔre atia ne nuanom nyinaa.
