MAT.1.1	Ибрагимнен тувган Дауттынъ улы Иса Масихтинъ асылы-тукымы сосындай эди: 
MAT.7.25	Ямгыр явып, йылгалар яйылдылар, еллер эсип уьйге согылдылар, ама уьй бузылмай калды: ол уьй таска салынган эди. 
MAT.7.26	Мени тынълайтаган, ама Меним соьзлеримди толтырмайтаган аьдемди оьзининъ уьйин кумга салган акмак пан тенълестирмеге болаяк. 
MAT.7.27	Ямгыр явып, йылгалар яйылдылар, еллер эсип уьйге согылдылар эм уьй авды да савлай опырады».
MAT.7.28	Иса муны айтып кутылган заманда, халк Онынъ окувына сейирсинди. 
MAT.7.29	Иса оларды, дин аьлимлериндей болмай, бир куваты ман окытатаган эди.
MAT.8.1	Иса тавдан туьскенде, Онынъ артыннан коьплеген аьдемлер иердилер. 
MAT.8.2	Ога авыр тери маразы болган аьдем ювыкласып келди де, тизиннен шоьнъкип, тиледи: «Бийим, эгер суьйсенъ, мени тазаламага боларсынъ».
MAT.8.3	Иса, колын созып, аьдемге тийгистти де: «Суьемен, тазалан!» – деди. Сол саьатлей аьдем оьз маразыннан кутылып тазаланды. 
MAT.8.4	Сонда Иса ога: «Сак бол, мунынъ акында биревге де айтпа, тек барып, дин куллыкшысына коьрин, Муса пайхамбар буйыргандай, курманлык шал. Соны ман аьдемлер алдында сав болганынъды шаатларсынъ», – деди.
MAT.8.5	Иса Капарнаумга келген вакытта, Ога бир урым юзбасшысы, янасып келип, ярдамды тиледи. 
MAT.8.6	«Бийим, – деди ол, – уьйде паралич соккан ыргатым ятады, бек яман кыйналады».
MAT.8.7	Иса: «Мен, келип, оны савартарман», – деди.
MAT.8.8	Юзбасшы Исага соьз кайтарып: «Бийим, Сен меним уьйиме кирмеге мен тийисли тувылман. Тек бир соьз айтсанъ, ыргатым сав болар. 
MAT.8.9	Мен оьзим де баскаларга бойсынган аьдеммен, мага бойсынган аскершилер де бар. Олардынъ бирисине: „Кет“, – десем, кетеди; баскасына: „Кел“, – десем, келеди; ыргатыма: „Муны эт“, – десем, ислейди», – деди.
MAT.8.10	Иса, оны эситкенде, сейирсинди де Оьзи мен келетаганларга: «Сизге дурысын айтаман: Сосындай иманды Мен Исраилде эш биревде де таппаганман! 
MAT.8.11	Сизге айтаман: коьплер куьнтувардан эм куьнбатардан келип, Алладынъ Патшалыгындагы зияпетте Ибрагим, Исхак эм Якуп пан бирге оьз орынларын алаяклар. 
MAT.8.12	Патшалыктынъ асабалары болса тыс каранъалыкка тасланаяк. Онда йылап, тислерин кыршылдатаяклар», – деди. 
MAT.8.13	А урым юзбасшысына Иса: «Бар! Сага ынанганынъша болсын», – дегенди айтты. Ыргаты сол саьатлей сав болды.
MAT.8.14	Иса Петердинъ уьйине келгенде, онынъ кайнанасы янып-куьйип авырып ятканын коьрди. 
MAT.8.15	Иса онынъ колына тийгенлей, безгеги тыйылды. Хатын турып, Исады ас пан сыйлады.
MAT.8.16	Аксам авганда, Исага йинли болган коьп аьдемди аькелип басладылар. Ол, соьзи мен йинлерин кувып, авырганлардынъ баьрисин де сав этти. 
MAT.8.17	Бу, Ешая пайхамбардынъ «Ол бизим сыркавларымызды Оьзине алды эм маразларымызды аькетти» деген соьзлери толтырылсын деп, болды.
