MAT.1.1	Ña'a kùu sivi ma ndian kūu ñivi Jesucristu, ra kūu ñivi ma racha'nu David, chi'in racha'nu Abraham. 
MAT.5.17	’Ta koto näkanini ndo, ña yu'u kùu ra vàchi janaa ma ley Ndioo ña tāa Moisés, ta ña vàchi janai ma tu'un Ndioo ña jàna'a ma ndra kà'an chi'in tu'un yu'u ra ndia, ti na yöve takan kùu yi. Ma tiñu vàchi̱ kùu yi ña, kàtitu'un kachi̱n ma ña kùuni ma ley Ndioo ka'an yi. 
MAT.5.18	Ndicha va'a ña kà'in chi'in ndo ña, ora juuni yanga ìyo ma andivi, chi'in ma ñu'u' ñuñivi, nï'iin tu'un vali ña ìyo nuu ma ley cha'nu, ta nï'iin letra na töve ni kindaa, nda kati kuu ji'na ma ña ìyo yi ña kuu. 
MAT.5.19	Yakan va ma ndian jàchi'in na ma ña kùuni ma ley Ndioo ña jà'a na, va kùmani jàchi'in na uvanuu ña kà'an yi, vaji iin tu'un valini kùu yi, ta ndian töve chà'a na ña na koto inga ñivi yi, ta jà'a na indukuni, ndiakan ni ndakuu na, ndian valiga ma nuu chà'nda Ndioo tiñu andivi. Va ma ndian jàchi'in ña kà'an yi, ta chà'a na ña na koto inga ñivi ma ña kà'an yi, ndiakan kùu ma ndian ni ndakuu ka'nuga, ma nuu chà'nda Ndioo tiñu andivi. 
MAT.5.20	Vati yu'u kà'in chi'in ndo ña, tu töve kùuni tiaga ndo ja'a ndo ma kua kùuni Ndioo, takua kùu ma ndra matru jàna'a tu'un Ndioo chi'in ma ndra fariseu, ña na küuni ndra jàchinu ndra ma ña kùuni Ndioo, na küu ki'vi ndo koo ndo chi'in ra nuu chà'nda ra tiñu andivi.
MAT.5.21	’Ndyo'o cha chìto va'a ndo ña tatiempu cha chīni ndo tu'un Ndioo ña te'en kà'an yi naja kua ìyo yi ña ja'a ndo: “Na kä'ni ndo, ti ma ndian chà'ni ìyo yi ña ka'nda na kuati na.” 
MAT.5.22	Va yu'u kà'in chi'in ndo ña nda ndyo'o ni kùuni, tu xàani ndo nde'e ndo ta'an ndo, ìyo yi ña ka'nda ndo kuati ndo ndia. Ta tu kanduva'a ndo ta'an ndo ìyo yi ña ya'a ndo nuu ma ndra kumitiñu, ta jàkutuni ndra ma kuati ndo. Ta tu kàti ndo ña ndian ndava xini kùu na, na ja'a ndo kuenda nuu ndo koto ku'un ndo andaya' nuu tìin ñu'ú.
MAT.5.23	’Ta indukuni kùu yi tuva ma ora sokó ndo iin nakuyi nuu ma chito naá kuenda Ndioo, ta ikan chàku'uni ndo ña ìyo kuati ndo chi'in inga ta'an ndo, 
MAT.5.24	na ndakoo nuu ndo ma ña ni sokó ndo nuu Ndioo ma ikan, ta ku'un ji'na ndo kundakan ndo nuu ta'an ndo ña na jaka'nuni na ma kuati ndo, tajan na chikoni'i ndio ndo nuu ìyo ma nuu naa, ta na sokó ndio ndo yi kuenda Ndioo.
MAT.5.25	’Tu ìyo iin nda yo kùuni ti'i kuati cha'a' ndo ma vetiñu. Va'a ga ña na ka'an ji'na ndo tichi iti' kuà'an ndo chi'in na, ta ikan na jandakumani ndiko ndo na, ikan na tüvi tì'i na ndo nda'a' ma ra juez ña jàndondaa kuati, ta rakan ku'va ndio ra ndo nda'a' ma ndra jandaru, ta tì'i ndra ndo tichi vekaa. 
MAT.5.26	Ta ndicha va'i ña kà'in chi'in ndo ña na töve ni kee ndo ikan, nda kati tia'vi ndi'i ji'na ndo ma xu'un' ña na nandoo kuati ndo.
MAT.5.27	’Vati ndyo'o cha chīni ndo iin tu'un ña te'en kà'an tatiempu: “Na kï'vi ndo chi'in ñivi ña'a yöve ñasi'i ndo.” 
MAT.5.28	Va yu'u kà'in chi'in ndo, ña nda ndra'ii nikuuni, jitu chi'in iin ña ndè'eni ndra iin ña'a, ta chàta'ani ndra, ña kùuni yi ka'an yi ña indukuni kùu ma kuati jà'a ndra chi'an chi'in chinituni ndra kua ma ndra cha kī'vi ndra chi'in iin ña'a ma chi'in ma kuñu ndra.
MAT.5.29	’Ta tu ma tinuu chiyo kua'a' ndo kùu yi ña jàkoyo yi ndo ma tichi kuati, na tava ndo yi, ta jakuita chika ndo yi. Vati va'aga ña na kenaa iin chiyo tinuu ndo, kua ña ku'un ndisaa ma kuñu ndo andaya'. 
MAT.5.30	Ta tu ma nda'a' chiyo kua'a ndo kùu yi ña jàkoyo yi ndo ma tichi kuati, na ka'nda ndo yi, ta jakuita chika ndo yi. Vati va'aga ña na kenaa iin chiyo nda'a' ndo kua ña ku'un ndisaa ma kuñu ndo andaya'.
MAT.5.31	’Ta juuni cha chà'a ndo kuenda ña te'en kà'an ma tu'un Ndioo ndia: “Nda ndra'ii nikuuni tuva ndàkoo ndo ñasi'i ndo, ìyo yi ña ku'va ndo iin tutu nuu kà'an yi ña cha ndākoo ndo ña.” 
MAT.5.32	Va yu'u kà'in chi'in ndo ña tu iin ra'ii ndàkoo ra ñasi'i ra, iin kuati kùu yi kuenda ra tu töve ndicha ña jànda'viña'a ña ra cha'a' ña kì'vi ña chi'in inga ra'ii. Vati tu takan ndākoo ra ña, rakan jà'a ra ña na ja'a ña kuati tu yakan ki'vian chi'in inga ra'ii. Ta nda ra ni kùuni ña tànda'a chi'in iin ña'a ña ndākoo ii, juuni iin kuati kùu ma ña jà'a ra, ti kì'vi ra chi'in iin ña'a ìyo inga ii ndia.
MAT.5.33	’Ta juuni cha chīni ndo ña te'en kà'an ma ndian kūu ñivi yo chīyo taji'na ndia: “Ìyo yi ña jachinu ndo ma tu'un chà'a ndo nuu ma Racha'nu Ndioo”. 
MAT.5.34	Va yu'u kà'in chi'in ndo ña va'aga ña na kü'va ndo tu'un cha'a' nda ña nikuuni tu töve ña ndicha kùu yi. Na töve ìyo yi ña ku'va ndo tu'un cha'a' ma andivi, ti nuu chà'nda Ndioo tiñu kùu yi. 
MAT.5.35	Ta ni cha'a' ma ñu'u' ñuñivi ndia, vati nuu nìndee cha'a Ndioo kùu yi ti iin ña kuenda ra kùu yi. Ta ni cha'a' ma ñuu Jerusalén, tüvi ìyo yi ña ku'va ndo tu'un, vati ma ñuu ka'nu ña ìyo kuenda Ndioo, ra kùu Rey ka'nu kùu yi ndia. 
MAT.5.36	Ta juuni na tüvi ìyo yi ña ku'va ndo tu'un nuu ñivi cha'a' ma xini ndo, vati na küu jandokuichin ndo nï'iin ma ixi xini ndo, a jàndotuun ndo yi ndia. 
MAT.5.37	Va'aga ña na ka'an ndo ña: “juu” a “töve”, vati ndisaa inga tu'un ma ña kà'an siki ndo, kùu yi kuenda ma kui'na.
MAT.5.38	’Ta juuni ndyo'o cha chīni ndo ña te'en kà'an ma tu'un ña kēta taji'na ndia: “Tu jàtakue'e na jitu iin ma tinuu ndo a nu'u ndo, indukuni ìyo yi ña ja'a ndo chi'in na ndia.” 
MAT.5.39	Va yu'u kà'in chi'in ndo ña: tuva ìyo nda yo kùuni kuati chi'in ndo, na jandeeni ndo yi, ta töve jà'a ndo takua jà'a na. Ta tu ìyo iin ndian kàni iin xa'nda iin chiyo cha'a so'o ndo, na ku'va ndo ma inga chiyo yi kàni na ndia. 
MAT.5.40	Ta tu ìyo iin yo ti'i kuati cha'a' ndo ma vetiñu, ta kùuni na namaa na kamixa ñu'u ndo, na ku'va ndo ña na kunda'a na, nda ma ja'ma isukun ndo ndia. 
MAT.5.41	Tu ìyo nda ndian chìkan ñamani nuu ndo ña na tindee ndo na, ña kuìso ndo iin ndatiñu na iin kilometru, na ku'un ndo chi'in ra nda uvi kilometru, na tindee ndo na. 
MAT.5.42	Ta nda ndian nikuuni ña chìkan iin nakuyi nuu ndo, na ku'va ndo yi nuu na. Ta tu ìyo ndian chìkanuu iin nakuyi nuu ndo, na ku'va ndo yi nuu na, ta yüva kati ndo ña töve.
MAT.5.43	’Ta juuni cha chīni ndo ma tu'un ña kà'an te'en tatiempu ndia: “Na kuuni ndo nde'e ndo ma ndian amigu ndo, ta na kuxaani ndo nde'e ndo ma ndian xaani ndo ndia.” 
MAT.5.44	Va yu'u kà'in chi'in ndo ña: Na kuuni ndo nde'e ndo ma ndian xaani ndo nde'e ndo, ta na ka'an ndo chi'in Ndioo cha'a' ma ndian kànduva'a ndo. 
MAT.5.45	Takan ìyo yi ña ja'a ndo, ta kùu ndo se'e ma Tatá ndo ra ìyo andivi. Vati maa ra kùu ra ña jàtuun ra nikandii kuenda ma ndian va'a, ta tüvi va'a. Ta juuni ra kùu ra ña jàkuun ra savi kuenda ma ndian ndaa, ta ndian töve ndia. 
MAT.5.46	Vati tu ma ndian kùuni nde'e ndo, ndiakani kùu ma ndian kùuni ndo nde'e ndo, ¿a chànini ndo ña ni ni'i ndo ya'vi ndo cha'a' ña jà'a ndo takan?, kùuni ndo. Na töve, vati nda ma ndra nàka'an xu'un' kuenda ñuu Roma, takan jà'a na ndia. 
MAT.5.47	Ta tu kàña'a ndo chi'in ndian ta'ani ndian chìnuni, ¿nda ña va'a kùu ma ña jà'a ndo?, kùuni ndo. Vati nda ma ndian töve nàkoto Ndioo, takan kà'an na ndia. 
MAT.5.48	Yakan va na kuu ndo ndian ndaa, tava kùu ma Tatá yo ra ìyo andivi.
MAT.6.1	’Ta koto jä'a ndo tiñu va'a kuenda ña na nde'e ma ñivini ndo ña ndian va'a kùu ndo. Ta tu jà'a ndo takan tajan ma Tatá ndo, ra ìyo andivi, töve ni ku'va ra nï'iin ya'vi ndo. 
MAT.6.2	Yakan va ora tìndee ndo ma ndian nda'vi ña kumani yi nuu, na töve ìyo yi ña ku'va ndo koto ndisaa ñivi yi, takua jà'a ma ndian uvi nuu kua chànini ña chàkunuu nàtu'un na chi'in ñivi, nani nuu ìyo ma veñu'u kuati ma ndian judíu, ta tichi kai, kuenda ña na ka'an va'a ma ñivi chatani na. Va yu'u kà'in chi'in ndo ña ndicha va'a ña cha ìyo ma ya'vi na cha'a' ma ña jà'a na. 
MAT.6.3	Va ndyo'o ora chà'a iin nakuyi nuu ma ndian nda'vi ña chìniñu'u yi, na töve ìyo yi ña natu'un ndo yi nuu nï'iin ma ndian nàkoto ndo, ta ni nuu ma amigu ka'nu ndo ndia. 
MAT.6.4	Va'aga ña na koto xe'eni ndo yi. Tajan ma Tatá ndo ra ìyo andivi ni ku'va ra ya'vi ndo, ti ndè'e ra ma ña jà'a xe'e ndo.
MAT.6.5	’Ta ora kà'an ndo chi'in Ndioo, koto jä'a ndo takua jà'a ma ndian kini uvi nuu kua chànini ña ndava chàta'ani na kundaa na ora kà'an na chi'in Ndioo ma tichi veñu'u kuati ma ndian judíu, a ora kundaa na ma tutun kai kuenda ña na nde'e ma ñivini na. Ndicha va'a ña kà'in chi'in ndo ña, ndiakan juuni cha ìyo ya'vi na cha'a' ma ña jà'a na ndia. 
MAT.6.6	Va tu ndyo'o kùuni ndo ka'an ndo chi'in Ndioo, na ki'vi ndo tichi ve'e ndo, ta kasi ndo yuve'e, ta kicha'a ndio ndo ka'an ma'iin ndo chi'in Ndioo Tatá ndo, ti ìyo ra chi'in ndo ma ikan. Tajan ma Tatá ndo, ra ndè'e ma ña jà'a ndo, ni ku'va ra ya'vi ndo.
MAT.6.7	’Ta ora kà'an ndo chi'in Ndioo, na töve ìyo yi ña indita inditani kā'un ma tu'un töve ndakutiñu, tava jà'a ma ndian töve nàkoto Ndioo. Vati ndiakan chànini na, ña tu kua'a' cha'a' kà'an na, juuni juuni ma tu'un, tiaga ni jachi'in Ndioo ma ña kà'an na, kùuni na. 
MAT.6.8	Koto jä'a ndo tava jà'a ndiakan, vati ma Ndioo Tatá ndo, cha chìto ra nayi kùu ma ña chiniñu'u ndo antea ña ndàkan ndo yi nuu ra. 
MAT.6.9	Yakan va te'en ìyo yi ña ka'an ndo chi'in Ndioo:
MAT.6.9	Yo'o ra kùu Tatá ndi, ra ìyo andivi,
MAT.6.9	na ya'aga ií kùu ma siviun.
MAT.6.10	Na kichi ma nuu chà'ndaun tiñu.
MAT.6.10	Ta na kuu ma naja kua kùuniun ma nuñu'u', ma takua kùu yi iti' andivi.
MAT.6.11	Na ku'vaun ma ña chìniñu'u ndi kachi ndi vitin.
MAT.6.12	Na jàka'nuniun ma kuati jà'a ndi,
MAT.6.12	takua jàka'nuni ndi kuati ma ndian jà'a ña kini chi'in ndi.
MAT.6.13	Ta koto kü'vaun ña titunini ndi jà'a ndi ma ña töve va'a.
MAT.6.13	Va na ja'un ña na kaku̱n ndi nuu ma ña kini.
MAT.6.13	Vati maun kùu ma ra chà'nda tiñu, ta maun kùu ma ra ìyo ndatu,
MAT.6.13	ta juuni maun nduva'a ka'nu kùu̱n ndia.
MAT.6.13	Ta takan endeeni na kùu yi. Amén.
MAT.6.14	’Vati tu ndyo'o jàka'nuni ndo kuati jà'a ma inga na chi'in ndo, nda ma Racha'nu Tatá ndo ra ìyo andivi, ni jaka'nuni ra ma kuati ndo ndia. 
MAT.6.15	Va tu töve jàka'nuni ndo kuati ma inga na, ni ma Racha'nu Tatá ndo, töve ni jaka'nuni ra kuati ndo ndia.
MAT.6.16	’Ora jàndita ndo yu'u ndo, na töve ìyo yi ña ja'ani ña nda'vi kuuni ndo, tava jà'a ma ndian ìyo uvi nuu kua chànini, kuenda ña na nde'e ma ñivini na ña jàndita na yu'u na. Ndicha va'a ña kà'in chi'in ndo ña, ndiakan cha ìyo ya'vi na ndia. 
MAT.6.17	Va taku ndyo'o ora jàndita ndo yu'u ndo, na nakata ndo nuu ndo, ta tì'i va'a ndo kuika xini ndo, 
MAT.6.18	ikan na töve nakuni na ña jandita yu'u ndo. Vati uvanuu ma Tatá ndo ra ìyo ma'iin chi'in ndo ma nuu ka'ìin ndo, rakani kùu ra ña chà'a ra kuenda cha'a' ma ña jà'a ndo, ta rakan ni ku'va ra ya'vi ndo cha'a' yi.
MAT.6.19	’Ta koto jändolocho ndo ma ña kuika ndo ma nuñu'u' ñuñivi i'ya, vati ma i'ya, ndi'i yi jàtivi ma tikixin, ta kì'vi ma ndra su'u, kasu'u ndra ndia. 
MAT.6.20	Va'aga ña na jandolocho ndo ma ña kuika ndo ma iti' andivi ña kùuni yi ka'an yi ma ña va'a jà'a yo kuenda Ndioo, vati ikan kùu nuu töve jàtivi ma tikixin yi, ta ni töve tìvi inga ma ndatiñu, ta ni töve kì'vi ma ndra su'u ña, kàsu'u ndra ndia. 
MAT.6.21	Vati ma nuu ìyo ña kuika ndo, juuni ma ikan ìyo ma anima ndo chi'in yi.
MAT.6.22	’Ma tinuu yo, kùu yi takua kùu ma ñu'ú kandil kuenda ma kuñu yo. Yakan va tu ma tinuu yo va'a yi, kùuni yi ka'an yi ña ndisaa ma kuñu yo ìyo ñu'ú yi ndia. 
MAT.6.23	Va tu ma tinuu yo, töve chà'a yo ña kutu'va yo takua kùuni Ndioo, kùuni yi ka'an yi ña chàkuu yo nuu naa jà'a yi. Ta tu chànini yo ña kùu ma chinituni yo takua kùu iin ñu'ú, va töve ndicha, kùuni yi ka'an yi ña cha kua naa ka'vi yo jà'a yi.
MAT.6.24	’Ta nï'iin ma ndian kùu musu, na küu ja'a na tiñu nuu ninduvi ma ndra kùu chito'o na iin tiempuni, vati iin ra, va ni kuuni na nde'e na ra, ta inga ra ni kuxaani na nde'e na ra, ta ra nunuu ni tiñu'u na ra, ta ma inga ra töve. Yakan va na küu jà'a yo tiñu nuu Ndioo, tu endee nàkanini yo cha'a' ma xu'un' ndia.
MAT.6.24	Takan kūu tajan te'en nāka'an ndio ma Jesuu chi'in ma ndra jàkua'a chi'in ra:
MAT.6.25	―Ta cha'a' yakan kùu yi ña yu'u kà'in chi'in ndo ña na töve na ja'a ndo ña nàkanini ndo cha'a' ma ña chàchi ndo, a cha'a' ma ña ko'o ndo kuenda ña koo ndo, a ña nakanini ndo cha'a' ma ja'ma ña chàku'un ndo. ¿A töve va'aga ma kivi ìyo ndo kua ma ña chàchi ndo?, kùuni ndo. Ta, ¿a töve va'aga ma kuñu ndo, kua ma ja'ma chàku'un ndo?, kùuni ndo. 
MAT.6.26	Na nde'e ndo tava ìyo ma saa ña ndàti ndri kàchika ndri nuu sukun. Ndrikan töve tàchi ndri, ta töve nàkuiso ndri nï'iin nakuyi, ta ni töve tàan va'a ndri yi tichi yaka, ta va'ani chà'a ma Ndioo Tatá ndo ña chàchi ndri. ¿A töve chà'a ndo kuenda ña ma Racha'nu Ndioo kùuniga ra nde'e ra ndo kua ma saa ikan? 
MAT.6.27	¿A ìyo nda ndyo'o ña cha'a' ña ya'a nakanini ndo kùu ndosukun ndo sava metru tiá, jà'a yi?, kùuni ndo.
MAT.6.28	’¿Ta naja ya'a nàkanini ndo cha'a' ma ja'ma chàku'un ndo? Na nde'e ndo tava chà'nu ma ita kàa tichi ku'u. Ma ita ikan töve jàtiñu yi, ta ni töve kunu yi isa ndia, 
MAT.6.29	ta va'ani nduva'a vii kàa yi, ni ma rey Salomón, chi'in ndisaa ma ja'ma va'a, ta vii ña chàku'un ra, töve nī chaa ra ku'un ra ja'ma vii takua vii kàa iin ma ita ikan. 
MAT.6.30	Ta ndicha ña Ndioo ya'a vii jà'a ra ma ita ku'u ña itaan a isaa ni kayu yi. Ña'á kùuni yi ka'an yi ña nduva'a kuii ja'a ra kuenda tiaga ndo kua ma ita. Ta ndyo'o, ¿ta naja töve chìnuni va'a ndo?, tuva takan. 
MAT.6.31	Yakan va töve na ja'a ndo ña nàkanini ndo ta kà'an ndo te'en: “¿Nayi ni kacho?” a “¿Nayi ìyo yi ña ko'o yo?” ta “¿Naja kua jà'a yo ni'i yo ja'ma ku'un yo?” 
MAT.6.32	Kà'in takan, vati tandi'i ma ndian töve chìnuni tu'un Ndioo, takan chànini na, va takua ndyo'o ìyo iin ra kùu Tatá ndo iti' andivi, ta rakan kùu ra ña cha chà'a ra kuenda ña chìniñu'u ndo ndisaa ma ña chànini ndo. 
MAT.6.33	Yakan va na nanduku ji'na ndo naja kua kùuni Ndioo ña koo ndo chi'in ra ma nuu chà'nda ra tiñu, tajan ndicha ña ni ku'va ra tandi'i ma ña chìniñu'u ndo i'ya. 
MAT.6.34	Na töve na ja'a ndo ña nàkanini ndo cha'a' ma kivi ña vàchi itaan, ti kuenda ma itaan, siin kùu ma ña ni nakanini ndo kuenda yi. Vati ma ta'ii'iin kivi siin siin naja kua ndàka yi, ña nàkanini ndo cha'a' yi.
MAT.7.1	’Na tïsokuati ndo inga ñivi, ikan töve tìsokuati ma Ndioo ndo ndia. 
MAT.7.2	Vati ma Racha'nu Ndioo, ni tisokuati ra ndo ma naja kua tīsokuati ndo ma inga ñivi. Takua jà'a ndo chi'in inga ñivi indukuni takan, ni jande'e ra tundo'o ndo ndia. 
MAT.7.3	¿Ta naja jà'a ndo kuenda ma kuati vali, ña jà'a ma yani ndo, ta tüvi jà'a ndo kuenda ma kuati ka'nu, ña jà'a juuni maa ndo? 
MAT.7.4	Yakan va naja kua kùu ka'an ndo chi'in ta'an ndo ña kùu jandondaa ndo ma kuati na ta kà'an ndo te'en: “Ku'va na tavani'i̱ iin cha'an vali ña indii tichi tinuu̱n”, tuva ni ma cha'an ka'nu ña indii tichi tinuu juuni maa ndo na küu tavani'i ndo. 
MAT.7.5	¡Ndyo'o ndian kini ta uvi nuu ña chànini ndo!, na tavani'i ji'na ndo ma cha'an ka'nu ña indii tichi tinuu ndo, ikan na kuu nande'e va'a ndo, tajan kuu tindee ndio ndo ma ndian ta'an ndo chi'in ma kuati na.
MAT.7.6	’Ta koto jänini ndo ña kàtitu'un ndo ma tu'un Ndioo nuu ma ñivi ña töve kùuni koto yi, koto ja'a na ña kini chi'in ndo, takua jà'a ma ina xaan ora tìin ndri ndo. Ta koto juuni kani ka'ni ndri ndo ndia. Ta koto jächaa ndo iin ndatiñu ya'vi ndaa nuu ma ndian kini, koto kuañuni na chata yi.
MAT.7.7	Yakan va te'en nāka'an ma Jesuu:
MAT.7.7	―Na ndakan ndo ña chìniñu'u ndo nuu Ndioo, ta ku'va ra yi nuu ndo, na nanduku ndo yi nuu ra, ta nì'i ndo yi. Na jakate'e ndo yuve'e, ta nuna ra yi nuu ndo. 
MAT.7.8	Vati ma ndian chìkan iin nakuyi, nì'i na yi, ta ma ndian nànduku iin nakuyi, ta nàta'an na yi, ta ndian jàkate'e yuve'e, ta nùna ra yi nuu na ndia.
MAT.7.9	’¿A ìyo iin nda ndyo'o ña ora chìkan ma se'e ndo ña kachi na nuu ndo, ta chà'a ndo iin yuu nuu na? 
MAT.7.10	¿A ña chà'a ndo iin koo nuu na, ora chìkan na tiaka' nuu ndo?, kùuni ndo. 
MAT.7.11	Tu ndyo'o ña kùu ndo ndian kini, ta chìto ndo ku'va ndo ña va'a nuu ma ndiakuati se'e ndo, ta ma Racha'nu Tatá yo ra ìyo andivi ìyo tu'va ra ña tindee ra ndo chi'in ndisaa ma ña chìniñu'u ndo ma ora ña chìkan ndo yi nuu ra.
MAT.7.12	’Yakan va takua va'a kùuni ndo ña ja'a ma ñivi chi'in ndo, indukuni takan na ja'a ndo ma ña va'a chi'in na ndia. Vati takan kà'an ma tutu ley Ndioo ña tāa Moisés, chi'in ma tutu ña tāa ma ndian kà'an chi'in tu'un yu'u ra ―kàti Jesuu.
MAT.7.13	’Na ki'vi ndo ma yuve'e tuu. Vati ma yuve'e ki'in chi'in ma iti' ya'a ìyo nuna, kùu ma iti' kuà'an ma nuu ni naa na, ta tikan kùu ma nuu ki'vi kua'a' ñivi. 
MAT.7.14	Va ma yuve'e tuu, chi'in ma iti' ndetiñu, ña kuà'an chi'in na ma nuu ni koo na endeeni, ya'a tiani na kùu ma ndian nàta'an yi.
MAT.7.15	’Na ja'a ndo kuenda nuu ndo, chi'in ma ndian vata ña jàya'a na na ña kùu na ndian kà'an kuenda Ndioo. Vati ndiakan ora chàa na nuu ìyo ndo, nduva'a vii kà'an na chi'in ndo, va ma tichi anima na nduva'a xaan ndian kùu na. 
MAT.7.16	Cha'a' ma tiñu jà'a na, kùu nakoto ndo nda ndian kùu na. Vati taku ma iñu ndu'va, tüvi chà'a yi uva, ta ni ma yutun iñu xini, tüvi chà'a run ma chiti higu ndia. 
MAT.7.17	Ta takan kùu yi ña tandi'i ma yutun va'a, chà'a ndrun chiti va'a, ta ma yutun töve va'a, chà'a ndrun chiti töve va'a ndia. 
MAT.7.18	Vati taku ma yutun va'a, töve chà'a ndrun ma chiti töve va'a, ta ni ma yutun töve va'a, töve chà'a ndrun ma chiti va'a ndia. 
MAT.7.19	Yakan va tandi'i ma yutun ña töve chà'a chiti va'a, ìyo yi ña ka'nda yo ndrun, ta ka'mio ndrun. 
MAT.7.20	Ta takan kùu yi ña ni ku'va maa ndo kuenda, tu kùu na ndian va'a a ndian vä'a' cha'a' ma tiñu jà'a na.
MAT.7.21	’Ta na yöve tandi'i ma ndian kà'an: “Racha'nu, Racha'nu”, ni ki'vi na nuu chà'nda Ndioo tiñu iti' andivi, vati ma ndian ni ki'vi ikan, kùu ma ndian jà'a takua kùuni ma Tatái, ra ìyo andivi. 
MAT.7.22	Ora ni chaa ma kivi ikan, kua'a' ñivi te'en ni ka'an na chi'i̱n: “Racha'nu, Racha'nu, ndyu'u kàtitu'un ndi tu'un cha'un chi'in ma siviun, ta chi'in ma siviun tāvani'i ndi ma tati xaan, ta juuni chi'in ma siviun cha jā'a ndi kua'a' ma ndatu ndia.” Takan ni kati na. 
MAT.7.23	Va yu'u te'en ni ka'in chi'in na: “Na tükuii nàkotoi ndo. Na kundachiyo ndo xii̱n, ndyo'o ndian jà'a mamaa ña kini.” ―Takan kàti Jesuu.
MAT.7.24	’Yakan va ma ndian tàso'o ma ña kà'in, ta jà'a na yi, ndiakan kùu na tava kùu ma ra chānini va'a, ña jāva'a ra ma ve'e ra chata iin ma yuu ka'nu. 
MAT.7.25	Ta ikan jan kōyo ndio ma savi tati nduva'a ka'nu chata ma ve'e, ta chā'nu ndio ma yuta, ta töve nī nduva yi, ti mamaa yuu kùu ma cha'a yi, ta ma nuu ndaa yi. 
MAT.7.26	Va ma ndian tàso'o ma ña kà'in, ta töve jà'a na yi, ndiakan kùu na, tava kùu ma ra tükuii nī nata'vi chinituni ña jāva'a ra ma ve'e ra chata yuti ndi'i. 
MAT.7.27	Ta ikan jan kōyo ndio ma savi tati nduva'a ka'nu chata ma ve'e, ta chā'nu ndio ma yuta, ta jānduva yi ma ve'e. Ta takan kūu yi ña endee ndī'i yi tāni ―kàti Jesuu.
MAT.7.28	Ta ora chīnu kā'an Jesuu takan, ta ma ñivi, ndava kuà'an tati na. 
MAT.7.29	Vati jàna'a ra takua iin ra ìyo ndatu Ndioo chi'in, ta ma ndra matru ña jàkua'a tutu Ndioo töve jàna'a ndra takan.
MAT.8.1	Ta ora nūu ndio Jesuu ma yuku ikan, ta nduva'a kuii kua'a' ñivi tāndikun chata ra. 
MAT.8.2	Ta ikan jan iin ra ndo'o kue'e ta'yu, chājayatin ra ra nuu Jesuu, ta chūnandi chiti ra nuu ra, ta te'en nāka'an ra chi'in ra:
MAT.8.2	―Yo'o Racha'nu, na janda'un yu'u chi'in ma kue'e ña ndo'i, tuva kùuniun ―kàti ra.
MAT.8.3	Tajan jānakaa Jesuu nda'a' ra, ta jānani ndio ra nda'a' ra ra, ta te'en nāka'an ra:
MAT.8.3	―Kùuni̱ janda'i ñu̱n. Na nda'un ―kàti Jesuu chi'in ra.
MAT.8.3	Tajan juuni ma ora ikani, nāa ma kue'e ta'yu ñii ra. 
MAT.8.4	Ta ikan jan te'en nāka'an Jesuu chi'in ra:
MAT.8.4	―Koto kätitu'u̱n ma ña tā'un nuu nï'iin ñivi, uvanuu nuu sutu, na kujana'un ñu̱n. Ta na kunda'un iin kiti, ta sòkóun ri kuenda Ndioo, ti takan kà'an ma tutu Ndioo tāa Moisés taji'na, ikan na koto tandi'i ñivi ña cha ndā'un ―kàti Jesuu.
MAT.8.5	Ta ora kī'vi Jesuu ma ñuu Capernaum, tajan chājayatin iin ra capitán ma ñuu Roma ma nuu ndaa Jesuu. Ta te'en jānini ra ra chi'in ma tu'un i'ya:
MAT.8.6	―Yo'o Racha'nu, ma ra jà'a tiñu nui, kù'vi ra kàndii ra ve'i jà'a ña pe'lu cha'a' ra chi'in nda'a' ra, ta ya'aga nda'vi kùuni ra ña ya'a ndè'e ra tundo'o ―kàti ra.
MAT.8.7	Tajan Jesuu te'en nāka'an ndio ra chi'in ma ra capitán:
MAT.8.7	―Na ko'o ta jànda'i ra ―kàti ra.
MAT.8.8	Tajan ma ra capitán te'en nāka'an ra chi'in Jesuu:
MAT.8.8	―Yo'o Racha'nu, na töve ìyo yi ña ki'viun ma tichi ve'i cha'a' ña ra nda'vini kùi, va'aga ña na ja'un yi chi'in ma tu'un yu'uniun, ta chi'in yakan nda'a ma musui. 
MAT.8.9	Vati nda mai, juuni ìyo ma ra chà'nda tiñu nui, ta juuni ìyo jandaru ña chà'ndai tiñu nuu ndia. Vati ora kà'in chi'in iin ma ra jandarui ña na ku'un ra, ta kuà'an ra, ta ora kà'in chi'in inga ra ña na kichi ra, ta vàchi ra. Ta ora tàvai tiñu nuu ma musui ña na kuja'a ra iin tiñu nui, ta jà'a ra yi ndia. ―Takan kàti ma ra kùu capitán chi'in Jesuu.
MAT.8.10	Ta ora chīni Jesuu ma ña kā'an ra ta ndava kuà'an anima ra ndaa ra. Tajan te'en nāka'an ndio ra chi'in ma ñivi kuà'an chata ra:
MAT.8.10	―Ndicha va'a ña kà'in chi'in ndo ña ninii ñuu Israel takä'an nàta'in nï'iin ma ndian chìnuni va'a ma takua chìnuni ra'ya. 
