GEN.1.4	Dieu vit que la lumière était bonne, et Dieu sépara la lumière et les ténèbres. 
GEN.12.15	Les princes du pharaon la virent aussi et firent son éloge auprès du pharaon ; alors la femme fut emmenée chez le pharaon. 
GEN.12.16	Quant à Abram, on le traita bien à cause d’elle ; Abram reçut du petit bétail et du gros bétail, des ânes, des serviteurs et des servantes, des ânesses et des chameaux. 
GEN.12.17	Mais le S
GEN.12.18	Alors le pharaon appela Abram ; il lui dit : Qu’est-ce que tu m’as fait ? Pourquoi ne m’as-tu pas fait savoir qu’elle était ta femme ? 
GEN.12.19	Pourquoi as-tu dit : « C’est ma sœur ! » Du coup je l’ai prise pour femme. Maintenant, voilà ta femme, prends-la et va-t’en ! 
GEN.12.20	Le pharaon donna des ordres à ses gens, et ceux-ci le reconduisirent, lui, sa femme et tout ce qui lui appartenait.
GEN.13.3	Il se rendit par étapes du Néguev jusqu’à Beth-El, jusqu’au lieu où avait d’abord été sa tente, entre Beth-El et le Aï, 
GEN.13.4	au lieu où il avait précédemment fait un autel ; là, Abram invoqua le nom du S
GEN.13.6	Le pays ne leur permettait plus d’habiter ensemble – leurs biens étaient si considérables qu’ils ne pouvaient plus habiter ensemble. 
GEN.13.7	Il y eut querelle entre les bergers des troupeaux d’Abram et les bergers des troupeaux de Loth. – Les Cananéens et les Perizzites habitaient alors le pays. – 
GEN.13.8	Abram dit à Loth : Qu’il n’y ait pas, je te prie, de querelle entre moi et toi, ni entre mes bergers et tes bergers : nous sommes frères ! 
GEN.13.9	Tout le pays est devant toi. Sépare-toi de moi, je te prie : si tu vas à gauche, j’irai à droite ; si tu vas à droite, j’irai à gauche.
GEN.13.11	Loth choisit donc pour lui tout le district du Jourdain et partit vers l’est. C’est ainsi qu’ils se séparèrent l’un de l’autre. 
GEN.13.12	Abram s’installa en Canaan ; Loth s’installa dans les villes du District et déplaça ses tentes jusqu’à Sodome. 
GEN.13.13	Les gens de Sodome étaient très mauvais et pécheurs envers le S
GEN.13.15	tout le pays que tu vois, je te le donnerai, à toi et à ta descendance, pour toujours. 
GEN.13.16	Je rendrai ta descendance aussi nombreuse que les grains de poussière de la terre : si l’on pouvait compter les grains de poussière de la terre, alors on pourrait aussi compter ta descendance. 
GEN.13.17	Parcours le pays en long et en large : je te le donnerai. 
GEN.13.18	Abram déplaça ses tentes ; il vint s’installer aux térébinthes de Mamré, à Hébron. Il bâtit là un autel pour le S
GEN.14.2	firent la guerre à Béra, roi de Sodome, à Birsha, roi de Gomorrhe, à Shinéab, roi d’Adma, à Sheméber, roi de Tseboïm, et au roi de Béla, c’est-à-dire Tsoar. 
GEN.14.3	Tous ceux-ci se liguèrent et se rassemblèrent dans la vallée de Siddim, c’est-à-dire la mer du Sel. 
GEN.14.4	Pendant douze ans ils avaient été soumis à Kedorlaomer, mais la treizième année ils s’étaient rebellés. 
GEN.14.5	La quatorzième année, Kedorlaomer et les rois qui étaient avec lui arrivèrent et battirent les Rephaïtes à Ashteroth-Qarnaïm, les Zouzites à Ham, les Emites dans la plaine de Qiriataïm 
GEN.14.6	et les Horites dans leur montagne, Séir, jusqu’au chêne de Parân, qui est près du désert. 
GEN.14.7	Puis ils s’en retournèrent, arrivèrent à Eïn-Mishpath (c’est-à-dire Qadesh) et battirent les Amalécites dans tout leur pays, ainsi que les Amorites qui habitaient à Hatsatsôn-Tamar. 
GEN.14.8	Alors le roi de Sodome, le roi de Gomorrhe, le roi d’Adma, le roi de Tseboïm et le roi de Béla, c’est-à-dire Tsoar, se mirent en campagne ; ils se rangèrent en ordre de bataille contre eux dans la vallée de Siddim : 
GEN.14.9	contre Kedorlaomer, roi d’Elam, Tidal, roi de Goyim, Amraphel, roi de Shinéar, et Ariok, roi d’Ellasar : quatre rois contre cinq. 
GEN.14.10	La vallée de Siddim était couverte de puits de bitume ; dans leur fuite, le roi de Sodome et celui de Gomorrhe y tombèrent, et les autres s’enfuirent vers la montagne. 
GEN.14.11	Les vainqueurs prirent tous les biens de Sodome et de Gomorrhe, avec toutes leurs provisions ; puis ils s’en allèrent. 
GEN.14.12	Ils prirent aussi Loth, fils du frère d’Abram, avec ses biens, et ils s’en allèrent – Loth habitait à Sodome. 
GEN.14.13	Un rescapé vint l’annoncer à Abram, l’Hébreu ; celui-ci demeurait aux térébinthes de Mamré l’Amorite, frère d’Eshkol et d’Aner, qui étaient les alliés d’Abram. 
GEN.14.14	Dès qu’Abram apprit que son frère avait été capturé, il arma trois cent dix-huit de ses meilleurs hommes, ceux qui étaient nés dans sa maison, et il se lança à leur poursuite, jusqu’à Dan. 
GEN.14.15	Il divisa sa troupe pour les attaquer de nuit, lui et ses serviteurs ; il les battit et les poursuivit jusqu’à Hoba, qui est au nord de Damas. 
GEN.14.16	Il ramena tous les biens ; il ramena aussi Loth, son frère, avec ses biens, ainsi que les femmes et les gens.
GEN.14.18	Malki-Tsédeq, roi de Salem, fit apporter du pain et du vin : il était prêtre du Dieu Très-Haut. 
GEN.14.19	Il le bénit en disant :
GEN.14.19	Béni soit Abram
GEN.14.19	par le Dieu Très-Haut
GEN.14.19	qui produit le ciel et la terre !
GEN.14.20	qui t’a livré tes adversaires !
GEN.14.20	Et Abram lui donna la dîme de tout. 
GEN.14.21	Le roi de Sodome dit à Abram : Donne-moi les gens, et prends les biens. 
GEN.14.22	Abram répondit au roi de Sodome : Je lève la main vers le S
GEN.14.23	Pas même un fil ni une lanière de sandale, je ne prendrai rien de tout ce qui t’appartient, pour que tu ne puisses pas dire : « C’est moi qui ai enrichi Abram ! » 
GEN.14.24	Rien pour moi, seulement ce qu’ont mangé les jeunes gens et la part des hommes qui sont allés avec moi, Aner, Eshkol et Mamré ; eux, ils prendront leur part.
GEN.15.2	Abram répondit : Seigneur D
GEN.15.3	Abram dit : Tu ne m’as pas donné de descendance ; c’est celui qui est né dans ma maison qui sera mon héritier. 
GEN.15.4	Alors la parole du S
GEN.15.5	Il le mena dehors et dit : Contemple le ciel, je te prie, et compte les étoiles, si tu peux les compter. Il lui dit : Ainsi sera ta descendance. 
GEN.15.6	Il mit sa foi dans le S
GEN.15.8	Abram répondit : Seigneur D
GEN.15.9	Il lui dit : Prends pour moi une génisse de trois ans, une chèvre de trois ans, un bélier de trois ans, une tourterelle et une jeune colombe. 
GEN.15.10	Il prit tous ces animaux, les coupa par le milieu et mit chaque moitié l’une en face de l’autre ; mais il ne partagea pas les oiseaux. 
GEN.15.11	Les oiseaux de proie s’abattirent sur les cadavres, mais Abram les chassa. 
GEN.15.12	Au coucher du soleil, une torpeur tomba sur Abram ; une terreur, une obscurité épaisse tombait sur lui.
GEN.15.14	Mais je jugerai la nation dont ils auront été les esclaves, et ils sortiront ensuite avec de grands biens. 
GEN.15.15	Toi, tu iras en paix vers tes pères ; tu seras enseveli après une heureuse vieillesse. 
GEN.15.16	A la quatrième génération, ils reviendront ici ; car la faute des Amorites n’est pas encore à son comble.
GEN.15.18	En ce jour-là, le S
GEN.15.19	le pays des Caïnites, des Qenizzites, des Qadmonites, 
GEN.15.20	des Hittites, des Perizzites, des Rephaïtes, 
GEN.15.21	des Amorites, des Cananéens, des Guirgashites et des Jébusites.
GEN.16.2	Saraï dit à Abram : Puisque le S
GEN.16.3	Ainsi, après qu’Abram eut habité dix ans en Canaan, Saraï, femme d’Abram, prit Hagar l’Egyptienne, sa servante, et elle la donna comme femme à Abram, son mari. 
GEN.16.4	Il alla avec Hagar, et elle fut enceinte. Quand elle se vit enceinte, sa maîtresse ne compta plus à ses yeux. 
GEN.16.5	Alors Saraï dit à Abram : Que la violence qui m’est faite retombe sur toi ! C’est moi-même qui ai placé ma servante sur ton sein ; et maintenant qu’elle se voit enceinte, je ne compte plus à ses yeux. Que le S
GEN.16.6	Abram répondit à Saraï : Ta servante est entre tes mains ; agis à son égard comme il te plaira. Alors Saraï se mit à l’affliger, et Hagar s’enfuit pour lui échapper.
GEN.16.8	Il dit : Hagar, servante de Saraï, d’où viens-tu et où vas-tu ? Elle répondit : Je me suis enfuie pour échapper à Saraï, ma maîtresse. 
GEN.16.9	Le messager du S
GEN.16.10	Le messager du S
GEN.16.11	Le messager du S
GEN.16.11	Te voici enceinte ;
GEN.16.11	Tu vas mettre au monde un fils,
GEN.16.11	et tu l’appelleras du nom d’Ismaël (« Dieu entend ») ;
GEN.16.11	car le S
GEN.16.12	sa main sera contre tous,
GEN.16.12	et la main de tous sera contre lui ;
GEN.16.12	il établira sa demeure face à tous ses frères.
GEN.16.14	C’est pourquoi on a appelé ce puits Puits Lahaï-Roï (« Au Vivant qui me voit ») ; il est entre Qadesh et Béred. 
GEN.16.15	Hagar donna un fils à Abram ; Abram appela du nom d’Ismaël le fils que Hagar lui avait donné. 
GEN.16.16	Abram avait quatre-vingt-six ans lorsque Hagar donna Ismaël à Abram.
GEN.17.2	Je mets mon alliance entre moi et toi : je te multiplierai à l’extrême. 
GEN.17.3	Abram tomba face contre terre ; Dieu lui dit : 
GEN.17.4	Pour ma part, voici mon alliance avec toi : tu deviendras le père d’une multitude de nations. 
GEN.17.5	On ne t’appellera plus du nom d’Abram : ton nom sera Abraham, car j’ai fait de toi le père d’une multitude de nations. 
GEN.17.6	Je te rendrai extrêmement fécond, je ferai de toi des nations, et des rois sortiront de toi. 
GEN.17.7	J’établis mon alliance entre moi et toi – toi et ta descendance après toi, dans toutes ses générations – comme une alliance perpétuelle, pour être ton Dieu et celui de ta descendance après toi. 
GEN.17.8	Je te donnerai, à toi et à ta descendance après toi, comme propriété perpétuelle, le pays où tu séjournes en immigré – tout Canaan – et je serai leur Dieu.
GEN.17.10	Voici mon alliance, telle que vous la garderez entre moi et vous – toi et ta descendance après toi : tout mâle parmi vous sera circoncis. 
GEN.17.11	Vous vous ferez circoncire dans votre chair ; ce sera un signe d’alliance entre moi et vous. 
GEN.17.12	A l’âge de huit jours, tout mâle parmi vous, dans toutes vos générations, sera circoncis, qu’il soit né dans la maison ou qu’il ait été acheté à prix d’argent à un étranger, à quelqu’un qui n’est pas de ta descendance. 
GEN.17.13	On devra circoncire celui qui est né dans ta maison et celui qui a été acheté avec ton argent ; mon alliance dans votre chair sera une alliance perpétuelle. 
GEN.17.14	Le mâle incirconcis, celui qui ne sera pas circoncis, celui-là sera retranché de son peuple : il a rompu mon alliance. 
GEN.17.15	Dieu dit encore à Abraham : Quant à Saraï, ta femme, tu ne l’appelleras plus du nom de Saraï : son nom sera Sara. 
GEN.17.16	Je la bénirai : d’elle aussi je te donnerai un fils ; je la bénirai, et elle deviendra des nations ; les rois de plusieurs peuples sortiront d’elle. 
GEN.17.17	Abraham tomba face contre terre ; il rit en se disant : Naîtrait-il un enfant d’un homme de cent ans ? Sara aurait-elle un enfant à quatre-vingt-dix ans ? 
GEN.17.18	Abraham dit donc à Dieu : Oh ! qu’Ismaël vive devant toi ! 
GEN.17.19	Mais Dieu dit : Ce n’est pas cela ! C’est Sara, ta femme, qui va te donner un fils ; tu l’appelleras du nom d’Isaac. J’établirai mon alliance avec lui comme une alliance perpétuelle, pour sa descendance après lui. 
GEN.17.20	Pour ce qui est d’Ismaël, je t’ai entendu : je le bénirai, je le rendrai fécond et je le multiplierai à l’extrême ; il engendrera douze princes, et je ferai de lui une grande nation. 
GEN.17.21	Mais mon alliance, je l’établirai avec Isaac, celui que Sara te donnera l’année prochaine, à cette époque-ci. 
GEN.17.22	Lorsqu’il eut achevé de lui parler, Dieu s’éleva au-dessus d’Abraham.
GEN.17.24	Abraham avait quatre-vingt-dix-neuf ans lorsqu’il fut circoncis. 
GEN.17.25	Ismaël, son fils, avait treize ans lorsqu’il fut circoncis. 
GEN.17.26	Ce jour même, Abraham fut circoncis, ainsi qu’Ismaël, son fils. 
GEN.17.27	De même, tous les hommes de sa maison, nés dans sa maison ou achetés à prix d’argent à des étrangers, furent circoncis avec lui.
GEN.18.2	Il leva les yeux et vit trois hommes debout devant lui. Quand il les vit, il courut à leur rencontre, depuis l’entrée de sa tente, se prosterna jusqu’à terre 
GEN.18.3	et dit : Seigneur, si j’ai trouvé grâce à tes yeux, ne passe pas, je te prie, sans t’arrêter chez moi, ton serviteur ! 
GEN.18.4	Laissez-moi apporter un peu d’eau, je vous prie, pour que vous vous laviez les pieds, puis reposez-vous sous l’arbre ! 
GEN.18.5	Je vais chercher quelque chose à manger pour que vous vous restauriez ; après quoi vous passerez votre chemin, car c’est pour cela que vous êtes passés chez moi, votre serviteur. Ils répondirent : D’accord, fais comme tu as dit.
GEN.18.7	Abraham courut vers le bétail, prit un veau tendre et bon et le donna à un serviteur, qui se dépêcha de le préparer. 
GEN.18.8	Il prit du lait fermenté, du lait frais, et le veau qu’on avait préparé, et il les mit devant eux. Il resta debout à leurs côtés, sous l’arbre, tandis qu’ils mangeaient.
GEN.18.9	Alors ils lui dirent : Où est Sara, ta femme ? Il répondit : Elle est là, dans la tente. 
GEN.18.10	Il dit : Je reviendrai chez toi l’année prochaine ; Sara, ta femme, aura un fils. Sara écoutait à l’entrée de la tente qui était derrière lui.
GEN.18.12	Sara rit en elle-même : Maintenant que je suis usée, se dit-elle, aurais-je encore du plaisir ? D’ailleurs mon maître aussi est vieux. 
GEN.18.13	Le S
GEN.18.14	Y a-t-il rien qui soit étonnant de la part du S
GEN.18.15	Sara mentit : Je n’ai pas ri, dit-elle ; car elle avait peur. Mais il dit : Si, tu as ri !
GEN.18.17	Or le S
GEN.18.18	alors qu’Abraham va devenir une nation grande et forte, et que toutes les nations de la terre se béniront par lui ? 
GEN.18.19	Car je l’ai distingué afin qu’il ordonne à ses fils et à toute sa maison, après lui, de garder la voie du S
GEN.18.20	Le S
GEN.18.21	que je vais descendre pour voir s’ils ont agi tout à fait selon les cris qui sont venus jusqu’à moi ; que cela soit ou non, je le saurai. 
GEN.18.22	Les hommes repartirent de là pour Sodome. Mais Abraham se tenait encore devant le S
GEN.18.23	Abraham s’approcha et dit : Vas-tu vraiment supprimer le juste avec le méchant ? 
GEN.18.24	Peut-être y a-t-il cinquante justes au milieu de la ville : vas-tu vraiment supprimer ? Ne pardonneras-tu pas à ce lieu à cause des cinquante justes qui s’y trouvent ? 
GEN.18.25	Jamais tu ne ferais une chose pareille : mettre à mort le juste avec le méchant, de sorte qu’il en serait du juste comme du méchant, jamais ! Le juge de toute la terre n’agirait-il pas selon l’équité ? 
GEN.18.26	Le S
GEN.18.27	Abraham reprit : J’ose te parler, Seigneur, alors que je ne suis que poussière et cendre... 
GEN.18.28	peut-être, des cinquante justes, en manquera-t-il cinq : pour cinq, anéantiras-tu toute la ville ? Il répondit : Je ne l’anéantirai pas, si j’en trouve là quarante-cinq. 
GEN.18.29	Abraham continua cependant de lui parler ; il dit : Peut-être s’en trouvera-t-il là quarante. Il répondit : A cause de ces quarante-là, je ne ferai rien. 
GEN.18.30	Abraham dit : Je t’en prie, Seigneur, ne te fâche pas si je parle encore. Peut-être s’en trouvera-t-il là trente. Il répondit : Je ne ferai rien si j’en trouve là trente. 
GEN.18.31	Abraham dit : J’ose encore te parler, Seigneur... peut-être s’en trouvera-t-il là vingt. Il répondit : A cause de ces vingt-là, je n’anéantirai pas. 
GEN.18.32	Abraham dit : Je t’en prie, Seigneur, ne te fâche pas si je parle encore une fois : peut-être s’en trouvera-t-il dix. Il répondit : A cause de ces dix-là, je n’anéantirai pas. 
GEN.18.33	Lorsqu’il eut achevé de parler à Abraham, le S
GEN.19.2	Puis il dit : Mes seigneurs, je vous prie, faites un détour par chez moi, votre serviteur, pour y passer la nuit ; lavez-vous les pieds ; vous vous lèverez de bon matin et vous poursuivrez votre route. Non, répondirent-ils, nous passerons la nuit dehors, sur la place. 
