GEN.1.1	In het begin maakte God de hemelen en de aarde. 
GEN.11.12+GEN.11.13	 Toen Arpachsad vijfendertig jaar was, werd zijn zoon Selach geboren. Na Selachs geboorte leefde Arpachsad nog vierhonderddrie jaar en kreeg nog meer zonen en dochters.
GEN.11.14+GEN.11.15	 Selach was dertig bij de geboorte van zijn zoon Eber. Daarna leefde hij nog vierhonderddrie jaar en kreeg nog meer zonen en dochters.
GEN.11.16+GEN.11.17	 Eber was vierendertig toen zijn zoon Peleg werd geboren. Hij leefde toen nog vierhonderddertig jaar en kreeg nog meer zonen en dochters.
GEN.11.18+GEN.11.19	 Peleg was dertig toen zijn zoon Reü geboren werd. Hij leefde toen nog tweehonderdnegen jaar en kreeg nog meer zonen en dochters.
GEN.11.20+GEN.11.21	 Bij Serugs geboorte was Reü tweeëndertig jaar. Daarna leefde hij nog tweehonderdzeven jaar en kreeg in die tijd nog meer zonen en dochters.
GEN.11.22+GEN.11.23	 Serug was dertig toen zijn zoon Nachor werd geboren. In de tweehonderd jaar die hij daarna nog leefde, kreeg hij nog meer zonen en dochters.
GEN.11.24+GEN.11.25	 Toen Terach werd geboren, was zijn vader Nachor zesentwintig. Nachor leefde nog honderdnegentien jaar en kreeg nog meer zonen en dochters.
GEN.11.26	Toen Terach zeventig was, kreeg hij drie zonen: Abram, Nachor en Haran. 
GEN.11.27	Haran had een zoon, Lot. 
GEN.11.28	Haran stierf echter jong in zijn geboorteland (Ur der Chaldeeën), zodat zijn vader hem overleefde. 
GEN.11.29	In de tussentijd trouwde Abram met zijn halfzuster Sarai en Nachor trouwde met Milka, de dochter van Haran. Haran was ook de vader van Jiska.
GEN.11.30	Sarai was onvruchtbaar en kreeg geen kinderen.
GEN.11.31	Op een goede dag brak Terach op vanuit Ur der Chaldeeën om samen met Abram, Harans zoon Lot en Abrams vrouw Sarai naar het land Kanaän te gaan. Onderweg bleven zij echter in de stad Haran en vestigden zich daar. 
GEN.11.32	Daar stierf Terach. Hij was tweehonderdvijf jaar oud geworden.
GEN.12.1	Eerder had de 
GEN.12.2	Dan zal Ik u de vader van een groot volk maken. Ik zal u zegenen en uw naam overal beroemd maken. U zult vele anderen tot een zegen zijn. 
GEN.12.3	Als iemand u zegent, zal Ik hem zegenen en als iemand u vervloekt, zal Ik hem vervloeken. U zult voor alle volken een zegen zijn.’
GEN.12.4	Abram gehoorzaamde de 
GEN.12.5	Hij nam zijn vrouw Sarai, zijn neef Lot en al zijn bezittingen mee: vee en slaven die hij in Haran had verzameld. Zo kwamen zij in Kanaän aan.
GEN.12.6	Trekkend door het land kwamen zij in de buurt van Sichem, bij het eikenbos Moré. In dat gebied leefden in die tijd Kanaänieten. 
GEN.12.7	Daar verscheen de 
GEN.12.8	Daarna trok hij in zuidelijke richting naar het heuvelachtige gebied tussen Betel in het westen en Ai in het oosten. Hij zette daar zijn tent op, bouwde een altaar voor de 
GEN.12.9	Zo trok Abram steeds verder naar het zuiden in de richting van de Negev.
GEN.12.10	Er brak echter een zware hongersnood uit in Kanaän en Abram besloot naar Egypte uit te wijken. 
GEN.12.11+GEN.12.12+GEN.12.13	Toen zij de grens van Egypte naderden, begon Abram zich zorgen te maken. Hij zei tegen zijn vrouw Sarai: ‘Je bent een knappe vrouw. Als de Egyptenaren jou zien, zouden ze mij wel eens kunnen doden om jou te krijgen. Daarom kun je beter zeggen dat je mijn zuster bent. Dan zullen de Egyptenaren mij goed behandelen, ter wille van jou!’ 
GEN.12.14+GEN.12.15	 En inderdaad, zo gauw de Egyptenaren de schoonheid van Sarai zagen, brachten zij hun koning, de farao, op de hoogte. Hij nam Sarai op in zijn harem. 
GEN.12.16	De farao overlaadde Abram met geschenken: schapen, runderen, ezels, slaven, slavinnen en kamelen. 
GEN.12.17	Maar de 
GEN.12.18	Toen riep de farao Abram bij zich. ‘Wat hebt u mij aangedaan? Waarom hebt u gezegd dat Sarai uw zuster was, zodat ik haar als mijn vrouw heb genomen? Waarom hebt u mij niet verteld dat zij uw vrouw is? 
GEN.12.19	Hoe kon u haar aan mij afstaan door te zeggen dat zij uw zuster is? Neem haar maar terug en vertrek!’ 
GEN.12.20	Begeleid door een gewapend escorte werden Abram en zijn vrouw met al hun bezittingen het land uitgezet.
GEN.13.1	Zo verlieten zij Egypte en trokken weer noordwaarts naar de Negev: Abram, zijn vrouw, Lot en alles wat zij bezaten. 
GEN.13.2	Abram had veel vee, zilver en goud. 
GEN.13.3	Zij trokken net zo lang in noordelijke richting tot ze bij hun oude kamp tussen Betel en Ai kwamen. 
GEN.13.4	Het altaar dat Abram daar had gebouwd, stond er nog en opnieuw aanbad Abram daar de naam van de 
GEN.13.5	Lot had net als Abram veel vee en tenten voor zichzelf en zijn dienaren. 
GEN.13.6	Daarom konden zij niet bij elkaar blijven, want het land was niet groot genoeg voor al hun vee. 
GEN.13.7	De herders van Abram en Lot kregen zelfs onderling ruzie, wat gevaarlijk was vanwege de vijandige Kanaänieten en Perizzieten die daar woonden.
GEN.13.8	Abram besprak het probleem met Lot. ‘Het is niet goed dat wij ruziemaken en dat onze herders met elkaar overhoop liggen,’ meende hij. ‘Wij zijn tenslotte familie! 
GEN.13.9	Laten we daarom uit elkaar gaan, er is hier plaats genoeg. Als jij een stuk grond in het oosten kiest, ga ik naar het westen. Als jij een plaats in het westen kiest, ga ik naar het oosten.’ 
GEN.13.10	Lot keek goed om zich heen en zag het vruchtbare gebied langs de rivier de Jordaan, met overal genoeg water. Voordat de 
GEN.13.11	Daarom koos Lot voor de Jordaanstreek in het oosten en trok er met zijn vee en zijn dienaren heen. Hij en Abram gingen uit elkaar. 
GEN.13.12	Abram bleef in Kanaän en Lot vestigde zich in de steden van de Jordaanstreek in de buurt van de stad Sodom. 
GEN.13.13	Maar de inwoners van dit gebied waren erg slecht en zondigden tegen de 
GEN.13.14+GEN.13.15	 Nadat Lot was vertrokken, zei de 
GEN.13.16	Ik zal u zo veel nakomelingen geven dat ze, net als het stof van de aarde, niet kunnen worden geteld!
GEN.13.17	Doorkruis dit land in alle richtingen, dan zult u zien wat Ik u allemaal ga geven.’ 
GEN.13.18	Abram sloeg zijn kamp op bij de eikenbossen van Mamre, in de buurt van Hebron en bouwde daar een altaar voor de 
GEN.14.1	Het was oorlog. Koning Amrafel van Sinear, koning Arjoch van Ellasar, koning Kedorlaomer van Elam en koning Tidal van Goïm 
GEN.14.2	streden tegen koning Bera van Sodom, koning Birsa van Gomorra, koning Sinab van Adma, koning Semeber van Seboïm en de koning van Bela, ook wel Soar genoemd.
GEN.14.3	De laatsten mobiliseerden hun legers en kwamen samen in het dal Siddim, waar tegenwoordig de Dode Zee is. 
GEN.14.4	Zij waren twaalf jaar lang onderworpen geweest aan koning Kedorlaomer. Nu, in het dertiende jaar, kwamen zij in opstand. 
GEN.14.5+GEN.14.6	 Een jaar later kwamen Kedorlaomer en zijn bondgenoten in het gebied aan en er ontstond een hevige veldslag. De volgende stammen werden verslagen: de Refaïeten bij Asterot-Karnaïm, de Zuzieten bij Ham, de Emieten bij Sawe-Kirjataïm en de Chorieten in het gebergte Seïr tot aan El-Paran, vlak aan de rand van de woestijn. 
GEN.14.7	Daarna trokken de zegevierende legers naar En-Mispat (dat later Kades werd genoemd), waar zij de Amalekieten versloegen, zij gingen verder naar Chaseson-Tamar en versloegen daar de Amorieten.
GEN.14.8+GEN.14.9	 Toen trok het leger van de koningen van Sodom, Gomorra, Adma, Seboïm en Bela (of Soar) naar het dal Siddim en bond daar de strijd aan met het leger van Kedorlaomer en zijn bondgenoten. Vijf koningen tegen vier. De vijf delfden het onderspit. 
GEN.14.10	Ze sloegen op de vlucht en enkelen kwamen om in de asfaltputten die overal in het dal verspreid lagen. De overlevenden vluchtten de bergen in. 
GEN.14.11	De overwinnaars plunderden Sodom en Gomorra en namen alle waardevolle dingen mee. 
GEN.14.12	Ook Abrams neef Lot, die in Sodom woonde, werd met al zijn bezittingen meegenomen.
GEN.14.13	Een vluchteling vertelde dit aan Abram de Hebreeër, die woonde bij de eikenbossen van de Amoriet Mamre. Mamreʼs broers Eskol en Aner waren bondgenoten van Abram. 
GEN.14.14	Toen Abram hoorde dat Lot ook gevangen was genomen, riep hij al zijn mannen bijeen, 318 in totaal en ging achter het terugtrekkende leger aan dat ondertussen bij Dan was aangekomen. 
GEN.14.15	Die nacht verdeelde Abram zijn legertje in groepen en sloeg de vijand uiteen. Hij achtervolgde de vluchtenden tot Choba, dat ten noorden van Damascus ligt. 
GEN.14.16	Zo heroverde Abram alles: de hele buit, zijn neef Lot en al Lots bezittingen, de vrouwen en de andere gevangenen.
GEN.14.17	Toen Abram terugkeerde na zijn overwinning op Kedorlaomer en diens bondgenoten in het dal Sawe (later het Koningsdal genoemd), ging de koning van Sodom hem tegemoet. 
GEN.14.18	Melchisedek, de koning van Salem (Jeruzalem), die priester was van God, de Allerhoogste, kwam met brood en wijn voor Abram en zijn mannen.
GEN.14.19+GEN.14.20	 Melchisedek zegende Abram met de woorden: ‘God, de Allerhoogste, de Schepper van hemel en aarde, moge u zegenen, Abram. En geprezen zij God, die uw vijanden het onderspit heeft laten delven.’ Hierna schonk Abram Melchisedek een tiende deel van alles wat hij had heroverd.
GEN.14.21	De koning van Sodom vroeg: ‘Geef mij mijn mensen terug, de rest van mijn goederen mag u houden!’ 
GEN.14.22	Maar Abram weigerde: ‘Ik zweer bij de 
GEN.14.23	nog geen schoenveter zal ik van u aannemen, anders kunt u later zeggen: “Ik heb Abram rijk gemaakt.” 
GEN.14.24	Het enige dat ik kan aannemen, is een vergoeding voor wat mijn mannen hebben gegeten. Maar mijn bondgenoten Aner, Eskol en Mamre kunt u wel een deel van de buit geven.’
GEN.15.1	Na deze gebeurtenissen sprak de 
GEN.15.2	Maar Abram zei: ‘Och 
GEN.15.3	Wanneer ik sterf, zal de Damascener Eliëzer al mijn bezittingen erven. Een dienaar zal mijn erfgenaam worden.’ 
GEN.15.4	Maar de 
GEN.15.5	God nam Abram mee naar buiten en wees naar de nachtelijke hemel: ‘Kijk naar boven en tel al die sterren eens als u kunt! Zo zal uw nageslacht zijn: ontelbaar!’ 
GEN.15.6	Abram geloofde het woord van de 
GEN.15.7	Hij zei tegen Abram: ‘Ik ben de 
GEN.15.8	Abram vroeg: ‘Maar 
GEN.15.9	God antwoordde: ‘Haal een driejarige jonge koe, een driejarige geit, een driejarige ram, een tortelduif en een jonge duif.’ 
GEN.15.10	Abram hakte de dieren in tweeën, maar liet de vogels heel. 
GEN.15.11	Toen de roofvogels op de kadavers neerstreken, joeg Abram ze weg.
GEN.15.12	Bij het ondergaan van de zon viel Abram in een diepe slaap en kreeg een angstige droom. 
GEN.15.13	Toen zei God tegen Abram: ‘Uw nakomelingen zullen vierhonderd jaar in een vreemd land wonen, ze zullen daar slaven zijn en slecht behandeld worden. 
GEN.15.14	Maar het volk dat hen onderdrukt, zal Ik straffen. Daarna zal uw volk wegtrekken met grote rijkdommen. 
GEN.15.15	Maar u zult een hoge leeftijd bereiken en rustig kunnen sterven. 
GEN.15.16	Na vier generaties zullen uw nakomelingen hier terugkeren, want eerder zal de slechtheid van de Amorieten niet het peil bereiken waarop Ik ze zal straffen.’
GEN.15.17	Toen de zon onder was en het donker begon te worden, zag Abram een rokende vuurpot en een vlammende fakkel tussen de helften van de dode dieren doorgaan. 
GEN.15.18	Die dag sloot de 
GEN.15.19+GEN.15.20+GEN.15.21	En zij zullen de Kenieten, de Kenizzieten, de Kadmonieten, de Hethieten, de Perizzieten, de Refaïeten, de Amorieten, de Kanaänieten, de Girgasieten en de Jebusieten onderwerpen.’
GEN.16.1	Maar Abram en Sarai kregen geen kinderen. Daarom gaf Sarai haar dienares, het Egyptische meisje Hagar, als tweede vrouw aan Abram. 
GEN.16.2	‘De 
GEN.16.3	Abram stemde in met Saraiʼs voorstel. Dit gebeurde tien jaar nadat Abram in Kanaän kwam. 
GEN.16.4	Hij had gemeenschap met Hagar en zij raakte in verwachting. Toen ze dat merkte, nam zij echter een hooghartige houding aan tegenover haar meesteres Sarai. 
GEN.16.5	Sarai beklaagde zich daarover bij Abram. ‘Het is allemaal jouw schuld,’ zei ze boos. ‘Ik heb je mijn dienares gegeven en nu zij in verwachting is, kijkt ze op mij neer. Moge de 
GEN.16.6	‘Je mag haar van mij onder handen nemen als je dat nodig vindt,’ antwoordde Abram. Toen nam Sarai Hagar onder handen en sloeg haar, zodat ze vluchtte.
GEN.16.7	De Engel van de 
GEN.16.8	De Engel zei: ‘Hagar, dienares van Sarai, waar komt u vandaan en waar gaat u heen?’ Hagar antwoordde: ‘Ik ben op de vlucht voor mijn meesteres.’ 
GEN.16.9	De Engel zei: ‘Ga terug naar uw meesteres en gehoorzaam haar, 
GEN.16.10	want uw nakomelingen zullen een groot volk worden. 
GEN.16.11	U bent in verwachting en u zult een zoon krijgen. Noem hem Ismaël (God luistert), want de 
GEN.16.12	Uw zoon zal een wildebras worden, een vrijbuiter! Hij zal zich veel vijanden maken en zijn hele familie trotseren.’
GEN.16.13	Hierna noemde Hagar de naam van de Here—want Hij was het die met haar had gesproken—‘de God, die ziet en door mij werd gezien.’ Ze was verbaasd dat zij God had gezien en toch nog in leven was. 
GEN.16.14	Later werd de bron in de woestijn ‘De bron van de Levende die mij ziet’ genoemd. Hij ligt tussen Kades en Bered. 
GEN.16.15+GEN.16.16	 Zo kreeg Abram een zoon van Hagar en hij noemde hem Ismaël. Abram was toen zesentachtig jaar oud.
GEN.17.1	Toen Abram negenennegentig jaar oud was, kwam de 
GEN.17.2	Ik sluit een verbond met u en zal u talloze nakomelingen geven.’ 
GEN.17.3	Abram wierp zich op de grond en 
GEN.17.4	God vervolgde: ‘U zult niet de vader van één, maar van vele volken worden. Ik zal ook uw naam veranderen. 
GEN.17.5	U zult niet langer Abram heten, maar voortaan is uw naam Abraham (Vader van velen), want dat zult u zijn. Zo heb Ik het bepaald. 
GEN.17.6	Ik zal u heel veel nakomelingen geven onder vele volken! Er zullen koningen onder uw nageslacht zijn.
GEN.17.7+GEN.17.8	 Dit verbond zal overgaan op elke nieuwe generatie, voor altijd. Ook voor uw kinderen en hun kinderen zal Ik een God zijn. Het land Kanaän zal voor altijd van u en uw nakomelingen zijn. En Ik zal uw God zijn. 
GEN.17.9+GEN.17.10	 Uw gedeelte van het verbond bestaat uit het naleven van de regels. Dit is uw verplichting aan Mij: iedere mannelijke nakomeling moet worden besneden, 
GEN.17.11	de voorhuid moet worden verwijderd. Dat zal voor Mij het teken zijn dat u en uw nakomelingen dit verbond accepteren en eerbiedigen. 
GEN.17.12	Ieder jongetje moet acht dagen na zijn geboorte worden besneden. Dat geldt zowel voor een buitenlandse slaaf als voor iemand die in uw huis is geboren. 
GEN.17.13	Dit is een blijvend teken van ons verbond en moet door uw hele nageslacht worden nageleefd. Iedere man moet worden besneden. Zo zal uw lichaam het teken zijn dat u deel uitmaakt van mijn eeuwig verbond. 
GEN.17.14	Iemand die weigert zich te laten besnijden, moet worden verstoten. Die heeft mijn verbond gebroken.’
GEN.17.15	‘Wat uw vrouw Sarai betreft,’ ging God verder, ‘zij zal niet langer Sarai heten, maar Sara (Prinses). 
GEN.17.16	Ik zal haar zegenen en u een zoon bij haar geven! Ja, Ik zal haar zegenen en haar moeder maken van grote volken! Zij zal koningen voortbrengen.’
GEN.17.17	Abraham liet zich weer voor de 
GEN.17.18	En hij zei tegen de 
GEN.17.19	Maar God zei: ‘Nee, uw vrouw Sara zal een zoon krijgen die Isaak (Gelach) zal heten en Ik zal mijn verbond ook met hem en zijn nakomelingen sluiten, voor altijd. 
GEN.17.20	U hebt Mij gevraagd of Ik Ismaël ook wil zegenen, dat zal Ik zeker doen. Zijn nageslacht zal groot zijn en onder zijn nakomelingen zullen twaalf vorsten zijn. 
GEN.17.21	Maar mijn verbond sluit Ik met Isaak, die Sara volgend jaar om deze tijd ter wereld zal brengen.’ 
GEN.17.22	Zo eindigde het gesprek en God verliet Abraham.
GEN.17.23	Diezelfde dag nog besneed Abraham Ismaël en alle andere mannelijke huisgenoten—daar geboren of ergens gekocht—zoals God hem had opgedragen. 
GEN.17.24	Abraham was toen negenennegentig jaar, 
GEN.17.25	Ismaël was dertien. 
GEN.17.26	Beiden werden op dezelfde dag besneden, 
GEN.17.27	samen met de andere mannelijke huisgenoten.
GEN.18.1	De 
GEN.18.2	en zag plotseling drie mannen aankomen. Hij kwam snel overeind en begroette hen. 
GEN.18.3	‘Mijn Heer,’ zei hij, ‘onderbreek uw reis hier even. Kijk eens, u kunt daar in de schaduw van die boom even uitrusten. 
GEN.18.4	Ik zal dan water halen om uw voeten op te frissen en u wat eten geven, zodat u er weer tegen kunt. 
GEN.18.5	Kom, ga even zitten.’ ‘Fijn,’ zeiden de reizigers dankbaar, ‘we maken graag gebruik van uw gastvrijheid.’ 
GEN.18.6	Abraham haastte zich terug naar de tent en zei tegen Sara: ‘Snel, bak een paar koeken voor onze gasten en gebruik je beste meel.’ 
GEN.18.7	Daarna liep hij vlug naar buiten, naar de kudde en zocht een vet kalf uit. Hij gaf een knecht opdracht het dier te slachten en klaar te maken.
GEN.18.8	Korte tijd later zaten de drie mannen aan een maaltijd van kaas, melk en geroosterd kalfsvlees. Abraham stond naast hen onder de boom terwijl zij aten. 
GEN.18.9	‘Waar is uw vrouw Sara?’ vroegen de mannen hem. ‘In de tent,’ antwoordde Abraham. 
GEN.18.10	Toen zei de reiziger: ‘Over een jaar zal Ik u weer bezoeken en dan zal Sara een zoon hebben.’ Sara zat bij de tentingang achter de mannen mee te luisteren.
GEN.18.11	Abraham en Sara waren allebei erg oud en Sara was te oud om nog kinderen te kunnen krijgen. 
GEN.18.12	Daarom lachte ze in zichzelf om die woorden. ‘Een vrouw van mijn leeftijd die nog een kind krijgt? En dat met een man die zo oud is als Abraham?’ dacht ze. 
GEN.18.13	Maar de 
GEN.18.14	Voor Mij is niets onmogelijk. Over een jaar zal Ik terugkomen en dan zal Sara een zoon hebben.’ 
GEN.18.15	Maar Sara ontkende het. ‘Ik heb helemaal niet gelachen,’ zei zij, want ze was bang. Maar de 
GEN.18.16	Daarna stonden de mannen op en liepen verder in de richting van Sodom. Abraham liep met hen mee om hen uitgeleide te doen. 
GEN.18.17	‘Moet Ik mijn plannen eigenlijk wel voor Abraham verbergen?’ dacht de 
GEN.18.18	‘Want uit Abraham zal een groot volk voortkomen en hij zal voor alle volken een zegen zijn. 
