GEN.1.1	Mula-mula Tuhan Allah bekin langit deng bumi.
GEN.8.12	Dia tunggu tuju hari lai, ju dia kasi lapás ulang itu burung pompa. Ma ini kali, itu burung su sonde kambali lai.
GEN.8.13	Waktu Noh pung umur 601 taon, kaná hari partama bulan satu, aer su turun batúl-batúl. Ju Noh buka itu kapal pung jandela, ais dia lia kuliling, te tana dong su karíng. 
GEN.8.14	Sampe bulan dua, hari 27, te tana su karíng batúl-batúl.
GEN.8.15	Ais ju Tuhan Allah omong deng Noh bilang, 
GEN.8.16	“Noh! Sakarang bosong samua turun suda dari ini kapal. 
GEN.8.17	Kasi kaluar itu binatang dong samua! Andia: binatang piara, binatang liar, binatang marayap, deng burung-burung dong. Kasi tenga ko dong samua tamba banya, deng bekin ponu ini dunya.”
GEN.8.18+GEN.8.19	Ais ju Noh deng dia pung bini, dia pung ana-ana, deng dia pung ana mantu dong samua kaluar dari itu kapal. Itu binatang dong samua ju kaluar, satu-satu deng dia pung golongan.
GEN.8.20	Ais Noh susun batu ko bekin meja korban kasi sang TUHAN. Dari binatang-binatang yang bole pake jadi binatang korban, Noh ame satu-satu ekor. Ais dia horo ko bakar sang dong di atas itu meja korban, ko jadi tanda sukur sang TUHAN. 
GEN.8.21	Waktu TUHAN dapa ciom itu korban pung baboo wangi, ju Dia pung hati sanáng. Ju Dia pikir bilang,
GEN.8.21	“Mulai sakarang, Beta sonde akan kutuk lai ini dunya tagal manusia pung jahat. Biar dong cuma tau pikir jahat dari kici sa, ma Beta sonde akan kasi ancor abis lai samua yang idop, sama ke yang Beta su bekin tu. 
GEN.8.22	Salama ini dunya masi ada, ini musim dong samua jalan tarús, iko dia pung atoran. Andia: musim tanam deng musim koru, musim dingin deng musim panas, musim karíng deng musim ujan, siang deng malam.”
GEN.9.1	Tuhan Allah kasi berkat sang Noh deng dia pung ana-ana dong, deng omong bilang, “Bosong barana bam-banya, ko bekin ponu ini dunya lai. 
GEN.9.2	Nanti samua binatang liar, burung deng ikan dong taku sang bosong. Bosong yang musti ator sang dong. 
GEN.9.3	Bosong bole makan itu binatang samua pung daging, sama ke bosong ju bole makan tanaman dong pung hasil. Samua ni, Beta kasi sang bosong.
GEN.9.4	Cuma bosong sonde bole makan daging yang masi ada pung dara, tagal binatang pung nyawa ada di dia pung dara. 
GEN.9.5+GEN.9.6	Beta bekin manusia iko Beta pung model. Tagal itu, sonde bole bunu manusia. Kalo ada orang ko binatang, yang bunu bekin mati manusia, musti bunu bekin mati sang dong ju. Ini hukum datang dari Beta. 
GEN.9.7	Bosong musti barana bam-banya, ko bekin ponu ulang lai ini dunya.”
GEN.9.8	Tuhan Allah sambung lai Dia pung omong bilang, 
GEN.9.9	“Sakarang Beta mau ika Beta pung janji deng bosong, sampe deng bosong pung turunan ju. 
GEN.9.10	Ini janji ju kaná deng samua yang idop, andia binatang piara, binatang liar, deng burung-burung. Pokonya, samua yang kaluar sama-sama deng bosong dari itu kapal. 
GEN.9.11	Beta pung janji tu, bagini: Beta sonde akan kirim banjer bésar lai, ko bekin mati samua yang idop, deng bekin ancor abis ini dunya.
GEN.9.12+GEN.9.13	Beta taro Beta pung palangi di langit ko jadi tanda yang kasi inga Beta pung janji yang sonde putus-putus deng bosong, deng samua yang idop, deng ini dunya. 
GEN.9.14+GEN.9.15+GEN.9.16+GEN.9.17	Kalo ada awan di langit, ais palangi kaluar, nanti dia kasi inga sang Beta itu janji bilang: nanti banjer bésar sonde akan bekin ancor abis lai samua yang idop. Deng bagitu, Beta pung janji yang sonde tau abis tu, su taꞌika deng bosong, deng samua yang idop.”
GEN.9.18	Noh pung ana-ana yang kaluar dari itu kapal, andia Sem, Yafet deng Ham. (Ham tu, Kanaꞌan pung papa). 
GEN.9.19	Samua orang di dunya pung turunan datang dari Noh pung tiga ana dong. 
GEN.9.20	Noh tu, orang tani. Dia yang partama kali bekin kabón anggor. 
GEN.9.21	Satu kali, dia minum anggor sampe mabok barát. Ju dia buka buang dia pung pakean, abis tidor laloli talanjang bulat di dalam dia pung tenda. 
GEN.9.22	Waktu Ham dapa lia dia pung bapa pung talanjang tu, ju dia lari kaluar, ko pi kasi tau dia pung kaka Sem deng Yafet. 
GEN.9.23	Ais dong dua ame satu salimut, ju dong buka kasi tagantong di dong pung bahu. Ais itu, dong jalan mondor maso pi dalam itu tenda, ko tutu ame dong pung bapa. Deng bagitu, dong sonde lia dong pung bapa pung talanjang tu. Ais dong kaluar.
GEN.9.24	Waktu Noh pung mabok mulai ilang, ju dia dapa tau dia pung ana bungsu pung bekin. 
GEN.9.25	Ais dia omong bilang, “Heh! Kanaꞌan pung bapa! Beta kutuk sang lu! Lu nanti jadi lu pung kaka dong pung budak!
GEN.9.26	Puji TUHAN! Biar ko Dia kasi berkat sang Sem!
GEN.9.26	Ma biar ko Kanaꞌan jadi Sem pung jongos.
GEN.9.27	Biar Tuhan Allah bekin tamba luas Yafet pung tana;
GEN.9.27	Deng dia pung turunan idop dame deng Sem pung turunan.
GEN.9.27	Ma biar Kanaꞌan jadi Yafet pung kuli.”
GEN.9.28	Mulai dari itu banjer abis, Noh masi idop lai 350 taon. 
GEN.9.29	Dia mati waktu dia pung umur su 950 taon.
GEN.10.1	Abis banjer, ju Noh pung ana-ana dong dapa turunan. Andia turunan dari Sem, Yafet deng Ham.
GEN.10.2+GEN.10.3+GEN.10.4+GEN.10.5	Yafet pung turunan, andia, Gomer, Magog, Madai, Yawan, Tubal, Mesek deng Tiras. Satu-satu deng dong pung bahasa, dong pung suku, deng dong pung tana sandiri.
GEN.10.2+GEN.10.3+GEN.10.4+GEN.10.5	Gomer pung turunan, andia, Askenas, Rifat deng Togarma.
GEN.10.2+GEN.10.3+GEN.10.4+GEN.10.5	Yawan pung turunan, andia, Elisa, Tarsis, orang-orang Kitim, deng Dodanim yang tenga di pinggir-pinggir pante.
GEN.10.6	Ham pung turunan, andia, Kus, Misraim, Put, deng Kanaꞌan.
GEN.10.7	Kus pung turunan, andia, Seba, Hawila, Sabta, Raema deng Sabteka.
GEN.10.7	Raema pung turunan, andia, Syeba deng Dedan.
GEN.10.8	Kus pung ana laki-laki sang Nimrod. Dia tu, panglima paráng partama yang hebat. 
GEN.10.9	Dia pung hebat datang dari TUHAN, sampe dia ju jadi tukang buru binatang yang paling jago. Andia ko orang biasa omong bilang, “Biar ko lu jadi tukang buru binatang yang jago sama ke Nimrod, yang dapa dia pung hebat dari TUHAN.” 
GEN.10.10	Mula-mula dia pung daꞌera mulai dari Babel, Erek Akad, deng Kalne. Dong samua ada di Sinear.
GEN.10.11	Dari situ, dia kuasa tamba Asyur. Ais ju dia kasi bangun kota Niniwe, Rehobot-Ir, Kala, 
GEN.10.12	deng Resen, yang ada di Niniwe deng Kala pung teng-tenga. Samua tu, kota-kota bésar.
GEN.10.13	Misraim pung turunan, andia, orang-orang Ludim, Anamim, Lehabim, Naftuhim, 
GEN.10.14	Patrusim, Kasluhim, deng Kaftorim. Orang Kasluhim tu, andia orang Filistin dong pung nene-moyang.
GEN.10.15	Kanaꞌan pung ana sulung, andia, Sidon. Kanaꞌan ju jadi nene-moyang dari orang-orang Het, 
GEN.10.16	Yebusi, Amori, Girgasi, 
GEN.10.17	Hiwi, Arki, Sini, 
GEN.10.18	Arwadi, Semari, deng Hamati.
GEN.10.18	Kanaꞌan pung turunan dong tasiram jao-jao 
GEN.10.19	sampe dong pung batas-batas tana mulai dari Sidon tarús pi Gerar, sampe di Gasa. Dari situ pi Sodom, Gomora, Adma, deng Seboim, sampe di Lasa.
GEN.10.20	Dong samua tu, Ham pung turunan. Satu-satu deng dong pung bahasa, dong pung suku, deng dong pung tana sandiri.
GEN.10.21	Yafet pung kaka Sem, jadi orang Eber dong pung nene-moyang.
GEN.10.22	Sem pung turunan, andia, Elam, Asyur, Arpaksad, Lud deng Aram.
GEN.10.23	Aram pung turunan, andia, orang-orang Us, Hul, Geter deng Mas.
GEN.10.24	Arpaksad pung ana, Sela. Sela pung ana, Eber.
GEN.10.25	Eber dapa dua ana laki-laki. Yang sulung, dapa nama 
GEN.10.26	Yoktan pung turunan, andia, Almodad, Selef, Hasar-Mawet, Yera, 
GEN.10.27	Hadoram, Usal, Dikla, 
GEN.10.28	Obal, Abimael, Syeba, 
GEN.10.29	Ofir, Hawila, deng Yobab. Dong samua ni, Yoktan pung turunan.
GEN.10.30	Dong pung tampa tenga tu, mulai dari Mesa, tarús sampe di Sefar, andia tampa bagunung-bagunung di sablá matahari nae.
GEN.10.31	Dong samua tu, Sem pung turunan. Satu-satu deng dong pung bahasa, dong pung suku, deng dong pung tana sandiri.
GEN.10.32	Itu samua tu, Noh pung turunan, satu-satu deng dia pung suku sandiri-sandiri. Waktu banjer bésar abis, dong ni yang tasiram bekin ponu dunya.
GEN.11.1	Dolu-dolu, samua orang di dunya baꞌomong pake satu bahasa sa. 
GEN.11.2	Waktu dong saparu mulai bapinda pi sablá matahari nae, dong sampe di satu tana rata di Sinear,
GEN.11.3+GEN.11.4	Dong samua baꞌakór bilang, “We! Sodara-sodara dong! Mari ko kotong bangun satu kota bésar. Kotong musti bekin batu bata, ais kotong bakar sampe karás. Deng kotong susun itu batu bata dong pake ter. Ais kotong kasi badiri satu manara tinggi, yang dia pung ujung sampe di langit, ko biar kotong dapa nama. Biar ko kotong jadi satu bangsa bésar yang sonde usa tabagi-bagi.”
GEN.11.5	Ju TUHAN turun ko maloi coba itu kota deng dia pung manara yang dong bangun. 
GEN.11.6	Ais Dia omong bilang, “Ini manusia dong samua, satu bangsa, deng pake satu bahasa. Apa yang dong bekin sakarang ni, baru mulai langka partama sa. Beso-lusa, kalo dong samua taꞌika jadi satu sama ke sakarang ni, nanti dong bisa bekin apa sa. 
GEN.11.7	Lebe bae Kotong turun bekin dong pung bahasa jadi laen-laen, ko biar dong sonde bisa mangarti satu deng satu lai.”
GEN.11.8	Ais ju Tuhan turun ko bekin kaco dong pung bahasa. Deng bagitu, Dia bekin itu manusia dong tasiram pi samua tampa di dunya. Ju dong su sonde bangun tarús itu kota lai. 
GEN.11.9	Andia ko dong kasi nama itu kota, 
GEN.11.10	Ini Sem pung turunan. Waktu banjer bésar su barenti dua taon, pas deng Sem umur 100 taon, dia dapa satu ana laki-laki, nama Arpaksad. 
GEN.11.11	Ais itu, dia masi idop lai 500 taon, deng dia dapa tamba lai ana laki-laki deng parampuan.
GEN.11.12	Waktu Arpaksad umur 35 taon, dia dapa satu ana laki-laki, nama Sela. 
GEN.11.13	Ais itu, Arpaksad masi idop lai 403 taon, deng dia dapa tamba lai ana laki-laki deng parampuan.
GEN.11.14	Waktu Sela umur 30 taon, dia dapa satu ana laki-laki, nama Eber. 
GEN.11.15	Ais itu, Sela masi idop lai 403 taon, deng dia dapa tamba lai ana laki-laki deng parampuan.
GEN.11.16	Waktu Eber umur 34 taon, dia dapa satu ana laki-laki, nama Pelek. 
GEN.11.17	Ais itu, Eber masi idop lai 430 taon, deng dia dapa tamba lai ana laki-laki deng parampuan.
GEN.11.18	Waktu Pelek umur 30 taon, dia dapa satu ana laki-laki, nama Rehu. 
GEN.11.19	Ais itu, Pelek masi idop lai 209 taon, deng dia dapa tamba lai ana laki-laki deng parampuan.
GEN.11.20	Waktu Rehu umur 32 taon, dia dapa satu ana laki-laki, nama Seruk. 
GEN.11.21	Ais itu, Rehu masi idop lai 207 taon, deng dia dapa tamba lai ana laki-laki deng parampuan.
GEN.11.22	Waktu Seruk umur 30 taon, dia dapa satu ana laki-laki, nama Nahor. 
GEN.11.23	Ais itu, Seruk masi idop lai 200 taon, deng dia dapa tamba lai ana laki-laki deng parampuan.
GEN.11.24	Waktu Nahor umur 29 taon, dia dapa satu ana laki-laki, nama Tera. 
GEN.11.25	Ais itu, Nahor masi idop lai 119 taon, deng dia dapa tamba lai ana laki-laki deng parampuan.
GEN.11.26	Waktu Tera umur 70 taon lebe, ju dia dapa tiga ana laki-laki, andia, Abram, Nahor, deng Haran.
GEN.11.27	Tera pung turunan dong, bagini: Tera pung ana dong, andia Abram, Nahor, deng Haran. Haran dapa satu ana laki-laki, nama Lot. 
GEN.11.28	Haran mati di dia pung kampong asal, nama Ur, di orang Kasdim pung tana. Waktu dia mati tu, dia pung bapa Tera masi idop. 
GEN.11.29	Abram kawin deng Sarai. Nahor kawin deng Haran pung ana parampuan, nama Milka. Haran ju dapa ana laki-laki, nama Yiska. 
GEN.11.30	Ma Sarai mandul, sonde bisa barana.
GEN.11.31	Satu kali, Tera bawa dia pung ana Abram, dia pung ana mantu Sarai, deng cucu Lot, ko dong kaluar kasi tenga kampong Ur. Itu waktu dong mau pi tana Kanaꞌan. Ma sampe di negrí Haran, ju dong tenga di situ sa. 
GEN.11.32	Di situ, Tera mati waktu dia pung umur 205 taon.
GEN.12.1	Itu waktu, TUHAN su omong deng Abram bilang, “Abram! Lu kaluar kasi tenga lu pung kelu, lu pung bapa pung ruma, deng lu pung kampong. Lu pi satu tampa yang nanti Beta kasi tunju sang lu.
GEN.12.2	Nanti Beta kasi berkat sang lu.
GEN.12.2	Deng lu pung turunan nanti tamba banya,
GEN.12.2	deng jadi bangsa yang hebat sampe orang dong kanál lu pung nama.
GEN.12.2	Ais lu nanti jadi berkat kasi sang orang laen.
GEN.12.3	Nanti Beta kasi berkat sang orang yang kasi berkat sang lu.
GEN.12.3	Ma Beta kasi kutuk sang orang yang kasi kutuk sang lu.
GEN.12.3	Dengar bae-bae!
GEN.12.3	Te nanti samua suku-bangsa di ini dunya dapa berkat, tagal lu.”
GEN.12.4+GEN.12.5	Itu waktu, Abram pung umur 75 taon. Dia bawa dia pung bini Sarai, dia pung adi pung ana Lot, dia pung barang pusaka samua, deng samua orang karjá yang dia dapa di kota Haran. Ju Abram dong jalan kasi tenga Haran, ko pi di tampa yang TUHAN su kasi tau sang dia. Jadi dong jalan tarús, sampe di satu tampa, nama Kanaꞌan.
GEN.12.6	Sampe di sana, ju Abram jalan kuliling itu tana, sampe deka deng satu kampong, nama Sikem. Ais dong tenga tahan deka satu pohon bésar di More. Itu waktu, orang Kanaꞌan dong masi tenga di situ. 
GEN.12.7	Di situ, TUHAN kasi tunju diri sang Abram. Dia bilang, “Nanti Beta kasi ini daꞌera sang lu pung turunan.” Ais ju Abram susun kasi badiri satu meja batu ko pake jadi meja korban kasi sang TUHAN yang su kasi tunju Dia pung diri di situ. 
GEN.12.8	Ais itu, Abram dong pinda pi gunung di salatan, ais tenga tahan di kampong Betel deng kampong Ai pung teng-tenga. Di situ dia kasi badiri satu meja korban, deng dia sémba sang TUHAN. 
GEN.12.9	Ais itu, dia bapinda-bapinda tampa, sampe di tana Negeb di Kanaꞌan pung sablá salatan.
GEN.12.10	Satu waktu, ada musim lapar yang hebat di tana Kanaꞌan. Andia ko Abram dong jalan lebe jao lai pi sablá salatan, sampe di negrí Masir. Dong tenga tahan di sana. 
GEN.12.11	Waktu dong mau maso pi negrí Masir, dia kasi tau dia pung bini Sarai bilang, “Sarai. Lu ni, talalu manis. 
GEN.12.12	Ma nanti kalo orang Masir lia sang lu manis bagini, tantu dong mau bunu sang beta, tagal beta ni lu pung laki. Deng bagitu, dong bisa ame sang lu. 
GEN.12.13	Jadi ada lebe bae, lu kasi tau sang dong bilang, beta ni, lu pung kaka. Deng bagitu, dong sonde bunu sang beta, ma nanti dong babae deng beta, tagal lu.” 
GEN.12.14	Tarús, waktu Abram dong su sampe di Masir, orang dong dapa lia itu parampuan manis talalu. 
GEN.12.15	Waktu raja Masir pung pagawe dong dapa lia sang dia, ju dong puji-puji itu parampuan pung manis di muka raja. Ais dong bawa itu parampuan pi raja pung ruma. 
GEN.12.16	Jadi raja babae deng Abram, tagal Sarai. Ju raja parsén binatang kasi sang Abram, andia: kambing, domba, sapi, keledai, deng onta. Dia ju kasi parsén hamba laki-laki deng parampuan.
GEN.12.17	Ma tagal raja su ame orang pung bini pi dalam dia pung ruma, andia ko TUHAN hukum macam-macam sang dia deng dia pung isi ruma dong. 
GEN.12.18	Ais raja pange sang Abram ko tanya sang dia bilang, “Abram! Lu su bekin karmana sang beta? Akurang ko lu sonde kasi tau bilang, itu parampuan tu, lu pung bini? 
GEN.12.19	Ma lu bilang dia ni, lu pung adi! Amper sadiki beta ame sang dia jadi beta pung bini! Ini dia, lu pung bini. Sakarang, ame bawa sang dia, deng iskarobis suda dari beta pung muka!” 
GEN.12.20	Ais raja parenta dia pung pagawe dong, ko usir kasi kaluar Abram, dia pung bini, deng dong pung barang samua dari itu daꞌera.
GEN.13.1	Ais itu, Abram jalan kasi tenga Masir, ko kambali pi tana Negeb. Dia bawa dia pung bini deng dia pung harta pusaka samua. Dia pung adi pung ana Lot ju ada iko sang dong. 
GEN.13.2	Abram tu, kaya mau mati. Dia pung binatang piara deng mas-perak, talalu banya.
GEN.13.3	Dari Negeb dia jalan bapinda-bapinda ko pi kambali di kampong Betel deng kampong Ai pung teng-tenga. Dolu dia parná tenga di situ. 
GEN.13.4	Deng dia ju su kasi badiri meja korban. Ais dia sémba sang TUHAN di situ.
GEN.13.5	Lot, yang iko sama-sama deng Abram tu, ju ada pung binatang piara banya, deng dia pung orang karjá dong ju banya. 
GEN.13.6+GEN.13.7	Ma itu tampa sonde cukup luas kasi Abram deng Lot, deng dong pung harta-benda samua, ko idop sama-sama di situ. Ais Abram deng Lot pung gambala dong mulai bakanjar, tagal rumput di itu tampa sonde cukup kasi dong pung binatang. (Itu waktu, orang Kanaꞌan deng orang Feris masi tenga di situ ju.) 
GEN.13.8	Ais ju Abram kasi tau sang dia pung ana bilang, “Lot, é! Kotong ni bakelu. Jang sampe kotong dua batar-enak satu deng satu, ais kotong pung orang karjá dong maen babakalai tarús. 
GEN.13.9	Naa, lebe bae kotong dua bapisa sa. Ini tampa luas. Jadi, kalo lu pili ame tana di bagian kiri, na, beta ame di bagian kanan. Ma kalo lu pili ame tana di bagian kanan, na, beta ame di bagian kiri.”
GEN.13.10	Ais Lot lia-lia kuliling. Ju dia dapa lia kali Yarden pung lemba yang limpa deng aer, sampe di kampong Soar. Itu tampa pung subur sama ke TUHAN pung kabón, deng sama ke tana Masir. (Itu waktu, TUHAN balóm kasi ancor kota Sodom deng Gomora. Jadi itu tana masi bae.) 
GEN.13.11	Jadi Lot pili ame samua tana di kali Yarden pung lemba. Ais dong dua bapisa. Ju Lot pi sablá matahari nae. 
GEN.13.12	Ma Abram tenga tarús di tana Kanaꞌan. Ais Lot pi tenga di kampong-kampong deka kota Sodom di lemba Yarden. 
GEN.13.13	Ma orang Sodom jahat mau mati. Deng dong sonde mau dengar sang TUHAN.
GEN.13.14	Waktu Lot deng Abram su bapisa, ju TUHAN bilang sang Abram, “Abram! Coba lu buang mata kuliling ko lia samua tampa dari tampa yang lu badiri tu. Lia bae-bae muka-balakang kiri-kanan. 
GEN.13.15	Samua tana yang lu lia tu, nanti Beta kasi sang lu deng lu pung turunan dong, ko jadi bosong pung pusaka tarús sampe salamanya. 
GEN.13.16	Nanti Beta kasi lu pung turunan dong jadi banya sama ke pasir di pante. Sampe orang dong sonde bisa itong lu pung turunan pung banya. 
GEN.13.17	Sakarang lu jalan kuliling iko ini tana pung panjang deng lebar. Te samua tu, nanti Beta kasi sang lu!”
GEN.13.18	Ais ju Abram dong pinda, deng pi tenga ulang lai di itu tampa deka pohon-pohon bésar di Mamre, deka kampong Hebron. Ais dia susun meja korban, ko sémba sang TUHAN di situ.
GEN.14.1	Itu waktu, ada ampa raja bakumpul. Andia: Amrafel, raja negrí Sinear. Ariok, raja negrí Elasar. Kedarlaomer, raja negrí Elam. Deng Tideal, raja negrí Goyim. 
GEN.14.2	Itu waktu, ju ada lima raja laen yang bakumpul. Andia: Bera, raja negrí Sodom. Birsa, raja negrí Gomora. Sinab, raja negrí Adema. Semeber, raja negrí Seboim. Deng raja negrí Bela (andia negrí Soar). Ais, itu ampa raja dong baparáng lawan itu lima raja laen dong. 
GEN.14.3	Itu lima raja dong bakumpul deng dong pung tantara di lemba Sidim, (yang sakarang dong bilang Laut Mati).
GEN.14.4	Itu paráng pung akar bagini: dolu itu lima raja tondo sang raja Kedarlaomer sampe 12 taon. Ma taon ka-13, ju dong bangun malawan sang dia.
GEN.14.5	Waktu maso pi taon ka-14, ju raja Kedarlaomer deng dia pung tamán tiga raja tu, datang deng dong pung tantara. Ju dong baparáng bekin kala barapa negrí. Andia: orang Refaim di negrí Asterot-Karnaim, orang Susim di negrí Ham, orang Emim di negrí Sawe-Kiryataim, 
GEN.14.6	deng orang Hori yang di gunung Seir sampe di tampa kosong El Paran pung pinggir. 
GEN.14.7	Ais dong bale kambali pi En Mispat (yang sakarang nama Kades). Ais itu, dong bekin ancor orang Amalek pung negrí, deng orang Amori yang tenga di negrí Haseson-Tamar.
GEN.14.8+GEN.14.9	Ais, itu lima raja ator dong pung tantara di lemba Sidim, ju dong baparáng lawan itu ampa raja dong. 
GEN.14.10	Di itu lemba, ada banya kolam ter. Waktu dong baparáng tu, raja Sodom, raja Gomora deng dong pung tantara, bangun lari. Dong saparu jato maso dalam kolam ter. Deng saparu lari pi gunung. 
GEN.14.11	Jadi itu ampa raja yang manáng tu, pi rampas ame samua barang deng makanan dari Sodom deng Gomora. Ais ju dong mulai pulang.
