MAT.1.1	Ho’oy tulurn empo de Mori Yésus Kristus, wa’u di Daud, wa’u di Abraham. 
MAT.7.23	Du hitu kéta di Aku te tombo si’ang agu isé: Toé kéta manga baé dé’its méu Laku! Ngom oné mai ranga Dakus, sanggés méu ata pandé da’at!”
MAT.7.24	“Néténg-néténg atat dengé curup Daku so’o agu pandés, cama ného ata nggalas nai, hiot hesé mbarun lobo watu. 
MAT.7.25	Poli hitu cai usang agu tuan mbang, cain kolé buru warat te héur mbaru hitu, maik mbaru hitu toé rencoy, ai hesé lobo watuy. 
MAT.7.26	Maik néténg-néténg atat dengé curup Daku so’o agu toé pandés, hia cama ného ata bapay, hiot hesé mbarun éta lobo laingy. 
MAT.7.27	Poli hitu cai usang agu mbang, cain kolé buru warat te héur mbaru hitu wiga rencon agu le kéta rewutn.”
MAT.7.28	Du cemoln tombo ho’o de Mori Yésus, jenger taung ata do situt dengé toing Diha, 
MAT.7.29	ai toing Diha cama ného ata hiot manga kuasan, toé ného isét pecing Taurat disé.
MAT.8.1	Du poli kolén Mori Yésus éta mai golon, dod ata lako londang, lut Hia. 
MAT.8.2	Itu kali main cangata ata boké wa ranga Diha, suju agu io Hiay agu mai taén: “Mori, émé gorid ité, pandé ina koé beti daku.” 
MAT.8.3	Itu kali losn limé de Mori Yésus, asur ata hitu, agu mai taén: “Gorig Aku, inah ga.” Du hitu muing inan boké data hitu. 
MAT.8.4	Maik taé de Mori Yésus ngong hia: “Nuk dé, néka toi apa ho’o agu céing kaut, maik ngoh ga, toto wekim agu imam agu téing takung ata baté wuat di Musa, ai hitu tandan te pecing lisé.”
MAT.8.5	Du Mori Yésus ngo nggeroné béo Kapérnaum, mai cengata kepala de serdadu te cumang Hia, te tegi agu Hia: 
MAT.8.6	“Mori, mendi daku halas kin oné mbaru, ai pékoy agu kélo-balé tu’ung mosén.” 
MAT.8.7	Mai taé de Mori Yésus ngong hia: “Aku ngok te pandé inan.” 
MAT.8.8	Maik walé de kepala serdadu hitu agu Hia: “Mori, toé kéta remok aku te tiba Ité oné mbaru daku, maram ca gewékn kaut reweng Dité, toé te toé ina muing beti de mendi daku hitu. 
MAT.8.9	Ai weki rug kaku ata bewa-mai perénta datak agu bewa-mai aku manga kolé serdadu ata merik pangkatd. Agu émé nggo’o kaut taé daku ngong cengatan serdadu hitu: Ngoh! Ngo kauty, agu émé nggo’o kolé taé daku ngong cengatan: Mai! Mai kauty, ko latang te mendi rug: pandé ho’o, pandé kauty liha.” 
MAT.8.10	Du dengé le Mori Yésus reweng de serdadu hitu, lenget kétay agu mai taén ngong isét lut Hia: “Moro matan, imbi mésé ného nggo’o toé dé’it dengé Laku oné mai ata Israél. 
MAT.8.11	Aku taé agu méu: Dod ata te mai awo mai agu salé mai agu lonto hang cama-cama agu hi Abraham, hi Ishak agu hi Yakub oné Surga. 
MAT.8.12	Maik sanggéd anak mbaru hitu, te péncar nggeroné nendép tuil da’at, nitu de manga rétang-rembo agu kérek ngis.” 
MAT.8.13	Itu kali mai taé de Mori Yésus ngong kepala serdadu hitu: “Koléh ga, agu jari taung hitut imbim.” Wiga du hitu muing di’an mendi de kepala serdadu hitu.
MAT.8.14	Du cain oné mbaru di Pétrus, ita le Mori Yésus, inang di Pétrus halas kin, ai beti pémpang. 
MAT.8.15	Itu kali cau limén liha inéwai hitu, agu rémé nggitun mora muing pémpangn. Itug to’on agu ris Hian. 
MAT.8.16	Du wiég tana, dadé dod ata nggeroné Mori Yésus, ata hena le jing da’at, maik ca mu’u kaut curup de Mori Yésus mbér jing situ, agu pandé ina isét hena le beti situ. 
MAT.8.17	Hitus dé cai wad te rapakn curup hiot caing le nabi Yésaya: “Hia ata polad lendé dité, agu ata tanggongd beti dité.”
MAT.8.18	Du ita le Mori Yésus ata do baling mai Hia, jera Liha te lako be sina mais. 
MAT.8.19	Itu kali main ata pecing Taurat agu mai taén ngong Hia: “Tuang Guru, aku kudut lut Iték nggerenia kaut ngo Dité.” 
MAT.8.20	Taé de Mori Yésus agu Hia: “Serigala manga liangn agu kaka lélap manga cewon, maik Anak Manusia kali toé kéta manga osangn latang te bérit sa’in.”
MAT.8.21	Manga ca ata bana, hia cengata oné mai ata nungkun, mai taén agu Hia: “Mori, sendo koék aku Lité te boak emag!” 
MAT.8.22	Maik mai taé de Mori Yésus agu hia: “Lut Aku, kong isét mata boak cama ata matad.”
MAT.8.23	Itu kali léti perahu Mori Yésus agu ata nungkun kolé lut Hias. 
MAT.8.24	Rodo tuan kaut buru warat oné sano hitu, wiga wangka disé géréng té kandon le bombang, maik toko kin Mori Yésus. 
MAT.8.25	Og kali mai data nungkun te kéngko Hia, taéd: “Campé Mori, copél tité ho’o ga.” 
MAT.8.26	Mai taé Diha agu isé: “Co’o tara rantangs, méu ho’ot toé danga imbi?” Itu kali to’on Mori Yésus agu kentay Liha warat agu sano hitu. Itu kali letét kétay sano hitu. 
MAT.8.27	Lengét kétas ata situ, mai taéd: “Céi kéta Hia ho’o, wiga warat agu sano lorong kaut le perénta Dihas?”
MAT.8.28	Du cai besinad, oné tana data Gadara, mai sua taus ata oné mai boa ata hena le jings, te cumang Mori Yésus. Ata situ ngancéng copél laing, wiga toé manga cengatan ata cung te lako salang hitu. 
MAT.8.29	Isé situ ciéks taéd: “Te co’og ami Lité, oé Anak de Mori Keraéng? Cala mai Dité kudut wahéng ami bebolon cai wié leson?” 
MAT.8.30	Toé tadang nitu main, manga ca okas ela, rémé oncor kawé hangd. 
MAT.8.31	Itu kali jing da’at situ tegi agu Hia, mai taéd: “Émé mbér ami Ité, jera koé ami ngo boné ela do siokm.” 
MAT.8.32	Taéd Mori Yésus ngong isé: “Ngom ga!” Itu kali pé’angd agu ngo oné ela situ. Itu kali woncekd sanggéd ela do situ oné téngku nggerewa sano agu mata boné waés. 
MAT.8.33	Og kali losid sanggéd ata lami ela situ agu du caid oné béndar tombo kéta taung lisé, nggitu kolé latang te ata do siot hena le jings. 
MAT.8.34	Kedang kéta taungs lawa oné béndar hitu te ngo cumang Mori Yésus agu du poli cumangn lisé Hia, soka lisé, kudut Hia ledong tana ata ka’éng diséy.
MAT.9.1	Du poli hitu Mori Yésus léti perahuy agu ngo besinan. Itu kali cain Hia oné béndar de Run. 
MAT.9.2	Itu kali berotong lata cengata ata péko wa ranga Diha ata ngai halas kin oné wongkan. Du ita le Mori Yésus imbi disé, mai taén ngong ata péko hitu: “Imbi kaut le hau anak, ndékokm polisg ampongd.” 
MAT.9.3	Maik nggutd pisa taus ata pecing Taurat oné naid, taéd: “Hia ho’o é, mbécik Mori Keraéngy.” 
MAT.9.4	Maik baé le Mori Yésus get nai disé, mai taén: “Co’o tara nuk ata da’ats méu oné nais? 
MAT.9.5	Nia ata céwé émongn; taé: Polisg ampongd ndékokm, ko taé: To’oh ga, agu lakoh ga? 
MAT.9.6	Maik kudut baé le méu, te oné lino ho’o Anak Manusia manga kuasan te ampong ndékok.” Mai taén ngong ata péko hitu: “To’oh ga, ba wongka tokom agu kolé mbarum!” 
MAT.9.7	Itu kali to’on ata hitu agu kolén. 
MAT.9.8	Wiga ata do situt ita pandé hitu, rantangs, itu kali naring Mori Keraéngd ata poli téing kuasa nenggitu oné manusia.
MAT.9.9	Du poli ngo nitu main Mori Yésus, ita Liha cengata, ata ngasangn hi Matéus, lonto kin oné mbaru tegi béa, mai taéN ngong hia: “Lut Akuh.” Itu kali hesén hi Matéus agu lut Hiay. 
MAT.9.10	Ného cepisan du Mori Yésus hang oné mbaru di Matéus, do kétas isét tegi béa agu ata ndékok agu hang cama-cama agu Hia agu ata nungkun. 
MAT.9.11	Du itas lata Parisi wintuk hitu, mai taé disé ngong ata nungku de Mori Yésus: “Co’o tara hang cama-cama agu ata tegi béa agu ata ndékokn guru de méu?” 
MAT.9.12	Dengé le Mori Yésus, mai taén: “Toé ata weki di’a hitut kawé doktér, maik ata beti. 
MAT.9.13	Jari ngom ga, idep di’a betuan reweng ho’o: Ata ngoéng Daku momang agu mohas, toé téing takung, ai mai daku, toé bénta isét molor, maik ata ndékok.”
MAT.9.14	Ného cepisan, mais ata nungku de Yohanés oné Mori Yésus agu mai taéd: “Co’o tara ami agu ata parisin kali te puasa, maik ata nungku Dité toé?” 
MAT.9.15	Mai walé de Mori Yésus agu isé: “Ngancéng weli haé reba dihat kopé harat wéong naid du rémé hiat kopé cama laing agu isén? Landing manga leson hiat kopé harat dadé oné mai isén, du hitu di po puasas. 
MAT.9.16	Toé manga cengatan ata, hitut tumpak caré ata toéd neket oné baju boték, ai émé nenggitu caré-caré hitu te pandé biret baju hitu, agu danga-danga mésén biretn. 
MAT.9.17	Nenggitu kolé anggor weru, toé loli nggereoné kandi luit manga, ai émé nenggitu, betéy kandi hitu wiga anggor situ oké taungy, agu lewes bon kolé kandi hitu. Landing anggor weru na’a lata oné kandi weru kolé wiga ali hitu meler kid isét sua.”
MAT.9.18	Lari curup nenggitun Mori Yésus agu isé, mai cengata kepala sinagoga suju wa ranga Diha agu mai taén: “Anak inéwai daku itu koé di rowan, landing weli ga, mai koét Ité agu témba liméd oné hia kudut mosé kolé.” 
MAT.9.19	Og ngon Mori Yésus cama laing agu ata hitu agu ata nungku Diha. 
MAT.9.20	Du hitu manga cengata inéwai ata campulu sua ntaung béhéngn beti ru’u gogangy, lako ruis be musi mai Mori Yésus, agu cabi lindi juba paké Diha, 
MAT.9.21	Ai nuk oné nain: “Am cabi kaut laku lindi jubaN, ina bog aku.” 
MAT.9.22	Og holés nggere musin Mori Yésus agu lélo hia, mai taéN: “Mberés kaut naim anak Daku, le imbim tara selamak laing hau.” Pu’ung nitu main ina muing beti de inéwai hitu.
MAT.9.23	Du cai oné mbaru de kepala sinagoga hitu ita isét tebang sunding agu ata do ngai ngaoks, 
MAT.9.24	mai taén: “Pé’angm ga, anak koé ho’o toé matay, maik tokoy.” Maik isé tawa Hias. 
MAT.9.25	Du poli taung jera ngo be pé’angd ata do situ, Mori Yésus ngo nggere onéy agu cau limé de anak koé hitu, itug kali to’on anak koé hitu. 
MAT.9.26	Wiga wéro-émbon tombo hitu oné temu tana hitu.
MAT.9.27	Du ruda lako nitu main Mori Yésus, sua taus ata buta lorong Hia cang agu ciékd, taéd: “Ba’éng koé ami, oé anak di Daud.” 
MAT.9.28	Du ngo oné ca mbaruy Mori Yésus, mais sua taus ata buta situ nggere-oné Hia agu Mori Yésus taé agu isé: “Imbi le méu te Aku ngancéng pandén?” Mai walé disé: “Yo Mori, imbi lami.” 
MAT.9.29	Itu kali Mori Yésus asur mata disé cang agu mai taén: “Jari ga oné méu, lorong imbis.” 
MAT.9.30	Itus kali wela kauts mata disé. Agu Mori Yésus masa kéta pedén latangt isé, mai taéN: “Lélo, porong néka cengatan te baé apa ho’o.” 
MAT.9.31	Maik ngo be pé’angs isé, agu wéron lisé Hia, oné temu tana hitu.
MAT.9.32	Rémé ngo be pé’angd sua taus ata buta situ, ba kolé nggere-oné Mori Yésus cengata ata dopel hena le jing da’at. 
MAT.9.33	Agu du poli mbérn jing da’at hitu, itu po ngancéng curupn ata dopel hitu. Wiga lenget taung ata do, agu mai taéd: “Pandé nenggo’o toé kéta dimanga itan lata oné Israél.” 
MAT.9.34	Landing mai taéd ata Parisi: “Le kuasa de tu’a de jing da’at Hia tara ngancéngn mbérd jing da’at situ.”
MAT.9.35	Nenggitu dé Mori Yésus lako temu béndar agu béon, Hia toing oné mbaru-mbaru ngaji agu keréba Injil Adak Surga agu pandé morad sanggéd beti agu lendé. 
MAT.9.36	Le ita ata do situy, kembuk nain Mori Yésus latang te isé, ai lémas agu lubars cama ného jimbal siot toé manga ata lamid. 
MAT.9.37	Maig taéN ngong ata nungkuN: “Bo kéta do dani, maik ata gorid cekoés kali. 
MAT.9.38	Landing hitu tegi agu Hiat ngara dani, kudut Hia katu dos ata duat latang te akod.”
MAT.10.1	Mori Yésus bénta ata nungkun situt campulu sua agu téing kuasa agu isé latang te mbér jing da’at agu kudut pandé ina beti agu lendé.
MAT.10.2	Ho’os ngasang de rasul situ: Te can hi Simon ngasang banan hi Pétrus agu hi Andréas asén, hi Yakobus agu asén hi Yohanés anak di Zébédéus, 
MAT.10.3	hi Pelipus agu Bartoloméus, hi Tomas agu hi Matius ata tegi béa, hi Yakobus anak di Alféus, agu hi Tadéus, 
MAT.10.4	hi Simon ata Zélot, agu hi Yudas Iskariot hiot tai pika Hiay.
MAT.10.5	Rasul situt campulu sua wuat le Mori Yésus agu mai pedén ngong isé: “Méu néka pa oné salang data banam, ko néka mpéong oné béo data Samaria, 
MAT.10.6	maik ngo kali oné jimbal situt mora oné mai weki Israéld. 
MAT.10.7	Ngom ga, agu tombo le méu: Adak Surga ruis gi. 
MAT.10.8	Pandé inas ata beti; pandé mosés ata mata; pandé di’as ata boké agu mbérs jing. Poli tiba bod so’o le méu, itu tara téi bod kolé le meu.
MAT.10.9	Méu néka ba émas ko pérak ko tembaga oné kendiks. 
MAT.10.10	Méu néka ba bokong oné salang, néka ba suan baju, sepatu ko dongkar, ai ata pala patun te tiba lahén. 
MAT.10.11	Émé ngo méu oné béndar ko béo, kawé le méu nitu ata hitut patun, agu ka’éng oné hia dengkir méu ngo kolém. 
MAT.10.12	Émé ocok méu oné mbaru data, téing tabé le méu isé. 
MAT.10.13	Émé naun isé te tiba, tabé hitu wa’u oné iséy. Émé toé, tabé de méu kolé oné weki rus. 
MAT.10.14	Agu émé toé tiba di’a méu lata, agu toé séngét curup de méus, ngo méu ga, agu legong le méu mbaru ko béo hitu agu péntang kebok wa wa’is. 
MAT.10.15	Aku taé agu méu: Moro matan, du leso beté-bicar tana Sodom agu Gomora, céwé géal tanggongn itu po de bendar hitu.
MAT.10.16	Lélo, Aku wuat méu cama ného jimbal ngo oné bahi-réha Srigala, landing hitu méu porong nggalas ného ular, tipek ného tekur jawam.
MAT.10.17	Landing jaga di’a-di’a agu ata, ai manga ata te téing méu oné isét Adak Agama, agu isé te luca méu oné mbaru ngaji. 
MAT.10.18	Agu landing kaut Aku, méu todang ba oné ranga disét cau kuasa agu raja-raja ného ca sakasi latang té isé agu té sanggéd uku ata toé pecing Mori Keraéng. 
MAT.10.19	Émé téing méu lisé, néka simpung te co’oy, te apa kétag le méu walén, ai sanggéd situ manga kali widang oné méun du hitu muings. 
MAT.10.20	Ai toé méu hitut curup, maik Nai de Emas. Hia hitut curup oné mai nai de méu.
MAT.10.21	Ata te téing asé-ka’én te ala, nenggitu kolé ema latang te anakn, agu anak-anakn lawang ata tu’ad, agu te mbelé isés. 
MAT.10.22	Méu te kodo le sanggén ata, landing kaut le ngasang Daku, maik isét ta’ong dengkir cemoln selamakd moséd. 
MAT.10.23	Émé pandé kélo-balé lata méu oné ca béo, losi méu oné béo bana, ai curup tu’ung Daku agu méu: Du toéd laboks le méu lakod béndar data Israél, polig main Anak Manusia. 
MAT.10.24	Ca murid toé ngancéng labi oné mai gurun, ko ca mendi oné mai morin. 
MAT.10.25	Remo émé ca murid cirik cama agu gurun, agu ca mendi cirik cama agu Morin. Émé ata ngara mbaru caron lisé Bélzébul (tu’a de jing da’at), apan kolé isét ka’éng ca mbaru.
MAT.10.26	Jari, néka rantang méu agu isé ai toé manga can raja ata toé téa oné géraks, agu toé manga can ata cehas ata toé pecings. 
MAT.10.27	Apa ata curup Daku agu méu oné nendep, paka curups le méu oné géraks, agu apa ata saok molé oné tilu, tombos ga situ éta mai lobo mbaru. 
MAT.10.28	Agu néka rantang méu agu isét ngancéng ala weki, maik toé manga kuasad te ala wakars, rantang kéta kali Hiat manga kuasan te calang wakar agu weki oné api neraka.
MAT.10.29	Toé weli kaka cik pika suan ce rimis? Landing toé kéta can oné mai isé te pa’u oné linos, bepé’ang mai ngoéng de Emas. 
MAT.10.30	Agu méu, wuk éta ulus kolé ngancéng bilang taungd. 
MAT.10.31	Landing hitu néka rantang méu, ai méu céwé mésén oné mai cik do situ.
MAT.10.32	Céi-céing ata situt tiba Aku oné ranga de manusia, Aku kolé te tiba hiak oné ranga de Emag éta Surga. 
MAT.10.33	Landing céi-céing ata pali Akun oné ranga de manusia, Aku kolé néng te pali hiak oné ranga de Emag éta Surga.”
MAT.10.34	“Néka nggo’o nuk de méu, te mai Daku oné lino kudut ba hambor. Mai daku toét ba hambor, maik ba sempilang. 
MAT.10.35	Ai Aku kudut pandé behas anak ata rona agu eman, anak inéwai agu endén, woté agu inangn, 
MAT.10.36	agu bali data, hitus isét cama mbarud.
MAT.10.37	Céi-céing ata céwé momang eman, ko endén itu po Aku, hia toé patun latang te Aku; agu céing kaut ata céwé momang anak ata ronan ko anak inéwain po Aku, hia toé patun latang te Aku. 
MAT.10.38	Céi-céing ata toé pola panggoln agu toé lut Aku, hia toé kopn latang te Aku. 
MAT.10.39	Céi-céing ata momang nain, hia te mamur nawan, agu céing ata mamur nawan landing Aku, hia te mo’éng mosén.
MAT.10.40	Céi-céing ata tiba méu, hia tiba Akuy, agu céing ata tiba Akuy, hia tiba Hiat wuat Akuy. 
MAT.10.41	Céi-céing ata tiba nabi, ného nabiy, hia te tiba lahé de nabiy, agu céing ata tiba ata molor ného ata molory, hia te tiba lahé data molory. 
MAT.10.42	Agu céing kaut ata téing waé ces ce gelasn kaut latang te cengata oné mai isét panga-wa so’o, landing hia ata nungku Dakuy, Aku taé agu méu: Moro matan, toé mora lahén latang te hia.”
MAT.11.1	Du Mori Yésus poli taungs pedén oné rasul situt campulu sua, ngog Hia nitu main te toing agu te tombo Keréba Di’a oné sanggéd béndar disé.
MAT.11.2	Oné mai buin hi Yohanés, dengé liha apa ata gori di Kristus, 
MAT.11.3	itu tara jera ata nungkun, te réi Hia: “Ité hitut mai, ko ami paka géréng ata banakm?” 
MAT.11.4	Mai walé de Mori Yésus agu isé: “Ngom ga méu, agu tombo oné hi Yohanés, apa ata dengé agu apa ata ita de méu: 
MAT.11.5	Ata buta ngancéng lélo, ata péko ngancéng lako, ata boké ciri helis wekin, ata nenteng ciri nilor, ata mata mosé kolé, agu oné isét lénggé ba keréba di’a. 
MAT.11.6	Agu mosé di’a hiat toé doét Akuy.”
MAT.11.7	Du koléd ata nungku di Yohanés, pu’ung Mori Yésus tombo agu ata do situ latang te hi Yohanés: “Kudut te co’os méu ngo oné satar mambak? Kudut lélo helung ata héo-haol le burus? 
MAT.11.8	Ko kudut apa ngos? Te lélo ata paké ceca hemél? Ata situt paké ceca hemél, osangd oné mbaru de raja. 
MAT.11.9	Jari, apa weli tara ngos méu? Kudut lélo nabi? Tu’ung kéta, Aku taé agu méu: Hia céwé mésé oné mai nabi. 
MAT.11.10	Ai latang te hia manga tulisn:
MAT.11.10	Lélo ga, Aku wuat atag bolo mai Ité,
MAT.11.10	hia kudut wé’ang salang bolo mai Ité.
MAT.11.11	Aku taé agu méu: Moro matan, oné mai isét loas le inéwai, toé dé’it manga tuan cengatan ata céwé mése oné mai hi Yobanés te Cebong; landing hiat merik-kejik oné osang Surga, céwé méséd oné mai hia. 
MAT.11.12	Du pu’ung mangan hi Yohanés Cebong dengkir te ho’on, manga ata te purakn Adak Surga, agu hiat purakn, damang te kuasan liha. 
MAT.11.13	Ai sanggéd nabi agu Kitab Taurat, ba pedé engkir tuan hi Yohanés, 
MAT.11.14	agu-émé goris méu te tiba - hituy hi Élia hitut kudut maiy. 
MAT.11.15	Céi-céing ata paéng tilun, séngét koé liha!
MAT.11.16	Agu apa Laku rapangd ata uwa te ho’on? Isé situ rapang cama ného anak koé ata lonto oné ambas agu mai ciékd ngong haé rebad:
