GEN.1.1	Makasososan Manetualain nakadadadik lalai no dae-inak.
GEN.7.14	Ara maso sama-sama ro bandar, ndia banda nekeboik, banda fuir, banda mana manodo-manamak, mbuik kara, ma banda laen fo kalidak kara. 
GEN.7.15+GEN.7.16	Pasan esa-esak numa basa horis lalaꞌen mai, maso reni ofak dale reu, sama-sama ro Noh, tungga hata fo Manetualain fee parenda neun.
GEN.7.15+GEN.7.16	Neu basa sara maso rala ofak dale, boe ma MANETUALAIN nggoe ofak naa lelesun.
GEN.7.17+GEN.7.18+GEN.7.19	Uda moꞌok konda nakandoo losa faik haa hulu, de faa moꞌok hene tamba namadema, losa ofak laa boꞌu-boꞌu. Oe hene nakandoo losa ana tatana nala lete demak kara. 
GEN.7.20	Oe naa hene ta namaketu, losa deman nakalena letek kara meter hitu.
GEN.7.21+GEN.7.22+GEN.7.23	No dalak naa, basa horis marai mada lai, mate basa sara. Ndia: hatahori dae-bafok, banda nekeboik, banda fuir, banda mana manodo-manamak, ma mbuik kara. Kada Noh ma basa marai ofak naa dale, rasoda. 
GEN.7.24	Oe naa ta reꞌe-reꞌe, losa faik 150.
GEN.8.1	Tehuu Manetualain ta lilii Noh sara no basa bandar marai ofak naa dale. De Ana fee anin mai fo fuu nareꞌe oe faa moꞌok naa. 
GEN.8.2	Ana oo tatana basa oe bubuk kara marai dae-inak, ma Ana fee udan numa lalai mai hahae boe. 
GEN.8.3	Boe ma oe reꞌe nakandoo. Basa faik 150, boe ma oe sangga ta demak ka ena. 
GEN.8.4	Ndaa no bulak kahitun seli faik 17, boe ma ofak naa hara neu lete demak esa, nade Ararat. 
GEN.8.5	Oe reꞌe nakandoo losa bulak kasalahunun faik kaesan, boe ma letek kara poin nara mulai mete-rita sara.
GEN.8.6	Seli faik haa hulu, boe ma Noh soi ofak dinelan esa. 
GEN.8.7	Basa boe ma ana mboꞌi mbuik kaa esa. Mbuik naa lambu nakandoo neu-mai losa oe faa moꞌok reꞌe tebe-tebe ena. Ana ta fali neni ofak neu ena. 
GEN.8.8	Boe ma Noh mboꞌi seluk mbui lunda sina esa bali, fo sangga bubuluk oe naa, reꞌe tebe-tebe ena do beik. 
GEN.8.9	Tehuu oe bei tatana nala basa dae-bafok, de mbuik naa ta hambu mamana sasaꞌek. Boe ma ana lambu fali neni ofak neu. Noh soro liman neu, de ana simbo nala falik mbuik naa maso neni ofak dale neu.
GEN.8.10	Noh nahani faik hitu bali, boe ma ana mboꞌi seluk mbuik naa. 
GEN.8.11	Ledo bobon naa, mbuik naa fali neni Noh mai, ma ana neni ai setun dook esa, ana dei fo ketu nalan. Boe ma Noh bubuluk oe reꞌe tebe-tebe ena. 
GEN.8.12	Ana nahani faik hitu bali, de ana mboꞌi seluk mbui lunda sina naa. Tehuu oek ia, mbuik naa ta fali ena.
GEN.8.13	Neu Noh teun nara 601, ndaa no bulak kaesan, faik kaesan, oe reꞌe tebe-tebe ena. Boe ma Noh soi ofak naa dinelan, de ana mete sudi bee neu, te daer madak kara ena. 
GEN.8.14	Losa bulak kaduan, faik ka-27, dae mada tebe-tebe ena.
GEN.8.15	Basa boe ma Manetualain kokolak no Noh nae, 
GEN.8.16	“Noh! Hatematak ia ei basa ngga konda numa ofak ia mai leo. 
GEN.8.17	Kalua heni basa bandar raa lalaꞌen leo! Ndia: banda nekeboik, banda fuir, banda mana manodo-manamak, ma mbuik kara. Ela sara fo basa sara tamba ramanoꞌu, ma rasofe dae-bafok ia.”
GEN.8.18+GEN.8.19	Basa boe ma Noh no saon, anan nara, ma feto-feun nara, basa sara kalua numa ofak naa mai. Basa bandar raa oo kalua boe, esa-esak no ndia matan.
GEN.8.20	Basa boe ma Noh totodo batur fo tao mei tunu-hotuk soa-neu MANETUALAIN. Numa bandar fo bole pake dadi neu banda tunu-hotuk kara mai, Noh haꞌi nala esa-esak. De ana hala fo hotu sara reu mei tunu-hotuk naa lain, dadi neu tanda makasi soa-neu MANETUALAIN. 
GEN.8.21	Neu MANETUALAIN hae nala tunu-hotuk naa boo menin, boe ma dalen namahoko. De Ana duduꞌa nae,
GEN.8.21	“Mulai numa hatematak ia neu, Au ta akatoo dae-bafok ia bali, nahuu hatahori dae-bafok manggaraun. Leo mae ara duduꞌa kada manggarauk numa kadiꞌi anan nara mai, tehuu Au ta akalulutu basa horis lalaꞌen bali, sama leo Au taok naa ena. 
GEN.8.22	Losa neu dae-bafok ia bei hambun, ledo-fair ia laꞌok rakandoo, tungga sira dalan. Ndia: fai sele-tandek ma fai ketu-koruk, fai makasufuk ma fai hanas, fai fanduk ma fai udan, leledok ma leꞌodaek.”
GEN.9.1	Manetualain fee babaꞌe-babatik neu Noh no anan nara, ma kokolak nae, “Ei bonggi mala noꞌun seli, fo tao masofe falik dae-bafok ia. 
GEN.9.2	Neu ko basa banda fuir, mbuik ma iꞌak kara ramataꞌu ei. Ei ndia muste lopo-linu sara. 
GEN.9.3	Ei bole miꞌa basa bandar raa mbaan, sama leo ei oo bole miꞌa sele-tandek kara buna-boan boe. Basa iar, Au fee sara reu ei.
GEN.9.4	Kada ei ta bole miꞌa mbaa bei kadaak, nahuu banda samanen nai daan dale. 
GEN.9.5+GEN.9.6	Au adu hatahori dae-bafok tungga Au mata-aong. Huu naa de ta bole hala misa hatahori dae-bafok. Mete ma hambu hatahori do banda, fo tao nisa hatahori dae-bafok, na, muste makanisa sara boe. Hohoro-lalanek ia numa Au mai. 
GEN.9.7	Ei muste bonggi noꞌun seli, fo tao masofe dae-bafok ia bali.”
GEN.9.8	Manetualain tuti seluk kokolan nae, 
GEN.9.9	“Hatematak ia Au nau ndara fangga Au hehelu-bartaang ua ei, losa ei tititi-nonosim mara boe. 
GEN.9.10	Hehelu-bartaak ia oo soa-neu basa hata fo horis boe, ndia banda nekeboik, banda fuir, ma mbuik kara. Kekeꞌun, soa-neu basa hata fo ei sama-sama mia sara, kalua numa ofak naa dale mai. 
GEN.9.11	Au hehelu-bartaang naa, talo ia: Au ta haitua faa moꞌok bali, fo tao nisa basa hata fo horis lalaꞌen, ma akalulutu basa dae-bafok ia.
GEN.9.12+GEN.9.13	Au tao Au elus neu lalai, fo dadi tanda nesenedak neu Au hehelu-bartaang ta mana ketuk ua ei, no basa hata fo horis lalaꞌen, ma dae-bafok ia. 
GEN.9.14+GEN.9.15+GEN.9.16+GEN.9.17	Mete ma hambu sosoꞌak nai lalai, boe ma elus dadi, na, neu ko ana fee nesenedak mai Au soa-neu hehelu-bartaak naa, nae: neu ko faa moꞌok ta nakalulutu basa hata fo horis lalaꞌen bali. No dalak naa, Au hehelu-bartaang ta mana basak naa, neni ndara fanggak ena no ei, ma no basa hata fo horis lalaꞌen.”
GEN.9.18	Noh anan nara mana kalua numa ofak naa mai, ndia Sem, Yafet ma Ham (Ham naa, Kanaꞌan aman). 
GEN.9.19	Basa hatahorir marai dae-bafok ia, tititi-nonosin nara konda numa Noh ana katelun nara mai.
GEN.9.20	Noh naa, hatahori mana ue daek. Ana ndia makasososan tao osi anggor. 
GEN.9.21	Laꞌe esa, ana ninu anggor losa mafu nalan seli. Boe ma ana lufa heni bualoꞌa-papaken, de ana sunggu lololi tao folik numa laan dale. 
GEN.9.22	Neu Ham mete-nita aman makaholan naa, boe ma ana nalai dea neu, fo neu nafada kaꞌan Sem no Yafet. 
GEN.9.23	Boe ma dua sara haꞌi rala lafa esa, de rakambembelan neu sira dua sara arun nara. Basa boe ma ara laꞌok rakadedeak reni laak naa dale reu, fo rakambambalu rala sira aman. No dalak naa, ara ta mete-rita sira aman nekeholan naa. Basa boe ma ara kalua dea reu.
GEN.9.24	Neu Noh mamafun mulai lende, boe ma ana bubuluk ndia ana muri anan tatao-nonoꞌin. 
GEN.9.25	Boe ma ana kokolak nae, “Weeh! Kanaꞌan amanee! Au akatoo o! Neu ko o dadi muu o kaꞌam mara ata-daton!
GEN.9.26	Kokoa-kikiok neu MANETUALAIN! Naa fo Ana fee babaꞌe-babatik neu Sem!
GEN.9.26	Tehuu naa fo Kanaꞌan dadi neu Sem ata-daton.
GEN.9.27	Elan fo Manetualain tao nambaloa Yafet dae oen;
GEN.9.27	Ma tititi-nonosin leo-laꞌo mole-dame ro Sem tititi-nonosin.
GEN.9.27	Tehuu elan fo Kanaꞌan dadi neu Yafet kulin.”
GEN.9.28	Mulai numa faa moꞌok naa basa neu, Noh bei nasoda teuk 350 bali. 
GEN.9.29	Teun nara 950, boe ma ana mate.
GEN.10.1	Basa faa moꞌok, boe ma Noh anan nara hambu tititi-nonosik. Ndia tititi-nonosik numa Sem, Yafet, ma Ham mai.
GEN.10.2+GEN.10.3+GEN.10.4+GEN.10.5	Yafet tititi-nonosin nara, ndia Gomer, Magog, Madai, Yawan, Tubal, Mesek, ma Tiras. Esa-esak no sira dedeꞌan, sira leon, ma sira dae oe heli-helin.
GEN.10.2+GEN.10.3+GEN.10.4+GEN.10.5	Gomer tititi-nonosin nara, ndia Askenas, Rifat ma Togarma.
GEN.10.2+GEN.10.3+GEN.10.4+GEN.10.5	Yawan tititi-nonosin nara, ndia Elisa, Tarsis, Kitim hatahorin nara, ma Dodanim,
GEN.10.6	Ham tititi-nonosin nara, sira Kus, Misraim, Put, ma Kanaꞌan.
GEN.10.7	Kus tititi-nonosin nara, sira Seba, Hawila, Sabta, Raema ma Sabteka.
GEN.10.7	Raema tititi-nonosin nara, sira Syeba ma Dedan.
GEN.10.8	Kus ana toun, ndia Nimrod. Ndia naa, malangga musu ta hohoꞌak makasososan. 
GEN.10.9	Ndia ta hohoꞌan hambun numa MANETUALAIN mai, losa ana oo dadi neu mana sombu ta hohoꞌak mateꞌen boe. Huu naa de hatahorir rasiꞌe kokolak rae, “Naa fo o dadi muu mana sombu ta hohoꞌak sama leo Nimrod, fo ana hambu ndia ta hohoꞌan numa MANETUALAIN mai.” 
GEN.10.10	Makasososan Nimrod toꞌu koasa mulai numa Babel, Erek Akad, ma Kalne mai. Basa naar rai Sinear.
GEN.10.11	Numa naa mai, ana koasa tamba no Asyur. Basa boe ma ana nambaririik kota Niniwe, Rehobot-Ir, Kala, 
GEN.10.12	ma Resen manai Niniwe no Kala taladan. Basa naar, kota moꞌok kara.
GEN.10.13	Misraim tititi-nonosin nara, sira hatahori Ludim, Anamim, Lehabim, Naftuhim, 
GEN.10.14	Patrusim, Kasluhim ma Kaftorim. Hatahori Kasluhim naa, ndia hatahori Filistin nara bei-baꞌin.
GEN.10.15	Kanaꞌan ana ulun, ndia Sidon. Kanaꞌan oo dadi neu hatahori Het, 
GEN.10.16	Yebusi, Amori, Girgasi, 
GEN.10.17	Hiwi, Arki, Sini, 
GEN.10.18	Arwadi, Semari ma Hamati, bei-baꞌin nara.
GEN.10.18	Kanaꞌan tititi-nonosin nara ratanggela losa dook ka 
GEN.10.19	losa sira daen too-lanen nara mulai numa Sidon seku neni Gerar neu losa Gasa. Numa naa mai, neni Sodom, Gomora, Adma, Seboim losa Lasa neu.
GEN.10.20	Sira basa naar, Ham tititi-nonosin. Esa-esak no sira dedeꞌan, sira leon, ma sira dae oe heli-helin.
GEN.10.21	Yafet kaꞌan Sem, dadi hatahori Eber bei-baꞌin nara.
GEN.10.22	Sem tititi-nonosin nara, sira Elam, Asyur, Arpakhsad, Lud ma Aram.
GEN.10.23	Aram tititi-nonosin nara, sira hatahori Us, Hul, Geter ma hatahori Mas.
GEN.10.24	Arpakhsad anan, Sela. Sela anan, Eber.
GEN.10.25	Eber hambu ana touk dua. Uluk, hambu nadek 
GEN.10.26	Yoktan tititi-nonosin nara, sira Almodad, Selef, Hasar-Mawet, Yerah, 
GEN.10.27	Hadoram, Usal, Dikla, 
GEN.10.28	Obal, Abimael, Syeba, 
GEN.10.29	Ofir, Hawila ma Yobab. Sira basa sara iar, Yoktan tititi-nonosin nara.
GEN.10.30	Sira mamana leleon nara raa, mulai numa Mesa mai, seku neu losa Sefar, ndia mamana mbuku letek nai boboak dulu.
GEN.10.31	Sira basa sara raa, Sem tititi-nonosin nara. Esa-esak no sira dedean, sira leon, ma sira dae oe heli-helin.
GEN.10.32	Basa naar, Noh tititi-nonosin nara, esa-esak no sira leo heli-helin. Neu faa moꞌok hahae, sira iar ndia sasarak tao rasofe dae-bafok.
GEN.11.1	Lele uluk, basa hatahorir rai dae-bafok kokolak pake kada dedeꞌak esak ka. 
GEN.11.2	Neu sira ketuk mulai lali reni boboan dulu reu, ara losa dae matetuk esa nai Sinear, boe ma ara leo reu naa.
GEN.11.3+GEN.11.4	Basa sara rala harak rae, “Wee! Toranoo nggara ein! Mai fo ita tambaririik kota moꞌok esa. Ita muste tao batu mbilas, boe ma ita hotun losa natea. Ma ita totodo batu mbilas raa pake ter. Basa boe ma ita tambaririik manara mandema esa, suꞌun losa lalai, mita fo ita hambu nade kokoak. Mita fo ita dadi teu hatahori nusa moꞌok esa, hae tabingga-baꞌek.”
GEN.11.5	Boe ma MANETUALAIN konda mai titino soba kota naa no manaran, fo ara rambaririik kana. 
GEN.11.6	Basa boe ma Ana kokolak nae, “Basa hatahori dae-bafok kara iar hatahori nusak esa, ma pake dedeꞌak esa. Hata fo ara taok hatematak ia, ia bei fo kada ue makasososak. Mbila-beinesak, mete ma basa sara rakaesa dadi reu esa, sama leo hatematak ia, neu ko ara bisa tao hata a mesan. 
GEN.11.7	Malole lenak Ita konda fo tao dedeꞌan nara esak matan, mita fo sira esa ta nala esa dedeꞌan bali.”
GEN.11.8	Basa boe ma MANETUALAIN konda fo tao babalik sira dedeꞌan. No dalak naa, Ana tao hatahori dae-bafok kara raa sasarak reni basa mamanak kara rai dae-bafok ia reu. De ara ta rambaririik rakandoo kota naa ena bali. 
GEN.11.9	Huu naa de ara foi kota naa, nade 
GEN.11.10	Ia Sem tititi-nonosin nara. Neu faa moꞌok basa teuk dua ena, nandaa no Sem teun nara 100, boe ma ana hambu ana touk esa, nade Arpaksad. 
GEN.11.11	Basa boe ma Sem bei nasoda teuk 500 bali, ma ana hambu tamba seluk ana touk ma inak.
GEN.11.12	Neu Arpaksad teun nara 35, boe ma ana hambu ana touk esa, nade Sela. 
GEN.11.13	Basa boe ma Arpaksad bei nasoda teuk 403 bali, ma ana hambu tamba seluk ana touk ma inak.
GEN.11.14	Neu Sela teun nara 30, boe ma ana hambu ana touk esa, nade Eber. 
GEN.11.15	Basa boe ma Sela bei nasoda teuk 403 bali, ma ana hambu tamba seluk ana touk ma inak.
GEN.11.16	Neu Eber teun nara 34, boe ma ana hambu ana touk esa, nade Pelek. 
GEN.11.17	Basa boe ma Eber bei nasoda teuk 430 bali, ma ana hambu tamba seluk ana touk ma inak.
GEN.11.18	Neu Pelek teun nara 30, boe ma ana hambu ana touk esa, nade Rehu. 
GEN.11.19	Basa boe ma Pelek bei nasoda teuk 209 bali, ma ana hambu tamba seluk ana touk ma inak.
GEN.11.20	Neu Rehu teun nara 32, boe ma ana hambu ana touk esa, nade Seruk. 
GEN.11.21	Basa boe ma Rehu bei nasoda teuk 207 bali, ma ana hambu tamba seluk ana touk ma inak.
GEN.11.22	Neu Seruk teun nara 30, boe ma ana hambu ana touk esa, nade Nahor. 
GEN.11.23	Basa boe ma Seruk bei nasoda teuk 200 bali, ma ana hambu tamba seluk ana touk ma inak.
GEN.11.24	Neu Nahor teun nara 29, boe ma ana hambu ana touk esa, nade Tera. 
GEN.11.25	Basa boe ma Nahor bei nasoda teuk 119 bali, ma ana hambu tamba seluk ana touk ma inak.
GEN.11.26	Neu Tera teun nara 70 lenak, boe ma ana hambu ana touk telu, ndia Abram, Nahor ma Haran.
GEN.11.27	Tera tititi-nonosin nara, talo ia: Tera anan nara, ndia Abram, Nahor ma Haran. Haran hambu ana touk esa, nade Lot. 
GEN.11.28	Haran mate numa ndia nggoro-tadu huun, nade Ur, nai hatahori Kasdim daen. Neu ana mate naa, aman Tera bei masodak. 
GEN.11.29	Abram sao nala Sarai. Nahor sao nala Haran ana inan, nade Milka. Haran oo hambu ana touk esa, nade Yiska. 
GEN.11.30	Tehuu Sarai kala tedis, ana ta bisa bonggi.
GEN.11.31	Laꞌe esa, Tera nuni nala anan Abram, feto-feun Sarai, ma umbun Lot, de ara kalua laꞌo ela nggorok Ur. Lelek naa, ara sangga reni dae Kanaꞌan reu. Tehuu losa nggorok Haran, boe ma ara leo reu kada naa leo. 
GEN.11.32	Numa naa, Tera maten, neu teun nara 205.
GEN.12.1	Lelek naa, MANETUALAIN kokolak no Abram ena nae, “Abram! O kalua laꞌo ela o nufanelum, o amam uman ma o nggoro-tadum. O muni mamanak esa muu, dei fo Au atudun neu o.
GEN.12.2	Neu ko Au fee babaꞌe-babatik neu o.
GEN.12.2	Ma o tititi-nonosim mara, neu ko ramanoꞌu,
GEN.12.2	ma ara dadi reu hatahori nusa moꞌo ta hohoꞌak esa, losa hatahorir ralela o nadem.
GEN.12.2	De neu ko o dadi muu mana fee babaꞌe-babatik neu hatahori laen.
GEN.12.3	Neu ko Au fee babaꞌe-babatik neu hatahori fo mana fee babaꞌe-babatik neu o.
GEN.12.3	Tehuu Au akatoo neu hatahori fo mana nakatoo o.
GEN.12.3	Nenene matalolole!
GEN.12.3	Neu ko basa hatahori nusa-nusak kara marai dae-bafok ia, hambu babaꞌe-babatik nahuu o.”
GEN.12.4+GEN.12.5	Lelek naa, Abram teun nara 75. Ana nuni nala saon Sarai, ndia fadin anan Lot, haꞌi neni basa ndia hata-heton lalaꞌen, ma basa hatahori mana maue-osar fo ana hambu sara ruma kota Haran. Boe ma Abram asa laꞌo ela Haran, fo reni mamanak fo MANETUALAIN nafada neun ena. De ara laꞌok rakandoo, losa mamanak esa, nade Kanaꞌan.
GEN.12.6	Losa naa, de Abram laꞌok eo ndule dae naa, losa deka no nggorok esa, nade Sikem. Boe ma ara leo taak deka ai huu moꞌok esa nai More. Lelek naa, hatahori Kanaꞌan nara bei leo numa naa. 
GEN.12.7	Numa naa, MANETUALAIN natudu aon neu Abram. Ana nae, “Neu ko Au fee nusak ia neu o tititi-nonosim.” Basa boe ma Abram totodo batur dadi neu mei batu esa fo paken dadi neu mei tunu-hotuk soa-neu MANETUALAIN fo mana natudu Ndia aon numa naa ena.
GEN.12.8	Basa boe ma Abram asa lali reni letek nai kona reu, de ara leo taak numa nggorok Betel ma nggorok Ai taladan. Numa naa, ana nambaririik mei tunu-hotuk esa, de ana nakaluku-nakatele neu MANETUALAIN. 
GEN.12.9	Basa boe ma ana lali-lali mamanak, losa dae Negeb nai Kanaꞌan boboan kona.
GEN.12.10	Laꞌe esa, hambu fai ndoe-laꞌas nalan seli numa nusa Kanaꞌan. Huu naa de Abram asa laꞌok ramadoo aon nara bali reni boboan kona reu losa nusa Masir. Ara leo taak reu naa. 
GEN.12.11	Neu ara rae maso reni nusa Masir reu, ana nafada saon Sarai nae, “Sarai, ee! O ia, manaꞌa hiek seli. 
GEN.12.12	De mete ma hatahori Masir mete-rita o manaꞌa hiek talo ia, na, neu ko ara nau hala risa au, nahuu au ia o saom. No dalak naa, ara bisa leꞌa rala o. 
GEN.12.13	Dadi malole lenak, o mafada sara mae, au ia o kaꞌam. No dalak naa, ara ta hala risa au, tehuu neu ko ara malole ro au, nahuu o.”
GEN.12.14	Neu Abram asa losa Masir ena, hatahorir mete-rita inak naa manaꞌa hiek seli. 
GEN.12.15	Neu mane Masir penggawen nara mete-ritan, boe ma ara koa inak naa manaꞌa hien numa manek matan. De ara leꞌa ro inak naa neni manek uman neu. 
GEN.12.16	Dadi manek malole neu Abram, nahuu Sarai. Boe ma manek fee mudak bandar reu Abram, sira: bibi hiek, bibi lombo, sapi, keledei ma onta. Ana oo fee mudak ata touk ma inak boe.
GEN.12.17	Tehuu no manek leꞌa nala hatahori sao inan neni ndia uman dale neu ena, huu naa de MANETUALAIN fee huku-dokik mata-matak neun no uma isi-oen nara. 
GEN.12.18	Basa boe ma manek noke nala Abram, de natanen nae, “Abram! O tao au talo bee ia ena? Tao hata de o ta mafada mae inak naa, o saom? 
GEN.12.19	Tehuu o mae ndia ia, o fadim! Ela faak ka au haꞌi alan dadi neu au saong! Ia, o saom ndia. Hatematak ia haꞌi malan fo malai laꞌo heok au matang ia leo!” 
GEN.12.20	Basa boe ma manek fee parenda neu ndia penggawen nara, fo ara husi kalua heni Abram, saon, ma basa sira bua-baꞌun nara lalaꞌen fo kalua numa nusak naa mai.
GEN.13.1	Basa boe ma Abram laꞌo ela Masir, fo ana fali neni dae Negeb neu. Ana nuni no saon ma basa ndia hata-heton lalaꞌen. Fadin anan Lot oo tungga sara boe. 
GEN.13.2	Abram naa, namasuꞌi nalan seli. Banda nekeboin nara, lilo mbilas ma lilo fulak, noꞌun seli.
GEN.13.3	Numa Negeb mai, ana leo lali-lali, losa ana fali neni nggoro Betel ma nggoro Ai taladan neu. Fai bakahulun ana leo nita numa naa ena. 
GEN.13.4	Ma ana oo nambaririik mei tunu-hotuk ena boe. De ana nakaluku-nakatele neu MANETUALAIN numa naa.
GEN.13.5	Lot, fo mana tungga sama-sama no Abram naa oo, naena banda nekeboik noꞌuk ka boe, ma ndia hatahori mana maue-osan nara oo noꞌuk ka boe. 
GEN.13.6+GEN.13.7	Tehuu mamanak naa sangga ta loak ka soa-neu Abram ma Lot, ro basa sira hata-heton lalaꞌen, fo ara leo-laꞌo sama-sama reu naa. Basa boe ma Abram no Lot mana lolon nara mulai rareresi, nahuu naꞌu manai mamanak naa, ta dai sira bandan nara raꞌa. (Lelek naa, hatahori Kanaꞌan ma hatahori Feris oo bei leo ruma naa boe.)
GEN.13.8	Basa boe ma Abram nafada anan nae, “Lot, ee! Ita iar nufaneluk esa. Boso losak ita dua ngga, esa ta malole no esa, boe ma ita hatahori mana maue-osan nara soa rahuur taa-taa. 
GEN.13.9	Dadi malole lenak ita dua ngga tabingga-baꞌek leo. Mamanak ia loak ka, de mete ma o here mala dae manai boboa kiin, na, au haꞌi ala dae manai boboa konan. Tehuu mete ma o here mala dae manai boboa konan, na, au haꞌi ala dae manai boboa kiin.”
GEN.13.10	Boe ma Lot mete ndule basan. De ana mete-nita lee Yarden doken sofek no oe, losa nggoro Soar. Mamanak naa daen maisi-minak sama leo MANETUALAIN osin, ma sama leo dae Masir. (Lelek naa, MANETUALAIN bei ta nakalulutu kota Sodom no Gomora. De dae naa bei malole). 
GEN.13.11	Huu naa de Lot here nala basa lee Yarden doken lalaꞌen. De dua sara rabingga-baꞌek. Boe ma Lot neni boboak dulu neu. 
GEN.13.12	Tehuu Abram leo nakandoo numa dae Kanaꞌan. Ma Lot neu leo numa nggoro-nggorok mana deka kota Sodom nai Yarden doken. 
GEN.13.13	Tehuu hatahori Sodom mara manggarauk sudi selik kana. Ma ara ta nau nenene neu MANETUALAIN.
GEN.13.14	Neu Lot no Abram rabingga-baꞌek ena, boe ma MANETUALAIN nafada Abram nae, “Abram! Soba o leleuk sudi bee neu fo mete ndule basa mamanak kara numa mamanak fo o mambariik naa mai. Mete matalolole dea-matan ma kii-konan. 
GEN.13.15	Basa daer fo o mete-mitak kara raa, neu ko Au fee sara reu o, ma o tititi-nonosim mara, fo dadi neu ei pusakam nakandoo, losa doon naa neu. 
GEN.13.16	Neu ko Au fee o tititi-nonosim mara dadi ramanoꞌu sama leo sarakaek nai tasi tatain. Losa hatahorir ta bisa reke rala o tititi-nonosim mara dedesin. 
GEN.13.17	Hatematak ia o laꞌok eo ndule dae ia loa-narun. Huu basa naar, neu ko Au fee sara reu o!”
GEN.13.18	Basa boe ma Abram asa lali mamanak, de reu leo seluk bali numa mamanak fo mana deka no ai huu moꞌok kara marai Mamre, deka no nggoro Hebron. Basa boe ma ana tia-totodo mei tunu-hotuk fo rakaluku-rakatele reu MANETUALAIN numa naa.
GEN.14.1	Lelek naa, hambu manek haa rakabua, sira: Amrafel, manek nusak Sinear. Ariok, manek nusak Elasar. Kedarlaomer, manek nusak Elam. Ma Tideal, manek nusak Goyim. 
GEN.14.2	Lelek naa oo, hambu manek laen lima rakabua boe, sira: Bera, manek nusak Sodom. Birsa, manek nusak Gomora. Sinab, manek nusak Adema. Semeber, manek nusak Seboim. Ma manek nusa Bela (ndia nusak Soar). De manek kahaak kara raa reu ratati laban manek kalima laen nara raa. 
