GEN.1.3	 Da sa Gud: «Det skal bli lys!» Og det ble lys. 
GEN.12.14	Da Abram kom til Egypt, så egypterne at kvinnen var svært vakker. 
GEN.12.15	Og faraos stormenn fikk se henne og roste henne for farao. Så ble kvinnen hentet til faraos hus. 
GEN.12.16	Og farao gjorde godt mot Abram for hennes skyld. Han fikk småfe, storfe og esler, slaver og slavekvinner, eselhopper og kameler.
GEN.12.17	Men 
GEN.12.18	Da kalte farao Abram til seg og sa: «Hva er det du har gjort mot meg? Hvorfor fortalte du meg ikke at hun er din kone? 
GEN.12.19	Hvorfor sa du at hun er din søster, slik at jeg tok henne til kone? Se, her har du din kone! Ta henne og gå!» 
GEN.12.20	Farao påla noen menn å sende ham bort sammen med hans kone og alt han eide.
GEN.13.1	Så dro Abram opp fra Egypt til Negev med sin kone og alt han eide. Og Lot var sammen med ham. 
GEN.13.2	 Abram var svært rik på buskap og på sølv og gull.
GEN.13.3	Han dro fra sted til sted, fra Negev og helt til Betel, til det stedet der han før hadde hatt teltet sitt, mellom Betel og Ai, 
GEN.13.4	 til stedet der han hadde reist et alter første gang. Der påkalte Abram 
GEN.13.5	Også Lot, som dro sammen med Abram, hadde småfe og storfe og telt. 
GEN.13.6	Men landet kunne ikke fø dem når de bodde sammen. For de eide så mye at de ikke kunne bo sammen. 
GEN.13.7	 Så ble det strid mellom dem som gjette buskapen til Abram, og dem som gjette buskapen til Lot. Den gangen bodde kanaaneerne og perisittene i landet. 
GEN.13.8	Da sa Abram til Lot: «Det kan da ikke være strid mellom meg og deg og mellom mine gjetere og dine! Vi er jo slektninger. 
GEN.13.9	Ligger ikke hele landet åpent foran deg? Skill heller lag med meg! Tar du til venstre, drar jeg til høyre. Og tar du til høyre, drar jeg til venstre.»
GEN.13.11	Så valgte Lot seg hele Jordan-sletten og dro mot øst. Slik skiltes de fra hverandre. 
GEN.13.12	Abram bosatte seg i landet Kanaan, mens Lot bosatte seg i byene på sletten og flyttet med teltene sine helt til Sodoma. 
GEN.13.13	 Menneskene i Sodoma var onde og syndet grovt mot 
GEN.13.15	 For hele det landet du ser, vil jeg gi deg og din ætt for alltid. 
GEN.13.16	 Jeg lar din ætt bli som støvet på jorden. Kan noen telle støvet på jorden, skal også din ætt kunne telles. 
GEN.13.17	Stå opp og dra omkring i landet på langs og på tvers! For det er deg jeg vil gi det til.» 
GEN.13.18	 Så flyttet Abram omkring med teltene sine. Han kom til Mamres eikelund ved Hebron. Der slo han seg ned og bygde et alter for 
GEN.14.1	I de dager da Amrafel var konge i Sinear, Arjok konge i Ellasar, Kedor-Laomer konge i Elam og Tidal konge over Gojim, 
GEN.14.2	førte de krig mot Bera, kongen i Sodoma, Birsja, kongen i Gomorra, Sjinab, kongen i Adma, Sjemeber, kongen i Sebojim, og mot kongen i Bela, det som nå er Soar. 
GEN.14.3	 Alle disse slo seg sammen og dro til Siddim-dalen, det som nå er Saltsjøen.
GEN.14.4	I tolv år hadde de tjent Kedor-Laomer, men i det trettende året gjorde de opprør. 
GEN.14.5	I det fjortende året kom Kedor-Laomer og de kongene som var med ham, og de slo refaittene ved Asjterot-Karnajim, susittene ved Ham, emittene på Kirjatajim-sletten 
GEN.14.6	og horittene i Se'ir-fjellene helt til El-Paran, som ligger like ved ørkenen. 
GEN.14.7	 Så snudde de og kom til Domskilden, det som nå er Kadesj. De la under seg hele området til amalekittene. De slo også amorittene som bodde i Haseson-Tamar.
GEN.14.8	Kongen i Sodoma dro ut sammen med kongen i Gomorra, kongen i Adma, kongen i Sebojim og kongen i Bela, det som nå er Soar. Og de stilte opp til strid mot dem i Siddim-dalen, 
GEN.14.9	mot Kedor-Laomer, kongen i Elam, Tidal, kongen over Gojim, Amrafel, kongen i Sinear, og Arjok, kongen i Ellasar – fire konger mot fem. 
GEN.14.10	Men i Siddim-dalen var det fullt av jordbekgruver, og da kongene i Sodoma og Gomorra måtte flykte, falt de ned i dem. De som var igjen, flyktet til fjells. 
GEN.14.11	De fire kongene tok alt av verdi og alt spiselig i Sodoma og Gomorra og dro bort. 
GEN.14.12	Og de tok Lot, Abrams brorsønn, og alt det han eide, og dro bort. Han bodde i Sodoma.
GEN.14.13	Da kom en som hadde sluppet unna, og fortalte dette til hebreeren Abram. Han holdt til ved eikelunden til amoritten Mamre, bror til Esjkol og Aner. De hadde en pakt med Abram.
GEN.14.15	Om natten delte de seg, han og mennene hans. De slo dem og forfulgte dem helt til Hoba, som ligger nord for Damaskus. 
GEN.14.16	Så førte han hele byttet tilbake. Sin slektning Lot og alt han eide, førte han også tilbake, sammen med kvinnene og folket.
GEN.14.18	 Og Melkisedek, kongen i Salem, kom ut med brød og vin. Han var prest for Gud, Den høyeste. 
GEN.14.19	Han velsignet ham og sa:
GEN.14.19	«Velsignet er Abram 
GEN.14.19	han som brakte fram 
GEN.14.20	som har gitt dine motstandere 
GEN.14.20	Så ga Abram ham tiende av alt.
GEN.14.21	Kongen i Sodoma sa til Abram: «Gi meg folkene, og ta du byttet!» 
GEN.14.22	Men Abram sa til kongen i Sodoma: «Jeg løfter hånden opp mot 
GEN.14.23	Ikke så mye som en tråd eller en sandalrem vil jeg ta av alt som er ditt. Du skal ikke kunne si: Jeg har gjort Abram rik. 
GEN.14.24	Jeg vil bare ha igjen for det de unge mennene har spist. Og de mennene som var med meg, Aner, Esjkol og Mamre, må få sin del.»
GEN.15.2	 Men Abram svarte: «Herre, min 
GEN.15.3	Og Abram sa: «Du har ikke gitt meg etterkommere. Se, en av husfolkene mine skal arve meg.» 
GEN.15.4	Da kom 
GEN.15.5	 Så førte han Abram ut og sa til ham: «Se opp mot himmelen og tell stjernene, om du kan telle dem!» Og han sa: «Så tallrik skal ætten din bli.» 
GEN.15.6	 Abram trodde 
GEN.15.8	Abram sa: «Herre, min 
GEN.15.9	 Da svarte han: «Hent meg en treårs kvige, en treårs geit og en treårs vær, en turteldue og en dueunge.» 
GEN.15.10	Abram hentet alt dette til ham, skar dyrene i to og la delene rett overfor hverandre. Men fuglene skar han ikke i to. 
GEN.15.11	Rovfugler slo ned på skrottene, men Abram drev dem tilbake.
GEN.15.12	Da solen holdt på å gå ned, falt en dyp søvn over Abram. Og se, redsel og stort mørke falt over ham. 
GEN.15.13	 Og Gud sa til Abram: «Dette skal du vite: Ætten din skal bo som innflyttere i et land som ikke er deres. De skal være slaver og bli plaget av folket der i fire hundre år. 
GEN.15.14	 Men det folket de må slave for, vil jeg også dømme, og deretter skal de dra ut med stort bytte. 
GEN.15.15	 Selv skal du gå til dine fedre i fred, du skal bli begravet i høy alder. 
GEN.15.16	 I det fjerde slektsleddet skal de vende tilbake hit. For amorittenes syndeskyld har ennå ikke fylt sitt mål.»
GEN.15.18	 Den dagen sluttet 
GEN.15.19	landet til kenittene, kenisittene og kadmonittene, 
GEN.15.20	hetittene, perisittene og refaittene, 
GEN.15.21	 amorittene, kanaaneerne, girgasjittene og jebusittene.»
GEN.16.1	Sarai, Abrams kone, fødte ham ingen barn. Men hun hadde en egyptisk slavekvinne som het Hagar. 
GEN.16.2	 Sarai sa til Abram: «Hør på meg: 
GEN.16.3	Og Abrams kone Sarai tok Hagar, den egyptiske slavekvinnen sin, og ga henne til kone for Abram, mannen sin. Abram hadde da bodd ti år i landet Kanaan. 
GEN.16.4	 Han gikk inn til Hagar, og hun ble med barn. Men da hun oppdaget at hun var med barn, så hun ned på husfruen sin. 
GEN.16.5	 Da sa Sarai til Abram: «Det er din skyld at jeg blir krenket! Jeg ga min slavekvinne i din favn, men da hun oppdaget at hun var med barn, så hun ned på meg. 
GEN.16.6	Abram sa til Sarai: «Se, slavekvinnen er i din hånd. Gjør hva du vil med henne.» Og Sarai ydmyket henne, så hun rømte fra henne.
GEN.16.8	Han sa: «Hagar, Sarais slavekvinne, hvor kommer du fra, og hvor går du hen?» Hun svarte: «Jeg rømmer fra Sarai, husfruen min.» 
GEN.16.9	Og 
GEN.16.10	 engel sa: «Stor vil jeg gjøre din ætt, så stor at den ikke kan telles.» 
GEN.16.11	 Så sa 
GEN.16.11	«Se, du er med barn
GEN.16.11	og skal føde en sønn.
GEN.16.11	Du skal gi ham navnet Ismael,
GEN.16.11	for 
GEN.16.12	Han skal bli et villesel 
GEN.16.12	Hans hånd skal være 
GEN.16.12	og alles hånd mot ham.
GEN.16.12	Rett imot alle sine slektninger
GEN.16.12	skal han slå seg ned.»
GEN.16.14	 Derfor kaller man brønnen for Lahai-Ro'i-brønnen. Den ligger mellom Kadesj og Bered.
GEN.16.15	Og Hagar fødte Abram en sønn. Og Abram ga sønnen som Hagar fødte, navnet Ismael. 
GEN.16.16	Abram var 86 år gammel da Hagar fødte ham Ismael.
GEN.17.1	«Jeg er Gud, Den veldige.
GEN.17.1	Lev for mitt ansikt,
GEN.17.1	vær hel i din ferd!
GEN.17.2	mellom meg og deg
GEN.17.2	og gjøre deg umåtelig stor.»
GEN.17.3	Da kastet Abram seg ned med ansiktet mot jorden, og Gud sa til ham:
GEN.17.4	«Se, dette er min pakt 
GEN.17.4	Du skal bli far 
GEN.17.5	men Abraham 
GEN.17.5	for jeg gjør deg til far 
GEN.17.6	Jeg vil gjøre deg svært fruktbar, ja, gjøre deg til mange folkeslag. Konger skal gå ut fra deg. 
GEN.17.7	Jeg vil opprette min pakt mellom meg og deg og etterkommerne dine fra slekt til slekt, en evig pakt: Jeg vil være Gud for deg og etterkommerne dine. 
GEN.17.8	 Landet du bor i som innflytter, hele Kanaan, vil jeg gi deg og etterkommerne dine til evig eiendom. Og jeg vil være deres Gud.»
GEN.17.9	Så sa Gud til Abraham: «Du skal holde min pakt, både du og etterkommerne dine, fra slekt til slekt. 
GEN.17.10	 Dette er pakten dere skal holde, pakten mellom meg og dere og etterkommerne dine: Alt av hankjønn hos dere skal omskjæres. 
GEN.17.11	Dere skal la forhuden bli omskåret, og det skal være tegnet på pakten mellom meg og dere. 
GEN.17.12	Hvert guttebarn hos dere skal omskjæres når det er åtte dager gammelt, i slekt etter slekt, både de som er født i huset, og de som er kjøpt for penger hos fremmede, slike som ikke er av din ætt. 
GEN.17.13	Både de som er født i ditt hus, og de du har kjøpt for penger, skal omskjæres. Slik skal min pakt være en evig pakt på kroppen deres. 
GEN.17.14	Men en uomskåret, en av hankjønn som ikke har fått forhuden omskåret, en slik skal støtes ut fra folket sitt; for han har brutt min pakt.»
GEN.17.16	Jeg vil velsigne henne og gi deg en sønn med henne også. Jeg vil velsigne henne, og hun skal bli til folkeslag. Konger over mange folk skal komme fra henne.»
GEN.17.18	Og Abraham sa til Gud: «Måtte Ismael få leve for ditt ansikt!» 
GEN.17.19	 Da sa Gud: «Sannelig, din kone Sara skal føde deg en sønn, og du skal gi ham navnet Isak. Jeg vil opprette min pakt med ham, en evig pakt for hans etterkommere. 
GEN.17.20	 Jeg har hørt din bønn for Ismael. Se, jeg vil velsigne ham og gjøre ham fruktbar og svært, svært tallrik. Tolv høvdinger skal han bli far til, og jeg vil gjøre ham til et stort folkeslag. 
GEN.17.21	 Men min pakt vil jeg opprette med Isak, som Sara skal føde deg neste år på denne tiden.» 
GEN.17.22	Så var Gud ferdig med å tale med ham, og han steg opp fra Abraham.
GEN.17.23	Og Abraham tok sin sønn Ismael og alle som var født i hans hus, og alle som han hadde kjøpt for penger, alt av hankjønn blant husfolket til Abraham, og skar av forhuden deres på den samme dagen, slik Gud hadde sagt til ham. 
GEN.17.24	Abraham var 99 år gammel da forhuden hans ble omskåret. 
GEN.17.25	Og Ismael, hans sønn, var 13 år gammel da han ble omskåret. 
GEN.17.26	Den samme dagen ble både Abraham og Ismael, hans sønn, omskåret. 
GEN.17.27	Og alle mennene i hans hus, både de som var født i huset, og de som var kjøpt hos fremmede, ble omskåret sammen med ham.
GEN.18.2	 Han så opp og fikk øye på tre menn som sto foran ham. Da han så dem, sprang han dem i møte fra teltåpningen, bøyde seg til jorden 
GEN.18.3	og sa: «Herre, dersom jeg har funnet nåde for dine øyne, så gå ikke forbi din tjener! 
GEN.18.4	La meg hente litt vann, så dere kan vaske føttene og hvile dere her under treet! 
GEN.18.5	Og la meg hente litt mat, så dere kan styrke dere før dere drar videre, siden dere nå har lagt veien forbi deres tjener.» De svarte: «Ja, gjør som du sier!»
GEN.18.7	Selv sprang Abraham bort til storfeet og hentet en fin og god kalv. Den ga han til tjenestegutten, og han skyndte seg å lage den til. 
GEN.18.8	Så tok han rømme og melk og den kalven som gutten hadde gjort i stand, og satte det fram for dem. Og han ble stående hos dem under treet mens de spiste.
GEN.18.9	Da sa de til ham: «Hvor er Sara, din kone?» Abraham svarte: «Der inne i teltet.» 
GEN.18.10	 Han sa: «Jeg kommer tilbake til deg når tiden er inne, og da skal din kone Sara ha en sønn.» Sara hørte det i teltåpningen, som var like bak ham. 
GEN.18.11	 Abraham og Sara var gamle, langt oppe i årene, og Sara hadde det ikke lenger på kvinners vis. 
GEN.18.12	 Og Sara lo med seg selv: «Skulle jeg føle lyst, utslitt som jeg er? Og herren min er også gammel.» 
GEN.18.13	Da sa 
GEN.18.14	 Er det noe som er umulig for 
GEN.18.15	Sara nektet: «Jeg lo ikke.» For hun var redd. Men han svarte: «Jo, du lo.»
GEN.18.16	Mennene brøt opp derfra og vendte blikket mot Sodoma. Abraham gikk med for å se dem vel av gårde. 
GEN.18.17	Da tenkte 
GEN.18.18	 Abraham skal jo bli et stort og mektig folk, og i ham skal alle folkeslag på jorden velsignes. 
GEN.18.19	Jeg har utvalgt ham for at han skal pålegge sine sønner og etterkommere å holde seg til 
GEN.18.20	 Og 
GEN.18.21	Klageropet har nådd meg. Nå vil jeg stige ned og se om de virkelig har handlet så ille, og hvis ikke, vil jeg vite det.»
GEN.18.22	Så gikk mennene derfra, de tok veien mot Sodoma. Men Abraham ble stående for 
GEN.18.23	Abraham gikk nærmere og sa: «Vil du virkelig rive bort de rettferdige sammen med de urettferdige? 
GEN.18.24	Kanskje finnes det femti rettferdige i byen. Vil du likevel rive dem bort? Vil du ikke bære over med stedet på grunn av de femti rettferdige som er der? 
GEN.18.25	 Det ligner ikke deg å gjøre noe slikt, å la rettferdige dø sammen med urettferdige! Skal det gå den rettferdige på samme måte som den urettferdige? Det ligner ikke deg! Må ikke hele jordens dommer gjøre det som rett er?» 
GEN.18.26	Da sa 
GEN.18.27	Til det svarte Abraham: «Se, jeg har dristet meg til å tale til Herren, jeg som er støv og aske. 
GEN.18.28	Kanskje mangler det fem på de femti rettferdige. Vil du ødelegge hele byen på grunn av disse fem?» Han svarte: «Jeg skal ikke ødelegge den hvis jeg finner førtifem der.» 
GEN.18.29	Abraham fortsatte å tale til ham: «Kanskje finnes det førti der», sa han. Han svarte: «Jeg skal ikke gjøre det for de førtis skyld.» 
GEN.18.30	Da sa Abraham: «Herren må ikke bli harm om jeg taler! Kanskje finnes det tretti der.» Han svarte: «Jeg skal ikke gjøre det hvis jeg finner tretti der.» 
GEN.18.31	Abraham sa: «Se, jeg har dristet meg til å tale til Herren. Kanskje finnes det tjue der.» Han svarte: «Jeg skal ikke ødelegge den for de tjues skyld.» 
GEN.18.32	Da sa Abraham: «Herren må ikke bli harm om jeg taler en eneste gang til! Kanskje finnes det ti der.» Han svarte: «Jeg skal ikke ødelegge den for de tis skyld.» 
GEN.18.33	Da 
GEN.19.2	og sa: «Hør, mine herrer! Ta inn i huset til deres tjener for natten. Der kan dere vaske føttene, og i morgen kan dere stå tidlig opp og dra videre.» De svarte: «Nei, vi overnatter ute på torget.» 
GEN.19.3	Men han ba dem så inntrengende at de tok inn hos ham. Og da de kom inn i huset, laget han til et festmåltid for dem. Han bakte usyret brød, og de spiste.
GEN.19.4	Men før de hadde lagt seg, kom alle mennene i Sodoma, både unge og gamle, fra alle kanter av byen og omringet huset. 
GEN.19.5	 De ropte på Lot og sa til ham: «Hvor er de mennene som kom til deg i natt? Før dem ut til oss! Vi vil ha vår vilje med dem!»
GEN.19.6	Da gikk Lot ut til dem i døråpningen, stengte døren etter seg 
GEN.19.7	og sa: «Brødre, gjør ikke en slik ugjerning! 
GEN.19.8	Hør nå! Jeg har to døtre som ikke har vært sammen med noen mann. La meg føre dem ut til dere, så kan dere gjøre med dem som dere vil. Men mot disse mennene må dere ikke gjøre noe, for de har funnet ly under mitt tak.» 
GEN.19.9	Men de ropte: «Flytt deg!» Og de sa: «Her kommer det en innflytter for å bo hos oss, og så vil han gjøre seg til dommer! Nå skal vi gjøre verre ugjerninger mot deg enn mot dem.» De trengte seg voldsomt inn på mannen Lot og holdt på å slå inn døren. 
GEN.19.10	Da strakte de to mennene ut hånden, tok Lot inn til seg i huset og stengte døren. 
GEN.19.11	 Mennene som var utenfor huset, både små og store, slo de med blindhet. De strevde forgjeves for å finne døren.
GEN.19.12	Da sa mennene til Lot: «Har du ellers noen her, en svigersønn, sønner eller døtre eller andre som tilhører deg i byen, så før dem bort herfra. 
GEN.19.13	 For nå skal vi ødelegge dette stedet. Klageropet for 
GEN.19.14	Da gikk Lot ut og snakket med svigersønnene sine, de som skulle ha døtrene hans. Han sa: «Skynd dere bort fra dette stedet! For nå vil 
GEN.19.16	Men da han nølte, tok mennene ham og hans kone og de to døtrene i hånden, for 
GEN.19.17	Da de hadde ført dem ut, sa en av mennene: «Flykt for livet! Se deg ikke tilbake, og stans ikke noe sted på sletten. Flykt til fjells så du ikke blir revet bort.» 
GEN.19.18	Men Lot svarte dem: «Å nei, herre! 
GEN.19.19	Se, din tjener har funnet nåde for dine øyne. Du har vist stor godhet mot meg og berget livet mitt. Men jeg kan ikke flykte til fjells. For da kunne ulykken ramme meg, så jeg døde. 
GEN.19.20	Se, den byen der er så nær at jeg kan flykte dit, og den er så liten. La meg få rømme dit, så jeg kan berge livet! Byen er jo så liten.» 
GEN.19.21	Da sa han til ham: «Ja, jeg gjør som du vil også når det gjelder dette. Den byen du nevner, skal jeg ikke ødelegge. 
GEN.19.22	 Skynd deg, flykt dit! For jeg kan ikke gjøre noe før du er kommet dit.» – Derfor heter byen Soar.
GEN.19.23	Da solen gikk opp over landet, kom Lot fram til Soar. 
GEN.19.24	 Da lot 
GEN.19.25	Han ødela disse byene, hele sletten, alle som bodde i byene, og alt som vokste på marken. 
GEN.19.26	 Men Lots kone så seg tilbake. Da ble hun til en saltstøtte.
