MAT.1.1	Yayto i ginikanan-na si Jesu-Kristo, i Dadi'-na si David pati' si Abraham:
MAT.6.9	pakulawon ato si kinabuhi' kami' i kasagradu-na si arun-mo,
MAT.6.10	dalumin kami' nga kinakulawan i paghadi'-mo ato,
MAT.6.10	tumanon si kami' i katuyu'an-mo ato si kalibutan
MAT.6.10	pariho si pagtuman-mo may si mga sari'i si langit.
MAT.6.11	Buwanin kami' si karakanon kami' nga tama' si ina'anto allaw.
MAT.6.12	Pasayluhon kami' si mga sala' kami',
MAT.6.12	sigon si pagpasaylo kami' may si dimu'an makasala' si kami',
MAT.6.13	ngan patuttuton kami' nga ga'i kami' agsala' kon nagtintar kami',
MAT.6.13	ngan patalahon kami' si aniya' mara'at katuyu'an-na.
MAT.6.14	“Kay basta agpasaylo kam si la'in nga akasala' si ka'am, pasaylu-na may kam liwat si Tatay-bi si langit. 
MAT.6.15	Pero kon ga'i kam agpasaylo si sala'-na si la'in, ga'i may liwat pasaylu-na si Tatay-bi i mga sala'-bi.
MAT.6.16	“Ngan kon agpu'asa kam, dakam angirog si mga a'a nga mahalap agparapamakunu-kuno nga mga rilihuso pina'agi si pagpaklaro nga masurub'on i mga bayhun-na huwang i pag'anna' agbon si mga takuluk-na, basi' kinatu'anan si mga a'a nga agpamu'asa mga iya. Sumatan-ta kam si kamatu'uran, sakarawat-na na mga iya i bug'os bulos nga nagpanhingyap-na. 
MAT.6.17	Lugod kon agpu'asa kam, agpanhupa kam ngan anguram'usa kam, 
MAT.6.18	basi' ga'i kinaklaruhan si mga a'a nga agpu'asa kam, kundi' i Tatay-bi nga ga'i kinakulawan iya hamok i makatu'anan sinan. Sanglit i Tatay-bi liwat i mamuwan si ka'am primyo, kay iya i makasayod si sikrito nagbuhat-bi.
MAT.6.19	“Dakam agparatipon para si mga kalugaringun-bi manggad ato si kalibutan nga nagbaruki' o ma'in ngani' nagtakla' ngan pwidi liwat sarangka-na si mga mannangkaw i mga nag'anna'an-bi. 
MAT.6.20	Lugod, agtipuna kam para si mga kalugaringun-bi manggad nan nga awiray si langit nga ga'i nagbaruki', ga'i nagtakla' ngan ga'i liwat pwidi sarangka-na si mga mannangkaw i nag'anna'an. 
MAT.6.21	Buhatu-bi nan kay maski singnga kina'anda'an i kayamanan-bi, awiray may liwat ari i kabaraw-bi. 
MAT.6.22	I mga mata-bi akapariho si lampara anan si puhu'-bi. Kon mahalap i mata-bi, panno' may si danta' i bug'os puhu'-bi. 
MAT.6.23	Pero kon mara'at to, bali may liwat lu'om i puhu'-bi. Sanglit kon malu'om i danta' anan si puhu'-bi, day ay i kalu'um-na sinan!
MAT.6.24	“Gana' ato makasirbi duwangan amo kay sigurado nga addangan hamok sinan i naghigugma'-na ngan addangan may i nagsikway-na. Ma'in ngani', unungan-na i kaduwangan ngan sikway-na i primiro. Gana' si ka'am makapadungan pagsirbi si Diyos pati' si manggad.
MAT.6.25	“Sanglit sumatan-ta kam, dakam abaraka mahi'unong si pagpanginabuhi'-bi kon ay i karakanun-bi pati' irinumun-bi o bisan mahi'unong si mga puhu'-bi kon ay i mga papabadu'un-bi. Ma'in hamok parti si pagkakan i kinabuhi' ngan ma'in hamok parti si pamado' i puho'. 
MAT.6.26	Kulawi-bi daw i mga manuk-manok nga agparapanlayug-layog; ga'i mga iya agsaburak ngan ga'i ag'ani o agparapangangkot pan kamalig, pero agtubungan-na mga iya si Tatay-bi ari si langit. Mas mahaya i balur-bi kuntra si kamanuk-manukan! 
MAT.6.27	Say si ka'am i makapalanga bisan adda hamok uras si kinabuhi'-na
MAT.6.28	“Dakam liwat abaraka si pagpanaptun-bi. Kulawi-bi daw i ka'angayan-na si mga lalag burak. Ga'i mga iya agballi ngan ga'i aghimo. 
MAT.6.29	Kundi' sumatan-ta kam, bisan si bug'os kayamanan-na si Hadi' Solomon gana' sapasul'ut-na pariho kahalap si adda sinan mga burak. 
MAT.6.30	Agpamanaptunan-na ngani' mahalap si Diyos i mga gabon si katahuk-tahukan, nga allom ina'anto pero papabar'ugon asumo, ka'am pa ba' i ga'i pinanaptunan-na mahalap? Kulang pa kam si pagtapod! 
MAT.6.31	Sanglit dakam agparapaminugad, ‘Ay daw sito i karakanun-ta?’ ‘Ay daw sito i irimnun-ta?’ pati' ‘Ay daw sito i pagpanaptun-ta?’ 
MAT.6.32	Iyay nan i mga kahuruwangan-na si dimu'an nagparapanhingyap-na si mga ga'i magpanutu'o Diyos ngan sakatu'anan-na na si langitnon Tatay-bi i nagkinahanglanan-bi sinan. 
MAT.6.33	Lugod padahulu'u-bi i pag'anda' si pa'agi nga agpakasakop kam si mga nagpanhadi'an-na si Diyos hasta i pagkamatadung-na, ngan pinumwan may liwat nan dimu'an mga inanna' si ka'am. 
MAT.6.34	Sanglit dakam agkabarakahi-bi i asumo kay katungdanan-na si manunod allaw pagpanginano si kalugaringun-na. I kasibutan-na si kada allaw, tama' hamok nga sa'agwanta-na si a'a para sinan allaw.”
MAT.7.1	Agpadayon si Jesus si pagturu'-na, “Dakam aghusgar, basi' ga'i may kam husgaran-na si Diyos. 
MAT.7.2	Kay bisan ay i nagpahusgar-bi si la'in, iya may i nagpahusgar-na si ka'am. Ngan bisan ay i nagsukulan-bi, iya may i surukulan pagpabalik si ka'am.
MAT.7.3	“Ay kay sakulawan-mo lugod i day panarutsuhan nga makabuta si igkasi a'a-mo, pero ga'i sapanginanu-mo i day gip'at nga makasalingkop si kalugaringun-mo mata? 
MAT.7.4	Pinapa'i-mo may pakapinugad si igkasi-mo, ‘Ala'an-ta kaw si makabutay nan si ka'aw,’ nga aniya' may makasalingkop si kalugaringun-mo mata? 
MAT.7.5	Mahalap kaw gayod agsilhig si hawan-na si la'in! Ala'on dahulo i makasalingkop si mata-mo, ngan kahuman sinan saklaru-mo na ngan sa'ala'-mo i makabuta si igkasi-mo.
MAT.7.6	“Ma'in angay si pirlas nga nagpa'itsa hamok si mga kabaktinan kay sigurado nga panurutum'akan-nay nan hamok. Si pariho pa'agi, aniya' mga sagrado nga ma'in angay nagpatubong si ka'idu'an, kay si pakatibus-na sinan bangin ka'am na i inatubang-na ngan pamang'alan-na.
MAT.7.7	“Amalakuha kam basi' binuwanan kam. Mamuraw-purawa kam basi' aniya' sa'anda'an-bi. Aman'uha kam basi' pinadayon kam. 
MAT.7.8	Buhatu-bi nan kay bisan say i mamalako akabuwanan, ngan bisan say i mamuraw-puraw aka'anda', ngan bisan say i maman'o agpakadayon.
MAT.7.9	“Ay kaw klasiha a'a nga kon amalako pan i dadi'-mo, buwanan-mo dina bato? 
MAT.7.10	O ma'in ngani', kon amalako iya daying, buwanan-mo dina sawa? 
MAT.7.11	Pa'anna'-ta si ka'am may, bisan kon mga mara'at i kina'iya-bi dimu'an, agbuwan kam mga mahalap rigalo si mga dadi'-bi. Iya pa ba' i Tatay-bi ari si langit i ga'i mamuwan si mga mahalap si magpamalako sinan si iya! 
MAT.7.12	Sanglit bisan ay i naghingyap-bi binuhat-na si la'in para si ka'am, buhatu-bi nan, kay yaynan i katumanan-na si Bala'od pati' si Nagpanurat-na si mga Paragsumat.
MAT.7.13	“Aniya' duwa pwirtahan panggawas: I adda masi'ok ngan i adda may mahaway. Malabbat i magpili' si mahaway nan kay si panlahus-na mga iya, masayon na i paglalangngan-na, bisan kon aka'abat mga iya nga iyay nan dina i magpatuttot si mga iya si kamatayon nga bulag si Diyos. 
MAT.7.14	Lugod pili'u-bi i masi'ok bisan kon makuri i paglalangngan-bi ngan diki'it hamok i kahuruwangan-bi, kay iyay nan i lalan pada'iray si ungod kinabuhi'.
MAT.7.15	“Agbantaya kam si mga burubullo' paragsumat-na si Diyos. Pamadugok nan si ka'am nga day mga karniro i mga kiwa-na, pero i ungod gayod mga kina'iya-na mga iya akapariho si mga ma'isog hayop. 
MAT.7.16	Sakilala-bi nan mga iya pina'agi si mga panggawi'-gawi'-na. Gana' ato magpangko' ubas nga tikang dina si pu'un-na si tangulon o ma'in ngani' i prutas igos nga tikang dina si pu'un-na si sapinit. 
MAT.7.17	Pariho si kamutangan-na si kayo, basta marabong i pu'on, sigurado nga mahalap may sinan i binuwa'-na, pero kon bigik i pu'on, sigurado nga mara'at may liwat sinan i binuwa'-na. 
MAT.7.18	I marabong pu'on impusibli nga mara'at i binuwa'-na, ngan mahalap dina i binuwa'-na si bigik pu'on. 
MAT.7.19	I kada pu'on si kayo nga ga'i agbuwa' mahalap, tinabbong ngan pinabar'og. 
MAT.7.20	Sanglit pina'agi si mga buwa'-na i pagkilala si mga iya.
MAT.7.21	“Ma'in i dimu'an magparaban'o si ako, ‘Paragdalum-ta kaw, Paragdalum-ta kaw,’ nga kwintado na si nagpanhadi'an-na si man langit, kundi' i mga kwintado hamok iya i magtuman si katuyu'an-na si Tatay-ko nga awiray si langit. 
MAT.7.22	Kon anakka na i allaw si paghusgar, malabbat i maminugad si ako, ‘Paragdalom, Paragdalom, ma'in ba' agpahalling kami' i makigpasumat-mo pina'agi si gahum-na si arun-mo, ngan agpakapapinda kami' si mga mara'at espirito mismo liwat sinan aron, hasta pa agpakahimo kami' si mga makagagahom binuhatan?’ 
MAT.7.23	Pero diritsu-ko mga iya agsaruman, ‘Ga'i kam sakilala-ko. Patalaha kam si ako kay puro kam paragbuhat si karat'an!’
MAT.7.24	“Kon sugad, i makapamati' si mga allingun-ko pati' magtuman sito si kinabuhi'-na, akapariho si madunong a'a magtindog ruma' si dyata'-na si bato. 
MAT.7.25	Si panguran-na makusog, paluwa' i mahaya baha' ngan sakub-na payray ruma' si makusog bariyo pero ga'i to arungkab, kay takka si bato i pundasyun-na.
MAT.7.26	“Kundi' i makapamati' si mga allingun-ko pero ga'i to atuman si kinabuhi'-na, akapariho si ma'in madunong a'a magtindog ruma' si dyata'-na si baybay. 
MAT.7.27	Si panguran-na makusog, paluwa' i mahaya baha' ngan sakub-na payray ruma' si makusog bariyo ngan diritsoy to arungkab hasta nga ga'i gayod nag'arim-ariman i bug'os ruma'!”
MAT.7.28	Pakahuman-na si Jesus agpahalling sinan dimu'an, ag'usa i magpanggubok, 
MAT.7.29	kay si pagturu'-na, akapariho iya si addangan nga aniya' pwirsa-na si mga allingun-na pagpasunod, ma'in pariho si mga paragturu'-na mga iya bala'od.
MAT.8.1	Ngan pamadalugdug-na kas Jesus tikang si tagudtod, nagburungyuran iya si ka'aha'an. 
MAT.8.2	Aniya' liprusuhon padugok si iya ngan anluhod atubang si iya. Aminugad to, “Sinyor, sapahalap-mo gad ako, kon aruyag kaw.”
MAT.8.3	Agdu'unan-na si palat-na si Jesus i lalla ngan aminugad, “Oho' gad, buhat-koy nan. Anhalapa!” A'ala' dayon i liprusu-na ngan anlimpyo iya. 
MAT.8.4	Mangno agtugunan-na iya si Jesus, “Agmatuha nga ga'i kaw akasumat si la'in a'a parti sito, pero pada'iraya si paraghalad ngan pakulawon si iya i puhu'-mo. Tighalara ari si nagmandu'-na si Moises para si manhalap basi' kinatu'anan nga nagparatuman pa i Bala'od.”
MAT.8.5	Ngan pasallud-na si Jesus si syudad Capernaum, aniya' padugok si iya addangan sinturyon
MAT.8.6	Aminugad to, “Sinyor, awiray agparalibbak si ruma' i rilihugun-ko. Adda iya irapa ngan bali na i inantus-na kasakitan.”
MAT.8.7	Agpinugad-na iya si Jesus, “Hala kay pada'iray ako ngan pahalap-ko iya.” 
MAT.8.8	Anaruman may i sinturyon, “Sinyor, pero ma'in ako angay pagpadagos si ka'aw si ruma'-ko. Kundi' amusngala hamok kay sigurado anhalap i rilihugun-ko. 
MAT.8.9	Da'inan sinan i pagtu'u-ko kay adda may liwat hamok ako rilihugon nga ata'o pagsunod si mga malanga katungdanan-na, ngan aniya' may liwat mga sundalu-ko nga salihug-ko. Aminugad ngani' ako si addangan, ‘Pada'iraya,’ diritsoy to dayon pa'amban. Si addangan ray namay, ‘Tuwa,’ sigurado padugok to si ako. Aminugad ngani' ako si rilihugun-ko, ‘Trabahu'on to,’ diritsoy to dayon trabahu-na.”
MAT.8.10	Pakabati'-na sinan si Jesus, ag'usa-nay nan gayod ngan agpinugad-na i mga a'a magpamungyod si iya, “Sumatan-ta kam, ga'i pa ako aka'anda' a'a nga da'inan kahaya i pagtutu'u-na ato si bug'os Israel. 
MAT.8.11	Pinugad-ta kam nga malabbat i pamadugok tikang si sirangan pati' si katundan ngan pamasintar agtingkulo' huwang si kas Abraham, Isaac pati' si Jacob si pakan nagtima para si nagpanhadi'an-na si man langit. 
MAT.8.12	Pero i mga ginsakupan-na gayod kunta' sinan ginhadi'an, tarabrugon dina pan gawas, si lugar nga bali lu'om kon singnga agparapangaraba ngan agparapanrigot mga iya.”
MAT.8.13	Mangno agpinugad-na si Jesus i sinturyon, “Agbalika na ari! Turumanon na i nagsiguru-mo nga sabuhat-ko.” Ngan mismo siray uras, anhalap i rilihugun-na.
MAT.8.14	Si pamanahik-na si Jesus si ruma'-na kas Pedro, sakulawan-na i ugangan-na danda sito nga agparalibbak tungod kay mapanas iya. 
MAT.8.15	Ag'antanan-nay to si tamburo' ngan a'ala' i panas-na. Mangno manginanoy to dayon pagkiwa para si iya.
MAT.8.16	Kasanguman, malabbat mga a'a i nagbawa pada'iray si Jesus nga nagpamawa-bawa si mara'at espirito ngan agpamapinda-nay nan mga espirito pina'agi si allingun-na. Agpamahalap-na liwat i dimu'an mga maburong. 
MAT.8.17	Ahinabo' nan basi' atuman i allingun-na si paragsumat Isaias:
MAT.8.17	Iya i mag'antos si mga mara'at alabatan-ta kam
MAT.8.17	ngan iya i mag'ako' si mga binati'-ta kam.
MAT.8.18	Si pakakulaw-na si Jesus si magpanggubok si iya, anmandar iya nga patalabok mga iya pan dambila'-na si danaw. 
MAT.8.19	Dungan sinan, aniya' si iya padugok addangan paragturo' bala'od ngan aminugad, “Ma'istro, amungyod ako si ka'aw bisan singnga kaw pa'arop.”
MAT.8.20	Anaruman si Jesus, “Mahalap pa i mga singgarong kay aniya' mga panluluku'an-na, pati' i mga kamanuk-manukan kay aniya' pannanapunan-na, pero i Pinili' A'a, gana' ngani' lugod panlilibbakan-na nga akadiskanso iya.”
MAT.8.21	Mangno aniya' namay addangan si mga inadalan-na i maminugad si iya, “Sinyor, tugutin ako dahulo pagbalik hasta si pakamatay-na si tatay-ko.”
MAT.8.22	Pero agpinugad-na dina iya si Jesus, “Amaya'a ngan agsunura si ako. Pata'anin na hamok nga i mga minatay i mamalabbong si mga minatay-na.”
MAT.8.23	Si pasang'at-na si Jesus si paraw, anunod si iya i mga inadalan-na. 
MAT.8.24	Kata'ud-ta'uran, hintak anmadlos i danaw nga haros akatambunan i paraw si mga mahaya alon. Pero mahalap dina i pamaturi-na si Jesus. 
MAT.8.25	Sanglit nagdugok iya si mga inadalan-na ngan nagpukaw, “Sinyor, salbaron kami'! Matutulluron na kita kam!”
MAT.8.26	Anaruman may iya, “Kulang pa kam si pagtapod. Ay kay agkataralaw kam?” Mangno pabangon iya ngan agpugungan-na i bariyo pati' i mga alon, ngan hintak anlinaw.
MAT.8.27	Ag'usa mga iya ngan agsipurupatilaway, “Ay ba' to aha'a? Bisan i bariyo pati' i mga alon agpansunod si iya!”
MAT.8.28	Panakka-na mga iya si dambila', ari si lugar-na si mga Gadareno,
MAT.8.29	Anurakaw mga iya, “Ay i tuyu'-mo si kami', Dadi'-na si Diyos? Pad'ito ba' kaw pagpasakit si kami' myintras anakka si tala'an allaw?”
MAT.8.30	Aniya' magtarambak kabaktinan matapit si mga iya nga sigi pamu'ad. 
MAT.8.31	Agparapakimalu'oy i mga mara'at espirito si Jesus, “Kon papinda-mo kami', pabawahon kami' pada'iray si kabaktinan ray.”
MAT.8.32	Agpaminugad-na mga iya, “Hala pada'iraya na kam!” Sanglit pamaguwa' i mga mara'at espirito ngan diritso pamabalyo si kabaktinan. Mangno palahi i bug'os grupo pada'iray si pangpang diritso si buwahi' ngan agkamaratay. 
MAT.8.33	Pamalahi i magpangataman si kabaktinan pan syudad ngan agpamasamwak-nay nan dayon mga iya huwang na i dimu'an mahinabo' si mga nagpamawa-bawa si mara'at espirito. 
MAT.8.34	Sanglit agpamada'iray si Jesus i a'a-na si bug'os syudad pagbagat si iya. Si pakabagat-na mga iya sito, sigi mga iya pamakimalu'oy nga kon pwidi pa'amban iya si mga lugar-na.
MAT.9.1	Amanakay kas Jesus si paraw ngan pamatalabok gihapon si danaw hasta nga anakka mga iya si kalugaringun-na syudad. 
MAT.9.2	Mangno aniya' magpanakka nga agpamawa irapa pada'iray si iya nga naghulid si tipo. Ngan pakakulaw-na si Jesus si pagtapud-na sinan mga a'a, agpinugad-na i irapa, “No', pabaskugon i huna'-huna'-mo. Nagpasaylo na i mga sala'-mo.”
MAT.9.3	Tungod sinan, sigi panngurub-ngurob i mga paragturo' bala'od nga magtambong ari, “Aglalabawan-na sito a'a i Diyos.”
MAT.9.4	Akatu'anan si Jesus si mga inisipan-na, sanglit amatilaw iya, “Ay kay da'inan sinan i inisipan-bi? 
MAT.9.5	Singnga sito i masayon: I pagpinugad, ‘Nagpasaylo na i mga sala'-mo’ o i pagpinugad, ‘Anungguha ngan alangngana’? 
MAT.9.6	Pero, basi' sakatu'anan-bi nga i Pinili' A'a aniya' gahum-na ato si kalibutan pagpasaylo si mga sala', palangngan-koy to irapa.” Mangno agpinugad-na i irapa, “Anungguha, addu'on naglibbakan-moy nan ngan agbalika.” 
MAT.9.7	Anunggo iya ngan aglugaring pagbalik. 
MAT.9.8	Pakakulaw-na sinan si magpanggubok, agpakadayaw mga iya si Diyos bawa i mahaya pagtahod si iya tungod si pagbuwan-na si a'a si da'inan klasi gahom.
MAT.9.9	Si paduwa'i-na gihapon si Jesus tikang si nag'istaran-na, samasiran-na namay si Mateo nga agparatingkulo' si pwistu-na si pannunukutan-na buhis. Agpinugad-na iya si Jesus, “Amaya'a ngan agsunura si ako.” Anunggo si Mateo ngan amaya' si iya.
MAT.9.10	Mangno aniya' allaw nga ari kas Jesus si ruma'-na kas Mateo. Malabbat i pamadugok mga paragsukot buhis
MAT.9.11	Pakakulaw-na sinan si pamalabay mga Parisiyo, agtilaw-na mga iya i mga inadalan-na si Jesus, “Ay kay makihuwang ma'istru-bi nan pagkakan si mga paragsukot nan buhis pati' si mga makasasala' nan?” 
MAT.9.12	Ngan pakatu'an-na si Jesus sinan, mismo iya i manaruman, “Ma'in i mga mahalap a'a i magpanginahanglan duktor, kundi' i mga maburong dina. 
MAT.9.13	Pero agpamalika kam ngan manginsayura kam dahulo si mga allingun-na si Diyos nga maka'anna' si Kasuratan: ‘Gana' kapulsanan-na si ako i pagkarilihusu-bi pariho si pagbuno' mga panhahalad kon ga'i dahulo sakulawan-ko i pagkamaluluy'un-bi.’
MAT.9.14	Siray, aniya' mga nagpili' allaw si pagpu'asa basi' gana' la'in kinapinsaran pwira hamok si Diyos. Sanglit aniya' pamadugok mga inadalan-na si Juan ngan agpamatilaw si iya, “Ay kay ga'i agsunod i mga inadalan-mo si kabatasanan pagpu'asa pariho si mga nagbuhat kami' pati' si mga Parisiyo?”
MAT.9.15	Anaruman si Jesus, “Ga'i may gad ahimo nga abido' dina i mga imbitadu-na si kinasal lalla kon awinan pa iya. Pero ma'in na pira arala'on na i makapariho si kinasal lalla, ngan sinan uras, iya na dina i pagpu'asa-na si mga inadalan-ko.”
MAT.9.16	Agsumatan-na liwat mga iya sito isturya nga agtukoy si kamatu'uran: “Gana' magpatangbil si baha'o hiniro si adda kada'an na bado'. Kay kon da'ito sito i pagtangbil-mo, gisi'-na gihapon i badu'-mo si nagpatangbil-mo. Mas mara'at to kagisi'an kuntra si dahulo.”
MAT.9.17	Agsumatan-na mga iya si adday to pa: “Gana' magpa'isi si baha'o irimnon si kada'an na anit pangngingisihan, kay amura' to kon pa'isi-mo, mangno aburhat i pangngingisihan ngan atumpa i irimnon. Ma'in da'inan sinan. Kunta', i baha'o irimnon, pina'isi may si baha'o pangngingisihan, basi' gana' mapirdi si duwa.”
MAT.9.18	Si pagparapahalling-na si Jesus, aniya' manakka puno' nga paluhod dayon atubang si iya ngan makimalu'oy, “Pakamatay-na pa hamok si dadi'-ko danda ina'anto. Pero alayon baya'on ako ngan du'unin iya si palat-mo basi' anlanga pa i kinabuhi'-na.” 
MAT.9.19	Patunggo si Jesus hasta i mga inadalan-na ngan amaya' si iya.
MAT.9.20	Siray uras, aniya' danda ari nga agparalalaha' dusi na ta'on. Patapit iya si damurihan-na ngan agsaphid-na i sidsid-na si badu'-na si Jesus, 
MAT.9.21	kay aka'anna' si huna'-huna'-na si danda, “Kon sasaphid-ko bisan hamok i badu'-na, sigurado anhalap ako.”
MAT.9.22	Anili' si Jesus ngan sakulawan-na i danda. Aminugad iya, “Mana, pabaskugon i huna'-huna'-mo. I pagtutu'u-mo, iya i makapahalap si ka'aw.” Ngan mismo siray uras, anhalap dayon i danda.
MAT.9.23	Ngan panakka-na na si Jesus si ruma'-na si puno', sakulawan-na i mga musikiro si paglabbong pati' i kasamukan-na si magpanggubok. 
MAT.9.24	Animol si Jesus, “Pagawasa kam anan. Ma'in pa iya gayod i kamatayun-na si dadi'. Yayto kamatayon, pariho hamok si magpaturi.” Pero nagpattawahan dina si Jesus si mga a'a.
MAT.9.25	Kahuman si pakapagawas si mga a'a, pasallod iya pan kwarto. Agbikyaw-na i tamburu'-na si dadi' ngan diritsoy to pabangon. 
MAT.9.26	Agsamwak dayon i sumat mahi'unong sinan si dimu'an parti ari siray lugar.
MAT.9.27	Si pagparalalangngan-na si Jesus tikang ari siray lugar, aniya' duwangan buta lalla nga agpamungyod si iya ngan sigi panurakaw, “Dadi'-na si David, kalu'uyin kami'!”
MAT.9.28	Ngan pamanahik-na si Jesus si adda ruma', padugok i duwangan buta si iya ngan agtilaw-na, “Anutu'o ba' kam nga sahimu-koy to?”
MAT.9.28	Anaruman may mga iya, “Oho', Sinyor.”
MAT.9.29	Katapos, addu'-na si Jesus i mga mata-na si duwangan ngan aminugad, “Sigon si pagtapud-bi, iya i mabuhat si ka'am.” 
MAT.9.30	Akakulaw dayon mga iya pariho si dati. Agtugunan-na gayod mga iya si Jesus, “Aghinaya kam nga ga'i kam akasumat si bisan say mahi'unong sito.” 
MAT.9.31	Pero pamagawas dina mga iya ngan agpanumat-na i hinabo' mahi'unong si Jesus si dimu'an parti ari siray lugar.
MAT.9.32	Si paduwa'i-na si duwangan, aniya' manakka mga a'a magpamawa pada'iray si Jesus ngula lalla nga nagbawa-bawa si mara'at espirito. 
MAT.9.33	Ngan pakapapinda si mara'at espirito, akayawit dayon i ngula. Ag'usa i magpanggubok ngan agpaminugad, “Gana' pa kinakulawan pariho sito ato si Israel tikang pa si tinikangan.”
MAT.9.34	Pero agpaminugad dina i mga Parisiyo, “Akapapinda iya si mga mara'at espirito pina'agi si gahum-na si prinsipi-na si dimu'an mara'at espirito.”
MAT.9.35	Mangno aglibot si Jesus si dimu'an mga kaburubungtuhan pati' mga kaburubaryuhan ngan agparaturo' si mga sinaguga. Agparapasamwak-na i mahalap sumat kon pinapa'i i a'a akasakop si nagpanhadi'an-na si man langit ngan sigi pamulong si mga a'a nga mga binati'on pati' mga maburong. 
MAT.9.36	Bisan singnga iya akakulaw magpantarambak, alu'oy gayod iya kay panno' mga iya si mga kabaraka ngan mga disgustado. Day pariho mga iya si mga karniro nga gana' mangngataman. 
