MAT.1.1	Annayan mansùsùnufan na nginkanà an Jesu Cristu wi kanà David wi kanà ako Abraham.
MAT.6.30	Siyan nu amaschin oyyoon Apudyus wi mangipafaru ta fokaw wi sin-aitan yakan awachancha, maryawchà fikat ad maskobcha, sinchumallun somsomòna ta mipangkop ta iluputyuy taku! Kurang na pammatiyu!
MAT.6.31	“Siyan achiayu machanakan ta mipangkop ta masapuryu wi ifiyagyu wi isun na maan ya mainum ya luputyu, 
MAT.6.32	tan amaschin som-osom-on na takuy foon pù mamati. Ngim chiayu, akammun na Amayud langit wi masapuryu losan na amaschi. 
MAT.6.33	Siyan na som-osom-onyu kuma, mipangkop ta Manturayan Apudyus ya mangwaanyu ta piona. Tan nu amaschin patpatkanyu, nangamung à siyay mammammò ta losani masapuryu.
MAT.6.34	“Siyan achiayu machanakan mipangkop ta mapasamak à fikat, tan para kò fikat na màwaan na anchanaya. Tan tayuko chogchog-an na likatyu ta sana ta likatyù fikat?”
MAT.7.1	Ad inturuy Jesus wi mantudtuchu, anana, “Achiyu pafasuron na uchum ta achin pu ko Apudyus pafasuron chiayu. 
MAT.7.2	Tan na oyyoonyu ta uchum, siya kon oyyoon Apudyus an chiayu. Siyan na losani oyyoonyu ta asintatakuyu, sachi kon oyyoon Apudyus an chiayu. 
MAT.7.3	Na miyalikana, isù narawag na mangil-anyu ta aiti mukat ta atan na furunyu, ngim foon pù mailasinyun nipapaktar wi mukatyu! 
MAT.7.4	Mafalin aya wi anami, ‘Choo ta aanò na aiti mukatnu,’ ad annan nipapaktar wi mukatyu? 
MAT.7.5	Mamàpail-on-ayu! Siyan masapur unaonyu aanon na nipapaktar wi mukat ta atayu ta lumawag na mangil-anyu wi mangaan ta aiti mukat na furunyu.
MAT.7.6	“Achiyu ipapilit itudtuchun ukud Apudyus ta takuy kattoi lawingonchay mangngor. Na miyalikana, achiyu adchon na kanginaan ta asu, tan uray nu adchonyun siya, obfan chiayu ko kay, ya achiyu ko adchon na napatog wi fongar ta forò, tan iwalischa ad chinamchampitcha.
MAT.7.7	“Nu awad masapuryu, chawatonyun Apudyus ad adchonan chiayu. Nu anaanaponyun pionyuy anapon, ochasanyu. Ad nu kongkongonyun liwangan, maib-at an chiayu. 
MAT.7.8	Tan losani manchawat an Apudyus, maatod na chawatona, ad na manganap ta pionay anapon, ochasana, ya maib-at na liwangan ta sinumani mangkongkong. 
MAT.7.9	Somsom-onyun annaya: uray à chiayuy aamma, nu manchawat na anàyù maan, adchanyù fatu? 
MAT.7.10	Ad nu manchawat à filis, adchanyù urog? 
MAT.7.11	Siyan chiayuy managfasur, nu akammuyuy mangatod à mamfaru ta anàyu, sin-umisag na oyyoon Amayud langit wi mangatod ta mamfaru ta sinumani manchawat an siya.
MAT.7.12	“Na sinumani pionyuy oyyoon kuman takun chiayu, siya kuman oyyoonyun chicha, tan sachin puntus na losani Lintog Moses ya intudtuchun chachi profetas ta awi.
MAT.7.13	“Mangoy-ayu ta nalipiti liwangan, tan na mawwar-angi liwangan, manturung ad infierno, ad kapu ta narakan sachi charan, achun mangoy. 
MAT.7.14	Ngim kapu ta nalipit na liwangan wi maoy ad langit ya nalikat akon charan, siyan ait na mangoy.
MAT.7.15	“An-annachanyun chachi sinanprofetas wi takuy mangwanani ukud anu Apudyus na itudtuchucha, ngim foon pun. Isuchà naanusi taku, ngim na katuttuwaan, yam-anonchan pammatiyu. 
MAT.7.16	Mailasincha tan na oy-oyyooncha siyan mangifaka ta kinatatakucha, wi na miyalikancha, foon pù mafalini ifungan na tarurung na atunor! Ya foon pu kò mafalini ifungan na tabfog na akit! 
MAT.7.17	Ad na osa, na mamfaruy imong, mamfaru kon ifungana, ngim na lawingi imong, lawing akon ifungana. 
MAT.7.18	Tan maid mamfarù ifungan na lawing, ya maid ako lawing à ifungan na mamfaru. 
MAT.7.19	Ad na imongi achi pu mamkas à mamfaru, masipur ad maskob. 
MAT.7.20	Siyan na mangilasinanyu ta sinanprofeta, na oy-oyyooncha.”
MAT.7.21	Ad inturuy Jesus wi mantudtuchu, anana, “Foon pù losani maaapu an saon lumnò ta Manturayan Apudyus, tan afus na chachi mangwa ta pion Ama ad langit. 
MAT.7.22	Siyan nu chumtong na padchay manguisan Apudyus ta taku, achun umalin saon mampangpangngaasi anani, ‘Apu, Apu, parnoon chiani! Tan mipakapu ta karobfongam, intudtuchunin mipangkop an Apudyus, ad imparyawnin achuy farfaray na nakafarfaray, ya nangwaani kò achù kaskaschaaw!’ 
MAT.7.23	Ngim na isongfat-un chicha, ‘Mantulituliayu! Maid akammù an chiayu. Lumayaw-ayu!’
MAT.7.24	“Sinumani mangngor ta annay ifagfakà ya oyyoona, miyalig ta nararami taku wi fatun nangisaachana ta foroyna. 
MAT.7.25	Ad uray nu ummuchauchan pun ya nanurun na chawwang ya fummalifali, achi pu nikur-ub na foroyna tan mampagchot na nisaachana.
MAT.7.26	“Ngim na takuy mangngor ta ifagfakà ya achina pu oyyoon, miyalig ta natingtingangani taku wi insaadnan foroyna ta lagrakan. 
MAT.7.27	Ad ummuchauchan pun ya nanurun na chawwang ya fummalifali, nikur-ub na sachi foroy ad naamin niwànag!”
MAT.7.28	Narpas pun Jesus imfakan anchanaya losan, naschaaw chachi takuy naarus ta pinagtudtuchuna, 
MAT.7.29	tan foon pù isun na pinagtudtuchun chachi mangitudtuchu ta Lintog, tan maila wi annan karobfonganay mantudtuchu.
MAT.8.1	Nan-osog pù Jesus ta takudtud wi nantudtuchuwana, ad-adchuwan na takuy naarus nitun-ud an siya. 
MAT.8.2	Ad na sachi, iningkaw na osay larai wi nakollakong na long-agna, wi ummoy an Jesus nampalintumong ta sangwananna, wi anana, “Apu, patiyò wi annan karobfongami mangaan ta annayay sakit-u, siyan nu kaasiyanà, paimfakonà.”
MAT.8.3	Sachi ad inyaragwad Jesus na imanan siya, ad anana, “Oo, kaasiyà sia. Maaan na sakitnu!” Ad naanimfag à siya. 
MAT.8.4	Ad finilin Jesus à siya wi anana, “Achim ug-ugkuchon ta sinuman, ngim ing-a mampaila ta pachi, ad manchatun-a tan sachin illintog Moses à manuttuwaan na taku wi naaan na amaschi wi sakit.”
MAT.8.5	Narpas pun na sachi, ummoy à Jesus ad Capernaum, ad na sumungachana ta sachi ili inafot na osay kapitan na surchachu wi iRoma an Jesus wi nampangpangngaasi, wi anana, 
MAT.8.6	“Apu, nasakit na sanilù. Awad ad foroy wi amod na sakitna wi achi pu makaisi, tan akin-ottoyon.”
MAT.8.7	Ad anan Jesus, “Umalì paimfakon à siya.”
MAT.8.8	Ngim anan na kapitan, “Apu, mafainà wi mammangilin sia. Umanay yakan ukudnù mampaimfag ta sanilù. 
MAT.8.9	Tan maawatà na mipangkop ta karobfongan, tan uray saoni kapitan, masapur patiyò na ifakan na apù. Ad na susurchachuy iturayà, patiyoncha kon ifakà, tan nu ifakà ta osa, ‘Ing-a!’ umoy, ad nu ifakà ta osa, ‘Umalia!’ umali ko. Ad nu ifakà ako ta sanilù, ‘Oyyoom na sanat!’ oyyoona ko! Ad sinchumalluy màwan ifakam tan annan karobfongam.”
MAT.8.10	Naschaaw à Jesus ta nangngorana ta imfakana, ad anana ta takuy umun-un-unud an siya, “Tuttuwan ifakà an chiayu, wi maid pu inchasà à isun na impappatin na anna ta losani chokatauy kanà Israel. 
MAT.8.11	Tuttuwan ifakà an chiayu, wi ad-adchuwan na foon pù Judio wi marpu ta arutaruta wi umoy makaragsak ancha Abraham, Isaac ya Jacob ta Manturayan Apudyus ad langit. 
MAT.8.12	Ngim chachi Judio wi piniliyan Apudyus wi mitapi kuma ta Manturayana, kaachuwan an chichan mipaoy ta sachi ikaw wi amod na pangotna, ad sachin asiiifilancha ya asingangarotngotan na fafacha kapu ta kinalikatna.”
MAT.8.13	Ad anan Jesus ta kapitan, “Lumayaw-a, tan na patiyom wi màwan chiayu, màwa.”
MAT.8.13	Ad sachin ustuy ummimfakan na sanilun na kapitan.
MAT.8.14	Sachi ad ummoy à Jesus ta foroycha Pedro ad innilanan atukangan Pedro wi nifafàsar wi amod na panatingna. 
MAT.8.15	Ad inognan Jesus na imana ad naaan na panatingna, siyan fummangon ad sinakunganà siya.
MAT.8.16	Mummaschom pun, inchatong na taku an siyan ad-adchuwani nakafarfaray. Ad inaminna imparyaw na farfaraycha ta ukudna, ya impaimfagna kon losani nasakit. 
MAT.8.17	Iningwana losan chachì tumuttuwaan na inukud Isaias wi profeta ta awi wi anana, “Siyan nangaan ta losani sakittau, ya finnosna finuud na likattau.”
MAT.8.18	Na nangil-an Jesus ta ad-adchuwani takuy naarus an siya, imfakana ta chachi disipulusna ta umoycha losan ta chomang wi tarantag na fayfay. 
MAT.8.19	Ad iningkaw na osay sikuchi mangitudtuchu ta Lintog wi ummoy an Jesus, ad anana, “Misturu, mifurunà an sia ta uray sinumani umayam.” 
MAT.8.20	Ad sinongfatan Jesus à siya anani, “Na mutit, annan afutchay ingkawancha, ad na sissiwit, anna kon sùfutchay ingkawancha. Ngim à saoni namfalin taku, maid pu foroy-ù sumpuwà. Ad mitun-ud-a ko kay?”
MAT.8.21	Ad anan akon osay disipulus Jesus, “Apu, inyà yan ilofon à Ama.” 
MAT.8.22	Ngim anan Jesus an siya, “Ikad na chachi maid pu pammaticha, wi niyalig à natoy, wi mangilofon ta isuchay natoy. Ngim sia, sumurut-an saon.”
MAT.8.23	Sachi ad namfangkacha Jesus ya disipulusna. 
MAT.8.24	Nangkinawacha pun ta fayfay, nammaag fummalì napigsa. Ad nganngani milutong na fangka. Ngim nasusuyop à Jesus. 
MAT.8.25	Siyan finangon na disipulusnà siya, wi anancha, “Apu, saraknifam chiani! Annay milutongtau!”
MAT.8.26	Ad fummangon à Jesus, ad pinakinònan fali ya challuyun. Ad asin tummuyong na fayfay. Ad anana, “Taayuko machanakan? Tayukò saon achi piyaron?”
MAT.8.27	Ad naschaawcha losan wi mamfufurun, ad anancha, “Sinun kintatakun na annay taku, wi uray na fali ya challuyun, patkonchà siya!”
MAT.8.28	Chummatong pu cha Jesus ta chomang na sachi fayfay wi sakupon Gadareno, sinib-at na chuway takù Jesus, wi narpucha ta lorobnan. Nakafarfaraycha, ad kaog-ogyatcha, siyan maid pu makaturod wi mangoy ta sachi charan. 
MAT.8.29	Ad nampoawcha anani, “Siay anà Apudyus, sinun oyyoom an chiani? Umalim palikatan à chiani wi chaan pù chumatong na ustuy timpuna?”
MAT.8.30	Na sachi, niyaspur wi iningkaw na achani wi ad-adchuwani forò wi asisusubsub. 
MAT.8.31	Siyan nampangpangngaasin chachi aran an Jesus, wi anancha, “Nu iparyawnù chiani, ipaoynù chiani ta anchachiyay forò.”
MAT.8.32	Ad anan Jesus an chicha, “Ing-ayu nù!” Siyan tinaynanchan chachi taku ad ummoycha nallonog ta forò. Ad chachi forò, asitotodchàcha wi ummoy lumayug ta chopras ad losancha naanud ta fayfay.
MAT.8.33	Na takuy namanfantay ta forò, ummawidcha losan ummoy ta ili, ad impachamagchan losani napaspasamak ta chachi forò ya uray chachi takuy nakafarfaray. 
MAT.8.34	Ad lummigwat na losani taku wi umoy mangilan Jesus. Ad na nangchasanchan Jesus, nampangpangngaasichan siya ta lumayaw kuma ta sachi ilicha.
MAT.9.1	Ad asincha Jesus namfangka wi nanchormang nangulin ta ilina. 
MAT.9.2	Ad na iningkawancha ta sachi ili, inchatong na uchumi takun siyan osay naayayong wi nifafàsar. Ad inakammun pu Jesus wi napigsan pammaticha, anana ta naayayong, “Sunud, lumagsak-a! Napakawan na fasurnu!”
MAT.9.3	Iningkaw na uchumi mangitudtuchu ta Lintog wi nan-asiakitùtù anani, “Apay, iyisunan long-agnan Apudyus!”
MAT.9.4	Ngim à Jesus, inakammunan somsomòcha, siyan anana, “Tamako ta lawing na somsomòyun saon? 
MAT.9.5	Sinun mallanlanuy à ifaka, ‘Napakawan na fasurnu,’ winnu, ‘Lumigwat-a ta manadcharan-a’? 
MAT.9.6	À saon wi namfalin taku, panoknokà an chiayu wi annan karobfongà ad asnay luta wi mamakawan ta fasur.” Ad anana ta sachi naayayong, “Lumigwat-a, ad inaram na ofognu ad lumayaw-a!”
MAT.9.7	Ad lummigwat na sachi naayayong ad lummayaw. 
MAT.9.8	Ad chachi ad-adchuwani takuy nangiila, naschaawcha wi amod akon ogyatcha, ad chinaychayawchà Apudyus kapu ta nangadchana ta karobfongan na taku wi mangwa ta amaschi.
MAT.9.9	Na lummayawan Jesus ta sachi ili, innilanan osay manchachakup à fukis wi nangngachan à Mateo wi ummaachuy ta pisinana. Ad anan Jesus an siya, “Mitun-ud-an saon.”
MAT.9.9	Ad narnigwat à Mateo wi nitun-ud.
MAT.9.10	Na nanganancha Jesus ya chachi disipulusna ta foroycha Mateo, ummoy ako nakaan na achuy fufurun Mateo wi manchachakup à fukis ya uchumi takuy managfasur. 
MAT.9.11	Ad na nangil-an na uchumi Fariseo an chicha, inimuscha ta disipulus Jesus, “Tamakon Apuyu, makaan ta kakassanay taku?”
MAT.9.12	Chingngor pu Jesus chicha, sinongfatana chichà alig, anana, “Na takuy maid sakitna, foon pù masapurchan chuktur. Siya makasapur na nasakit. 
MAT.9.13	Anaponyun mining na annayay niyug-is wi ukud Apudyus, wi anana, ‘Foon pù ichatuchatunyun saon na patkà ngim siya patkà na mangaasiyanyu ta asintatakuyu.’” Ad anan ako Jesus, “Na ummaliyà ad asnay luta, foon à tudtuchuwà na mamfaruy taku ngim siya ummaliyà na tudtuchuwà na managfasur.”
MAT.9.14	Sachi ad ummoy na uchumi pasurut Juan wi Mamfufunyag inimus an Jesus, “Tamakò chiani ta Fariseo, kanayun-ani mallangani mangan, ngim achi pun na disipulusnu?”
MAT.9.15	Ad nan-alig à Jesus wi summongfat, anana, “Mansasàuy lawan takuy makakasar nu awad an chichan larai wi mikasar? Achicha pun! Ngim chumatong na timpuy milayawan na nikasar an chicha, ad sachin mallangananchay mangan.”
MAT.9.16	Ad asin nan-alig à Jesus wi anana, “Maid pu takù itàrupnan lukaki luput ta pallos. Tan nu kumsin na lukaki luput, am-amchonan nakissay. 
MAT.9.17	Ad maid pu ko mangifungufung à inafuyu ta chachaani uglit wi isù amutu, tan fumtak na sachi uglit ad mifallun fayas ad losancha machachail. Ngim na inafuyuy siya mifungufunganan àoyyay uglit wi amutu, maid machachailancha.”
MAT.9.18	Man-ukuukud pù Jesus, chummatong na osay pangpangun na sinagogan na Judio ad nampalintumong an siya wi anana, “Àotoy na anàuy fafarasang. Ngim nu umalim agpachan à siya, umuli mataku!”
MAT.9.19	Ad lummigwatcha Jesus ya disipulusna wi nitun-ud an siya.
MAT.9.20	Ad niyaspur wi iningkaw na osay fufai wi nasakit à chumarachara ta unog na nasawaran à chuway tawon. Ad ummoy ta odchokan Jesus ad inagpachanan pagpag na silupna, 
MAT.9.21	tan na somsomòna, “Uray nu agpachà yakan silupna, umimfakà.”
MAT.9.22	Sachi ad nantuwilì Jesus ad innilanà siya, ad anana, “Sunud, papigsaom na somsomònu! Tan mipakapu ta pammatim an saon, umimfag-a.” Ad sachin ummimfakana.
MAT.9.23	Chummatongcha pu Jesus ta foroy na sachi pangpangu, linumnò à Jesus, ad amod na ifil ya ngonot na namakungun. 
MAT.9.24	Siyan anana, “Lumawaayu losan! Tan foon pù natoy na annay fafarasang. Nasusuyop yakay!” Ngim inam-amangchà siya. 
MAT.9.25	Lummawa pun na taku losan, linumnò à Jesus ta kuwartuy iningkawan na natoy ad inognanan imana, ad fummangon chi fafarasang.
MAT.9.26	Ad na sachi iningwan Jesus, nanchinamag ta sachi losani ili.
MAT.9.27	Lummayaw à Jesus ta sachi, ad na nanadchadcharanana iningkaw na chuway nakurap wi nitun-ud an siya, wi nampoapoaw anani, “Siay kanà David, kaasiyan chiani!”
MAT.9.28	Sachi ad wi linumnò à Jesus ta osay foroy, nakarnò akon chachi nakurap. Ad ananan chicha, “Patiyonyu wi mafalini makaaanà ta kurapyu?”
MAT.9.28	“Oo, Apu,” ananchay summongfat.
MAT.9.29	Ad inognan Jesus na atacha ad anana, “Siyan màwan chiayun patiyonyuy màwa!” 
MAT.9.30	Ad na sachi, makailacha. Ad finilin Jesus chicha anani, “Achiyu ifagfaka ta sinuman!”
MAT.9.31	Ngim lummayawcha ad impachamagcha ta atakutaku ta sachi ili.
MAT.9.32	Na lummayawan na chachi chuway naaan na kurapcha, inyoy akon uchum an Jesus na osay takuy inumor na farfarayna. 
MAT.9.33	Ad imparyaw Jesus na aran, ad nakaningan sachi larai. Ad siyan naschaaw losan na takuy naarus, wi anancha, “Maid pu innilataù amasna ad asnay Israel!”
MAT.9.34	Ngim anan chachi Fariseo, “Karobfonganay mangiparyaw ta aran tan na ap-apun na aran na nangatod ta karobfongana.”
MAT.9.35	Ad kinagkagkaay Jesus na ailiili ta sachi wi nantudtuchu ta sinagoga wi makimkimungancha. Inwarawagnan Mamfaruy Chamag mipangkop ta Manturayan Apudyus, ya inaannan nan-ob-ofot wi sakit na taku. 
MAT.9.36	Ad na nangil-ana ta takuy ad-adchuwan, amod na kaasinan chicha tan kakkaasicha, ya maid akammuchà mampaturungancha tan isuchà pannilu wi maid pu mangayyuwan an chicha. 
MAT.9.37	Ad ananay nan-alig ta disipulusna, “Achun maani ngim ait na man-ani. 
MAT.9.38	Siyan chawatonyun Apudyus wi ngin-uwa ta annay ani ta umifaun à achù man-ani.”
MAT.10.1	Inarus Jesus na disipulusnay nasawaran à chuwa ad inadchana chichà karobfongan à mangiparyaw ta aran ya mampaimfag ta losani karasi wi sakit. 
MAT.10.2	Anchanayan ngachan na chachi nasawaran à chuway apostolesna: Simon wi ananchay Pedro ya sunudnay Andres; cha Jaime an Juan wi anà Zebedeo; 
MAT.10.3	ya Felipe an Bartolome, ya Tomas, ya Mateo wi nanchachakup à fukis; Jaime wi anà Alfeo, ya Tadeo, 
MAT.10.4	ya Simon wi ananchay Mangipapakat, ya Judas Iscariote wi siyan nangififik an Jesus.
MAT.10.5	Sachi ad imfaun Jesus chachi nasawaran à chuway disipulusna wi anana, “Ing-ayu mantudtuchu, ngim achiayu umoy ta ilin na foon à Judio ya uray il-ili ad Samaria. 
MAT.10.6	Ngim ing-ayu ta kailiyanyuy kanà Israel wi isuchà pannilu wi natarà. 
MAT.10.7	Ing-ayu itudtuchu wi chanchani milukin Manturayan Apudyus wi uullayoncha. 
MAT.10.8	Innadchò na karobfonganyu wi paimfakonyun nasakit, wi uray nafuratung, ipauliyu takuwon na natoy, ya iparyawyu kon aran ta nakafarfaray. Maid pu fayad na karobfongan wi inawatyu, siyan achiyu pafayad na sinumani ifachangyu. 
MAT.10.9	Achiayu mamfarun à pilak uray siping, 
MAT.10.10	ya achiayu mampasiing. Achiayu ko mangawit à mansukatanyù luput ya uray sapatus, ya achiayu ko mansur-ud. Tan na iyiwaaranyu chichan mangamung ta masapuryu.
MAT.10.11	“Ad nu chumatong-ayu ta sinumani ili, anaponyu nu sinun maryad wi mammangilin chiayu ta sachin ingkawanyu ingkanà lumayawanyu. 
MAT.10.12	Nu lumnòayu ta osay foroy, chawatonyun finchisyun Apudyus ta chachi nginforoy. 
MAT.10.13	Ad nu pionchay mangiliyon chiayu, tuttuway finchisyunan Apudyus chicha. Ngim nu lawingoncha, man-uwayun finchisyun Apudyus. 
MAT.10.14	Ad nu kaspangalikan awad foroy winnu ilì maid pu mammangilin chiayu ya achicha pu chongron na itudtuchuyu, tòakonyun tapuk ta ikiyu ta lumayawanyù mangakammuwancha wi ikadcha ta machusaancha. 
MAT.10.15	Ifakà an chiayu wi nu chumatong na Padchay Manguisan Apudyus ta taku, sin-umamod na chusan na amaschi nu chusan chachi lawingi takud Sodoma ya Gomorra.”
MAT.10.16	Ad inturuy Jesus anani, “Chongronyuna! Ifaun-u chiayu ta chachi lawingi taku wi isuayù pannilu wi umoy miyamung ta kaog-ogyati atap wi asu. Siyan masapur tanchaananyun oyyoonchan chiayu, ngim pafaruwonyun oyyoonyun chicha. 
MAT.10.17	An-annachanyu tan awad na uchumi taku wi maniliw an chiayu ad icharum chiayu ta kurti, ad impaabchoycha ko chiayu ta sinagogacha. 
MAT.10.18	Ad kapu ta pammatiyun saon, ipasanguchà chiayu ta chachi nangangatuy turay ta maimfistikar-ayu. Ngim sachin wayayuy mangifakan chicha, ya uray chachi foon pù Judio, ta Mamfaruy Chamag mipangkop an saon. 
MAT.10.19	Ad nu maimfistikar-ayu, achiayu machanakan mipangkop ta ifakayu ya isongfatyu, tan na sachi timpu, mipaakammun chiayun ustù ifakayu. 
MAT.10.20	Tan foon pu kà chiayun marpuwan na ifakayu, tan Ispiritun Apudyus wi Amataun mangipaspasmò an chiayu.
MAT.10.21	“Ad na sachi timpu, uray na mansusunud, man-asififikcha ta mapatoy na sunudcha. Ya uray akon man-aama ya man-iina, man-asipinnatoycha. 
MAT.10.22	Ad kuraon chiayu ta losani taku kapu ta pammatiyun saon. Ngim sinumani mangipapati ta pammatina ingkanà anungusna, chichan masaraknifan à ing-ingkana. 
MAT.10.23	Nu palikatan chiayu ta osay ili, umawid-ayu ta safali ili. Ngim ifakà an chiayu wi achiayu pu makasutup ta annayay pàwà an chiayu ta losan ilid Israel ad mangulinà, saoni namfalin taku.”
MAT.10.24	Sachi ad nan-alig à Jesus ta mapasamak an chicha, anana, “Maid pu matudtuchuwan à nangatngatu nu mantudtuchu, ya maid pu ko sanilù nangatngatu nu nginsanilun siya. 
MAT.10.25	Siyan kapilitan wi sinumani mapasamak ta mantudtuchu, mapasamak ako ta sachi tudtuchuwana. Isun akon sanilu, tan sinumani mapasamak ta nginsanilun siya, sikurachuy mapasamak akon siya. Siyan saoni Apuyu, nu kuraonà ta taku wi ananchay saon à Beelzebub anu wi ap-apun na aran, sinchumallun mangkuraanchan chiayuy disipulus-u.”
MAT.10.26	Inturuy Jesus anani, “Achiayu umogyat kuma ta taku. Tan na losani achi pu maila ta sana, mipailà tapin na padcha. Ya losani nitataru ta sana, mallotaw nu chumatong na timpuna. 
MAT.10.27	Siyan na losani intudtuchù ta aafusanyu, ya intupkà an chiayu, masapur ipagngoryu ta losani taku wi uray ip-awyu. 
MAT.10.28	Ya achiayu ko umogyat ta chachi mamatoy ta long-ag, tan achicha pu makàtoy ta alichodwa. Ngim siya umogyatanyu kumà Apudyus, tan karobfonganay mangifallu ta long-ag ad infierno wi mitapi kon alichodwa. 
MAT.10.29	Panunutonyun somsomò Apudyus an chiayu, tan uray na sissiwit wi tansu kan nginan na chuwa, maid pu matoy à uray osa nu foon pù iparufus Amatauy Apudyus. 
MAT.10.30	Ad sinchumallù chiayu, tan uray na fuùyu, finilang Apudyus. 
MAT.10.31	Siyan achiayu kuma umogyat ta sinuman tan napatpatog-ayu an Apudyus nu achuy sissiwit!”
MAT.10.32	Inturuy Jesus anani, “Sinumani manàchor ta sangwanan na taku wi saon na Apuna, tàchorà ako siya an Ama ad langit. 
MAT.10.33	Ngim sinumani mangilifak an saon ta sangwanan na taku, ilifak-u kò siya an Ama ad langit.”
