GEN.1.1	 Khangla Mühghaüei müh si kaodak yaükei. 
GEN.9.23	Hobaje Shem si Jafetei nei che sungan kho haosieibü phaka peian phaito hauan haoeneibü bou mütkong kibü küplepbukei hoba haosieibü thenyek phaiae sepeian haubü ka haosiei haoeneibü bou mütkong kibü kho ühüp. 
GEN.9.24	Hobaje Noa hao ihei jakbü ka pienan hao shou napeibouei ai kümbei kho ngean apbei
GEN.9.25	Hobaje haoei laukei,
GEN.9.25	“Kanan shedsikhau yingshi!
GEN.9.25	Hao haoeibü jaisinasi shuongeibü phangkabü aaola lelabü.
GEN.9.26	Tokei haoei laukei,
GEN.9.26	Shemeibü Mühghaü 
GEN.9.26	hoba Kanan Shemeibü aao yingshi.
GEN.9.27	Mühghaüei Jafet yaangentishi,
GEN.9.27	hoba hao Shemeibü neichema kitishi;
GEN.9.27	hoba Kanan haoeibü aaola yingtishi.”
GEN.9.28	Yungsen louan phaia Noa po 350 kikei. 
GEN.9.29	Hobaje Noa salangbü po 950 kikei, hoba hao haikei.
GEN.10.1	Noaeibü shousi shuong Shem, Ham, Jafet mütlang mütliei yungsen phaia haoen la shousi shuong bukkukei. 
GEN.10.2	Jafeteibü shousi shuong Komer, Magog, Madai, Javan, Tubal, Meshek hoba Turas. 
GEN.10.3	Hobaje Komer shousi shuong: Ashkenaz, Rifat hoba Togarma. 
GEN.10.4	 Hobaje Javan shousi shuong: Elisha, Tarshish, Kittim hoba Rodanim. 
GEN.10.5	Habü ka yungkoa kibü mütli shuong linkei. Habü ho jembü kaodaka Jafet shousi shuong haoeibü phanga jembü ngühyem hoba jembü chempen. 
GEN.10.6	Hobaje Ham shousi shuong: Mizraim, Kush, Put hoba Kanan. 
GEN.10.7	Hobaje Kush shousi shuong: Seba, Avila, Sabta, Rama, hoba Sabteka; hoba Rama shousi shuong: Sheba hoba Dedan. 
GEN.10.8	Hobaje Kush ka Nimrod pakkei; hao kaodaka shaangbou lakjaibou che yeikei. 
GEN.10.9	Hao 
GEN.10.10	Shinar kaodaka haoei habü sangle khangkei: Babilon, Erek, Akad, hoba Kalne. 
GEN.10.11	Ho kao ka Assiria to hauan Ninevi, Rehobot Ir, 
GEN.10.12	hoba Ninevi si Kala kanglanga Resen sangyaang lekei.
GEN.10.13	Hobaje Mizraim ka Ludbü, Aminbü, Lehabbü, Neftubü, 
GEN.10.14	Patrusbü, Kaslubü (laobou ka Filistiabü longkei hoba Kaftorbü pakkei.)
GEN.10.15	Kananeibü shaangbü shou Sidon, hoba Hitbü; 
GEN.10.16	hoba Jebusbü, Amorbü, Girgashbü, 
GEN.10.17	Hivbü, Arkbü, Sinbü, 
GEN.10.18	Arvadbü, Zemarbü, hoba Hamatbü hao ka loukei; hoba kho phaia Kananbü chung shuong phinjung satkei. 
GEN.10.19	Hobaje Sidon ka Gerar aeto Gaza sühko hoba Sodom, Gomora, Adma, hoba Zeboiim aeto Lasha sühko Kananbü leilang yeikei. 
GEN.10.20	Habü ho haoeneibü kaophei si phanga hoba chung si ngühyemei Hameeibü shousi shuong ki.
GEN.10.21	Jafeteibü jai hoba Eber shousi pendoueibü bou Shem lakei shousi shuong bukkukei. 
GEN.10.22	Shemeibü shousi shuong Elam, Ashur, Arpakshad, Lud hoba Aram. 
GEN.10.23	Aram shousi shuong Uz, Hul, Geter hoba Meshak. 
GEN.10.24	Hobaje Arpakshad ka Shela pakkei, hoba Shela ka Eber pakkei. 
GEN.10.25	Eber la shousi müt nyi bukkukei; cheeibü nyen Peleg (aieilausi haoeibü jiha kaodak kho janyinkei), hoba naeibü nyen Joktan. 
GEN.10.26	Hobaje Joktan ka Almodad, Shelef, Hazarmavet hoba Jera pakkei, 
GEN.10.27	hoba Hadoram, Uzal, Dikla, 
GEN.10.28	Obal, Abimael, Sheba, 
GEN.10.29	Ofir, Habila hoba Jobab; habü pendou Joktaneibü shousi shuong kikei. 
GEN.10.30	Mesha ka chaangbou shongh Sefar aenei haoen kishang kikei. 
GEN.10.31	Habü ho haoeneibü kaophei si phanga hoba chung si ngühyemei Shemeibü shousi shuong ki.
GEN.10.32	Habü ho haoeneibü phang shuonga, thensilen haangei Noa shousieibü chungsiphang ki. Hobaje habü ka jaüan yungsen phaia kaonyudaka phang shuong jankei.
GEN.11.1	Kho jiha kaodak khümboa ngühyem che hoba ngühang che kikei. 
GEN.11.2	Hobaje haoen chaangbou aeto shoongjung haujinei haoenei Shinar kaoa yo che hapbei, hoba khünei kikei. 
GEN.11.3	Hobaje haoen si haoen joyoko laukei, “Kaiya, senei tham nyatan ipan wana yingko juokkho.” Hibü haoenei laang jeila tham juokbü kho lekei, hoba khangyola bunai lekei. 
GEN.11.4	Hobaje haoenei laukei, “Kaiya, senei sangnyua laangshong lapheishon che müha jakko yaüakho, khei yingsi seneibü nyen kilabü hoba kaonyudak shenko alinlabü.”
GEN.11.5	Lausikei 
GEN.11.6	Hobaje 
GEN.11.7	Kaiya, sen yanakho hoba haoen cheei che aditenlabü lele haoeneibü ngühyem lusaktikho.” 
GEN.11.8	 Hibü 
GEN.11.9	Hibü hoeibü nyen Babel dogo nyenkei, aieilausi khünei 
GEN.11.10	Habü ho Shem mütli. Yungsen phainei nyibou poa Shem po 100 jai kijinei Arpakshad hapbei. 
GEN.11.11	Hobaje Arpakshad bukan phaia Shem po 500 kijinei jayang nouyang shousi shuong kikei.
GEN.11.12	Hobaje Arpakshad po 35 kijinei Shela hapbei; 
GEN.11.13	hoba Shela bukan Arpakshad po 403 lang kijinei jayang nouyangshousi bukkei.
GEN.11.14	Shela po 30 kijinei Eber bukkei, 
GEN.11.15	kho phaia Eber bukan Shela po 403 kijinei jayang nouyangshousi kikei.
GEN.11.16	Hobaje Eber po 34 kijinei Peleg kikei. 
GEN.11.17	Hobaje Peleg bukan phaia Eber po 430 kibü jiha jayang nouyangshousi kikei.
GEN.11.18	Hobaje Peleg po 30 kijinei Reu kikei. 
GEN.11.19	Hobaje Reu bukan phaia po 209 kijinei toukei jayang nouyangshousi kikei.
GEN.11.20	Hobaje Reu po 32 kijinei Serug kikei. 
GEN.11.21	Hobaje Serug bukan Reu po 207 kijinei jayang nouyangshousi kikei.
GEN.11.22	Hobaje Serug po 30 kijinei Nahor kikei. 
GEN.11.23	Hobaje Nahor bukan Serug po 200 kian jayang nouyangshousi kikei.
GEN.11.24	Hobaje Nahor po 29 kian Tera hapbei. 
GEN.11.25	Hobaje Tera bukan Nahor po 119 salang kijinei jayang nouyangshousi kikei.
GEN.11.26	Hobaje Tera po 70 kijinei Abram, Nahor hoba Haran hapbei.
GEN.11.27	Habü ho Tera mütli. Tera ka Abram, Nahor hoba Haran pakkei; hoba Haran ka Lot pakkei. 
GEN.11.28	Haobou Tera lang kijinei Haran, hao bukbü kao Khaldi kabü Ur sanga haikei. 
GEN.11.29	Abram si Nahor chemdang yeikei, hoba Abrameibü yak nyen Sarai hoba Nahoreibü yak nyen Milka, sao kho Haraneibü shou hoba Isakeibü boukei hao ong kikei. 
GEN.11.30	Sarai kho angkongbü; saoei shousi akitei.
GEN.11.31	Teraei haoshou Abram hoba Haran shou Lot haoeibü shi hoba haoeibü shoumaonyu Sarai, hao yoa leian Kanan kaodak to haula shanga Khaldibü Ur sangnyu ka meimeijung haukei. Lausikei Haran sühko hauan haoen khünei kikei. 
GEN.11.32	Tera po 205 kian Harana haikei.
GEN.12.2	Hobaje ngei ka ka phang yaangbü che yeitikulabü,
GEN.12.2	hoba no haükulabü;
GEN.12.2	hoba ngei kaibü nyen yaangentilabü,
GEN.12.3	 Hobaje aoyouei no haükulaje ngei haoen haükulabü,
GEN.12.3	hoba aoyouei ka to khüklauoklaje ngei haoen la
GEN.12.3	shedsikhau kulabü,
GEN.12.3	hoba no danko kaodak phangshuong pendou haükulabü.”
GEN.12.4	Hibü 
GEN.12.5	Hobaje Abramei haoyak Sarai si shoumo Lot hoba haoenei thansheibü haoenei kibü pendou hoba haoenei Harana müt lajuche leisheikei, khübü pendou leian haukei; hoba haoen Kanan kao to meimeikei hoba haoen khonei sühlangkei. 
GEN.12.6	Hobaje Abram kho kaophei saabü Shekhema More kaoena saopobü bulong sühko loukei. (Kheijinei Kananbü kho kaonyua kiteikei). 
GEN.12.7	Hobaje 
GEN.12.8	Hobaje haoei kho ka Bethel chaangbou aenei hoba Ai chaangbou aenei apyoan haoei haoeibü neichem dangkei. Hobaje khünei haoei 
GEN.12.9	Hobaje Abram Kanan yungthang aeto wakou athakko meimeijung haukei.
GEN.12.10	Hobaje kho kaonyeka mühsinou kikei hoba Abram Ijepa kila yankei, aieilausi kaonyeka kaangbüsekbü mühsinou kikei. 
GEN.12.11	Hobaje haoei Ijep to atla nyangko loujinei haoei haoyak Sarai to laukei, “Chühashi, no chühla saomaibü yaksa dogo ngei ngekei. 
GEN.12.12	Ladang Ijepbüei no haplaje haoenei laulabü, ‘Ho haoyak.’ Kheijinei haoenei ngo haitilabü, lausikei no langtilabü. 
GEN.12.13	No küna dogo haoen la lenshi; khei yingsije ka laüa kü to thounoulabü hoba kü langkei püetlabü.” 
GEN.12.14	Ladang Abram Ijep kaodak to loukei, Ijepbüei yaksa kho sao aeibou maietnyu hapbei. 
GEN.12.15	Hobaje Faraoeibü yaangenbü atei sao hapan Farao la sao hemaisaomai shangabü sangan lenkei hoba Farao chem to leibakei. 
GEN.12.16	Hobaje sao laüa haoei Abram to maian jungeikei, hoba hao la sanlon, masu, gadu pisipaang, sambü bousu, yaksa hoba ut dogo kukei.
GEN.12.17	Lausikei 
GEN.12.18	Kheijinei Faraoei Abram ngaan laukei, “Nyi kü to kümbü kho ai? Sao kayak dogo aila alen? 
GEN.12.19	Nyi aila ‘Sao küna’ dogo laukei? Khoei ong ngei sao küyak la lekei. Kayak hanei kia, sao leilangashi!” 
GEN.12.20	Hobaje Faraoei Abram shangabü hao mütshuong la ngühkhüm kuan hao hoba yak hoba haoei kibü pendou yoan Ijep ka sattikei.
GEN.13.1	Hibü Abram, haoyak hoba haoei kibü pendou hoba Lot yoan Ijep kaodak ka meimeijung yungthang aeto sattikei. 
GEN.13.2	Abram samkeisamuk hoba chandinam si hona aeibou keian kikei. 
GEN.13.3	Hobaje khüka hao yungthang kao ka meimeijung hauan Bethel si Ai kanglanga laonei haoeibü neichem kiteikei, hoba haoei 
GEN.13.4	shaangbü laangshong lemshon yaükei kho Bethel sühlangkei. Khonei Abramei 
GEN.13.5	Hobaje Lot ao Abram yoa haukei haoeikei sanshuong, masu shuong, hoba neichem kikei. 
GEN.13.6	Lausikei haoen liko kila kaoenei asou, aieilausi haoenei kibü juong yingsije haoen liko akien. 
GEN.13.7	Hobaje Abrameibü shatsinam lombü si Loteibü shatsinam lombü oyokei. Kheijinei Kananbü si Perizbü kho kaoena kiteikei.
GEN.13.8	Hobaje Abramei Lot to laukei, “Seti kanglanga hoba kaibü masu lombou si ngeibü masu lombou kanglanga oyophetyo ai akitila ngei ka to sudajada; aieilausi seti jaisina ki. Kü jungka no lolo bangashi dogo ngei ka to sudajada. 
GEN.13.9	Nyi nanae lealonga ngo maiaeto haulabü; ayingsi nyi maiae lealonga ngo nanaeto haulabü.”
GEN.13.10	Hobaje Lotei jembü nyek pükan Jordan pholi to chühkei, hoba 
GEN.13.11	Hibü Lotei hao shanga Jordan pholi pendou pienkei; hoba Lot chaang ae haukei. Khonei haosi bangkei. 
GEN.13.12	Abram Kanan kaoa kikei hoba Lot yosiyang sangnyu shuonga kikei, hoba haoeibü neichem Sodom sühko dangkei. 
GEN.13.13	 Lausikei Sodombü shuong kho maangsha maangkok yembü hoba 
GEN.13.14	Hobaje Lot bangan phaia 
GEN.13.15	 Aieilausi ai kaodak nyi hapda ho pendou ngei ka la hoba kaibü thensilen la thonsithak akiko kulabü. 
GEN.13.16	Hobaje ngei kaibü thensilen molo phetsen tegü yeitikulabü; hibü kho tegü müt cheei kaodak phetsen wela thükalonga kaibü thensilenkei wela thüklabü. 
GEN.13.17	Meimeiashi, kaodak süng si khaang danko paiashi, aishanga ngei ka la ho kulabü. 
GEN.13.18	Hibü Abramei haoeibü neichem sungbaan Hebrona Mamre saopobü bulong nyangko kikei; hoba haoei khünei 
GEN.14.1	Kho jihsiphaia Shinarbü choba Amrafel hoba Elesarbü choba Ariok hoba Elambü choba Kedorlaomer hoba Goimbü choba Tidal haanga, 
GEN.14.2	haoenei Sodombü choba Bera hoba Gomorabü choba Birsha hoba Admabü choba Shinab hoba Zeboimbü choba Shemeber hoba Belabü choba (kho Zoar) yoa wapyo khangkei. 
GEN.14.3	Habü pendou Sidim pholi (Jem Yungnyu) a yoshaikei. 
GEN.14.4	Haoenei po anthüknyi sühko Kedorlaomer khangenkei, hoba po anthüksem boubüa haoenei hao khulimbo meimeikei. 
GEN.14.5	Hobaje po anthüklei boubüa Kedorlaomer hoba hao to thipbü choba shuongei Ashtoreth Karnaima Refaimbü, Hama Zuminbü, Shave-Kiriathima Emimbü 
GEN.14.6	hoba Horbü, haoen Edom shongh sangliphang nyangko kibü Elparan sühko shikei. 
GEN.14.7	Kheijinei haoen sepeijung En Mishpat (kho Kadesh) to louan Amalekbü kaodak hoba Hazaron Tamara kibü Amorbü kaodak khümbo shikei.
GEN.14.8	Hobaje pendou haoen khulimbo Sodom choba, Gomora choba, Adma choba, Zeboim choba hoba Bela choba (kho Zoar) meimeikei hoba haoenei lason jaman Sidim pholi to wapyola haukei. 
GEN.14.9	Elam choba Kedorlaomer hoba Goim choba Tidal, hoba Shinar choba Amrafel hoba Elasar choba Ariok; haoen choba ngao khulimbo choba lei kho wapyokei. 
GEN.14.10	Tou Sidim pholia naipüngkhün thukukei hoba Sodom si Gomora choba satkei, hoba atje khüto atetkei, hoba haoen joubü shuong shongh to satetlangkei. 
GEN.14.11	Hobaje choba leiei Sodom si Gomora nyaksinam pendou hoba haoeneibü shausiyung khümbo soan satkei. 
GEN.14.12	Hobaje haoenei Abrameibü shoumo Lot, ao Sodoma kikei, hao hoba haoeibü nyaksinam soan satkei.
GEN.14.13	Hobaje satenbü che louan Ibribü Abram to ho shangabü lenkei. Hao Eshkol jaisina hoba Aner jaisina Amorbü Mamre saopobü bulong nyangko kikei; habü ho Abram to jiyomaiyobü shuong kikei. 
GEN.14.14	Hobaje ladang Abramei hao chempen langsena dogo ditkei, haoeibü chema bukbü haoei leiyenbü sambü müt 318 leian Dan sühko shijung haukei. 
GEN.14.15	Hobaje haoen khulimbo nangnak hao hoba haoeibü sambü shuong haoei janyinkei, hoba haoen kho thükkei; hoba Damaska yungküka kibü Hob sühko shijung haukei. 
GEN.14.16	Hobaje haoei peisilei pendou hoba haoeibü chempen Lotkei haoeibü peisilei yoa, yaksa shuong hoba lubü shuongkei langsenbü ka sepeinyu leian longeikei.
GEN.14.17	Ladang Abramei Kedorlaomer si hao to thipbü choba shuong thükan longeikei, Sodom choba, Shave Yo (kho choba Yo) to hao shuokla loukei. 
GEN.14.18	 Hobaje Salem choba Melkhizedekei wentek si ih sungbakei. Hao Thükkabou Mühghaüeibü Ungshedbou kikei. 
GEN.14.19	Hobaje haoei hao haükuko laukei, “Müh si kao kümbou 
GEN.14.20	 hoba aoei kaibü dangboulabou ka ikto kukei, hao Thükkabou Mühghaü to haübü yingshi!” Hobaje Abramei hao la pendou ka an phejan kukei.
GEN.14.21	Hobaje Sodom Chobaei Abram to laukei, “Kü la mütshuong kho labü lausikei peisilei nyi leshima.”
GEN.14.22	“Lausikei Abramei Sodom choba to laukei, 
GEN.14.23	khei ngei leipem che ong yingsikei, ngoklüh che ong yingsikei nyi kibü aikei alelabü; aingenyu nyi, ‘Ngei Abram keitikei’ dogo laulabü. 
GEN.14.24	Kü yoa haubü mütshuongeibü phejan hoba heshou shuongei ai shaukei kho to liman ngei ai alelabü: Aner, Eshkol hoba Mamre, haoenje haoen phejan letiashi.”
GEN.15.1	Kho phaia 
GEN.15.2	 Lausikei Abramei laukei, “O 
GEN.15.3	Hobaje Abramei laukei, “Chühashi, nyi kü la lilabü aikei aku; hoba chühashi, kü sambü che ngeibü phet phanlabü kia.”
GEN.15.4	Hobaje chühashi, nyibou 
GEN.15.5	 Hobaje haoei khong to leijung angan laukei, “Tou müh to chühashi, hoba kho weenalonga khanshoulitshou shuong wean chühashi.” Hobaje haoei hao to laukei, “Kho tegü kaibü lilabü kilabü.” 
GEN.15.6	 Hobaje Abramei 
GEN.15.7	Hobaje haoei hao to laukei, “Ngo 
GEN.15.8	Lausikei Abramei laukei, “O 
GEN.15.9	Hobaje haoei hao to jongaikei, “Kü shanga masu saoen che shatan po sem, hoba lonpaang che shatan po sem, sanlon paang che shatan po sem, hoba shujem dukutuk che hoba dukutuk che sungba.” 
GEN.15.10	Hobaje haoei khübü pendou sungbaan phei pheia nyangyoko phokei, aieilausi auje apheinyin. 
GEN.15.11	Hobaje phe shaubü aushuong haibü mang thükto louyenkei, lausikei Abramei haoen shian sattikei.
GEN.15.12	Hobaje chanyu nepbo kian Abram nyeket maiko yepbei; hoba hatlamoklabü nakthüh yaang hao thükto loukei. 
GEN.15.13	 Hobaje 
GEN.15.14	 Hobaje haoenei khangenbü phang ngei matjemlabü, hoba kho phaia haoen nyaksinam juong yoa longlabü. 
GEN.15.15	Lausikei no sangmaia kaibü bousishuong jungto haulabü; no tükde jailean khünlabü. 
GEN.15.16	Hobaje meten leiboubüa kaibü thensilen hato nyibou loungailabü; aieilausi Amorbü shieikoela haoenei shedbü akümphemkei.”
GEN.15.17	Hobaje ladang chanyu nepbei, chühashi, wankhük longbü wanthep che hoba wanlongbü hantin che phejan kanglang to dankei. 
GEN.15.18	Kheijinei 
GEN.15.19	Kenbü, Kenizbü hoba Kadmanbü, 
GEN.15.20	Hitbü, Perizbü, Refaimbü, 
GEN.15.21	Amorbü, Kananbü, Girgashbü hoba Jebusbü kaodak pendou ngei kua.”
GEN.16.1	 Tou Sarai, Abram yakei hao la shousi abukku; hoba saoei sambü sao che Ijep sao Hagar nyenbü kikei. 
GEN.16.2	Saraiei Abram to laukei, “Chühashi, ngei shousi abukla 
GEN.16.3	Hobaje Abram Kanan kaoa po an kian, Sarai Abram yakei Ijepsao Hagar, saoeibü samnyu yak la lela kukei. 
GEN.16.4	Hobaje haoei Hagar to jamsi sao mangakongko apbei. Hobaje ladang saoei sao mang akongko apa dogo ngekei, saoei sao sambunyu aweasüngla khangkei.
GEN.16.5	Hobaje Saraiei Abram to laukei, “Ngeibü shedbü ka to kishi; ngei ngeibü samnyu ka la kukei; hoba ladang saoei sao mang akongkei dogo ngekei sao thedanga ngo aweasüngko yeikei. 
GEN.16.6	Lausikei Abramei Sarai to laukei, “Chühashi, kaibü samnyu kaibü ika kia; ka thea ai maikei kho sao to jungeiashi.” Hobaje Saraiei sao to huoneiyoueiko jungeisije saoei sao thedang ka satkukei.
GEN.16.7	Hobaje 
GEN.16.8	Hobaje haoei laukei, “Sarai samnyu Hagar, no laka loukei hoba no lato hauda?” Hobaje saoei jongaiko laukei, “Ngo ngeibü sambünyu Sarai jungka satda.”
GEN.16.9	 Hobaje 
GEN.16.10	Hobaje 
GEN.16.11	Hobaje 
GEN.16.12	Hobaje hao müt yoa yambabü gadu tegü kilabü; haoeibü ik müt pendou khulimbo kilabü, hoba müt pendoueibü ik hao khulimbo kilabü.”
GEN.16.13	Saoei 
GEN.16.14	Khoei deikhün kho Beer Lahai Roi dogo nyenkei; ho tou sühko khünei kia, ho Kadesh si Bared kanglanga ki.
GEN.16.15	Hibü Hagarei Abram la bousushou che bukkukei; Abramei Hagarei bukbü jembü shou la Ishmael dogo nyenkukei. 
GEN.16.16	Hagarei hao la Ishmael bukkujinei Abram po saolei to lak kikei.
GEN.17.1	Hobaje ladang Abram po anjinngao to gü onkei, 
GEN.17.2	Hobaje ngei ngeibü thesilan seti kanglanga phokho, hoba no juongnyu haatiyaangtilabü.” 
GEN.17.3	Hobaje Abramei haoeibü the khüman khüpetkei, hoba Mühghaüei hao to laukei, 
GEN.17.4	“Chühashi, ngeibü thesilan ka yoa kia, hoba ho phang juongeibü bou la yeilabü. 
GEN.17.5	 Touje kaibü nyen Abram anyenlabü, lausikei Abraham dogo nyenlabü, aieilausi phang juongeibü bou ngei no yeitia. 
GEN.17.6	Hobaje ngei no lang juong hekbü yeitilabü, hoba ka ka ngei phang shuong longtikulabü hoba ka ka choba shuong longlabü.
GEN.17.7	 “Hobaje ka shanga hoba ka phainei kaibü thensilen shanga Mühghaü kila shanga seti kanglanga hoba ka phainei kaibü thensilen ham kanglanga meten pendoua thon akibü theyolanyobü kila shanga ngeibü thesilan kümlabü. 
GEN.17.8	Hobaje ngei ka la hoba ka phainei kaibü thensilen la, no paishang kaodak, Kanan kaodak pendou, ponpen kaneibü yingla kulabü, hoba ngo haoeneibü Mühghaü kilabü.”
GEN.17.9	Hobaje Mühghaüei Abraham to laukei, “Nyije, no hoba kaphainei kaibü thensilen haoen meten pendoua ngeibü thesilan jungeijan. 
GEN.17.10	Ngeibü thesilan, laobou seti hoba kaphainei kaibü thensilen kanglanga kanei pholabü, khei kan yoa bousu pendou kipan apjan. 
GEN.17.11	 Kan kiplabü, hoba ho ngo hoba kan kanglanga thebülanbü tetsida kilabü. 
GEN.17.12	Loulabü metena kan yo kabü chalou set onbü bousushou, kan chema bukbü ayingsi yenbou ka namei jekbü, kaibü thensilen ayingsikei, haoen pendou kiplabü. 
GEN.17.13	Kaibü chema bukbü yingasikei, kaibü namei jekbü yingasikei pendou kiplabü. Hobaje ngeibü thebülanbü kaibü phea thon akibü thesilan shanga kilabü. 
GEN.17.14	Hobaje akipbü bousu, ao tangkabü phe akip, hao jembü mütli ka wapan aplabü; haoei ngeibü thesilan lulima.”
GEN.17.15	Hobaje Mühghaüei Abraham to laukei, “Kayak Sarai shangakei saoeibü nyen Sarai dogo tenyen, lausikei sao Sara dogo kilabü. 
GEN.17.16	Hobaje ngei sao haükulabü, hoba tokei aei ngei sao danko ka la bousushou che kulabü, haü, ngei sao haükulabü, hoba sao phangshuongeibü nyu la yeilabü; phangeibü choba shuong sao ka longlabü.”
GEN.17.17	Kheijinei Abraham the khüman nyikei hoba haoeibü maanga laukei, “Müt che bukan po saongao onan bousushou buklep lo? Hobaje Sara po anjinngao onan saoei shou buklep lo?” 
GEN.17.18	Kheijinei Abrahamei Mühghaü to laukei, “Ishmael ka thea kia yingma!”
GEN.17.19	Hobaje Mühghaüei laukei, “Aying, kayak Saraei ka la jayangshou che bukkulabü, hoba nyi hao nyen Isak dogo nyenkulabü; hoba hao phainei haoeibü lilabü shanga thon akibü theyolanyobü kilabü lele ngei hao yoa ngeibü thebülanbü kümlabü. 
GEN.17.20	Hobaje Ishmael shangabü nyi laubü ngei dida; chühashi, ngei hao haükua, hoba ngei hao lang hekbü yeitikulabü, hoba hao juong haatikulabü; hao choba anthüknyieibü bou la yeilabü, hoba ngei hao phangyaang yeitikulabü. 
GEN.17.21	Lausikei Isak, ao Saraei ngiempo ho jih tükdea buklabü ki, hao yoa ngeibü thesilan kümlabü.” 
GEN.17.22	Hobaje haoei hao to joyobü nangkei, hoba Mühghaü Abraham jungka angkei.
GEN.17.23	Hobaje Abrahamei haoshou Ishmael hoba hao chema bukbü pendou hoba haoeibü namei jekbü pendou, haoeibü chema kibü müt yoka bousu pendou leijung louan, Mühghaüei hao to lenbü tegütham haoen phea tangkabü khop khünyettham kipan apbukei. 
GEN.17.24	Hobaje Abrahamei haoeibü tangkabü khop kipan apjinei hao po anjinngaoto gü kikei. 
GEN.17.25	Hobaje hao shou Ishmael, hao jembü tangkabü khop kipjinei po anthüksem kikei. 
GEN.17.26	Khünyettham Abraham hoba haoshou Ishmael haosi ham kipbei. 
GEN.17.27	Hobaje haoeibü chema kibü bousu pendou hoba chema bukbü si yenbou ka namei jekbü yoan hao yoa kipan apbei.
