GEN.1.1	Aino luai God kata asinong na mete kuku na kuli rina. 
GEN.7.14	Ri mamain ta manmanik, loi na tav loi kapa kita kun kokos ve ria. Mamain ta manmanik anglok ipo palis kuli vunep na ri mamain ta mani aongos kapa kita kun kokos. 
GEN.7.15	Saka keve manmanik an atogon to, kita serei si Noa si kuvkuvulan pongua na kianpo palak e nei perengan ang. 
GEN.7.16	Sikei a aina na sikei a tauan i keve manmanik to aongos kita serei asukang palau val atatai si God ani Noa. Emung palau i kitala papalak aongos IAVE akorong kala akang bat a takaman.
GEN.7.17	Si vuk pangau i 40 na mangias ang kuli rina katala voko aongos. Taun ang na laman ang kapo ruduk alak kala sung alakat a perengan ang le kuli roe. 
GEN.7.18	Laman ang kata ruduk alak tung kanla sung suai luai ani perengan ang na kala voko nia si laman i pangkul i kuli vunep ang. 
GEN.7.19	Saka keve mulang lava an i kuli rina katala mun aongos si taun ang na laman ke kata ruduk na kala pakut aongos iria. 
GEN.7.20	Le si lakat i keve mulang lava laman ang kata anguan palak ani limalengua na nganga soliu na kuluria. 
GEN.7.21	Saka keve bil atogon to si taun ang kita mamat aongos. Ri mani, ri manmanik loi na ipo aiveven na ri manmanik aongos ipo uraura ani kuli rina kita mat. Na ri vap tutuman aongos kita kun mamat kapa. 
GEN.7.22	Si selen ke vanang keve bil aongos i kuli rina kita mamat suai. Saka keve bil an kita atogon a to na kipo aus ta isuria kita mamat suai aongos. 
GEN.7.23	IAVE kata vil suai aongos ani mamain ta bil atogon to nang katapo aduk na kuli rina. Noa papalik na vap po ago ang ve nia nei perengan ang kitapo to. 
GEN.7.24	Emung i keve bil ke, laman ang kata pakut lak na kuli rina ani mang 150 na mangias aongos.
GEN.8.1	Sikei God kala lomon pok na Noa ve keve manmanik kei na manmanik ipo aiveven e nei perengan ang na kala alis a mangsikei a vuk malu asi malu ani kuli rina na laman ang kalapo uak asiang. 
GEN.8.2	Si vuk pangau ke lenginang na keve mata i nei laman miting kila akang bat ta uv alak na langit tavirimok ang kala kun aulei ta usen. 
GEN.8.3	Laman ang kuli rina kalapo uak ananap asiang ani 150 na taun tung kanla pasiang luai. 
GEN.8.4	Asukang na si va sangauli na limalengua i taun i va limalengua i ulen perengan ang vanang kamela soisinong kuli keve mulang i Ararat. 
GEN.8.5	Laman katapo kisiang lak tung si ainoai i taun i vasangauli i ulen na kuluria i ri mulang kalapo serei aongos.
GEN.8.6	Au, emung i 40 a taun Noa kala tavas na matakoto i kana abis kuli perengan ang 
GEN.8.7	na kala angoi a kol ani kan ararai. Sikei a kol ang kanlapo ngoi angpok palau tung a kuli rina kala kolo aongos. 
GEN.8.8	Asukang na kala angoi a uk asi kana an kun ararai ta man a laman e kuli rina kala uak asiang. 
GEN.8.9	Taun kanlapo ngoi pulakai parik kata arai korong ta oring asi kana gon ausai, using laman katapo duk aongos lak e kuli rina. Asukang na kamela papok na Noa kala sulai ani kungana na kala songo aro alak pok ia nei perengan ang. 
GEN.8.10	Au, kala kokoai ani limlengua na taun kan liu na kala anguan asok ani uk ang. 
GEN.8.11	Si tenei ngelik i taun ang pok kala serei ve pan tanginang luai i oliv e nguruna na Noa kala nas ta laman ang e kuli rina katalapo uak asiang. 
GEN.8.12	Au, kala kokoai pok ani mang limalengua na taun na kala anguan asok ani uk ang. Sikei si taun ke parik kata mela papok. 
GEN.8.13	Si ainoai i taun i ainoai i ulen i matas ang na Noa kata lapo 601 na matas singina, kuli rina kala kolo aongos. Na si taun ang Noa kala vil suai ani akang bat i perengan ang na kala arai ta kuluna i kuli roe kala kolo aongos. 
GEN.8.14	Io na si va 27 i taun i va pongua i ulen akorong kuli rina aongos ke katala kolo aongos luai.
GEN.8.15	Na God kala antok a Noa, 
GEN.8.16	“Mi soung pelek a perengan ang. Numai ve kisngam na kam volo nat na volo kisngaritol. 
GEN.8.17	Mamain ta manmanik to aongos ang ve numai, ku songo suai aongos kapa aniria. Ri mani, ri mamain ta vongo anglok, na riria kipo palis kuli roe, ki soung aongos ani kime apitus ani kuli rina ke na ka duk luai tataria.” 
GEN.8.18	Asukang na Noa kamela soung pelek na perengan ang ve kisngana na kana volo nat na volo kisngaritol. 
GEN.8.19	Mamain ta vongo aongos na riria aongos kipo palis e kuli roe na ri mani aongos kila kun soung. Ri bil aongos ipo rol ani kuli rina ke kita soung asiang nei kari keve kuvkuvulan akorong.
GEN.8.20	Na Noa kala ngoto atung na mangsikei a pata ipo sula e mete IAVE. Kala luk ta mang rukun i mamain ta vongo ve mani daus aongos ipo angan na kala sula iria asukang ta kana alilis ane si IAVE. 
GEN.8.21	IAVE kala sain na sain lulupusan ang na kala antok pok ia ta, “Tutapongai kana na iles lak nala aulei luai ta anguan vil arikek an ani kuli rina si kari lau rikek ri vap. Kantanem ki uli bil arikek lak using kapo ago si rangai iria, sikei nau nala aulei luai ta anguan bil asukang ke an. Nala aulei kapa ta anguan vil punuk suai an ani ri manmanik aongos kuli rina.
GEN.8.22	Tung si akamusai i taun i kuli rina ke, ka uli atogon ani keve taun angpetpetekai ke: keve taun i suksukal ve keve taun i kopkopos, keve taun livus ve keve taun manas, keve taun mangias ve keve tenei vong, keve taun angpetpetekai nei liuan i matas. Io, ki ago luai ta anguan taputuk an.”
GEN.9.1	Na God kala poso atautauia na Noa ve kana volo nat velai ani mengen asukang ke, “Mi apitus na mi serei aduk luai asi kami rol ani kuli rina ke. 
GEN.9.2	Mamain ta vongo i kuli rina ke na mamain ta mani aongos i nei pangau na ri manmanik kipo palis e kuli roe na ri ien aongos i nei laman kilapo ago si kungami asi kami saupai. Nganlak ki leng na ki sip animi. 
GEN.9.3	Saka bil an kapo atogon a to singina na kapo palis vo ngoi angpok, kalapo kami pok asi angan. Natala alis imi ta mamain ta suksukalan na asukang palau kapa nala alis imi kana ta keve bil aongos ke. 
GEN.9.4	Sikei mi ago luai ta angan an ta sikei a vuk avus kapo atogon rangai lak singina. 
GEN.9.5	Na nganlak lak man nami ri vap mi angdaung, mila mengen amalangas e matag ta kakami ta kun to akorong. Ka asukang si mamain ta vongo aongos na ka asukang kapa singimi ri vap ta siksikei a igenen man ka vil punuk a tungana e ke e vunep, kala mengen amalangas ta kana to. 
GEN.9.6	Si ka asasaling na rangai si igenen, igenen akorong pok kala asasaling na rangai ina i iuang. Using a God kata pitopito na igenen si kakana ta kankanuai akorong pok. 
GEN.9.7	Au animi akorong ri vap, mi apitus na mi serei aduk luai na mi aruduk a kuli rina ke tatami pok.”
GEN.9.8	Na God kala anguan antok an ani Noa na kana volo nat asukang ke, 
GEN.9.9	“Kana vang nala amatung kag palpalatung ve nami na matan inatus ang kapa ki serei lak emung imi. 
GEN.9.10	Kuvul ve mamain ta bil atogon to kitapo ago aongos ve nami e nei perengan ang. Ri mani, ri mamain ta vongo anglok, na ri kei aongos, nang riria aongos kitala soung ve nami, mamain ta bil aongos atogon to e kuli rina. 
GEN.9.11	Kag palpalatung kapo asukang ke: Tutapongai kana na iles lak nala aulei luai ta anguan vil putuk ani kami to ta alis nole ane kuli rina. Io, ka ago luai ta atogon ta mang nole lava asukang ke asi anguan vilvil punuk suai an e kuli rina ke.” 
GEN.9.12	Na God kala antok kapa asukang ke, “Kana vang na akanangai i palapalatung ke napo amatung ia nei liuan ira, na keve mamain ta vongo aongos ang na kami keve patvap si serei lak emung imi. 
GEN.9.13	Mi arai ta natala amatung na mang sikei a kumrangai e nei liuan i keve kuku suke. Ninia vanang kalapo akanangai i palpalatung ke nalapo abis ia ve kuli rina ke. 
GEN.9.14	Si keve taun, man a nei pangau ka duk ta kuku na kumrangai kala tutu serei io, 
GEN.9.15	naka lomlomonai pok ani kag palpalatung ve nami aongos na mamain ta bil anglok aongos atogon to singiria. Parik luai kapa angkoai ta laman ka anguan bungum na vil punuk suai an ani mamain ta bil e kuli rina. 
GEN.9.16	Io, taun na arai ani kumrangai ang, ka alomon pok iau ta kag palpalatung kapo tung atokos ve mamain ta bil anglok aongos atogon to singiria. 
GEN.9.17	Sukana vang Noa, arai ta kumrangai vanang kapo akanangai i kag palpalatung ve kuli rina aongos ke.”
GEN.9.18	Kana volo nat a Noa voiang kita soung ve nia pelek a nei perengan ang, karitol volo asan ta ri Sem, Am na Iapet. Na Am ninia katapo tamana i Kanan. 
GEN.9.19	Le si volo nat ke vanang kuli rina ke kata serei aduk luai. Na inatus iria kila angpotok ta kuli rina ke.
GEN.9.20	Noa katapo mangsikei a igenen katakai i sukal. Asukang na kata sukal kana matang vaen. 
GEN.9.21	Mangsikei a taun kata inum si uai i nei kana matang na kala nio, na kanla matung ta varas e nei kana lu. 
GEN.9.22	Au na Am, nat voike kata asereai ani Kanan, kala arai ania sipo matung ang na kanla antok a ngono tasina e komo. 
GEN.9.23	Sikei ngono angtasimal ke kilongla luk le na mang vakup na kilongla amatung ia e kalakalarilong na kilong anla palak alak ta mung irilong na kilongla pakut a tamarilong tatana. No irilong kapo tun apetekai vei kilong arai ani tamarilong sipo varas ang. 
GEN.9.24	Taun ang a Noa kala vangang tapalas na kala nas a sa na kana kiu kata abis ia singina, kala tapasuk 
GEN.9.25	na kala posong asukang ke: ‘Mamaiten kitmat ka kos lak e kuluna i Kanan. Ka serei a asosokai e kevkev luai si ngono tasina.” 
GEN.9.26	Na kala posong kapa na vuk mengen asukang ke: “Alatun ane si IAVE, voiang a Sem kapo atogon ia val kana God. Kanan ka asosokai si Sem. 
GEN.9.27	God ka apolokai apapanai ani palpal roe si Iapet, na ri Iapet ve Sem kilong sikei palau si karilong keve togtogon, na Kanan ka asosokai singirilong.”
GEN.9.28	Emung i nole lava ang, Noa kata to pok na mang 350 na matas. 
GEN.9.29	Na aongos Noa kata to na 950 na matas, le na kala mat.
GEN.10.1	Kana na akuskus usiusingai i kana volo nat a Noa, ri Sem, Am na Iapet voiang kitol tala kun atogon nat pok emung i nole lava ang.
GEN.10.2	Iapet kata apolokai ani keve nat ke: Gomer, Magog, Madai, Iavan, Tubal, Mesek na Tiras. 
GEN.10.3	Na Gomer kata apolokai ani Askenas, Ripat na Togarma. 
GEN.10.4	Na Iavan kata apolokai ani Elisa, Tarsis, na ri Kitim ve ri Rodaim. 
GEN.10.5	Keve palpal vap vo ago aliu ang si keve palpal e ngere lo kita seserei le si keve vap suke. Kita tapagal pulakai na ki polok ane si keve patmani angpetpetekai na kila ago akorong si kari keve palpal. Na ninia si kari keve palpal kita atogon kari keve mengen i rina akorong.
GEN.10.6	Am kata apolokai ani keve nat ke: Kus, Misraim, Put na Kanan. 
GEN.10.7	Na Kus kata apolokai ani Seba, Avila, Sabta, Rama na Sabteka. Na Rama kata apolokai ani Seba na Dedan. 
GEN.10.8	Kus kata asereai ani Nimrod na Nimrod kata serei a igenen visvis madot luai e kuli rina aongos. 
GEN.10.9	E matana i IAVE kata serei a igenen katak aro luai ta akalat. Eiang vanang na ri vap kipo nas ani posong ani vuk mengen ke: ‘Asukang val Nimrod, igenen dual alava ke mete IAVE ta akalat.’ 
GEN.10.10	Keve ainoai i rina lava i kana atung na ka vosap aniria kipo Babilon, Erek, Akad na Kalne e palpal Sinar. 
GEN.10.11	Le ke vanang kata pasal taun a Asiria na kanla atung a Nineve, Reobot, Ir, Kala 
GEN.10.12	nas Resen. Resen nang kapo ago nei liuan i Nineve na rina tavirimok ang ta Kala. 
GEN.10.13	Misraim kata asereai ani ri Lud, ri Anam, ri Leav, ri Naptu, 
GEN.10.14	ri Patrus, ri Kaslu - vap ke ri Pilistin kita polok singiria - na ri Kaptor kapal;. 
GEN.10.15	Kanan kata asereai ani Sidon, kana nat kiu. Au na ri It, 
GEN.10.16	ri Iebus, ri Amor, ri Girgas, 
GEN.10.17	ri Iv, ri Arak, ri Sin, 
GEN.10.18	ri Arvad, ri Semar, na ri Amat kapa. Keve patmani i Kanan kila pasal apapanai pulakai 
GEN.10.19	tung si puli i Kanan kanla kinkos a Sidon taun a Gerar na alak luai ane Gasa. Na le iang pulis ang kala pasal taun a Sodom, Gomora, Adma na Seboim tung e Lasa.
GEN.10.20	Riria vang sukana na matan inatus si Am. Si kari keve patmani akorong, na kari keve mengen i rina. Si kari keve palpal roe na kari keve palpal vap. 
GEN.10.21	Au na Sem kapa, voiang kapo tasina lik i Iapet, kata kun atogon kana inatus. Sem katapo tivuria i matan inatus aongos si Eber. 
GEN.10.22	Sem kata apolokai ani keve nat ke: Elam, Asur, Arpakad, Lud na Aram. 
GEN.10.23	Na Aram kata apolokai ani Us, Ul, Geter na Mesek. 
GEN.10.24	Arkapad kata asereai ani Sela na Sela kata asereai ani Eber. 
GEN.10.25	Na Eber kata atogon kana pongua na nat. Mang anu kita atuk ia ta Peleg, using si taun ang a kui rina katapo tatapagal. Na tasina i Peleg kana asan ta Ioktan. 
GEN.10.26	Ioktan kata asereai ani keve nat ke: Almodad, Selep, Asarmavet, Iera, 
GEN.10.27	Adoram, Usal, Dikla, 
GEN.10.28	Obal, Abimael, Seba, 
GEN.10.29	Opir, Avila na Iobab. Sukana na keve nat ang si Ioktan. 
GEN.10.30	Palpal ang kitapo ago singina kata oros apapanai le Mesa ane Separ, si palpal rina mulangan ang ane si ring ipo sanglak ta makarap. 
GEN.10.31	Riria vang kana na matan inatus si Sem. Si kari keve patmani akorong, na kari keve mengen i rina. Si kari keve palpal roe na kari keve palpal vap. 
GEN.10.32	riria aongos vanang na keve patmani i kana volo nat a Noa. Kipo matung amalangas luai si ausingai i kari keve polpolokan nei liuan i kari keve palpal vap akorong. Le singiria vanang a keve palpal vap ke kita apolokai ani kuli rina aongos ke emung i nole lava vo serei ang.
GEN.11.1	Au, kuli rina aongos ke kata atogon kana sikei palau a saling i mengen i rina. 
GEN.11.2	Na taun ri vap kilapo pasal avunga ane si ring ipo sanglak ang ta makarap, kianla sabonai ani mangsikei a oring marul e Sinar na kila soi sinong singina. 
GEN.11.3	Na kila angtokai angpokpokai aniria asukang ke, “A, tara me pulpul na roe ke na tara ngangan amadot iria” Kitapo uli abis lu ta roe, parik ta iat. 
GEN.11.4	Na kila antok, “A, tara abis anira ta mangsikei a rina lava ve mangsikei a lu lakat luai e nei liuan ina voiang ka palak alak luai ane metekuku ani kara asan ka lava. Vei tarala uli angpotok pulakai ta kuli rina ke.” 
GEN.11.5	Sikei IAVE kamela pasiang asi me ararai ani rina lava ang nang a lu lava ang kilapo abis ia 
GEN.11.6	na kala antok, “Au, man kana using a vap ke kipo sikei palau ve kari sikei a mengen i rina na kilapo tutapongai kana asukang ke, pua! Nganlak nganing ka kovek i bil ka tubat iria man kila atogon a mang sa keve lomlomonai ang emung. 
GEN.11.7	A, tara kun pasiang na tara an atapagal kari mengen i rina ani ki angilung pok nei liuan iria.” 
GEN.11.8	Asukang na si selen ke vanang IAVE kata ailung na ka pagal na ri vap angpotok ta kuli rina ke. Io na eke avibisan i rina lava ang kata kamus palau. 
GEN.11.9	Ninia vanang a tukulai ina na kita atuk a rina ang ta Babel, using eiang vanang IAVE kata ailung na sikei a mengen i kuli rina aongos ke. Tapagal i matan vap ang vanang aulit i kuli rina ke kata tutapongai le iang.
GEN.11.10	Kana na akuskus i Sem. Pongua na matas emung i nole lava ang, Sem kalapo 100 na matas le na kala asereai ani Arpakad. 
GEN.11.11	Emung ina kala to pok le na mang 500 na matas na kala atogon nei pangau ang kana mang rukun nat kavulik. 
GEN.11.12	Au, Arpakad kalapo 35 na matas le na kala asereai ani Sela. 
GEN.11.13	Emung ina kala to pok le na mang 403 na matas na kala atogon nei pangau ang kana mang rukun nat kavulik. 
GEN.11.14	Au, Sela kalapo 30 na matas le na kala asereai ani Eber. 
GEN.11.15	Emung ina kala to pok le na mang 403 na matas na kala atogon nei pangau ang kana mang rukun nat kavulik. 
GEN.11.16	Au, Eber kalapo 34 na matas le na kala asereai ani Peleg. 
GEN.11.17	Emung ina kala to pok le na mang 430 na matas na kala atogon nei pangau ang kana mang rukun nat kavulik. 
GEN.11.18	Au, Peleg kalapo 30 na matas le na kala asereai ani Reu. 
GEN.11.19	Emung ina kala to pok le na mang 209 na matas na kala atogon nei pangau ang kana mang rukun nat kavulik. 
GEN.11.20	Au, Reu kalapo 32 na matas le na kala asereai ani Serug. 
GEN.11.21	Emung ina kala to pok le na mang 207 na matas na kala atogon nei pangau ang kana mang rukun nat kavulik. 
GEN.11.22	Au, Serug kalapo 30 na matas le na kala asereai ani Naor. 
GEN.11.23	Emung ina kala to pok le na mang 200 na matas na kala atogon nei pangau ang kana mang rukun nat kavulik. 
GEN.11.24	Au, Naor kalapo 29 na matas le na kala asereai ani Tera. 
GEN.11.25	Emung ina kala to pok le na mang 119 na matas na kala atogon nei pangau ang kana mang rukun nat kavulik. 
GEN.11.26	Au, Tera kalapo 70 na matas le na kala asereai ani ri Abaram, Naor na Aran.
GEN.11.27	Kana na akuskus i Tera. Tera kata asereai ani ri Abaram, Naor na Aran. Au, Aran kala kun asereai ani Lot. 
GEN.11.28	Le na kan mat e Ur, rina ke si ri Kalde, si ring i ingus ania. Kata mat si taun a tamana katapo to lak. 
GEN.11.29	Au, ri Abaram ve Naor kilong talapo osongon na kisngana i Abaram, kana asan ta Sarai, na kisngana i Naor, kana asan ta Milka, tamarilong ve Iska ta Aran. 
GEN.11.30	Sarai katapo ngolo, kovek i nat. 
GEN.11.31	Au, Tera kala songo kana nat ta Abaram na tivuna ta Lot, nat ang si Aran, na omona ta Sarai na kila tapasuk pelek a Ur si ri Kalde asi kari pasal ane Kanan. Sikei, taun ang kimela serei e Aran akorong, kila soi sinong eiang. 
GEN.11.32	Tera kalapo 205 na matas aongos le na kala mat eiang e Aran.
GEN.12.1	Au, mangsikei a taun IAVE kata serei si Abaram na kala antok ia, “Ku tapasuk suai ani kam ring ipo ago na kam matan vap na lu ang si tamam na ku pasal taun a vuk roe ke naka akalit lak ua tatana. 
GEN.12.2	Naka asereai anim ani ku serei a matan vap lava luai. Na naka atautauia ua. Naka asereai ani kam asan asi kana tavirimok na ku serei a oring asi kag atautauia ani mang matan vap. 
GEN.12.3	Ri si kipo poso atautauia ua, naka kun poso atautauia aniria kapa. Na riria kipo poso arikek ua, naka kun poso arikek aniria kapa. Le singim naka atautauia aongos na mamain ta palpal vap i kuli rina ke.” 
GEN.12.4	Au, asukang na Abaram kala tapasuk suai val IAVE katala antok ia. Na Lot kata pasal ve nia. Taun ke na Abaram kata papelek na Aran, kana matas i to katalapo 75 aongos. 
GEN.12.5	Kata songo na kisngana ta Sarai na kana nat ta Lot. Na kala luk kana togtogon aongos na kana keve asosokai i kana samui e Aran na kila pasal na kianla serei e Kanan. 
