GEN.1.1	Kotiyamale sitali dla Godtapo ta꞉lamo mate pepele di mate mimita꞉piyo. 
GEN.7.21+GEN.7.22+GEN.7.23	Epalati alinepi hapuloma mate epo tea hapuloma mate epo opa hapuloma mate ta꞉la medla pomelletapo paliyo. Epedeme ta꞉lamo hema pasakalo ha꞉ha꞉lalo alisisi hapulomatapo mosukulu palipa꞉meliyo. Amasiyama hatlo Nowata koa dulu dla elemtuwale sotapo pasakalo gadlowe haiyo. 
GEN.7.24	Epalati 150 alila dulu dla yútapo ta꞉laye gola꞉depo elaiyo.
GEN.8.1	Godtapo Nowa mate epo alinepi hapuloma mate koa dulu dla ha꞉ha꞉leye ala me-malahalaiyo. Epammama ya꞉tapo mosisi dla itiyamale hamiyo, mosisita sikemte hotlomhalemama yúta pillipo depame. 
GEN.8.2	Epalati Godta ta꞉la dulu dla yú matale opokoko ha꞉ha꞉leye ma-gogodlati omapla di tle tiyo patota helemhalale mape keidiyo. 
GEN.8.3+GEN.8.4	Epalati yúta woloma pilimtulumhalaiyo. Epalati koata yú di dla holomsela꞉mama mama 5 pololepo gudlati tulume Alalat tamali aloweli di dla gagadiyo. 
GEN.8.5	Amasiyama yúta ala woloma me-pilimtulumhalemama mama dapiyamte pololepo gudlati tamali opi aloweli mape mo-wowoyamaiyo.
GEN.8.6+GEN.8.7	Epame Nowata ma 40 alila pololepame mosisi kokoloma gowaladepame wako teaye tane diyo. Amasiyama tea itapo ma ilame populalo yúta pillipo depame me-hollomsela꞉iyo. 
GEN.8.8	Epame ma-alotle Nowatapo seselema teaye tane diyo, yúye mo-pilita꞉ depo natilipo depame. 
GEN.8.9	Amasiyama yúta woloma pilimtulumama dalupa ala me-dodokolopo hallati natipame teata kollowe totamsela꞉po ilame pulati Nowata ma hamame koa dulu dla pameliyo. 
GEN.8.10	Epame Nowa matle alila 7 halepo gudepame seselema teaye ma tane diyo. 
GEN.8.11	Epalati seselema teatapo hollomtame sela꞉po ma tamila꞉la ilame pumama olipi dali upa amkota꞉le ketahame mukota yilame puaiyo. Nowa epela malamaiyo, yúye mo-pilimtulupo. 
GEN.8.12	Epame matle alila 7 halepo gudepame seselema teaye ma tane diyo. Epalati ya꞉tapo hollomtamama ma ilame popuwaiyo.
GEN.8.13	Epalati Nowata koa dulu dla halemama mama 10 umulati eme dokostepo alikili dla natitepo, yúta mo-pilipo halla natiyo. Oloma hema Nowatapo 601 sokomoko umaiyo. 
GEN.8.14	Epame ma mama dapiyamte pololepo gudepo alotle natilati ta꞉lata ma sekelemama kokalestame ella natiyo.
GEN.8.15	Epalati Godtapo Nowa watle epo atlaiyo, 
GEN.8.16	“Wa꞉ mate epo wa꞉ a꞉ya mate epo wa꞉ akimlala mate epo yia꞉ wola꞉ mate koa dulu tle alikili a꞉ma dla wowoyamaiya. 
GEN.8.17	Wua꞉ta u-ulapo tamama alinepi hapuloma mila꞉pi meyelope meyelope dle mate eleme alikili dla woyamaiya, yia꞉tapo yimlala usulumama ta꞉lamoye matle pasatlepo depame,” diyo.
GEN.8.18	Epalati Nowata ya꞉llu mate epo ya꞉ akimlala mate epo yia꞉ wola꞉ mate koa dulu tle alikili dla u-ulapo tamalaiyo. 
GEN.8.19	Epame alinepi hapulomata koa dulu tle alikili dla u-ulapo tamalemama miyelo yia꞉ sepele siyapota mepo ketamta mepo ketamta depo tamalaiyo.
GEN.8.20	Epame Nowatapo 
GEN.8.21	Epalati alinepi halomale ullu seyamaletapo hetame ya꞉ umalati 
GEN.8.22	Amasiyama ta꞉lamota matle hallowe oloma edla alisisi emolowe alila me-ellepe, epame alisisi hauwallowe alila ma me-ellepe. Epame pomale alila ma me-ellepe, epame alemalle alila ma me-ellepe. Epame tene alila mate epo sali silaple alila mate ma me-ellepe. Epame utula꞉la mate alila mate ma me-ellepe.”
GEN.9.1	Godtapo Nowa mate ya꞉ akimlala mate dla epo atlaiyo, “Wua꞉ yimlala sikemte isukumama ta꞉lamoye pasatlepe. 
GEN.9.2	Alinepi hapuloma tea mate epo amalo mateta wua꞉ wowota꞉le mate ha꞉ha꞉lepe. Epapedeme yia꞉tapo wua꞉ta itiyamale isili tle ha꞉ha꞉lepe. 
GEN.9.3	Kotiyamale dla na꞉tapo wua꞉ye isikimi emale alisisi mate epo dlomoko mate dlomha꞉ha꞉iye duwapo. Amasiyama na꞉ ma wata wua꞉ watle atlema, alinepi hapuloma iye dlomha꞉ha꞉lepo depame.
GEN.9.4	Amasiyama wua꞉ mo demama ala omali mate hallati podlowa. Adipalati, pasakaloye omali dulu dla halapo. 
GEN.9.5	Epedeme oplami antapo ya꞉mkale pasakaloye kestlepiye, ya꞉ ma asiyama yumilipe. Epame alinepi aditapo oplami pasakalo kestlepiye, asiyama alinepi e mape yumilipe. 
GEN.9.6	Epedeme oplami antapo ya꞉mkale omaliye olostlepiye, ya꞉ ma asiyama ya꞉ omaliye olostlepe. Adipalati, Godtapo oplamiye me-ya꞉ mila꞉pi sepele mita꞉puwapo. 
GEN.9.7	Epedeme Nowa wa꞉ mate epo wa꞉ akimlala mate, wua꞉ yimlala sikemte isukumaiya, wua꞉ mamadulotapo ta꞉lamo pato hema opa pasatlepo depame.” 
GEN.9.8	Epame Godta Nowa mate epo ya꞉ akimlala mate dla ma epo atlaiyo, 
GEN.9.9	“Na꞉ watapo yu itiyamaleye wua꞉ mate epo alotle wua꞉ mamadulota ha꞉ha꞉lowe mate dla himima. 
GEN.9.10	Epame wua꞉ mate koa dulu tle u-ulapo matiwa alinepi mila꞉pi meyelope meyelope dle mate dla ma himima. 
GEN.9.11	Yu itiyapo himili eye ipo. Na꞉ matle pasakalo ha꞉ha꞉ alisisi hapulomaye yú mate popoyuluwa. Epame matle ta꞉lamoye yú mate poyuluwa.
GEN.9.12	Na꞉tapo wua꞉ mate wua꞉ mamadulo mate epo pasakalo ha꞉ha꞉lalo alinepi hapuloma mate dla yu itiyapo himmama ulu himiye ipo. 
GEN.9.13	Eye na꞉tapo pesepidoloye omapla di dla himima. Pesepidolo itapo na꞉ta wua꞉ dla yu itiyapo himi i imalalo hallepe. 
GEN.9.14+GEN.9.15+GEN.9.16	Epapedeme pesepidolota wuala dulu dla ella natilipiye, na꞉tapo wua꞉ mate epame alinepi hapuloma mate dla yu itiyapo himi iye malamolowepo. Epedeme yútapo matle pasakalo ha꞉ha꞉lalo alisisi hapulomaye popotimolowa. 
GEN.9.17	Adipalati, pesepidolotapo na꞉ta yu itiyapo himi i ya꞉ ulu himili halapo,” diyo.
GEN.9.18+GEN.9.19	Nowa ya꞉ akimlala iwolotapo koa dulu tle u-ulapo matiyo. Yia꞉ hiye Sem, epo Ham epame Yapet. Amasiyama Hamye Keinan ya꞉ apo. Epedeme akimlala dapahatlope iwolotapo ta꞉lamo opa hapulomata puale sitali halapo.
GEN.9.20	Alotle Nowatapo osalo himpame gla꞉pi dlomoko emaiyo. 
GEN.9.21	Epame ya꞉ gla꞉pi dlomoko dala mate wain yú mita꞉pame depo yiyilamama aya dulu dla tidali siyapo elaiyo. 
GEN.9.22	Epalati Keinan ya꞉ a Hamta natipame Sem mate epo Yapet mate dla atlaiyo. 
GEN.9.23	Epalati Sem mate epo Yapet mateta yia꞉ ata tidali siyapo ellati natilala depame, tluka hame yia꞉ maka꞉ dla himme kawapo tuwame yia꞉ aye bopudiyo.
GEN.9.24	Nowa kawata yulita mo-pa꞉lati yelepo yami mosukulu hamale Hamta koko halë dalepame epo atlaiyo, 
GEN.9.25	“Wotiyalle kokotapo Keinan dla pulupe. Epame ya꞉tapo ya꞉ bapadulo dulu dla isili ikadepe dla asiyama pa꞉le oko halalo hallepe.” 
GEN.9.26	Epame ya꞉ matle epo atlaiyo, “Lod, Sem ya꞉ 
GEN.9.27	Epame Godtapo Yapet watle ta꞉la pato hamilipe. Epame Yapettapo Sem ya꞉ aya dla hallepe. Epalati Keinantapo yia꞉ yu dla salladepo sela꞉mama yia꞉ oko oplami hallepe.”
GEN.9.28	Yúta opa poyuli alotle Nowatapo 350 sokomoko halaiyo. 
GEN.9.29	Epedeme Nowatapo 950 sokomoko halepame powaiyo.
GEN.10.1	Nowa ya꞉ akimlala hiye Sem, epo Ham epo Yapet. Epapedeme yúta opa poyuli alotle opa dapahatlope iwolotapo akimlala hatitimaiyo.
GEN.10.2	Yapet ya꞉ akimlala hiye Goma, epo Magog, epo Madai, epo Yaban, epo Tubal, epo Mesek epame Tilas. 
GEN.10.3	Epalati Goma ya꞉ akimlala hiye Askenas, epo Lipat, epo Togama. 
GEN.10.4	Epalati Yaban ya꞉ akimlala hiye Elisa mate epo Talsis matepo. Epame Kitim so mate epo Lodanim so mateye Yaban ya꞉ mamadulopo.
GEN.10.5	Epedeme opa hapuloma iwoloye Yapet ya꞉ mamadulopo. Yia꞉tapo Mediteleniya kaula pili dla yia꞉ elele tle miyelo hutukuliyapo tame hala hala demtaiyo. Epame yia꞉ yu mape meyelope meyelope dle yuhamha꞉ha꞉mdiyo.
GEN.10.6	Epalati Ham ya꞉ akimlala hiye Kus, epo Mislaim, epo Put epame Keinan. 
GEN.10.7	Epalati Kus ya꞉ akimlala hiye Seba, epo Habila, epo Sabata, epo Lama epame Sabateka. Epalati Lama ya꞉ akimlala hiye Seba mate epo Dedan mate.
GEN.10.8	Kus ya꞉ mama haleye Nimlodpo. Nimlodtapo opahale dulu dla sikemte itiyamale oplami halaiyo. 
GEN.10.9	Epame ya꞉tapo 
GEN.10.10	Ka꞉yapa Nimlodtapo mo hapuloma iye omhalaiyo. Eye Babilonpo, epo Elekpo, epo Akadipo, epo Kalnepo. Mo hapuloma iye Babiloniya mo pato dulu dla hutiyeiyo. 
GEN.10.11	Epame ma etle Asiliya mo dla taiyo. Ya꞉ edla tame Niniba mo mate Lehobot Il mo mate epame Kala mo mate kotimaiyo. 
GEN.10.12	Ya꞉ matle Niniba mo ka꞉ epo Kala mo pato ka꞉ duka dla Lesen mo kestaiyo.
GEN.10.13	Epedeme Ham yami Mislaim ya꞉ mamaduloye ipo, Ludi sopo, epo Anam sopo, epo Lehab sopo, epo Naptu sopo, 
GEN.10.14	epo Patlus sopo, epo Kaslu sopo, epo Kaptoli sopo. Epedeme Pilisteya soye Kaslu so yia꞉ mamadulopo.
GEN.10.15	Epalati Ham yami Keinan ya꞉ mamaduloye ipo, Saidon sopo, epo Hitai sopo, 
GEN.10.16	epo Yebusi sopo, epo Amoli sopo, epo Gilgasi sopo, 
GEN.10.17	epo Hibai sopo, epo Alki sopo, epo Sini sopo, 
GEN.10.18	epo Albad sopo, epo Semali sopo, epo Hamat sopo. Epame alotle Keinan so elele hapuloma ewolotapo hutukuliyapo taiyo. 
GEN.10.19	Epedeme Keinan so ta꞉la sukuluye ipo elema. Saidon mo tle kotiyapo yame Gasa dla gudepo. Epo matle tame Sodom mo mate Gomola mo dla tame umapo. Epame ma etle tame Adama mo mate epo Seboim mo mate dla tame gudepo. Epame ma metle tame Lasa dla mosukulu gudepo.
GEN.10.20	Opa hapuloma iwoloye Ham ya꞉ mamadulopo. Yia꞉tapo mo meyelope meyelope dle dla ha꞉ha꞉mtamama yia꞉ yu mape meyelope meyelope dle yuhamha꞉ha꞉iyo.
GEN.10.21	Yapet ya꞉ bapa Semtapo akimlala hatitimaiyo. Epele dulu dla oplami Ebel
GEN.10.22	Epalati Sem ya꞉ akimlalaye ipo, Elam, epo Asul, epo Alpaksad, epo Lud, epame Alam.
GEN.10.23	Epalati Alam ya꞉ akimlalaye ipo, Us, epo Hul, epo Getel epame Mesek.
GEN.10.24	Epalati Alpaksad yamiye Sala, epalati Sala yamiye Ebel.
GEN.10.25	Ebelta akimlala dapiyamte hatitimaiyo, maseyemala hale hiye Peleg.
GEN.10.26	Yokotan ya꞉ akimlalaye ipo, Almodad, epo Selep, epo Hasamabe, epo Yela, 
GEN.10.27	epo Hadolam, epo Usal, epo Dikila, 
GEN.10.28	epo Obal, epo Abimael, epo Seba, 
GEN.10.29	epo Opil, epo Habila, epo mosukuluye Yobabpo. Epedeme opa hapuloma iwoloye Yokotan ya꞉ akimlalapo. 
GEN.10.30	Yia꞉ta ha꞉ha꞉le moye Mesa mo tle kotiyapo tame salita matlalo tiyama tamali di Sepa mo dla tame gudiyo.
GEN.10.31	Opa hapuloma iwoloye Sem ya꞉ mamadulopo. Yia꞉tapo mo meyelope meyelope dle dla ha꞉ha꞉mtamama yia꞉ yu mape meyelope meyelope dle yu hamha꞉ha꞉iyo.
GEN.10.32	Elele hapuloma iye Nowa ya꞉ akimlala tle puaiyo. Epame yúta opa poyuli alotle opa iwolotapo ta꞉lamo so hapuloma yia꞉ sitali halapo.
GEN.11.1	Ka꞉yapa ta꞉lamo pato hema opa hapulomatapo yu hatlo mate yuhamha꞉ha꞉iyo. 
GEN.11.2	Epame opata ha꞉ha꞉mtamama toko salita matlalo tiyama dla gilidetepo wou mo ka꞉dle Babiloniya mo dla natipame ma edla tame ha꞉ha꞉iyo. 
GEN.11.3+GEN.11.4	Yia꞉ edla tame ha꞉ha꞉mama yia꞉skamu yia꞉ dulu dla epo atlamyaiyo, “Di mo pato kestapame aya patoto halomolowa. Epame di God umuluwedeme aya pato selemalli hatlo hame hetlowa. Epedeme dita mo edla kestepo aya halomelepiye, di ewala mate pohalomolowa, amasiyama sokope tokeyamale mate dukupo blik ewala
GEN.11.5	Amasiyama 
GEN.11.6	ta malame natipo epo atlaiyo, “Opa iwoloye hatlopepo, epame yu hatlo yuhamsiyamapo. Epame yia꞉ta koko ha iye ala ka꞉yapa kotiyamama amma. Epame ma alotle yia꞉ta solotamale koko patoto me-halomalala. 
GEN.11.7	Epapedeme di tulume ha꞉ha꞉mama yia꞉ta yu hatlo yuhamsiyamaye duka hutukuliyapo mellowa, yia꞉ta ya꞉mkale yu asiyama pomala dallalo weke asiyama pomala dallalo weke demsiyamelepo depame,” diyo.
GEN.11.8+GEN.11.9	Epapedeme 
GEN.11.10	Yúta opa poyuli alotle sokomoko dapiyamte polollati Semye 100 sokomoko umaiyo. Oloma edla ya꞉lluta maseyemala hamaiyo, ya꞉ hiye Alpaksad. 
GEN.11.11	Epo Alpaksad hamale alotle Semtapo 500 sokomoko dulu dla halemama akimlala opi mate utukaka opi mate hatitimaiyo.
GEN.11.12	Epalati Alpaksadtapo 35 sokomoko halepo gudepame ya꞉lluta maseyemala hamaiyo, ya꞉ hiye Sala. 
GEN.11.13	Epame Sala hamale alotle Alpaksadta 403 sokomoko dulu dla halemama akimlala opi mate epo utukaka opi mate hatitimaiyo.
GEN.11.14	Epalati Salatapo 30 sokomoko halepo gudepame ya꞉lluta maseyemala hamaiyo, ya꞉ hiye Ebel. 
GEN.11.15	Epame Ebel hamale alotle Salata 403 sokomoko dulu dla halemama akimlala opi mate epo utukaka opi mate hatitimaiyo.
GEN.11.16	Epalati Ebeltapo 34 sokomoko halepo gudepame ya꞉lluta maseyemala hamaiyo, ya꞉ hiye Peleg. 
GEN.11.17	Epame Peleg hamale alotle Ebelta 430 sokomoko dulu dla halemama akimlala opi mate epo utukaka opi mate hatitimaiyo.
GEN.11.18	Epalati Pelegtapo 30 sokomoko halepo gudepame ya꞉lluta maseyemala hamaiyo, ya꞉ hiye Leu. 
GEN.11.19	Epame Leu hamale alotle Pelegta 209 sokomoko dulu dla halemama akimlala opi mate epo utukaka opi mate hatitimaiyo.
GEN.11.20	Epalati Leutapo 32 sokomoko halepo gudepame ya꞉lluta maseyemala hamaiyo, ya꞉ hiye Selug. 
GEN.11.21	Epame Selug hamale alotle Leuta sokomoko 207 dulu dla halemama akimlala opi mate epo utukaka opi mate hatitimaiyo.
GEN.11.22	Epalati Selugtapo 30 sokomoko halepo gudepame ya꞉lluta maseyemala hamaiyo, ya꞉ hiye Nahol. 
GEN.11.23	Epame Nahol hamale alotle Selugta 200 sokomoko dulu dla halemama akimlala opi mate epo utukaka opi mate hatitimaiyo.
GEN.11.24	Epalati Naholtapo 29 sokomoko halepo gudepame ya꞉lluta maseyemala hamaiyo, ya꞉ hiye Tela. 
GEN.11.25	Epame Tela hamale alotle Naholta 119 sokomoko dulu dla halemama akimlala opi mate epo utukaka opi mate hatitimaiyo.
GEN.11.26	Epalati Telatapo sokomoko 70 halepo gudepame akimlala dapahatlope hatitimaiyo, yia꞉ hiye A꞉iblam, epo Nahol, epame Halan.
GEN.11.27	Tela ya꞉ akimlalaye A꞉iblam, epo Nahol, epame Halan. Halan yamiye Lotpo. 
GEN.11.28	Epame Halan ya꞉ a Tela ala me-hallati Halan mo-powaiyo, Kaldeya mo pato dulu dla ya꞉ mo ikadepe Ul dla. 
GEN.11.29+GEN.11.30	A꞉iblam mate epo ya꞉ ei Nahol mate wola꞉ halomaiyo. A꞉iblam ya꞉llu hiye Selai. Amasiyama Selaiye hamkapi polaiyo. Epalati Nahol ya꞉lluye Halan yoti Milkapo. Milka ya꞉ bapaye Iskapo. 
GEN.11.31	Epeleye Telatapo yami A꞉iblam mate epo ya꞉ moma Selai mate epo Halan yami Lot mate elepame Ul mo tle alikili dla woyapame ma Keinan mo dla tamalaiyo. Amasiyama yia꞉ Keinan mo dla tamalemama ma mo pato hale Halan mo dla tame woyapame medla ha꞉ha꞉iyo. 
GEN.11.32	Telata 205 sokomoko halepame Halan mo medla powaiyo.
GEN.12.2+GEN.12.3	Epame na꞉tapo wa꞉ gademama wa꞉ mamaduloye ma a꞉ma pasatepo mellowepo. Epame wa꞉ hi mape pato dlowepo. Epapele dulu dla wa꞉ dla siyele hamilalo so dla asiyama na꞉ta yia꞉ dla siyele hamilowepo. Epame wa꞉ dla wotiyalle hamilalo so dla asiyama na꞉tapo yia꞉ dla wotiyalle hamilowepo. Epapedeme wa꞉ tle ta꞉la so hapuloma dla siyele hampulupe.”
GEN.12.4+GEN.12.5	Epalati A꞉iblamta 75 sokomoko hallati 
GEN.12.6	Yia꞉ Keinan mo dulu edla siyamama Sekem mo dla puame woyamaiyo. Epame aiyalma dali Mole mo dla hallalo dla tame woyamaiyo. Oloma edla Keinan soye ala mo medla me-ha꞉ha꞉iyo. 
GEN.12.7	Epalati 
GEN.12.8	Ya꞉ Sekem mo medla halepame matle donapi mo dla hetame Betel moye salita tullalo tiyama dla pomele epo Ai moye salita matlalo tiyama dla pomele depame duka dla kimiyo. Edla mape 
GEN.12.9	Epame ma mo e saliyome tamama Negeb mo dla tuluiyo.
GEN.12.10	Oloma edla Keinan mo dla dlowe alisisita pa꞉lati A꞉iblamta ma Isip mo dla hallowedeme tuluiyo. 
GEN.12.11	Epame yia꞉ Isip mo dla mo-ulatuluwedeme ha꞉ha꞉mama A꞉iblamta ya꞉llu Selai watle epo atlaiyo, “Wa꞉ye a꞉ya pta ka꞉pi. 
GEN.12.12	Epapedeme dita Isip mo dla tulupiye, mo sota di natipame ipo atlowe sepena, ‘A꞉ya iye ya꞉llupo,’ depame na꞉ye yummama wa꞉ tlo pomellowe sepena. 
GEN.12.13	Epedeme wa꞉ta asiyama yia꞉ watle atlemama wa꞉ye notumala dlepe. Wa꞉ta epapelepiye, yia꞉ta wa꞉ natimama na꞉ye poyumuluwa,” diyo. 
GEN.12.14	Epedeme yia꞉ta Isip mo dla puame woyamalati Isip sota Selai natipame a꞉ya pta ka꞉pi diyo. 
GEN.12.15	Epame Isip mo dokopala oplami Pelo ya꞉ oko sotapo Selai natipame ma tame yia꞉ dokopala oplami Pelo watle atlemama a꞉ya sikemte ka꞉dena depame ma ya꞉ hala dla sempuaiyo. 
GEN.12.16	Epalati dokopala oplami Pelotapo semte Selaiye A꞉iblam yotimala tepo depame A꞉iblamye woloma gadiyo. Epammama ya꞉ watle sipi aliya mate epo bulumkiyawa aliya mate epo donki aliya molalatalo mate patetalo mate epame oko so opa mate wola꞉ mate epo ka꞉mol aliya mate hohopo iyo. 
GEN.12.17	Amasiyama A꞉iblam ya꞉llu Selai koko tle Pelo mate epo ya꞉ oko so mate dla 
GEN.12.18	Epalati Pelotapo A꞉iblam watle hihimama epo atlaiyo, “Wa꞉ apa kokoye na꞉ watle hauwa? Wa꞉ adipalati na꞉ watle Selaiye na꞉ a꞉ya pe-epalalo wekuwa? 
GEN.12.19	Epame wa꞉ adipalati Selaiye notumala duwa? Wa꞉ta epo atluwa koko tle na꞉tapo ya꞉ halowedeme na꞉ aya dla semtauwapo. Epapedeme wa꞉ a꞉ya ipo. Wa꞉ ya꞉ sepame ma-tane,” diyo. 
GEN.12.20	Epame Pelotapo A꞉iblam koko dla ya꞉ opa watle itiyamale yu atlati yia꞉tapo A꞉iblam mate ya꞉llu mate dla ma-taiya diyo. Epalati yia꞉tapo yia꞉ alisisi hapuloma mate ma-tamalaiyo.
GEN.13.1	Epedeme A꞉iblam mate epo ya꞉llu Selai mate yia꞉ alisisi hapuloma halopo Isip mo saliyome ma Negeb mo dla ilamtaiyo. Epalati ya꞉ aluwa Lotta ya꞉ mate taiyo. 
GEN.13.2	Epele dulu dla A꞉iblamtapo alisisi pasatale halemama alinepi mate epo mani mate sikemte pasatale oplami halaiyo. 
GEN.13.3	Epame A꞉iblamtapo Negeb mo tle ma Betel mo dla umula tamama duka dla kimpo halepo ma a꞉ma tademtaiyo. Epammtamama tame ya꞉ta ka꞉yapa kimili mo Betel ka꞉ epo Ai ka꞉ duka dla woyapo kimiyo. 
GEN.13.4	Epapeleye mo hema ya꞉tapo ka꞉yapa puame kimpo halemama God dla alinepi poyupo ha꞉lalo tile haiyo. Epame ya꞉ ma mo hatlo hema puame 
GEN.13.5	Oloma hema Lottapo ya꞉ yimlala mate epo ya꞉ oko so mate epo aliya halo hapuloma mate me-eleme A꞉iblam mate sela꞉iyo. 
GEN.13.6	Amasiyama yia꞉ta madipatata yia꞉ halo hapuloma mate ha꞉ha꞉le dulu dla mota yia꞉ mate po-ala꞉iyo. 
GEN.13.7	Epalati A꞉iblam ya꞉ aliya halo omha꞉ha꞉lalo so mate epo Lot ya꞉ aliya halo omha꞉ha꞉lalo so mate ta꞉la yilo yu topuloliyo. Amasiyama oloma edla yia꞉ta ha꞉ha꞉le mo dla Keinan so mate epo Pelisi so mate me-ha꞉ha꞉iyo. 
GEN.13.8	Epeleye A꞉iblamta Lot watle epo atlaiyo, “Wa꞉ mate na꞉ mate ta꞉la yilo yu dlomha꞉ha꞉lowe poka꞉dena. Epame wa꞉ opa mate epo na꞉ opa mate yu dlomha꞉ha꞉lowe poka꞉dena. Adipalati, di asiya hatlopepo. 
GEN.13.9	Ta꞉la hatlo ita pe-elasema. Epedeme di duka gladepame meyelo ta meyelo ta dlowe ka꞉pi. Epedeme mo pato hema wa꞉ta solotamale hadima ellepie, wa꞉ mo e halepe. Epele dulu dla wa꞉ta dowala tiyama dla telepiye, na꞉ asiyama weke tiyama dla tlowepo. Amasiyama wa꞉ta weke tiyama dla telepiye, na꞉ asiyama dowala tiyama dla tlowepo,” diyo.
GEN.13.10	Epalati Lotta mo halowedeme toko Yoden aloma pili dla natitepo, wou mo sikemte ka꞉dle natiyo. Epame ya꞉ta mo e natili dla mo eye semte 
GEN.13.11	Epedeme Lottapo Yoden aloma pili dla mo halowe solotamale atlaiyo. Epapedeme yia꞉ta madipatatapo duka gladepame meyelo ma-ta meyelo ma-ta diyo. 
GEN.13.12	Epalati A꞉iblamtapo Keinan mo medla me-halaiyo. Epalati Lottapo Yoden aloma pili dla Sodom mo pato mateka꞉pi dla kimtimsela꞉mdiyo. 
GEN.13.13	Amasiyama Sodom sotapo 
GEN.13.14	Epapeleye Lotta A꞉iblam saliyome ma-tlati 
GEN.13.15	Ta꞉la pato wa꞉ta nati iye na꞉ta wa꞉ mate epo wa꞉ mamadulo mate dla hamilowepo. Ta꞉la itapo kokó halepo ha꞉ha꞉le dulu dla wua꞉lë hallepe. 
GEN.13.16	Epame na꞉tapo wa꞉ mamaduloye sikemte pasatepo mellowepo. Epalati yia꞉tapo asila some sikemte pasatamama opata sesa꞉loweye po-ala꞉lowa. 
GEN.13.17	Wa꞉ wata sila꞉tipame mo tlamtane. Adipalati, na꞉ mo pato iye wa꞉ watle hamima.” 
GEN.13.18	Epalati A꞉iblamtapo ya꞉ kimna꞉ya dokostepo ma Heblon mo dla tame dali patoto polli Mamele mo mateka꞉pi dla kimpame 
GEN.14.1	Oloma edla Kedolamelta Elam mo dla dokopala oplami halaiyo. Epalati Amlapelta Babiloniya mo dla dokopala oplami halaiyo. Epalati Aliyokta Elasa mo dla dokopala oplami halaiyo. Epalati Tidalta Goim mo dla dokopala oplami halaiyo. 
GEN.14.2	Dokopala so iwolotapo dokopala so opi do supulastale so mate opahale dlowedeme alumaiyo. Epedeme dokopala so do supulastale ewoloye ipo, Belaye Sodom mo dokopala oplamipo, epalati Bilsaye Gomola mo dokopala oplamipo, epalati Sinabye Adama mo dokopala oplamipo, epalati Semebelye Seboim mo dokopala oplamipo, epame dokopala oplami hale Bela mo dla hallalo. Bela mo i ya꞉ hi haleye Sowa demdepo. 
GEN.14.3+GEN.14.4	Dokopala so do supulastale iwoloye Kedolameltapo sokomoko 12 dulu dla yia꞉ye dokopala depo halemama omhalaiyo. Epame 13 sokomoko mo-umulati dokopala so ewolota ya꞉ye ma-aliyo. Epapalati yia꞉tapo Kedolamel mate opahale dlowedeme yia꞉ opa eleme puame Sidim pili dla alumaiyo. Mo iye wata Solo Kaulata gola꞉depo halapo.
GEN.14.5	Epame 14 sokomoko umulati Kedolamel mate epo ya꞉ mate tamalale dokopala so mate tame Lepa so, Astelot Kanaim mo dla ha꞉ha꞉laloye kotlopame ma Susi so, Ham mo dla ha꞉ha꞉laloye kotlomaiyo. Epame yia꞉ ma tame Emi so, Sabe Kiliyataim mo dla ha꞉ha꞉laloye kotlomaiyo. 
GEN.14.6	Epame matle Seil tamali di dla ha꞉ha꞉lalo Holi soye posalemtame dalupa mo mateka꞉pi dla hallalo El Palan mo dla gudiyo. 
GEN.14.7	Epame yia꞉ ma i-ilapo puame ma En Mispa mo dla taiyo. Mo i ya꞉ hi haleye Kadespo. Epame yia꞉ mo edla puame Amalek so yia꞉ moye kolahaiyo. Epame yia꞉ ma tame Amoli so, Hasason Tama mo dla ha꞉ha꞉laloye kotlopame yia꞉ ta꞉laye kolahaiyo. Epame yia꞉ matle Sidim pili dla puame alumaiyo.
GEN.14.8	Epame yia꞉ edla puame alumalati dokopala so do supulastaletapo yia꞉ mate nalatimolowedeme dinapiyo. Dokopala so do supulastale ewoloye ipo, Sodom mo dokopala oplami, epo Gomola mo dokopala oplami, epo Adama mo dokopala oplami, epo Seboim mo dokopala oplami, epo Bela mo dokopala oplami. 
GEN.14.9	Epele dulu dla Kedolamel wolotapo dokopala so do supulastale mate nalatimaiyo. 
GEN.14.10	Yia꞉ta nalatimale dulu dla Kedolamel wolota itiyamalati Sodom so mate epo Gomola so mate potamama opa opiye munamu dulu dla tutula꞉mtaiyo. Epalati opa opi tlo tamali di dla pehetaiyo. 
GEN.14.11+GEN.14.12	Epalati Kedolamel wolota puame Sodom mo mate Gomola mo mate kotlopame opa mate wola꞉ mate elemtamama A꞉iblam ya꞉ aluwa Lot mate hamamtaiyo. Adipalati, ya꞉ ma Sodom mo medla halaiyo.
GEN.14.13	Epame oloma edla hemele teletale oplami haletapo puame Hibulu oplami A꞉iblam watle koko woyamale hapulomaye atlamaiyo. Oloma edla A꞉iblamye Amoli oplami Mamele ya꞉ dali patoto mateka꞉pi dla halaiyo. Epeleye Mamele mate epo ya꞉ eidulo Esko mate Ane mate A꞉iblamye sikemte gademha꞉ha꞉mdiyo. 
