GEN.1.1	Adikeh la Tsingrangbanü ninglih thricho. 
GEN.10.19	Ko Kananrü lurü tsü Sidon lanü Gerar lahpi Gaza chii ko Sodom, Gomora, Adma ko Zeboim lahpi Lasha chiinü licho. 
GEN.10.20	Ham chahnü trahchocho ahung papa, limih papa ko yu papa cho lirü tsü hiri licho.
GEN.10.21	Jafet amung Shem tsü Ibrirü apüm jümürü thsacho. 
GEN.10.22	Shem tsurüti: Elam, Ashur, Arphaxad, Lud ko Aram licho. 
GEN.10.23	Aram chahnü trahchocho tsü Uz, Hul, Gether ko Meshek. 
GEN.10.24	Arphaxad tsü Shela au ko Shela tsü Eber au licho. 
GEN.10.25	Eber atsurü anyüh licho: Khüdu aneng Peleg dsicho tunüo abi chichah limih nyitsarüti changnahcho; ko akhüu neng Joktan licho. 
GEN.10.26	Joktan chahnü trahchochoti: Almoda, Shelef, Hazarmaveth, Jerah, 
GEN.10.27	Hadoram, Uzal, Dikla, 
GEN.10.28	Obal, Abimael, Sheba, 
GEN.10.29	Ophir, Havila ko Jobab. Arüh apüm tsü Joktan tsurüti licho. 
GEN.10.30	Arüh liba lih tsü Mesha lanü nyüchüro azong limih lahpi Sefar chii licho. 
GEN.10.31	Shem chahnü trahchocho ahung papa, limih papa ko yu papa cho lirü tsü hiri licho.
GEN.10.32	Nyitsarü hiri atümung Noa chahnü ayucho yucho palu nah lanü trahchocho lile. Hiri chahnü kihmülüm khanglang limih jeng yuchoti trahsho tsicho.
GEN.11.1	Adikeh la lihküp la nyitsarü atümungnü yu khüdu du müjang chocho. 
GEN.11.2	Ko arüh nyüchürolang rümchi wüde, arühnü Babylon lih la Shinar ngah ngucho ko hütsüla licho. 
GEN.11.3	Ko arüh-e arüh-rü chota yocho, “Rung! Ihsanü alihnü lihtah lung külüpnung.” Hütsüta arühnü lung mülih lihtah lung ko arüh münakehtasohnung aji bichicho. 
GEN.11.4	Hütsüpü arühnü yocho, “Ihsanü Ihsa neng yohpünung, ko limih jeng müshupishuzanung nengdang yangdi khüdu külüp rangrangkuh khüdu ning chii thsanung.”
GEN.11.5	Ta 
GEN.11.6	Ko Abinü yocho, “Ade hiri nyitsarü khüdu ko yu khüdu du chole; ko hi arühnü lümcho nguchinung adikehrüe. Tunyah mülipü arühnü arüh nguchinyücho nguchichehnung. 
GEN.11.7	Ihsanü jowonung ko arüh-e arührü yu münyichehtasohnung arüh yu charütajünung.” 
GEN.11.8	Hütsüta 
GEN.11.9	Hiba yangdi te Babylon pü dsicho, tunüo hütsüla 
GEN.11.10	Shem chahnü trahchocho tsü hiri: Kihmülüm khanglang kang anyüh lipü, Shem kang 100 azirü thsade atsurü khüdu Arpakshad licho. 
GEN.11.11	Hütsü khanglang abi kang 500 licho ko atsurü apasü licho.
GEN.11.12	Arpakshad kang 35 azirü thsade, atsurü khüdu Shela licho. 
GEN.11.13	Hütsü khanglang abi kang 403 licho ko atsurü apasü licho.
GEN.11.14	Shela kang 30 thsade atsurü Eber licho. 
GEN.11.15	Hütsü khanglang abi kang 403 licho ko abi atsurüti apasü licho.
GEN.11.16	Eber kang 34 thsade atsurü Peleg licho. 
GEN.11.17	Hütsü khanglang abi kang 430 licho ko atsurü apasü licho.
GEN.11.18	Peleg kang 30 thsade atsurü Reu licho. 
GEN.11.19	Hütsü khanglang abi kang 209 licho ko atsurü apasü licho.
GEN.11.20	Reu kang 32 thsade atsurü Serug licho. 
GEN.11.21	Hütsü khanglang abi kang 207 licho ko atsurü apasü licho.
GEN.11.22	Serug kang 30 thsade atsurü Nahor licho. 
GEN.11.23	Hütsü khanglang abi kang 200 licho ko atsurü apasü licho.
GEN.11.24	Nahor kang 29 thsade atsurü Tera licho. 
GEN.11.25	Hütsü khanglang abi kang 119 licho ko atsurü apasü licho.
GEN.11.26	Tera kang 70 azirü thsapü, abi Abram, Nahor ko Haran au kangcho.
GEN.11.27	Abram, Nahor, ko Haran au Tera chahnü trahchochoti hiri: Haran tsü Lot au thsacho, 
GEN.11.28	Haran tsü au Tera müsüe apu suro lih Babylon, Ur yangdi la sücho. 
GEN.11.29	Abramnü Sarai khyücho ko Nahornü Haran tsulatpü Milka khyücho; Haran tsü Iska au sü thsacho. 
GEN.11.30	Sarainü tsuzarü müthsacho.
GEN.11.31	Teranü atsudhre Abram, Haran tsurü ashamtsurü Lot, atsunyahtpü Sarai, Abram nitpü abi yola nüpü Babylon la Ur yangdi pehjüpü Kanan lih yang shemüsucho. Abramnü Haran chii wücho ko hütsüla licho. 
GEN.11.32	Hütsüla Tera kang 205 thsade sücho.
GEN.12.2	Ko Ihnü nü khyang khütang trahchosohnung ko yucho arangcheh khüdu kangsohnung; nü neng disohnung ko nüh amüwajüba kangsohnung Ihnü nüh müwajünung.
GEN.12.3	“Nüh müwajürü Ihnü müwajünung,
GEN.12.3	Ta nüh chokehcholarü Ihnü chokehcholanung.
GEN.12.3	Ko nüh khu Ihnü yucho apüm müwajünung.”
GEN.12.4	Abram kang nyührepü münga thsade, 
GEN.12.5	Abi yola anitpü Sarai, ani tsurü Lot ko akuthsi apüm ko Haran la lide nübülungcho kulirü atümung nüpü Kanan lang shemüsucho
GEN.12.6	Khode arüh Kanan chihcho, Abramnü limih tsü bong dhengnü ro Shekem müdüm More la liba amüsa langsing chii rocho. Hütsütade hütsüba lih la tsü Kananrü lii yacho. 
GEN.12.7	 Ko 
GEN.12.8	Hütsüpü abinü kihjinglang azong lih Bethel yangdi nyüchüro lang jowücho ko nyüzüdulang Bethel ko nyüchürolang Ai nyüh kahla shükuh thsacho. Hütsüla sü abinü bholu khüdu külüpcho ko 
GEN.12.9	Hütsüta abinü Kanan kihjinglang müdüm khüdu lanü khüdu shehmüi wücho.
GEN.12.10	Ta Kanan la yangkong licho ko hütsüba yangkong tsü dirachonü azachah shulüm Ijip lang alinung jowücho. 
GEN.12.11	Ijip lurüh khunung thsade, abinü anitpü Sarai te yocho, “Nüh atsah atsa khingkurüe. 
GEN.12.12	Ijiprünü nüh ngude, arühnü nüh I nitpüepü lüm Ih müpsehnung ko nüh khyünung. 
GEN.12.13	 Arüh te nüh I nirüepü young; hütsüta khang nü nengdangnü arühnü Ih mümüpsehnung ko tsa bichinung.” 
GEN.12.14	Khode abi Ijip chihcho, Ijiprünü anitpü tsü dee tsa ngucho. 
GEN.12.15	Khode yangthsaba thsazirünü abükyü tsü ngucho, yangthsaba te abükyü tsacho tsü yocho; achotsü abükyü tsü Yangthsaba kuh lang nowücho. 
GEN.12.16	Abükyü khyanglangnü Yangthsabanü Abram tsa bichicho ko abi khyang san ko miza, misü ko gadu, kulirü ko ut hiri jücho.
GEN.12.17	Ta Yangthsabanü Sarai khyücho khu 
GEN.12.18	Achotsü Yangthsabanü Abram dsiro abi te tsingdhengcho, “Nühnü I chah hi tu nguchicho? Tuepü nühnü abükyü tsü nü nitpüepü I te müyocho? 
GEN.12.19	Tuepü nü niepü yocho ko I nitpü thsanung khyüsohcho? Nü nitpü hila lile; abükyü khyüng ko tsipehng!” 
GEN.12.20	Yangthsabanü anyitsarü khyang yuzeng jücho ko arühnü arüh lih lanü Abram ko anitpü ko abi kuthsi apüm zeh iipehcho.
GEN.13.1	Abramnü Ijip lanü Negev lang anitpü ko akuthsi apüm hipü tuwücho ko Lot abi yola wücho. 
GEN.13.2	Abram akang kuthsi, hon ko taripi la dee alirü kangcho. 
GEN.13.3	Hütsüpü abinü Negev pehjüpü Bethel lang müdüm müdüm la lii wücho. Abinü akhulang shükuh thsaba Bethel e Ai nyüh kahla müdüm tsü ro chihcho 
GEN.13.4	ko abinü hütsüla bholu khüdu külüpcho ko abinü 
GEN.13.5	Lot-sü san, miza ko misü ko abi kukhi ko kulirüti licho. 
GEN.13.6	Anyüh kanglungrü drongra licho ko arüh lamungchah kükyo mülichonü anyüh müjang linung mütsacho. 
GEN.13.7	Ko Abram e Lot nyüh Kanglungrü nyahrü yübütacho. Hütsütade yingcheh Kananrü ko Perizrü hütsüla licho.
GEN.13.8	Achotsü Abramnü Lot te yocho, “Ihjü mahkhang Ihjü kanglungrü nyahrü kahla müyübütabae, tunüo Ihjü jünirüe. 
GEN.13.9	Hütsüeko Ihjü zanung. Nühnü mürucho alih throchehng. Nüh khüulang wüng, ko Ih akhüulang wünung.”
GEN.13.10	Lotnü dhengmükangcho ko Jordan ngah apüm, Zoar lang wüba lang tsü 
GEN.13.11	Hütsüta Lotnü Jordan ngah apüm throcho ko nyüchüro lahpi shemüsu tsicho. Hütsüta anyüh tsü zacho. 
GEN.13.12	Abram Kanan lih la licho, ko Lot angah yangditi yola licho ko Sodom amünyeh abinü shükuh thsacho. 
GEN.13.13	Sodom la nyitsarütinü amükhyu ko 
GEN.13.14	Lot tsiko khanglang, 
GEN.13.15	 Nühnü nguba lih hi apüm nüh ko nü shümtsurü khyang jünung ko hütsü lede nü yo thsanung. 
GEN.13.16	Ihnü nü majüh alih lihpi roh-i kangsohnung; ko nyüh khüdunü alih lihpi khidhengchehkhang, nü majühsü khidhengchehnung. 
GEN.13.17	Ade, wüng ko Ihnü nü khyang jüba lih tsü jücho dheng.” 
GEN.13.18	Achotsü Abramnü ashükuh lohmüinü wü Hebron la Mamre yo langsing arangcheh shündhün licho, ko hütsüla abinü 
GEN.14.1	Yangthsarü müyü, Babylon Yangthsaba Amrafel, Ellasar Yangthsaba Ariok, Elam Yangthsaba Kedorlaomer ko Goiim Yangthsaba Tidalnü, 
GEN.14.2	aparü yangthsarü: Sodom Yangthsaba Bera, Gomora Yangthsaba Birsha, Adma Yangthsaba Shina, Zeboim Yangthsaba Shemaber ko Bela (mahkhang Zoar) yangthsaba arüh münga nyüm khatanung wücho. 
GEN.14.3	Hiri Yangthsarü münganü Siddim ngah la tsungphung khüdu kangcho. (Siddim tsü ade Asü kihdi.) 
GEN.14.4	Arüh tsü Kedorlaomer pohki kang dhüre-anyüh licho, ta kang dhüre-asangu lalü arühnü abi nyüm yacho. 
GEN.14.5	Kang dhüre-müyüu la, Kedorlaomer ko abi te tsungphung khüdu thsarü yangthsarütinü Asteroth Karnaim la Refaim, Ham la Zuzim, Kiriathaim ngah la Emim, 
GEN.14.6	ko Edom zong la Hor-rü, lipilih achangka Elparan chii iiwücho. 
GEN.14.7	Hütsüpü arühnü Kadesh (hütsütade Enmishpat) lang mükangmüla thali rocho. Arühnü Amalekrü lih apüm kohchehcho ko Hazazon Tamar la lirü Amor-rü kohchehcho.
GEN.14.8	Hütsütade Sodom, Gomora, Adma, Zeboim ko Bela la yangthsarütinü Siddim la khatade 
GEN.14.9	Elam, Goiim, Babylon ko Ellasar la yangthsarüti müyü nyüm yangthsarü münganü khatacho. 
GEN.14.10	Angah tsü shukuh zengnü jeng licho ko Sodom e Gomora yangthsarü khata la tsünü rang tside hütsüri shukuh la tsü dhrümyohcho; ta aparü yangthsarü asanglü azonglang tsü tsicheh tsicho. 
GEN.14.11	Yangthsarü müyü tsünü Sodom e Gomora la tsü tsuyongba mii zeh lüpcho khyüpü tsipehcho. 
GEN.14.12	Abram ani tsurü Lot Sodom la licho, achotsü arühnü apu ko akuthsi apüm hitsicho.
GEN.14.13	Ta nyüh khüdu tsicheh ro Ibrirü Abram, sü Amor-rü Mamre yo langsing shündhün licho, abi te yocho. Mamre ko anirüti Eshkol ko Aner-rü tsü Abram te kehta licho. 
GEN.14.14	Khode Abramnü ani tsurü rang tsiko pü yuchicho, abinü rothsarü atümungnü 318 dsibülungcho ko Dan chii yangthsarü müyü tsü iiwücho. 
GEN.14.15	Hütsüla abinü abi nyitsarüti amülung-mülung changnahcho, ko arorüh tsü amala becho ko arüh kohchehcho. Abinü arüh Damaskas kihku lahpi Hobah chii iiwücho, 
GEN.14.16	ko kengcho tsiba kohro tsü thali khyücho. Abinü ani tsurü Lot, abi kuthsi ko khingkurü ko aparü arang tsirü zeh nüli rocho.
GEN.14.17	Abramnü Kedorlaomer ko aparü yangthsarüti kohpü thalide, Sodom Yangthsabanü abi mütohnung Shaveh Ngah lang wücho. (Yangthsaba Ngah püsü dsicho.) 
GEN.14.18	Ko Salem la Yangthsaba ko Amichahba Tsingrang bebürü Melkizedeknü hümthse ko yongkha hiro, 
GEN.14.19	abi müwajücho ko yocho, “Ning ko alih külüpba Amichahba Tsingrangnü Abram müwajüng! 
GEN.14.20	Amichahba Tsingrang, sünü nü khyang akoh jücho, abi seing!” Ko Abramnü Melkizedek khyang abinü kengchocho apüm lanü dhüre nohlüm jücho.
GEN.14.21	Sodom Yangthsabanü Abram te yocho, “Akengchocho tsü nüh khyüng, ta I khyang I müyurü atümung thali jüng.”
GEN.14.22	Abramnü lalingcho, “Ihnü ninglih külüpba Amichahba Tsingrang, 
GEN.14.23	Ihnü nü yo she chang khüdu mii mahkhang jingkhüm yo khüdu mii mükhyünung. Hütsünü du nühnü khodesü Ihnü Abram alirü kangsohchoe pü müchonung. 
GEN.14.24	I nyitsarünü tsucho chah khu Ihnü Ipu nengdang tusü mükhyünung. Ta I yola würü Aner, Eshkol ko Mamre, arüh khyang arüh nohlüm khyüsohng.”
GEN.15.1	Hi khanglang, Abramnü müngucheh khüdu ngu 
GEN.15.2	Ta Abramnü lalingcho, “O 
GEN.15.3	Nühnü I khyang tsuzarü müjü, ko I yurü khüdunü I kuthsi khyünung.”
GEN.15.4	Hütsüde 
GEN.15.5	nü abi yanglong lang nücheh yocho, “Ning chah tsü kehchü dheng ko chenghiti tsü khidheng; nü chahnü hütsü toi trahchonung.”
GEN.15.6	 Abramnü 
GEN.15.7	Hütsüpü 
GEN.15.8	Ta Abramnü tsingdhengcho, “O Amichahba Tsingrang, Ihnü hütsü I yoepü khüta müdhenung?”
GEN.15.9	Abinü lalingcho, “I yanglang kang asang za misü athsühi khüdu, miza khüdu ko mizapung khüdu ko mümüdhrü khüdu ko kuh-mümüdhrü khüdu hirung.” 
GEN.15.10	Abramnü Tsingrangba yang kanglungrü tsü hirocho, ko phohrüp anyüh kangpü müshüm müshümta achung anyüh thsa yohpücho; ta abinü uzalü müphorüpcho. 
GEN.15.11	Ameti chah tsü hogon jürocho, ta Abramnü iipehcho.
GEN.15.12	 Nyü züduchide, Abram yüpsülah tsicho, ko aring adrü arangcheh abi chah rocho. 
GEN.15.14	 Ta arüh nyüpmüsehba yucho tsü Ihnü khingchinung, ko arüh hütsüba shupa limih pehjüde arühnü kuthsi adrong khyünung. 
GEN.15.15	Nüpusü dee kutsüp linung, tbachi sünung ko dhrürangnung. 
GEN.15.16	Ko arüh hila shang müyüu la thali ronung; tunüo Ihnü Amor-rü münyi müjengmülüm-ede arüh mütsepehnung.”
GEN.15.17	Khode nyü tsü züducho ko marürahcho, michang füh khüdu la mikhu ko mihmüle dhrongyengnü chürocho ko kanglungrü khanah yohpüba kahla tsünü tsicho. 
GEN.15.18	 Hütsü nyümong 
GEN.15.19	Kenrü, Kenizrü, Kadmonrü, 
GEN.15.20	Hit-rü, Perizrü, Refemrü, 
GEN.15.21	Amor-rü, Kananrü, Girgashrü ko Jebusrü lih apüm zeh jünung.”
GEN.16.1	Abram nitpü Sarainü abi khyang azarü münümüsujücho. Ta abükyü ayularü khüdu anengnü Hagar licho, 
GEN.16.2	achotsü abükyünü Abram te yocho, “
GEN.16.3	Hütsüta abükyünü anii khyang Hagar tsü ashüm thsanung jücho. (Hi Abram Kanan la kang dhüre lipü tikehcho). 
GEN.16.4	Abramnü Hagar te mükhongcho, ko abükyü fü müdeng kangcho. Khode abükyü fü müdeng pü abükyünü müdhecho, abükyünü müthseh kang Sarai mükhimüngucho.
GEN.16.5	Hütsüde Sarainü Abram te yocho, “Hagarnü Ih mükhimünguba hi nühnüe. Ihnü nü khyang abükyü jücho, ta abükyü fü müdengcho müdhe tinü, abinü Ih mükhimüngure. 
GEN.16.6	Abramnü lalingcho, “Dheng, abükyü tsü nü yuhlarüe, ko nü pohki lile; abi chah nühnü tu nguchinyüro nguchieng.” Hütsükolü Sarainü abükyü tsü dira mütsa bichichonü abükyünü rang tsicho.
GEN.16.7	Ko 
GEN.16.8	“Sarai yuhlatpü Hagar! Nüh khüdenü rocho ko khüde würo?”
GEN.16.8	Abükyünü lalingcho, “Ih I büdongtpü tenü rang tsire.”
GEN.16.9	Abinü yocho, “Thali wüng ko abükyü pohki lieng.” 
GEN.16.10	Hütsüpü abinü yocho, “Ihnü nü chahnü mükhilong trahchosohnung. 
GEN.16.11	Nühnü adhrerü zarü khüdu nümüsunung ko abi neng Ishmael dsijünung, tunüo 
GEN.16.12	Ta nü tsudhre tsü rangmü gadu kyo linung; abinü atümung nyümnung ko atümungnü abi nyümnung. Abi tsutpurü atümung tenü za linung.”
GEN.16.13	Hagarnü alüm la abükyü te tsingdhengcho, “Ihnü yuje Tsingrangba ngupü hütsü nengdang yonung lirü mah-o?” Hütsünü abükyü te chotaba Tsingrang te “Nguba Tsingrang” pü dsicho. 
GEN.16.14	Hütsü khu nyitsarünü Kadesh e Bered nyüh kahla kihkong te tsü “Beer Lahai Roi”, khüiba adüzü Ih Nguba “Akang Liba Kihkong” pü dsicho.
GEN.16.15	Hagarnü Abram khyang azarü khüdu nümüsujücho ko abinü Ishmael pü dsicho. 
GEN.16.16	Hütsütade Abram kang qurepü dhüroh azirü thsacho.
GEN.17.1	Abram kang kurepü düku azirü thsade, 
GEN.17.2	Ihnü nü te Ih azengtacho külüpnung ko nü chahnü khütang trahchosohnung.” 
GEN.17.3	Abramnü aromih alih la hapkehcho ko Tsingrangbanü yocho, 
GEN.17.4	“Ihnü nü te hiba azengtaba külüpre: Nüh yucho adrong au kangnung. 
GEN.17.5	 Adelü nü neng Abram müdsinung ta Abraham pü dsinung; tunüo Ihnü nüh yucho adrong au kangsohko.” 
GEN.17.6	Nü chahnü khütang trahchosohnung ko arüh khürü yangthsarü kangnung. Nü chahnü adrong trahchonung ko arühnü yuchoti kangnung.
GEN.17.7	 “Ihnü nü te ko nü chahnü trahchochoti te aronung shang apüm la azengtacho müchangkapü yohpünung. Ih nü Tsingrang ko nü chahnü trahchochoti Tsingrang thsanung. 
GEN.17.8	 Ihnü nüh ko nü chahnü trahchochoti khyang ade nührü shirüthsa liba lih hi jünung. Kanan lih apüm hi lede nengdang nü chahnü trahchochoti yo kangnung, ko Ih arüh Tsingrang thsanung.”
GEN.17.9	Tsingrangbanü Abraham te yocho, “Nühnüsü I te azengtaba hi yohpüng ko nü chahnü trahchochoti nüsü aronung shang apüm la yohpüng. 
GEN.17.10	 Nüh ko nü chahnü trahchochotinü yangthsa la ayah khüdu kyo nührü yola adhrerü apüm adhrerü yo aküp müjüp-pehnung nyengchoung. 
GEN.17.11+GEN.17.12	Ade tinü nührünü nyümong keh pide adhrerü akhunga atümung ko ayurü chahnü surocho ko shuparü tenü licho thsanye apüm aküp müjüp-pehng. Ko Ihjü kahla azengtaba amüdhethsa tsü hütsü linung. 
GEN.17.13	Nyitsarü müipi aküp müjüp-pehnung ko hiba shutsa la amüdhethsa tsü nü te Ih azengtaba tsü müchangka linung. 
GEN.17.14	Adhrerü, sü mümüjüp-pehnang abilü I nyitsarü roh-i mükhichinung, tunüo abinü I te azengtaba müyohbü.”
GEN.17.15	Tsingrangbanü Abraham te yocho, “Nühnü adelü nü nitpü te Sarai pü müdsinung ta abükyü te Sara pü dsinung. 
GEN.17.16	Ihnü abükyü müwajünung ko abükyü khu nü khyang azarü khüdu jünung. Ihnü abükyü müwajünung ko abükyü yuchoti atpa kangnung ko abükyü chahnü trahchocho lanü yangthsarü chüronung.”
GEN.17.17	Hütsüde Abrahamnü mükhurangnü münyücho ko apu te yocho, “Kang thsih khüdu ashirünü azarü lichehnung ang? Kang kure ashilarü Saranü azarü linung ang?” 
GEN.17.18	Abrahamnü Tsingrangba te yocho, “Ishmael uthring I thsiking khyürü kangsohng.”
GEN.17.19	Ta Tsingrangbanü yocho, “Nü nitpü Saranü nü khyang azarü khüdu nümüsujünung ko nühnü aneng Isak dsijünung. Ihnü abi te ko abi chahnü trahchochoti te I azengtacho yohpünung. Hiba hi müchangkaba azengtaba lile. 
GEN.17.20	Ishmael nengdang kihchicho Ihnü yuchiko, hütsüeko Ihnü abi müwajünung ko abi chahnü khütang trahchonung. Abi yangthsarü dhüre-anyüh au kangsohnung ko abi trah tsü Ihnü yucho arangcheh kangsohnung. 
GEN.17.21	Ta sekang hitade Sara khu suronung liba nü tsudhre Isak te Ihnü azengtaba yohpünung.” 
GEN.17.22	Khode Tsingrangbanü Abraham te chotakacho, Abinü abi pehjüpü tsicho.
GEN.17.23	Hütsüba nyümong tsünü Abrahamnü Tsingrangba yochonyi Ishmael ko arüh kuhla adhrerüecho atümung, arüh kuhla kulilarünü surocho ko alicho atümung müjüp-pehcho. 
GEN.17.24	Abraham müjüp-pehde abi kang kurepü düku 
GEN.17.25	ko Ishmael kang dhüre-asang thsacho. 
GEN.17.26	Anyüding ko kulirüti atümung zeh, 
GEN.17.27	nyümong khüdunü aküp müjüp-pehcho.
GEN.18.2	 abinü kehchü dhengde nyüh asang hütsüla ya ngucho. Abinü arüh nguyeng arüh mütohnung shang chüducho. Abinü mükhukeh arüh te yocho, 
GEN.18.3	“Adirüti, I kuhla mümütrahyohpü lahkhu tütsi; nührü dikehnung Ih hila lile. 
GEN.18.4	Nührü jing thsüthohnung Ihnü kih aza hirojünung; singkhümki azachah kyahshang. 
GEN.18.5	Ihnü tsuyongnungsü azikyah hirojünung; hütsünü nührü mütozah shitsehnung tase jünung. Nührü I kuh lang rochonü Ih hechire, hütsüeko Ihnü nührü dikehnung.”
GEN.18.5	Achotsü arühnü yocho, “Nühnü yocho kyo nguching.”
GEN.18.6	Abrahamnü dhsüthsa shükuh la tsü züdu Sara te yocho, “Zahding, hüm atsauba tsü khyo hümthse aza külüpm.” 
GEN.18.7	Hütsüpü abinü shang wünü misüza anyünyeh-u khüdu hiro kulirü khyang jücho, ko arühnü hütsü dhsüthsa rungnümcho. 
GEN.18.8	Abinü nyikihsu aza, nyikih aza ko shuh hiro arüh bete müsho yohpüjücho. Hütsüla singkhümki apunü arüh dikehcho, ko arühnü tsucho.
GEN.18.9	Hütsüpü arühnü abi te tsingdhengcho, “Nü nitpü Sara khülo?”
GEN.18.9	Abinü lalingcho, “Abükyü shükuh la tsü lile.”
GEN.18.10	 Arüh yola khüdunü yocho, “Choo düku lipü Ih thali ronung ko nü nitpü Saranü azarü khüdu nümüsunung.” Sara hütsüla trahtri yingte nyi yacho, 
GEN.18.11	Abraham e Sara nyüh khütang ashirü ko adelü Sara ayah roba mii nyehli pehpü licho. 
GEN.18.12	 Hütsünü Saranü münyü abükyü te yocho, “Ih shipehpü, ade akhyünyüba ronung do? Hütsü du mah, I nii mii khütang shipehko.”
GEN.18.13	Hütsüde 
GEN.18.15	Ta Saranü adrülangnü, “Ihnü mümünyü,” pü yocho.
GEN.18.15	Ta abinü yocho, “Nühnü münyüko.”
GEN.18.16	Hütsüpü nyitsarüti tsünü hütsü pehjüpü Sodom chahchü ngunung müdüm khüdu lang wücho, ko Abrahamnü arüh müyangyohchücho. 
GEN.18.17	Ko 
GEN.18.18	Abi chahnü khütang trahchonung ko yucho arangcheh kangnung ko Ihnü abi khu yuchoti apüm müwajünung. 
GEN.18.19	Abi tsurü ko abi chahnü trahchochotinü I yocho nyinung, tu athsalang ko yuje hütsü nguchinung ko thsingyusohnung shulüm Ihnü abi throchehko. Arühnü nguchikhang, Ihnü abi te nyengchocho lüpcho abi nengdang nguchinung.”
GEN.18.20	Hütsüpü 
GEN.18.21	Ihnü yuchiba mülangjüba tsü yuje a mahnang müdhenung Ih jowünung.”
GEN.18.22	Hütsüpü nyüh anyüh tsü Sodom lang lahpi tsicho, ta 
GEN.18.23	Abrahamnü 
GEN.18.24	Yangdi la tsü amüsarü dhünyang likhang, arüh dhünyang khyanglangnü dusü yangdi tsü mükhümchonung ang? 
