GEN.1.1	Ndee jaxtnañuꞌu ja ni junkoo ñuyiu, ni saꞌa ia Dios andivi jin ñuyiu. 
GEN.6.2	Te ni ka jini seꞌe ia Dios ja luu ka ndaa sesiꞌi ñayiu, guaa ni ka ndioo ini ñai, te ni ka kaji suchi ka jintnaꞌa ini kai, te ni ka jaka tnaꞌa jin. 
GEN.6.3	Yun te jiñaꞌa ia Dios: “Ma kuandetu ka rin ja siun ni koo espíritu rin ini anu ñayiu, chi masu nagua ka kuu saꞌuin, ninoꞌo ni kuñu ka kuu, te yun guaa in ciento oko ni ka kuia guaa vi kotekui”.
GEN.6.4	Te ni ka oo ñayiu inu sukun vi inu ndatnu ja ni ka okuu gigante kiuu yun. Te suni nuu ni ka nitnaꞌa seꞌe ia Dios jin seꞌe ñayiu ñuyiu, te ni ka jinkoo seꞌi, te tee yun ni ka okuu tee ndakui ndee janaꞌa, te vi ni ka oteku tnoꞌo de ja tee xeen ni ka okuu de.
GEN.6.5	Te ni ndiaꞌa Jitoꞌo ja ni kaya ndevaꞌa jakueꞌe ka saꞌa ñayiu ñuyiu, chi ninoꞌo ni jakueꞌe ka ondakani ini jin anui, te ninoꞌo ni jakueꞌe yun ka osaꞌi. 
GEN.6.6	Te ni ndatnaꞌu ini Jitoꞌo ja ni saꞌa ya ñayiu vi ni kusuchi ndevaꞌa ini ya. 
GEN.6.7	Te jiñaꞌa ya: “Xnaa ndiꞌi rin ja oo ñuyiu ja ni saꞌa rin ndee ñayiu vi kiti kuun ndaꞌa vi kiti ñuu maa vi kiti ndagua andivi, chi ndatnaꞌu ini rin ja ni saꞌa rin”.
GEN.6.8	Su Noé, chi tee chiñuꞌu ia Dios kuu de, guaa ni ndundaꞌu ini ña Dios jin de.
GEN.6.9	Yaꞌa ka kuu tatatnoꞌo Noé. Noé chi teyii ndaa ni okuu de nuu ndiꞌi ñayiu ni ka oo kuia yun. Teyii vaꞌa ni okuu de, chi ni osaꞌa de nagua kuini maa ia Dios, te ni ojika de jin ya. 
GEN.6.10	Te ni oo uni seyii Noé, te sui ka kuu Sem vi Cam vi Jafet. 
GEN.6.11	Su jini ia Dios ja ni chitu jakueꞌe ñuyiu, chi vi nii nuu ka saꞌa ñayiu janeꞌe jayichi. 
GEN.6.12	Te ni ndiaꞌa ia Dios nuu ñuyiu, te vi nii nii oo jakueꞌe, chi ndiꞌi ñayiu ni ka kujioo ichi ya, te vi janeꞌe jayichi nika ka saꞌi. 
GEN.6.13	Te jiñaꞌa Dios nuu Noé:
GEN.6.13	―Vitna guaa ni jino ini rin ja xnaa rin ñuyiu, chi ja ni chitu jakueꞌe ja jaꞌa ñayiu ka saꞌa janeꞌe jayichi, te xnaa rin ñayiu vi ñuꞌu. 
GEN.6.14	Te yun guaa saꞌa in veꞌe kaꞌnu kuu arca jin yutnu nani gofer, te tniuneꞌu ron veꞌe kueli ichi ini, te ndakasi guaꞌa ron jin brea ichi ini vi ichi yata ja ma vi koo ndiyau ja kiuu ndute. 
GEN.6.15	Te medida yaꞌa saꞌa ron ja na koo arca yaꞌa, ja kani saꞌa ron uni ciento yiki, te ja jite saꞌa ron uu xiko uxi yiki, te ja koo sukun saꞌa ron oko uxi yiki. 
GEN.6.16	Te saꞌa ron na kokuu ja uni piso, te ndee in yiki ichi chii tnu sukun veꞌe yun saꞌa ron in ventana kani, te suni saꞌa ron yeꞌe ndee in lado. 
GEN.6.17	Chi skuun rin sau ja kuu diluvio nuu ñuꞌu yaꞌa, te ndachitu ndute nii nii ñuyiu, te xnaa rin ndiꞌi nani kuu ja teku oo chii andivi, te ndiꞌi nagua oo nuu ñuꞌu vi kuu. 
GEN.6.18	Su jin roon, chi saꞌa rin in tratu jin ron, te kiukuei ron nuu arca jian, maa ron vi seyii ron vi ñasiꞌi ron vi janu ron. 
GEN.6.19	Te suni chiꞌi ron in in tayu kiti na vi kokuu ti in kiti yii vi in kiti siꞌi ndinuu nuu kiti oo ñuyiu nagua ja vi kaku ron jin ti. 
GEN.6.20	Chiꞌi ron ndinuu nuu kiti ndagua vi ndinuu nuu kiti kuun ndaꞌa vi ndinuu nuu kiti ñuu maa na vi koo in in tayu ti kiukuei jin ron, nagua ja vi kaku ron jin ti. 
GEN.6.21	Te xtutu kuaꞌa ron ja vi kokaa maa ron vi ja ka jaa in in nuu kiti jian, te tnaa vaꞌa ron nagua ja na kenta vi kokaa maa ron vi ndiꞌi kiti jian ja ma vi kuu ron jin ti soko ―jiñaꞌa ya.
GEN.6.22	Te saa ni saꞌa Noé, ni saꞌa ndiꞌi de nagua ni tatnuni ia Dios.
GEN.7.1	Yun te jiñaꞌa Jitoꞌo nuu Noé:
GEN.7.1	―Makiukuei maa ron vi ñayiu veꞌe ron nuu arca jian, chi maintnoꞌo maa ron guaa kuu ron in tee ndaa ja kandija ron nuu rin neꞌu ndiꞌi ñayiu ja ka oo tiempu vitna. 
GEN.7.2	Te chiꞌi ron uja tayu kiti vii na vi kokuu ti in kiti yii, te in kiti siꞌi. Su kiti tu ka oo vii, chi in in tayu ni ti in kiti yii jin in kiti siꞌi ni, na vi kokuu ndinuu nuu ti. 
GEN.7.3	Te suni chiꞌi ron uja tayu kiti ndagua na kokuu in kiti yii vi in kiti siꞌi, nagua ja na vi koo ti ja ma vi naa ti nuu ñuyiu yaꞌa. 
GEN.7.4	Chi nuu uja ni ka kiuu te skuun rin sau ja kokuun uu xiko nduu vi uu xiko jakuaa, te xnaa rin ndiꞌi tuꞌu ja ni saꞌa maa rin ja oo ñuyiu yaꞌa ―jiñaꞌa ya suaꞌa.
GEN.7.5	Yun te ni saꞌa Noé ndiꞌi nagua ni tatnuni Jitoꞌo.
GEN.7.6	Te kuia saa na ni ndaa ndute ñuyiu ja oo Noé iñu ciento kuia. 
GEN.7.7	Te ja jaꞌa sau yun ja kuu diluvio guaa ni kiukuei Noé nuu arca yun, maa de vi seꞌe de vi ñasiꞌi de vi janu de ja vi kaku niꞌnu de. 
GEN.7.8	Te suni ni chiꞌi de ndinuu nuu kiti vii vi kiti tu ka oo vii vi kiti ndagua vi ndinuu nuu kiti ñuu maa nuu ñuꞌu. 
GEN.7.9	Ndi uu ndi uu ti ni chiꞌi de ini arca yun, kiti yii jin kiti siꞌi nagua ni tatnuni maa Dios. 
GEN.7.10	Yun te nuu uja kiuu, te ni jinkuita ni sau xeen ndevaꞌa ja nani diluvio. 
GEN.7.11	Te vi maa kuia saa ni jino Noé iñu ciento kuia vi inka uu yoo jin xaꞌun uu kiuu ja ni jino de kuia de, te ni ka teꞌnde ni yoꞌo ndute mar vi ni nune ni yeꞌe ndute andivi. 
GEN.7.12	Te ni jinkuita ni sau nii nii ñuyiu ja ni okuun ya uu xiko kiuu vi uu xiko jakuaa.
GEN.7.13	Te vi kiuu saa ni kiukuei Noé jin ndi uni seyii de, Sem, Cam vi Jafet vi ñasiꞌi maa de jin ndi uni janu de nuu arca yun, 
GEN.7.14	jin ndinuu nuu kiti yuku vi ndinuu nuu kiti tata vi ndinuu nuu kiti ñuu maa nuu ñuꞌu vi ndinuu nuu kiti oo ndijin vi ndinuu nuu tisala. 
GEN.7.15	Ndinuu nuu kiti jika vi ndakuantachi ni kiukuei jin Noé nuu arca yun ndi uu ndi uu ti. 
GEN.7.16	Te ni jinokuei in kiti yii jin in in kiti siꞌi saa ndinuu nuu ti nagua ni tatnuni maa ia Dios. Te nuu ni ndiꞌi ja ni kiukuei de jin ti, te ni ndakasi maa Jitoꞌo yeꞌe arca yun.
GEN.7.17	Te ni kuun sau uu xiko kiuu, guaa ni ndaa ndute, te ni kaneꞌe ña de jin arca yun nuu ñuꞌu. 
GEN.7.18	Te ni ndaa ni ndaa ni ndute yun ja ni kuu sukun ndevaꞌa de nuu ñuꞌu, guaa ni jinkuintatneni arca yun ja ni intatneni nuu ndute yun. 
GEN.7.19	Te ni kaa sukun ndevaꞌa ndute yun nuu ñuꞌu ja ni ka saꞌu ndiꞌi yuku sukun ja ni ka oo ñuyiu. 
GEN.7.20	Te nuu ni ka saꞌu yuku sukun yun ni kaa ka ndute xaꞌun yiki ja sukun siki yuku yun. 
GEN.7.21	Te ni ka naa ndiꞌi ja oo ñuyiu yaꞌa ni ka jiꞌi ndiꞌi kiti ndagua vi kiti tata vi ndiꞌi kiti oo kuun ndaꞌa vi ndiꞌi kiti ñuu maa nuu ñuꞌu vi ndiꞌi ñayiu ni ka jiꞌi. 
GEN.7.22	Ndiꞌi tuꞌu ja ni ka ojichi ni ka okanda ñuyiu yaꞌa ja ni ka ondakuantachi jin xtnii vi ndiꞌi ja ni ka oteku ñuyiu ni ka jiꞌi ndiꞌi. 
GEN.7.23	Saa ni kuu ja ni ka naa ndiꞌi ja ni oo ñuyiu guaa ndee ñayiu vi ndee kiti oo kuun ndaꞌa vi kiti ñuu maa vi kiti ndagua vi ndiꞌi tuꞌu ni naa nuu ñuyiu. Maintnoꞌo Noé jin ñayiu veꞌe de vi kiti ni oo jin de nuu arca ka kuu ja ni ka kaku niꞌnu nuu ndute yun ja ka teku, 
GEN.7.24	chi ni ndachitu ndute yun nuu ñuꞌu in ciento uu xiko uxi kiuu.
GEN.8.1	Yun te saa ni ndakaꞌan ña ia Dios jin Noé vi ndiꞌi kiti yuku vi kiti kuun ndaꞌa ja ka oo jin de ini arca yun, te ni saꞌa ya ja ni jinkiꞌi tachi ñuyiu, te ni nuu joo ndute. 
GEN.8.2	Te ni ka ndandesi yoꞌo ndute mar vi ni ndandesi yeꞌe ndute andivi guaa ni jinkuiin sau. 
GEN.8.3	Te yun saa ni jinkondee ndute yun manuu de ndi joo ndi joo, te nuu in ciento uu xiko uxi kiuu saa saa ni jinkonaꞌa ja manuu ndute yun. 
GEN.8.4	Yun te ni nukoxnee arca yun in nuu yuku nani Ararat kiuu xaꞌun uu jika yoo kuu uja. 
GEN.8.5	Te vi saa manuu manuu ka ndute yun, te in kiuu xtnañuꞌu ja ndakiꞌin yoo kuu uxi, te ni ndiaꞌa Noé ja ja mavindatuu xtuu yuku.
GEN.8.6	Yun te saa ni ondetu ka Noé nuu uu xiko kiuu, te saa ni june de ventana arca yun ja ni saꞌa maa de. 
GEN.8.7	Te ni siaa de in tikaka ja ni ojiko ti ni ojaꞌan ti ni okii ni ti, guaa ndee nuu ni yichi ndute yun nuu ñuꞌu. 
GEN.8.8	Yun te saa ni siaa tuku Noé in sata, nagua ja kutnuni ini de a ja ni nuu ndute nuu ñuꞌu. 
GEN.8.9	Su sata yun, chi vini ni ndajiokuiin ti nuu oo arca yun, chi tu ni niꞌi ti ndenu jinkoo ti, chi vi saa ni ñuꞌu ndute ninii nuu ñuꞌu. Yun te ni keneꞌe Noé ndaꞌa de ventana yun, te ni ndatnii de ti, te ni ndachiꞌi vaꞌa de ti ini arca yun. 
GEN.8.10	Yun te ni ondetu de uja ka kiuu, te saa saa ni siaa tuku de sata yun kuaꞌan ti. 
GEN.8.11	Te kiuu saa guaa vi ja mañini, te ni ndajiokuiin ti ndiso ti in ndaꞌa tnu olivo. Yun te saa ni kutnuni ini Noé ja ni yichi ndute nuu ñuꞌu. 
GEN.8.12	Su vini saa te ni ondetu ka Noé uja ka kiuu saa ni siaa tuku de sata yun kuaꞌan ti, te saa guaa tu ni ndajiokuiin uun ka ti nuu oo de.
GEN.8.13	Te saa chi ja oo Noé iñu ciento in kuia na ni ndayichi ñuyiu, vi maa kiuu xtnañuꞌu ja ndakiꞌin kuia ni jinkondee Noé ja ni xtajioo de ja ndesi yata arca yun, te ni jini de ja ja ni ndayichi ninii nuu ñuꞌu. 
GEN.8.14	Yun te saa kiuu oko uja yoo kuu uu ja ndakiꞌin inka kuia ni ndayichi saꞌun nuu ñuꞌu. 
GEN.8.15	Yun te ni kaꞌan ia Dios nuu Noé, te jiñaꞌa ya:
GEN.8.16	―Ndekuei nuu arca jian maa ron vi ñasiꞌi ron vi seyii ron vi janu ron, 
GEN.8.17	te ndeneꞌe ndiꞌi kiti oo jin ron jian na kuinio ndiꞌi kiti ndagua vi kiti kuun ndaꞌa vi ndiꞌi kiti ñuu maa nuu ñuꞌu, ndekuei ndiꞌi ti, te kiꞌinkuei ti nuu ñuꞌu vi ndakaya ti, te vi ndachitu ti nuu ñuyiu ―jiñaꞌa ya suaꞌa.
GEN.8.18	Yun te ni ndekuei Noé jin ñasiꞌi de vi seyii de vi janu de, 
GEN.8.19	vi ndiꞌi kiti ni ka oo jin de kiti ñuu maa nuu ñuꞌu vi kiti ndagua vi ndiꞌi kiti kuun ndaꞌa ni ndekuei jin de nuu arca yun. 
GEN.8.20	Te ni saꞌa Noé in altar, te yun ni kiꞌin de in in nuu ndiꞌi kiti ka oo vii vi kiti ndagua ja ka oo vii, te ni jaꞌni de ti, te ni teñuꞌu de ti nuu altar yun ja ni soko de nuu Jitoꞌo. 
GEN.8.21	Te ni jini Jitoꞌo xiko asin ja ni soko de nuu ya, te ni ndakani ini ya jin anu ya: “Vitna te ma xtau tniaꞌa saꞌun kao ñuyiu ja jaꞌa ñayiu, visi ja ndakani ini ñayiu kuu ninoꞌo jakueꞌe, chi jinio ja vi ndee kueli ja ndakani kueꞌe ini. Su ma xnaa saꞌun kao ndiꞌi ja teku oo ñuyiu nagua ni saꞌo vitna. 
GEN.8.22	Nini oo ñuyiu na vi kutu ñayiu, te na vi ndaxtutui ja vi kokai, te na koo ni ja iꞌni vi ja vijin, te na koo ni nduu vi jakuaa, vi na koo ni yoo ndakuei yutnu vi yoo nduyute tnu”, ni ndakani ini ya.
GEN.9.1	Yun te ni saꞌa vii saꞌa vaꞌa ña ia Dios jin Noé vi seꞌe de, te jiñaꞌa ya:
GEN.9.1	―Vi koo kuakuaꞌa ndikin tata ron, te vi ndakaya ron vi ndee na ndachitu ñuyiu. 
GEN.9.2	Te ndiꞌi kiti vi koyuꞌu ña jin ron vi ndee vi koniꞌi ti ja ka yuꞌu ti nuu vi kokuni ña ti ndiꞌi ti kuu kiti yuku vi kiti ndagua ichi andivi vi ndiꞌi kiti jichi kanda nuu ñuꞌu vi kiti ñuꞌu kaꞌa ndute, taa rin ti ja vi koo ti nuu ndaꞌa maa ron. 
GEN.9.3	Te ndiꞌi nuu kiti ka teku yaꞌa kuu ja vi kokaa ron, nagua ja ni taa rin ndiꞌi yuku kuii yaꞌa ja ka jaa ron. Vitna te ndiꞌi yuku vi kiti taa rin nuu ron ja vi kokaa ron. 
GEN.9.4	Su kuñu jin niñi ti, guaa ma kuu ja vi kaa ron, chi niñi ti kuu ja teku ti. 
GEN.9.5	Chi vi ja ndaa kaꞌan rin ja xtaku rin niñi ja teku ñayiu nuu kiti ja tniuyaꞌu ti vi nuu in ñani in tnaꞌa ron xtaku rin niñi ja teku ñayiu ja vi tniuyaꞌui.
GEN.9.6	Chi nuu ja na in ñayiu na kati niñi inka ñayiu
GEN.9.6	te suni vi ndakati ñayiu niñi mai
GEN.9.6	chi ni saꞌa rin ñayiu nagua oo nagua kaa maa rin.
GEN.9.7	Su roon, chi vi taꞌu tnaꞌa ron
GEN.9.7	te vi kaya kuaꞌa ndevaꞌa ron
GEN.9.7	vi kutenuu nuu ñuꞌu yaꞌa
GEN.9.7	te vi chitu ron nii ñuyiu,
GEN.9.7	jiñaꞌa ya suaꞌa.
GEN.9.8	Yun te ni kaꞌan ia Dios nuu Noé vi nuu seꞌe de, te jiñaꞌa ya:
GEN.9.9	―Vitna te kuini rin ja saꞌa rin in tratu jin ron vi jin tatatnoꞌo ron ja kikuei nuu kuee ka, 
GEN.9.10	vi jin ndiꞌi kiti ka teku ja ka oo jin ron vitna, na kuinio kiti ndagua vi kiti oo kuun ndaꞌa vi ndiꞌi kiti yuku vi ndiꞌi kiti ni ndekuei jin ron nuu arca jian ja kuu ndiꞌi kiti oo ñuyiu. 
GEN.9.11	Te tratu ja saꞌa rin jin ron kuu ja ma xnaa saꞌun ka rin ñuyiu jin ndute diluvio, te ni in kiuu ka ma vi kuni ron diluvio ja ndachitu tuku ndute ja xnaa de ñuyiu.
GEN.9.12	Te jiñaꞌa ia Dios:
GEN.9.12	―Yaꞌa kuu in seña ja saꞌa rin tratu jin ron vi jin ndiꞌi kiti ka teku ja ka oo jin ron ja kokuu nikuii nikani. 
GEN.9.13	Saꞌa rin in tikoyeꞌnde nuu viko ja kokuu in seña ja ni saꞌa rin in tratu jin ñuyiu. 
GEN.9.14	Te nuu ndututu viko, te neꞌu yun saꞌa rin in tikoyeꞌnde nuu vi kuni ñayiu, 
GEN.9.15	te yun kuu nuu kondakaꞌan rin tratu ni saꞌa rin jin ndiꞌi ron vi ndiꞌi kiti ja ka oo ñuyiu ja ma kii ka diluvio ja ndachitu ndute ja xnaa de ñuyiu. 
GEN.9.16	Te koo tikoyeꞌnde yun nuu viko, te yun kondakondiaꞌa rin, te kondakaꞌan rin tratu ndaa ja koo nikuii nikani ni ja ni saꞌa rin jin ndiꞌi ñayiu vi ndiꞌi kiti ja ka oo ñuyiu. 
GEN.9.17	Yaꞌa kuu seña tratu ja ni saꞌa rin jin ndiꞌi ñayiu vi kiti ja ka oo ñuyiu yaꞌa ―jiñaꞌa ia Dios nuu Noé.
GEN.9.18	Te seyii Noé ja ni ndekuei nuu arca yun ka kuu tee nani Sem vi Cam vi Jafet. Te Cam ni okuu yua tee ni onani Canaán. 
GEN.9.19	Te ndi uni tee yaꞌa ni ka okuu seyii Noé, te suu de ni ka ndaskaya kuaꞌa tatatnoꞌo ja ni ndachitu ñuyiu.
GEN.9.20	Yun te saa ni nukondee Noé ni jitu de nuu ñuꞌu, te ni skute de in tnu uva. 
GEN.9.21	Te ni oo in kiuu ni jiꞌi de nduxi uva yun ja kuu vinu. Te ni jini de, te ni ndonso de vi suaꞌa vichi teꞌa de katuu de ini veꞌe saꞌun de. 
GEN.9.22	Te ni jini Cam yua Canaán ja kaa vichi tata de katuu de, su tu ni chisaꞌu ña de, chi saa suaꞌa ni jaꞌan de ni kaxtnoꞌo de nuu uu ka ñani de ka oo yeꞌe yun. 
GEN.9.23	Yun te ni ka kiꞌin Sem jin Jafet in saꞌun, te ni ka sonee de nuu soko de, te yata yata ni kiukuei de ni ka chisaꞌu de tata de, ni tu ni ka jionenuu de ja vi kondiaꞌa de ja siun kaa vichi tata de. 
GEN.9.24	Te nuu ni ndoto Noé ja ni ndukuandiꞌi de, te ni jini de ja suaꞌa ni, ni ondiaꞌa ña seyii xetnu de, su tu ni chisaꞌu ña de. 
GEN.9.25	Te ni xtau tniaꞌa ña Noé, te jiñaꞌa de:
GEN.9.25	Na tau tniaꞌa tatatnoꞌo Canaán
GEN.9.25	te na kokunukuechi de nuu tee ka jinokuechi nuu ñani de.
GEN.9.26	Te saꞌa vii saꞌa vaꞌa de uu ka seyii de, te jiñaꞌa de:
GEN.9.26	Na taꞌu Sem ja oo de jin Jitoꞌo Dios maa rin
GEN.9.26	te na kunukuechi Canaán nuu de.
GEN.9.27	Te ia Dios na saꞌa kaꞌnu ña ya jin Jafet
GEN.9.27	te veꞌe Sem na vi koo de
GEN.9.27	te na kokunukuechi Canaán nuu de,
GEN.9.27	jiñaꞌa Noé nuu seyii de.
GEN.9.28	Yun te nuu ni yaꞌa diluvio ja ni xnaa ia Dios ñuyiu, te ni oteku ka Noé uni ciento uu xiko uxi ka kuia. 
GEN.9.29	Te ndiꞌi kuia ja ni oteku Noé ñuyiu yaꞌa kuu iin ciento uu xiko uxi kuia, te ni jiꞌi de.
GEN.10.1	Yaꞌa ka kuu tatatnoꞌo ndi uni seyii Noé ja ni ka onani Sem, Cam vi Jafet, chi nuu ni yaꞌa diluvio ja ni xnaa ia Dios ñuyiu, te ni ka jinkoo seꞌe de.
GEN.10.2	Seꞌe tee ni onani Jafet ka okuu tee ni ka onani Gomer, Magog, Madai, Javán, Tubal, Mesec jin Tiras. 
GEN.10.3	Te seꞌe Gomer ni ka onani Askenaz, Rifat jin Togarma. 
GEN.10.4	Te seꞌe Javán ni ka onani Elisa, Tarsis, Quitim jin Dodanim. 
GEN.10.5	Tee yaꞌa ka kuu tatatnoꞌo Jafet ja ni ka yagua de ni ka jinkoo de yuꞌu ndute mar, te yun ni ka saꞌa ñuu in in maa de jin ñayiu veꞌe de vi nagua saꞌan ka kaꞌan maa maa de.
GEN.10.6	Te seꞌe tee ni onani Cam ni ka onani Cus, Misraim, Fut jin Canaán. 
GEN.10.7	Te seꞌe Cus ni ka onani Seba, Havila, Sabta, Raama, jin Sabteca. Te seꞌe Raama ka onani Seba jin Dedán. 
GEN.10.8	Te Cus ni okuu yua Nimrod, te tee yun ni okuu tee xtnañuꞌu ja ni okuu nijaꞌnu nuu ñayiu ñuyiu. 
GEN.10.9	Te Nimrod ni okuu in tee ndakui ja ni ojaꞌni kiti yuku nuu Jitoꞌo, te yun guaa ni ka okaꞌan jin de ja in tee ndakui ja jaꞌni kiti yuku nuu Jitoꞌo kuu de. 
GEN.10.10	Te ndi kuun ñuu ja ni ka jinkondee ja ni ka otatnuni ni ka onani Babel, Erec, Acad jin Calne ja tnii Sinar. 
GEN.10.11	Te ni kee Nimrod yun kuaꞌan de ichi Asiria, te ni jino de ja ni saꞌa ñuu de Nínive vi Rehobot vi Cala. 
GEN.10.12	Te Resén ni okuu in ñuu kaꞌnu ka ja ni oo maꞌñu sagua ñuu Nínive jin ñuu Cala. 
GEN.10.13	Te Misraim ni okuu yua tee ni ka onani Ludim vi Anamim vi Lehabim vi Naftuhim 
GEN.10.14	vi Patrusim vi Casluhim vi Caftorim. Te neꞌu ñayiu yaꞌa ni kekuei ñayiu tatatnoꞌo filisteo.
GEN.10.15	Te seꞌe Canaán kuu Sidón seꞌe xtnañuꞌu de vi inka de nani Het. 
GEN.10.16	Te tatatnoꞌo de ka kuu ñayiu jebuseo vi ñayiu amorreo vi ñayiu gergeseo 
GEN.10.17	vi ñayiu heveo, ñayiu araceo, ñayiu sineo 
GEN.10.18	vi ñayiu arvadeo, ñayiu zemareo vi ñayiu hamateo. Yun te ka jitenuu tnaꞌa kuikin ñayiu cananeo. 
GEN.10.19	Te ni kentakuei ñayiu cananeo ja ka netnaꞌa de guaa ndee Sidón ichi kuaꞌan ñuu Gerar vi guaa ndee Gaza, te ichi kuaꞌan ñuu Sodoma vi Gomorra, ni kentakuei de Adma jin Zeboim, te ni jinokuei de ndee Lasa. 
GEN.10.20	Tee yaꞌa ni ka okuu seꞌe Cam jin ndiꞌi ñayiu veꞌe de vi saꞌan ka kaꞌan maa maa de vi in in ñuu nuu ni ka jinkoo de.
GEN.10.21	Te Sem, ñani jakuaꞌa Jafet, suni ni ka oo seꞌe de, te suu de kuu yua ndiꞌi tatatnoꞌo Heber. 
GEN.10.22	Te seꞌe Sem ni ka okuu Elam vi Asur vi Arfaxad vi Lud jin Aram. 
GEN.10.23	Te seꞌe Aram ni ka okuu Uz vi Hul vi Geter vi Mas. 
GEN.10.24	Te seꞌe Arfaxad kuu Sala, te seꞌe Sala kuu Heber. 
GEN.10.25	Te ni oo uu seyii Heber, in ni onani Peleg, chi kiuu saa ni teꞌnde ñuꞌu ja ni ka jinkoo siin siin ñayiu yun guaa ni xnani ña de siun, te inka de ni onani Joctán. 
GEN.10.26	Te seꞌe Joctán ni ka okuu Almodad vi Selef, Hazar-mavet, Jera, 
GEN.10.27	vi Adoram, Uzal, Dicla, 
GEN.10.28	vi Obal, Abimael, Seba, 
GEN.10.29	vi Ofir, Havila jin Jobab. Ndiꞌi tee yaꞌa ni ka okuu seꞌe Joctán. 
GEN.10.30	Te ñuꞌu nuu ni ka jinkoo de kuu ndee ñuu nani Mesa ichi kuaꞌan ñuu Sefar, te vi guaa ndee yuku ñuꞌu ichi kana nikandii. 
GEN.10.31	Tee yaꞌa ni ka okuu seꞌe Sem jin ndiꞌi ñayiu veꞌe de vi saꞌan ka kaꞌan maa maa de vi in in ñuu nuu ni ka jinkoo de.
GEN.10.32	Tee yaꞌa ni ka okuu seꞌe Noé ja ni ka jitenuu tatatnoꞌo ndi uni seyii de nii ñuyiu nuu ni ka saꞌa ñayiu ñuu naꞌnu ja ni ka jinkoi nuu kuee ka ja ni kii diluvio ja ni ndachitu ndute na ni xnaa de ñuyiu.
GEN.11.1	Te tiempu saa, chi invaa ni nuu saꞌan ni ka okaꞌan ndi ndiꞌi ñayiu. 
GEN.11.2	Te nuu ni kaya ñayiu, te ni kekuei savai ichi nuu kana nikandii kuaꞌankuei ja ni jinokuei in yoso kaꞌnu nuu nani Sinar, te yun ni ka saꞌa ñui. 
GEN.11.3	Yun te ni ka ndatnoꞌo tnaꞌa de:
GEN.11.3	―Na vi saꞌo ladriyu te na vi teñuꞌo ―ka kachi de. Chi ladriyu yun ni ka jantniuu de nuu tniuu yuu, te brea nuu tniuu mezcla.
GEN.11.4	Yun te ni ka kachi de:
GEN.11.4	―Na vi saꞌo in ñuu kaꞌnu jin in torre ja vi na jinonta ndee andivi, te saa nagua ja na vi koteku tnoꞌo, nagua ja ma vi kutenuo nuu ñuyiu ―ni ka ndatnoꞌo tnaꞌa de.
GEN.11.5	Yun te ni kii Jitoꞌo ja kondiaꞌa ya veꞌe ka jakin ñayiu ka oo yun naxa kaa ñuu yun vi torre ja ka saꞌa de yun. 
GEN.11.6	Te ni kaꞌan Jitoꞌo:
GEN.11.6	―Ñayiu ñuu yaꞌa, chi invaa ni ka ndakani ini, te invaa ni saꞌan ka kaꞌin, chi in ni ñuu ndiꞌi, te tniuu ni ka jinkondei ja ka saꞌi vitna, chi tu na in kaꞌnu ña ja vi saꞌi nagua ka kuini mai. 
GEN.11.7	Vitna te na kiꞌinkueio, te yun na vi skunu nuu inio jin nuu vi samao saꞌan ja na vi kaꞌan in in, nagua ja ma vi jinkuiꞌnu nuu tnaꞌa ka ini ―ni kaꞌan Jitoꞌo.
GEN.11.8	Te saa ni kuu ja ni jatenuu ña ia Dios jin ñayiu ja kuaꞌankuei ja ni ka jinkoi ninii ñuyiu, te ni ka xndendoi, tu ni ka jakin kai veꞌe ñuu yun. 
GEN.11.9	Te yun guaa ni jinkonani ñuu yun Babel,
GEN.11.10	Ndiꞌi tee yaꞌa ni ka okuu tatatnoꞌo Sem. Te nuu uu kuia ja ni yaꞌa nani ndachitu ndute ja ni naa ñuyiu ja oo Sem in ciento kuia, te ni jinkoo seyii de ja ni onani Arfaxad. 
GEN.11.11	Te nuu kuee ka ja ni jinkoo Arfaxad, te ni ka jinkoo ka seyii vi sesiꞌi de, te uꞌun ciento ka kuia ni oteku de ñuyiu.
GEN.11.12	Te ja oo Arfaxad oko xaꞌun kuia, te ni jinkoo seyii de Sala. 
GEN.11.13	Te nuu kuee ka ja ni jinkoo Sala, te ni ka jinkoo ka seyii vi sesiꞌi de, te kuun ciento uni ka kuia ni oteku de ñuyiu.
GEN.11.14	Te ja oo Sala oko uxi kuia, te ni jinkoo seyii de Heber. 
GEN.11.15	Te nuu kuee ka ja ni jinkoo Heber, te ni ka jinkoo ka seyii vi sesiꞌi de, te kuun ciento uni ka kuia ni oteku de ñuyiu.
GEN.11.16	Te ja oo Heber oko uxi kuun kuia, te ni jinkoo seyii de Peleg. 
GEN.11.17	Te nuu kuee ka ja ni jinkoo Peleg, te ni ka jinkoo ka seyii vi sesiꞌi de, te kuun ciento oko uxi ka kuia ni oteku de ñuyiu.
GEN.11.18	Te ja oo Peleg oko uxi kuia, te ni jinkoo seyii de Reu. 
GEN.11.19	Te nuu kuee ka ja ni jinkoo Reu, te ni ka jinkoo ka seyii vi sesiꞌi de uu ciento iin ka kuia ni oteku de ñuyiu.
GEN.11.20	Te ja oo Reu oko uxi uu kuia, te ni jinkoo seyii de Serug. 
GEN.11.21	Te nuu kuee ka ja ni jinkoo Serug, te ni ka jinkoo ka seyii vi sesiꞌi de, te uu ciento uja ka kuia ni oteku de ñuyiu.
