GEN.1.1	Hapo mwanzo, Mungu aliumba mbingu na dunia.
GEN.9.2	Wanyama wote, ndege wote wa angani, viumbe wote watambaao juu ya nchi na samaki wote wa baharini watakuwa na hofu na kuwaogopa nyinyi. Wote wamewekwa chini ya mamlaka yenu. 
GEN.9.3	Wanyama wote hai watakuwa chakula chenu kama vile nilivyowapa mimea kuwa chakula chenu. 
GEN.9.4	Lakini msile nyama yenye damu, kwani uhai uko katika damu. 
GEN.9.5	Damu ya uhai wenu nitaidai; nitaidai kutoka kwa kila mnyama na binadamu. Atakayemuua binadamu mwenzake, nitamdai uhai wake.
GEN.9.6	Amwagaye damu ya binadamu,
GEN.9.6	damu yake itamwagwa na binadamu;
GEN.9.6	maana binadamu aliumbwa kwa mfano wa Mungu.
GEN.9.7	Nanyi zaeni, mkaongezeke;
GEN.9.7	zaeni kwa wingi, mkaongezeke nchini.”
GEN.9.8	Kisha Mungu akamwambia Noa na wanawe, 
GEN.9.9	“Ninaweka agano langu nanyi na wazawa wenu 
GEN.9.10	na viumbe vyote hai: Ndege, wanyama wa kufugwa na wanyama wa porini, wote waliotoka katika safina pamoja nanyi. 
GEN.9.11	Nathibitisha agano langu nanyi, kwamba, kamwe viumbe vyote hai havitaangamizwa kwa gharika, wala haitatokea tena gharika kuiharibu nchi.” 
GEN.9.12	Tena Mungu akasema, “Hii ndiyo alama ya agano ninalofanya kati yangu nanyi na kila kiumbe hai kilicho pamoja nanyi kwa vizazi vyote vijavyo. 
GEN.9.13	Naweka upinde wangu mawinguni, nao utakuwa ishara ya agano kati yangu na dunia. 
GEN.9.14	Kila nitakapoifunika dunia kwa mawingu, na huo upinde wa mvua utakapoonekana katika mawingu, 
GEN.9.15	nitalikumbuka agano langu nanyi na viumbe vyote hai. Kamwe maji hayatageuka kuwa gharika ya kuviangamiza viumbe vyote hai. 
GEN.9.16	Huo upinde utakapotokea mawinguni, nitauona na kulikumbuka agano hilo la milele kati yangu na viumbe vyote hai duniani.” 
GEN.9.17	Mungu akamwambia Noa, “Hii ndiyo ishara ya agano ambalo nimefanya na viumbe vyote hai duniani.”
GEN.9.18	Watoto wa Noa waliotoka katika safina walikuwa Shemu, Hamu na Yafethi. Hamu alikuwa baba yake Kanaani. 
GEN.9.19	Hao ndio watoto watatu wa Noa, na kutokana nao watu walienea duniani kote.
GEN.9.20	Noa alikuwa mkulima wa kwanza. Alilima shamba la mizabibu, 
GEN.9.21	akanywa divai, akalewa, kisha akalala uchi hemani mwake. 
GEN.9.22	Hamu, baba yake Kanaani, aliuona uchi wa baba yake, akatoka nje na kuwaambia ndugu zake wawili. 
GEN.9.23	Lakini Shemu na Yafethi wakatwaa nguo, wakaitanda mabegani mwao, wakaenda kinyumenyume na kuufunika uchi wa baba yao. Waliangalia pembeni, wala hawakuuona uchi wa baba yao. 
GEN.9.24	Noa alipolevuka na kujua alivyotendewa na mwanawe mdogo, 
GEN.9.25	akasema,
GEN.9.25	“Kanaani na alaaniwe!
GEN.9.25	Atakuwa mtumwa wa watumwa kwa ndugu zake.”
GEN.9.26	Tena akasema,
GEN.9.26	“Shemu na abarikiwe na Mwenyezi-Mungu, Mungu wangu!
GEN.9.26	Kanaani na awe mtumwa wake.
GEN.9.27	Mungu na amkuze Yafethi,
GEN.9.27	aishi katika hema za Shemu;
GEN.9.27	Kanaani na awe mtumwa wake.”
GEN.9.28	Baada ya gharika, Noa aliishi miaka 350, 
GEN.9.29	kisha akafariki akiwa na umri wa miaka 950.
GEN.10.1	Baada ya gharika, watoto wa Noa, Shemu, Hamu na Yafethi, walipata watoto wa kiume na wa kike. Hii ndiyo orodha ya wazawa wao:
GEN.10.2	Watoto wa kiume wa Yafethi walikuwa Gomeri, Magogu, Madai, Yavani, Tubali, Mesheki na Tirasi. 
GEN.10.3	Watoto wa kiume wa Gomeri walikuwa Ashkenazi, Rifathi na Togama. 
GEN.10.4	Watoto wa kiume wa Yavani walikuwa Elisha, Tarshishi, Kitimu na Dodanimu.
GEN.10.5	Hawa ndio asili ya watu walioenea sehemu za pwani, kila watu kwa lugha yao, kwa jamaa zao na kufuata mataifa yao.
GEN.10.6	Watoto wa kiume wa Hamu walikuwa Kushi, Misri, Puti na Kanaani. 
GEN.10.7	Watoto wa kiume wa Kushi walikuwa Seba, Hawila, Sabta, Raama na Sabteka. Watoto wa kiume wa Raama walikuwa Sheba na Dedani. 
GEN.10.8	Kushi alikuwa baba yake Nimrodi ambaye alikuwa shujaa wa kwanza duniani. 
GEN.10.9	Alikuwa mwindaji shujaa mbele ya Mwenyezi-Mungu, ndiyo maana kuna msemo usemao, “Kama Nimrodi mwindaji shujaa mbele ya Mwenyezi-Mungu.” 
GEN.10.10	Miji ya kwanza ya utawala wake ilikuwa Babuloni, Ereki na Akadi, katika nchi ya Shinari. 
GEN.10.11	Kutoka huko, Nimrodi alikwenda Ashuru, akajenga miji ya Ninewi, Rehoboth-iri, Kala na 
GEN.10.12	Reseni ulioko kati ya Ninewi na mji mkubwa wa Kala.
GEN.10.13	Misri alikuwa babu wa Waludi, Waanamu, Walehabi, Wanaftuhi, 
GEN.10.14	Wapathrusi, Wakasluhi (ambao ndio asili ya Wafilisti), na Wakaftori.
GEN.10.15	Kanaani alikuwa babu yake Sidoni, mzaliwa wake wa kwanza, na Hethi, 
GEN.10.16	na pia babu yao Wayebusi, Waamori, Wagirgashi, 
GEN.10.17	Wahivi, Waarki, Wasini, 
GEN.10.18	Waarvadi, Wasemari na Wahamathi. Baadaye watu wa jamii mbalimbali za Kanaani walitawanyika, 
GEN.10.19	hata eneo la nchi yao likawa toka Sidoni kuelekea kusini, hadi Gerari mpaka Gaza, na kuelekea mashariki hadi Sodoma na Gomora, Adma na Seboimu hadi Lasha. 
GEN.10.20	Hao ndio wazawa wa Hamu kadiri ya makabila yao, lugha zao, nchi zao na mataifa yao.
GEN.10.21	Shemu, mkubwa wa Yafethi, alikuwa baba yao Waebrania wote. 
GEN.10.22	Watoto wa kiume wa Shemu walikuwa Elamu, Ashuru, Arfaksadi, Ludi na Aramu. 
GEN.10.23	Watoto wa kiume wa Aramu walikuwa Usi, Huli, Getheri na Mashi. 
GEN.10.24	Arfaksadi alimzaa Shela, Shela akamzaa Eberi. 
GEN.10.25	Eberi alikuwa na watoto wa kiume wawili; wa kwanza akamwita Pelegi kwa sababu wakati huo watu duniani waligawanyika, na wa pili akamwita Yoktani. 
GEN.10.26	Yoktani alikuwa baba wa Almodadi, Shelefu, Hasarmawethi, Yera, 
GEN.10.27	Hadoramu, Uzali, Dikla, 
GEN.10.28	Obali, Abimaeli, Sheba, 
GEN.10.29	Ofiri, Hawila na Yobabu. Hao wote walikuwa watoto wa Yoktani. 
GEN.10.30	Nchi walimokaa ilienea toka Mesha mpaka Sefari katika nyanda za juu za mashariki. 
GEN.10.31	Hao ndio wazawa wa Shemu, kadiri ya makabila yao, lugha zao, nchi zao na mataifa yao.
GEN.10.32	Hao ndio jamaa za watoto wa Noa, kadiri ya vizazi vyao na mataifa yao. Kutokana nao mataifa yote yalienea duniani baada ya gharika.
GEN.11.1	Kwanza, watu wote duniani walikuwa na lugha moja na walitumia maneno yaleyale. 
GEN.11.2	Basi, ikawa watu waliposafirisafiri kutoka mashariki, walifika katika nchi tambarare huko Shinari, wakakaa. 
GEN.11.3	Kisha wakaambiana, “Haya! Na tufyatue matofali, tuyachome moto vizuri.” Walikuwa na matofali badala ya mawe, na lami badala ya chokaa. 
GEN.11.4	Wakasema, “Na tujijengee mji na mnara ambao kilele chake kitafika mbinguni ili tujipatie jina, tusije tukatawanyika duniani kote.”
GEN.11.5	Ndipo Mwenyezi-Mungu akashuka chini kuuona mji huo na mnara walioujenga binadamu. 
GEN.11.6	Mwenyezi-Mungu akasema, “Tazama, watu hawa ni taifa moja na wote wana lugha moja; huu ni mwanzo tu wa yale watakayoyafanya. Lolote wanalokusudia kulifanya watafanikiwa. 
GEN.11.7	Haya, na tushuke chini na kuivuruga lugha yao ili wasielewane wao kwa wao.” 
GEN.11.8	Hivyo, Mwenyezi-Mungu akawatawanya mahali pote duniani, nao wakaacha kuujenga ule mji. 
GEN.11.9	Mji huo ukaitwa Babeli
GEN.11.10	Wafuatao ni wazawa wa Shemu. Miaka miwili baada ya ile gharika, Shemu akiwa na umri wa miaka 100, alimzaa Arfaksadi. 
GEN.11.11	Baada ya kumzaa Arfaksadi, Shemu aliishi miaka 500 na kupata watoto wengine wa kiume na wa kike.
GEN.11.12	Arfaksadi alipokuwa na umri wa miaka 35, alimzaa Shela. 
GEN.11.13	Baada ya kumzaa Shela, Arfaksadi aliishi miaka 403 na kupata watoto wengine wa kiume na wa kike.
GEN.11.14	Shela alipokuwa na umri wa miaka 30, alimzaa Eberi. 
GEN.11.15	Baada ya kumzaa Eberi, Shela aliishi miaka 403 na kupata watoto wengine wa kiume na wa kike.
GEN.11.16	Eberi alipokuwa na umri wa miaka 34, alimzaa Pelegi. 
GEN.11.17	Baada ya kumzaa Pelegi, Eberi aliishi miaka 430 na kupata watoto wengine wa kiume na wa kike.
GEN.11.18	Pelegi alipokuwa na umri wa miaka 30, alimzaa Reu. 
GEN.11.19	Baada ya kumzaa Reu, Pelegi aliishi miaka 209 na kupata watoto wengine wa kiume na wa kike.
GEN.11.20	Reu alipokuwa na umri wa miaka 32, alimzaa Serugi. 
GEN.11.21	Baada ya kumzaa Serugi, Reu aliishi miaka 207 na kupata watoto wengine wa kiume na wa kike.
GEN.11.22	Serugi alipokuwa na umri wa miaka 30, alimzaa Nahori. 
GEN.11.23	Baada ya kumzaa Nahori, Serugi aliishi miaka 200 na kupata watoto wengine wa kiume na wa kike.
GEN.11.24	Nahori alipokuwa na umri wa miaka 29, alimzaa Tera. 
GEN.11.25	Baada ya kumzaa Tera, Nahori aliishi miaka 119, na kupata watoto wengine wa kiume na wa kike.
GEN.11.26	Tera alipokuwa na umri wa miaka 70, alimzaa Abramu na Nahori na Harani.
GEN.11.27	Wafuatao ni wazawa wa Tera, baba yao Abramu, Nahori na Harani. Harani alikuwa baba yake Loti. 
GEN.11.28	Huyo Harani alifariki wakati Tera baba yake alikuwa anaishi huko Uri alikokuwa amezaliwa. 
GEN.11.29	Abramu na Nahori walioa. Mke wa Abramu aliitwa Sarai. Mke wa Nahori aliitwa Milka, binti Harani ambaye pia alikuwa baba yake Iska. 
GEN.11.30	Sarai hakuwa na mtoto kwa sababu alikuwa tasa.
GEN.11.31	Tera akamchukua Abramu mwanawe, Loti mjukuu wake aliyekuwa mwanawe Harani, na Sarai mkewe Abramu, wakaondoka wote pamoja toka Uri, mji wa Wakaldayo, wakaenda katika nchi ya Kanaani. Lakini walipofika Harani, wakakaa. 
GEN.11.32	Tera alifariki huko Harani akiwa na umri wa miaka 205.
GEN.12.1	Basi, Mwenyezi-Mungu akamwambia Abramu, “Ondoka katika nchi yako, acha jamaa yako na nyumba ya baba yako, uende katika nchi nitakayokuonesha. 
GEN.12.2	Nitakufanya wewe kuwa taifa kubwa, nitakubariki na kulikuza jina lako, nawe uwe baraka.
GEN.12.3	Anayekubariki, nitambariki;
GEN.12.3	anayekulaani, nitamlaani.
GEN.12.3	Kwako wewe, nitayabariki mataifa yote ya dunia.”
GEN.12.4	Kwa hiyo, Abramu akaondoka kama Mwenyezi-Mungu alivyomwamuru; na Loti akaenda pamoja naye. Abramu alikuwa na umri wa miaka 75 alipotoka Harani. 
GEN.12.5	Alimchukua Sarai mkewe, na Loti mwana wa ndugu yake, pamoja na mali yao yote na watu wote waliokuwa wamejipatia huko Harani, wakaondoka kuelekea nchi ya Kanaani. Walipoingia nchini Kanaani, 
GEN.12.6	Abramu akapita katikati ya nchi mpaka Shekemu, mahali patakatifu, penye mti wa mwaloni wa More. Wakati huo, Wakanaani walikuwa ndio wenyeji wa nchi hiyo. 
GEN.12.7	Ndipo Mwenyezi-Mungu akamtokea Abramu, akamwambia, “Wazawa wako nitawapa nchi hii.” Basi, Abramu akajenga madhabahu kwa ajili ya Mwenyezi-Mungu aliyemtokea. 
GEN.12.8	Baadaye Abramu akaondoka, akaelekea mlimani mashariki ya Betheli akapiga hema kati ya mji wa Betheli, upande wa magharibi, na mji wa Ai upande wa mashariki. Hapo pia akamjengea Mwenyezi-Mungu madhabahu na kumwomba kwa jina lake. 
GEN.12.9	Kisha Abramu akaendelea kusafiri kuelekea upande wa Negebu.
GEN.12.10	Wakati huo, njaa ilitokea nchini. Njaa hiyo ilikuwa kali, hivyo Abramu akalazimika kwenda Misri kukaa huko kwa muda. 
GEN.12.11	Alipokaribia Misri, Abramu alimwambia Sarai mkewe, “Najua kuwa wewe ni mwanamke mzuri na wa kuvutia. 
GEN.12.12	Wamisri watakapokuona watasema, ‘Huyu ni mkewe,’ kisha wataniua lakini wewe watakuacha hai. 
GEN.12.13	Basi, waambie kuwa wewe ni dada yangu ili mambo yaniendee vema, niachwe niishi kwa ajili yako.” 
GEN.12.14	Basi, Abramu alipowasili nchini Misri, wenyeji wa huko walimwona Sarai kuwa ni mwanamke mzuri sana. 
GEN.12.15	Maofisa wa Farao walipomwona Sarai, wakamsifia kwa Farao. Basi, Sarai akapelekwa nyumbani kwa Farao. 
GEN.12.16	Basi, kwa ajili yake, Farao alimfadhili Abramu, akampa kondoo, ng'ombe, punda dume, watumishi wa kiume na wa kike, punda jike na ngamia.
GEN.12.17	Lakini Mwenyezi-Mungu akamtesa Farao na watu wote wa nyumba yake kwa mapigo makali kwa sababu ya Sarai, mkewe Abramu. 
GEN.12.18	Farao akamwita Abramu, akamwuliza, “Ni kitu gani hiki ulichonitendea? Mbona hukunijulisha kwamba Sarai ni mkeo? 
GEN.12.19	Kwa nini ulisema ni dada yako hata nikamchukua kuwa mke wangu? Basi, sasa mkeo ndiye huyo. Mchukue uende zako!” 
GEN.12.20	Kisha Farao aliwaamuru watu wake, nao wakamsindikiza Abramu njiani akiwa na mke wake na mali yake yote.
GEN.13.1	Abramu akarudi kutoka Misri, akaingia upande wa Negebu. Alikuwa na mkewe na mali yake yote pamoja na Loti. 
GEN.13.2	Wakati huo, Abramu alikuwa ametajirika sana. Alikuwa na mifugo, fedha na dhahabu. 
GEN.13.3	Akaendelea kusafiri toka eneo la Negebu hadi Betheli. Alifika mahali alipokuwa amepiga kambi ya hema hapo awali, kati ya Betheli na Ai, 
GEN.13.4	ambapo alikuwa amejenga madhabahu. Hapo Abramu akamwomba Mwenyezi-Mungu kwa jina lake. 
GEN.13.5	Kadhalika, Loti, ambaye alifuatana na Abramu, alikuwa na kondoo, mifugo na hema. 
GEN.13.6	Idadi ya mifugo yao ilikuwa kubwa mno hata nchi ile haikuweza kuwatosha Abramu na Loti kuishi pamoja. 
GEN.13.7	Basi, kukazuka ugomvi kati ya wachungaji wa Abramu na wachungaji wa Loti. Wakati huo, Wakanaani na Waperizi ndio waliokuwa wenyeji wa nchi hiyo.
GEN.13.8	Basi, Abramu akamwambia Loti, “Kusiwe na mafarakano kati yetu wala kati ya wachungaji wako na wachungaji wangu, kwa sababu sisi ni jamaa moja. 
GEN.13.9	Tazama nchi hii yote mbele yako. Na tutengane. Ukienda kushoto, mimi nitakwenda kulia; ukienda kulia, mimi nitakwenda kushoto.”
GEN.13.10	Loti akatazama, akaliona bonde la mto Yordani, akaona kuwa lina maji ya kutosha kila mahali, kama bustani ya Mwenyezi-Mungu na kama nchi ya Misri upande wa Soari. (Hii ilikuwa kabla Mwenyezi-Mungu hajaiangamiza miji ya Sodoma na Gomora). 
GEN.13.11	Kwa hiyo, Loti akajichagulia bonde lote la mto Yordani, akaelekea mashariki, na hivyo wakatengana. 
GEN.13.12	Abramu akabaki nchini Kanaani na Loti akakaa kati ya miji iliyokuwa bondeni, akahamishia kambi yake Sodoma. 
GEN.13.13	Watu wa Sodoma walikuwa waovu na watenda dhambi wakuu dhidi ya Mwenyezi-Mungu.
GEN.13.14	Baada ya Loti kujitenga na Abramu, Mwenyezi-Mungu akamwambia Abramu, “Angalia toka hapo ulipo utazame pande zote: Kaskazini, Kusini, Mashariki na Magharibi. 
GEN.13.15	Nchi hii yote unayoiona nitakupa wewe na wazawa wako iwe yenu milele. 
GEN.13.16	Wazawa wako nitawafanya wawe wengi wasiohesabika, kama vile mavumbi ya nchi yasivyoweza kuhesabika! 
GEN.13.17	Basi, inuka uitembelee nchi hii katika mapana na marefu, kwani nitakupa wewe.” 
GEN.13.18	Kwa hiyo, Abramu akangoa hema, akaenda kukaa karibu na mialoni ya Mamre kule Hebroni; huko akamjengea Mwenyezi-Mungu madhabahu.
GEN.14.1	Wakati huo, mfalme Amrafeli wa Shinari, mfalme Arioko wa Elasari, mfalme Kedorlaomeri wa Elamu na mfalme Tidali wa Goiimu, 
GEN.14.2	walipigana vita dhidi ya Bera mfalme wa Sodoma, dhidi ya Birsha mfalme wa Gomora, Shinabu mfalme wa Adma, Shemeberi mfalme wa Seboimu, na dhidi ya mfalme wa Bela (yaani Soari). 
GEN.14.3	Wafalme hao watano waliyaunganisha majeshi yao katika bonde la Sidimu (yaani Bahari ya Chumvi). 
GEN.14.4	Kwa muda wa miaka kumi na miwili walikuwa wakimtii mfalme Kedorlaomeri, lakini mnamo mwaka wa kumi na tatu, walimwasi. 
GEN.14.5	Mnamo mwaka wa kumi na nne, mfalme Kedorlaomeri na wale wafalme wenzake walikuja na kuwashinda watu wa Refaimu huko Ashtaroth-karnaimu, na Wazuzi huko Hamu, na Waemi huko Shawe-kiriathaimu, 
GEN.14.6	na Wahori huko mlimani kwao Seiri, wakawafukuza hadi Elparani, mpakani mwa jangwa. 
GEN.14.7	Kisha wakarudi nyuma mpaka Enmishpati (yaani Kadeshi), wakaivamia nchi yote ya Waamaleki, na kuwashinda Waamori waliokaa Hasason-tamari.
GEN.14.8	Ndipo mfalme wa Sodoma, mfalme wa Gomora, mfalme wa Adma, mfalme wa Seboimu na mfalme wa Bela 
GEN.14.9	(yaani Soari), wakaingia vitani katika bonde la Sidimu kupigana na Kedorlaomeri mfalme wa Elamu, Tidali mfalme wa Goiimu, Amrafeli mfalme wa Shinari na Arioko mfalme wa Elasari; wafalme wanne dhidi ya wafalme watano. 
GEN.14.10	Bonde la Sidimu lilikuwa limejaa mashimo ya lami; kwa hiyo wafalme wa Sodoma na Gomora walipokuwa wakiikimbia vita, wakatumbukia humo, lakini wengine wakatorokea mlimani. 
GEN.14.11	Basi, wale walioshinda, wakateka mali yote ya Sodoma na Gomora, kadhalika na mazao yao, wakaenda zao. 
GEN.14.12	Walimteka hata Loti, mwana wa nduguye Abramu aliyekuwa anakaa Sodoma, pamoja na mali yake, wakaenda zao.
GEN.14.13	Mtu mmoja aliyeponyoka, akaenda kumwarifu yule Mwebrania Abramu ambaye alikuwa anaishi karibu na mialoni ya Mwamori Mamre. Mamre alikuwa ndugu yake Eshkoli na Aneri. Wote walikuwa wamefanya agano na Abramu. 
GEN.14.14	Abramu alipopata habari kwamba mpwa wake amechukuliwa mateka, akatoka na watu wake stadi 318 waliozaliwa katika nyumba yake, akawafuatia adui mpaka Dani. 
GEN.14.15	Huko, akaligawa jeshi lake katika makundi. Usiku, akawashambulia adui zake, akawashinda na kuwafukuza hadi Hoba, kaskazini mwa Damasko. 
GEN.14.16	Basi, Abramu akaikomboa mali yote iliyotekwa na adui, na kumkomboa Loti mpwa wake, mali yake, pamoja na wanawake na watu wengine.
GEN.14.17	Abramu aliporudi baada ya kumshinda mfalme Kedorlaomeri na wenzake, mfalme wa Sodoma alitoka kwenda kumlaki katika bonde la Shawe, (yaani Bonde la Mfalme). 
GEN.14.18	Naye Melkisedeki, mfalme wa mji wa Salemu, ambaye alikuwa kuhani wa Mungu Mkuu, akaleta mkate na divai, 
GEN.14.19	akambariki Abramu akisema,
GEN.14.19	“Abramu na abarikiwe na Mungu Mkuu,
GEN.14.19	Muumba mbingu na dunia!
GEN.14.20	Na atukuzwe Mungu Mkuu,
GEN.14.20	aliyewatia adui zako mikononi mwako!”
GEN.14.20	Naye Abramu akampa Melkisedeki mchango wake sehemu ya kumi ya vitu vyote alivyokuwa navyo.
GEN.14.21	Mfalme wa Sodoma akamwambia Abramu, “Nipe hao watu, lakini jichukulie mali yote wewe mwenyewe.” 
GEN.14.22	Lakini Abramu akamwambia mfalme wa Sodoma, “Naapa kwa Mwenyezi-Mungu, Mungu Mkuu, aliyeumba mbingu na dunia, 
GEN.14.23	kwamba sitachukua uzi au kamba ya kiatu, wala chochote kilicho chako, usije ukajivuna na kusema kwamba umenitajirisha. 
GEN.14.24	Basi, sitachukua chochote isipokuwa tu vile vitu vijana wangu walivyokula na sehemu ya wale waliokuwa pamoja nami, Aneri, Eshkoli na Mamre ambao wana haki nayo.”
GEN.15.1	Baada ya mambo hayo, neno la Mwenyezi-Mungu lilimjia Abramu katika maono, “Abramu! Usiogope! Mimi ni ngao yako. Tuzo lako litakuwa kubwa!” 
GEN.15.2	Lakini Abramu akasema, “Ee Mwenyezi-Mungu, utanipa nini hali naendelea kuishi bila mtoto, na mrithi wangu ni Eliezeri wa Damasko? 
GEN.15.3	Tazama! Hujanijalia mtoto; mtumwa aliyezaliwa nyumbani mwangu ndiye atakayekuwa mrithi wangu!”
GEN.15.4	Ndipo Mwenyezi-Mungu akamwambia, “Huyu hatakuwa mrithi wako! Mwanao halisi ndiye atakayekuwa mrithi wako.” 
GEN.15.5	Hapo Mwenyezi-Mungu akamleta Abramu nje na kumwambia, “Tazama mbinguni! Zihesabu nyota, kama kweli utaweza kuzihesabu! Hivyo ndivyo wazawa wako watakavyokuwa wengi!” 
GEN.15.6	Abramu akamwamini Mwenyezi-Mungu, naye Mwenyezi-Mungu akamkubali Abramu kuwa mwadilifu.
GEN.15.7	Mwenyezi-Mungu akamwambia Abramu, “Mimi ndimi Mwenyezi-Mungu niliyekuleta toka Uri, mji wa Wakaldayo, ili nikupe nchi hii uimiliki.” 
GEN.15.8	Lakini Abramu akamwambia, “Ee Mwenyezi-Mungu, nitajuaje kwamba nitaimiliki nchi hii?” 
GEN.15.9	Mwenyezi-Mungu akamwambia, “Niletee ndama wa miaka mitatu, mwanambuzi jike wa miaka mitatu, kondoo dume wa miaka mitatu, na hua na kinda la njiwa.” 
GEN.15.10	Abramu akamletea hao wote, akamkata kila mnyama vipande viwili, akavipanga katika safu mbili, vikielekeana; lakini ndege hakuwakata vipande viwili. 
GEN.15.11	Na tai walipoijia hiyo mizoga, Abramu akawa anawafukuza.
GEN.15.12	Jua lilipokuwa likitua, Abramu alishikwa na usingizi mzito; hofu na giza nene vikamfunika. 
GEN.15.13	Hapo Mwenyezi-Mungu akamwambia Abramu, “Ujue hakika ya kwamba wazawa wako watakaa kama wageni katika nchi isiyo yao, watakuwa watumwa na watateswa kwa muda wa miaka 400. 
GEN.15.14	Hata hivyo, nitaliadhibu taifa watakalolitumikia, na hatimaye watatoka wakiwa na mali nyingi. 
GEN.15.15	Lakini wewe mwenyewe utaishi maisha marefu na kufariki kwa amani. 
GEN.15.16	Wazawa wako watarudi hapa katika kizazi cha nne, kwa sababu uovu wa Waamori haujakamilika bado.”
GEN.15.17	Jua lilipokwisha tua na giza kuingia, tanuri ifukayo moshi na mwenge uwakao moto vikapita katikati ya vile vipande vya nyama. 
GEN.15.18	Siku hiyo, Mwenyezi-Mungu akafanya agano na Abramu akisema, “Wazawa wako ninawapa nchi hii, toka mto wa Misri hadi ule mto mkubwa wa Eufrate, 
GEN.15.19	yaani nchi za Wakeni, Wakenizi, Wakadmoni, 
GEN.15.20	Wahiti, Waperizi, Warefai, 
GEN.15.21	Waamori, Wakanaani, Wagirgashi na Wayebusi.”
GEN.16.1	Basi, Sarai, mkewe Abramu, alikuwa bado hajamzalia mumewe mtoto. Lakini alikuwa na mjakazi aliyeitwa Hagari, kutoka Misri. 
GEN.16.2	Basi, Sarai akamwambia Abramu, “Unajua kuwa Mwenyezi-Mungu hajanijalia kupata watoto. Mchukue Hagari mjakazi wangu; huenda nikapata watoto kwake.” Abramu akakubali shauri la Sarai.
GEN.16.3	Kisha, Sarai akampa Abramu Hagari, mjakazi wake ambaye alikuwa Mmisri, awe mke wake. Haya yalitokea baada ya Abramu kukaa katika nchi ya Kanaani kwa muda wa miaka kumi. 
GEN.16.4	Abramu akamchukua Hagari, naye Hagari akapata mimba. Lakini mara tu alipoona amepata mimba, Hagari akaanza kumdharau bimkubwa wake. 
GEN.16.5	Sarai akamwambia Abramu, “Wewe utawajibika kwa ubaya ninaotendewa. Mimi nilikupa mjakazi wangu, lakini alipopata mimba, mimi nimekuwa duni machoni pake! Mwenyezi-Mungu na ahukumu kati yako na mimi!” 
GEN.16.6	Lakini Abramu akamwambia Sarai, “Mjakazi wako yuko chini ya mamlaka yako; mfanyie upendavyo.” Basi, Sarai akamtesa Hagari mpaka akatoroka.
GEN.16.7	Malaika wa Mwenyezi-Mungu akamkuta Hagari penye chemchemi ya maji jangwani, chemchemi iliyoko njiani kuelekea Shuri. 
GEN.16.8	Malaika akamwuliza, “Hagari, mjakazi wa Sarai! Unatoka wapi na unakwenda wapi?” Hagari akamjibu, “Namkimbia bimkubwa wangu Sarai.” 
GEN.16.9	Yule malaika wa Mwenyezi-Mungu akamwambia, “Rudi kwa bimkubwa wako Sarai na umtii.” 
GEN.16.10	Zaidi ya hayo, malaika wa Mwenyezi-Mungu akamwambia Hagari, “Nitawazidisha wazawa wako hata wasiweze kuhesabika kwa wingi wao.” 
