MRK.1.1	Ne Adaghsaweaghtsera ne Gospel Jesus Christ ne Niyoh Royè‐ah.
MRK.12.6	Rodadeàrouh sègouh na‐nè wahhòeny easkagh Royeà‐ah, raouhha ronoroughkwa‐òewe, raouhha yahhonhàne òni n’oghnakeànke ronouhhàge, ràdouh, eahhoewakònnyeághsde neanè n’Iyeà‐ah.
MRK.12.7	Ok keagàyea ne Radiyènt‐hoghs wahhonnìrouh ronouhha tsinihàdyh, nenekeà deaghneah Kadeweanìyoghsde dàre; eghts‐hidewarryoh raouhha, neoni n’Ahodeweaniyòghsdouh I Ong?-?gwàwea eawàdouh.
MRK.12.8	Neoni wat‐hoewayàdaghkwe raouhha, neoni wahhoewarryoh, neoni ìssy yahhòewayadòndy ne Tsikahheghdayea.
MRK.12.9	Ogh kàdy ne et‐hòne ne Royàner ne Tsikahheghdayea n’eahhattyere et‐ho eàrawe? Eaghsa?-?kòghdónde ne Radiyent‐hoghs, neoni easeghsakà?-?ouh Tsi‐royent‐houghne t’hiyeyadadènnyoughse.
MRK.12.10	Neoni yagh desewaweanaghnòdoughs kea Kaghyadoughseradogeaghdy? Ne Oneàya nenà‐ah ne Radinoughsònighs wat‐hadìghswea ne sè ontya?-?dakwenìyoste nè‐e sè nà‐ah T’kayadagwenìyoh t’kakowànea ne Tsideyodenhoughdawéa‐eh: (Ka?-?noughsa‐èawagouh).
MRK.12.11	Kea gàyea nà‐ah ne Royàner tsinihayerrha, neoni Yorighwaneghrackwaght nà‐ah tsi‐deyagwa?-?kànere Akwakaghdège?
MRK.12.12	Neoni ronouhha wahhdirighwìsake n’eakòewayàna, ok waghsakodits‐hànige ne Ongwehòkouh: ikea ronaderyèndare nene tsiwahhadàdy ne Teyorighwageawaghdouh ronouhha shakòdouh: neoni èrea sahhòneghde ne raouhhàge, sahhoughdeàndy tsini‐t’honènouh.
MRK.12.13	Neoni dàghsakodinhàne ronouhha raouhhàge radiyadadògea ne na‐nèh Pharisees, neoni ne Herodians, ne ahhadiyèna raouhha Raoweanàge. (Nahadirighwats‐heariyònhight.)
MRK.12.14	Neoni ne onea et‐ho wahhònewe wahhoeweahhaghse raouhha, Seweanìyo, yongwaderyèndare nene n’ìsé tokeaghske‐òewe Teghsongwedayèry, neoni yaoughka teghseraghkwa n’Ongwe: Ikea yagh deghsyendarrha tsiniyeyadòdea n’Ongwe, ok serighhonnyèny tsinityoderighwìnouh Niyoghne Tokeaghske‐òewe‐tseràgouh: T’karighwayèry kea n’eaghsakyouh a‐agh‐sakwaròroks‐he ne Cesar, kea deas kàyea ne yaghdea?
MRK.12.15	Eaghsakyouh gady keah, kea deas kàyea ne yagh‐tha‐aghsakyouh? ok roderyèndare‐òewe ne tsiok t’hihadirighwaghraghkwa t’hive‐oneano?-?weàghdouh, waghsakaweahhaghse ronouhha, oghna‐ah wadeghskwadeanakèraghde? kassenìhha ne Penny nene akatkaght‐ho.
MRK.12.16	Neoni et‐ho wa‐èhhewe. Neoni waghsakaweahhaghse ronouhha, Oughka ne Aoyadòny neoni ne kea Kayanàdouh? Wahhonnìrouh ne raouhhàge, Cesar Raòweahk.
MRK.12.17	Neoni Jesus tondahhadàdy waghsakaweahhaghse, Eghts‐hitsyadeweandeghdàs ne Cesar ne Tsinakarihhòdeáse ne raouhha raweanìyouh Cesar, neoni ne Nìyoh ne Tsinakarihhòdeáse nene Nìyoh raweanìyouh. Neoni ronouhha wahhoewanegh?-?ràgouh.
MRK.12.18	Et‐hoghke wahhònewe raouhhàge ne Sad?-?ducees, ne na‐ah ne ròndoughs yagh‐T’hoesayont?-?ketskouh; neoni wahhoewarighwanòndoughse, wah?-?onnirouh,
MRK.12.19	Seweanìyoh, Moses songwaghyàdóese, Tòga ne Rongwe Yadadegeà‐ah eaghreàhheye, neoni Ronekeahha eayodàdeare raoghnàgea, neoni yagh dehhodiwìrayea, nene Yadadegeà‐ah deasyattyea ne Ronekeahha, neoni ne eas‐haketsko n’Yadadegeà‐ah Raònea.
MRK.12.20	Onwa nònkea na‐ah Tsyadaghk Nihhonda?-?degeà‐aghne: neoni ne tahhatyèreaghde wahhon?-?nyàke, neoni waghreahheye yagh Tehhowirayendàouh.
MRK.12.21	Neoni ne tekenihhàdont toesahhyattyea, neoni waghreahheye, yaoni neanè tehhowirayendàouh; neoni n’aghseahhadont et‐ho ne na‐àwea.
MRK.12.22	Neoni ne tsyadaghk radigwègouh wahho?-?dinnyàke aouhha, neoni yagh‐deghodiwirayendà?-?ouh; ne oghnakeànke agwègouh ne Tyodhoewìsea oni wakeahheye.
MRK.12.23	Ne Entsyontketskoh nè‐eh gàdy, ne onea tes?-?hadìdáne, oughka Ròne eawàdouh n’aouhha tsinihàdih? ikea‐ne‐tsyàdagh’k Rodine‐keahha aouhha.
MRK.12.24	Neoni Jesus tahhadàdy wahheàrouh ne ronouhhàge, Yagh keah desewayadaghdo‐òe kàdy, ne karihhòeny ne yagh desewaderyèndare ne tsinì?-?Kaghyadoughseròdeáse, yagh oni ne tsinihhaes?-?hatsde ne Nìyoh?
MRK.12.25	Ikea ne onea deantsyèdáne entsyontkètskoh ne Keahheyònke nonkàdyh, ronouhha yaghdea oni t’hoesayakonnyake yaghdea oni t’hoesayondaden?-?nyàkdea: ok sè aneayoghdouh tsinìyough ne Ka?-?roughyakeghrònouh, ne nà‐ah Karoughyàge t’ha?-?dìderouh.
MRK.12.26	Neoni ne Tsiyaorighwìsaghde ne Yaka?-?weahhèyouh, nene entsyontkètskoh: yagh keah desewaweanaghnòdoughs Raoghyadoughseràgouh ne Moses, tsiniyaweà‐ouh Oighyeanòkouh Niyoh sahhodattyàse raouhha, wahheàrouh, I‐Ih ne Niyoh ne Abraham, neoni ne Nìyoh ne Isaac, neoni ne Nìyoh ne Jacob?
MRK.12.27	Raouhha yagh ne Nìyoh dègeah n’Yakaweahhèyouh, ok ne Nìyoh ne nanè Yakònhe. Ne?-?kady wahhòeny kowaneaghtsìhouh wesewaka?-?dàghtouh.
MRK.12.28	Neoni sayàdah nene Rought‐harrha (Scribes) wàrawe, neoni rot‐hònde, ne oghseròny tsinat‐hodirìwawea: neoni yahhonikoughrayèndáne nene t’karighwayèry tsinoedahhadàdy ne ronouhàge, wahhorighwanòndoughse raouhha, kà nikàyea ne tyotyereaghdouh Weànyh ne agwèkouh tsinìkouh?
MRK.12.29	Neoni Jesus tahhadàdy raouhhàge, Ne tyotyereaghdouh nà‐ah ne agwègouh Tsiniweànyh, Tsyat‐hòndek, O Israel, ne Royàner Ongwanìyoh sayàdah ne Royàner:
MRK.12.30	Neoni eaghts‐henoroùghkwake nà‐ah Royàner Sanìyoh Seriaghsagwègouh, neoni Sadonhets?-?heragwègouh, neoni Sanikoughragwègouh, neoni Sès‐hatsdeaghseragwègouh. Keagàyea ne tyotyereaghdouh Weànyh.
MRK.12.31	Neoni nane tekenihhadont sadèyought, keagàyea, senoroughkwak Saghsyàdat ne tsisenighsa?-?dad’denoròughkwa: Yaghkanè t’hakàdeke Awea?-?nì‐hake seahha Akarihhowànea tsi ne kea nìyoght ne keà‐eah.
MRK.12.32	Neoni ne Raght‐harrha (Scribe) wahhaweahhaghse raouhha, Seweanìyoh, agwagh et‐hògh?-?tsy ne tsinaghsìrouh, ne n’agwagh Tokeaghske‐òewe: Ikea shayàdah na‐nè Nìyoh, neoni yaghkaneka ne t’hakàdeke ne ok ne Raouhha.
MRK.12.33	Neoni n’eahhòewanoroughkwake n’Eaka?-?weriaghsagwègouh, neoni agwègouh Tsiniyough?-?rònkha, neoni Akodonhets‐heragwègouh, neoni agwègouh Tsinise‐es‐hatsde, neoni eahhonorough?-?kwake ne Saghniyàdat tsinihadaddenoroughkwa ne raouhha, yeyottohhetsdouh keagàyea Karihhowà?-?neaghnónke ne Yondàwighs Ròewaniyougkkwa Otsisdàge yèyeaghs ne Nìyoh.
MRK.12.34	Neoni ne onea Jesus wahhatkaght‐ho tsi?-?tahhadàdy yorighwakonnyeaghst, wahhaweahhaghse raouhha, yagh ìnouh dedeghsèse ne Raoyanertsera?-?gouh ne Niyoh. Neoni yaghoughka ne et‐ho oghnakeànke n’aye àre shirighwanòndoughs eghska?-?ènouh.
MRK.12.35	Neoni Jesus tahhadàdy neoni wahheàrouh, tsinahhe waghsakorihhonnyea ne Kanoughsakouh, (ne Temple) wahhy ròndouh ne Rought‐harrha, (Scribes) nene Christ nà‐ah David Royeà‐ah?
MRK.12.36	Ikea David raouhha ràwea ne Kanikoughri?-?yoghsdaghkne, Ne Royàner wahhaweahhaghse n’Akyanèda, Satyea keànt‐ho Tsikeweyendeghdaghkouh Khesnònke, nyàre eakheyòeny ne Yesàghs?-?weaghse ne Deaghseyaraghsidageàseraghkwe.
MRK.12.37	David ne wahhòny ne raouhha yadehhayàdih wahhonàdoughkwe raouhha Sayàner; neoni kà non?-?dàwe kàdy na‐nè raouhha Roveà‐ah akeàhake? neoni ne ok Hongwesòeah t’hikeà‐ah roewat‐honde waonts‐henòny.
MRK.12.38	Neoni waghsakaweahhaghse ronouhha ne Raorìwagouh tsinihhorihhòdea, Tsyadadenigòerarak tsinihadiyadòdea ne Rought‐harrha, (Scribes) na‐nè radinòewese tsirònese ne yòesoughse ne Raodinèna, neoni radinòewese ne tahhoewadinoughweràdouh ne et‐ho Tsiyondeaghninònt‐ha Yontkeghrondàghkwa,
MRK.12.39	Neoni ne tsi‐Kanakdagwenìyóse ne et‐ho tsiyakotkeàsouh ne Synagogues, neoni n’agwagh Enekeaghtsy ni‐Kanakdennyouh ne onea Waonda?-?deanyòdea.
MRK.12.40	Ne nà‐ah sakodikarryèny ne Yakodeghrè‐oughse Yakonoughsòdouh, neoni ikea t’hihhade?-?righwaghraghkwa radirighwetst‐ha ne wahondereà?-?nayea: nè‐e kàdy nà eahhadiyèna ne seahha kowànea Eahhondetsìraghdághkwe ne oddyake tsi?-?neayàwea.
MRK.12.41	Neoni Jesus wahhattyea eghnòewe n’ade?-?yodokeaghdouh tsinoe kàyea tsiyoght‐kawaghs ne yeghwisdaròroks, (ne Keandeàrouh n’Aorihhòdea) neoni teghsakokànere tsiniyakoyèreahattyeh n’Ongwehòkouh tsiyeyakottyèse n’Oghwisda: neoni yawetowànea nene Akots‐hogòwah èso ya‐akòdyh.
MRK.12.42	Neoni ét‐ho wàoewe yeyadatògeah yakòdeagh Yakodeghrè‐oughse, neoni yaòdyh tekeni kea‐nà tekarisdà‐ah, nene yetsyogeà‐ah ne Skarisdagh tsiniyorìwa.
MRK.12.43	Neoni yagh‐sakònonke ne Raotyoughkwa raouhhàge, neoni waghsakaweahhaghse ronouhha, agwagh wagweahhaghse, nene keagayèa ne yòdeaght Yodeghrê‐oughse yaòdy seahha èso ne tsinìkouh agwegouh ya‐akòdy ne et‐ho:
MRK.12.44	Ikea yaghnè t’hakarihhòeny ne tsiniyawe?-?dáse yahhonattyeghsouh: ok n’aouhha dewatkar?-?riaghse yaòdy kàdy agwègouh tsiniyoyèndaghkwe, ne n’agwagh agwègouh ne Yonheghkòne.
MRK.13.1	Neoni ok ne tsisahhaghdeàndy sahhayàgeane Kanoughsakouh, (ne Temple) sayàdagh ne Raotyoughkwa wahheàrouh ne raouhhàge, Seweanìyoh, satkaght‐hoh tsiniyotyèrea ne kea Oneaya?-?òkouh, neoni tsiniyeweyeàna ne Sa‐enoughsòny ne keà‐eah!
MRK.13.2	Neoni Jesus dahhadàdy wahheàrouh ne rà?-?ouhhàge, Teghskànere ne kea‐eah Kaweyeanowà?-?nea Tsiyakonoughsòenigh? Yaghkaneka na‐àh Skaneàyat t’hadonsakayàserake ne yaghdea eghdàge t’heawattyòehhake.
MRK.13.3	Neoni ok ne tsireànderouh Onontohharàge ne Olives, ok hegh‐nòe deyottokeaghdouh tsi‐nòe ne Kanoughsode, (ne Temple) Peter neoni James neoni John neoni Andrew wahhoewarighwanòndoughse adaghseghdònke,
MRK.13.4	Tackwaghròryh katke ne ònea et‐ho n’eayà?-?weane ne kea Eaghtsinikarihhòdea? neoni oghna?-?hodea eankeandouhheke ne onea et‐ho agwègouh yekayèrine ne Tsinikarihhòdea?
MRK.13.5	Neoni Jesus tahhadàdy ronouhhàge, tahha?-?dàghsawea ne wahhèarouh, Tsyadadenikòerarak àgare eas eayetsinikoerhàdea oughkaok ne Ongweh.
MRK.13.6	Ikea yawetowànea eàyóewe ne I‐Ih Kseana?-?kouh, eayondouhheke, I‐Ih ne Christ; neoni nà‐ah eayondaddenikoerhàdea yawetowànea.
MRK.13.7	Neoni onea easewàronke Aderiyoghsera, neoni Eayonderìyoghserouh, toghsa ne daesewadde?-?nikoerrhàrea: Ikea ne eghnikarihhòdeáse agwaghhok eghneayàweáne; Ok ne Tsiyeyoderrìhhókde arekhoh neanè t’heakeàhake shègouh.
MRK.13.8	Ikea T’yaka‐oughwent‐syah nà‐ah deayèdáne ne T’hiyakaoughwentsyàde ne eayondadat‐kokòn?-?dea, neoni Skagoraghts‐hera neoni T’hikayanert?-?seràde ne eahhotkòndea: neoni na‐nèh Teyaough?-?wentsiss‐houghseke t’hikadès‐houh tsinòewe, neoni ne Eayakaweàndaghske, neoni Teyonikoer‐hàraght: nè‐e wahhy ne keà‐eah ’neadewadàghsawea Oni?-?koughraksadàne.
MRK.13.9	Ok Tsyadadenikòerarak ne ìsé: Ikéa et‐ho yeayets‐hiyàt‐hewe Tsityakotsìhhayea; (eayets‐hi?-?naghskònyh) neoni Tsiyakotkeanissouh ne Syna?-?gogue‐tseràgouh eayets‐hiyèsaghde: neoni et‐ho eayetsiyàt‐hewe tsiradiderouh ne Radirighwagwa?-?righsyoughs neoni ne Gorahhòkouh ikea I Akerìwa, (eakarihhòeny) ikea ne watròry ne ronouhhàge.
MRK.13.10	Neoni ne Gospel (Orighwatogeaghty) agwagh ok eandewatyèreaghde eankarihhòwanaghdouh Akot?-?youghgwakouh ne Niyadeyakaoughwentsyàge agwègouh.
MRK.13.11	Ok ne onéa eayets‐hinontshìne, watòkea?-?yeayetsìderouh, (Sewanaghsgwa eakeàhake) toghsa yaseanoughdonnyouh ohhèandouh tsinahhòdea eagh?-?sìrouh, toghsa ot‐hènouh sattadenikoughrissòehak: ok tsioknahhòdea eayesawìacke nene sàga eawadat?-?tyeh nene nè Hour, nè‐eh eaghsadàdy: Ikea yaghsè dèkeah ne eaghsadàdy, ok Ronikoughri?-?yoghsdòese.
MRK.13.12	Noewe et‐hòne nene Yadadegeà‐ah eahho?-?nikoughràserea n’Yadadegeà‐ah eahhodeweàndeghde eaghrèahhéye, neoni ne Roewanihhah ne Sakoyeà‐ah: neoni n’Ondattyeà‐ogòeah nà deayèdáne ronouhàgeh ne Sakonadewedouh, neoni eahhoewa?-?nadeweàndeghde deaghnìghheye.
MRK.13.13	Neoni eayets‐highweàghseke agwègouh n’Ongwe ikea I n’à‐akerihhonnyàt; Ok raouhha nene yadehharihhòghserade yehhàhhéwe Tsiyeyò?-?dókde, ne sahhayàdagh eahhoewayàdackoh eahho?-?yadadèry.
MRK.13.14	Ok ne onea nà easewatkaght‐hoh Winade?-?yonòeyánight, kàye sè eawàdouh tsinit‐haweagh?-?nate Daniel ne Prophet, ìráde tsinòewe yagh‐et‐ho t’hakeà‐hake (kìnyoh raouhha na‐nè eahhaweanagh?-?nòdouh ronikoughrayèndane) et‐ho ne ronouhha na‐nèh Judea tseràkouh radìderouh rondègoh tsi‐Tyenondennyouh ni‐yehhòneh:
MRK.13.15	Neoni kìnyoh raouhha na‐nèh Kanoughsà?-?geh reantsgwahhere, yaght‐ha tondahhàtsnéaghde ne Kanoùghsákouh, yagh oni t’hiyoesahhadaweyade, ne yadonsàraghgwe ot‐hènouh ne Raonoùghsa?-?kouh;
MRK.13.16	Neoni kìnyoh raouhha na‐nèh Kahheandàge yèrése yaghdea noesahhàghkede shègouh ne yadòe?-?sahhoghkwea ne Raonèna.
MRK.13.17	Ok wa‐aihheye akaouhha nene yenèrouh, neoni akaouhha nene yontsdarònt‐ha ne et‐hone Eawighniseradenìonke!
MRK.13.18	Neoni aontyeseàhháke yaghtea Koghseràge t’hakeàhake ne et‐hogkeh nòewe.
MRK.13.19	Ikea ne et‐hone Eaweghniseradenìonke Te?-?wadonnhakarryeah, tsineayàweáne ne na‐ah ne yaghnoeweàndouh egh detyaweà‐ouh tsinonkàdih tyodàghsawe shondahhayadissah na‐nèh Niyoh raya?-?dissouh, ne keant‐ho oughwàge, yagh oni òya egh?-?t’hiyoesayàwea.
MRK.13.20	Neoni tòga ne Royàner yaghkea t’ha‐agh?-?rontsdahhenè‐ah et‐hòne Eaweghniseradenìonke, yagh ogh‐T’haowaghròdea taondohhets akoewayà?-?dákouh ayakoyadadèry: Ok nene Sakoyadado?-?geàghsdouh akorihhonnya‐at, ronouhha ne sakoya?-?darackwea, (nene tokeaghske Yakoyeghtaghkoh:) keanihha‐ontsdòe‐ah Keaneaghreghniseretsda.
MRK.13.21	Et‐hogh’keh, tòga oughka n’Ongwe eayets?-?hiyeahhaghse, Tsyat‐kaght‐hoh, keah reànderouh ne Christ; ne deas, cayaìrouh, et‐ho nòewe t’heanderouh; toghsa kaghts‐hiseneghdaghk. (Toghsa t’syat‐hòntagh.)
MRK.13.22	Ikea onòwea Christ, neoni onòwea Prophet?-?hòkouh na‐ah teahhadìdane, neoni eaghsakodina?-?dòe‐haghse Yotyanadannyoh neoni Yorighwanegh?-?rackwaghdennyoh, tsineayàweáne eankarighwaya?-?daghdoùghsérouh ok oni ne t’heawatyèrea, tsineayakoyàdawea ne Shakoyadarackweah.
MRK.13.23	Ok tsyadadenikòerarak: tsyatkaght‐hoh, ohheàndouh tackwaghròry ìsé Orighwagwègouh.
MRK.13.24	Ok ne et‐hone nòewe Eaweghniseraden?-?nyonke, oghnakèankeh n’ea eayorighweandà‐ouh Tsineayakoyàdawea, ne Karaghkwa eantyòkaraghwe nà‐ah, neoni ne Eghnìda yagh t’hadoesakaghsswat?-?hède;
MRK.13.25	Neoni ne Otsistoghkhòkouh oddyake ne Karoughyàge eandewàseáne nà‐ah, neoni ne Kaes?-?hatsdeaghtsera‐òkouh ne Karoughyàge gàyea dea?-?watkareàrouh nà‐ah.
MRK.13.26	Neoni et‐hoghkeh nà‐ah eahhoewatkaght?-?hoh nene Ongwe Roewayeà‐ah eantre Ots‐hàdá?-?kouh yeghnigwègouh ne Kaes‐hatsdeaghtserowà?-?nea neoni Oeweseaghtsera.
MRK.13.27	Neoni et‐hogh nà‐ah yeaghsakònháne ne Raoroughyakeghronoe‐òkouh, neoni eaghsakodiya?-?daròrokeoghseròenih ne Sakoyadadogeaghsdouh t’ha?-?deayoughwentsyawerrhoh, tsinongàdyh n’agwagh tsinadeyoughwentsyakdattye, ne n’agwagh tsideyod?-?òkdanihhouh ne Karoughyàge.
MRK.13.28	Noewa tsyadaderighhonnyouh ne Tekarighwageawàghdouh na‐nè Tsyokaghreghdèse Karònda; ne onea n’Aonhaghde nà shègouh odònkah, neoni ean’ kaneraghdòndea, tsyaderyèndare ne Akènnha ok hèt‐ho onea ìwe.
MRK.13.29	Ne kàdy sadekarihhòdea, ne onea nà‐ah easewatkat‐hoh nenekeà Tsinikarihhòdease eàwawe et‐ho neayàweáne, tsyaderyèndare nene onea ok?-?het‐hoh ne n’agwagh onea Kanhohhakda.
MRK.13.30	Agwagh wakweahhaghse, nene keà‐eah n’Oewayeghnegwaghsade nà‐ah yagh t’hayontoh?-?hetsde nyàre agwègouh ne keà‐ea et‐ho neayàweáne.
MRK.13.31	Karoughyàge neoni Oughwentsyàge nà‐ah eawadohhetsdàtsiwe: ok n’Akeweanòkouh nà‐ah yagh t’haondohhetsde.
MRK.13.32	Ok nene Eghweghniseràde neoni nene egh?-?weawàdeke ne Hour, yagh deyakoderyèndare oughka n’Ongwe, yaghdeàtsiwe ne Karoughya?-?keghrònoe nà ne Karoughyàkouh, yagh oni ne Roewàyea, ne ok ne Ranihhah.
MRK.13.33	Tsyadadenikòerarak, tsyattyeghwàdea neoni tsyadereànayea: Ikea yagh desewaderyèndare ne onea et‐hone nòewe.
MRK.13.34	Ikea ne Ongwe Roewayeà‐ah tsinìyogh nanè Rongweh ne wat‐hahhaghgwe Wat‐hahhi?-?nòntseris, wahhonoughsòndy Tsironoughsode, neoni waghsakà‐ouh ne Yondeanakeraghdouh ne Sakon?-?hàse‐òkouh, neoni niyadehhàdy wadokeaghtsy n’eah?-?hoyòdea, waghsakaweahhaghse ne Teyenhòhhánoe ne sattyeghwàdea (ne katigh satteakòerarea)
MRK.13.35	Tsyattyeghwàdea kàdy: Ikea yagh desewaderyèndare katkeh onea ne Raweanìyoh tsi?-?Kanoughsode teantre: Yokaraghsk‐hah, tòga deas Aghsònt‐heah, tòga deas tsinit‐kondàdighs ni’ Kitkit, tòga deas Orhonkèghtsy:
MRK.13.36	Agare easewatyèrea tsiok teantre, eaghts?-?hìsewayadats‐heàry easeweandàseke.
MRK.13.37	Neoni tsinahhòdea kàdouh ne isège, kàdouh agwègouh, tsyattyeghwàdea.
MRK.14.1	Oghnakeànke tekeny Wadewàda na‐nè wadeàn?-?yóde ne Passover, (Odònkóghde koewàyats) ne oni nè yagh dewat‐deangwàghdouh Kanàdarohk: neoni ne T’hadiyadagwenìyóse ne Raditsihughs?-?datsy neoni neRought‐harrha (Scribes) radirighwìsaks tsinahadìyere n’ahoewayèna ayotkònke tsi?-?nonderighwayèráde, neoni n’ahoewarryoh.
MRK.14.2	Ok wahhonìrouh, yaghdea oughde ne et‐hòne ne Wadeànyode Eaweghniseràdeke, àkare eas‐ok ya‐t’ha‐desewadat‐hòndeke n’Ongwehòkouh. (tòga eant‐hondeàroh eas‐hoewakadackoh)
MRK.14.3	Neoni et‐ho reàndérouh Bethany, Raonoughsakouh ne Simon ne Ro‐oeraràsgwe (Leper) ok ne tsireànderouh tehhontskàhouh, et‐ho òewe, Tyodhoewìsea kahhàwy Kahhoùghsis ne Alabaster, Wea?-?yeniyoghtsìyouh Spikenard, Kanoughgwats‐hera?-?nòrouh agwagh yoyanerehtsìhhouh; neoni waka?-?nondeks‐hy ne Kahhoughsis doeweròera n’Onon?-?tsìne.
MRK.14.4	Neoni ne et‐ho oddyake tahhodighswàdea ne ronouhhatseràkouh, neoni waìrouh, oghnà nene keakàye, sè òndouh nenekeà Yakeavewàght‐ha.
MRK.14.5	Ikea ayakodeaghnìnonke sé seahha èso n’agh?-?seaghsea n’Adeweannyawe‐èhake Nikaghwistakeh, neoni ne ayondadàwy n’yakòdeaght. Neoni wakoe?-?wariwàghsdea aouhha.
MRK.14.6	Neoni Jesus wahheàrouh, yawerouhhattyeh nissa; oghnà nea‐nè wadisewereant‐hàrea? wa‐oyò?-?dea Kayodeaghserìyoh ne I tsi‐nongwattyèrase.
MRK.14.7	Ikea ne Yakòdeaght tyotkouh ne easewa?-?gwèkouh, neoni t’hikaweanìyoh, ne onea eàssewere yoyanere tsiniyak‐hìyer: ok n’I‐Ih yagh tyotkouh dègeah oghseròeny.
MRK.14.8	Et‐ho n’akàyere tsinakagwèny: keant‐ho òewe ohheàndouh nongadighkouh ne wa‐aòghkawéne Kyerònke (onkyatoghkaghde) ne tsi‐eayonkya?-?dàtta.
MRK.14.9	Agwagh wagweahaghse, tsi‐ok‐nòewe ne keagàyea Gospel nà eayerighwaghnòdouh yadeayoh?-?hetsde tsi‐Youghwentsyàde, nok oni ne keakàyea nene tsinagàyere eawatrorihhake nà‐ah ikea ea?-?koeweghyàrake aouhhà.
MRK.14.10	Neoni Judas Iscariot, sayàdagh ne tekeniyaweàre, et‐ho wàreghde tsit’hadìderouh ne Raditsihuhsdatsigòwah, ne tahonikoughràserea ne ronouhhàge. (ahodeaghnìnouh)
MRK.14.11	Ne onea wahhòeronke, ronouhha wah?-?hontseanòny, neoni wahhadiwaneàndáne ne eah?-?hòeyouh Oghwìsda. Neoni wahharighwìsake tsina?-?howeyèsdea tsinoedahharìghwayèrady ne tahhoni?-?koughràserea raouhha.
MRK.14.12	Neoni ne Tondeghniseratyèreaghde na‐nè yagh t’hayont‐eakwàghde ne Kanàdarok, ne onea wakoewadirryoh (ne Wadeànyode) Passover, Raotyoughkwa wahhoeweahhaghse, kahha ighseghre nòewe ni‐yayákwe neoni ne ayagwadearhàrade, nene a‐àghseke na‐nè (ne Wadeànyode) ne Passover?
MRK.14.13	Neoni yaghsakonhàne teghniaghs‐he ne Raotyoughkwa neoni waghs‐hakaweahhaghse, wàseneh et‐ho Kanàdakouh; neoni et‐ho deasewadderáne ne Rongwe Oghnèganoghs rahhàwy Yetsiyeaghtagh?-?kwa: ne yeghtsisenighsere raouhha.
MRK.14.14	Neoni tsioknòewe yeahhadaweyade easenìrouh ne Yongwediyoghne Ronoughsode, Ne Son?-?gwaweanìyoh ràdouh, kà nòewe ni‐Kanakda?-?rackweah tsinòewe n’eànkeke (ne Wadeànyode) ne Passover yeyagwègouh n’Aketyoughkwa?
MRK.14.15	Neoni eaghtsiseninadòehaghse Kanaktowànea nene nè keagh nòe ni‐Kànákde kaghseronyagh?-?kweant‐houh neoni kaweyeneandà‐ouh: et‐ho nòewe n’atsyadearrhàrat tsi‐neadèwátsde.
MRK.14.16	Neoni ne Raotyoughkwa wahyaghdeàndy neoni yahhànewe Kanàdagouh, neoni waghnits‐heàry eghnìyought tsinahhòdea sakaweànyh: neoni waghnirrhàráde ne Passover.
MRK.14.17	Neoni ne Yokaraghskhah et‐ho wàrawe yehhadigwègouh ne tekeniyaweàre.
MRK.14.18	Neoni ok ne tsiradìdderouh, tehhontskàhouh, Jesus wahheàrouh, agwagh wagweahhaghse, Tsiyeyàdagh tsinìtsyouh na‐ah ne de?-?dewàdonts, deayonkenikoughràserea. (eayongwa?-?deaghnìnouh)
MRK.14.19	Neoni tahhondaghsawea ne wahhòeryen?-?dáks‐hea, neoni wahhoeweahhaghse easkatsouh dah?-?honderade, àdea I‐Ih? neoni akòrea ok sayaìtouh, I‐Ih kea?
MRK.14.20	Neoni tahhadàdy waghsakaweahhaghse, sayàdagh oghseàwea ne tekeniyaweàre, nene teyon?-?kenitsyeghdouh ne I‐Ih ne Keghràtneh.
MRK.14.21	Ne sàne Ongwe Roewayea‐ah orighwiyòtsy raghdeantyouhhe, àse eghnìyought tsikaghyàdouh ne Raouhha: ok waghreahheye na n’et‐ho Rongwe ne teahonikoughràserea ne Ongwe Roewayeà‐ah! yo?-?yannereghtsìhhouh ne nan’et‐ho Rongwe ne tòga yaghnoeweàndouh t’hahhonakeràdouh.
MRK.14.22	Neoni ok nene tsiwat‐hontskàhouh, Jesus wa?-?atraghkwe Kanadarohk, neoni wahhayadadèrighsde, neoni wat‐hàyáke, neoni waghsakàouh ronouhha, neoni wahheàrouh, seniyènah, sènek: nenekea ne Kyerònke.
MRK.14.23	Neoni wàtraghkwe ne Cup, neoni onea s‐hi?-?yodòerea, was‐hakàouh ronouhha: neoni agwègouh wahhadighnegìra.
MRK.14.24	Neoni waghsakaweahhaghse, nenekea n’Ake?-?nigweaghsa àse Kaweaneandàouh, (ne àse Testa?-?ment) ne na‐ah yoghrìouh Yakotyoughkowanea aorihhòeny.
MRK.14.25	Agwagh wagweahhaghse, onea et‐ho tsina?-?akhnekìrane Oneahhare Kahhighk et‐ho ne nyàre ne ne Eaweghniseràdeke ne eakhnekìra àse ne et‐ho Raoyanertseràkouh ne Niyoh.
MRK.14.26	Neoni ne onea wa‐at‐hadirighwàghkwe, wah?-?hadiyàkeane et‐ho wahhòneghde tsi‐Tyonònde ne Olives.
