GEN.1.1	Mwanzo Mwenyezimungu komba bingu na duniya. 
GEN.8.9	Novyo-sivyo, maji ákiwa saanamba kukakama piya, sambi pomba ire aapatire mahala pakumota, akiludira tena nsafina. Nnu akikinga makono, akinkola pomba akuka naye nkati. 
GEN.8.10	Nnu akirinda zikipita suku saba, akinlavya tena pomba ire. 
GEN.8.11	Pomba kaludi usiku, mama! Kaja naro kukanywa samba riwisi ra muti wa kupa visumo vítendiwanga mafuta a renu. Kweli-kwelini, Nnu akijiwa kuwa maji ankuzidi kupunguka. 
GEN.8.12	Sambi akirinda zikipita suku saba, akimpereka tena pomba ire, fala aaludire tena ka Nnu.
GEN.8.13	Noure mwaka waatimize Nnu myaka miya sita na mmoja ure, suku ya mwezi mosi, mwezi wa kwanza, maji akikakama futi-futini. Nnu akifunula kifiniko ca safina na akinang'aniza panja, kawona maji piya akakama kukutu. 
GEN.8.14	Noure mwaka ure, suku ya tarehe shirini na saba, mwezi wa piri, ardhi piya ikumiliya cwaa. 
GEN.8.15	Basi sambi, Mwenyezimungu kamwambira Nnu kaamba: 
GEN.8.16	“Ulawe nsafina, uwe pamoja na nkawako, wanawo, waka wa wanawo, 
GEN.8.17	na piya wari kuinshi nawe, piya namuna ya manyuni na manyama na wa kurikweta pansi. Újuzi ulawe nawo, ipate wapongolane na wawe nawo rutuba sana-sana, wejare fó ulumwengu piya.” 
GEN.8.18	Basi Nnu, nkawake, wanawe pamoja na wakweze wakilawa kweli, 
GEN.8.19	na wakilawa piya manyama, manyuni na wadudu wa kurikweta pansi. Basi nsafina mure walawa kila kiyumbe na namuna yake jisijisi.
GEN.8.20	Basi sambi, Nnu akinjengera Mola uralu ca kafara, akiwatwala kila namuna ya manyama halali, akiwasinja akiwatula nopare akiwoca akitenda kuwa ndi kafara yake ya kunshukuru. 
GEN.8.21	Mola, kwa kuwona ire arufu ngema ya kafara ire, kimoyomoyo akamba javi: “Silani tena ulumwengu, sababu ya wanadamu. Nukwijiwa kamba tangu usimana wake mwanadamu áwazanga vinu vibaya, falakini sipereka tena hukumu kwa kila ciri hai kamba vyanitendire. 
GEN.8.22	Mpaka kiyama, awisa wakati wa kuvyala na wa kuvuna, wakati wa baridi na wa kuvujusa, wakati wa kirangazi na wa kinja, usiku na nsana. Piya-vyo avina mwinsho.”
GEN.9.1	Mwanyewe Mwenyezimungu akimpa baraka Nnu pamoja na wanawe, akiwambira: “Mukinduke sana-sana, lázima muwe nawo wana wengi mongezeke na mwijare ulumwengu piya. 
GEN.9.2	Ona! Piya manyama, nyuni, na wadudu wakurikweta pansi, na inswi piya wákopani, umwe-po mukuwa nawo mamulaka julu yawo. 
GEN.9.3	Nukupani nafasi ya kurya piya kila namuna ya manyama pamoja na kila mbeyu ya cakurya. 
GEN.9.4	Ila sambi, musirye nyama iri na damu! Kwa sababu, damu ndi mainsha a kiyumbe. 
GEN.9.5	Munu asaka kuwa onse akimulaya mwanadamu mwenziwe nomi níntenda hukumu yake, na ndudu mwenye kumulaya munu onse, nomi níntenda hukumu yake, nikumpa neye hukumu yake yakufwa. 
GEN.9.6	Munu mwenyé kunlavya mainsha mwanadamu mwenziwe, neye lázima álaviwa mainsha na mwanadamu mwenziwe, kwa sababu nimumba mwanadamu kwa wajii yangu Omi Mwanyewe. 
GEN.9.7	Falakini, umwe mújuzi mukinduke sana-sana, muwe nawo wana wengi, muzidi kongezeka piya ulumwengu.”
GEN.9.8	Nakisa Mwenyezimungu kamwámbira Nnu na wanawe kaamba: 
GEN.9.9	“Onani! Nísaka kutula miyadi ya kupatana Omi na uwe, pamoja na ujukulu wako, 
GEN.9.10	na piya viyumbe hai viri pamoja na uwe, nyuni, manyama wa kufuwiwa na wadudu wa nnundu, kila nyama alawire pamoja na uwe nsafina. 
GEN.9.11	Nísaka kutula miyadi ya kupatana namwe. Mwanzo wa sambi-pa mwenye mainsha aafwa tena kwa mwanalukaya wa kuzidi kamba eyo, ulumwengu awaribika tena kwa sababu ya mwanalukaya.” 
GEN.9.12	Mwenyezimungu kasema kaamba: “Omi nitula kipiji cangu mmawingu. Eyo ndi alama ya miyadi ya kupatana kwetu omi nomwe na kila wenye mainsha wari pamoja nowe. Miyadi ya kupatana ya faida ka piya tarehe zambere zija-zo. 
GEN.9.13	Basi eci kipiji, ndi alama ya miyadi ya kupatana kwangu na ulumwengu. 
GEN.9.14	Omi daima wakati piya wanifinika bingu na mawingu, cikiwoneka kipiji, 
GEN.9.15	níkumbukira miyadi ya kupatana kwangu Omi nomwe na manyama piya. Wala nvula ya mwanalukaya ainya tena kuwaribu wenye mainsha. 
GEN.9.16	Wakati waciwa kipiji mmawingu, niwona na níkumbukira miyadi ya kupatana kwetu sákuna mwinsho, Omi na piya viyumbe viri hai vya kila namuna mulumwengu.” 
GEN.9.17	Basi sambi, Mwenyezimungu akimwambira Nnu akamba: “Eyo ndi alama ya miyadi ya kupatana kwetu ya niturire Omi pamoja na piya wari kuinshi mulumwengu.”
GEN.9.18	Wana wa Nnu wâlawire nSafina, wákiwa Shemu, Hamu na Yafeti. Hamu ndi ákiwa wawaye Kanaa. 
GEN.9.19	Ewa ndi wana wa Nnu, watatu nowa basi. Wanu piya wenere kuinshi mulumwengu-mu ujukulu wa marikolo awo nowo.
GEN.9.20	Nnu ákiwa nrimi na ndi áwere ntanzi kuvyala miti ya uva. 
GEN.9.21	Kwa suku moja, akínywa vinyu, akirewa, akivula nguwo zake akibaki diki nkati ya ema yake. 
GEN.9.22	Hamu wawaye Kanaa, pokire akimmona wawaye ire ari diki, akuka akiwambira wanduze wákiwa panja ya ema ware. 
GEN.9.23	Basi Shemu na Yafeti wakitwala nguwo wakikunjula wakitula mmaweya, wakenenda kinyumanyuma wakuka wakinfinika wawa yawo, ipate wansinshuhudiye diki yake. 
GEN.9.24	Nnu paimwamuke vinyu ire akisisimuka, kejiwa kinani catendire mwanawe kifindi, 
GEN.9.25	akisema javi: “Alanike Kanaa, aje awe ntwana wa mwinsho wa wanyenyeze.” 
GEN.9.26	Tena akisema javi: “Shemu apendiwe na Mwenyezimungu Mola wetu! Kanaa awe ntwana wake. 
GEN.9.27	Mwenyezimungu ankweze Yafeti, apatane na Shemu
GEN.9.28	Nnu, bandi ya kupita mwanalukaya nkulu ire, kainshi tena myaka miya natu na amusini. 
GEN.9.29	Nnu kâinshi duniya myaka miya kenda na amusini (950), akifwa.
GEN.10.1	Bandi ya kupita mwanalukaya nkulu, Shemu, Hamu na Yafeti, wana wa Nnu, wawapóngola wana waka na walume. Basi kupongolana ka rikolo rawo, mazina awo afulata ndiya: 
GEN.10.2	Yafeti kâwapongola Gomeri, Magog, Madai, Yavani, Tukubali, Mesheki na Tirasi. 
GEN.10.3	Gomeri kâwapongola Ashkenazi, Rifati na Togama. 
GEN.10.4	Yavani kâwapongola Elisha, Tarshishi, Cikutimu na Dodanimu. 
GEN.10.5	Kwa ewa, ndi mwanzo wa marikolo a wanu wenere kaya ziri upande wa mwani. Ewu ndi ujukulu wa Yafeti, wawányike marikolo awo, luga zawo, muinti zawo nkati ya mataifa awo piya.
GEN.10.6	Hamu kâwapongola Kushi, Miswiri, Puti na Kanaa. 
GEN.10.7	Kushi kâwapongola Seba, Hawila, Sabta, Raama na Sabteka. Raama mwenye zina wawenye ndi awampongore Sheba na Dedani. 
GEN.10.8	Kushi kâmpongola Nimrodi. Nimrodi ndi âwere sujaa
GEN.10.9	Iye ndi âwere nlumbati nkulu mbere ya Mola wetu, ntamana mpaka rero ikwambiwa kuwa “munu kada nlumbati nkulu mbere ya Mola wetu, kamba Nimrodi.” 
GEN.10.10	Kaya ulu za mana zaataware Nimrodi ndi Babiloniya, Ereki, na Akadi, piya-zi inti za Shinari. 
GEN.10.11	Kwanza ka noparepare, Nimrodi akipita akeneza ufalume wake mpaka Ashuru, paajengire kaya ulu ya Nenive, Rehoboti-Iri, Kala, 
GEN.10.12	pamoja na Reseni. Reseni ndi íkiwa kaya ulu, iri kati-kati ya Nenive na Kala. 
GEN.10.13	Miswiri kâmpongola Ludi, Anami, Lehabi, Naftuhi, 
GEN.10.14	Patrusi, Kasiludi (babu wa rikolo rawalawirire Mafilisteu) pamoja na Kaftori.
GEN.10.15	Kanaa kâmpongola Sidoni mwanawe kifundi, na Heti, 
GEN.10.16	na Kanaa ndi kolo wa waYebusi, waAmori, waGirgashi, 
GEN.10.17	waHivi, waArki, waSini, 
GEN.10.18	waArvadi, waSemari na waHamati. Ikisa makundi a marikolo a Kanaa akitawanyikana. 
GEN.10.19	Mpaka wa inti ya Kanaa, mwanzo wa Sidoni mpaka Gerani karibu ya Gaza, ukukirira Sodoma, Gomora, Adima, na Seboimu, ukisiriza Lasha. 
GEN.10.20	Ewu ndi ujukulu wa Hamu, wawányike marikolo awo, luga zawo, muinti zawo nkati ya mataifa awo piya.
GEN.10.21	Shemu, nyenyeye Yafeti, novyo kâwapongola wana. Shemu ndi kolo wa wana wa Heberi 
GEN.10.22	Shemu kâwapongola Elamu, Ashuru, Aripakisadi, Ludi na Ramu. 
GEN.10.23	Ramu kâwapongola Usi, Huli, Geteri na Mashi. 
GEN.10.24	Aripakisadi kâmpongola Shela na Shela kâmpongola Heberi. 
GEN.10.25	Heberi kâwapongola wana wawiri: Mwana ntanzi ákiwa ndi Pelegi (mana ake kwawanya), konta nowo wakati-wo wawanyíkana duniya. Na mwengine ákitiwa Yokitani. 
GEN.10.26	Yokitani kâwapongola Almodadi, Shelefi, Hazarmave, Jera, 
GEN.10.27	Hadoramu, Uzali, Dikitani, 
GEN.10.28	Obali, Abimaeli, Sheba, 
GEN.10.29	Ofiri, Havila, na Yobabu. Piya-wa ndi ujukulu wa Yokitani. 
GEN.10.30	Mekazi awo ewa piya ákiwa mwanzo wa Mesha mpaka Sefari, kumwango upande wa malawira-juwa. 
GEN.10.31	Ewu ndi ujukulu wa Shemu, wawányike marikolo awo, luga zawo, muinti zawo nkati ya mataifa awo piya.
GEN.10.32	Basi eya piya-ya ndi marikolo a wana wa Nnu, kwa kupongolana kwawo kati ya mataifa awo. Kwa nowa mataifa piya akenera duniya nzima, bandi ya mwanalukaya nkulu ire.
GEN.11.1	Kwa nowo wakati-wo, wanu piya duniya luga yawo íkiwa moja tu basi, wákisowera usowezi mmoja. 
GEN.11.2	Basi kwa wakati siwo, noware wanu ware walawa upande wa malawira-juwa wakuka wakifika langa ra Mezopotamiya
GEN.11.3	Ikisa, wakambirana javi: “Tukeni titende tinjolu toce moto sana-sana nforunu.” Tinjolu wâtumira ukosofu wa mawe na balaki wâtumira kwa ukosofu wa simenti. 
GEN.11.4	Wakisema javi: “Tukeni tirijengere kaya na ukuta nrefu wakurepa kuka julu, tipate zina, satinamba kwisa kutawanyikana.” 
GEN.11.5	Kwa javyo, Mola wetu ndi paanang'anize pansi awone kaya ire pamoja na ukuta wawajengire wanu ware. 
GEN.11.6	Basi, Mola wetu akisema akamba: “Epa, ewa wanu-wa piya rikolo rawo rimoja na wásowera luga moja. Ikiwa evi ndi vyawanzire kutenda, hapana kinu tena cisaka kuwatenda mushikili kwa mipango yawo. 
GEN.11.7	Vyema tisuke tuke tikawasiyánise luga yawo wasisikízane munu na mwenziwe!” 
GEN.11.8	Kwa javyo, Mola wetu akiwatawanya mahala pare, wakenera duniya piya. Wakasa kujenga kaya ire. 
GEN.11.9	Ntamana kaya ire ikibaki ikitiwa Babeli, konta Mola wetu ndi asiyanise luga ya wanadamu piya. Basi mwanzo wa noparepare akiwatawanya duniya nzima.
GEN.11.10	Ewa wafulata-wa ndi ujukulu wa rikolo ra Shemu. Shemu ákiwa na myaka miya pampongore Aripakisadi bandi ya kupita myaka miwiri ya mwanalukaya nkulu. 
GEN.11.11	Shemu wakati wampongore Aripakisadi kainshi tena myaka miya ntanu, kâwapongola wana wengine waka na walume.
GEN.11.12	Aripakisadi paatimize humuri wa myaka talatini na mitanu akimpongola mwana wakwitiwa Shela. 
GEN.11.13	Aripakisadi, bandi ya kumpongola Shela, kainshi tena myaka miya nne na mitatu na kâwapongola wana wengine waka na walume.
GEN.11.14	Shela paatimize myaka talatini, akimpongola Heberi. 
GEN.11.15	Shela, bandi ya kumpongola Heberi, kainshi tena myaka miya na mitatu. Kâwapongola wana wengine waka na walume.
GEN.11.16	Heberi paatimize myaka talatini na mine akimpongola mwanawe Pelegi. 
GEN.11.17	Heberi, bandi ya kumpongola Pelegi, kainshi tena myaka miya nne na talatini, na kâwapongola wana wengine waka na walume.
GEN.11.18	Pelegi paatimize myaka talatini akimpongola Reu. 
GEN.11.19	Pelegi, bandi ya kumpongola Reu, kainshi tena myaka miyateni na kenda kâwapongola wana wengine waka na walume.
GEN.11.20	Reu, paatimize myaka talatini na miwiri, akimpongola Serugi. 
GEN.11.21	Reu, bandi ya kumpongola Serugi, kainshi tena myaka miyateni na saba, kâwapongola wana wengine waka na walume.
GEN.11.22	Serugi, patimize myaka talatini, akimpongola Nahori. 
GEN.11.23	Serugi, bandi ya kumpongola Nahori, kainshi tena myaka miyateni kâwapongola wana wengine waka na walume.
GEN.11.24	Nahori paatimize humuri wa myaka shirini na kenda, akimpongola Tera. 
GEN.11.25	Bandi ya kupongola Tera, kainshi tena myaka miya na kumi na kenda, kâwapongola wana wengine waka na walume. 
GEN.11.26	Tera, paatimize humuri wa myaka sabini, akiwapongola wana watatu: Buraimu, Nahori, na Harani.
GEN.11.27	Eya ndi mazina a rikolo ra Tera. Tera akimpongola Buraimu (Iburahima noyo), Nahori, na Harani. Harani akimpongola Loti. 
GEN.11.28	Harani kafwira kwawo kaapongoriwe kaya ulu ya Uri, inti ya Kaldeya, kábula yakufwa wawaye. 
GEN.11.29	Buraimu na Nahori wakilomba. Muka wa Buraimu ákitiwa Sarai na muka wa Nahori Milka, mwana wa Harani wawaye Milka na Iska. 
GEN.11.30	Fala sambi Sarai ákiwa nata, aâwere na mwana.
GEN.11.31	Basi Tera akilawa kaya ulu ya Uri inti ya Kaldeya kure, akinsukula mwanawe Buraimu na njukuluwe Loti mwana wa mwanawe Harani, pamoja na nkwewe Sarai muka wa Buraimu, kwa ánzima ya kuka Kanaa. Fala pawafikire kaya ya Harani, wakitenda mekazi awo nopare. 
GEN.11.32	Tera kainshi humuri wa myaka miyateni na mitanu, na kafwira Harani.
GEN.12.1	Basi, Mola kamwámbira Buraimu (Iburahima noyo): “Lawa inti yako, wase rikolo rako pamoja na wawazo, uke inti yanisaka kukolotera. 
GEN.12.2	Nukutenda kuwa taifa ulu, núkujanliya, níkurisa zina rako, na wanu wengine tena wájanliiwa julu yako. 
GEN.12.3	Níwajanliya wenye kukulebelela meema, na níwalani wenye kukulani. Kwa sababu yako wájanliiwa wanu piya duniya nzima!”
GEN.12.4	Basi Buraimu akitwala njira kamba Mola wetu vyaâmwamurire, akilawa pamoja na Loti akuka naye. Buraimu paalawire Harani ari na humuri wa myaka sabini na mitanu. 
GEN.12.5	Kânsukula nkawake Sarai pamoja na Loti, mwana wa nduye, pamoja na mali zawo na watumisi wake waákiwa nawo Harani kure, wakukirira njira ya Kanaa. Pawafikire inti ya Kanaa, 
GEN.12.6	Buraimu akipita kati-kati ya inti ire akuka Sekemu, mpaka mahala patakatifu penye muti nkulu wa More. Kwa wakati-wo, noyo inti-yo wákikalanga waKanaa. 
GEN.12.7	Noparepare Mola wetu kanlawírira Buraimu kamwámbira: “Eyi inti-yi níwapa ujukulu wako.” Basi Buraimu nopare mahala panlawirire Mola pare, akinjengera uralu wa kocera nyama za kafara. 
GEN.12.8	Akipunda pare, akuka mpaka kumyango upande wa malawira-juwa wa Beteli, akijenga ema yake akikala kati. Beteli upande wa maswera-juwa na Ai upande wa malawira-juwa. Nopare akinjengera Mola uralu wa kafara mwengine, na akintukuza kwa zina rake. 
GEN.12.9	Ikisa akilawa tena akukirira Negebu upande wa suheli.
GEN.12.10	Kwa wakati noure, nkaya mure íkilawirira njala ulu futi. Kwa javyo Buraimu ikinlazimu kuka Miswiri kwikala noko muda wa suku aba javi. 
GEN.12.11	Ari karibu kufika Miswiri, Buraimu akimwambira nkawake Sarai javi: “Ona nkawangu! Nukwijiwa kamba uwe úwoniwa kuwa mwema. 
GEN.12.12	WaMiswiri pawasaka kukuwona wakwamba, ‘Eyu ndi nkawake’ basi wánulaya, fala uwe wákwasa hai. 
GEN.12.13	Tafadali, uwe wambire kuwa ‘eyu nyenye’, ipate wanihínshimu kwa kwajibiwa nawe na kwa sababu yako nipate kunusurika.”
GEN.12.14	Basi Buraimu wakati wafikire Miswiri, WaMiswiri ware kweli-kwelini nkawake ire wammona kuwa mwema pakulu sana. 
GEN.12.15	Mafalume wa Firyauna pawamónire Sarai, woka wansifu mbere yake mwanyewe. Kwa javyo, Sarai akiperekiwa kunyumba ulu ya Firyauna. 
GEN.12.16	Kweli-kwelini kwa sababu ya nkawake ire, Buraimu katafitiwa vyema sana, mpaka akifikirira kupata makondoo, ng'ombe, maburu waka na walume, ngamiya, pamoja na watwana waka na walume.
GEN.12.17	Fala Mola wetu akimukumu Firyauna kwa kumperekera makutuba na pakaya pake piya, kwa sababu ya Sarai, muka wa Buraimu. 
GEN.12.18	Sambi Firyauna akitumiza kumwita Buraimu akindairi: “Ona vyaunitendire-vi! Pá! Mbana aunijiwise kuwa Sarai nkawako? 
GEN.12.19	Mbana kwamba eyu nlumbwangu? Ntamana omi ninlomba! Basi epa nkawako ndiyu! Ntware muke vyenu!” 
GEN.12.20	Noparepare Firyauna akiwatuma wanu wake wakinsafiriza Buraimu na nkawake pamoja na vinu vyawere nawo piya.
GEN.13.1	Sambi Buraimu akilawa Miswiri kure na nkawake, pamoja na vyaâwere nawo piya, wakilongozana na Loti wakuka upande wa Negebu.
GEN.13.2	Wakati siwo ari tajiri nkulu sana, wa mifuwo ya manyama wengi wawenye, parata pamoja na oru. 
GEN.13.3	Ikisa akitenda safari yake akilawa Negebu, akuka mpaka Beteli, mpaka mahala paanzire kutenga ema yake, kati ya Beteli na Ai, 
GEN.13.4	mpaka nopare pânzire kujenga uralu wa kafara ure. Nopare akintukuza Mola wetu kwa zina rake.
GEN.13.5	Sambi Loti âlongozane na Buraimu ire, na iye novyo ákiwa nawo mifuwo ya makondoo na ng'ombe, na ema. 
GEN.13.6	Ndi ntamana, awákijuzi kwikala pamoja konta inti ire íkiwa noto, apáwerepo mahala pakutula mali a kila mmoja. 
GEN.13.7	Noparepare, ukilawirira umani wa wasunga wa Buraimu na wasunga wa Loti. Kwasa javyo, kwa wakati nowo, waKanaa na waPerezi wákikalanga noyo inti-yo.
GEN.13.8	Basi Buraimu akimwambira Loti javi: “Epa usiwepo umani omi nowe, wala wasunga wangu na wako, kwa kuwa tiwa munu na jamaa yake. 
GEN.13.9	Inti-yi piya airi mmakono mwako? Autondola pausaka? Nukulebela unitanuke, ikiwa uwe ukukirira upande wa nkono-sonto, omi nukukirira wa nkono-nriro, na ikiwa ukukirira upande wa nkono-nriro, omi nukukirira wa nkono-sonto.” 
GEN.13.10	Loti akilamusa maso akinang'aniza kawona muto wa Yordani na munrati mure piya muwa maji-maji. Múkiwa kamba bushtani ya peponi, kamba inti ya Miswiri. Nrati ure uritandikira ukukirira Sowari. Evi vikuna kábula Mola wetu saanamba kudangula Sodoma na Gomora. 
GEN.13.11	Ndi ntamana Loti akitondola nrati wa muto wa Yordani ure piya, noparepare akilawa akukirira upande wa malawira-juwa. Basi iye na mwenziwe ire wakitanukana. 
GEN.13.12	Buraimu akibaki Kanaa na Loti akikala nanyenje ya kaya za nrati wa Yordani ure akitenga ema zake karibu ya kaya ya Sodoma. 
GEN.13.13	Fala waSodoma wákiwa wabaya pakulu na wákikolanga madambi pakulu ka Mola.
GEN.13.14	Bandi ya kutanuka Loti, Mola kamwámbira Buraimu javi: “Lamusa maso kulawa pauri-po unang'anize kibula na suheli, malawira-juwa na maswera-juwa, 
GEN.13.15	konta eyo inti yauwona-yo omi nukupa uwe pamoja na ujukulu wako iwe yenu daima milele. 
GEN.13.16	Omi níkurisa rikolo rako muwe wengi wawenye kamba vunvu ra ardhi. Hapana ákidiri kuwalanga vunvu ra ardhi, ndi kamba hapana aja kukidiri kuwalanga ujukulu wako. 
GEN.13.17	Lamuka upite ukenenda inti-yo piya urefu na upana wijiwe, konta omi núkupa.” 
GEN.13.18	Basi Buraimu akilamuka akisamisa ema zake akilawa akuka akikala karibu ya miti mikulu ya Mamre, kaya ya Heboroni, nokurekure akijenga uralu wa kafara apate kuntukuza Mola.
GEN.14.1	Wakati siwo vikuna javi: Wákiwepo wafalume wane Amerafeli nfalume wa Shinari, Arioki nfalume wa Elasari, Kedorilawomeri nfalume wa Elamu, na Tidali nfalume wa Goimu. 
GEN.14.2	Wafalume ware wâtenda vita na wafalume wengine watanu, Bera nfalume wa Sodoma, Birsha nfalume wa Gomora, Sinabu nfalume wa Adma, Shimeberi nfalume wa Seboimu, na nfalume wa Bela (Bela kwa zina rengine ndi Sowari). 
GEN.14.3	Ewa wa mwinsho-wa wawajumánisa makava wawo munrati wa muto wa Sidimu, kairi Bahari ya Kufwa.
GEN.14.4	Kwa muda wa myaka kumi na miwiri wákikubali kuntumika nfalume Kedorilawomeri, fala paufikire mwaka wa kumi na natu wakinzungunukira. 
GEN.14.5	Mwaka wa kumi na nne, akija Kedorilawomeri pamoja na wafalume wenziwe ware, wakiwakidiri wanu wa Refahimu kure Asharoti-Karnaimu, na Wazuzi kure Hamu, na waHemi kure Shawe-Kiriyataimu, 
GEN.14.6	na waHori kumyango ya Seiri wakiwatuwisa mpaka Elparani, kumpaka wa langa. 
GEN.14.7	Ikisa wakiludira nyuma wakuka mpaka Emishpati (kwa zina rengine ndi Kadeshi) na wakiwatema waAmaleki na waAmori wákikalanga Hasason-Tamari wakitawala inti ire.
GEN.14.8	Basi wakilawa wafalume wa Sodoma, wa Gomora, wa Adma, wa Sheboimu na nfalume wa Bela (wakwitiwa Sowari). Wakilawa wakuka kutenda vita kunrati wa Sidimu 
GEN.14.9	na Kedorilawomeri nfalume wa Elamu, Tidali nfalume wa Goimu, Amerafeli nfalume wa Shinari, pamoja na Arioki nfalume wa Elasari. Piya wákiwa wafalume wane ka watanu. 
GEN.14.10	Nrati wa Sidimu úkiwa nawo mirimbu kafyala-kafyala ya balaki, basi pawákituwa wafalume wa Sodoma na wa Gomora wanu wengine wakirifisa mmirimbu mure, na wengine wakituwirira kumyango. 
GEN.14.11	Basi wafalume wane watemire ware wakitwala mali a Sodoma na a Gomora piya pamoja na vyakurya vyawo piya wakuka vyawo. 
GEN.14.12	Na wakintwala novyo Loti mwana wa nduye Buraimu ákikalanga Sodoma, pamoja na vinu vyake piya.
GEN.14.13	Sambi munu mmoja akipolonyoka akitira akuka ka Buraimu Mwebraniya akimwambira vikunire vire. Buraimu ire ákikalanga kumiti mikulu ya Mamre mwAmori. Eyu ákiwa jamaa wa Eshkoli na Aneri, ewa piya wasanjírana urafiki na Buraimu. 
GEN.14.14	Buraimu wakati wasikire kuwa mwana wa nduye katwariwa, akipanganyika na watumisi wake wawatumainire wapongoriwe nkaya mwake, wanu miya natu na kumi na wanane. Akilawa akiwafulata maaduwi ware mpaka upande wa kibula kairi kaya ya Dani. 
GEN.14.15	Kwa kusakula kutenda nawo vita, wanu wake akiwawanya makundi ka makundi, usiku akiwengirira maaduwi wake akiwatema na akizidi kuwatuwisa mpaka Hoba, iri upande wa kibula ya Damashiku. 
GEN.14.16	Basi Buraimu akipata kuja nawo vinu piya pamoja na Loti, mwana wa nduye na vinu vyake piya, pamoja na waka na wafungwa wengine tena wâtwariwe.
GEN.14.17	Buraimu wakati waakiludi, bandi ya kuntema nfalume Kedorilawomeri pamoja na mafalume wengine wálungane nawo, nfalume wa Sodoma ire akipita akimmwinza akampokerere munrati wa kwitiwa Shawe (kwa zina rengine nrati wa Wafalume). 
GEN.14.18	Ákiwepo Melkizideki nfalume wa inti ya Salemu ákiwa nlongozi wa dini ya Mwenyezimungu Mwenye Nkulu. Melkizideki akija nawo mikate na vinyu
GEN.14.19	akinjanliya Buraimu na masemo kamba eya: “Buraimu ajanliiwe na Mwenyezimungu Mwenye Nkulu, Mwenye kumba bingu na ardhi! 
