MAT.1.1	Iya na itu kapangkatan si Isa Almasi, panubu' si Daud iya panubu' si Ibrahim.
MAT.6.2	“Hati na, daa singōrin bi manga aa maglaku-laku in sigam hap, iya narakka ma panganda' manga aa kamemon ma diyōm langgal sampay ma paglabayan. Baya' tōōd siyanglitan uk manga aa mahadjana'. Baan ta kaam tōōd, bang sigam kasanglitan uk manusiya', iya na hi' tungbas sigam. 'Nsa' niya' saddi. 
MAT.6.3	Suga' kaam iyu, bang niya' tabang bi ni aa miskin, subay 'nsa' niya' makatauhan iya, minsan bagay bi na. 
MAT.6.4	Subay ma kalimbungan tōōd. Jari bang salaihi', tiyungbasan du kaam uk 'Mma' bi Tuhan, iya makanda' ma ayi-ayi hinang bi minsan ma kalimbungan.”
MAT.6.5	“Bang kaam nambahayang, daa singōrin bi manga aa maglaku-laku in addat sigam hap. Sabab kiyōgan sigam nangge nambahayang ma diyōm langgal atawa ma paglabayan aa bo' supaya tanda' uk mahadjana' kamemon. Baan ta kaam tōōd, bang sigam kasanglitan uk aa, iya na hi' panungbas sigam. 'Nsa' niya' tungbas saddi tatayima' sigam. 
MAT.6.6	Suga' kaam iyu, bang kaam nambahayang, pasōd kaam ni diyōm bilik bi. Tambōlun bi lawang bo' iyampa kaam nambahayang ni 'Mma' bi Tuhan, iya 'nsa' tanda'. Bo' 'Mma' bi itu, iya makanda' ma ayi-ayi hinang bi minsan ma diyōm kalimbungan, iya du nungbas ma kaam.
MAT.6.7	“Bang kaam nambahayang, daa paggunahun bi kabtangan heka iya 'nsa' niya' pus na, sali' panambahayang manga aa iya 'nsa' magtaat ma Tuhan tabi. Sabab biya' uk sigam in panambahayang sigam kine du uk Tuhan ma sawukat landu' taha'. 
MAT.6.8	Daa singōrin bi sigam, sabab kitauhan asal uk 'Mma' bi Tuhan bang ayi kasusahan bi minsan 'nsa' le' kaam ngamu' tabang ma iya. 
MAT.6.9	Jari itu, bang kaam nambahayang subay salaitu iya kalangnganan na:
MAT.6.9	‘O 'Mma' kami Tuhan ma sulga', bang peen pig-addatan ōn nu sutsi uk aa kamemon,
MAT.6.10	Bang peen 'nsa' taggōl bo' kau magparinta ma manusiya' kamemon ma dunya itu,
MAT.6.10	Bang peen du bine' kabayaan nu ma dunya itu sali' iya asal bine' maiyu ma sulga'.
MAT.6.11	Buwanan nu kami balanja' ma 'llaw itu.
MAT.6.12	Ampunun manga dusa kami, sali' kapangampun kami ma sayi-sayi makabuwanan kami dusa.
MAT.6.13	Daa kami sulayan nu biyo ni diyōm sasat, suga' papuwasun kami min nakura' sayitan, iya makalaat.’
MAT.6.13	Salaihi' subay panambahayang bi.
MAT.6.14	“Bang kaam ngampun manga aa makabuwan dusa ni kaam, iya du kaam iyampun uk 'Mma' bi ma diyōm sulga'. 
MAT.6.15	Iya hati na, bang 'nsa' ampun bi aa bayi makabuwan dusa ni kaam, iya du kaam 'nsa' iyampun uk 'Mma' bi Tuhan.”
MAT.6.16	“Bang kaam magpuwasa daa subay palupahun bi pamayihuan bi, sali' aa maglaku-laku ian in sigam hap. 'Nsa' sigam ngintul di sigam, pangilahan aa kasehean in sigam magpuwasa du. Baan ta kaam tōōd, bang sigam kasanglitan uk manusiya', iya na hi' panungbas sigam. 'Nsa' niya' saddi. 
MAT.6.17	Suga' kaam iyu, bang kaam magpuwasa, kuwaupin bi bayihu' bi maka sudlayun bi buun bi, 
MAT.6.18	bo' 'nsa' katauhan uk aa kasehean in kaam puwasa atawa 'nsa'. Iya sadja makatau iya 'Mma' bi Tuhan, iya 'nsa' tanda' asal uk manusiya'. Bo' 'Mma' bi iyu, iya makanda' ma ayi-ayi hinang bi sampay ma diyōm kalimbungan, nungbas du ma kaam.”
MAT.6.19	“Daa kaam magtipun alta' ma itu ma dunya, sabab magkaat sadja, pigkeket uk bobok, kasehean giyaha', kasehean isab liyangpasan. 
MAT.6.20	Suga' maghinang kaam hap bo' niya' karaya bi tiyawuan kaam ma diyōm sulga', sabab karaya mahi' 'nsa' takeket uk bobok, 'nsa' magkagaha', maka 'nsa' talangpasan. 
MAT.6.21	Sabab na maingga-maingga panawuan bi alta' bi, mahi' iya pataptapan pangatayan bi.”
MAT.6.22	“Mata ta itu sali' dalil palitaan muwan sawa ma diyōm ginhawa ta. Bang sawa mata ta, hati na, bang kita me' tōōd ma kabayaan Tuhan, iya pigbahasa sali' sawa lullun diyōm ginhawa ta. 
MAT.6.23	Suga' bang mata ta 'nsa' hap, hati na, bang laat hinang ta, iya pigbahasa sali' ngalindōm diyōm ginhawa ta itu. Bang uk ta niya' ma kita kasawahan, bo' 'nsa', na mehe kalindōman ta.”
MAT.6.24	“Bang aa ganta' banyaga', 'nsa' niya' makapagbanyaga' ma duwa nakura'. Sabab bang duwa nakura' ma dakayo' aa, tantu kibansihan uk na nakura' na dakayo' maka kilasahan uk na dakayo'. Lut iya ma dakayo' bo' tiyayikutan uk na dakayo'. Hati na, 'nsa' kaam manjari maghinang ma Tuhan bang sin iya pamehe bi ma atay bi.
MAT.6.25	“Hangkan na kaam soho' ku daa kaam magsusa pasal kalluman bi, bang ayi kiyakan bi maka bang ayi inum bi. Daa kaam magsusa isab pasal ginhawa baran bi bang ayi panammek bi. Sabab kallum ta itu labi halga' na min kapamangan ta. Iya du baran ta, labi halga' na min panammek ta. 
MAT.6.26	'Ndaun bi manga manuk-manuk mariyata' paleng. 'Nsa' magtanōm, 'nsa' mag-ani. 'Nsa' isab nawu' kiyakan. Suga' biyalanjaan du sigam uk 'Mma' bi ma diyōm sulga'. Bo' kaam iyu, halga' le' tōōd min kamanuk-manukan hi'. 
MAT.6.27	Hangkan isab daa kaam magkasusahan sabab kasusahan bi iyu 'nsa' makapataha' umul bi.
MAT.6.28	“Angay isab kaam magkasusahan ma pasal panammek bi? 'Ndaun bi manga sumping ma diyōm kaparangan bang salaingga katomo' na. 'Nsa' magsangsa' maghinang, 'nsa' maghinang kakana'. 
MAT.6.29	Suga' baan ta kaam, minsan si Sultan Sulayman maka kaalti na ma masa awwal hi', 'nsa' du makaatu lingkat pakayan na ma dakayo' sumping itu. 
MAT.6.30	Bang Tuhan iya magpasammek ma sumping kasōmpōtan itu, iya tatasan na dangallaw du bo' pagsawung lanōs sampay tiyutung, tantu Tuhan masammekan kaam. Kulang du le' pangandōl bi ma iya!
MAT.6.31	“Hangkan na kaam subay 'nsa' magmasusa. Daa kaam mag-upama: ayi pagkakan ta, ayi pag-inum ta, ayi baha' pasammek ta? 
MAT.6.32	Manga aa 'nsa' tau magtaat ma Tuhan, iya na hi' kisusahan na peen uk sigam. Lipara kaam iyu, kitauhan uk 'Mma' bi ma diyōm sulga' in ian kagunahan bi asal. 
MAT.6.33	Suga' dahu-dahu kannalun bi pagparinta Tuhan maka kannalun bi kabōntōlan atay iya kabayaan na. Manjari piniyaan du kaam ayi-ayi kulang-kabus bi. 
MAT.6.34	Hangkan kaam subay 'nsa' magkasusahan pasal sawung, sabab saddi kasusahan na. Sarang na pagsusahan bi ma 'llaw itu sadja.”
MAT.7.1	“Daa sawayun bi pagkahi bi bo' kaam 'nsa' siyaway uk Tuhan. 
MAT.7.2	Sabab bang kaam ganta' mabōtang hukuman ma sehe' bi, iya du isab kaam pibōtangan hukuman uk Tuhan, pipagtōngōd du maka bayi pangahukum bi sehe' bi hi'. Ayi-ayi panappōng bi ma sehe' bi, iya du isab panappōng Tuhan ma kaam. 
MAT.7.3	Kaam magsaway sehe' bi iyu, angay tanda' bi bukbuk kayu kalimpōnan ma diyōm mata sehe' bi, bo' 'nsa' tananam bi batang kayu ma diyōm mata bi? 
MAT.7.4	Mamarahi pahap kaam iyu! Uk bi, ‘Bagay kalloan ta bukbuk min mata nu iyu.’ Bo' peen niya' batang kayu ma diyōm mata bi! 
MAT.7.5	Kaam iyu maglaku-laku in kaam iyu 'nsa' taga sā'! Kalloin bi le' dahu iya ma kaam iyu supaya sawa panganda' bi, bo' iyampa kaam ngalloan bukbuk min mata sehe' bi.
MAT.7.6	“Daa kaam muwan ayi-ayi sutsi ma manga aa laat, iya sali' sapantun ero'. Kalu pabing tudju ni kaam, ngeket. Lapal bi halgaan, iya pigbahasa mussa' bi. Daa larukin bi ni manga koret. Kalu pig'ddōkan uk sigam sali' 'nsa' niya' halga' na.”
MAT.7.7	“Ngamu'-ngamu' kaam, bo' kaam biyuwanan. Meha kaam, bo' kaam makatawwa'. Mikiukab kaam, bo' kaam iyukaban. 
MAT.7.8	Sabab sayi-sayi ngamu' kabuwanan du. Sayi-sayi meha makatawwa' du. Sayi-sayi isab mikiukab iyukaban du. 
MAT.7.9	Kaam iyu taga anak, bila kaam iyamuan tinapay uk anak bi, buwanan bi baha' batu? 
MAT.7.10	Atawa bang ngamu' daying, buwanan bi baha' so? 
MAT.7.11	Kaam dusahan iyu, bang kaam tau du muwanan anak bi ayi-ayi makahap, luba'-luba' na na 'Mma' bi ma diyōm sulga' tau du muwanan ayi-ayi makahap ni sasuku ngamu' ni iya.
MAT.7.12	“Manjari ayi-ayi hap kabayaan bi subay hinang uk manusiya' ni kaam, iya du hinangun bi ni sigam. Iya na hi' hati na, iya sara' bayi tasulat uk si Musa maka bayi pamandu' uk manga kanabi-nabihan.”
MAT.7.13	“Pasōd kaam min lawang kiput, sabab iya daddōk tudju ni nalka' loha pasōran na maka luhay lingngan. Heka isab manusiya' me' min daddōk ian. 
MAT.7.14	Suga' iya pasōran tudju ni sulga' kiput du maka hunit lingngan. Kulang isab aa makatawwa' may'an.”
MAT.7.15	“Kamaya'-maya' kaam bo' kaam 'nsa' kaakkalan uk manga aa magbawu'-bawu' in sigam nabi. Bang 'nda' ta dagbōs sigam hap du sigam, sali' sapantun bili-bili 'nsa' makamula. Suga' ma diyōm atay sigam sali' sigam ero' tawun, makapakaat sadja. 
MAT.7.16	Takila bi du sigam min kahinangan sigam, sali' kayu takila min buwa' na. 'Nsa' kita ngallo' buwa' anggul min kayu puhung, atawa buwa' igira min kayu itingan. 
MAT.7.17	Bang kayu hap, hap isab buwa' na. Suga' bang kayu 'nsa' hap, 'nsa' du isab hap buwa' na. 
MAT.7.18	Bang kayu hap 'nsa' makabuwan buwa' laat. Damikkiyan na bang kayu laat suring na, 'nsa' makabuwan buwa' hap. 
MAT.7.19	Bang niya' kayu 'nsa' hap pagbuwa' na, tibbōngan bo' timanan ni diyōm api. 
MAT.7.20	Hangkan uk ku ma kaam, takila bi du manga nabi iya 'nsa' bannal sabab min kahinangan sigam du.”
MAT.7.21	“'Nsa' aa kamemon iya nabbut aku ‘Panghu'’ iya makasōd ni diyōm pagparintahan Tuhan. Suga' iya du pisōd in aa me' ma kabayaan 'Mma' ku ma diyōm sulga'. 
MAT.7.22	Bang taabut na 'llaw pangahukum ma manusiya', heka du aa ian missala ni aku. Salaitu iya uk sigam: ‘O Panghu', bayi kami matanyag lapal min Tuhan ma kawasa ōn nu. Bayi piluwas uk kami manga sayitan min diyōm baran aa, maka heka isab manga hinang makainu-inu bayi tahinang kami, min kawasa ōn nu isab.’ 
MAT.7.23	Sakali sambungan ku du sigam. Uk ku, ‘'Nsa' kaam takila ku. Pakallo' kaam min aku, kaam kamemon maghihinang kalaatan iyu.’ ”
MAT.7.24	“Na, sasuku aa pake ma pandu' ku itu sampay me', iya sali' sapantun aa hap akkal na, iya bayi ngahinang luma' na ma kabatuhan. 
MAT.7.25	Manjari niya' ulan landōs maka dunuk, maka baliyu kōsōg makatawwa' ma luma' ian. Suga' 'nsa' habba sabab bayi na hinang ma kabatuhan.
MAT.7.26	“Sasuku isab pake ma pandu' ku bo' 'nsa' me', sali' iya aa kulang akkal na, iya bayi ngahinang luma' na ma kalabbohan. 
MAT.7.27	Sakali niya' ulan landōs patumbuk, maka dunuk, maka badju kōsōg tawwa' ma luma' ian. Magtuwi habba, lubu tōōd.”
MAT.7.28	Ubus peen uk si Isa missala, kiyainu-inuhan pandu' na uk baanan aa bayi makake ian. 
MAT.7.29	Iya hangkan salaihi' sabab magbidda' tōōd pandu' si Isa maka pandu' manga guru sigam. Si Isa iya taga kawasa asal bang mandu'.
MAT.8.1	Palud peen si Isa min bud ian, heka tōōd aa bayi paturul ni iya. 
MAT.8.2	Manjari niya' aa ipul pay'an ni si Isa bo' iyampa pasujud min dahuhan na. Uk na, “Tuwan, bang kau baya', pakoweun aku.”
MAT.8.3	Magtuwi piabut uk si Isa tangan na ni lalla hi'. Uk si Isa, “Asal aku baya'. Kaulian na kau!” Saruun-duun du kaulian ipul aa ian. 
MAT.8.4	Sakali itu uk si Isa ni iya, “Pake kau. Daa kau ma'-ma' ni sayi-sayi iya bayi tahinang ku ma kau. Suga' pahi' kau magtuwi ni imam bo' palilingun ni iya baran nu. Puwas na hi' ungsurin pagkulban ni Tuhan sali' bayi pamandu' uk si Musa, iya na tanda' saksi' ni kahekahan aa in kau kaulian na min ipul nu.”
MAT.8.5	Manjari itu, pasōd peen si Isa ni diyōm daira Kapirnaum, niya' dakayo' kapitan bangsa Roma bayi pasampang ni iya ngamu' tabang. 
MAT.8.6	Uk na ni si Isa, “Tuwan, niya' sosohoan ku ma luma'. Ian iya pabahak, 'nsa' makahibal di na maka landu' paddi' baran na.”
MAT.8.7	Uk si Isa, “Pahi' du aku makowe' iya.”
MAT.8.8	“Daa kau pahi', Tuwan,” uk kapitan. “'Nsa' aku tiyōp bang kau pahi' ni luma' ku. Suga' bang kau ma' minniyu, kaulian du sosohoan ku ian. 
MAT.8.9	Minsan aku, biyaksa du pagbayaan uk aa min diyataan ku, maka niya' isab sundalu pagbayaan ku. Bang soho' ku dakayo' pahi', pahi' du iya. Bang soho' ku dakayo' paitu, paitu du iya ni aku. Damikkiyan na bang niya' pahinang ku ma sosohoan ku, magtuwi hinang uk na.”
MAT.8.10	Pagtake peen halling nakura' sundalu itu uk si Isa, inu-inu iya. Uk na ni manga aa paturul ma iya ian, “Baan ta kaam tōōd. Minsan ma diyōm bangsa tabi Israil 'nsa' aku bayi makalanggal ma aa sali' nakura' itu, kōsōg tōōd pangandōl na. 
MAT.8.11	Pake kaam. Ma waktu ma sosongun heka aa min bangsa kaginisan, aa bayi min sōbangan maka min saddōpan, magtingkoan du magsawu mangan maka di si Ibrahim, si Isahak maka si Ya'kub. 
MAT.8.12	Suga' manga aa bangsa Israil itu, iya arapun pisōd ni diyōm pagparintahan Tuhan, liyarukan du paluwas tudju ni kalindōman, bo' may'an sigam magtallik maka magtagiōt baggaang sigam sabab min kapagsusun sigam.” 
MAT.8.13	Sakali missala si Isa ni nakura' sundalu ian, uk na, “Mowe' na kau. Tahinang ma kau sali' bayi pangandōlan nu.” Manjari saruun-duun du kaulian sosohoan na ian ma waktu hi'.
MAT.8.14	Sakali palanjal si Isa pahi' ni luma' si Simun. Pagsōd na ni diyōm luma' ian, tanda' na matoa si Simun danda pabahak may'an, hinglaw. 
MAT.8.15	Piabut uk si Isa tangan na ni tangan danda itu, bo' kaulian magtuwi bayi hinglaw na hi'. Puwas ihi' punduk iya ngalabōt ma si Isa.
MAT.8.16	Taabut peen pasaddōp 'llaw, heka manga aa bayi biyo pay'an ni si Isa, aa bayi siyōd uk sayitan. Piluwas uk na manga sayitan, min kabtangan na sadja. Maka aa taga saki ian kamemon bayi kaulian uk na. 
MAT.8.17	Pagka hinang na salaihi' magtawwa' na ma maka iya bayi tasulat uk si Nabi Isaya ma diyōm kitab, iya uk na, “Baran na iya bayi makakallo' saki tabi; bayi iya nanggung kalammahan tabi.”
MAT.8.18	Tanda' peen uk si Isa heka aa ma katilibut na, uk na ni manga mulid na, “Sung kitabi pauntas ni dambiya' danaw.” 
MAT.8.19	'Nsa' peen sigam pauntas, niya' dakayo' guru ma sara' agama bayi pay'an ni si Isa. Uk na, “Tuwan Guru, me' aku ma kau paingga-paingga papahian nu.”
MAT.8.20	Uk sambung si Isa, “Gam hayōp tawun niya' pabōtangan na, maka manga kamanuk-manukan niya' pugaran na. Suga' aku, Anak Manusiya' itu, 'nsa' niya' tōōd luma' patōtōgan ku atawa pagtuwihan ku.”
MAT.8.21	Niya' isab dakayo' mulid ian halling ni si Isa, uk na, “Tuwan, pabairun le' aku pabing ni luma'. Subay puwas pangubul ku ma 'mma' ku dahu bo' iyampa aku me' ma kau.”
MAT.8.22	Suga' uk si Isa, “Me' na kau ma aku. Patut du bang aa matay pikubul ma manga aa kasehean iya 'nsa' kaniyaan kallum taptap.”
MAT.8.23	Puwas hi' pariyata' si Isa ni bayanan, maka me' isab manga mulid na. 
MAT.8.24	Pauntas peen sigam, sakali parugpak hunus ni danaw ian. Agōn-agōn sigam buhaw sabab bayanan hi' liyasayan uk goyak. Suga' si Isa, tuwi na peen may'an. 
MAT.8.25	Sakali pay'an ni iya manga mulid na mati' iya. “O Tuwan,” uk sigam. “Nabang kau! Lembo na kitabi!”
MAT.8.26	Uk si Isa ma sigam, “Angay kaam tiyāw? Kulang pahap pangandōl bi!” Manjari nangge si Isa bo' iyampa soho' na baliyu maka goyak ian parōhōng. Saruun-duun du pataddo' lahat ian magtuwi.
MAT.8.27	Inu-inu manga mulid na. “Sayi baha' aa itu?” uk sigam. “Minsan baliyu maka goyak kapag-agihan du uk na.”
MAT.8.28	Puwas ian makarunggu' sigam pahi' ni dambiya' danaw, ni lahat manga aa Gadara. Manjari niya' pahi' ni iya duwangan aa bayi paluwas min diyōm kakubulan, aa siyōd uk manga sayitan. Landu' bingis manga aa itu hangkan 'nsa' niya' makatawakkal palabay min ian. 
MAT.8.29	Pag'nda' sigam si Isa, magtuwi sigam nuwalak, uk na, “O Anak Tuhan! Ayi lamud nu ma kami? Paitu kau baha' minsana' kami ma 'nsa' le' taabut waktu gantaan na?”
MAT.8.30	Na, lawak-lawak le' minnihi' niya' baanan koret magkakan. 
MAT.8.31	Sakali ngamu'-ngamu' manga sayitan hi' ma si Isa. Uk sigam, “Bang kami subay piluwas uk nu, papahiun kami pisōd ni diyōm baran manga koret hi'.”
MAT.8.32	“Na, pahi' na kaam,” uk si Isa. Sakali pakallo' manga sayitan min baran aa bo' pinda pahi' ni diyōm baran baanan koret. Magtuwi baanan koret hi' bayi lahi min luran hi' sampay hug paligid ni diyōm danaw, bo' iyampa lembo kamemon.
MAT.8.33	Jari manga aa bayi mangipat koret ian lahi pahi' ni kalumaan ma'-ma' ma manga aa may'an pasal bayi hinang uk si Isa ma manga aa bayi siyōd uk sayitan hi'. 
MAT.8.34	Hangkan paluwas manga aa min kalumaan ian pahi' ni si Isa. Magkalanggal peen sigam, magtuwi sigam ngamu' junjung ni iya, bang peen iya pakallo' min lahat sigam.
MAT.9.1	Pariyata' na si Isa ni bayanan bayi pamean na bo' iyampa pabing ni dambiya' danaw, tudju ni lahat iya asal pabōtangan na. 
MAT.9.2	Manjari may'an peen, niya' biyo ni iya aa matay baran na. Pabahak sadja ma pabahakan na. Makatau peen si Isa in aa mo ian mangandōl du ma iya, uk na ni aa matay baran na, “Oto', daa kau susa. Iyampun na dusa nu.”
MAT.9.3	Niya' bayi may'an manga guru sara' agama maghōna'-hōna' kasehean. Uk sigam, “Oy! Aa itu halling pangkal tudju ni Tuhan!”
MAT.9.4	Suga' asal katauhan si Isa bang ayi pikilan uk sigam, bo' halling na ni sigam. Uk na, “Angay kaam mamikil laat salaiyu? 
MAT.9.5	Kumpasun bi bang ingga luhay: bang bissala ku ma aa ian, ‘iyampun na dusa nu’, atawa bang uk ku, ‘Papunduk kau bo' kau mangngan na’? 
MAT.9.6	Na, buwanan ta kaam tanda' palsaksian bo' katauhan bi in aku, Anak Manusiya', taga kapatut ngampun dusa ma diyōm dunya itu.” Jari missala si Isa ni aa matay baran na hi'. “Papunduk na kau,” uk na. “Bohun pabahakan nu iyu bo' kau mowe'.”
MAT.9.7	Sakali nangge aa ian bo' iya mowe'. 
MAT.9.8	Pag'nda' manga aa ian ma hinang si Isa, tiyāw sigam tōōd. Siyanglitan Tuhan uk sigam ma sabab kawasa bayi pamuwan na ma manusiya' makahinang salaihi'.
MAT.9.9	Makalangngan peen si Isa, niya' tanda' na dakayo' aa iyōnan si Matiyu ningko' ma diyōm upis, iya pagbayaran sukay parinta. Uk si Isa ma iya, “Paitu na kau me' ma aku.” Nangge magtuwi si Matiyu bo' me' ma si Isa.
MAT.9.10	Manjari mangan si Isa ma luma' si Matiyu. Heka isab manga aa magkallo' sukay parinta maka manga aa baldusa kasehean, ian magsawu ni si Isa maka manga mulid na. 
MAT.9.11	Salta' peen sigam magsawu, niya' manga Parisi bayi nganda' ni sigam. Uk manga Parisi itu ni mulid si Isa, “Angay guru bi iyu palamud magsawu-sawu mangan maka manga aa magkakallo' sukay parinta maka manga aa dusahan kasehean?”
MAT.9.12	Take uk si Isa iya halling sigam bo' uk na, “Bang aa kowe' 'nsa' na magdoktor. Iya magdoktor bang aa taga saki. 
MAT.9.13	Pehahun bi pahi' bang ayi hati na bayi tasulat ma diyōm kitab, iya uk na, ‘'Nsa' halgaan ma aku kulbanan hayōp iya ungsuran bi, suga' iya kabayaan ku tōōd subay kaam maase' ma pagkahi bi.’ ” Uk si Isa le', “'Nsa' pasal aa adil iya maksud ku paitu ni dunya, suga' in maksud ku paitu pasal aa taga dusa bo' supaya sigam me' ma aku.”
MAT.9.14	Manjari pahi' manga mulid si Yahiya Magpapandi ni si Isa tiyaw ma iya. Uk sigam, “Tuwan, kami maka manga aa Parisi magpuwasa na peen, suga' mulid nu iyu 'nsa' tōōd magpuwasa. Angay baha'?”
MAT.9.15	Nambung si Isa magparalilan. In mulid na sali' piralil ni aa maglurukan ma pagkawinan. Uk na, “Susa baha' manga aa luruk ma samantala' may'an le' pangantin lalla ma tōngōd sigam? Tantu 'nsa'. Suga' ma 'llaw siyong, bang taabut waktu kapamakalloan pangantin lalla min sigam, minnihi' sigam nagna' magpuwasa.”
MAT.9.16	Puwas hi' magparalilan si Isa pasal pamandu' tagna' maka pamandu' na, uk na, “'Nsa' niya' aa matupak pispis kakana' bahu, kakana' 'nsa' bayi diyakdakan, ni badju' asal daan. Sabab bang salaihi' pakinkin du tupak bahu, bo' gese' du min kakana' asal. Jari pamehe na peen gese' na.” 
MAT.9.17	Piralil isab pamandu' na ni inuman bahu bayi hinang, uk na, “'Nsa' niya' ngalōōn inuman bahu ni diyōm pangalōōnan kuwit hayōp bang daan na. Bang ganta' salaihi' tantu bustak. Tumpahan du inuman, bo' magkaat bayi pangalōōnan na hi'. Suga' in inuman bahu subay liyōōnan ni pangalōōnan bahu. Jari natas inuman na maka pangalōōnan na sali'-sali'.”
MAT.9.18	Sabu peen si Isa masi mandu' ma sigam, niya' pay'an ni iya dakayo' nakura' ma langgal ian. Pasujud iya ma dahuhan si Isa. Uk na, “Tuwan, iyamboho' matay anak ku danda. Suga' bang kau me' ma aku maabut tangan nu ma iya, 'llum du iya.”
MAT.9.19	Sakali nangge na si Isa paturul ma nakura' ian. Magbe' isab maka iya manga mulid na.
MAT.9.20	Na, niya' may'an dakayo' danda sakihan. Sangpu' ka duwa tahun 'nsa' bayi parōhōng laha' na. Pasikōt iya ni si Isa min bukutan na, bo' iyampa piabut uk na tangan na ni bihing juba si Isa. 
MAT.9.21	Uk na ma diyōm pikilan na, “Bang peen ta'ntan ku minsan laa tong sammek na, kaulian du saki ku.” 
MAT.9.22	Jari palingi' si Isa bo' tanda' na danda itu. Uk na, “Inda', daa na kau susa. Kaulian du saki nu ma sabab pangandōl nu.” Magtuwi danda itu kaulian saruun-duun du.
MAT.9.23	Pagtakka si Isa ni luma' nakura' ian, tanda' na may'an manga aa magsuling maka baanan aa maghiluhala'. 
MAT.9.24	Uk si Isa ma sigam, “Paluwas kaam kamemon. 'Nsa' du matay onde' iyu. Tuwi iya sadja.” Sakali pigtattohan si Isa uk sigam. 
MAT.9.25	Ubus manga aa ian peen bayi piluwas, pasōd na si Isa ni diyōm bilik onde' danda ian bo' iyampa intanan na tangan na. Magtuwi papunduk iya. 
MAT.9.26	Jari habal pasal bayi hinang si Isa ian pasaplag ni kalohahan lahat ian hi'.
MAT.9.27	Palanjal peen si Isa minnihi', niya' duwa aa buta bayi paturul ma iya. Ngalingan sigam pakōsōg, uk sigam, “Oy! Tubu' sultan Daud! Maase' na kau ma kami!”
MAT.9.28	Jari pagsōd peen si Isa ni diyōm luma', pasikōt na ni iya duwangan buta ian. Uk si Isa ma sigam, “Magkahagad kaam in aku makapakowe' du?”
MAT.9.28	“Aho', Tuwan,” uk sigam.
MAT.9.29	Jari piabut uk si Isa tangan na ni mata sigam maka halling uk na, “Tahinang ma kaam sali' bayi pangandōl bi.” 
