MAT.1.1	Lhibro de l’ourige de Jasus Cristo, filho de Dabide, filho de Abraan.
MAT.8.25	Ls deciplos fúrun-se a tener cun el i spertórun-lo, dezindo: «Senhor, salba-mos que stamos perdidos!» 
MAT.8.26	El dixo-le: «Porque stais chenos de miedo, homes de pouca fé?» Apuis, alhebantou-se, dou-le orde als aires i al mar i lhougo scampou. 
MAT.8.27	Ls homes quedórun tan admirados que dezien: «Quien ye este, que até l aire i l mar le oubedécen?»
MAT.8.28	Quando chegou al outro lhado, al termo de ls gadarenos, salírun-le al camino dous que tenien diabros andrento, salidos de las sepulturas i tan albrotados que naide s’astrebie a passar por aquel camino. 
MAT.8.29	Anton, ponírun-se a boziar, dezindo: «Que quieres de nós, filho de Dius? Beniste acá para mos atermentar antes de tiempo?»
MAT.8.30	Ora, eilhi acerca, andaba ũa grande bezeira de cochinos a pacer. 
MAT.8.31	Anton, ls diabros pedien-le: «Se mos botas pa la rue, manda-mos pa la bezeira de cochinos.» 
MAT.8.32	El dixo-le: «Ide.» Eilhes salírun i fúrun-se a meter ne ls cochinos. La bezeira anteira atirou-se cun fuorça por ũas faias pa l mar i afogou-se n’auga.
MAT.8.33	Ls guardadores de ls cochinos scapórun-se i, mal apenas chegórun a la cidade, cuntórun l que se habie passado i tamien subre ls que tenien ls demonhos andrento. 
MAT.8.34	Anton, toda la cidade se fui a tener cun Jasus i, mal apenas l bírun, pedírun-le que se fusse ambora de l termo deilhes.
MAT.9.1	El chubiu-se pa la barca, tornou pa l outro lhado i fui-se pa la sue tierra. 
MAT.9.2	Ende, apersentórun-le ũa pessona tolhida de todo, stendida nun catre. Jasus, al ber la fé deilhes, dixo-le al que staba tolhido: «Ten cunfiança, filho; quédan-te perdonados ls tous pecados.» 
MAT.9.3	Antoce, alguns scribas dezírun uns pa ls outros: «Este blasfema.» 
MAT.9.4	I Jasus, cumo bie ls pensamientos deilhes, dixo-le: «Porquei pensais cousas malas ne ls buossos coraçones? 
MAT.9.5	Que cousa ye mais fácele, dezir “quédan-te perdonados ls tous pecados” ou dezir “pon-te de pies i camina?” 
MAT.9.6	Anton, para que sábades que l Filho de l Home ten na tierra l poder de perdonar ls pecados», – ende diç-le al que staba tolhido –: «Pon-te de pies, agarra tou catre i bai-te pa tue casa.» 
MAT.9.7	El alhebantou-se i fui-se pa sue casa. 
MAT.9.8	Al ber estas cousas, todo aquel juntouro de giente quedou cheno de miedo i daba grácias a Dius, por le haber dado tan grande poder als homes.
MAT.9.9	Apuis de haber salido deilhi, Jasus biu un home, que le chamában Mateus, sentado nun talho a recebir la décima i dixo-le: «Ben cumigo.» I el alhebantou-se i fui-se cun el. 
MAT.9.10	Un die, staba sentado a la mesa an sue casa, habien benido muitos recebidores de ampuostos i pecadores i stában sentados a la mesa cun Jasus i culs deciplos del. 
MAT.9.11	Bendo essas cousas, ls fariseus dezien-le als deciplos del: «Cumo ye que l buosso mestre come culs recebidores de la décima i culs pecadores?» 
MAT.9.12	Jasus oubiu-los i dixo-le: «Nun ye perciso doutor pa ls que ténen salude, mas pa ls que stan malos. 
MAT.9.13	Ide-bos mas ye a daprender l que quier dezir: 
MAT.9.14	Anton, benírun a tener cun el ls deciplos de Juan i dezírun-le: «Por que rezon nós i ls fariseus ayunamos tanta beç i ls tous deciplos nun ayúnan?» 
MAT.9.15	I Jasus dixo-le: «Por acaso ls cumbidados de las bodas puoden andar tristes anquanto l moço stá cun eilhes? Ha de benir l tiempo an que le han de tirar l moço i nessa altura ayunaran.
MAT.9.16	Naide bota un remendo de panho nuobo an roupa bielha; porque l remendo puxa pul panho de la roupa i l rasgon inda queda mais grande. 
MAT.9.17	Nien bota bino nuobo an botos bielhos, senó ban-se a rumper ls botos, arrama-se l bino i dá-se cabo de ls botos; mas l bino nuobo bota-se an botos nuobos i dambos a dous se cunsérban.»
MAT.9.18	Anquanto le staba a dezir estas cousas a eilhes, achegou-se un xefe i botou-se por tierra, dezindo-le: «La mie filha morriu-se agorica mesmo; mas ben i pon la tue mano porriba deilha i tornará a bibir.» 
MAT.9.19	Jasus alhebantou-se i fui-se atrás del culs sous deciplos. 
MAT.9.20	Antoce, ũa mulhier, que yá ũa dúzia d’anhos sufrie dũa perda de sangre, bieno por trás del i topou-le na franja de l manto. 
MAT.9.21	Porque dezie solo alhá par’eilha: «Se you topar nien que seia solo ne l manto del, quedarei sana.» 
MAT.9.22	Mas Jasus bolbiu-se i mal apenas la biu, dixo-le: «Ten cunfiança, filha; la tue fé salbou-te.» I zde eilhi la mulhier quedou sana.
MAT.9.23	Quando Jasus chegou a la casa de l xefe i biu ls tocadores de fraita i tanta giente albrotada, 
MAT.9.24	dixo-le: «Ide-bos ambora, que la nina nun se morriu, mas stá a drumir.» I fazien caçuada del.
MAT.9.25	Apuis que botórun to la giente pa la rue, el antrou, agarrou la mano de la rapazica i eilha alhebantou-se. 
MAT.9.26	I la fama deste feito corriu-se por toda aqueilha tierra.
MAT.9.27	Jasus saliu deilhi i fúrun-se dous ciegos atrás del boziando i dezindo: «Ten pena de nós, Filho de Dabide.» 
MAT.9.28	Quando antrou an casa, ls ciegos achegórun-se an pie del i Jasus dixo-le: «Acraditais que tengo l poder de fazer estas cousas?» Eilhes dízen-le: «Acraditamos, si senhor.» 
MAT.9.29	Anton, topou-le ne ls uolhos deilhes, dezindo: «Que se bos faga cunsante la buossa fé.» 
MAT.9.30	I ls uolhos deilhes abrírun-se. Mas Jasus abisou-los, dezindo-le: «Mirai a ber se naide l sabe.» 
MAT.9.31	Mas eilhes, mal apenas salírun deilhi, spalhórun la fama del por todos aqueilhes lhados.
MAT.9.32	Quando ls ciegos s’íban ambora, apersentórun-le un home que era tato i tenie l demonho andrento. 
MAT.9.33	Apuis de le botar l demonho pa la rue, l tato falou. I toda aqueilha giente quedou mui admirada, dezindo: «Nunca se biu ũa cousa destas an Eisrael!» 
MAT.9.34	Mas ls fariseus dezien: «Ye por obra de l xefe de ls demonhos que el bota ls demonhos pa la rue.»
MAT.9.35	I Jasus andaba por todas aqueilhas cidades i lhugaricos, a ansinar nas sinagogas deilhes i a apregonar l Eibangeilho de l Reino i a sanar todos ls males i todos ls achaques. 
MAT.9.36	Al ber aquel juntouro de giente, Jasus anchiu-se de pena deilha, puis staba cansada i deitada na tierra cumo tagalho sien pastor. 
MAT.9.37	Anton, dixo-le als sous deciplos: «La segada ye grande, mas ls segadores son poucos. 
MAT.9.38	Pedi-le, anton, al duonho de l pan que mande mais segadores pa la sue segada.»
MAT.10.1	Apuis de chamar ls sous doze deciplos, Jasus dou-le l poder de botáren pa la rue ls spritos malos i de sanáren qualquiera fraqueza i qualquiera malina. 
MAT.10.2	Estes son ls nomes de ls doze apóstelos: l purmeiro ye Simon, que le cháman Pedro, i Andrés, armano del; 
MAT.10.3	Tiago, filho de Zebedeu, i Juan, armano del; Felipe i Burtelameu; Tomé i Mateus, quebrador de la décima; Tiago, filho de Alfeu, i Tadeu; 
MAT.10.4	Simon, l Cananeu, i Judas Scariotes, aquel que l atraiçonou.
MAT.10.5	Jasus mandou estes doze deciplos i dou-le ourientaçones, dezindo-le: «Nun báiades pul camino de ls gentius i nun éntredes nas cidades de ls samaritanos. 
MAT.10.6	An purmeiro, ide a las canhonas que se perdírun de la casa d’Eisrael. 
MAT.10.7	Pul camino apergonai, dezindo: “L reino de ls cielos stá acerca.” 
MAT.10.8	Sanai ls que stan malos, rucecitai ls muortos, lhimpai ls lheprosos, botai ls demonhos para fuora. Recebistes de grácia, dai tamien de grácia. 
MAT.10.9	Nun quérgades tener nien ouro, nien prata, nien riquezas ne ls buossos bolsos, 
MAT.10.10	nien cerron pa l camino, nien dues capas, nien çapatos, nien choupa, porque l oubreiro merece l sou quemido.
MAT.10.11	An qualquiera cidade ou lhugarico adonde antrardes, preguntai quien nesse sítio ye pessona de cunfiança i quedai ende até que bos báiades ambora. 
MAT.10.12	I, al antrar na casa, saludai-la. 
MAT.10.13	Se essa fur, de berdade, ũa casa de giente séria, la buossa paç benirá par’eilha; mas se nun fur séria, la buossa paç tornará para bós. 
MAT.10.14	I quienquiera que nun bos reciba nien ouba las buossas palabras, al salir de casa del ou dessa cidade, sacudi l puolo de ls buossos pies. 
MAT.10.15	Afianço-bos que ne l die de l Juízo ls de la tierra de Sodoma i Gomorra nun seran tan maltratados cumo ls daqueilha cidade.»
MAT.10.16	«Mirai que bos mando cumo canhonas pa l meio de lhobos. Anton, séiades cuidadosos cumo las serpientes i hounestos cumo las palombas. 
MAT.10.17	Mas tenei cuidado culas pessonas, porque bos antregaran als cunceilhos i bos eiran a çurrar nas sinagogas deilhes; 
MAT.10.18	i, por bias de mi, ban-bos a lhebar delantre ls gobernadores i ls reis para dardes teçtemunho delantre deilhes i de ls gentius. 
MAT.10.19	Mas, quando bos antregáren, nun quédedes a pensar an cumo ou l quei heis de dezir, porque nessa hora será-bos ansinado l quei dezir. 
MAT.10.20	Porque nun sodes bós que falais, mas l Sprito de buosso Pai que fala an bós.
MAT.10.21	Nessa altura, un armano ha de antregar outro armano a la muorte, i l pai al filho, i ls filhos ban-se a alhebantar contra ls pais i fazeran cun que los máten. 
MAT.10.22	I todos bos teneran rábia por bias de l miu nome; mas l que s’aguantar até la fin, esse será salbo.
MAT.10.23	Quando bos perseguíren nũa cidade, scapai-bos para outra; tan cierto cumo bos l digo que nun acabareis las cidades d’Eisrael até que benga l Filho de l Home.
MAT.10.24	L deciplo nun stá arriba de l mestre, nien l criado arriba de l amo. 
MAT.10.25	Bonda-le al deciplo que seia cumo l mestre del i al criado que seia cumo l amo del. Se até al Pai de família le chamórun Satanás, aquantas mais als de la sue casa!
MAT.10.26	Anton, nun téngades miedo deilhes, puis nun hai nada que steia a las scuras que nun quede a las claras i nun hai nada scundido que nun se benga a saber. 
MAT.10.27	L que bos digo a las scuras dezi-lo a la lhuç de l die i l que scuitais an segredo apregonai-lo d’anriba ls telhados. 
MAT.10.28	Nun téngades miedo de ls que mátan l cuorpo, mas nun puoden matar l’alma. Tenei subretodo miedo daquel que puode botar a perder l’alma i l cuorpo ne l einfierno. 
MAT.10.29	Acauso nun se bénden dous paixaricos por ũa pequeinha moneda? Mas nien un deilhes se cairá por tierra se l buosso Pai nun quejir. 
MAT.10.30	Ne l que bos toca a bós, até todos ls pelos de la buossa cabeça stan cuntados. 
MAT.10.31	Anton, nun téngades miedo puis bós baleis mais que muitos paixaricos.
MAT.10.32	Aquel que dir teçtemunho de mi delantre las pessonas, tamien you darei teçtemunho del delantre miu Pai que stá ne l cielo. 
MAT.10.33	Aquel que me negar delantre las pessonas, tamien you l negarei delantre miu Pai que stá ne l cielo.
MAT.10.34	Nun cúidedes que you bin a traier la paç al mundo. You nun bin a traier la paç, mas la spada. 
MAT.10.35	Porque you bin a apartar 
MAT.10.36	.
MAT.10.37	Quien gusta de l pai ou de la mai mais do que de mi, nun ye dino de mi; quien gusta de l filho ou de la filha mais do que de mi, nun ye dino de mi. 
MAT.10.38	I quien nun lhebar la sue cruç i benir atrás de mi, nun ye dino de mi. 
MAT.10.39	L que cunserba la sue bida, perderá-la i l que perdir la sue bida por bias de mi, achará-la.»
MAT.10.40	«Quien bos recibe ye a mi que me recibe i quien me recibe a mi recibe aquel que me mandou. 
MAT.10.41	Quien recibe un porfeta por bias de ser porfeta, recebirá l galardon de porfeta, i quien recibe un justo por bias de ser justo, recebirá l galardon de justo. 
MAT.10.42	I quien dir, nien que seia solo un copo d’auga fresca, a buer a un destes mais pequeinhos, por bias de ser miu deciplo, quedai ciertos de l que bos digo, nun perderá l sou galardon.»
MAT.11.1	Quando acabou de le dar estes recados als sous doze deciplos, Jasus saliu deilhi para ir a ansinar i a pregar nas cidades daqueilha region.
MAT.11.2	Mas Juan, quando oubiu na cadena ls feitos de Cristo, mandou-le ls sous deciplos a preguntá-le: 
MAT.11.3	«Tu sós aquel que ha de benir ou tenemos que asperar outro?» 
MAT.11.4	I Jasus, respundendo, dixo-le: «Ide-le a cuntar a Juan l que oubis i l que bedes: 
MAT.11.5	ls ciegos béien, ls tolhidos ándan, ls gafos quédan lhímpios, ls xordos óuben, ls muortos rucecítan i als probes ye le anunciado l Eibangeilho. 
MAT.11.6	Feliç daquel que nun quedar scandelizado por bias de mi.»
MAT.11.7	Quando eilhes se fúrun ambora, Jasus ampeçou-le a falar de Juan al pobo: «L que fustes a ber al zerto? Ũa canha abanada pul aire? 
MAT.11.8	Mas, anton, l que fustes a ber? Un home bien bestido? Mirai que ls bien bestidos stan nas casas de ls reis. 
MAT.11.9	Mas l quei, anton, fustes a ber? Un porfeta? Si, digo-bos-lo you que ye bien mais do que porfeta. 
MAT.11.10	Este ye aquel de quien stá screbido: 
MAT.11.11	Quedai bien ciertos de l que bos digo: Antre ls nacidos de mulhier, nun apareciu naide que seia mais grande do que Juan Batista; assi i todo, l que fur l mais pequerrixo ne l reino de ls cielos, ye mais grande do que el. 
MAT.11.12	Porque zde ls dies de Juan Batista até agora l reino de ls cielos ten sido atacado i ls que se bálen de la fuorça quieren-lo cunquistar. 
MAT.11.13	Todos ls porfetas i la lei até Juan porfetizórun. 
MAT.11.14	Se quereis antender, el mesmo ye Eilias, l que staba para benir. 
MAT.11.15	Quien ten oubidos, que ouba.
MAT.11.16	A quien hei-de acumparar esta giraçon? Ye acumparada a rapazicos sentados al meio la praça, que le bózian als cumpanheiros, 
MAT.11.17	dezindo:
MAT.11.17	“Toquemos fraita para bós i nun beilestes;
MAT.11.17	cantemos cousas tristes i nun chorestes.”
MAT.11.18	Ende, bieno Juan, que nun quemie nien buie, i dízen: “Ten l diabro ne cuorpo.” 
MAT.11.19	Bieno l Filho de l Home, que come i bebe, i dízen: “Mirai, ye un home que come bien i bebe melhor, amigo de ls quebradores de la décima i de ls pecadores.” Mas la sabedorie amostrou-se puls feitos del.»
MAT.11.20	Apuis ampeçou-le a botar an cara a las cidades adonde fúrun feitos muitos de ls milagres del, que nun habien feito peniténcia: 
MAT.11.21	«Ai de ti, Corazin! Ai de ti, Betsaida! Porque se an Tiro i an Sidónia fúran feitos ls milagres que fúrun feitos an bós, yá dies ha que haberien feito peniténcia cun saco i cinza. 
MAT.11.22	Por essa rezon bos digo: Ne die de l Juízo, Tiro i Sidónia seran menos maltratadas do que bós. 
MAT.11.23	I tu, Cafarnaún, acauso quedarás tan alta cumo l cielo? Serás rebaixada até las perfundas de ls einfiernos! Porque se nas pessonas de Sodoma houbíran sido feitos ls milagres que fúrun feitos an ti, haberien durado até hoije. 
MAT.11.24	Por essa rezon bos digo: Ne die de l Juízo, Sodoma será menos maltratada do que tu.»
MAT.11.25	Naquel tiempo, Jasus, respundendo, dixo: «You te lhoubo, á Pai, Senhor de l cielo i de la tierra, que scundiste estas cousas als sabidos i als antendidos i las amostreste als pequerricos. 
MAT.11.26	Si, á Pai, porque assi te dou la gana. 
MAT.11.27	Todas las cousas me fúrun antregues por miu Pai i naide conhece l Filho a nun ser l Pai nien quien conheça l Pai a nun ser l Filho i a quien l Filho se lo quejir amostrar.»
MAT.11.28	«Beni a mi todos bós ls que trabalhais i sodes oupremidos i you bos darei alíbio. 
MAT.11.29	Ponei la mie carga anriba de bós i daprendei de mi que sou manso i houmilde de coraçon i achareis çcanso pa las buossas almas, 
MAT.11.30	porque la mie carga ye suable i l miu peso ye lhebe.»
MAT.12.1	Naquel tiempo Jasus passou a un sábado pul meio duns panes; cumo ls deciplos del andában chenos de fame, ampeçórun a scochar spigas i a quemé-las. 
MAT.12.2	Quando ls fariseus ls bírun, dezírun-le: «Mira que ls tous deciplos stan a fazer ũa cousa que nun se puode fazer al sábado.» 
MAT.12.3	Anton, el dixo-le: «Nun listes l que fizo Dabide quando quedou cun fame, el i ls que stában cun el? 
MAT.12.4	Cumo antrou na casa de Dius i quemiu ls panes cunsagrados, que nien el podie quemer, nien aqueilhes que stában cun el, mas solo ls saçardotes? 
MAT.12.5	I tamien nun listes na Lei que, an die de sábado, ls saçardotes nun guárdan l sábado ne l templo i quédan sien culpa? 
MAT.12.6	Digo-bos you que stá eiqui quien ye mais grande do que l templo. 
MAT.12.7	Se, al menos, soubírades l que quier dezir 
MAT.12.8	Porque l Filho de l Home ye senhor de l sábado.»
MAT.12.9	Apuis de salir deilhi, antrou na sinagoga deilhes 
MAT.12.10	i staba alhá un tiu que tenie ũa mano seca. I preguntában-le: «Ye premitido sanar al sábado?», para tenéren modo de lo acusar. 
MAT.12.11	Mas el dixo-le: «Qual ye l home de bós todos que, se tubir ũa canhona i eilha se cair nun poço al sábado, nun agarre i la baia a sacar dalhá? 
MAT.12.12	Quanto nun bal mais un home do que ũa canhona! Assi, debe-se fazer bien an die de sábado.» 
MAT.12.13	Apuis dixo-le al tiu: «Stende la tue mano.» El stendiu-la i quedou tan sana cumo la outra. 
MAT.12.14	Mas ls fariseus salírun pa la rue i fazírun un juntouro contra el, para tremináren a matá-lo.
MAT.12.15	Jasus, quando l soubo, fui-se ambora deilhi. Muita giente fui atrás del i sanou-los a todos, 
MAT.12.16	i abisou-los para nun s’amostráren assi, 
MAT.12.17	para que se cumprira l que fui dezido pul porfeta Eisaías:
MAT.12.22	Apuis, traírun-le ũa pessona que tenie l diabro i era ciega i tata i sanou-la, de modo que l tato quedou a falar i a ber. 
MAT.12.23	Todo mundo quedaba mui admirado i preguntaba: «Acauso nun será este l filho de Dabide?» 
MAT.12.24	Mas ls fariseus, quando tal oubírun, dezírun: «Este nun bota ls demonhos pa la rue a nun ser por Belzebú, príncepe de ls demonhos.» 
