MAT.1.1	Dies ist das Buch der Geschichte Jesu Christi, des Sohnes Davids, des Sohnes Abrahams.
MAT.9.21	Denn sie dachte bei sich: wenn ich nur seinen Mantel berühre, so werde ich gesund. 
MAT.9.22	Jesus wandte sich um, erblickte sie und sprach: "Sei getrost, meine Tochter; dein Glaube hat dich schon gesund gemacht!" Und von dem Augenblick an ward die Frau gesund. 
MAT.9.23	Dann kam Jesus in das Haus des Vorstehers. Beim Anblick der Flötenspieler und der lärmenden Menge
MAT.9.24	"Geht hinaus!"
MAT.9.25	Als aber die Leute aus dem Hause geschickt waren, trat er ein
MAT.9.26	Und die Kunde davon verbreitete sich in jener ganzen Gegend. 
MAT.9.27	Als Jesus von dort weiterging, folgten ihm zwei Blinde, die riefen laut: "Erbarme dich unser, Sohn Davids!"
MAT.9.28	Als dann Jesus in sein Haus kam,
MAT.9.29	Nun berührte er ihre Augen mit den Worten: "Nach euerm Glauben geschehe euch!" 
MAT.9.30	Da taten sich ihre Augen auf. Und Jesus befahl ihnen streng: "Gebt acht, daß es niemand erfahre!"
MAT.9.31	Sobald sie aber das Haus verlassen hatten, machten sie ihn
MAT.9.32	Gerade als sie weggingen,
MAT.9.33	Doch nach der Austreibung des bösen Geistes konnte der Stumme reden. Da verwunderten sich die Leute und sprachen: "So etwas hat man noch nie in Israel erlebt." 
MAT.9.34	Die Pharisäer aber sagten: "Im Bunde mit dem obersten der bösen Geister treibt er die Geister aus."
MAT.9.35	So durchwanderte Jesus alle Städte und Dörfer: er lehrte in ihren Versammlungshäusern, verkündigte die Frohe Botschaft vom Königreich und heilte allerlei Krankheiten und Gebrechen.
MAT.9.36	Beim Anblick der Volksscharen aber ward er von Mitleid erfüllt, denn sie waren abgetrieben und ermattet wie Schafe ohne Hirten.
MAT.9.37	Da sprach er zu seinen Jüngern: "Die Ernte ist groß, aber der Arbeiter sind wenig. 
MAT.9.38	Darum bittet den Herrn der Ernte, daß er Arbeiter auf sein Erntefeld sende!"
MAT.10.1	Dann rief er seine zwölf Jünger herbei und gab ihnen Vollmacht, unreine Geister auszutreiben und allerlei Krankheiten und Gebrechen zu heilen. Dies sind aber die Namen der zwölf Apostel:
MAT.10.2	Simon, genannt Petrus, — als erster
MAT.10.3	Philippus
MAT.10.4	Simon der Eiferer
MAT.10.5	Diese Zwölf sandte Jesus aus mit folgendem Auftrag: "Nehmt euern Weg nicht zu den Heiden und betretet keine Stadt der Samariter!
MAT.10.6	Geht vielmehr zu den verirrten Schafen des Hauses Israel! 
MAT.10.7	Geht und verkündigt: 'Das Königreich der Himmel ist nahe herbeigekommen!' 
MAT.10.8	Heilt die Kranken, erweckt die Toten, reinigt die Aussätzigen, treibt die bösen Geister aus! Umsonst habt ihr's empfangen,
MAT.10.9	Steckt euch kein Gold, kein Silber und kein Kupfergeld in eure Gürtel!
MAT.10.10	Nehmt keine Ranzen
MAT.10.11	Kommt ihr in eine Stadt oder in ein Dorf, so erkundigt euch, wer dort (euch aufzunehmen) verdient; bleibt dann so lange da, bis ihr weiterzieht! 
MAT.10.12	Bei euern Eintritt aber wünscht dem Hause Frieden!
MAT.10.13	Ist nun das Haus es wert, so wird der Friede, den ihr wünscht, ihm auch zuteil; verdient es ihn aber nicht, so fällt der Friedensgruß auf euch zurück. 
MAT.10.14	Und wo man euch nicht aufnimmt noch eure Botschaft hören will, ein solches Haus und eine solche Stadt verlasset und schüttelt den Staub von euern Füßen!
MAT.10.15	Wahrlich, ich sage euch: Dem Lande Sodom und Gomorra wird es am Tage des Gerichts viel besser gehn als solcher Stadt. 
MAT.10.16	Ich sende euch jetzt wie Schafe mitten unter Wölfe. So seid denn klug wie die Schlangen, aber auch ohne Falsch wie die Tauben! 
MAT.10.17	Seid aber vor den Menschen
MAT.10.18	Ja man wird euch vor Statthalter und Könige
MAT.10.19	Stellt man euch nun vor ein Gericht, so macht euch keine Sorte, wie oder was ihr reden sollt! Denn in jenem Augenblick wird euch das rechte Wort gegeben werden. 
MAT.10.20	Ihr seid es ja nicht, die dann reden, sondern es ist euers Vaters Geist, der durch euch redet. 
MAT.10.21	Ein Bruder aber wird den andern zum Tode bringen und Väter ihre Kinder; ja Kinder werden sich erheben gegen ihre Eltern und sie töten lassen.
MAT.10.22	Und allgemein wird man euch hassen, weil ihr Bekenner meines Namens seid. Wer aber ausharrt bis ans Ende, der soll errettet werden.
MAT.10.23	Verfolgen sie euch nun in einer Stadt, so flieht in eine andere! Wahrlich, ich sage euch: Vor des Menschensohnes Kommen wird eure Arbeit an den Städten Israels noch nicht vollendet sein.
MAT.10.24	Ein Schüler darf kein anderes Los erwarten als sein Lehrer; ein Sklave soll's nicht besser haben wollen als sein Herr.
MAT.10.25	Der Schüler muß zufrieden sein, wenn es ihm geht wie seinem Lehrer, der Sklave, wenn es ihm geht wie seinen Herrn. Hat man den Hausherrn
MAT.10.26	Fürchtet euch darum
MAT.10.27	Was ich euch im geheimen sage,
MAT.10.28	Seid dabei ohne Furcht vor denen, die wohl den Leib, doch nicht die Seele töten können! Seid aber voller Furcht vor dem, der Seele und Leib
MAT.10.29	Verkauft man nicht zwei Sperlinge für fünf Pfennige?
MAT.10.30	Bei euch sind aber sogar die Haare euers Hauptes allesamt gezählt. 
MAT.10.31	Darum habt keine Furcht! Ihr seid mehr wert als viele Sperlinge. 
MAT.10.32	Wer sich nun zu mir bekennt vor den Menschen, zu dem will ich mich auch bekennen
MAT.10.33	Wer mich aber verleugnet vor den Menschen, den will ich auch verleugnen vor meinem Vater im Himmel. 
MAT.10.34	Denkt nicht, ich sei gekommen, um Frieden auf die Erde zu bringen! Ich bin nicht gekommen, um Frieden zu bringen, sondern Krieg. 
MAT.10.35	Denn ich bin gekommen, um zu entzweien Vater und Sohn, Mutter und Tochter, Schwiegermutter und Schwiegertochter; 
MAT.10.36	und die eignen Hausgenossen wird man zu Feinden haben.
MAT.10.37	Wer Vater oder Mutter mehr liebt als mich, der ist mein nicht wert;
MAT.10.38	Wer nicht sein Kreuz auf sich nimmt,
MAT.10.39	Sein Leben retten heißt: es verlieren! Sein Leben verlieren um meinetwillen heißt: es retten!
MAT.10.40	Wer euch aufnimmt, der nimmt mich auf; und wer mich aufnimmt, der nimmt den auf, der mich gesandt hat. 
MAT.10.41	Wer einen Propheten als solchen
MAT.10.42	Und wer einem dieser kleinen Kinder hier
MAT.11.1	Als Jesus seinen zwölf Jüngern diese Weisungen erteilt hatte, ging er von dort weiter, um in den Städten des Landes zu lehren und zu predigen. 
MAT.11.2	Als Johannes im Gefängnis
MAT.11.3	"Bist du es, der kommen soll, oder müssen wir auf einen anderen warten?"
MAT.11.4	Jesus antwortete ihnen: "Geht und berichtet Johannes, was ihr hört und seht: 
MAT.11.5	Blinde werden sehend und Lahme gehen, Aussätzige werden rein und Taube hören, ja Tote werden auferweckt und Armen
MAT.11.6	und selig ist, wer an mir nicht irre wird!" 
MAT.11.7	Als die Boten weggingen, begann Jesus zu den Volksscharen von Johannes zu reden:
MAT.11.8	Warum seid ihr denn hinausgegangen? Wolltet ihr einen feingekleideten Weltmann sehen?
MAT.11.9	Warum seid ihr denn hinausgegangen? Wolltet ihr einen Propheten sehen? Ja ich sage euch: Dieser Mann ist noch weit mehr als ein Prophet. 
MAT.11.10	Denn er ist es, von dem geschrieben steht: Sieh, ich sende meinen Boten vor dir her, der deinen Weg vor dir bereiten soll
MAT.11.11	Wahrlich, ich sage euch: Unter allen Weibersöhnen ist kein Größerer aufgetreten als Johannes der Täufer; doch der Kleinste im Königreich der Himmel ist größer als er. 
MAT.11.12	Aber seit dem Auftreten Johannes des Täufers
MAT.11.13	Denn alle Propheten und das Gesetz
MAT.11.14	Und wollt ihr's gelten lassen: er ist der Elia, der kommen soll.
MAT.11.15	Wer Ohren hat, der höre!
MAT.11.16	Wem soll ich aber das Volk von heute
MAT.11.17	Wir haben euch die Flöte gespielt,
MAT.11.18	Johannes ist aufgetreten und hat streng enthaltsam gelebt in Speise und Trank;
MAT.11.19	Der Menschensohn ist aufgetreten und ißt und trinkt wie andere; da sagt man nun: 'Seht, er ist ein Fresser und Weintrinker, der Zöllner und Sünder Freund'. Aber doch ist die Weisheit (Gottes) durch ihr ganzes Tun gerechtfertigt worden."
MAT.11.20	Dann fing er an, die Städte zu schelten, in denen seine meisten Wundertaten geschehen waren, und die sich trotzdem nicht bekehrt hatten: 
MAT.11.21	"Weh dir, Chorazin!
MAT.11.22	Doch ich sage euch: Es wird Tyrus und Sidon am Tage des Gerichts erträglicher gehen als euch. 
MAT.11.23	Und du, Kapernaum, meinst du vielleicht, du wirst bis zum Himmel erhoben?
MAT.11.24	Doch ich sage euch: Es wird dem Lande Sodom am Tage des Gerichts erträglicher gehen als dir." 
MAT.11.25	Zu jener Zeit tat Jesus seinen Mund auf und sprach: "Ich preise dich, o Vater, Herr des Himmels und der Erde, daß du dies
MAT.11.26	Ja, Vater, so hat dir's gefallen! 
MAT.11.27	Alles ist mir von meinem Vater übergeben worden.
MAT.11.28	Kommt alle her zu mir, die ihr euch abmüht
MAT.11.29	Nehmt mein Joch
MAT.11.30	Denn mein Joch ist sanft, und meine Last
MAT.12.1	Zu jener Zeit ging Jesus an einem Sabbat durch Getreidefelder. Seine Jünger aber hatten Hunger; darum begannen sie, Ähren abzureißen und die Körner zu essen.
MAT.12.2	Das sahen die Pharisäer und sprachen zu ihm: "Sieh, deine Jünger tun, was nicht erlaubt ist am Sabbat."
MAT.12.3	Er aber antwortete ihnen: "Habt ihr nicht gelesen,
MAT.12.4	Wie er in das Haus Gottes trat und die Schaubrote aß, die doch er und seine Begleiter nicht essen durften, sondern nur die Priester? 
MAT.12.5	Habt ihr ferner nicht gelesen im Gesetz,
MAT.12.6	Doch ich sage euch: Hier ist etwas Größeres als der Tempel.
MAT.12.7	Verstündet ihr aber die Bedeutung des Wortes: Barmherzigkeit will ich und nicht Opfer,
MAT.12.8	Denn
MAT.12.9	Als er von dort weiterging, kam er in ihr Versammlungshaus.
MAT.12.10	Da war ein Mann mit einem abgestorbenen Arm, und sie fragten ihn: "Ist es erlaubt, am Sabbat zu heilen?"
MAT.12.11	Er aber antwortete ihnen: "Fiele einem von euch am Sabbat sein einziges Schaf in eine Grube, zöge er's da nicht sofort heraus? 
MAT.12.12	Steht nun ein Mensch nicht hoch über einem Schaf? Also darf man auch am Sabbat Gutes tun." 
MAT.12.13	Dann sprach er zu dem Mann: "Strecke deinen Arm aus!" Da streckte er ihn aus, und er ward wiederhergestellt und gesund wie der andere. 
MAT.12.14	Als dann die Pharisäer den Gottesdienst verließen, berieten sie sich miteinander wider ihn, wie sie ihn zu Tode bringen könnten. 
MAT.12.15	Aber Jesus erfuhr das und verließ jene Gegend. Viele begleiteten ihn, und er heilte alle.
MAT.12.16	Aber er schärfte ihnen ein, sie sollten ihn nicht öffentlich bekanntmachen, 
MAT.12.17	damit sich der Ausspruch des Propheten Jesaja erfüllte:
MAT.12.18	Das ist mein Knecht, den ich erwählt, und mein Geliebter, den mein Herz erkoren. Ich lege meinen Geist auf ihn, und er soll den Völkern Recht
MAT.12.19	Er wird nicht zanken und nicht schreien,
MAT.12.20	Geknicktes Rohr zerbricht er nicht, und glimmenden Docht löscht er nicht aus,
MAT.12.21	Und auf seinen Namen werden die Völker hoffen. 
MAT.12.22	Da wurde ein Besessener zu ihm gebracht, der war blind und stumm. Und er heilte ihn, so daß der Stumme redete und sah. 
MAT.12.23	Da waren die Leute alle außer sich und sprachen: "Ist der etwa Davids Sohn?"
MAT.12.24	Als aber die Pharisäer davon hörten, sagten sie: "Nur im Bunde mit Beelzebul, dem Obersten der bösen Geister, treibt er die Teufel aus." 
MAT.12.25	Er aber durchschaute ihre Gedanken und sprach zu ihnen: "Jedes Reich, das in sich selbst uneins ist, das fällt in Trümmer; und jede Stadt oder jedes Haus, das in sich selbst uneins ist, kann nicht bestehen. 
MAT.12.26	Treibt nun der Satan den Satan aus, so ist er ja mit sich selbst im Streit: wie sollte da sein Reich bestehen können? 
MAT.12.27	Treibe ich aber im Bunde mit Beelzebul die bösen Geister aus, mit wessen Hilfe treiben sie denn eure Anhänger
MAT.12.28	Treibe ich aber durch Gottes Geist die bösen Geister aus, so ist ja Gottes Königreich zu euch gekommen.
MAT.12.29	Oder
MAT.12.30	Wer nicht mit mir ist, der ist gegen mich;
MAT.12.31	Darum
MAT.12.32	Wer ein Wort sagt gegen den Menschensohn, dem wird vergeben. Wer aber wider den Heiligen Geist redet, der findet keine Vergebung:
MAT.12.33	Erklärt ihr den Baum für gut, so müßt ihr auch seine Frucht für gut halten. Erklärt ihr aber den Baum für schädlich, so müßt ihr auch seine Frucht für schädlich halten.
MAT.12.34	Ihr Schlangenbrut!
MAT.12.35	Ein guter Mensch entnimmt aus seiner guten Vorratskammer Gutes; ein böser Mensch entnimmt aus seiner bösen Vorratskammer Böses. 
MAT.12.36	Ich versichere euch aber: Von jedem bösen Worte, das die Menschen reden, müssen sie am Tage des Gerichtes Rechenschaft geben. 
MAT.12.37	Denn nach deinen Worten sollst du freigesprochen und nach deinen Worten sollst du verurteilt werden." 
MAT.12.38	Da redeten ihn einige Schriftgelehrte und Pharisäer an und sprachen: "Meister, wir wünschen von dir ein Zeichen zu sehen."
MAT.12.39	Er antwortete ihnen: "Ein böses, gottvergessenes
MAT.12.40	Denn wie Jona drei Tage und drei Nächte in des Riesenfisches Leib gewesen ist,
MAT.12.41	Die Leute aus Ninive werden zugleich mit diesen Geschlecht
MAT.12.42	Die Königin aus Süden
MAT.12.43	Ist der unreine Geist von einem Menschen ausgefahren, so wandert er durch Wüsten:
MAT.12.44	Dann spricht er: 'Ich will zurückgehen in mein Haus,
MAT.12.45	Nun geht er hin und holt noch sieben andere Geister, die schlimmer sind als er: die ziehen ein und wohnen dort. So wird's mit einem solchen Menschen am Ende ärger als zuvor. Ganz ebenso wird es auch gehen mit diesem bösen Geschlecht."
MAT.12.46	Als er noch zum dem Volke redete, siehe, da standen seine Mutter und seine Brüder draußen und wünschten ihn zu sprechen. 
MAT.12.48	Er aber antwortete dem, der ihm dies meldete: "Wer ist meine Mutter, und wer sind meine Brüder?" 
MAT.12.49	Dann wies er mit ausgestreckter Hand auf seine Jünger und sprach: "Da seht meine Mutter und meine Brüder! 
MAT.12.50	Denn wer den Willen meines Vaters im Himmel tut, der ist mir Bruder, Schwester und Mutter."
MAT.13.1	An jenem Tage ging Jesus aus seinem Hause
MAT.13.2	Da sammelte sich eine große Schar um ihn. Deshalb trat er in einen Fischerkahn und setzte sich dort nieder, während das ganze Volk am Ufer stand. 
MAT.13.3	Und er redete zu ihnen vielerlei durch Gleichnisse
MAT.13.4	"Ein Sämann ging aus zu säen. Beim Säen fielen einige Körner an den Weg.
MAT.13.5	Andere Körner fielen auf steinigen Grund, wo sie nicht viel Erde hatten. Dort schossen sie schnell in den Halm, weil es der Erdschicht an Tiefe fehlte. 
MAT.13.6	Als dann die Sonne heiß schien, litten die Halme von ihrer Glut; und weil sie nicht Wurzel hatten, verdorrten sie. 
MAT.13.7	Andere Körner fielen dahin, wo Dornen wuchsen. Da schossen die Dornen auf und erstickten die Saat. 
MAT.13.8	Andere Körner fielen auf guten Boden und brachten Frucht: hundertfältig, sechzigfältig, dreißigfältig. 
MAT.13.9	Wer Ohren hat, der höre!" 
MAT.13.10	Da traten seine Jünger zu ihm und sprachen: "Warum redest du zu ihnen in Gleichnissen?" 
MAT.13.11	Er antwortete: "Weil euch die Fähigkeit verliehen ist,
MAT.13.12	Denn wer (viel) hat, der soll noch mehr empfangen, daß er die Fülle habe; doch wer nur wenig hat, dem soll sogar das wenige genommen werden.
MAT.13.13	Gerade deshalb rede ich zu ihnen in Gleichnissen, weil sie trotz ihrer Augen nicht sehen und trotz ihrer Ohren nicht hören und verstehen. 
MAT.13.14	So erfüllt sich an ihnen die Weissagung Jesajas: Hören sollt ihr und nicht verstehen, sehen und nicht erkennen, 
MAT.13.15	denn dieses Volkes Herz ist unempfänglich, ihre Ohren hören schwer, und ihre Augen haben sie verschlossen.
MAT.13.16	Glückselig aber sind eure Augen, weil sie sehen, und eure Ohren, weil sie hören. 
MAT.13.17	Denn viele Propheten und Gerechte — das versichere ich euch — haben sich gesehnt, zu schauen was ihr seht, und haben es nicht geschaut, und zu hören, was ihr hört, und haben es nicht gehört.
MAT.13.18	Euch nun will ich das Gleichnis vom Sämann deuten: 
MAT.13.19	Hört einer das Wort vom Königreich und hat kein Verständnis dafür, so kommt der Böse
MAT.13.20	Was auf steinigen Boden fällt, das bedeutet einen, der das Wort hört und es sogleich mit Freuden aufnimmt; 
MAT.13.21	es schlägt aber nicht Wurzel in ihm, sondern er hält nur eine Zeitlang aus. Kommen Trübsal und Verfolgung um des Wortes willen, so wird er bald im Glauben wankend. 
MAT.13.22	Was dahin fällt, wo Dornen wachsen, das bedeutet einen Hörer, bei dem die Sorge um die irdischen Dinge
MAT.13.23	Was aber auf guten Boten fällt, dies bedeutete einen Hörer, der für das Verständnis hat: der bringt dann Frucht, der eine hundertfältig, der andere sechzigfältig, der dritte dreißigfältig. 
MAT.13.24	Ein anderes Gleichnis trug er ihnen vor, indem er sprach: "Das Königreich der Himmel gleicht einem Menschen, der guten Samen auf seinen Acker säte. 
MAT.13.25	Als aber die Leute schliefen, kam sein Feind: der streute Unkrautsamen mitten unter den Weizen und ging dann weg. 
MAT.13.26	Als nun die Saat aufging und Frucht ansetzte, zeigte sich auch das Unkraut. 
MAT.13.27	Da kamen die Knechte zum Hausherrn und sprachen: 'Herr, hast du nicht guten Samen auf deinen Acker gesät? Woher hat er denn das Unkraut?' 
MAT.13.28	Er antwortete ihnen: 'Das hat ein Feind getan.' Da fragten ihn seine Knechte: 'Sollen wir nun hingehen und es ausjäten?' 
MAT.13.29	Er sagte: 'Nein; ihr würdet sonst beim Sammeln des Unkrauts auch den Weizen mit ausreißen. 
MAT.13.30	Laßt beides miteinander wachsen bis zur Ernte. Zur Erntezeit will ich dann den Schnittern sagen: Sammelt zuerst das Unkraut und bindet es in Bündel zum Verbrennen, den Weizen aber bringt in meinen Speicher!'" 
MAT.13.31	Ein anderes Gleichnis trug er ihnen vor: "Das Königreich der Himmel ist einem Senfkorn gleich, das einer nimmt und auf seinen Acker sät. 
MAT.13.32	Es ist das kleinste unter allen Samenkörnern. Ist es aber ausgewachsen, so ist es größer als die anderen Gartenkräuter und wird sogar ein Baum, so daß die Vögel des Himmels kommen und in seinen Zweigen nisten."
MAT.13.33	Ein anderes Gleichnis redete er zu ihnen: "Das Königreich der Himmel gleicht einem Sauerteig, den eine Frau nimmt und ihn so lange in drei Scheffel Weizenmehl knetet, bis der ganze Teig durchsäuert ist."
MAT.13.34	Dies alles redete Jesus zu dem Volk in Gleichnissen, und ohne Gleichnis redete er nichts zu ihnen, damit sich der Ausspruch des Propheten erfülle:
MAT.13.36	Dann entließ er die Volksmenge und kehrte in sein Haus zurück.
MAT.13.37	Er antwortete: "Der Sämann, der den guten Samen ausstreut, ist der Menschensohn. 
MAT.13.38	Der Acker ist die Welt. Der gute Same sind die Kinder des Königreichs. Das Unkraut sind die Kinder des Bösen.
MAT.13.39	Der Feind, der das Unkraut sät, ist der Teufel. Die Ernte ist das Ende dieser Weltzeit. Die Schnitter sind die Engel. 
MAT.13.40	Wie man nun das Unkraut sammelt und mit Feuer verbrennt, so wird es auch am Ende dieser Weltzeit gehen. 
