GEN.1.1	Im Anfang schuf Gott die Himmel 
GEN.9.23	Da nahmen Sem und Japhet das Obergewand und legten es beide auf ihre Schultern und gingen rücklings und bedeckten die Blöße ihres Vaters; und ihre Angesichter waren abgewandt, und sie sahen die Blöße ihres Vaters nicht.
GEN.9.24	Und Noah erwachte von seinem Weine und erfuhr, was sein jüngster Sohn ihm getan hatte. 
GEN.9.25	Und er sprach: Verflucht sei Kanaan! Ein Knecht der Knechte sei er seinen Brüdern! 
GEN.9.26	Und er sprach: Gepriesen 
GEN.9.27	Weit mache es Gott dem Japhet, und er wohne in den Zelten Sems; und Kanaan sei sein 
GEN.9.28	Und Noah lebte nach der Flut 350 Jahre; 
GEN.9.29	und alle Tage Noahs waren 950 Jahre, und er starb.
GEN.10.1	Und dies sind die Geschlechter der Söhne Noahs, Sem, Ham und Japhet: es wurden ihnen Söhne geboren nach der Flut. 
GEN.10.2	Die Söhne Japhets: Gomer und Magog und Madai und Jawan und Tubal und Mesech und Tiras. 
GEN.10.3	Und die Söhne Gomers: Askenas und Riphat und Togarma. 
GEN.10.4	Und die Söhne Jawans: Elisa und Tarsis, die Kittim und die Dodanim. 
GEN.10.5	Von diesen aus verteilten sich die Bewohner der Inseln 
GEN.10.6	Und die Söhne Hams: Kusch und Mizraim und Put 
GEN.10.7	Und die Söhne Kuschs: Seba und Hawila und Sabta und Raghma und Sabteka. Und die Söhne Raghmas: Scheba und Dedan. 
GEN.10.8	Und Kusch zeugte Nimrod; der fing an, ein Gewaltiger zu sein auf der Erde. 
GEN.10.9	Er war ein gewaltiger Jäger vor Jehova; darum sagt man: Wie Nimrod, ein gewaltiger Jäger vor Jehova! 
GEN.10.10	Und der Anfang seines Reiches war Babel und Erek und Akkad und Kalne im Lande Sinear. 
GEN.10.11	Von diesem Lande zog er aus nach Assur 
GEN.10.12	und Resen zwischen Ninive und Kalach: das ist die große Stadt. - 
GEN.10.13	Und Mizraim zeugte die Ludim und die Anamim und die Lehabim und die Naphtuchim 
GEN.10.14	und die Pathrusim und die Kasluchim (von welchen die Philister 
GEN.10.15	Und Kanaan zeugte Zidon, seinen Erstgeborenen, und Heth, 
GEN.10.16	und den Jebusiter und den Amoriter und den Girgasiter, 
GEN.10.17	und den Hewiter und den Arkiter und den Siniter, 
GEN.10.18	und den Arwaditer und den Zemariter und den Hamathiter. Und nachher haben sich die Familien der Kanaaniter zerstreut. 
GEN.10.19	Und das Gebiet der Kanaaniter erstreckte sich von Zidon nach Gerar hin, 
GEN.10.20	Das sind die Söhne Hams nach ihren Familien, nach ihren Sprachen, in ihren Ländern, in ihren Nationen.
GEN.10.21	Und dem Sem, dem Vater aller Söhne Hebers, dem Bruder Japhets, des 
GEN.10.22	Die Söhne Sems: Elam und Assur und Arpaksad und Lud und Aram. 
GEN.10.23	Und die Söhne Arams: Uz und Hul und Gether und Masch. 
GEN.10.24	Und Arpaksad zeugte Schelach, und Schelach zeugte Heber. 
GEN.10.25	Und dem Heber wurden zwei Söhne geboren: der Name des einen war Peleg, 
GEN.10.26	Und Joktan zeugte Almodad und Scheleph und Hazarmaweth und Jerach 
GEN.10.27	und Hadoram und Usal und Dikla 
GEN.10.28	und Obal und Abimael und Scheba 
GEN.10.29	und Ophir und Hawila und Jobab; diese alle waren Söhne Joktans. 
GEN.10.30	Und ihr Wohnsitz war von Meschar nach Sephar hin, dem Gebirge des Ostens. - 
GEN.10.31	Das sind die Söhne Sems nach ihren Familien, nach ihren Sprachen, in ihren Ländern, nach ihren Nationen. 
GEN.10.32	Das sind die Familien der Söhne Noahs nach ihren Geschlechtern, in ihren Nationen; und von diesen aus haben sich nach der Flut die Nationen auf der Erde verteilt.
GEN.11.1	Und die ganze Erde hatte 
GEN.11.2	Und es geschah, als sie nach 
GEN.11.3	Und sie sprachen einer zum anderen: Wohlan, laßt uns Ziegel streichen und hart brennen! Und der Ziegel diente ihnen als Stein, und das Erdharz diente ihnen als Mörtel. 
GEN.11.4	Und sie sprachen: Wohlan, bauen wir uns eine Stadt und einen Turm, dessen Spitze an den Himmel reiche, und machen wir uns einen Namen, daß wir nicht zerstreut werden über die ganze Erde! 
GEN.11.5	Und Jehova fuhr hernieder, die Stadt und den Turm zu sehen, welche die Menschenkinder bauten. 
GEN.11.6	Und Jehova sprach: Siehe, sie sind ein Volk und haben alle eine Sprache, und dies haben sie angefangen zu tun; und nun wird ihnen nichts verwehrt werden, was sie zu tun ersinnen. 
GEN.11.7	Wohlan, laßt uns herniederfahren und ihre Sprache daselbst verwirren, daß sie einer des anderen Sprache nicht verstehen! 
GEN.11.8	Und Jehova zerstreute sie von dannen über die ganze Erde; und sie hörten auf, die Stadt zu bauen. 
GEN.11.9	Darum gab man ihr den Namen Babel; 
GEN.11.10	Dies sind die Geschlechter Sems: Sem war 100 Jahre alt und zeugte Arpaksad, zwei Jahre nach der Flut. 
GEN.11.11	Und Sem lebte, nachdem er Arpaksad gezeugt hatte, 500 Jahre und zeugte Söhne und Töchter. - 
GEN.11.12	Und Arpaksad lebte 35 Jahre und zeugte Schelach. 
GEN.11.13	Und Arpaksad lebte, nachdem er Schelach gezeugt hatte, 403 Jahre und zeugte Söhne und Töchter. - 
GEN.11.14	Und Schelach lebte 30 Jahre und zeugte Heber. 
GEN.11.15	Und Schelach lebte, nachdem er Heber gezeugt hatte, 403 Jahre und zeugte Söhne und Töchter. - 
GEN.11.16	Und Heber lebte 34 Jahre und zeugte Peleg. 
GEN.11.17	Und Heber lebte, nachdem er Peleg gezeugt hatte, 430 Jahre und zeugte Söhne und Töchter. - 
GEN.11.18	Und Peleg lebte 30 Jahre und zeugte Reghu. 
GEN.11.19	Und Peleg lebte, nachdem er Reghu gezeugt hatte, 209 Jahre und zeugte Söhne und Töchter. - 
GEN.11.20	Und Reghu lebte 32 Jahre und zeugte Serug. 
GEN.11.21	Und Reghu lebte, nachdem er Serug gezeugt hatte, 207 Jahre und zeugte Söhne und Töchter. - 
GEN.11.22	Und Serug lebte 30 Jahre und zeugte Nahor. 
GEN.11.23	Und Serug lebte, nachdem er Nahor gezeugt hatte, 200 Jahre und zeugte Söhne und Töchter. - 
GEN.11.24	Und Nahor lebte 29 Jahre und zeugte Tarah. 
GEN.11.25	Und Nahor lebte, nachdem er Tarah gezeugt hatte, 119 Jahre und zeugte Söhne und Töchter. - 
GEN.11.26	Und Tarah lebte 70 Jahre und zeugte Abram, Nahor und Haran.
GEN.11.27	Und dies sind die Geschlechter Tarahs: Tarah zeugte Abram, Nahor und Haran; und Haran zeugte Lot. 
GEN.11.28	Und Haran starb vor dem Angesicht seines Vaters Tarah, in dem Lande seiner Geburt, zu Ur in Chaldäa. 
GEN.11.29	Und Abram und Nahor nahmen sich Weiber; der Name des Weibes Abrams war Sarai, und der Name des Weibes Nahors Milka, die Tochter Harans, des Vaters der Milka und des Vaters der Jiska. 
GEN.11.30	Und Sarai war unfruchtbar, sie hatte kein Kind. 
GEN.11.31	Und Tarah nahm seinen Sohn Abram und Lot, den Sohn Harans, seines Sohnes Sohn, und Sarai, seine Schwiegertochter, das Weib seines Sohnes Abram; und sie zogen miteinander 
GEN.11.32	Und die Tage Tarahs waren 205 Jahre, und Tarah starb in Haran.
GEN.12.1	Und Jehova sprach zu Abram: Gehe aus deinem Lande und aus deiner Verwandtschaft und aus deines Vaters Hause, in das Land, das ich dir zeigen werde. 
GEN.12.2	Und ich will dich zu einer großen Nation machen und dich segnen, und ich will deinen Namen groß machen; und du sollst ein Segen sein! 
GEN.12.3	Und ich will segnen, die dich segnen, und wer dir flucht, den werde ich verfluchen; und in dir sollen gesegnet werden alle Geschlechter der Erde!
GEN.12.4	Und Abram ging hin, wie Jehova zu ihm geredet hatte, und Lot ging mit ihm; und Abram war 75 Jahre alt, als er aus Haran zog. 
GEN.12.5	Und Abram nahm Sarai, sein Weib, und Lot, seines Bruders Sohn, und alle ihre Habe, die sie erworben, und die Seelen, die sie in Haran gewonnen hatten, und sie zogen aus, um in das Land Kanaan zu gehen; und sie kamen in das Land Kanaan.
GEN.12.6	Und Abram durchzog das Land bis zu dem Orte Sichem, bis zur Terebinthe Mores. Und die Kanaaniter waren damals im Lande. 
GEN.12.7	Und Jehova erschien dem Abram und sprach: Deinem Samen will ich dieses Land geben. Und er baute daselbst Jehova, der ihm erschienen war, einen Altar. 
GEN.12.8	Und er brach auf von dannen nach dem Gebirge ostwärts von Bethel und schlug sein Zelt auf, Bethel gegen Westen und Ai gegen Osten; und er baute daselbst Jehova einen Altar und rief den Namen Jehovas an. 
GEN.12.9	Und Abram zog fort, immer weiter ziehend, nach dem Süden. 
GEN.12.10	Es entstand aber eine Hungersnot im Lande; und Abram zog nach Ägypten hinab, um sich daselbst aufzuhalten, 
GEN.12.11	Und es geschah, als er nahe daran war, nach Ägypten zu kommen, da sprach er zu Sarai, seinem Weibe: Siehe doch, ich weiß, daß du ein Weib, schön von Ansehen, bist; 
GEN.12.12	und es wird geschehen, wenn die Ägypter dich sehen, so werden sie sagen: Sie ist sein Weib; und sie werden mich erschlagen und dich leben lassen. 
GEN.12.13	Sage doch, du seiest meine Schwester, auf daß es mir wohlgehe um deinetwillen und meine Seele am Leben bleibe deinethalben.
GEN.12.14	Und es geschah, als Abram in Ägypten ankam, da sahen die Ägypter, daß das Weib sehr schön war. 
GEN.12.15	Und die Fürsten des Pharao sahen sie und priesen sie dem Pharao; und das Weib wurde in das Haus des Pharao geholt. 
GEN.12.16	Und er tat Abram Gutes um ihretwillen; und er bekam Kleinvieh und Rinder und Esel und Knechte und Mägde und Eselinnen und Kamele. 
GEN.12.17	Und Jehova schlug den Pharao und sein Haus mit großen Plagen um Sarais willen, des Weibes Abrams. 
GEN.12.18	Und der Pharao ließ Abram rufen und sprach: Was hast du mir da getan? Warum hast du mir nicht kundgetan, daß sie dein Weib ist? 
GEN.12.19	Warum hast du gesagt: Sie ist meine Schwester, so daß ich sie mir zum Weibe nahm? Und nun siehe, da ist dein Weib, nimm sie und gehe hin. 
GEN.12.20	Und der Pharao entbot seinetwegen Männer, und sie geleiteten ihn und sein Weib und alles, was er hatte.
GEN.13.1	Und Abram zog herauf aus Ägypten, er und sein Weib und alles, was er hatte, und Lot mit ihm, nach dem Süden. 
GEN.13.2	Und Abram war sehr reich an Vieh, an Silber und an Gold. 
GEN.13.3	Und er ging auf seinen Zügen vom Süden bis Bethel, bis zu dem Orte, wo im Anfang sein Zelt gewesen war, zwischen Bethel und Ai, 
GEN.13.4	zu der Stätte des Altars, den er zuvor daselbst gemacht hatte. Und Abram rief daselbst den Namen Jehovas an.
GEN.13.5	Und auch Lot, der mit Abram zog, hatte Kleinvieh und Rinder und Zelte. 
GEN.13.6	Und das Land ertrug es nicht, daß sie beisammen wohnten; denn ihre Habe war groß, und sie konnten nicht beisammen wohnen. 
GEN.13.7	Und es gab Zank zwischen den Hirten von Abrams Vieh und den Hirten von Lots Vieh. Und die Kanaaniter und die Perisiter wohnten damals im Lande. 
GEN.13.8	Da sprach Abram zu Lot: Laß doch kein Gezänk sein zwischen mir und dir und zwischen meinen Hirten und deinen Hirten; denn wir sind Brüder! 
GEN.13.9	Ist nicht das ganze Land vor dir? Trenne dich doch von mir! Willst du 
GEN.13.10	Und Lot hob seine Augen auf und sah die ganze Ebene 
GEN.13.11	Und Lot erwählte sich die ganze Ebene des Jordan, und Lot zog ostwärts; und sie trennten sich voneinander. 
GEN.13.12	Abram wohnte im Lande Kanaan, und Lot wohnte in den Städten der Ebene und schlug Zelte auf bis nach Sodom. 
GEN.13.13	Und die Leute von Sodom waren böse und große Sünder vor Jehova.
GEN.13.14	Und Jehova sprach zu Abram, nachdem Lot sich von ihm getrennt hatte: Hebe doch deine Augen auf und schaue von dem Orte, wo du bist, gegen Norden und gegen Süden und gegen Osten und gegen Westen! 
GEN.13.15	Denn das ganze Land, das du siehst, dir will ich es geben und deinem Samen auf ewig. 
GEN.13.16	Und ich will deinen Samen machen wie den Staub der Erde, so daß, wenn jemand den Staub der Erde zu zählen vermag, auch dein Same gezählt werden wird. 
GEN.13.17	Mache dich auf und durchwandle das Land nach seiner Länge und nach seiner Breite; denn dir will ich es geben. 
GEN.13.18	Und Abram schlug Zelte auf, und kam und wohnte unter den Terebinthen Mamres, die bei Hebron sind; und er baute daselbst Jehova einen Altar.
GEN.14.1	Und es geschah in den Tagen Amraphels, des Königs von Sinear, Ariochs, des Königs von Ellasar, Kedorlaomers, des Königs von Elam, und Thidhals, des Königs von Gojim, 
GEN.14.2	daß sie Krieg führten mit Bera, dem Könige von Sodom, und mit Birscha, dem Könige von Gomorra, Schineab, dem Könige von Adama, und Schemeber, dem Könige von Zeboim, und mit dem Könige von Bela, das ist Zoar. 
GEN.14.3	Alle diese verbündeten sich und kamen in das Tal Siddim, das ist das Salzmeer. 
GEN.14.4	Zwölf Jahre hatten sie Kedorlaomer gedient, und im dreizehnten Jahre empörten sie sich. 
GEN.14.5	Und im vierzehnten Jahre kamen Kedorlaomer und die Könige, die mit ihm waren, und schlugen die Rephaim zu Asteroth-Karnaim und die Susim zu Ham und die Emim in der Ebene von Kirjathaim, 
GEN.14.6	und die Horiter auf ihrem Gebirge Seir bis El-Paran, das an der Wüste liegt. 
GEN.14.7	Und sie wandten sich und kamen nach En-Mischpat, das ist Kades; und sie schlugen das ganze Gefilde der Amalekiter und auch die Amoriter, die zu Hazazon-Tamar wohnten. 
GEN.14.8	Und es zogen aus der König von Sodom und der König von Gomorra und der König von Adama und der König von Zeboim und der König von Bela, das ist Zoar; und sie stellten sich gegen sie in Schlachtordnung auf im Tale Siddim: 
GEN.14.9	gegen Kedorlaomer, den König von Elam, und Thidhal, den König von Gojim, und Amraphel, den König von Sinear, und Arioch, den König von Ellasar, vier Könige gegen die fünf. 
GEN.14.10	Das Tal Siddim war aber voll von Erdharzquellen; und die Könige von Sodom und Gomorra flohen und fielen daselbst, 
GEN.14.11	Und sie nahmen alle Habe von Sodom und Gomorra und alle ihre Speise und zogen davon. 
GEN.14.12	Und sie nahmen Lot, Abrams Bruders Sohn, und seine Habe und zogen davon; denn er wohnte in Sodom.
GEN.14.13	Und es kam ein Entronnener und berichtete es Abram, dem Hebräer; er wohnte aber unter den Terebinthen Mamres, des Amoriters, des Bruders von Eskol und des Bruders von Aner, und diese waren Abrams Bundesgenossen. 
GEN.14.14	Und als Abram hörte, daß sein Bruder gefangen weggeführt war, ließ er seine Geübten, seine Hausgeborenen, ausrücken, 318 Mann, und jagte ihnen nach bis Dan. 
GEN.14.15	Und er teilte sich wider sie des Nachts, er und seine Knechte, und schlug sie und jagte ihnen nach bis Hoba, das zur Linken 
GEN.14.16	Und er brachte alle Habe zurück; und auch Lot, seinen Bruder, und dessen Habe brachte er zurück, und auch die Weiber und das Volk.
GEN.14.17	Und als er zurückgekehrt war, nachdem er Kedorlaomer und die Könige, die mit ihm gewesen, geschlagen hatte, zog der König von Sodom aus, ihm entgegen, in das Tal Schawe, das ist das Königstal. 
GEN.14.18	Und Melchisedek, 
GEN.14.19	Und er segnete ihn und sprach: Gesegnet sei Abram von Gott, 
GEN.14.20	Und gepriesen 
GEN.14.21	Und der König von Sodom sprach zu Abram: Gib mir die Seelen, und die Habe nimm für dich. 
GEN.14.22	Und Abram sprach zu dem König von Sodom: Ich hebe meine Hand auf zu Jehova, zu Gott, 
GEN.14.23	Wenn vom Faden bis zum Schuhriemen, ja, wenn ich irgend etwas nehme von dem, was dein ist! Auf daß du nicht sagest: Ich habe Abram reich gemacht. 
GEN.14.24	Nichts für mich! Nur was die Knaben 
GEN.15.1	Nach diesen Dingen geschah das Wort Jehovas zu Abram in einem Gesicht also: Fürchte dich nicht, Abram; ich bin dir ein Schild, dein sehr großer Lohn.
GEN.15.2	Und Abram sprach: Herr, Jehova, was willst du mir geben? Ich gehe ja kinderlos dahin, und der Erbe 
GEN.15.3	Und Abram sprach: Siehe, mir hast du keinen Samen gegeben, und siehe, der Sohn meines Hauses 
GEN.15.4	Und siehe, das Wort Jehovas geschah zu ihm also: Nicht dieser wird dich beerben, sondern der aus deinem Leibe hervorgehen wird, der wird dich beerben. 
GEN.15.5	Und er führte ihn hinaus und sprach: Blicke doch gen Himmel und zähle die Sterne, wenn du sie zählen kannst! Und er sprach zu ihm: Also wird dein Same sein! 
GEN.15.6	Und er glaubte Jehova; und er rechnete es ihm zur Gerechtigkeit.
GEN.15.7	Und er sprach zu ihm: Ich bin Jehova, der dich herausgeführt hat aus Ur in Chaldäa, um dir dieses Land zu geben, es zu besitzen. 
GEN.15.8	Und er sprach: Herr, Jehova, woran soll ich erkennen, daß ich es besitzen werde? 
GEN.15.9	Da sprach er zu ihm: Hole mir eine dreijährige Färse und eine dreijährige Ziege und einen dreijährigen Widder und eine Turteltaube und eine junge Taube. 
GEN.15.10	Und er holte ihm diese alle und zerteilte sie in der Mitte und legte die Hälfte eines jeden der anderen gegenüber; aber das Geflügel zerteilte er nicht. 
GEN.15.11	Und die Raubvögel stürzten auf die Äser herab; und Abram scheuchte sie hinweg.
GEN.15.12	Und es geschah, als die Sonne untergehen wollte, da fiel ein tiefer Schlaf auf Abram; und siehe, Schrecken, dichte Finsternis überfiel ihn. 
GEN.15.13	Und er sprach zu Abram: Gewißlich sollst du wissen, daß dein Same ein Fremdling sein wird in einem Lande, das nicht das ihre ist; und sie werden ihnen dienen, und sie werden sie bedrücken vierhundert Jahre. 
GEN.15.14	Aber ich werde die Nation auch richten, welcher sie dienen werden; und danach werden sie ausziehen mit großer Habe. 
GEN.15.15	Und du, du wirst zu deinen Vätern eingehen in Frieden, wirst begraben werden in gutem Alter. 
GEN.15.16	Und im vierten Geschlecht werden sie hierher zurückkehren; denn die Ungerechtigkeit der Amoriter 
GEN.15.17	Und es geschah, als die Sonne untergegangen und dichte Finsternis geworden war, siehe da, ein rauchender Ofen und eine Feuerflamme, die zwischen jenen Stücken hindurchfuhr. 
GEN.15.18	An selbigem Tage machte Jehova einen Bund mit Abram und sprach: Deinem Samen gebe ich dieses Land vom Strome Ägyptens bis an den großen Strom, den Strom Phrath: 
GEN.15.19	die Keniter und die Kenisiter und die Kadmoniter 
GEN.15.20	und die Hethiter und die Perisiter und die Rephaim, 
GEN.15.21	und die Amoriter und die Kanaaniter und die Girgasiter und die Jebusiter.
GEN.16.1	Und Sarai, Abrams Weib, gebar ihm nicht. Und sie hatte eine ägyptische Magd, und ihr Name war Hagar. 
GEN.16.2	Und Sarai sprach zu Abram: Siehe doch, Jehova hat mich verschlossen, daß ich nicht gebäre; gehe doch ein zu meiner Magd, vielleicht werde ich aus ihr erbaut werden. 
GEN.16.3	Und Sarai, Abrams Weib, nahm Hagar, die Ägypterin, ihre Magd, nach Verlauf von zehn Jahren, die Abram im Lande Kanaan gewohnt hatte, und gab sie Abram, ihrem Manne, ihm zum Weibe.
GEN.16.4	Und er ging zu Hagar ein, und sie ward schwanger; und als sie sah, daß sie schwanger war, da wurde ihre Herrin gering in ihren Augen. 
