LUK.1.1	Гьал ппараттар алучӀуная ахъакьас че мисаъ хьуна, ккеттушу курарихъас. 
LUK.4.21	– ЯгӀа, те чун юркӀв алийина вахттуни, аларкьуная гирами китабиъ ликӀина гафар.
LUK.4.22	Джаллабури тегӀриф аркьай хьуная Гин, Гебур муьхӀтал вей Ги агъа иджвелин гафарил, хабар гъуланди ахьуная: «Юсуфан кӀиркӀду Ге?» – агъай.
LUK.4.23	Ӏисайи гебурис пуная:
LUK.4.23	– Агьал чун Зас мишттин мисала пасе: «Е духттур, вун сагелай вун сагъ акье!» «Фидегьен унихьуная час Вун Кафернагьум агъа шагьурдиъ акьуна Ӏеламатарихъас. Мисара акье, Ве ватандил». 
LUK.4.24	Зун чвас дузди агъая, – пуная Ӏисайи, – са пайгъамбара адава, учин ватандил кьабул акьунаф. 
LUK.4.25	Ӏизраилдиъ ппара ашкӀинар ахьуная пайгъамбар Илйайин вахттуни. Гьете вахттуни, хьибу исна сура угъвалар дугъай, кӀилди хӀуькуматтиъ ппара Ӏайи гашра ахьуная. 
LUK.4.26	Амма Ӏизраилдин ашкӀинарилди сайилдира гьидикуна, пайгъамбар Илйа гьикуна ахьуная сасра милатин са ашкӀин хьиралди, Сидун дерейин багулив фая Сарепта агъа шагьурдиди. 
LUK.4.27	Ӏизраилдиъ ппара кабкар кеяттар ахьуная пайгъамбар Элисеян вахттуни, амма гебурикес садра сагъ хьуна адава, са Нааман дала, Сирия агъа хӀуькуматтиас.
LUK.4.28	Ге гафар унихьугуна, джалла дуьгӀебур аркьа хулаъ аяттарис хъел адиная. 
LUK.4.29	Гъагьахъуна, хъучӀирхӀай файшуная гебури Ӏиса хӀуригӀас багулив фая дагьарин кӀукӀуйилди, тисалас ахтт алайхьас. 
LUK.4.30	Ӏиса, гӀадишина гебуригӀас, ушуная.
LUK.4.31	Ӏиса адиная Галилея дерейиди, Кафернагьум агъа шагьурдиди. Киш ягъари халкьдис ягӀар аркьай хьуная Ги. 
LUK.4.32	Джалла муьхӀтал вей хьуная Ӏисайи ягӀар аркьагъилди, Ге дагучӀай, хӀаф суман, гъургъахӀела. 
LUK.4.33	ДуьгӀебур хура хулаъ са инсан ахьуная, гӀанаъ шейтӀан аяф. Садпуна ги гьараяр акьуна пуная:
LUK.4.34	– Эй, Назаретарин Ӏиса, фи э Вас чакес ккандеяф? Вун чин пуч акьас адинаф эв? Зас ягӀая Вун фуш ичин. Вун Аллагьдин Гирами э.
LUK.4.35	Ӏисайи, гъургъас адатуна, пуная гис:
LUK.4.35	– БуӀ! АйчӀв лиас!
LUK.4.35	ШейтӀанди алгъадаркас акьуна ге инсан дуьгӀебур хура хулан яӀаниъ, айчӀуная гиас, гис зарар дакьуна. 
LUK.4.36	Джаллабурис гучӀ хьуная. Чаб чиппигӀди агъай хьуная гебури:
LUK.4.36	– Фи Ӏеламатар э гебур? Гив гьегишттин хӀавелна кьуват фая, шейтӀанарисра кехӀей буюрмиш акьуна, шейтӀанар айчӀвая!
LUK.4.37	КӀилди дерейиъ ад архьуная Ӏисайихъас.
LUK.4.38	ДуьгӀебур хура хулаас ушуная Ӏиса Симонан хулади. Симонан хьеджарбаб иттай ахьуная, куче цӀа ай джандиъ. Ӏисайис тӀалаб акьуная гис кумак акьас. 
LUK.4.39	АгьукӀуна гилди, Ӏисайи сакин акьуная иттал. Иттал айчӀуная гиас. Дишагьли гьеге сеӀетти гъайшина, агьийиная суфра. 
LUK.4.40	Рагъ учӀухаб, инсанар вей хьуная Ӏисайилди чиппин иттаттар хъай. Гьерттил алихьай гъилар, сагъ аркьай хьуная гебур Ӏисайи. 
LUK.4.41	АцӀунаттариас шейтӀанар айчӀвай хьуная гьараяр аркьай: «Вун – Аллагьдин КӀиркӀ э!» – агъай.
LUK.4.41	Ӏисайи буӀас аркьай хьуная шейтӀанар, пас адартай, гебурис ягӀай ахьунахӀела Уч Месигь идеф.
LUK.4.42	Багамин гагь хьегуна, Ӏиса ушуная хӀуриас садра адава сакин мукьуйиди. Инсанар руцай хьуная Гихъас. Ге джикӀигуна, инсанар алучӀуная Гил мева, чиппихъай гисаъ экьве агъай. 
LUK.4.43	Ӏисайи пуная гебурис:
LUK.4.43	– Зун джуьре мукьариъра идже хабар акьуна ккандея, Аллагьдин Паччагьвел хьасе пуна. Зун гьеге пас гьикунафе.
LUK.4.44	Ягьудея дерейин дуьгӀебур хура хулариъ ягӀар аркьай хьуная Ӏисайи инсанарис Аллагьдин гаф.
LUK.5.1	Сагелай, Ӏиса Генисарет агъа хӀуьлин къирагъихъ хъаягуна, Гигьди завал хьуная ацӀуна инсанар, Ӏисайи агъа Аллагьдин Гафттил юркӀв алиянас. 
LUK.5.2	Ӏисайис агуная къирагъихъ Ӏу лодка. Балугъар фарцанттари, айчӀуна лодкабуриас, Ӏуьрччанди ахьуная чалар. 
LUK.5.3	Ӏисайи, учӀуна са лодкайиъ (ге хьуная Симонан лодка), гӀачаях пуная са чӀукь къирагъихъас тич. Экьуна ге лодкайиъ, Аллагьдин Гаф ягӀар аркьай хьуная Ӏисайи инсанарис. 
LUK.5.4	Учи пуна ккиркӀугуна, Ӏисайи пуная Симонас:
LUK.5.4	– ГӀачушуна уьркӀе мукьуйигӀди, гӀихь чве чалар балугъар фацанас.
LUK.5.5	Симона джуваб йиная:
LUK.5.5	– Е МегӀелим, чин кӀилин Ӏуьштти аяттаре мисаъ ул алдакьуна, амма фера фацуна адава. Вун лиштти агъахаб, зун гӀихьасе чалар.
LUK.5.6	ГӀихьуна, фацуная гебури гьеге къайда балугъар, къикъе хьуна, чалар чӀургъай хьуная. 
LUK.5.7	Гъилар акьуная гебури сасра лодкайиъ ая илдешарис, кумак акьас гӀаттшаб пуна. Илдешар гӀаттиная. Ӏудар лодкабуриъ ахъуная гебури балугъар. Къакъ ппара хьуна, адивай ахьуная лодкабур. 
LUK.5.8	Гебур агугуна, Симон Петтруйи, экьуна кьвакьварилди Ӏисайин удигь, пуная:
LUK.5.8	– Е зе ХӀаф, ях загьас, зун гунагьар кея инсан э!
LUK.5.9	Симонна, гихъай аяттара муьхӀтал хьуна ахьуная гидегьен ппара балугъар агуф. 
LUK.5.10	Гин илдешарисра, Якьубасна ЯхӀъяйис, Зебедайин шиниккварис, гучӀ хьуна ахьуная. Ӏисайи пуная Симонас:
LUK.5.10	– ГучӀ мева. Гьалдихъас хаб вун инсанар фарцанф хьасе.
LUK.5.11	ГӀаттивуна лодкабур къирагъихъди, кӀилди атуна, гебур чаб ушуная Ӏисайихъай.
LUK.5.12	Ӏиса ахьуная са шагьурдиъ. Багулифас гьаттвей хьуная кӀилди кабкари алацӀуна са инсан. Ӏиса агуф, Гин лекарикк аккерхьуна, миннат акьуная ге инсанди:
LUK.5.12	– Е зе ХӀаф, Вафас зун мертт акьас хьасе, Вас кканхьехаб!
LUK.5.13	Ӏисайи дагъуна гъил, кирхӀуна гик, пуная:
LUK.5.13	– Кканде, мертт ухь.
LUK.5.13	Гьеге сеӀетти гулуная иттал. 
LUK.5.14	Ӏисайи пуная гис:
LUK.5.14	– Сайисра ахъамаркьа михъас. Ушуна маллайилди, хъуттурфанас акье вахъ, садакьара акье вун сагъ хьебахъас, 
LUK.5.15	Гьер усари унихьай хьуная Ӏисайихъас. Ппара халкь завал вей хьуная Гил юркӀв алиянас, Ги чаб сагъ акьас. 
LUK.5.16	Уч Ӏиса ппара сакин мукьуйиди ушуна, дуьгӀебур аркьай хьуная.
LUK.5.17	Сагелай, Ӏисайи Аллагьдин гаф ягӀар аркьагуна, Гил юркӀв алийинаттаригӀ гӀахьуная экьуна 
