GEN.1.1	Deusũ nai inũ mai dami wakĩ eska wakĩ taewanikiaki. 
GEN.7.4	Hanushũ ana 7 shaba keyuaya mai anu ui ẽ tueaii. Hakia taewakinã, 40 shaba inũ 40 yame tanamakĩ ui nesewama ẽ imashanaii. Haska wakĩ mai anu ẽ damiwani ẽ hawẽ yamawashanaii, hiweabu dasibi hasakĩ tenã keyukinã”, aka 
GEN.7.5	dasibi Deusũ haska yunua Noé akĩ keyunikiaki.
GEN.7.6	Noé 600 bariyakẽ hene matai taenikiaki. 
GEN.7.7	Heneki datei hawẽ aĩbe inũ, hawẽ huni bakebube inũ, hawẽ babawãbube Noé hawẽ nunutiki hiki taenikiaki. 
GEN.7.8+GEN.7.9	Pitibu yuinaka inũ pitibuma yuinaka betsa betsapa tibi hatube hikirianibukiaki, yushã inũ benerã. Dasibi haska Deusũ Noé yunua hawẽ hãtxa txibaĩ hikinibukiaki.
GEN.7.10	Ana 7 shaba keyuaya hene matai taeaya 
GEN.7.11	Noé 600 bariya hiwekẽ hanua ha baritiã ma 2 ushe inũ 17 diatiã mai anua hene tuekeaya nai uria ui bashnekei tuekeriaya 
GEN.7.12	40 shaba inũ 40 yame tanamakĩ mai anu ui imanikiaki, Deusũnã.
GEN.7.13	Habiatiãri ui iki taeaya Noé inũ hawẽ aĩ inũ hawẽ bakebu dabe inũ besti Sem inũ, Cam inũ, Jafé inũ, hawẽ babawã dabe inũ besti shashu nunuti merã hikiaibũ 
GEN.7.14	pitibu yuinaka inũ pitibuma yuinaka inũ habu nũ ina waisma inũ habu nũ ina wamis yuinaka betsa betsapa tibi inũ nutawẽ sharai mapumisbu inũ peiyaburã, hati hatube hikinibukiaki. 
GEN.7.15+GEN.7.16	Dasibi huĩsinamisbu mai anu hiweabu tibi Noébe nunuti merã hikibaĩbainaibũ haska Deusũ yunua yuinaka yushã inũ bene hiki keyuaibũ shashu nunuti merã Senhor Deusũ ibubis hatu bepunikiaki. 
GEN.7.17	Hanua 40 shaba ui iki heneriamakẽ ana hene ewakĩ matawakĩ hawẽ nunuti nũtãkĩ taewaya 
GEN.7.18	hanua hene ana matai ewakũkaĩkĩ mai dasibi binumaya shashu nunuti nunukaunaya 
GEN.7.19	henẽ mai binumahairakĩ mati keyatapa dasibi atximakĩ 
GEN.7.20	7 metro ana matakĩ ni binumakĩ mati dasibi atxikĩ mabiris akĩ keyunikiaki. 
GEN.7.21	Haskaya yuinaka inũ yurabu mawai 
GEN.7.22	dasibi hamapai sharabu habu huĩsinamisbu mai anu hiweabu mawai keyunibukiaki. 
GEN.7.23	Haska wakĩ mai anu hiweabu Deusũ dasibi keyu tenãkĩ yurabu inũ yuinaka yamawakẽ hakia hatibu Noébe besti nunuti merã hikiabus hawa mawabumakẽ 
GEN.7.24	hanu ui ma nesekẽ hene netsuriama dasibi bepukĩ keyua netsuyuama ana 150 shaba iyunikiaki.
GEN.8.1	Hanua Noé inũ yuinaka betsa betsapa sharabu shashu nunuti merã Noébe hiweyuabũ Deusũ hatu shinãkĩ hene tsusĩ wãkĩ taewakĩ niwe shũku imaya hene netsui taekainaya 
GEN.8.2	mai meranua hene ana tueama inũ Deusũ ui nemakĩ nai anuari nese waya 
GEN.8.3	hanua hene unãshubira netsui taekainaya hanua 150 shaba binukaini netsukũkaini taei 
GEN.8.4	hanu ma ushe 7kẽ inũ shaba 17tiã hanu shashu nunuti Ararate Mati tsauakeakea mamaki dakakẽ 
GEN.8.5	hene ma netsukũkainaya ha ushe tibi tashnikũkainaya 10ki niaya hatiã hawẽ dia ha dukũ taeaya ha mati hawẽ buru keyatapahaira ma tashnia betxitã
GEN.8.6	hanua ana 40 dia shaba binuaya hanushũ uĩti shui waima Noẽ bepẽtã 
GEN.8.7	yuinaka betsa peiya meshupa nitxiã nuya atãkĩ hau hene netsutã tashkayunũ manai ana huamakẽ 
GEN.8.8+GEN.8.9	hanushũ Noẽ ana shinãtã: “Ma mai tsusĩmẽkaĩ, hau hatũri uĩtanũ”, iwanã, Noẽ deiwã nitxiã nuyakauãkĩ uiã dasibi mai anu netsuriamakẽ hani bututima ana txĩtũkirani shashu nunuti anu ana huaya Noẽ hawẽ mekẽ sanãshuna haki tsaua nunuti merã ana bitxitã 
GEN.8.10	hanushũ ana 7 shaba Noẽ manatã deiwã ana nitxiã ka 
GEN.8.11	bari kai meshuaya ana deiwã txĩtũkirãkĩ ni pei bei Noéki nukuaya uĩkĩ yuikĩ: “Habaa! Ni pei bena tukũbiranibikaĩ!” hatu wa haskawẽ taea: “Mai tsusĩki”, ikĩ hene ma netsuai Noẽ unãkĩ 
GEN.8.12	ana 7 shaba manatã deiwã ana nitxiã ka ana huama haribi niti inikiaki.
GEN.8.13	Hanua Noé 601 ano ma hayakẽ hatiã hene netsui keyukẽ ha haskairã, bari bena ushe ha dukũ dia iki taeaitianã, hawẽ shashu nunuti hawẽ mabepu pekakĩ bepẽ keyutã mai ma tsusiã uĩtã 
GEN.8.14	ana habias bari ushe 2 dia 27 tiã mai ma tãki keyukẽ 
GEN.8.15+GEN.8.16	habiatiãri Deus Noébe hãtxakĩ yuikĩ: “Nunuti anua kaĩrikãwẽ, mia inũ, mĩ aĩ inũ, mĩ bakebu inũ, mĩ babawanã. 
GEN.8.17	Yuinaka pitibu inũ, pitibuma inũ, habu mã ina waisma inũ, habu mã ina wamis yuinaka betsa betsapa tibi inũ, nutawẽ sharai mapumisbu inũ, peiyaburã, dasibi kaĩmariwe, haburi mai hirabi anu hau bua haria bakeyai paritanũbunã”, aka 
GEN.8.18	Noé hawenabube kaiãyã 
GEN.8.19	yuinaka mani betsa tibi shashu nunuti meranua habiaskariai kaĩbainibukiaki.
GEN.8.20	Hanushũ Noẽ Senhor Deus kẽwãkĩ eska wanikiaki. Mishki txi tapu wakĩ mishki itxawakĩ maspu watã yuinaka pitibu betsa betsapa tibi bishũ tesẽshũ txi tapu anushũ menukĩ kua keyuaya 
GEN.8.21	hawẽ kuĩ nue maiai Senhor Deusũ shetekĩ benimakĩ shinãkĩ: “Hunibu ewariama shinã txakabui taemisbuki. Hunibu ewatã habiaskari ikubaĩmisbuki. Haskabiakẽ hatu kupikatsi ikama ẽ ana mai hatu txakabuwashunama ishanaii, kupikinã. Henewẽ ẽ haska waimarã, mai anu hiweabu dasibi ẽ ana hatu tenãma ishanaii.
GEN.8.22	Hanua mai hirabi pe iyuaya eskayukũkaĩshanikiki.
GEN.8.22	Mibã banati pe inũ yunu tsekati pe ipakeshanikiki.
GEN.8.22	Bari kui inũ matsi ikũkaĩshanikiki,
GEN.8.22	bari pakei inũ ui pakeirã.
GEN.8.22	Shaba hui penai inũ meshu hui bari kairã,
GEN.8.22	haskai dasibi ikũkaĩshanikiki”, inikiaki.
GEN.9.1	Deusũ Noé inũ hawẽ bakebu duawakĩ yuikĩ eska wanikiaki. “Bake itxapa bawai ana pai mai anu ana iake iakebaũshãkãwẽ, hiwebaunirã”, iwanã ana yuikĩ: 
GEN.9.2+GEN.9.3	“Yuinaka pitibu inũ pitibuma matuki datei dakenũbarikanikiki. Peiyabu nuyaibu inũ, maĩ mapuabu inũ, henẽ hiweaburã, ha yuinaka dasibi ẽ matu ibu wamaii, dasibi matũ piti wakinã. Ha dukũ yunu besti ẽ matu inãniki, mã pinunã. Hanua ikis yuinakari inũ yunu ẽ matu inaiĩ, matũ pitirã, ha pi mã hiwepakeshanũbunã. 
GEN.9.4	Eska besti ẽ matu nemaii. Yuinaka nami himi kauanama piyamashãkãwẽ. Hamẽ himinã, yura hiwemamiswẽ taeshũ nami hawẽ himiyabi piyamashãkãwẽ. 
GEN.9.5+GEN.9.6	Earã, ẽ Deus ẽ yushĩ itsa keska wakĩ yurabu ẽ matu damiwaniwẽ taea tsuara pubẽkĩ yura kasmai yuinakapã yura betsa tenãkenã, manakukĩ huni betsãri hau ea tenãshũshanũwẽ. Habũ matu tenãbu unãkĩ hakimama ẽ hatu unãti wakubaĩshanaii”, itã 
GEN.9.7	ana hatu yuikĩ: “Hakia matu hiwekinã, bake itxapa bawakĩ ana itxai pakũkaĩkĩ mai hirabi matakĩ ibu wapashãkãwẽ”, iwanã,
GEN.9.8+GEN.9.9	Noé inũ hawẽ bakebu ana yuikĩ: “Matu inũ habia matuwẽ pakubaĩshanaibu txanima ẽ matu yubaii, hawa matu parãma matu henetima wakinã. Nĩkakãwẽ. 
GEN.9.10	Pitibu inũ pitibuma yuinaka habube ẽ matu yubariaii. Na mã habu pashaima ẽ dasibi matu yubaii, matube shashu nunuti anua kaĩshinabuberã. 
GEN.9.11	Haska dasibi matu inũ habu yubakĩ maiwẽ hiweabu dasibi henewẽ ẽ ana matu tenãma ishanai ẽ yubakaii. Haska ẽ akima keska wakĩ mai anu hiweabu henewẽ ẽ yamawaima keska wakĩ ana habiawẽri ẽ ana akama ishanaii.
GEN.9.12+GEN.9.13	Nawã bai tapĩkĩ ẽ yubaka unãti wakĩ ẽ nai anu sĩtãpakekĩ ẽ kaĩmapakeshanaii. Haskawẽ taeshũ mai anu hiwebaunabu dasibibũ uĩkĩ: ‘Nuku yubaniwẽ taeshũ henewẽ Deusũ nuku ana tenãkĩ keyuama ishanikiki’, ikĩ shinãpaketirubuki. 
GEN.9.14+GEN.9.15	Haska biamawakĩ nai kuĩwẽ ẽ mai atximaya nai anua butui nawã bai sĩtãpakeaya ẽ matu inũ yuinakabube yubakani hakimama ẽ shinãkubaĩshanaii. ‘Henewẽ hiweabu dasibi ẽ ana tenãkĩ keyuamaki’, ashũ 
GEN.9.16	nawã bai sĩtã tapĩshũ uĩkĩ mai anu yurabu inũ yuinaka hiweabu dasibi ẽ hatu yubani hakimama ẽ shinãkubaĩshanaii. 
GEN.9.17	Nawã bai sĩtã ẽ hatu pakeshunaya mai anu hiweabũ ẽ hatuki yubakani uĩkĩ yurabũ ea shinãkubaĩshãkanikiki”, haskai Deus Noébe yubakai hãtxanikiaki.
GEN.9.18	Noẽ huni bakebu Sem inũ, Cam inũ, Jafé shashu nunuti anua kaĩmabu txipu Camnẽ huni bake bawaima kaiã kenakĩ: “Canaãki”, anikiaki. 
GEN.9.19	Noẽ huni bake dabe inũ besti mai anu pakũkaini ana itxai iake iakekubainibukiaki.
GEN.9.20	Hanua nunuti anua kaĩbiranimashũ Noẽ bai wakĩ taewashũ uva tatxa banaimashũ 
GEN.9.21	hawẽ vinho buspuai aka paehaira hawẽ tari hiwe merã tariuma usha dakakẽ 
GEN.9.22	Canaãnẽ epa Cam hikikaĩ hawẽ epa Noé tariuma paeã usha daka uĩtã kaĩkirã kashe wakĩ hawẽ betsa dabe hatu yuia 
GEN.9.23	Sem inũ Jafé hawẽ dakukuti bitãshũ hune uiãma hamauri besukaĩ hatũ epa tariuma daka yabutã kaĩbiranabũ 
GEN.9.24	Noé paeã bestẽtã bepe ikai hawẽ bake mashkũ kashewashu yuiabu tapĩtã 
GEN.9.25	hawẽ baba yupukĩ yuikĩ:
GEN.9.25	“Canaã inũ hawẽ bababu duawama itxakawakĩ
GEN.9.25	hatunabũ hatũ dayanika hawẽ escravo hatu wakubaĩshãkanikiki, dayamakinã”,
GEN.9.25	akĩ hatu yuinikiaki. 
GEN.9.26	Hanushũ ana betsa yuikĩ:
GEN.9.26	“Ẽ mekenika Senhor Deusũ
GEN.9.26	hau Sem inũ hawẽ bababu ikubainaibu
GEN.9.26	hau hatu duawakubaĩshanũwẽ.
GEN.9.26	Ha inũ, Canaãnẽ bababurã,
GEN.9.26	hau hawẽ dayaru escravo ikubaĩshanũbũwẽ,
GEN.9.26	Sem dayashunirã.
GEN.9.27	Haska inũ, Deusũ hatu pa waya
GEN.9.27	Jafé bababũ Semnẽ bababu hatu mebĩtã
GEN.9.27	hatũ mae hau ibu washanũbũwẽ,
GEN.9.27	Canaãnẽ bababu hatu escravo wariakinã”,
GEN.9.27	akĩ Noẽ hatu yuinikiaki.
GEN.9.28	Noé 600 ano hayakẽ henẽ mai hirabi atxima netsunikẽ ana 350 ano Noé hiwea 
GEN.9.29	hanua 950 ano haya Noé mawanikiaki.
GEN.10.1	Hanua hiri henẽ hatu atxitã netsunikẽ Noé bakeburã, Sem inũ, Cam inũ, Jafé haburi hiwekaĩkĩ hatũ bakebu inũ hatũ bababu bawai hiwei pai eskanibukiaki. 
GEN.10.2	Jafé huni bakebu kenakinã: “Gómer inũ, Magogue inũ, Madai inũ, Javã inũ, Tubal inũ, Meseque inũ, Tiraski”, inibukiaki. 
GEN.10.3	Gómerĩ huni bakebu kenakĩ: “Asquenaz inũ, Rifate inũ, Togarmaki”, anibukiaki. 
GEN.10.4	Javãnẽ huni bakebu kenakĩ: “Elisá inũ, Társis inũ, Quitim inũ, Dodanimki”, anibukiaki. 
GEN.10.5	Jafé hawẽ bakebu ianẽwã kesha betsa anu bushũ dasibibũ ibu wai shuku tibi hatũ hãtxa betsa wakĩ hatu pashka akeakenibukiaki.
GEN.10.6	Camnẽ huni bakebu kenakinã: “Cuxe inũ, Mizraim inũ, Pute inũ, Canaãki”, anibukiaki. 
GEN.10.7	Cuxẽ huni bakebu kenakĩ: “Sebá inũ, Havilá inũ, Sabtá inũ, Raamá inũ, Sabtecáki”, anibukiaki. Raamã huni bakebu kenakinã: “Sabá inũ Dedãki”, anibukiaki. 
GEN.10.8+GEN.10.9	Hanushũ ana Cuxe huni bake bawaima kaiã kenakĩ: “Ninrodeki”, ani Ninrode ewatã ha dukũ shanẽ ibui taei kushipai Senhor Deusũ merabewaya Ninrode dekuyahairakĩ yuinaka itxapa tsakapaunikiaki. Habiatiãri Ninrodekiri shinãkĩ huni betsã hawenabu kẽwãkatsis ikĩ yuikĩ: “Senhor Deusũ mia merabewaya mĩ dekuyahairariakũkaĩshanaii, Ninrode keskairã”, akĩ hatu yuipaunibukiaki. 
GEN.10.10	Sinar mai pakea anu Ninrode shanẽ ibui taekĩ hawẽ maewã tibi Babel inũ, Ereque inũ, Acade inũ, Calné ibu wanikiaki. 
GEN.10.11+GEN.10.12	Sinar anua maewã betsa Assíria anu kashũ mae bena wakĩ kenakĩ: “Nínive inũ, Reobote-Ir inũ, Calá inũ, Resémki”, aka Resém mae ewapahaira Nínive inũ Calá namakis ketashameakiaki.
GEN.10.13+GEN.10.14	Camnẽ bake Mizraimnẽ huni bake itxapa hatu bawakubainima habu pai hawẽ bababu shukukubainaibu kenakĩ: “Ludim nawabu inũ, Anamim nawabu inũ, Leabim nawabu inũ, Naftuim nawabu inũ, Patrusim nawabu inũ, Casluim nawabu inũ, Caftorim nawabuki”, anibukiaki. Casluim nawabu pakubaini hatu anua shuku betsa maei Filisteu nawabu pashkai keyuni pakubaini habianuri hiwekubaĩkanikiki.
GEN.10.15+GEN.10.16+GEN.10.17+GEN.10.18	Hanua Camnẽ bake betsa Canaãnẽ huni bake dabe bawani ha dukũ Sidom inũ ha katxu Hete inibukiaki. Hawẽ bababu betsa betsapa hiwea akeakeshũ bake bawai shukui pahairanibukiaki, Jebuseu nawabu inũ, Amorreu nawabu inũ, Girgaseu nawabu inũ, Heveu nawabu inũ, Arqueu nawabu inũ, Sineu nawabu inũ, Arvadeu nawabu inũ, Zemareu nawabu inũ, Hamateu nawabu wakinã. 
GEN.10.19	Hanua Canaãnẽ baba betsa betsapabu hatũ maewã kesha kesuakea Sidom mae ianẽwã kesha betsa dapi anua kai Gerar binui Gaza anu yusmauri txĩtũkauã Sodoma inũ Gomorra anu ana yusmauri txĩtũkauã Admá inũ Zeboim binui Lasa anu ana yusmauri txĩtũkauana anu maewã Sidom anu hikia hanu hiwepaunibukiaki. 
GEN.10.20	Haskai Camnẽ baba ikubaini hatũ hãtxa betsa betsapawẽ taea mae shukua betsa betsapai pashkabaini bui mai pakea tibi ibu wakeaketã hanua pai habias yurabu hiwekubaĩmisbuki.
GEN.10.21	Ha dikabi Jafé hutxi Semnẽ bakebu bawanirã, Éber bakeburã, hatũ shenipabu Sem inikiaki. 
GEN.10.22	Semnẽ huni bakeburã: “Elão inũ, Assur inũ, Arfaxade inũ, Lude inũ, Arãki”, akĩ hatu kenanibukiaki. 
GEN.10.23	Semnẽ bake Arãnẽ huni bakeburã: “Uz inũ, Hul inũ, Geter inũ, Máski”, hati hatu kenakĩ tananibukiaki. 
GEN.10.24	Semnẽ bake betsa Arfaxade huni bake bawaima kaiã kenakĩ: “Saláki”, anikiaki. Ha ewatã Salá huni bake bawaima kaiã kenakĩ: “Éberki”, anikiaki. 
GEN.10.25	Ha ewatã Éber huni bake dabe bawa ha dukũ kaiã mai hirabi anu yurabu pashka akeakenibuwẽ taeshũ hawẽ bake kenakĩ: “Pelegueki”, ashũ ana huni bake bawaima ha katxu betsa kaiã kenakĩ: “Joctãki”, anikiaki. 
GEN.10.26+GEN.10.27+GEN.10.28+GEN.10.29	Joctã ewatã 13 huni bakebu bawakubaini hatũ kenarã: “Almodá inũ, Selefe inũ, Hazar-Mavé inũ, Jerá inũ, Hadorão inũ, Uzal inũ, Diclá inũ, Obal inũ, Abimael inũ, Sabá inũ, Ofir inũ, Havilá inũ, Jobabeki”, inibukiaki. 
GEN.10.30	Joctãnẽ huni bakebu dasibi Messa mai pakea anua bari huaikiria Sefarkiri mati matipanua pai hiwepaunibukiaki. 
GEN.10.31	Hanua Semnẽ enabu haskai hatũ hãtxa betsa betsapawẽ taea mae betsa betsapa anu hiwenũ ika pashka akeakenibukiaki.
GEN.10.32	Hiri henẽ hatu atxini ma netsunikẽ haskai Noẽ bababu pai shuku betsa betsapai mai hirabi anu hiwenũ ika pashka akeakenibukiaki, hãtxa betsa betsapawẽ hãtxa akeakeirã.
GEN.11.1	Hanua eskatiã mai hirabi anu pashkariabumahaira yura dasibi hanus hiweabutiã hatũ hãtxa habiãwẽs hãtxapaunibukiaki. 
GEN.11.2	Bari huaikiri bukubaĩkĩ atimas Sinar anu mai pepaki nukutã bai wati pepa anu hanu maewaima anu pashkariama hiwea 
GEN.11.3	yuinamekĩ shinãkĩ: “Ha hiwe wati na mai bawanãwẽ, txi itxapawẽ bawakĩ kushi wakinã”, ishũ hiwe wati mishki yamakẽ mishki keska wakĩ hiwe wati mai bawa mirimawashũ bui txashkawẽ tsamakubaĩkĩ 
GEN.11.4	ana yuinamekĩ: “Mae ewapa wanãkãwẽ. Hanushũ mae namakis anu hanushũ uĩti hiwe tapaitiya wabaĩkĩ keyatapahaira wakĩ tsamakubaĩkĩ nai merã hikiti wanãkãwẽ, haskawẽ taeshũ dasibitũ hau nukũ uĩti hiwe hawẽrua hau shinãkubaĩshanũbunã. Haskai hiwei mai hirabi anu nũ pashkama ishanaii”, ishũ 
GEN.11.5	dayakĩ nai anu hikiti keyatapa mai bawa tsamabaĩkĩ taewabainaibũ Senhor Deusũ hatũ daya uĩkĩ 
GEN.11.6	yuikĩ: “Uiã, dasibi habias yuraburã, hatũ hãtxa habiaski. Ibubis unanepakĩ haska daya taewashũ hamapai sharabu shinãkĩ atirubuki, pepa inũ txakaburã”, iwanã, 
GEN.11.7	ana yuikĩ: “Hatu anu butushũ hatũ hãtxa pashkanãwẽ, hãtxa betsa betsapaya wakinã. Haskawẽ taea hau ana hãtxai ana nĩkakanãyamanũbunã”, itã 
GEN.11.8	hatu hãtxa pashkakĩ betsa betsapa wa mai hirabi anu hau pashkanũbũ Senhor Deusũ hatu betsa wa mae ewapa wabiai hatũ daya henebainibukiaki. 
GEN.11.9	Hanushũ Senhor Deusũ hatũ hãtxa nĩkatima wakĩ itimaska wa shuku tibibaini pashkabainibukiaki. Ha mae anushũ hatu haska wawẽ taeshũ hatũ mae kenakĩ: “Babelki”, anibukiaki, nukũ hãtxawẽ yuiarã: “Hãtxa Betsa Betsapa Hunea Nĩkatimarã”, akinã. Hanushũ Babel mae hirabi anua Deusũ hatu pashkakĩ nitxiã akeakenikiaki, Noé enabu pawakinã.
GEN.11.10	Semnẽ enabu pai eska hiwenibu yuiaki. Hiri henẽ hatu atxini ma netsui keyunikẽ 2 ano ka ana binutã Sem 100 bariyatũ huni bake bawaima kaiã kenakĩ: “Arfaxadeki”, ayama 
GEN.11.11	hanushũ huni inũ aĩbu bakebu ana hatu bawakubaini 600 ano binua mawanikiaki.
GEN.11.12	Hanua Arfaxade 35 bariyatũ huni bake bawaima kaiã kenakĩ: “Saláki”, ayama 
GEN.11.13	ana 403 ano hiwekũkaĩkĩ huni inũ aĩbu bakebu ana hatu bawakubaini 438 ano haya mawanikiaki.
GEN.11.14+GEN.11.15	Hanua Salá 30 bariyatũ huni bake bawaima kaiã kenakĩ: “Éberki”, ayama ana 403 ano hiwekĩ huni inũ aĩbu bakebu ana hatu bawakubaini 433 ano haya mawanikiaki.
GEN.11.16+GEN.11.17	Éber 34 bariyatũ huni bake bawaima kaiã kenakĩ: “Pelegueki”, ayama ana 430 ano hiwekĩ huni inũ aĩbu bakebu ana hatu bawakubaini 464 ano haya mawanikiaki.
GEN.11.18+GEN.11.19	Hanua Pelegue 30 bariyatũ huni bake bawaima kaiã kenakĩ: “Reúki”, ayama ana 209 ano hiwekĩ huni inũ aĩbu bakebu ana hatu bawakubaini 239 ano haya mawanikiaki.
GEN.11.20+GEN.11.21	Hanua Reú 32 bariyatũ huni bake bawaima kaiã kenakĩ: “Serugueki”, ayama ana 207 ano hiwekĩ huni inũ aĩbu bakebu ana hatu bawakubaini 239 ano haya mawanikiaki.
GEN.11.22+GEN.11.23	Hanua Serugue 30 bariyatũ huni bake bawaima kaiã kenakĩ: “Naorki”, ayama ana 200 ano hiwekĩ huni inũ aĩbu bakebu ana hatu bawakubaini 230 ano haya mawanikiaki.
GEN.11.24+GEN.11.25	Hanua Naor 29 bariyatũ huni bake bawaima kaiã kenakĩ: “Teraki”, ayama ana 119 ano hiwekĩ huni inũ aĩbu bakebu ana hatu bawakubaini 148 ano haya mawanikiaki.
GEN.11.26	Hanua Tera 70 bariya huni bake dabe inũ bestitxai hayanikiaki, hatũ kena Abrão inũ, Naor inũ, Harãnã.
GEN.11.27+GEN.11.28	Tera huni bakebu hati ipaunibukiaki, Abrão inũ, Naor inũ, Harãnã. Harãnẽ huni bake bawaima kaiã kenakĩ: “Lóki”, ani hanua hawẽ epa Tera mawariamakẽ Caldéia mai pakea anua hawẽ mae Ur anua habia kaini anuari ha dukũ Harã mawanikiaki. 
GEN.11.29	Harãnẽ ana bake dabe bima aĩbu bake Milca inũ huni bake betsa Iscá inikiaki. Hanua Abrão inũ Naor aĩyãkĩ Abrão Sarai biaya Naorĩ Milca hanubi binikiaki, hawẽ betsa Harãnẽ bakerã. 
GEN.11.30	Abrão Sarai mekĩ txutabiakubaina bake biama shãkĩ txakabu ikũkainikiaki.
GEN.11.31	Hanushũ Tera Abrão inũ hawẽ aĩ Sarai inũ hawẽ berẽ Ló iyui Caldéia mai pakea anua hawẽ mae Ur kaĩkaĩkĩ henebaini Canaãkiri kakũkaini atimas mae pepa betsa natiã hawẽ kena Harã anu hikitã hawẽ bake debuniwẽ taeshũ mae kenakĩ: “Harãki”, atã hanu hiweaibũ 
GEN.11.32	hanua Tera ha mae kenani anua 205 ano haya mawanikiaki.
GEN.12.1	Hanushũ betsatiã Senhor Deusũ Abrão yunukĩ yuikĩ: “Mĩ mae anua kaĩkaĩkĩ minabu shunũbaĩkĩ pashkabaĩwẽ. Mĩ mai henekĩ mĩ epã enabu henekĩ mĩ epã hiweri henebaĩwẽ, hari mĩ hiweshanai anu ẽ mia uĩmashanai anu kakinã. 
GEN.12.2	Miwẽ taeshũ minabus pawakĩ nawa shukua betsa itxapa kushipa wakĩ ẽ tari hatu hiwemashanaii. Pepawakĩ duawakĩ ẽ mia merabewapakeshanaii, mĩ kena hatu unãma akeakekinã. Miãri mĩ hatu pepawariashanaii. 
GEN.12.3	Hanushũ tsuãra mia pepawaya ẽ haturi pepawashanaii. Hakia tsuãra mia txakabuwakĩ yupuwaya hatu kupikĩ ẽtseri ẽ hatu mia yupushũkubaĩshanaii, manakukinã. Ha inũ, miwẽ taeshũ nawa betsa betsapa mai hirabi anu shukua hiwebaunabu dasibi ẽ hatu pepawariashanaii”, aka
GEN.12.4+GEN.12.5	Deusũ yuia nĩkatã 75 ano haya Abrão Harã anua kaĩkaini kakĩ hawẽ aĩ Sarai iyui inũ hawẽ betsã bake Ló iyui inũ hawẽ tsumabu mirima ibu wakĩ binishũ hawẽ hamapai tibi hatu bumai Harã anua Canaãkiri usha itxapakũkaini bui 
GEN.12.6	atimas mai pakea betsa Canaã anu hikitã sulkiri bui Siquém maewã anu hikitã Moré hi shukua mapua dapishũ hanushũ yushibu kẽwãmisbu dapi hiwetushiyunibukiaki, hanu Canaã nawaburi habias maewã anu hiweriabu anurã. 
GEN.12.7	Senhor Deusũ Abrão nitxiã kashiã yuikĩ: “Na mai pakea hirabi minabu pakubainaibu ibu wamakĩ ẽ hatu inanũbariaii”, aka ma hanu ana haki nukuawẽ taeshũ Abrão Senhor Deus kẽwanũ, iwanã, mishki txi tapu wakĩ mishki itxawakĩ maspu watã hanu txiwẽ kuakĩ txashuwã bake bene pepa teshteshũ himi haba watã hanushũ menukĩ keyukĩ Senhor Deus kẽwanikiaki. 
GEN.12.8	Hanua bari huaikiri kai mati betsanu mati betsa Betel inũ Ai mae betsa namakis hatũ bitxi tari hiwe nitxĩshinabũ hanushũ Abrão ana Senhor Deus kẽwanũ ishũ mishki ana mãtxĩkĩ itxawatã Senhor Deusũ kenawẽ ana kushipa yukakĩ kẽwãrianikiaki. 
GEN.12.9	Hanua hawẽ inapã piti basi benai sulkiri unãshubira bui hanu eskarabes hiweabu anu bua ketanibukiaki.
GEN.12.10	Hanua ui ana ikamakẽ basi ana beneama Canaã anu hanu hiwea anu piti yamakẽ Abrão enabu bunihairaibũ Egito anuabu piti haya nĩkatã Egito anushũ piyutanũ ika Abrão hatu iyui 
GEN.12.11	Egito mai pakea anu nukui kai kemakĩ Abrão hawẽ aĩ Sarai yuikĩ: “Uiã, mĩ aĩbu hawẽruahairaki. 
GEN.12.12	Egito nawabũ mia uĩkĩ ea tenãtã mia bitã mia besti hiwematirubuki. 
GEN.12.13	Haskakẽ hatu yuikĩ: ‘Ẽ puiki’, akĩ hatu ea yuishũshãwẽ, hau ea tenãyamanũbunã. Mĩ hatu haska wa ea duawashãkanikiki, ea deteamarã”, abaini
GEN.12.14	hanua atimas Egito anu hikishĩkẽ Egito nawabũ yuikĩ: “Aĩbu hawẽruaki”, ikaibũ Abrão yuishina keska wakĩ Sarai hatu yuikĩ: “Ẽ puiki”, hatu wa 
GEN.12.15	Egito nawabu shanẽ ibu beshmas betsa betsapã Sarai uĩkĩ hatũ shanẽ ibuhaira Faraó yuikĩ: “Hebreu nawa aĩbu hawẽruahairaki. Shanẽ ibu Faraónẽ hau binũwẽ”, iwanã, shanẽ ibuhaira Faraónẽ hiwe anu iweshunabu
GEN.12.16	haska wabaĩkĩ bimabu Saraiwẽ taeshũ Faraónẽ Abrão duawakĩ txashuwã inũ, ina awa inũ, jumento inũ, camelo inũ, aĩbu dayarubu escrava inũ, huni dayarubu escravo inãnikiaki. 
GEN.12.17	Hakia Saraiwẽ taeshũ Egito nawa shanẽ ibuhaira inũ hawenabus Senhor Deusũ isĩ txakabu paepa hatu tenemaya shanẽ ibuhaira Faraó hatu yukabaũkĩ Sarai hawẽ aĩkiri tapĩtã 
GEN.12.18+GEN.12.19	Abrão hatu kenama hua yukakĩ: “Mĩ ea haska wai? Haskakĩ mĩ ea yuiama itushimamẽ, mĩ aĩkirirã? ‘Ẽ puiki’, mĩ ea wa ẽ hiwe anu ea iweshunimabuki. Haskai mĩ txanitxakaimamẽ? Uĩwẽ. Mĩ aĩki. Ana bitã iyui nenua kariwe”, atã 
