MAT.1.1	ibrāhīmaḥ santānō dāyūd tasya santānō yīśukhrīṣṭastasya pūrvvapuruṣavaṁśaśrēṇī|
MAT.6.8	yūyaṁ tēṣāmiva mā kuruta, yasmāt yuṣmākaṁ yad yat prayōjanaṁ yācanātaḥ prāgēva yuṣmākaṁ pitā tat jānāti|
MAT.6.9	ataēva yūyama īdr̥k prārthayadhvaṁ, hē asmākaṁ svargasthapitaḥ, tava nāma pūjyaṁ bhavatu|
MAT.6.10	tava rājatvaṁ bhavatu; tavēcchā svargē yathā tathaiva mēdinyāmapi saphalā bhavatu|
MAT.6.11	asmākaṁ prayōjanīyam āhāram adya dēhi|
MAT.6.12	vayaṁ yathā nijāparādhinaḥ kṣamāmahē, tathaivāsmākam aparādhān kṣamasva|
MAT.6.13	asmān parīkṣāṁ mānaya, kintu pāpātmanō rakṣa; rājatvaṁ gauravaṁ parākramaḥ ētē sarvvē sarvvadā tava; tathāstu|
MAT.6.14	yadi yūyam anyēṣām aparādhān kṣamadhvē tarhi yuṣmākaṁ svargasthapitāpi yuṣmān kṣamiṣyatē;
MAT.6.15	kintu yadi yūyam anyēṣām aparādhān na kṣamadhvē, tarhi yuṣmākaṁ janakōpi yuṣmākam aparādhān na kṣamiṣyatē|
MAT.6.16	aparam upavāsakālē kapaṭinō janā mānuṣān upavāsaṁ jñāpayituṁ svēṣāṁ vadanāni mlānāni kurvvanti, yūyaṁ ta̮iva viṣaṇavadanā mā bhavata; ahaṁ yuṣmān tathyaṁ vadāmi tē svakīyaphalam alabhanta|
MAT.6.17	yadā tvam upavasasi, tadā yathā lōkaistvaṁ upavāsīva na dr̥śyasē, kintu tava yō'gōcaraḥ pitā tēnaiva dr̥śyasē, tatkr̥tē nijaśirasi tailaṁ marddaya vadanañca prakṣālaya;
MAT.6.18	tēna tava yaḥ pitā guptadarśī sa prakāśya tubhyaṁ phalaṁ dāsyati|
MAT.6.19	aparaṁ yatra sthānē kīṭāḥ kalaṅkāśca kṣayaṁ nayanti, caurāśca sandhiṁ karttayitvā cōrayituṁ śaknuvanti, tādr̥śyāṁ mēdinyāṁ svārthaṁ dhanaṁ mā saṁcinuta|
MAT.6.20	kintu yatra sthānē kīṭāḥ kalaṅkāśca kṣayaṁ na nayanti, caurāśca sandhiṁ karttayitvā cōrayituṁ na śaknuvanti, tādr̥śē svargē dhanaṁ sañcinuta|
MAT.6.21	yasmāt yatra sthānē yuṣmāṁka dhanaṁ tatraiva khānē yuṣmākaṁ manāṁsi|
MAT.6.22	lōcanaṁ dēhasya pradīpakaṁ, tasmāt yadi tava lōcanaṁ prasannaṁ bhavati, tarhi tava kr̥tsnaṁ vapu rdīptiyuktaṁ bhaviṣyati|
MAT.6.23	kintu lōcanē'prasannē tava kr̥tsnaṁ vapuḥ tamisrayuktaṁ bhaviṣyati| ataēva yā dīptistvayi vidyatē, sā yadi tamisrayuktā bhavati, tarhi tat tamisraṁ kiyan mahat|
MAT.6.24	kōpi manujō dvau prabhū sēvituṁ na śaknōti, yasmād ēkaṁ saṁmanya tadanyaṁ na sammanyatē, yadvā ēkatra manō nidhāya tadanyam avamanyatē; tathā yūyamapīśvaraṁ lakṣmīñcētyubhē sēvituṁ na śaknutha|
MAT.6.25	aparam ahaṁ yuṣmabhyaṁ tathyaṁ kathayāmi, kiṁ bhakṣiṣyāmaḥ? kiṁ pāsyāmaḥ? iti prāṇadhāraṇāya mā cintayata; kiṁ paridhāsyāmaḥ? iti kāyarakṣaṇāya na cintayata; bhakṣyāt prāṇā vasanāñca vapūṁṣi kiṁ śrēṣṭhāṇi na hi?
MAT.6.26	vihāyasō vihaṅgamān vilōkayata; tai rnōpyatē na kr̥tyatē bhāṇḍāgārē na sañcīyatē'pi; tathāpi yuṣmākaṁ svargasthaḥ pitā tēbhya āhāraṁ vitarati|
MAT.6.27	yūyaṁ tēbhyaḥ kiṁ śrēṣṭhā na bhavatha? yuṣmākaṁ kaścit manujaḥ cintayan nijāyuṣaḥ kṣaṇamapi varddhayituṁ śaknōti?
MAT.6.28	aparaṁ vasanāya kutaścintayata? kṣētrōtpannāni puṣpāṇi kathaṁ varddhantē tadālōcayata| tāni tantūn nōtpādayanti kimapi kāryyaṁ na kurvvanti;
MAT.6.29	tathāpyahaṁ yuṣmān vadāmi, sulēmān tādr̥g aiśvaryyavānapi tatpuṣpamiva vibhūṣitō nāsīt|
MAT.6.30	tasmāt kṣadya vidyamānaṁ ścaḥ cullyāṁ nikṣēpsyatē tādr̥śaṁ yat kṣētrasthitaṁ kusumaṁ tat yadīścara itthaṁ bibhūṣayati, tarhi hē stōkapratyayinō yuṣmān kiṁ na paridhāpayiṣyati?
MAT.6.31	tasmāt asmābhiḥ kimatsyatē? kiñca pāyiṣyatē? kiṁ vā paridhāyiṣyatē, iti na cintayata|
MAT.6.32	yasmāt dēvārccakā apīti cēṣṭantē; ētēṣu dravyēṣu prayōjanamastīti yuṣmākaṁ svargasthaḥ pitā jānāti|
MAT.6.33	ataēva prathamata īśvarīyarājyaṁ dharmmañca cēṣṭadhvaṁ, tata ētāni vastūni yuṣmabhyaṁ pradāyiṣyantē|
MAT.6.34	śvaḥ kr̥tē mā cintayata, śvaēva svayaṁ svamuddiśya cintayiṣyati; adyatanī yā cintā sādyakr̥tē pracuratarā|
MAT.7.1	yathā yūyaṁ dōṣīkr̥tā na bhavatha, tatkr̥tē'nyaṁ dōṣiṇaṁ mā kuruta|
MAT.7.2	yatō yādr̥śēna dōṣēṇa yūyaṁ parān dōṣiṇaḥ kurutha, tādr̥śēna dōṣēṇa yūyamapi dōṣīkr̥tā bhaviṣyatha, anyañca yēna parimāṇēna yuṣmābhiḥ parimīyatē, tēnaiva parimāṇēna yuṣmatkr̥tē parimāyiṣyatē|
MAT.7.3	aparañca nijanayanē yā nāsā vidyatē, tām anālōcya tava sahajasya lōcanē yat tr̥ṇam āstē, tadēva kutō vīkṣasē?
MAT.7.4	tava nijalōcanē nāsāyāṁ vidyamānāyāṁ, hē bhrātaḥ, tava nayanāt tr̥ṇaṁ bahiṣyartuṁ anujānīhi, kathāmētāṁ nijasahajāya kathaṁ kathayituṁ śaknōṣi?
MAT.7.5	hē kapaṭin, ādau nijanayanāt nāsāṁ bahiṣkuru tatō nijadr̥ṣṭau suprasannāyāṁ tava bhrātr̥ rlōcanāt tr̥ṇaṁ bahiṣkartuṁ śakṣyasi|
MAT.7.6	anyañca sāramēyēbhyaḥ pavitravastūni mā vitarata, varāhāṇāṁ samakṣañca muktā mā nikṣipata; nikṣēpaṇāt tē tāḥ sarvvāḥ padai rdalayiṣyanti, parāvr̥tya yuṣmānapi vidārayiṣyanti|
MAT.7.7	yācadhvaṁ tatō yuṣmabhyaṁ dāyiṣyatē; mr̥gayadhvaṁ tata uddēśaṁ lapsyadhvē; dvāram āhata, tatō yuṣmatkr̥tē muktaṁ bhaviṣyati|
MAT.7.8	yasmād yēna yācyatē, tēna labhyatē; yēna mr̥gyatē tēnōddēśaḥ prāpyatē; yēna ca dvāram āhanyatē, tatkr̥tē dvāraṁ mōcyatē|
MAT.7.9	ātmajēna pūpē prārthitē tasmai pāṣāṇaṁ viśrāṇayati,
MAT.7.10	mīnē yācitē ca tasmai bhujagaṁ vitarati, ētādr̥śaḥ pitā yuṣmākaṁ madhyē ka āstē?
MAT.7.11	tasmād yūyam abhadrāḥ santō'pi yadi nijabālakēbhya uttamaṁ dravyaṁ dātuṁ jānītha, tarhi yuṣmākaṁ svargasthaḥ pitā svīyayācakēbhyaḥ kimuttamāni vastūni na dāsyati?
MAT.7.12	yūṣmān pratītarēṣāṁ yādr̥śō vyavahārō yuṣmākaṁ priyaḥ, yūyaṁ tān prati tādr̥śānēva vyavahārān vidhatta; yasmād vyavasthābhaviṣyadvādināṁ vacanānām iti sāram|
MAT.7.13	saṅkīrṇadvārēṇa praviśata; yatō narakagamanāya yad dvāraṁ tad vistīrṇaṁ yacca vartma tad br̥hat tēna bahavaḥ praviśanti|
MAT.7.14	aparaṁ svargagamanāya yad dvāraṁ tat kīdr̥k saṁkīrṇaṁ| yacca vartma tat kīdr̥g durgamam| taduddēṣṭāraḥ kiyantō'lpāḥ|
MAT.7.15	aparañca yē janā mēṣavēśēna yuṣmākaṁ samīpam āgacchanti, kintvantardurantā vr̥kā ētādr̥śēbhyō bhaviṣyadvādibhyaḥ sāvadhānā bhavata, yūyaṁ phalēna tān paricētuṁ śaknutha|
MAT.7.16	manujāḥ kiṁ kaṇṭakinō vr̥kṣād drākṣāphalāni śr̥gālakōlitaśca uḍumbaraphalāni śātayanti?
MAT.7.17	tadvad uttama ēva pādapa uttamaphalāni janayati, adhamapādapaēvādhamaphalāni janayati|
MAT.7.18	kintūttamapādapaḥ kadāpyadhamaphalāni janayituṁ na śaknōti, tathādhamōpi pādapa uttamaphalāni janayituṁ na śaknōti|
MAT.7.19	aparaṁ yē yē pādapā adhamaphalāni janayanti, tē kr̥ttā vahnau kṣipyantē|
MAT.7.20	ataēva yūyaṁ phalēna tān paricēṣyatha|
MAT.7.21	yē janā māṁ prabhuṁ vadanti, tē sarvvē svargarājyaṁ pravēkṣyanti tanna, kintu yō mānavō mama svargasthasya pituriṣṭaṁ karmma karōti sa ēva pravēkṣyati|
MAT.7.22	tad dinē bahavō māṁ vadiṣyanti, hē prabhō hē prabhō, tava nāmnā kimasmāmi rbhaviṣyadvākyaṁ na vyāhr̥taṁ? tava nāmnā bhūtāḥ kiṁ na tyājitāḥ? tava nāmnā kiṁ nānādbhutāni karmmāṇi na kr̥tāni?
MAT.7.23	tadāhaṁ vadiṣyāmi, hē kukarmmakāriṇō yuṣmān ahaṁ na vēdmi, yūyaṁ matsamīpād dūrībhavata|
MAT.7.24	yaḥ kaścit mamaitāḥ kathāḥ śrutvā pālayati, sa pāṣāṇōpari gr̥hanirmmātrā jñāninā saha mayōpamīyatē|
MAT.7.25	yatō vr̥ṣṭau satyām āplāva āgatē vāyau vātē ca tēṣu tadgēhaṁ lagnēṣu pāṣāṇōpari tasya bhittēstanna patatil
MAT.7.26	kintu yaḥ kaścit mamaitāḥ kathāḥ śrutvā na pālayati sa saikatē gēhanirmmātrā 'jñāninā upamīyatē|
MAT.7.27	yatō jalavr̥ṣṭau satyām āplāva āgatē pavanē vātē ca tai rgr̥hē samāghātē tat patati tatpatanaṁ mahad bhavati|
MAT.7.28	yīśunaitēṣu vākyēṣu samāpitēṣu mānavāstadīyōpadēśam āścaryyaṁ mēnirē|
MAT.7.29	yasmāt sa upādhyāyā iva tān nōpadidēśa kintu samarthapuruṣa̮iva samupadidēśa|
MAT.8.1	yadā sa parvvatād avārōhat tadā bahavō mānavāstatpaścād vavrajuḥ|
MAT.8.2	ēkaḥ kuṣṭhavān āgatya taṁ praṇamya babhāṣē, hē prabhō, yadi bhavān saṁmanyatē, tarhi māṁ nirāmayaṁ karttuṁ śaknōti|
MAT.8.3	tatō yīśuḥ karaṁ prasāryya tasyāṅgaṁ spr̥śan vyājahāra, sammanyē'haṁ tvaṁ nirāmayō bhava; tēna sa tatkṣaṇāt kuṣṭhēnāmōci|
MAT.8.4	tatō yīśustaṁ jagāda, avadhēhi kathāmētāṁ kaścidapi mā brūhi, kintu yājakasya sannidhiṁ gatvā svātmānaṁ darśaya manujēbhyō nijanirāmayatvaṁ pramāṇayituṁ mūsānirūpitaṁ dravyam utsr̥ja ca|
MAT.8.5	tadanantaraṁ yīśunā kapharnāhūmnāmani nagarē praviṣṭē kaścit śatasēnāpatistatsamīpam āgatya vinīya babhāṣē,
MAT.8.6	hē prabhō, madīya ēkō dāsaḥ pakṣāghātavyādhinā bhr̥śaṁ vyathitaḥ, satu śayanīya āstē|
MAT.8.7	tadānīṁ yīśustasmai kathitavān, ahaṁ gatvā taṁ nirāmayaṁ kariṣyāmi|
MAT.8.8	tataḥ sa śatasēnāpatiḥ pratyavadat, hē prabhō, bhavān yat mama gēhamadhyaṁ yāti tadyōgyabhājanaṁ nāhamasmi; vāṅmātram ādiśatu, tēnaiva mama dāsō nirāmayō bhaviṣyati|
MAT.8.9	yatō mayi paranidhnē'pi mama nidēśavaśyāḥ kati kati sēnāḥ santi, tata ēkasmin yāhītyuktē sa yāti, tadanyasmin ēhītyuktē sa āyāti, tathā mama nijadāsē karmmaitat kurvvityuktē sa tat karōti|
MAT.8.10	tadānīṁ yīśustasyaitat vacō niśamya vismayāpannō'bhūt; nijapaścādgāminō mānavān avōcca, yuṣmān tathyaṁ vacmi, isrāyēlīyalōkānāṁ madhyē'pi naitādr̥śō viśvāsō mayā prāptaḥ|
MAT.8.11	anyaccāhaṁ yuṣmān vadāmi, bahavaḥ pūrvvasyāḥ paścimāyāśca diśa āgatya ibrāhīmā ishākā yākūbā ca sākam militvā samupavēkṣyanti;
MAT.8.12	kintu yatra sthānē rōdanadantagharṣaṇē bhavatastasmin bahirbhūtatamisrē rājyasya santānā nikṣēsyantē|
MAT.8.13	tataḥ paraṁ yīśustaṁ śatasēnāpatiṁ jagāda, yāhi, tava pratītyanusāratō maṅgalaṁ bhūyāt; tadā tasminnēva daṇḍē tadīyadāsō nirāmayō babhūva|
MAT.8.14	anantaraṁ yīśuḥ pitarasya gēhamupasthāya jvarēṇa pīḍitāṁ śayanīyasthitāṁ tasya śvaśrūṁ vīkṣāñcakrē|
MAT.8.15	tatastēna tasyāḥ karasya spr̥ṣṭatavāt jvarastāṁ tatyāja, tadā sā samutthāya tān siṣēvē|
MAT.8.16	anantaraṁ sandhyāyāṁ satyāṁ bahuśō bhūtagrastamanujān tasya samīpam āninyuḥ sa ca vākyēna bhūtān tyājayāmāsa, sarvvaprakārapīḍitajanāṁśca nirāmayān cakāra;
MAT.8.17	tasmāt, sarvvā durbbalatāsmākaṁ tēnaiva paridhāritā| asmākaṁ sakalaṁ vyādhiṁ saēva saṁgr̥hītavān| yadētadvacanaṁ yiśayiyabhaviṣyadvādinōktamāsīt, tattadā saphalamabhavat|
MAT.8.18	anantaraṁ yīśuścaturdikṣu jananivahaṁ vilōkya taṭinyāḥ pāraṁ yātuṁ śiṣyān ādidēśa|
MAT.8.19	tadānīm ēka upādhyāya āgatya kathitavān, hē gurō, bhavān yatra yāsyati tatrāhamapi bhavataḥ paścād yāsyāmi|
MAT.8.20	tatō yīśu rjagāda, krōṣṭuḥ sthātuṁ sthānaṁ vidyatē, vihāyasō vihaṅgamānāṁ nīḍāni ca santi; kintu manuṣyaputrasya śiraḥ sthāpayituṁ sthānaṁ na vidyatē|
MAT.8.21	anantaram apara ēkaḥ śiṣyastaṁ babhāṣē, hē prabhō, prathamatō mama pitaraṁ śmaśānē nidhātuṁ gamanārthaṁ mām anumanyasva|
MAT.8.22	tatō yīśuruktavān mr̥tā mr̥tān śmaśānē nidadhatu, tvaṁ mama paścād āgaccha|
MAT.8.23	anantaraṁ tasmin nāvamārūḍhē tasya śiṣyāstatpaścāt jagmuḥ|
MAT.8.24	paścāt sāgarasya madhyaṁ tēṣu gatēṣu tādr̥śaḥ prabalō jhañbhśanila udatiṣṭhat, yēna mahātaraṅga utthāya taraṇiṁ chāditavān, kintu sa nidrita āsīt|
MAT.8.25	tadā śiṣyā āgatya tasya nidrābhaṅgaṁ kr̥tvā kathayāmāsuḥ, hē prabhō, vayaṁ mriyāmahē, bhavān asmākaṁ prāṇān rakṣatu|
MAT.8.26	tadā sa tān uktavān, hē alpaviśvāsinō yūyaṁ kutō vibhītha? tataḥ sa utthāya vātaṁ sāgarañca tarjayāmāsa, tatō nirvvātamabhavat|
MAT.8.27	aparaṁ manujā vismayaṁ vilōkya kathayāmāsuḥ, ahō vātasaritpatī asya kimājñāgrāhiṇau? kīdr̥śō'yaṁ mānavaḥ|
MAT.8.28	anantaraṁ sa pāraṁ gatvā gidērīyadēśam upasthitavān; tadā dvau bhūtagrastamanujau śmaśānasthānād bahi rbhūtvā taṁ sākṣāt kr̥tavantau, tāvētādr̥śau pracaṇḍāvāstāṁ yat tēna sthānēna kōpi yātuṁ nāśaknōt|
MAT.8.29	tāvucaiḥ kathayāmāsatuḥ, hē īśvarasya sūnō yīśō, tvayā sākam āvayōḥ kaḥ sambandhaḥ? nirūpitakālāt prāgēva kimāvābhyāṁ yātanāṁ dātum atrāgatōsi?
MAT.8.30	tadānīṁ tābhyāṁ kiñcid dūrē varāhāṇām ēkō mahāvrajō'carat|
MAT.8.31	tatō bhūtau tau tasyāntikē vinīya kathayāmāsatuḥ, yadyāvāṁ tyājayasi, tarhi varāhāṇāṁ madhyēvrajam āvāṁ prēraya|
MAT.8.32	tadā yīśuravadat yātaṁ, anantaraṁ tau yadā manujau vihāya varāhān āśritavantau, tadā tē sarvvē varāhā uccasthānāt mahājavēna dhāvantaḥ sāgarīyatōyē majjantō mamruḥ|
MAT.8.33	tatō varāharakṣakāḥ palāyamānā madhyēnagaraṁ tau bhūtagrastau prati yadyad aghaṭata, tāḥ sarvvavārttā avadan|
MAT.8.34	tatō nāgarikāḥ sarvvē manujā yīśuṁ sākṣāt karttuṁ bahirāyātāḥ tañca vilōkya prārthayāñcakrirē bhavān asmākaṁ sīmātō yātu|
MAT.9.1	anantaraṁ yīśu rnaukāmāruhya punaḥ pāramāgatya nijagrāmam āyayau|
MAT.9.2	tataḥ katipayā janā ēkaṁ pakṣāghātinaṁ svaṭṭōpari śāyayitvā tatsamīpam ānayan; tatō yīśustēṣāṁ pratītiṁ vijñāya taṁ pakṣāghātinaṁ jagāda, hē putra, susthirō bhava, tava kaluṣasya marṣaṇaṁ jātam|
MAT.9.3	tāṁ kathāṁ niśamya kiyanta upādhyāyā manaḥsu cintitavanta ēṣa manuja īśvaraṁ nindati|
MAT.9.4	tataḥ sa tēṣām ētādr̥śīṁ cintāṁ vijñāya kathitavān, yūyaṁ manaḥsu kr̥ta ētādr̥śīṁ kucintāṁ kurutha?
MAT.9.5	tava pāpamarṣaṇaṁ jātaṁ, yadvā tvamutthāya gaccha, dvayōranayō rvākyayōḥ kiṁ vākyaṁ vaktuṁ sugamaṁ?
MAT.9.6	kintu mēdinyāṁ kaluṣaṁ kṣamituṁ manujasutasya sāmarthyamastīti yūyaṁ yathā jānītha, tadarthaṁ sa taṁ pakṣāghātinaṁ gaditavān, uttiṣṭha, nijaśayanīyaṁ ādāya gēhaṁ gaccha|
MAT.9.7	tataḥ sa tatkṣaṇād utthāya nijagēhaṁ prasthitavān|
MAT.9.8	mānavā itthaṁ vilōkya vismayaṁ mēnirē, īśvarēṇa mānavāya sāmarthyam īdr̥śaṁ dattaṁ iti kāraṇāt taṁ dhanyaṁ babhāṣirē ca|
MAT.9.9	anantaraṁ yīśustatsthānād gacchan gacchan karasaṁgrahasthānē samupaviṣṭaṁ mathināmānam ēkaṁ manujaṁ vilōkya taṁ babhāṣē, mama paścād āgaccha, tataḥ sa utthāya tasya paścād vavrāja|
MAT.9.10	tataḥ paraṁ yīśau gr̥hē bhōktum upaviṣṭē bahavaḥ karasaṁgrāhiṇaḥ kaluṣiṇaśca mānavā āgatya tēna sākaṁ tasya śiṣyaiśca sākam upaviviśuḥ|
MAT.9.11	phirūśinastad dr̥ṣṭvā tasya śiṣyān babhāṣirē, yuṣmākaṁ guruḥ kiṁ nimittaṁ karasaṁgrāhibhiḥ kaluṣibhiśca sākaṁ bhuṁktē?
MAT.9.12	yīśustat śrutvā tān pratyavadat, nirāmayalōkānāṁ cikitsakēna prayōjanaṁ nāsti, kintu sāmayalōkānāṁ prayōjanamāstē|
MAT.9.13	atō yūyaṁ yātvā vacanasyāsyārthaṁ śikṣadhvam, dayāyāṁ mē yathā prīti rna tathā yajñakarmmaṇi|yatō'haṁ dhārmmikān āhvātuṁ nāgatō'smi kintu manaḥ parivarttayituṁ pāpina āhvātum āgatō'smi|
MAT.9.14	anantaraṁ yōhanaḥ śiṣyāstasya samīpam āgatya kathayāmāsuḥ, phirūśinō vayañca punaḥ punarupavasāmaḥ, kintu tava śiṣyā nōpavasanti, kutaḥ?
MAT.9.15	tadā yīśustān avōcat yāvat sakhīnāṁ saṁṅgē kanyāyā varastiṣṭhati, tāvat kiṁ tē vilāpaṁ karttuṁ śakluvanti? kintu yadā tēṣāṁ saṁṅgād varaṁ nayanti, tādr̥śaḥ samaya āgamiṣyati, tadā tē upavatsyanti|
MAT.9.16	purātanavasanē kōpi navīnavastraṁ na yōjayati, yasmāt tēna yōjitēna purātanavasanaṁ chinatti tacchidrañca bahukutsitaṁ dr̥śyatē|
MAT.9.17	anyañca purātanakutvāṁ kōpi navānagōstanīrasaṁ na nidadhāti, yasmāt tathā kr̥tē kutū rvidīryyatē tēna gōstanīrasaḥ patati kutūśca naśyati; tasmāt navīnāyāṁ kutvāṁ navīnō gōstanīrasaḥ sthāpyatē, tēna dvayōravanaṁ bhavati|
MAT.9.18	aparaṁ tēnaitatkathākathanakālē ēkō'dhipatistaṁ praṇamya babhāṣē, mama duhitā prāyēṇaitāvatkālē mr̥tā, tasmād bhavānāgatya tasyā gātrē hastamarpayatu, tēna sā jīviṣyati|
MAT.9.19	tadānīṁ yīśuḥ śiṣyaiḥ sākam utthāya tasya paścād vavrāja|
MAT.9.20	ityanantarē dvādaśavatsarān yāvat pradarāmayēna śīrṇaikā nārī tasya paścād āgatya tasya vasanasya granthiṁ pasparśa;
MAT.9.21	yasmāt mayā kēvalaṁ tasya vasanaṁ spr̥ṣṭvā svāsthyaṁ prāpsyatē, sā nārīti manasi niścitavatī|
MAT.9.22	tatō yīśurvadanaṁ parāvarttya tāṁ jagāda, hē kanyē, tvaṁ susthirā bhava, tava viśvāsastvāṁ svasthāmakārṣīt| ētadvākyē gaditaēva sā yōṣit svasthābhūt|
MAT.9.23	aparaṁ yīśustasyādhyakṣasya gēhaṁ gatvā vādakaprabhr̥tīn bahūn lōkān śabdāyamānān vilōkya tān avadat,
MAT.9.24	panthānaṁ tyaja, kanyēyaṁ nāmriyata nidritāstē; kathāmētāṁ śrutvā tē tamupajahasuḥ|
MAT.9.25	kintu sarvvēṣu bahiṣkr̥tēṣu sō'bhyantaraṁ gatvā kanyāyāḥ karaṁ dhr̥tavān, tēna sōdatiṣṭhat;
MAT.9.26	tatastatkarmmaṇō yaśaḥ kr̥tsnaṁ taṁ dēśaṁ vyāptavat|
MAT.9.27	tataḥ paraṁ yīśustasmāt sthānād yātrāṁ cakāra; tadā hē dāyūdaḥ santāna, asmān dayasva, iti vadantau dvau janāvandhau prōcairāhūyantau tatpaścād vavrajatuḥ|
MAT.9.28	tatō yīśau gēhamadhyaṁ praviṣṭaṁ tāvapi tasya samīpam upasthitavantau, tadānīṁ sa tau pr̥ṣṭavān karmmaitat karttuṁ mama sāmarthyam āstē, yuvāṁ kimiti pratīthaḥ? tadā tau pratyūcatuḥ, satyaṁ prabhō|
MAT.9.29	tadānīṁ sa tayō rlōcanāni spr̥śan babhāṣē, yuvayōḥ pratītyanusārād yuvayō rmaṅgalaṁ bhūyāt| tēna tatkṣaṇāt tayō rnētrāṇi prasannānyabhavan,
MAT.9.30	paścād yīśustau dr̥ḍhamājñāpya jagāda, avadhattam ētāṁ kathāṁ kōpi manujō ma jānīyāt|
MAT.9.31	kintu tau prasthāya tasmin kr̥tsnē dēśē tasya kīrttiṁ prakāśayāmāsatuḥ|
MAT.9.32	aparaṁ tau bahiryāta ētasminnantarē manujā ēkaṁ bhūtagrastamūkaṁ tasya samīpam ānītavantaḥ|
MAT.9.33	tēna bhūtē tyājitē sa mūkaḥ kathāṁ kathayituṁ prārabhata, tēna janā vismayaṁ vijñāya kathayāmāsuḥ, isrāyēlō vaṁśē kadāpi nēdr̥gadr̥śyata;
MAT.9.34	kintu phirūśinaḥ kathayāñcakruḥ bhūtādhipatinā sa bhūtān tyājayati|
MAT.9.35	tataḥ paraṁ yīśustēṣāṁ bhajanabhavana upadiśan rājyasya susaṁvādaṁ pracārayan lōkānāṁ yasya ya āmayō yā ca pīḍāsīt, tān śamayan śamayaṁśca sarvvāṇi nagarāṇi grāmāṁśca babhrāma|
MAT.9.36	anyañca manujān vyākulān arakṣakamēṣāniva ca tyaktān nirīkṣya tēṣu kāruṇikaḥ san śiṣyān avadat,
MAT.9.37	śasyāni pracurāṇi santi, kintu chēttāraḥ stōkāḥ|
MAT.9.38	kṣētraṁ pratyaparān chēdakān prahētuṁ śasyasvāminaṁ prārthayadhvam|
MAT.10.1	anantaraṁ yīśu rdvādaśaśiṣyān āhūyāmēdhyabhūtān tyājayituṁ sarvvaprakārarōgān pīḍāśca śamayituṁ tēbhyaḥ sāmarthyamadāt|
MAT.10.2	tēṣāṁ dvādaśaprēṣyāṇāṁ nāmānyētāni| prathamaṁ śimōn yaṁ pitaraṁ vadanti, tataḥ paraṁ tasya sahaja āndriyaḥ, sivadiyasya putrō yākūb
MAT.10.3	tasya sahajō yōhan; philip barthalamay thōmāḥ karasaṁgrāhī mathiḥ, ālphēyaputrō yākūb,
MAT.10.4	kinānīyaḥ śimōn, ya īṣkariyōtīyayihūdāḥ khrīṣṭaṁ parakarē'rpayat|
MAT.10.5	ētān dvādaśaśiṣyān yīśuḥ prēṣayan ityājñāpayat, yūyam anyadēśīyānāṁ padavīṁ śēmirōṇīyānāṁ kimapi nagarañca na praviśyē
MAT.10.6	isrāyēlgōtrasya hāritā yē yē mēṣāstēṣāmēva samīpaṁ yāta|
MAT.10.7	gatvā gatvā svargasya rājatvaṁ savidhamabhavat, ētāṁ kathāṁ pracārayata|
MAT.10.8	āmayagrastān svasthān kuruta, kuṣṭhinaḥ pariṣkuruta, mr̥talōkān jīvayata, bhūtān tyājayata, vinā mūlyaṁ yūyam alabhadhvaṁ vinaiva mūlyaṁ viśrāṇayata|
MAT.10.9	kintu svēṣāṁ kaṭibandhēṣu svarṇarūpyatāmrāṇāṁ kimapi na gr̥hlīta|
MAT.10.10	anyacca yātrāyai cēlasampuṭaṁ vā dvitīyavasanaṁ vā pādukē vā yaṣṭiḥ, ētān mā gr̥hlīta, yataḥ kāryyakr̥t bharttuṁ yōgyō bhavati|
MAT.10.11	aparaṁ yūyaṁ yat puraṁ yañca grāmaṁ praviśatha, tatra yō janō yōgyapātraṁ tamavagatya yānakālaṁ yāvat tatra tiṣṭhata|
MAT.10.12	yadā yūyaṁ tadgēhaṁ praviśatha, tadā tamāśiṣaṁ vadata|
MAT.10.13	yadi sa yōgyapātraṁ bhavati, tarhi tatkalyāṇaṁ tasmai bhaviṣyati, nōcēt sāśīryuṣmabhyamēva bhaviṣyati|
MAT.10.14	kintu yē janā yuṣmākamātithyaṁ na vidadhati yuṣmākaṁ kathāñca na śr̥ṇvanti tēṣāṁ gēhāt purādvā prasthānakālē svapadūlīḥ pātayata|
