GEN.1.1	Sa kapinonan, kan lalangon nin Dios an kalangitan asin an daga, 
GEN.9.28	Pakalihis kan baha, nabuhay pa si Noe sa laog nin tres syentos singkwentang taon 
GEN.9.29	bago siya nagadan sa edad na nwebe syentos singkwentang taon.
GEN.10.1	Iyo ini an mga kapagarakian kan mga aking lalaki ni Noe na si Sem, Ham, asin Jafet. Sindang tolo nagkaigwa nin mga aking lalaki pakatapos kan baha.
GEN.10.2	An mga aking lalaki ni Jafet iyo si Gomer, Magog, Madai, Javan, Tubal, Mesek, asin Tiras. 
GEN.10.3	An mga aking lalaki ni Gomer iyo si Askenaz, Rifat, asin Togarma. 
GEN.10.4	An mga aking lalaki ni Javan iyo si Elisa, Espanya, Chipre asin Rodas. 
GEN.10.5	Sinda an mga ginikanan kan mga tawong nag-eerok sa mga baybayon asin sa mga isla. Sinda an mga aking lalaki ni Jafet, na an lambang saro nagin dakulang nasyon na may sadiring daga saka lengwahe.
GEN.10.6	An mga aking lalaki ni Ham iyo si Cus, Egipto, Libya, asin Canaan. 
GEN.10.7	An mga aking lalaki ni Cus iyo si Sheba, Havila, Sabta, Raama asin Sabteca. An mga aking lalaki ni Raama iyo si Sheba saka Dedan. 
GEN.10.8	Si Cus iyo an ama ni Nimrod; iyo ini an enot na tawo sa kinaban na nabantog bilang sarong mapangyaring mananakop. 
GEN.10.9	Sa atubang nin 
GEN.10.10	Kaayon sa kaenot-enoteng kahadean na sakop niya iyo an Babilon, an Erek, asin an Accad, na gabos yaon sa daga kan Babilonia. 
GEN.10.11	Hale sa dagang ini nagduman siya sa Asiria asin itinugdok an mga syudad nin Nineve, Rehobot-ir, Cala, 
GEN.10.12	asin Resen na nasa pagultanan kan Nineve asin Cala, an dakulang syudad.
GEN.10.13	An mga aking lalaki ni Egipto iyo si Lydia, Anam, Lehab, Naftu, 
GEN.10.14	Patrus, Caslu, na ginikanan kan mga Filisteo, asin ni Caftor.
GEN.10.15	Si Canaan iyo an ama si Sidon, na matua niyang aking lalaki, asin ni Het. 
GEN.10.16	Si Canaan iyo man an ginikanan kan mga Jebuseo, Amoreo, Gergeseo, 
GEN.10.17	Heveo, Araceo, Sineo, 
GEN.10.18	Arvadeo, Zemareo asin Hamateo. Dangan nakalakop an manlaen-laen na tribu kan mga Cananeo. 
GEN.10.19	Hale sa Sidon, an saindang teritoryo nakaabot sa Gerar harani sa Gaza sa habagat asin sa Sodoma, Gomorra, Adma saka Zeboiim harani sa Lasa sa sirangan. 
GEN.10.20	Iyo ini an mga aki ni Ham, na an lambang saro nagin dakulang nasyon na may sadiring daga asin lengwahe.
GEN.10.21	Si Sem na matuang tugang ni Jafet, iyo an ginikanan kan gabos na Hebreyo. 
GEN.10.22	An mga aking lalaki ni Sem iyo si Elam, Assur, Arpaksad, Lud asin Aram. 
GEN.10.23	An mga aking lalaki ni Aram iyo si Uz, Hul, Geter asin Mas. 
GEN.10.24	Si Arpaksad iyo an ama ni Sela na ama ni Eber. 
GEN.10.25	Duwa an nagin aking lalaki ni Eber—an saro inapod niyang Peleg,
GEN.10.26	Si Joktan iyo an ama ninda Almodad, Selef, Hazarmavet, Jera, 
GEN.10.27	Hadoram, Uzal, Dikla, 
GEN.10.28	Obal, Abimael, Sheba, 
GEN.10.29	Ofir, Havila, asin Jobab. Gabos sinda gikan ki Joktan. 
GEN.10.30	An teritoryo na saindang pinag-erokan nagpoon sa Mesa pasiring sa Sefar sagkod sa kabubuldan sa sirangan. 
GEN.10.31	Ini an mga aki ni Sem, na an lambang nasyon na may sadiring daga asin lengwahe.
GEN.10.32	Iyo ini an mga pamilya kan mga aking lalaki ni Noe, sosog sa saindang mga kapagarakian. Sa sainda nagpoon an gabos na nasyon sa kinaban na nakalakop sa daga pakatapos kan baha.
GEN.11.1	Kaidto, saro sana an lengwahe kan mga tawo sa kinaban. 
GEN.11.2	Sa pagparalakaw kan mga tawo sa sirangan, nakaabot sinda sa sarong kapatagan sa daga kan Babilonia asin duman na sinda nag-erok. 
GEN.11.3	Nag-orolay-olay sinda, “Gumibo kita nin mga ladrilyo asin lutoon ta nin marahay.” Kaya nagkaigwa sinda nin mga ladrilyo embes na gapo asin aspalto embes na semento. 
GEN.11.4	Dangan nagsabi sinda, “Gumibo kita nin sarong syudad, na igwa nin tore na abot sa langit, tanganing mabantog kita asin dai magkasiriblag sa bilog na kinaban.”
GEN.11.5	Naghilig an 
GEN.11.6	Nagtaram siya, “An mga tawong ini nagkakasararo asin saro sana an saindang lengwahe; iyo ini an kapinonan kan saindang mga gigibohon. Dai mahahaloy magigibo na ninda an ano man na saindang mawoton. 
GEN.11.7	Magduman kita asin ribongon ta an saindang lengwahe tanganing dai na sinda magkasinarabotan.” 
GEN.11.8	Kaya iwinarak nin 
GEN.11.9	An syudad nginaranan Babilon,
GEN.11.10	Iyo ini an mga kapagarakian ni Sem. Duwang taon pakatapos kan baha, kan sanggatos na an edad ni Sem, nagkaigwa siya nin aking lalaki na iyo si Arpaksad. 
GEN.11.11	Dangan nabuhay pa siya sa laog nin kinyentos na taon asin nagkaigwa pa nin ibang mga aki.
GEN.11.12	Kan treynta y singkong taon na si Arpaksad, namundag an aki niyang si Sela. 
GEN.11.13	Dangan nabuhay pa siya sa laog nin kwatro syentos tres na taon asin nagkaigwa pa nin ibang mga aki.
GEN.11.14	Kan treyntang taon na si Sela, namundag an aki niyang si Eber. 
GEN.11.15	Dangan nabuhay pa siya sa laog nin kwatro syentos tres na taon asin nagkaigwa pa nin ibang mga aki.
GEN.11.16	Kan treynta y kwatrong taon na si Eber, namundag an aki niyang si Peleg. 
GEN.11.17	Dangan nabuhay pa siya sa laog nin kwatro syentos treyntang taon asin nagkaigwa pa nin ibang mga aki.
GEN.11.18	Kan treyntang taon na an edad ni Peleg, namundag an aki niyang si Reu. 
GEN.11.19	Dangan nabuhay pa siya sa laog nin dos syentos nwebeng taon asin nagkaigwa pa nin ibang mga aki.
GEN.11.20	Kan treynta y dos na an edad ni Reu, namundag an aki niyang si Serug. 
GEN.11.21	Dangan nabuhay pa siya sa laog nin dos syentos syeteng taon asin nagkaigwa pa nin ibang mga aki.
GEN.11.22	Kan treyntang taon na an edad ni Serug, namundag an aki niyang si Nahor. 
GEN.11.23	Dangan nabuhay pa siya sa laog nin dos syentos na taon asin nagkaigwa pa nin ibang mga aki.
GEN.11.24	Kan beynte y nwebeng taon na an edad ni Nahor, namundag an aki niyang si Tera. 
GEN.11.25	Dangan nabuhay pa siya sa laog nin syento dyes y nwebeng taon asin nagkaigwa pa nin ibang mga aki.
GEN.11.26	Kan setenta na an edad ni Tera, namundag an mga aki niya na iyo si Abram, si Nahor asin si Haran.
GEN.11.27	Iyo ini an mga kapagarakian ni Tera, na ama ni Abram, Nahor asin Haran. Si Haran iyo an ama ni Lot. 
GEN.11.28	Naenot na nagadan si Haran ki sa ama niyang si Tera, duman sa dagang namundagan niya, sa Ur kan Babilonia. 
GEN.11.29	Naagom ni Abram si Sarai asin naagom ni Nahor si Milca na aki ni Haran asin tugang ni Isca. 
GEN.11.30	Alagad baog si Sarai kaya dai siya nagkaaki.
GEN.11.31	Kan maghale si Tera sa Ur kan Babilonia tanganing magduman sa Canaan, ipinag-iba niya si Abram na saiyang aki, an makoapo niyang si Lot na aki ni Haran asin an manugang niyang si Sarai; alagad kan makaabot sinda sa Haran, duman na sinda nag-erok. 
GEN.11.32	Nagadan si Tera sa Haran sa edad na dos syentos singkong taon.
GEN.12.1	Tinaraman nin 
GEN.12.2	Gigibohon takang sarong dakulang nasyon, bebendisyonan taka asin gigibohon kong bantog an saimong ngaran tanganing ika magin sarong bendisyon.
GEN.12.3	Bebendisyonan ko an mga mabendisyon saimo,
GEN.12.3	Asin isusumpa ko an mga masumpa saimo;
GEN.12.3	Sa paagi mo, bebendisyonan ko man an gabos na nasyon sa daga.
GEN.12.4	Kaya kan setenta y singko na an edad ni Abram, binayaan niya an Haran sosog sa itinaram saiya nin 
GEN.12.5	Ipinag-iba ni Abram si Sarai na saiyang agom, asin an sobrino niyang si Lot patin an mga oripon na napasainda sa Haran; dara man ninda an gabos nindang pagsadiri. Dangan naglakaw sinda pasiring sa daga nin Canaan.
GEN.12.5	Pag-abot ninda duman, 
GEN.12.6	nagpadagos pa sa paglakaw si Abram sagkod na makaabot siya sa sagradong kahoy nin More, an banal na lugar sa Shekem. (Kaidtong panahon duman pa nag-eerok an mga Cananeo.) 
GEN.12.7	Nagpahiling an 
GEN.12.8	Dangan nagpasiring siya sa mabulod na lugar sa sirangan kan Betel asin itinugdok an saiyang tolda sa pagultanan kan Betel na nasa solnopan asin kan Ai na nasa sirangan. Guminibo siya duman nin altar asin nagsamba sa 
GEN.12.9	Dangan nagpadagos sa paglakaw si Abram pasiring sa habagat na parte kan Canaan.
GEN.12.10	Nagkaigwa nin gutom sa Canaan, asin makuring gayo an gutom duman, kaya nagpasiring sa Egipto si Abram tanganing duman ngona mag-erok. 
GEN.12.11	Kan malaog na siya sa Egipto, sinabihan niya si Sarai na saiyang agom, “Saro kang magayon na babae. 
GEN.12.12	Kun mahiling ka kan mga Egipcio, sasabihon nindang agom taka kaya gagadanon ninda ako alagad bubuhayon ka. 
GEN.12.13	Sabihan mo sindang tugang taka tanganing huli saimo magin marahay an pag-ako ninda sako asin dai ninda ako paggadanon.” 
GEN.12.14	Kan maglaog na si Abram sa Egipto, nahiling kan mga Egipcio na talagang magayon an saiyang agom. 
GEN.12.15	Nahiling man siya kan mga opisyal kan hade nin Egipto
GEN.12.16	Huli ki Sarai, nagin marahay an pag-ako ki Abram kan hade. Tinawan siya kaini nin mga karnero, kanding, baka, asno, oripon asin kamelyo.
GEN.12.17	Alagad huli ta kinua kan hade si Sarai, siya asin an mga yaon sa saiyang palasyo pinadarahan nin 
GEN.12.18	Kaya ipinaapod kan hade si Abram asin hinapot, “Ano ining ginibo mo sako? Tano ta dai ka nagtaram na agom mo an babaeng ini? 
GEN.12.19	Tano ta nagsabi kang tugang mo siya, kun kaya kinua ko siya na magin agom ko? Uya an agom mo; kuaha siya asin hale na kamo!” 
GEN.12.20	Nagboot an hade sa mga tawohan niya manongod ki Abram, kaya pinahale ninda ini sa Egipto kaiba an saiyang agom asin an gabos niyang rogaring.
GEN.13.1	Pakahale sa Egipto, naglakaw si Abram pasiring sa habagat na parte kan Canaan kaiba an saiyang agom asin an gabos niyang rogaring; nag-iba man saiya si Lot. 
GEN.13.2	Mayaman nang marahay si Abram huli ta kadakul na kan saiyang mga hayop, plata asin bulawan. 
GEN.13.3	Hale sa duman, nagpadagos siyang maglakaw sagkod na makaabot sa pagultanan kan Betel asin Ai, sa lugar na tinugdokan niya kaidto kan saiyang tolda, 
GEN.13.4	asin pinatindogan niya nin altar. Duman nagsamba si Abram sa 
GEN.13.5	Si Lot, na nag-iba ki Abram, igwa man nin mga karnero, kanding asin baka. Igwa man siya nin pamilya asin mga oripon. 
GEN.13.6	Huli ta kadakul na kan mga hayop na pagsadiri ni Abram asin ni Lot, an daga dai na magkanigo para sa saindang duwa. 
GEN.13.7	Kaya nagkaigwa nin pag-iriwal an mga pastor ni Abram asin ni Lot. (Kaidto, an mga Cananeo asin Perezeo iyo an nag-eerok sa lugar na idto.)
GEN.13.8	Dangan sinabihan ni Abram si Lot, “Magkadugo kitang duwa, kaya dai dapat na mag-iriwal an satong mga pastor. 
GEN.13.9	Mas marahay pang magsuhay kita; pilion mo an arin man na parte kan daga na magustohan mo; kun pumawala ka, mapatoo ako; kun pumatoo ka, mapawala ako.”
GEN.13.10	Nangalagkalag si Lot asin nahiling niya na mayaman sa tubig an bilog na Kapantayan nin Jordan sagkod sa Zoar, arog kan tatamnan kan 
GEN.13.11	Kaya pinili ni Lot an bilog na Kapantayan nin Jordan, asin naglakaw siya pasiring sa sirangan; sa siring na paagi nagsuhay sindang duwa. 
GEN.13.12	Nagpawalat si Abram sa Canaan mantang si Lot nag-erok sa mga syudad duman sa kapantayan na harani sa Sodoma. 
GEN.13.13	An nag-eerok sa Sodoma mga maraot na tawo asin mga parakasala sa 
GEN.13.14	Pakahale ni Lot, nagtaram an 
GEN.13.15	huli ta an gabos na daga na nahihiling mo itatao ko sa saimo asin sa mga kapagarakian mo sagkod lamang. 
GEN.13.16	Papadakulon ko siring sa alpog kan daga an saimong mga kapagarakian. Dai nin makakabilang sainda huli ta mayo nin makakabilang kan alpog kan daga. 
GEN.13.17	Lakaw asin hilinga an bilog na daga ta itatao ko gabos iyan saimo.” 
GEN.13.18	Kaya naghale duman si Abram asin nag-erok harani sa sagradong mga kahoy ni Mamre sa Hebron. Nagpatindog siya nin altar duman para sa 
GEN.14.1	Igwa nin apat na hade, si Amrafel kan Babilonia, si Ariok kan Ellasar, si Kedorlaomer kan Elam, asin si Tidal kan Goiim, 
GEN.14.2	na nakigera sa lima pang hade na si Bera kan Sodoma, Birsa kan Gomorra, Sinab kan Adma, Semeber kan Zeboiim asin sa hade kan Bela (o Zoar.) 
GEN.14.3	Pinagsararo kan limang hadeng ini an saindang mga hukbo duman sa Kapantayan nin Siddim na ngunyan iyo na an Gadan na Dagat. 
GEN.14.4	Sa laog nin doseng taon naglingkod sinda ki Kedorlaomer, alagad sa ikatreseng taon, nagrebelde sinda saiya. 
GEN.14.5	Sa ikakatorseng taon, ginera asin dinaog ni Kedorlaomer patin kan saiyang kaapil na mga hade an mga Refaim kan Asterot-karnaim, an mga Zuzim duman sa Ham, an mga Emim sa kapatagan nin Kiriataim, 
GEN.14.6	asin an mga Horeo sa kabubuldan kan Edom, na saindang rinalamag sagkod sa El-paran na harani na sa desyerto. 
GEN.14.7	Dangan nagbalik sinda asin nagduman sa Enmispat (o Kades) saka nasakop ninda an gabos na daga kan mga Amalekita asin dinaog ninda an mga Amoreo na nag-eerok sa Hazazon-tamar.
GEN.14.8	Dangan an mga hade kan Sodoma, Gomorra, Adma, Zeboiim asin Bela nag-andam kan saindang hukbo asin duman sa Kapantayan nin Siddim nakigera sinda 
GEN.14.9	laban sa mga hade kan Elam, Goiim, Babilonia, asin Ellasar; limang hade laban sa apat. 
GEN.14.10	Sa Kapantayan nin Siddim kadakul an mga kalot na igwang aspalto, kaya kan magdulag sa ralaban an mga hade kan Sodoma asin Gomorra, nahulog sinda duman; alagad an tolong hade nakadulag sa kabubuldan. 
GEN.14.11	Kaya sinamsam kan apat na hade an gabos na yaon sa Sodoma asin Gomorra, sagkod an gabos na kakanon duman dangan naghale sinda. 
GEN.14.12	Binihag man ninda an sobrino ni Abram na si Lot, na nag-eerok sa Sodoma, asin sinamsam an gabos niyang rogaring.
GEN.14.13	Alagad igwa nin sarong lalaki na nakadulag, asin an gabos na nangyari inosip niya ki Abram, an Hebreyo na nag-eerok harani sa sagradong mga kahoy ni Mamre na Amorita. Si Mamre asin an saiyang mga tugang na si Escol asin Aner, mga kaapil ni Abram. 
GEN.14.14	Kan madangog ni Abram na binihag si Lot, inapod niya an gabos niyang tawohan sa kampo, mga tres syentos dyes y otso gabos, asin linamag ninda an apat na hade sagkod sa Dan. 
GEN.14.15	Pag-abot ninda duman, binaranga ni Abram sa nagkapirang grupo an saiyang tawohan, asin pagkabanggi sinalakay ninda an kalaban na saindang dinaog. Linamag niya sinda sagkod sa Hobah, sa amihan kan Damasco 
GEN.14.16	dangan nabawi niya an gabos na sinamsam. Nabawi man niya si Lot na saiyang sobrino asin an mga rogaring kaini, kaiba an kababaehan saka an iba pang bilanggo.
GEN.14.17	Kan magbalik si Abram hale sa panggana niya laban ki Kedorlaomer asin sa ibang mga hade, sinabat siya kan hade kan Sodoma duman sa Kapantayan nin Shave (na inaapod man Kapantayan kan Hade). 
GEN.14.18	Si Melkizedek, na hade kan Salem asin padi kan Kahorohalangkaweng Dios, nagdara nin tinapay asin arak ki Abram. 
GEN.14.19	Benendisyonan ni Melkizedek si Abram na an sabi, “Bendisyonan logod si Abram kan Kahorohalangkaweng Dios, na kaggibo kan langit asin daga! 
GEN.14.20	Pag-omawon logod an Kahorohalangkaweng Dios na nagtao saimo nin kapangganahan laban sa saimong mga kaiwal!” Dangan tinawan ni Abram si Melkizedek kan ikasampolong parte kan gabos na sinamsam.
GEN.14.21	Nagsabi ki Abram an hade kan Sodoma, “Saimo na an sinamsaman, alagad balikan sako an mga tawohan ko.”
GEN.14.22	Nagsimbag si Abram, “Sa atubang nin 
GEN.14.23	na dai ako makua nin ano man na sadiri mo, minsan torsido o sintas kan sandalyas, tanganing dai mo masabing, ‘Ako an nagpayaman ki Abram!’ 
GEN.14.24	Mayo akong kukuahon para sako. An aakoon ko sana iyo an ginamit kan sakong mga tawohan. Alagad tugotan mong kumua kan saindang kahirasan an mga kaapil kong si Aner, si Escol, asin si Mamre.”
GEN.15.1	Pakatapos kan mga pangyayaring ini, nagtaram an 
GEN.15.2	Alagad nagsimbag si Abram, “O Kagurangnan 
GEN.15.3	Dai mo ako tinawan nin aki, asin sarong oripon na namundag sa sakong harong an sakong magigin eredero.”
GEN.15.4	Nadangog niya giraray na nagtaram saiya an 
GEN.15.5	Dangan dinara nin 
GEN.15.6	Nagtubod si Abram sa 
GEN.15.7	Dangan tinaraman nin 
GEN.15.8	Alagad naghapot si Abram, “O Kagurangnan 
GEN.15.9	Nagsimbag an 
GEN.15.10	Dinara ni Abram sa Dios an mga hayop; pakatapos binaraak niya ini gabos, alagad dai niya binaak an mga gamgam. Tinaralay niya sa duwang linya an gabos, an kabaak na nasa sarong linya kahampang kan kabaak na nasa saro man na linya. 
GEN.15.11	Nag-arabot an mga bwitre tanganing kakanon an binaraak na mga hayop, alagad binugaw sinda ni Abram.
GEN.15.12	Kan nagsosolnop na an aldaw, nangatorog nin marahay si Abram asin nagkaigwa siya nin makuring takot. 
GEN.15.13	Dangan nagtaram saiya an 
GEN.15.14	Alagad papadusahan ko an nasyon na maoripon sainda, asin sa paghale ninda duman, dakulang kayamanan an madadara ninda. 
GEN.15.15	Alagad ika mabubuhay sa halawig na panahon, magagadan asin ilulubong na matoninong. 
GEN.15.16	Apat na henerasyon pa an maagi bago makabalik digdi an saimong kapagarakian huli ta dai ko papahaleon an mga Amoreo sagkod na dai pa nagsobra an saindang karatan kaya kaipuhan nang padusahan sinda.”
GEN.15.17	Kan solnop na an aldaw asin madiklom na, sarong nag-aasong koron saka sarong naglalaad na karaba an biglang nagtunga dangan nag-agi sa pagultanan kan binaraak na mga hayop. 
GEN.15.18	Sa oras na idto nakipagtipan an 
GEN.15.19	kaiba an mga dagang sadiri kan mga Cineo, Cenezeo, Cadmoneo, 
GEN.15.20	Heteo, Perezeo, Refaim, 
GEN.15.21	Amoreo, Cananeo, Gergeseo asin mga Jebuseo.”
GEN.16.1	Dai nagkaaki si Abram ki Sarai na saiyang agom. Alagad igwa si Sarai nin sarong babaeng oripon na taga Egipto na an ngaran Hagar. 
GEN.16.2	Kaya sinabihan ni Sarai si Abram, “Dai itinugot nin 
GEN.16.3	Kaya itinao ni Sarai si Hagar ki Abram bilang kasaroan. (Sampolong taon nang nag-erok si Abram sa Canaan kan nangyari ini.) 
GEN.16.4	Dinorogan ni Abram si Hagar asin nagbados ini. Kan maaraman niyang bados siya, ipinaghambog niya ini asin pinag-olog-olog niya si Sarai.
GEN.16.5	Huli kaini, sinabihan ni Sarai si Abram, “Sala mo kun tano ta pinag-oolog-olog ako ni Hagar.
GEN.16.6	Nagsimbag si Abram, “Sakop mo an saimong oripon; giboha saiya an gusto mo.” Dangan pinasakitan ni Sarai an saiyang oripon kaya nagdulag ini.
GEN.16.7	Sinabat si Hagar kan anghel nin 
GEN.16.8	Hinapot siya kan anghel, “Hagar, oripon ni Sarai, saen ka hale asin saen ka maduman?”
GEN.16.8	Nagsimbag siya, “Nagdudulag ako ki Sarai na sakong kagurangnan.”
GEN.16.9	“Bumalik ka,” an sabi kan anghel, “asin paglingkodan mo siya.” 
GEN.16.10	Nagsabi pa an anghel, “Papadakulon ko nin marahay an saimong mga kapagarakian kaya mayo nin makakabilang sainda. 
GEN.16.11	Bados ka, asin mangangaki nin lalaki; aapodon mo siyang Ismael,
GEN.16.12	Alagad mamumuhay siya siring sa sarong lalaw na asno; magigin kalaban niya an gabos asin an gabos magigin kalaban siya. Mag-eerok siyang harayo sa saiyang mga kadugo.”
GEN.16.13	Nagsaboot si Hagar, “Totoo daw na nahiling ko an Dios asin nabuhay pa ako pakatapos?” Kaya an 
GEN.16.14	Kaya poon kaidto, an bubon duman sa pagultanan kan Kades asin Bered inapod, “Beer-lahai-roi.”
GEN.16.15	Nangaki si Hagar nin sarong lalaki asin Ismael an inginaran saiya ni Abram na saiyang ama. 
GEN.16.16	Otsenta y seis na an edad ni Abram kan ipangaki ni Hagar si Ismael.
GEN.17.1	Kan nubenta y nuebe na an edad ni Abram, nagpahiling saiya an 
GEN.17.2	Makikipagtipan ako saimo asin tatawan taka nin dakul na kapagarakian.” 
GEN.17.3	Nagdapa si Abram sa daga dangan nagtaram saiya an Dios, 
GEN.17.4	“Uya, makikipagtipan ako saimo: nangangako ako na ika an gigikanan nin dakul na nasyon. 
GEN.17.5	Poon ngunyan, bako nang Abram an saimong ngaran kundi Abraham
GEN.17.6	Tatawan taka nin dakul na kapagarakian asin gigibohon ko sindang mga nasyon patin magigin mga hade an iba sainda.
GEN.17.7	“Ootobon ko an panuga ko saimo asin sa saimong mga kapagarakian sa mga maabot na henerasyon bilang sarong daing kataposan na tipan. Ako an magigin Dios mo asin kan saimong mga kapagarakian. 
GEN.17.8	Itatao ko saimo asin sa saimong mga kapagarakian an dagang ini, saen saro kang dayuhan ngunyan. An bilog na Canaan masasadirihan kan saimong mga kapagarakian sagkod pa man, asin ako an magigin Dios ninda.”
