MAT.1.1	This book is the record of Jesus the Messiah,
MAT.10.38	If you don't pick up your cross and follow me you don't deserve to be mine. 
MAT.10.39	If you try to save your life, you will lose it,
MAT.10.40	Those who welcome you welcome me, and those who welcome me welcome the one that sent me. 
MAT.10.41	Those who welcome a prophet because that's what they are will receive the same reward as a prophet. Those who welcome someone who does right will receive the same reward as someone who does right. 
MAT.10.42	I tell you the truth, those who give a drink of cool water to the least important of my disciples will definitely not miss out on their reward.”
MAT.11.1	When Jesus had finished giving instructions to his twelve disciples, he left to go and teach and speak publicly in the nearby towns. 
MAT.11.2	While John was in prison he heard what the Messiah was doing, so he sent his disciples 
MAT.11.3	to ask on his behalf, “Are you the one we were expecting to come, or should we continue to look for someone else?”
MAT.11.4	Jesus answered them, “Go back and tell John what you hear and what you see. 
MAT.11.5	The blind can see, the crippled can walk, the lepers are healed, the deaf can hear, the dead are resurrected, and the poor hear the good news. 
MAT.11.6	Blessed are those who don't reject me!”
MAT.11.7	As they left, Jesus began to talk to the crowds about John. “What were you expecting to see when you went out into the desert? A reed tossed about by the wind? 
MAT.11.8	So what did you go to see? A man dressed in fancy clothes? People dressed like that live in kings' palaces. 
MAT.11.9	So what did you go to see then? A prophet? Yes, and I tell you he is much more than a prophet! 
MAT.11.10	He's the one this Scripture was written about: ‘I'm sending my messenger on ahead of you. He will prepare your way for you.’ 
MAT.11.11	I tell you the truth, that among humanity
MAT.11.12	From the time of John the Baptist up till now the kingdom of heaven continues to be under attack and violent people are trying to seize it by force. 
MAT.11.13	For all the prophets and the law
MAT.11.14	If you're prepared to believe it, he is Elijah, the one who was expected to come. 
MAT.11.15	Anybody with ears should be listening!
MAT.11.16	What shall I compare this generation to? It's like children sitting in the market places shouting to each other, 
MAT.11.17	‘We played the flute for you and you didn't dance; we sang sad songs and you didn't cry.’ 
MAT.11.18	John didn't come feasting and drinking, so people say, ‘He's devil-possessed!’ 
MAT.11.19	On the other hand the Son of man came and did feast and drink, and people say, ‘Look, he's greedy and drinks too much; he's a friend of tax collectors and sinners!’ But wisdom is shown to be right by what it does…”
MAT.11.20	Then he began to reprimand the towns where he'd done most of his miracles because they had not repented. 
MAT.11.21	“Shame on you, Korazin! Shame on you, Bethsaida! If the miracles had been performed in Tyre and Sidon which happened among you, they would have repented in sackcloth and ashes long ago. 
MAT.11.22	But I tell you that on the Day of Judgment it will be better for Tyre and Sidon than it will for you! 
MAT.11.23	And what about you, Capernaum? Will you be exalted to heaven? No, you'll go down to Hades! If the miracles had been performed in Sodom which happened among you, Sodom would still be here today. 
MAT.11.24	But I tell you that on the Day of Judgment it will be better for Sodom than it will for you!”
MAT.11.25	Then Jesus prayed, “I praise you, Father, Lord of heaven and earth, for you've hidden these things from the clever and sophisticated. Instead you've revealed them to ordinary people.
MAT.11.26	Yes, Father, you were pleased to do this! 
MAT.11.27	Everything has been entrusted to me by my Father, and no one really understands the Son, except the Father, and no one really understands the Father, except the Son, and those to whom the Son chooses to reveal him. 
MAT.11.28	Come to me, all of you who struggle and who are burdened down. I will give you rest. 
MAT.11.29	Accept my yoke, and learn from me. For I am kind and I have a humble heart, and in me you will find the rest you need. 
MAT.11.30	For my yoke is gentle, and my burden is light.”
MAT.12.1	Around that time Jesus was walking through fields of grain on the Sabbath day. His disciples were hungry so they started to pick ears of grain and eat them. 
MAT.12.2	When the Pharisees saw this they said to Jesus, “Look at your disciples—they're doing what isn't allowed on the Sabbath!”
MAT.12.3	But Jesus told them, “Haven't you read what David did when he and his men were hungry? 
MAT.12.4	He went into the house of God, and he and his men ate the sacred bread that they weren't allowed to eat since it's only for the priests. 
MAT.12.5	Haven't you read in the law that on the Sabbath day the priests in the Temple break the Sabbath but are not considered guilty? 
MAT.12.6	However I tell you that someone is here who is greater than the Temple! 
MAT.12.7	If you'd known the meaning of this Scripture, ‘I want mercy, and not sacrifice,’
MAT.12.8	For the Son of man is Lord of the Sabbath.”
MAT.12.9	Then Jesus left and went into their synagogue. 
MAT.12.10	A man was there with a crippled hand. “Does the law allow healing on the Sabbath?” they asked him, looking for a reason to accuse him.
MAT.12.11	“Suppose you have a sheep and it falls into a hole in the ground on the Sabbath. Don't you grab hold of it and pull it out?” Jesus asked them. 
MAT.12.12	“Don't you think a human being is worth much more than a sheep? So yes, you are allowed to do good on the Sabbath.” 
MAT.12.13	Then he said to the man, “Hold out your hand.” The man held out his hand, and it was healed, just as healthy as the other hand.
MAT.12.14	But the Pharisees went out and plotted how to kill Jesus. 
MAT.12.15	Knowing this, Jesus left, with large crowds following him. He healed all of them, 
MAT.12.16	but instructed them not to tell people who he was. 
MAT.12.17	This fulfilled what Isaiah the prophet said:
MAT.12.18	“This is my servant whom I've chosen,
MAT.12.18	The one I love, who pleases me.
MAT.12.18	I will put my Spirit on him,
MAT.12.18	And he will tell the foreigners what's right.
MAT.12.19	He won't argue, he won't shout out,
MAT.12.19	And nobody will hear his voice in the streets.
MAT.12.20	He won't break a damaged reed,
MAT.12.20	And he won't extinguish a smoking wick,
MAT.12.20	Until he has proved that his judgment is right,
MAT.12.21	And foreigners will put their hope in him.”
MAT.12.22	Then a man was brought to Jesus who was demon-possessed and blind and dumb. Jesus healed him, so that the dumb man could speak and see. 
MAT.12.23	All the crowds were amazed, and asked, “Could this really be the son of David?”
MAT.12.24	But when the Pharisees heard this, they replied, “This man can only throw out demons through the power of Beelzebub, the chief of demons!”
MAT.12.25	Knowing what they were thinking, Jesus told them, “Any kingdom that is divided against itself will be destroyed. No town or household that is divided against itself can stand. 
MAT.12.26	If Satan drives out Satan, then he's divided against himself—so how could his kingdom stand? 
MAT.12.27	If I'm throwing out demons in the name of Beelzebub, in whose name are your people throwing out demons? Your own people prove you're wrong! 
MAT.12.28	But if I'm throwing out demons through the power of the Spirit of God, then the kingdom of God has come to you!
MAT.12.29	Can you enter a strong man's house and take his belongings unless you tie him up first? If you do that then you can take everything in his house. 
MAT.12.30	Those who are not with me are against me, and those who do not gather together with me do the opposite: they are scattering. 
MAT.12.31	That's why I'm telling you that every sin and blasphemy you commit will be forgiven, except blasphemy against the Spirit which won't be forgiven. 
MAT.12.32	Those who say something against the Son of man will be forgiven, but those who say something against the Holy Spirit won't be forgiven, neither in this life nor the next. 
MAT.12.33	Either decide that the tree is good, and its fruit is good, or decide that the tree is bad and its fruit is bad—for the tree is known by its fruit. 
MAT.12.34	You viper's brood, how can you who are evil say anything good? For your mouth simply says what your mind is busy thinking about. 
MAT.12.35	A good person brings out good from their store of good things, and an evil person brings out evil from their store of evil things. 
