GEN.1.1	Alussa Jumala loi taivaat ja maan. 
GEN.9.16	 Kun kaari on pilvissä, minä näen sen ja muistan ikuisen liiton, joka on Jumalan ja kaiken lihan, kaikkien maan päällä elävien olentojen, välillä.” 
GEN.9.17	 Jumala sanoi Nooalle: ”Tämä on merkkinä liitosta, jonka minä olen tehnyt itseni ja kaiken maan päällä olevan lihan välillä.” 
GEN.9.18	Nooan pojat, jotka lähtivät arkista, olivat Seem, Haam ja Jaafet. Haam oli Kanaanin isä. 
GEN.9.19	 Nämä kolme olivat Nooan pojat, ja heistä polveutuivat kaikki maailman ihmiset. 
GEN.9.20	 Nooa ryhtyi maanviljelijäksi ja istutti viinitarhan. 
GEN.9.21	 Kun hän joi sen viiniä, hän juopui ja makasi alasti teltassaan. 
GEN.9.22	 Haam, Kanaanin isä, näki isänsä alastomuuden ja kertoi siitä ulkona molemmille veljilleen. 
GEN.9.23	 Silloin Seem ja Jaafet ottivat viitan, panivat molemmat sen hartioilleen, menivät sisään takaperin ja peittivät isänsä alastomuuden. Heidän kasvonsa olivat poispäin, eivätkä he nähneet isänsä alastomuutta. 
GEN.9.24	Kun Nooa heräsi humalastaan ja sai tietää, mitä hänen nuorin poikansa oli hänelle tehnyt, 
GEN.9.25	 hän sanoi: ”Kirottu olkoon Kanaan! Tulkoon hänestä veljiensä orjien orja.” 
GEN.9.26	 Hän sanoi vielä: ”Siunattu olkoon 
GEN.9.27	Laajentakoon Jumala Jaafetin alueen , ja saakoon hän asua Seemin teltoissa. Olkoon Kanaan hänen orjansa.” 
GEN.9.28	 Nooa eli vedenpaisumuksen jälkeen kolmesataaviisikymmentä vuotta. 
GEN.9.29	 Näin Nooan koko elinajaksi tuli yhdeksänsataaviisikymmentä vuotta. Sitten hän kuoli. 
GEN.10.1	Nämä ovat Nooan poikien, Seemin, Haamin ja Jaafetin, sukuluettelot. Vedenpaisumuksen jälkeen heille syntyi poikia. 
GEN.10.2	Jaafetin pojat olivat Goomer, Maagog, Maadai, Jaavan, Tuubal, Mesek ja Tiiras. 
GEN.10.3	 Goomerin pojat olivat Askenas, Riifat ja Toogarma. 
GEN.10.4	 Jaavanin jälkeläisiä olivat Elisa, Tarsis, kittiläiset ja doodanilaiset . 
GEN.10.5	 Näistä erkanivat saarten ja rannikoiden kansat maihinsa, kukin kielensä, heimonsa ja kansallisuutensa mukaan. 
GEN.10.6	Haamin pojat olivat Kuus, Misraim, Puut ja Kanaan. 
GEN.10.7	 Kuusin pojat olivat Seba, Havila, Sabta, Raema ja Sabteka. Raeman pojat olivat Saba ja Dedan. 
GEN.10.8	 Kuusille syntyi myös Nimrod. Hän oli maan ensimmäinen mahtimies. 
GEN.10.9	 Hän oli 
GEN.10.10	 Hänen valtakuntaansa kuuluivat aluksi Baabel, Erek, Akkad ja Kalne Sinearin maassa. 
GEN.10.11	 Siitä maasta hän lähti Assuriin ja rakensi Niiniven, Rehobot-Iirin, Kelahin 
GEN.10.12	 ja Resenin, joka on Niiniven ja Kelahin, tuon suuren kaupungin, välillä. 
GEN.10.13	Misraimin jälkeläisiä olivat luudilaiset, anamilaiset, lehavilaiset, naftuhilaiset, 
GEN.10.14	 patrusilaiset, kasluhilaiset, joista filistealaiset ovat lähteneet, ja kaftorilaiset. 
GEN.10.15	Kanaanille syntyivät Siidon, hänen esikoisensa, ja Heet 
GEN.10.16	 sekä jebusilaiset, amorilaiset, girgasilaiset, 
GEN.10.17	 hivviläiset, arkilaiset, siiniläiset, 
GEN.10.18	 arvadilaiset, semarilaiset ja hamatilaiset. Myöhemmin kanaanilaisten heimot hajaantuivat. 
GEN.10.19	 Kanaanilaisten alue ulottui Siidonista Gerariin päin Gazaan asti sekä Sodomaan, Gomorraan, Admaan ja Seboimiin päin Lesaan asti. 
GEN.10.20	 Nämä olivat Haamin pojat heimojensa, kieltensä, maittensa ja kansakuntiensa mukaan. 
GEN.10.21	Myös Seemille, Jaafetin vanhimmalle veljelle, kaikkien Eeberin jälkeläisten kantaisälle, syntyi poikia. 
GEN.10.22	Seemin pojat olivat Eelam, Assur, Arpaksad, Luud ja Aram. 
GEN.10.23	 Aramin pojat olivat Uus, Huul, Geter ja Mas. 
GEN.10.24	 Arpaksadille syntyi Selah ja Selahille Eeber. 
GEN.10.25	Eeberille syntyi kaksi poikaa. Toisen nimi oli Peleg , koska hänen aikanaan maa jakaantui. Hänen veljensä nimi oli Joktan. 
GEN.10.26	Joktanille syntyivät Almodad, Selef, Hasarmavet, Jerah, 
GEN.10.27	 Hadoram, Uusal, Dikla, 
GEN.10.28	 Oobal, Abimael, Saba, 
GEN.10.29	 Oofir, Havila ja Joobab. Kaikki nämä olivat Joktanin poikia. 
GEN.10.30	 Heidän asuinalueensa ulottui Sefarin suunnassa Meesasta itäiseen vuoristoon asti. 
GEN.10.31	Nämä olivat Seemin jälkeläisiä heimojensa, kieltensä, maittensa ja kansakuntiensa mukaan. 
GEN.10.32	 Nämä olivat Nooan poikien heimot sukuluetteloittensa mukaan, heidän kansakuntansa. Niistä erkanivat maailman kansat vedenpaisumuksen jälkeen. 
GEN.11.1	Koko maailmassa oli yksi kieli, ja kaikki käyttivät samoja sanoja. 
GEN.11.2	 Kun ihmiset lähtivät liikkeelle idästä, he löysivät tasangon Sinearin maasta ja asettuivat sinne asumaan. 
GEN.11.3	 He sanoivat toisilleen: ”Tulkaa, tehkäämme tiiliä ja polttakaamme ne koviksi.” Tiili oli heillä rakennuskivenä ja maapiki laastina. 
GEN.11.4	 He sanoivat: ”Rakentakaamme itsellemme kaupunki ja torni, jonka huippu ulottuu taivaaseen. Tehkäämme itsellemme nimi, ettemme hajaantuisi yli koko maan.” 
GEN.11.5	 Mutta 
GEN.11.7	 Tulkaa, menkäämme sinne ja sekoittakaamme heidän kielensä, niin etteivät he ymmärrä toistensa kieltä.” 
GEN.11.8	 Näin 
GEN.11.9	 Kaupunki sai nimekseen Baabel , sillä 
GEN.11.10	Nämä ovat Seemin suvun vaiheet. Kun Seem oli sadan vuoden ikäinen, hänelle syntyi Arpaksad kaksi vuotta vedenpaisumuksen jälkeen. 
GEN.11.11	Seem eli Arpaksadin syntymän jälkeen viisisataa vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.12	 Kun Arpaksad oli elänyt kolmekymmentäviisi vuotta, hänelle syntyi Selah. 
GEN.11.13	Arpaksad eli Selahin syntymän jälkeen neljäsataakolme vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.14	Kun Selah oli kolmenkymmenen vuoden ikäinen, hänelle syntyi Eeber. 
GEN.11.15	 Eeberin syntymän jälkeen Selah eli neljäsataakolme vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.16	Kun Eeber oli elänyt kolmekymmentäneljä vuotta, hänelle syntyi Peleg. 
GEN.11.17	 Eeber eli Pelegin syntymän jälkeen neljäsataakolmekymmentä vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.18	Kun Peleg oli kolmenkymmenen vuoden ikäinen, hänelle syntyi Reu. 
GEN.11.19	 Peleg eli Reun syntymän jälkeen kaksisataayhdeksän vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.20	Kun Reu oli elänyt kolmekymmentäkaksi vuotta, hänelle syntyi Serug. 
GEN.11.21	 Serugin syntymän jälkeen Reu eli kaksisataaseitsemän vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.22	Kun Serug oli kolmenkymmenen vuoden ikäinen, hänelle syntyi Naahor. 
GEN.11.23	 Serug eli Naahorin syntymän jälkeen kaksisataa vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.24	Kun Naahor oli kahdenkymmenenyhdeksän vuoden ikäinen, hänelle syntyi Terah. 
GEN.11.25	 Naahor eli Terahin syntymän jälkeen satayhdeksäntoista vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.11.26	Kun Terah oli elänyt seitsemänkymmentä vuotta, hänelle syntyivät Abram, Naahor ja Haaran. 
GEN.11.27	Nämä ovat Terahin suvun vaiheet. Terahille syntyivät Abram, Naahor ja Haaran, ja Haaranille syntyi Loot. 
GEN.11.28	 Haaran kuoli ennen isäänsä Terahia synnyinmaassaan Kaldean Uurissa. 
GEN.11.29	 Abram ja Naahor ottivat itselleen vaimot. Abramin vaimon nimi oli Saarai, ja Naahorin vaimo oli Milka, Haaranin tytär. Haaran oli Milkan ja Jiskan isä. 
GEN.11.30	 Saarai oli hedelmätön, eikä hänellä ollut lasta. 
GEN.11.31	Terah otti mukaan poikansa Abramin, poikansa Haaranin pojan Lootin ja miniänsä Saarain, poikansa Abramin vaimon. He lähtivät Uurista mennäkseen Kanaaninmaahan, kulkivat Haaraniin asti ja asettuivat sinne asumaan. 
GEN.11.32	 Terahin elinpäivät olivat kaksisataaviisi vuotta. Sitten Terah kuoli Haaranissa. 
GEN.12.2	Minä teen sinusta suuren kansan, siunaan sinua ja teen nimesi suureksi, ja sinä tulet olemaan siunauksena. 
GEN.12.3	Minä siunaan ne, jotka siunaavat sinua, ja kiroan sen, joka kiroaa sinua, ja sinussa tulevat siunatuiksi kaikki maailman sukukunnat.” 
GEN.12.4	Abram lähti, niin kuin 
GEN.12.5	 Abram otti mukaan vaimonsa Saarain, veljenpoikansa Lootin ja kaiken omaisuuden, jonka he olivat koonneet, sekä palvelijat, jotka he olivat hankkineet Haaranissa. He lähtivät kulkemaan kohti Kanaaninmaata ja saapuivat sinne. 
GEN.12.6	 Abram kulki maan halki Sikemin seuduille, Mooren tammelle asti. Siihen aikaan maassa asuivat kanaanilaiset. 
GEN.12.7	 Siellä 
GEN.12.8	Sieltä hän siirtyi vuoristoon, joka on Beetelistä itään, ja pystytti telttansa niin, että Beetel oli länsipuolella ja Ai itäpuolella. Hän rakensi sinne alttarin 
GEN.12.9	Abram lähti sieltä ja kulki yhä edemmäs Negeviin päin. 
GEN.12.10	Maahan tuli nälänhätä, ja Abram meni Egyptiin asuakseen siellä jonkin aikaa, sillä nälänhätä maassa oli kova. 
GEN.12.11	 Tultuaan lähelle Egyptiä hän sanoi vaimolleen Saaraille: ”Kuulehan, minä tiedän, että sinä olet kaunis nainen. 
GEN.12.12	 Kun egyptiläiset näkevät sinut, he sanovat: ’Tämä on hänen vaimonsa.’ He tappavat minut mutta antavat sinun elää. 
GEN.12.13	 Sano siis, että olet minun sisareni, jotta minun kävisi hyvin sinun takiasi ja minä jäisin henkiin sinun ansiostasi.” 
GEN.12.14	Kun Abram tuli Egyptiin, egyptiläiset näkivät, että Abramin vaimo oli hyvin kaunis. 
GEN.12.15	 Faraon ruhtinaat näkivät Abramin vaimon ja ylistivät häntä faraolle, ja niin hänet otettiin faraon hoviin. 
GEN.12.16	 Myös Abramia kohdeltiin hyvin Saarain vuoksi. Hän sai lampaita ja vuohia, nautoja ja aaseja, palvelijoita ja palvelijattaria, aasintammoja ja kameleita. 
GEN.12.17	 Mutta 
GEN.12.18	Silloin farao kutsui Abramin luokseen ja sanoi: ”Mitä oletkaan minulle tehnyt! Miksi et sanonut minulle, että hän on sinun vaimosi? 
GEN.12.19	 Miksi sanoit: ’Hän on sisareni’, niin että saatoin ottaa hänet vaimokseni? Tässä on vaimosi, ota hänet ja mene.” 
GEN.12.20	 Sitten farao antoi miehilleen Abramista käskyn, ja nämä saattoivat pois maasta hänet ja hänen vaimonsa ja kaiken, mitä hänellä oli. 
GEN.13.1	Niin Abram lähti Egyptistä Negeviin vaimonsa ja kaiken omaisuutensa kanssa, mukanaan myös Loot. 
GEN.13.2	 Abramilla oli hyvin paljon rikkautta: karjaa, hopeaa ja kultaa. 
GEN.13.3	 Hän kulki levähdyspaikasta toiseen, Negevistä Beeteliin asti, siihen paikkaan Beetelin ja Ain välillä, missä hänen telttansa oli aluksi ollut 
GEN.13.4	ja mihin hän ensin oli rakentanut alttarin. Siellä Abram huusi avuksi 
GEN.13.5	 Myös Abramin mukana kulkevalla Lootilla oli lampaita ja vuohia, nautakarjaa ja telttoja. 
GEN.13.6	 Maata ei kuitenkaan ollut kylliksi, jotta he olisivat voineet asua yhdessä. Heillä oli niin paljon omaisuutta, että he eivät voineet asua yhdessä. 
GEN.13.7	 Siksi Abramin karjapaimenten ja Lootin karjapaimenten välille tuli riitaa. Siihen aikaan maassa asuivat kanaanilaiset ja perissiläiset. 
GEN.13.8	 Silloin Abram sanoi Lootille: ”Eihän meidän välillämme pitäisi olla riitaa, minun ja sinun, eikä myöskään minun paimenteni ja sinun paimentesi välillä. Olemmehan me sentään veljiä. 
GEN.13.9	 Eikö koko maa ole edessäsi? Eroa minusta. Jos sinä menet vasemmalle, minä menen oikealle, tai jos sinä menet oikealle, minä menen vasemmalle.” 
GEN.13.10	 Loot nosti katseensa ja näki, että koko Jordanin tasanko oli runsasvetistä seutua. Ennen kuin 
GEN.13.11	 Loot valitsi itselleen koko Jordanin tasangon ja siirtyi itään päin. Näin he erkanivat toisistaan. 
GEN.13.12	 Abram asettui asumaan Kanaaninmaahan, mutta Loot asui tasangon kaupungeissa ja siirtyi telttoineen paikasta toiseen, aina Sodomaan asti. 
GEN.13.13	 Mutta Sodoman miehet olivat pahoja ja tekivät paljon syntiä 
GEN.13.15	 sillä kaiken maan, jonka sinä näet, minä annan sinulle ja sinun jälkeläisillesi ikuisiksi ajoiksi. 
GEN.13.16	Minä teen sinun jälkeläisesi yhtä lukuisiksi kuin maan tomuhiukkaset. Jos maan tomu voidaan laskea, voidaan laskea myös sinun jälkeläistesi lukumäärä. 
GEN.13.17	Nouse ja lähde kulkemaan maata pitkin ja poikin, sillä minä annan sen sinulle.” 
GEN.13.18	 Niin Abram siirtyi telttoineen paikasta toiseen. Tultuaan Mamren tammistoon, joka on Hebronissa, hän asettui sinne asumaan ja rakensi alttarin 
GEN.14.1	Siihen aikaan, kun Amrafel oli Sinearin kuninkaana, Arjok Ellasarin kuninkaana, Kedorlaomer Eelamin kuninkaana ja Tidal Goojimin kuninkaana, 
GEN.14.2	 nämä neljä aloittivat sodan Sodoman kuningasta Beraa, Gomorran kuningasta Birsaa, Adman kuningasta Sinabia, Seboimin kuningasta Semeberiä ja Belan eli Sooarin kuningasta vastaan. 
GEN.14.3	 Kaikki nämä viisi liittoutuivat ja kokoontuivat Siddiminlaaksoon, jossa nyt sijaitsee Suolameri. 
GEN.14.4	 He olivat palvelleet Kedorlaomeria kaksitoista vuotta, mutta kolmantenatoista vuotena he nousivat kapinaan. 
GEN.14.5	 Neljäntenätoista vuotena tulivat Kedorlaomer ja hänen kanssaan olevat kuninkaat ja voittivat refalaiset Astarot-Karnaimissa, suusilaiset Haamissa, eemiläiset Kirjataimin tasangolla 
GEN.14.6	 ja hoorilaiset heidän vuoristossaan, aina Seirissä autiomaan laidalla olevaan Eel-Paaraniin asti. 
GEN.14.7	 He palasivat ja tulivat Mispatin lähteelle eli Kaadekseen ja valloittivat koko amalekilaisten maan ja löivät myös amorilaiset, jotka asuivat Hasason-Taamarissa. 
GEN.14.8	 Silloin Sodoman kuningas, Gomorran kuningas, Adman kuningas, Seboimin kuningas ja Belan eli Sooarin kuningas lähtivät liikkeelle ja asettuivat Siddimin laaksossa sotarintamaan 
GEN.14.9	 Eelamin kuningasta Kedorlaomeria, Goojimin kuningasta Tidalia, Sinearin kuningasta Amrafelia ja Ellasarin kuningasta Arjokia vastaan – viisi kuningasta neljää vastaan. 
GEN.14.10	 Mutta Siddiminlaakso oli täynnä maapikikuoppia, ja kun Sodoman ja Gomorran kuninkaat pakenivat, he putosivat niihin. Henkiin jääneet pakenivat vuoristoon. 
GEN.14.11	 Hyökkääjät ottivat Sodomasta ja Gomorrasta kaiken omaisuuden ja kaiken ruuan ja menivät pois. 
GEN.14.12	 Lähtiessään he veivät mukanaan myös Abramin veljenpojan Lootin ja hänen omaisuutensa; hän näet asui Sodomassa. 
GEN.14.13	 Eräs pakoon päässeistä tuli ilmoittamaan asiasta heprealaiselle Abramille, joka asui amorilaiselle Mamrelle kuuluvassa tammistossa. Mamre oli Eskolin ja Aanerin veli, ja he olivat Abramin liittolaisia. 
GEN.14.14	 Kun Abram kuuli, että hänen veljenpoikansa oli otettu vangiksi, hän aseisti kodissaan syntyneet palvelijansa, jotka hän itse oli kouluttanut, kolmesataakahdeksantoista miestä, ja ajoi vihollisia takaa Daaniin saakka. 
GEN.14.15	 Hän jakoi väkensä ja hyökkäsi palvelijoineen yöllä vihollisten kimppuun, voitti heidät ja ajoi heitä takaa Hoobaan saakka, joka on Damaskoksesta pohjoiseen. 
GEN.14.16	 Hän toi takaisin kaiken omaisuuden sekä veljenpoikansa Lootin ja hänen omaisuutensa, samoin kuin naiset ja muun väen. 
GEN.14.17	Kun Abram oli paluumatkalla voitettuaan Kedorlaomerin ja hänen kanssaan olleet kuninkaat, Sodoman kuningas lähti häntä vastaan Saavenlaaksoon eli Kuninkaanlaaksoon. 
GEN.14.18	 Melkisedek, Saalemin kuningas, toi sinne leipää ja viiniä. Hän oli korkeimman Jumalan pappi, 
GEN.14.19	ja hän siunasi Abramin sanoen: ”Siunatkoon Abramia Jumala, Korkein, taivaan ja maan hallitsija. 
GEN.14.20	 Siunattu olkoon Jumala, Korkein, joka luovutti vihollisesi sinun käsiisi.” Ja Abram antoi Melkisedekille kymmenykset kaikesta. 
GEN.14.21	Sodoman kuningas sanoi Abramille: ”Anna minulle ihmiset, mutta pidä sinä omaisuus.” 
GEN.14.22	 Abram vastasi Sodoman kuninkaalle: ”Minä nostan käteni 
GEN.14.23	 En totisesti ota mitään, mikä kuuluu sinulle, en edes langanpätkää tai kengännauhaa, ettet sanoisi: ’Minä olen tehnyt Abramista rikkaan.’ 
GEN.14.24	 Korvattakoon ainoastaan se, minkä palvelijat ovat kuluttaneet, ja se osa, mikä kuuluu miehille, jotka seurasivat minua, Aanerille, Eskolille ja Mamrelle. He saakoot osansa.” 
GEN.15.1	Näiden tapausten jälkeen Abramille tuli näyssä 
GEN.15.2	Mutta Abram sanoi: ”Oi Herra, 
GEN.15.3	 Abram sanoi vielä: ”Ethän sinä ole antanut minulle jälkeläistä, ja nyt talossani syntynyt palvelija perii minut.” 
GEN.15.4	 Silloin hänelle tuli tämä 
GEN.15.5	Sitten Herra vei Abramin ulos ja sanoi: ”Katso taivaalle ja laske tähdet, jos voit ne laskea.” Herra sanoi vielä hänelle: ”Yhtä paljon on sinulla oleva jälkeläisiä.” 
GEN.15.6	Abram uskoi 
GEN.15.7	Hän sanoi Abramille: ”Minä olen 
GEN.15.8	 Abram sanoi kuitenkin: ”Oi Herra, 
GEN.15.9	 Herra sanoi hänelle: ”Tuo minulle kolmivuotias hieho, kolmivuotias vuohi, kolmivuotias pässi sekä metsäkyyhkynen ja kyyhkysenpoikanen.” 
GEN.15.10	 Abram toi hänelle nämä kaikki, halkaisi ne kahtia ja asetti puolikkaat vastakkain. Lintuja hän ei kuitenkaan halkaissut. 
GEN.15.11	Ruhojen päälle laskeutui petolintuja, mutta Abram karkotti ne pois. 
GEN.15.12	 Kun aurinko oli laskemassa, Abram vaipui raskaaseen uneen. Kauhu ja synkkä pimeys valtasivat hänet. 
GEN.15.13	 Herra sanoi Abramille: ”Tiedä totisesti, että jälkeläisesi tulevat elämään muukalaisina maassa, joka ei ole heidän, ja heidän on oltava sortajiensa orjina neljäsataa vuotta. 
GEN.15.14	Mutta minä tuomitsen sen kansan, jonka orjina he ovat, ja sitten he pääsevät lähtemään suuri omaisuus mukanaan. 
GEN.15.15	Sinä itse saat kuitenkin mennä rauhassa isiesi luo, ja sinut haudataan päästyäsi korkeaan ikään. 
GEN.15.16	Neljännessä polvessa jälkeläisesi palaavat tänne, sillä amorilaisten syntien määrä ei ole vielä täysi.” 
GEN.15.17	Kun aurinko oli laskenut ja oli tullut pilkkopimeä, näkyi savuava pätsi ja tulisoihtu, joka liikkui ruhonpuolikkaiden välissä. 
GEN.15.18	Sinä päivänä 
GEN.15.19	keeniläisten, kenissiläisten, kadmonilaisten, 
GEN.15.20	 heettiläisten, perissiläisten, refalaisten, 
GEN.15.21	 amorilaisten, kanaanilaisten, girgasilaisten ja jebusilaisten maan.” 
GEN.16.1	Abramin vaimo Saarai ei ollut synnyttänyt miehelleen lasta. Mutta Saarailla oli egyptiläinen orjatar, jonka nimi oli Haagar. 
GEN.16.2	 Niin Saarai sanoi Abramille: ”Näethän, että 
GEN.16.3	 Abram oli asunut kymmenen vuotta Kanaaninmaassa, kun hänen vaimonsa Saarai antoi egyptiläisen orjattarensa Haagarin miehelleen Abramille vaimoksi. 
GEN.16.4	 Abram yhtyi Haagariin, ja tämä tuli raskaaksi. Kun Haagar huomasi olevansa raskaana, hän alkoi halveksia emäntäänsä. 
GEN.16.5	 Silloin Saarai sanoi Abramille: ”Kärsimäni vääryys kohdatkoon sinua. Minä annoin orjattareni syliisi, mutta kun hän huomasi olevansa raskaana, hän alkoi halveksia minua. Ratkaiskoon 
GEN.16.6	 Abram sanoi Saaraille: ”Onhan orjattaresi sinun vallassasi. Tee hänelle, mitä hyväksi näet.” Silloin Saarai kuritti Haagaria, ja tämä pakeni hänen luotaan. 
GEN.16.8	 Hän sanoi: ”Haagar, Saarain orjatar, mistä tulet ja mihin menet?” Tämä vastasi: ”Minä olen paennut emäntäni Saarain luota.” 
GEN.16.9	 Silloin 
GEN.16.11	 Sitten 
GEN.16.12	 Hänestä tulee mies kuin villiaasi. Hänen kätensä on kaikkia vastaan, ja kaikkien käsi on häntä vastaan. Hän on asuva kaikkien veljiensä itäpuolella.” 
GEN.16.13	Haagar kutsui 
GEN.16.14	 Siksi tuota kaivoa kutsutaan nimellä Beer Lahai-Roi . Se on Kaadeksen ja Beredin välillä. 
GEN.16.15	 Haagar synnytti Abramille pojan, ja Abram antoi pojalleen, jonka Haagar oli hänelle synnyttänyt, nimen Ismael. 
GEN.16.16	Abram oli kahdeksankymmenenkuuden vuoden ikäinen, kun Haagar synnytti hänelle Ismaelin. 
GEN.17.1	Kun Abram oli yhdeksänkymmenenyhdeksän vuoden ikäinen, 
GEN.17.2	 Minä teen liittoni meidän välillemme, minun ja sinun, ja teen sinun jälkeläisesi hyvin lukuisiksi.” 
GEN.17.3	Silloin Abram heittäytyi kasvoilleen, ja Jumala puhui hänelle näin: 
GEN.17.4	 ”Tämä on minun liittoni sinun kanssasi: Sinusta tulee kansojen paljouden isä. 
GEN.17.5	Älköön sinua enää kutsuttako nimellä Abram, vaan nimesi olkoon Abraham , sillä minä teen sinusta kansojen paljouden isän. 
GEN.17.6	Minä teen sinut hyvin hedelmälliseksi ja annan sinusta tulla kansoja, ja sinusta on polveutuva kuninkaita. 
GEN.17.7	Minä pidän voimassa liittoni välillämme, minun ja sinun sekä sinun jälkeläistesi välillä, polvesta polveen, ikuisen liiton, niin että minä olen sinun ja sinun jälkeläistesi Jumala. 
