GEN.1.1	NEL principio Iddio creò il cielo e la terra
GEN.12.14	Avvenne adunque che, come Abramo fu venuto in Egitto, gli Egizj riguardarono quella donna, perchè ella era molto bella
GEN.12.15	Ed i principi di Faraone, vedutala, la commendarono a Faraone; onde quella donna fu presa 
GEN.12.16	Ed egli fece del bene ad Abramo, per amor di lei; ed egli n'ebbe pecore, e buoi, ed asini, e servi, e serve, ed asine, e cammelli. 
GEN.12.17	Ma il Signore percosse Faraone e la sua casa di gran piaghe, per cagion di Sarai, moglie di Abramo
GEN.12.18	E Faraone chiamò Abramo, e gli disse: Che cosa 
GEN.12.19	Perchè dicesti: Ell'è mia sorella? onde io me l'avea presa per moglie; ora dunque, eccoti la tua moglie, prendila, e vattene. 
GEN.12.20	E Faraone diede commissione di lui a 
GEN.13.1	Abramo adunque salì di Egitto, con la sua moglie, e con tutto ciò ch'
GEN.13.2	(Or Abramo 
GEN.13.3	Ed egli, seguendo il suo viaggio, andò dal Mezzodì fino a Betel, fino al luogo dove prima erano stati i suoi padiglioni, fra Betel ed Ai
GEN.13.4	nel luogo ove era l'altare che egli aveva prima fatto quivi; ed Abramo invocò quivi il nome del Signore.
GEN.13.5	OR Lot ancora, che andava con Abramo, avea pecore, e buoi, e padiglioni. 
GEN.13.6	E il paese non li poteva portare, abitando amendue insieme; perciocchè le lor facoltà erano grandi, e non potevano dimorare insieme. 
GEN.13.7	E nacque contesa fra i pastori del bestiame di Abramo, ed i pastori del bestiame di Lot. (Or i Cananei ed i Ferezei abitavano allora nel paese.) 
GEN.13.8	Ed Abramo disse a Lot: Deh! non siavi contesa fra me e te, nè fra i miei pastori ed i tuoi; conciossiachè noi 
GEN.13.9	Tutto il paese non 
GEN.13.10	E Lot, alzati gli occhi, riguardò tutta la pianura del Giordano, ch'era tutta adacquata; avanti che il Signore avesse distrutto Sodoma e Gomorra, 
GEN.13.11	E Lot elesse per sè tutta la pianura del Giordano; ed egli si partì, traendo verso l'Oriente; e così si separarono l'uno dall'altro. 
GEN.13.12	Abramo dimorò nel paese di Canaan, e Lot dimorò nelle terre della pianura, e andò tendendo i suoi padiglioni fin 
GEN.13.13	Ora gli uomini di Sodoma 
GEN.13.14	E il Signore disse ad Abramo, dopo che Lot si fu separato d'appresso a lui: Alza ora gli occhi tuoi, e riguarda, dal luogo ove tu 
GEN.13.15	Perciocchè io darò a te ed alla tua progenie, in perpetuo, il paese che tu vedi
GEN.13.16	E farò che la tua progenie sarà come la polvere della terra; che se alcuno può annoverar la polvere della terra, anche potrassi annoverar la tua progenie
GEN.13.17	Levati, va' attorno per lo paese, per largo e per lungo; perciocchè io tel darò.
GEN.13.18	Abramo adunque andò tendendo i suoi padiglioni; e, giunto alle pianure di Mamre, che 
GEN.14.1	OR avvenne al tempo di Amrafel re di Sinear, d'Arioc re di Ellasar, di Chedor-laomer re di Elam, e di Tideal re de' Goi, 
GEN.14.2	ch'essi fecero guerra contro a Bera re di Sodoma, e contro a Birsa re di Gomorra, 
GEN.14.3	Tutti costoro, fatta lega insieme, si adunarono nella Valle di Siddim, 
GEN.14.4	Essi erano stati soggetti a Chedor-laomer, lo spazio di dodici anni, ed al decimoterzo si erano ribellati.
GEN.14.5	E nell'anno decimoquarto, Chedor-laomer e i re ch'
GEN.14.6	e gli Horei nelle lor montagne di Seir, fino alla pianura di Paran, ch'
GEN.14.7	Poi, rivoltisi, erano venuti in Enmispat, 
GEN.14.8	E il re di Sodoma, e il re di Gomorra, e il re di Adma, e il re di Seboim, e il re di Bela, 
GEN.14.9	contro a Chedor-laomer re di Elam, e Tideal re de' Goi, ed Amrafel re di Sinear, ed Arioc re di Ellasar; quattro re contro a cinque.
GEN.14.10	Or la valle di Siddim 
GEN.14.11	E 
GEN.14.12	Presero ancora Lot figliuol del fratello di Abramo, il quale abitava in Sodoma, e la roba di esso; poi se ne andarono.
GEN.14.13	Ed alcuno ch'era scampato venne e rapportò la 
GEN.14.14	Ed Abramo, com'ebbe inteso che il suo fratello era menato prigione, armò trecendiciotto de' suoi allievi nati in casa sua, e perseguì 
GEN.14.15	Ed egli, co' suoi servitori, li assalì di notte da diverse bande, e li sconfisse
GEN.14.16	E ricoverò tutta la roba; riscosse ancora Lot suo fratello, e la sua roba, ed anche le donne, e il popolo.
GEN.14.17	E di poi, come egli se ne ritornava dalla sconfitta di Chedor-laomer e de' re 
GEN.14.18	E Melchisedec, re di Salem, arrecò pane e vino; or egli 
GEN.14.19	E lo benedisse, dicendo: Benedetto 
GEN.14.20	E benedetto 
GEN.14.21	E il re di Sodoma disse ad Abramo: Dammi le persone, e prendi per te la roba. 
GEN.14.22	Ma Abramo rispose al re di Sodoma: Io ho alzata la mano al Signore Iddio altissimo, possessor del cielo e della terra; 
GEN.14.23	se, di tutto ciò ch'
GEN.14.24	salvo sol quello che questi fanti hanno mangiato, e la parte degli uomini che sono andati meco, 
GEN.15.1	DOPO queste cose, la parola del Signore fu 
GEN.15.2	Ed Abramo disse: O Signore Iddio, che mi daresti? conciossiachè io viva senza figliuoli, e colui che ha il governo della mia casa 
GEN.15.3	Abramo disse ancora: Ecco, tu non mi hai data progenie; ed ecco, un 
GEN.15.4	Ed in quello stante, la parola del Signore gli fu 
GEN.15.5	Poi lo menò fuori, e gli disse: Riguarda ora verso il cielo, ed annovera le stelle, se 
GEN.15.6	Ed esso credette al Signore; e il Signore gl'imputò ciò a giustizia
GEN.15.7	E gli disse: Io 
GEN.15.8	Ed 
GEN.15.9	E 
GEN.15.10	Ed egli prese tutte quelle cose, e le partì per lo mezzo, e pose ciascuna metà dirimpetto all'altra; ma non partì gli uccelli. 
GEN.15.11	Or certi uccelli discesero sopra quei corpi morti, ed Abramo, sbuffando, li cacciò.
GEN.15.12	Ed in sul tramontar del sole, un profondo sonno cadde sopra Abramo; ed ecco, uno spavento 
GEN.15.13	E 
GEN.15.14	Ma altresì io farò giudicio della gente alla quale avrà servito; poi essi se ne usciranno con gran ricchezze
GEN.15.15	E tu te ne andrai a' tuoi padri in pace, 
GEN.15.16	E 
GEN.15.17	Ora, come il sole si fu coricato, venne una caligine; ed ecco, un forno fumante, ed un torchio acceso, il qual passò per mezzo quelle parti 
GEN.15.18	In quel giorno il Signore fece patto con Abramo, dicendo: Io ho dato alla tua progenie questo paese, dal fiume di Egitto fino al fiume grande, 
GEN.15.19	Chenei, e de' Chenizzei, e de' Cadmonei; 
GEN.15.20	e degl'Hittei, e de' Ferezei, e de' Rafei; 
GEN.15.21	e degli Amorrei, e de' Cananei, e de' Ghirgasei, e de' Gebusei.
GEN.16.1	OR Sarai, moglie di Abramo, non gli partoriva 
GEN.16.2	ed avendo una serva egizia, nominata Agar
GEN.16.3	Sarai adunque, moglie di Abramo, prese Agar egizia, sua serva, dopo che Abramo fu abitato nel paese di Canaan lo spazio di dieci anni, e la diede ad Abramo suo marito, da 
GEN.16.4	Ed egli entrò da lei, ed ella concepette; e, veggendo che avea conceputo, sprezzò la sua padrona. 
GEN.16.5	E Sarai disse ad Abramo: L'ingiuria ch'è fatta a me è sopra te; io ti ho data la mia serva in seno; ed ella, veggendo che ha conceputo, mi sprezza; il Signore giudichi fra me e te. 
GEN.16.6	Ed Abramo rispose a Sarai
GEN.16.7	E l'Angelo del Signore la trovò presso di una fonte d'acqua, nel deserto, presso della fonte 
GEN.16.8	E le disse: Agar, serva di Sarai, onde vieni? ed ove vai? Ed ella rispose: Io me ne fuggo dal cospetto di Sarai, mia padrona. 
GEN.16.9	E l'Angelo del Signore le disse: Ritornatene alla tua padrona, ed umiliati sotto la sua mano
GEN.16.10	L'Angelo del Signore le disse ancora: Io moltiplicherò grandemente la tua progenie; e non si potrà annoverare, per la moltitudine
GEN.16.11	L'Angelo del Signore le disse oltre a ciò: Ecco, tu sei gravida, e partorirai un figliuolo, al quale poni nome Ismaele
GEN.16.12	Ed esso sarà un uomo 
GEN.16.13	Allora 
GEN.16.14	Perciò quel pozzo è stato nominato: Il pozzo del Vivente che mi vede; ecco, egli 
GEN.16.15	Ed Agar partorì un figliuolo ad Abramo; ed Abramo nominò il suo figliuolo, che Agar avea partorito, Ismaele.
GEN.16.16	Ed Abramo 
GEN.17.1	POI, quando Abramo fu d'età di novantanove anni, il Signore gli apparve
GEN.17.2	Ed io stabilirò il mio patto fra me e te; e ti accrescerò grandissimamente
GEN.17.3	Allora Abramo cadde sopra la sua faccia, e Iddio parlò con lui, dicendo: 
GEN.17.4	 a me, ecco, 
GEN.17.5	E tu non sarai più nominato Abramo
GEN.17.6	E ti farò moltiplicare grandissimamente, e ti farò divenir nazioni; e re usciranno di te
GEN.17.7	Ed io fermerò il mio patto
GEN.17.8	E darò a te, ed a' tuoi discendenti dopo te, il paese dove tu abiti come forestiere, tutto il paese di Canaan, in possessione perpetua
GEN.17.9	Iddio disse ancora ad Abrahamo: Tu altresì, ed i tuoi discendenti dopo te, per le lor generazioni, osservate il mio patto. 
GEN.17.10	Questo 
GEN.17.11	E voi circonciderete la carne del vostro prepuzio, e 
GEN.17.12	Ed ogni maschio d'infra voi sarà circonciso nell'età di otto giorni per le vostre generazioni; così 
GEN.17.13	Circoncidasi del tutto, così colui che sarà nato in casa tua, come colui che tu avrai comperato co' tuoi danari; e sia il mio patto nella vostra carne, per patto perpetuo. 
GEN.17.14	E quant'è al maschio incirconciso, la carne del cui prepuzio non sarà stata circoncisa, sia una tal persona ricisa dai suoi popoli
GEN.17.15	Oltre a ciò Iddio disse ad Abraham: Quant'è a Sarai, non chiamar più la tua moglie Sarai
GEN.17.16	Ed io la benedirò, ed anche ti darò d'essa un figliuolo; io la benedirò, ed ella diventerà nazioni
GEN.17.17	Ed Abrahamo cadde sopra la sua faccia, e rise
GEN.17.18	Ed Abrahamo disse a Dio: Viva pure Ismaele nel tuo cospetto. 
GEN.17.19	E Iddio disse: Anzi Sara tua moglie ti partorirà un figliuolo
GEN.17.20	E quant'è ad Ismaele ancora, io ti ho esaudito; ecco, io l'ho benedetto, e lo farò moltiplicare e crescer grandissimamente
GEN.17.21	Ma io fermerò il mio patto con Isacco, il qual Sara ti partorirà l'anno vegnente, in quest'istessa stagione
GEN.17.22	E, quando Iddio ebbe finito di parlare con Abrahamo, egli se ne salì d'appresso a lui.
GEN.17.23	Ed Abrahamo prese Ismaele suo figliuolo, e tutti coloro che gli erano nati in casa, e tutti coloro ch'egli avea comperati co' suoi danari, tutti i maschi dei suoi famigliari; e circoncise il prepuzio della lor carne, in quell'istesso giorno, come Iddio gliene avea parlato. 
GEN.17.24	Or Abrahamo 
GEN.17.25	Ed Ismaele suo figliuolo 
GEN.17.26	In quell'istesso giorno fu circonciso Abraham, ed Ismaele suo figliuolo. 
GEN.17.27	Furono parimente circoncisi con lui tutti gli uomini della sua casa
GEN.18.1	POI il Signore gli apparve nelle pianure di Mamre, essendo egli a sedere all'entrata del padiglione, in sul caldo del giorno. 
GEN.18.2	Ed 
GEN.18.3	Deh! Signore mio, se io ho trovato grazia appo te, non passare, ti prego, oltre 
GEN.18.4	Deh! prendasi un poco d'acqua, e lavatevi i piedi, e vi posate sotto quest'albero. 
GEN.18.5	Ed io arrecherò una fetta di pane, e voi vi conforterete il cuore; poi procederete 
GEN.18.6	Abrahamo adunque se ne andò in fretta nel padiglione a Sara, e 
GEN.18.7	Abrahamo corse ancora all'armento, e ne prese un vitello tenero e buono, e lo diede al servitore, il qual si affrettò d'apparecchiarlo. 
GEN.18.8	Poi prese del burro e del latte, e quel vitello che 
GEN.18.9	E gli dissero: Ov'
GEN.18.10	Ed egli gli disse: Io del tutto ritornerò a te, l'anno vegnente, in quest'istessa stagione; ed ecco, Sara tua moglie avrà un figliuolo
GEN.18.11	Or Abrahamo e Sara 
GEN.18.12	E Sara rise tra sè stessa, dicendo: Avrei io diletto, dopo essere invecchiata
GEN.18.13	E il Signore disse ad Abrahamo: Perchè ha riso Sara, dicendo: Partorirei io pur certamente, essendo già vecchia? 
GEN.18.14	Evvi cosa alcuna difficile al Signore
GEN.18.15	E Sara negò 
GEN.18.16	POI quegli uomini si levarono di là, e si dirizzarono verso Sodoma; ed Abrahamo andava con loro, per accommiatarli.
GEN.18.17	E il Signore disse: Celerò io ad Abrahamo 
GEN.18.18	Conciossiachè Abrahamo abbia pure a diventare una grande e possente nazione; ed in lui saranno benedette tutte le nazioni della terra
GEN.18.19	Perciocchè io l'ho conosciuto, 
GEN.18.20	Il Signore adunque disse: Certo il grido di Sodoma e di Gomorra è grande, e il lor peccato è molto grave. 
GEN.18.21	Ora io scenderò, e vedrò se son venuti allo stremo, come il grido n'è pervenuto a me; e se no, io lo saprò.
GEN.18.22	Quegli uomini adunque, partitisi di là, s'inviarono verso Sodoma; ed Abrahamo stette ancora davanti al Signore. 
GEN.18.23	Ed Abrahamo si accostò
GEN.18.24	Forse vi son cinquanta uomini giusti dentro a quella città; 
GEN.18.25	Sia lungi da te il fare una cotal cosa, di far morire il giusto con l'empio, e che il giusto sia al par con l'empio. Sia ciò lungi da te; il Giudice di tutta la terra non farebbe egli diritta giustizia
GEN.18.26	E il Signore disse: Se io trovo dentro alla città di Sodoma cinquanta uomini giusti, io perdonerò a tutto il luogo per amor di essi.
GEN.18.27	Ed Abrahamo rispose, e disse: Ecco, ora io ho pure impreso di parlare al Signore
GEN.18.28	Forse ne mancheranno cinque di quei cinquanta uomini giusti; distruggeresti tu tutta la città per cinque 
GEN.18.29	Ed 
GEN.18.30	Ed 
GEN.18.31	Ed 
GEN.18.32	Ed 
GEN.18.33	E quando il Signore ebbe finito di parlare ad Abrahamo, egli se ne andò; ed Abrahamo se ne ritornò al suo luogo.
GEN.19.1	OR que' due Angeli giunsero in Sodoma
GEN.19.2	E disse: Or su, signori miei, io vi prego, riducetevi in casa del vostro servitore, e statevi questa notte ad albergo, e vi lavate i piedi: poi domattina voi vi leverete, e ve ne andrete al vostro cammino
GEN.19.3	Ma egli fece loro gran forza, tanto che essi si ridussero appo lui, ed entrarono in casa sua. Ed egli fece loro un convito, e cosse de' pani azzimi, ed essi mangiarono.
GEN.19.4	Avanti che si fossero posti a giacere, gli uomini della città di Sodoma intorniarono la casa, giovani e vecchi, tutto il popolo, 
GEN.19.5	E chiamarono Lot, e gli dissero: Ove 
GEN.19.6	E Lot uscì fuori a loro, in su la porta, e si serrò l'uscio dietro. 
GEN.19.7	E disse: Deh! fratelli miei, non fate male. 
GEN.19.8	Ecco, ora io ho due figliuole che non hanno conosciuto uomo; deh! 
GEN.19.9	Ma essi gli dissero: Fatti in là. Poi dissero: Quest'uno è venuto 
GEN.19.10	E quegli uomini stesero le mani, e ritrassero Lot a loro, dentro alla casa; poi serrarono l'uscio. 
GEN.19.11	E percossero d'abbarbaglio gli uomini ch'erano alla porta della casa
GEN.19.12	E quegli uomini dissero a Lot: Chi de' tuoi 
GEN.19.13	Perciocchè noi di presente distruggeremo questo luogo; perchè il grido loro è grande nel cospetto del Signore; e il Signore ci ha mandati per distruggerlo.
GEN.19.14	Lot adunque uscì fuori, e parlò a' suoi generi, che doveano prender le sue figliole, e disse 
GEN.19.15	E, come l'alba cominciò ad apparire, gli Angeli sollecitarono Lot, dicendo: Levati, prendi la tua moglie, e le tue due figliuole che 
GEN.19.16	Ed egli s'indugiava; ma quegli uomini presero lui, la sua moglie e le sue due figliuole, per la mano (perciocchè il Signore voleva risparmiarlo
GEN.19.17	E quando li ebber fatti uscir fuori, 
GEN.19.18	E Lot disse loro: Deh! no, Signore. 
GEN.19.19	Ecco, ora il tuo servitore ha trovato grazia appo te, e tu hai usata gran benignità in ciò che hai fatto verso me, conservando in vita la mia persona; ma io non potrò scampar verso il monte, che il male non mi giunga, onde io morrò. 
GEN.19.20	Deh! ecco, questa città 
GEN.19.21	Ed egli gli disse: Ecco, io ti ho esaudito eziandio in questa cosa, per non sovvertir quella città, della quale tu hai parlato. 
GEN.19.22	Affrettati, scampa là; perciocchè io non potrò far nulla fin che tu non vi sii arrivato. Perciò quella città è stata nominata Soar
GEN.19.23	Il sole si levava in su la terra, quando Lot arrivò a Soar.
GEN.19.24	E il Signore fece piover dal cielo sopra Sodoma e sopra Gomorra, solfo e fuoco, dal Signore
GEN.19.25	E sovvertì quelle città e tutta la pianura, e tutti gli abitanti di esse città, e le piante della terra.
GEN.19.26	Or la moglie di Lot riguardò di dietro a lui, e divenne una statua di sale
GEN.19.27	Ed Abrahamo levatosi la mattina a buon'ora, 
GEN.19.28	E, riguardando verso Sodoma e Gomorra e verso tutto il paese della pianura, vide che dalla terra saliva un fumo simile ad un fumo di fornace.
GEN.19.29	Così avvenne che, quando Iddio distrusse le città della pianura, egli si ricordò di Abrahamo, e mandò Lot fuori di mezzo la sovversione
GEN.19.30	POI Lot salì di Soar, e dimorò sul monte, insieme con le sue due figliuole (perciocchè egli temeva di dimorare in Soar), e dimorò in una spelonca, egli e le sue due figliuole.
GEN.19.31	E la maggiore disse alla minore: Nostro padre 
GEN.19.32	Vieni, diam da bere del vino a nostro padre, e giaciamoci con lui; e così di nostro padre conserveremo in vita alcuna progenie
GEN.19.33	Quell'istessa notte adunque diedero a ber del vino al loro padre; e la maggiore venne, e si giacque con suo padre, il quale non si avvide nè quando ella si pose a giacere, nè quando si levò.
GEN.19.34	E il giorno seguente, la maggiore disse alla minore: Ecco, la notte passata io son giaciuta con mio padre; diamogli a ber del vino ancora questa notte; poi va', e giaciti con lui; così di nostro padre conserveremo in vita alcuna progenie. 
GEN.19.35	Quella notte adunque diedero ancora a ber del vino al padre loro, e la minore si levò, e si giacque con lui; ed egli non si avvide nè quando ella si pose a giacere, nè quando si levò.
GEN.19.36	E le due figliuole di Lot concepettero di lor padre. 
GEN.19.37	E la maggiore partorì un figliuolo, al quale pose nome Moab. Esso 
GEN.19.38	E la minore partorì anch'essa un figliuolo, al quale pose nome Ben-ammi. Esso 
GEN.20.1	ED Abrahamo se ne andò di là verso il paese del Mezzodì, e dimorò fra Cades e Sur; ed abitò come forestiere in Gherar.
GEN.20.2	Ed Abrahamo disse della sua moglie Sara: Ell'
GEN.20.3	Ma Iddio venne ad Abimelecco in sogno di notte, e gli disse: Ecco, tu 
GEN.20.4	(Or Abimelecco non se l'era accostato.)
GEN.20.4	Ed egli disse: Signore, uccideresti tu tutta una nazione, 
GEN.20.5	Non mi ha egli detto: Ell'
GEN.20.6	E Iddio gli disse in sogno: Anch'io so che tu hai fatto questo con integrità del tuo cuore; onde io ancora ti ho impedito di peccar contro a me
GEN.20.7	Ora dunque restituisci la moglie a quest'uomo; perciocchè egli 
GEN.20.8	Ed Abimelecco, levatosi la mattina, chiamò tutti i suoi servitori, e raccontò in lor presenza tutte queste cose; e quegli uomini temettero grandemente. 
