GEN.1.1	Yan laputu ey lintun Apu Dios hu kabunyan niya puyek. 
GEN.10.11	Entanni ey limmaw hi Nimrod di Assyria et behwaten tu bebley di Nineveh, ya Rehobot-Ir, ya Kalah 
GEN.10.12	niya Resen e bebley ni nambattanan ni Nineveh niya Kalah e et-eteng ni bebley.
GEN.10.13	Hi Misraim hu nahlagan idan nambebley di Lidia, yad Anam, yad Lehab, yad Naptuh, 
GEN.10.14	yad Patrus, yad Kasluh, niyad Crete e nahlagan idan Pilistin.
GEN.10.15	Yadda helag Kanaan ey hi Sidon e pengulwan et han hi Het. 
GEN.10.16+GEN.10.17+GEN.10.18	Newadadda edum ni u-ungngan Kanaan et humman idan u-ungnga tu nahlagan idan Jebusite, yadda Amorite, yadda Girgashite, yadda Hibite, yadda Arkite, yadda Sinite, yadda Arbadite, yadda Semarite niyadda Hamatite. Huyyaddan helag Kanaan ey neihinap ida. 
GEN.10.19	Ya pappeg ni nambebleyan da ey neipalpud Sidon ingganah di Gerar e neihnup di Gaza. Nei-dum pay hu Sodom, Gomorrah, Admah niya Seboim ni neihnup di Lasha. 
GEN.10.20	Huyyadda hu helag Ham ni neihinap di kebebbebley e nambakbaklang hu ehel da.
GEN.10.21	Hi Shem e neihnedan nan Japet hu nahlagan idan helag Eber. 
GEN.10.22	Yadda helag Shem ey hi Elam, hi Assur, hi Alpaksad, hi Lud et hi Aram. 
GEN.10.23	Yadda helag Aram ey hi Us, hi Hul, hi Gether et hi Meshek. 
GEN.10.24	Nahlag hi Alpaksad et wada hi Selah e aman Eber. 
GEN.10.25	Hi Eber ey dewwa u-ungnga tu: hi Peleg hu ngadan ni hakey tep yan nunman ni ketaggu tu negenadwaan ni tutu-ud puyek. Hi Joktan hu ngadan agitu. 
GEN.10.26	Hi Joktan hu nahlagan idan tutu-un nambebley di Almodad, yad Selep, yad Hasarmabet, yad Jerah, 
GEN.10.27	yad Hadoram, yad Usal, yad Diklah, 
GEN.10.28	yad Obal, yad Abimael, yad Seba, 
GEN.10.29	yad Ophir, yad Habilah niyad Jobab. Huyyaddan emin hu nahlag nan hi Joktan. 
GEN.10.30	Ya nambebleyan da ey neipalpud Mesha ingganah di Sephar e duntuduntug ni bebley di appit ni kasimmilin aggew. 
GEN.10.31	Huyyaddan helag Shem ey neihinap idad dakel ni bebley ey nambakbaklang ehel da.
GEN.10.32	Huyyaddan emin hu nahlagan idan u-ungngan Noah neipalpun negibbuhan ni nalbengan ni puyek. Neihinap idad kebebbebley eyad puyek meippuun di nahlagan da.
GEN.11.1	Yan laputu ey hakey ni ebuh hu ehel ni tuu. 
GEN.11.2	Nem entanni et ida kamangkedakkel ey limmaw idad appit ni kasimmilin aggew, ey dinteng da nedeklan ni puyek di Babilonia, et mambebley idadman. 
GEN.11.3+GEN.11.4	Et wada hakkeyey kanday “Mengapya itsun et-eteng ni bebley tayu. Ey behwaten tayu et-eteng niya eta-gey ni binattun baley et datengen tu kabunyan et mandingngel itsu niya eleg itsu mawehit eyad puyek.” Et ilepu dan mengapya.
GEN.11.5	Entanni ey immali 
GEN.11.6	Ey kantuy “Huyyaddan tuu ey hakey ida niya hakey hu ehel da. Huyya keilleppuan ni pengippahdingan dan pinhed da. Et dammutun emin ali law hu pinpinhed dan pehding ey pehding da. 
GEN.11.7	Itsuy, kelehbeng itsu et tayu pambakbaklang hu ehel da ma-lat eleg ida manhin-aawat!”
GEN.11.8	Et iwehit 
GEN.11.9	Ya impangngadan dan nunman ni bebley ey Babel tep yadman nenimengan 
GEN.11.10	Huyyadda helag Shem. Yan eman ni nelabah hu dewwan toon neipalpun negibbuhan ni nalbengan ni puyek, eman ni hanggatut hu toon Shem ey nahlag et wada hi Arpachshad. 
GEN.11.11	Nambiyag pay ni liman gatut ni toon et wadadda edum ni u-ungnga tu.
GEN.11.12	Nantoon hi Alpaksad ni telumpulut lima ey nahlag et wada hi Selah. 
GEN.11.13	Nambiyag pay ni epat ni gatut et tellun toon et wadadda edum ni u-ungnga tu.
GEN.11.14	Nantoon hi Selah ni telumpulu ey nahlag et wada hi Eber. 
GEN.11.15	Nambiyag pay ni epat ni gatut et tellun toon et wadadda edum ni u-ungnga tu.
GEN.11.16	Nantoon hi Eber ni telumpulut epat ey nahlag et wada hi Peleg. 
GEN.11.17	Nambiyag pay ni epat ni gatut et telumpulun toon et wadadda edum ni u-ungnga tu.
GEN.11.18	Nantoon hi Peleg ni telumpulu ey nahlag et wada hi Reu. 
GEN.11.19	Nambiyag pay ni dewanggatut et heyam ni toon et wadadda edum ni u-ungnga tu.
GEN.11.20	Nantoon hi Reu ni telumpulut dewwa ey nahlag et wada hi Serug. 
GEN.11.21	Nambiyag pay ni dewanggatut et pitun toon et wadadda edum ni u-ungnga tu.
GEN.11.22	Nantoon hi Serug ni telumpulu ey nahlag et wada hi Nahor. 
GEN.11.23	Nambiyag pay ni dewanggatut ni toon et wadadda pay edum ni u-ungnga tu.
GEN.11.24	Nantoon hi Nahor ni dewampulut heyam ey nahlag et wada hi Terah. 
GEN.11.25	Nambiyag pay ni hanggatut et hampulut heyam ni toon et wadadda edum ni u-ungnga tu.
GEN.11.26	Nantoon hi Terah ni nepitu ey nahlag et wadadda u-ungnga tu e hi Abram, hi Nahor et hi Haran.
GEN.11.27	Huyyadda helag Terah e amad Abram, hi Nahor et hi Haran. Nahlag hi Haran et wada hi Lot. 
GEN.11.28	Hi Haran ey netey di bebley dad Ur di Babilonia ey nanengtun mategu hi ametu e hi Terah. 
GEN.11.29	Hi Abram ey inahwa tu hi Sarai. Hi Nahor ey inahwa tu hi Milkah e u-ungngan Haran. Wada agin Milkah ni bii e hi Iskah. 
GEN.11.30	Hi Sarai ey nebasi et endi u-ungnga tu.
GEN.11.31	Hi Terah ey ingkuyug tu hi Abram e u-ungnga tu, hi Lot e inap-apu tu e u-ungngan Haran, hi Sarai e ahwan Abram et hi-yanen da hu Ur di Babilonia et lumaw idad Kanaan. Nem nanda-guh idad Haran et mambebley idadman. 
GEN.11.32	Et yadman neteyyan Terah eman ni dewanggatut et lima toon tu.
GEN.12.1	Yan eman ni eleg da ni peni-yanan ni Babilonia ey kan 
GEN.12.2	Iddawtan dakan dakel ni helag mu et mandingngel kayu. Bendisyonan daka et man-amta ngadan mu, ey mebendisyonan edum ni tuu gapuh ni hi-gam. 
GEN.12.3	Bendisyonan kudda etan memendisyon ni hi-gam, nem iddutan kudda mengiddut ni hi-gam ey bendisyonan kulli emin hu tuu eyad puyek gapuh ni hi-gam.” 
GEN.12.4	Et hi-yanen Abram hu bebley tu et lumaw di nengitu-dakan 
GEN.12.5	Ingkuyug tu hi Sarai e ahwatu, hi Lot e pengungngaan tu, yaddan emin hu limmu tu niyadda bega-en tun illa tud Haran, et lumaw idad Kanaan.
GEN.12.5	Yan dintengan dad Kanaan, 
GEN.12.6	ey nanglaw ida ingganah ni dinteng da hakey ni bebley e neihnup di Sekem et kumapyaddan kampu dad kad-an ni oak e keyew di Moreh. Huyyan bebley ey nambebleyan idan helag Kanaan ni nunman ni tsimpuh. 
GEN.12.7	Ey nampeang-ang hi 
GEN.12.8	Entanni ey hini-yan da mewan humman ni bebley et manpalaw ida etan di duntuduntug ni bebley et mangkampuddad nambattanan ni Bethel di appit ni kakelinnugin aggew niyad Ai di appit ni kasimmilin aggew. Et kumapya mewan hi Abram ni pan-appitan et dayawen tu hi 
GEN.12.9	Nem eleg mannaneng diman. Nan-etaetan idan nanha-adan da ey nampalaw idad Negeb.
GEN.12.10	Entanni ey wada nemahhig ni bisil di Kanaan et lumaw di Abram di Egypt et ida makibebley nidman. 
GEN.12.11	Yan eman ni daka penettengid Egypt, ey kantun ahwatuy “Hi-gam e Sarai ey kat-agu ka. 
GEN.12.12	Et hedin ang-angen dakaddan tuudya ey panna-ud da e han-ahwa ita et petteyen da-ak ma-lat al-en daka. 
GEN.12.13	Et humman hu, ehel mu e agi daka ma-lat eleg da-ak pateyen, nem kayyaggud hu pehding dan hi-gak gapuh ni hi-gam.”
GEN.12.14	Et yan dintengan dad Egypt, ey tu-wangun katettebaladdan tuudman hu kakinat-agun Sarai. 
GEN.12.15	Entanni ey inang-ang idan opisyal diman, et da ehelen ni patul da. Et ilaw da hi Sarai di baley tu. 
GEN.12.16	Et gapuh nan Sarai ey indawtan etan ni patul hi Abram idan kalneroh, gelding, baka, kamel, kebayyu, et yadda laki niyadda biin bega-en da.
GEN.12.17	Nem impandegeh nan 
GEN.12.18	Et paeyag etan ni patul hi Abram et kantuy “Kele mu impahding huyyan hi-gak? Kele eleg mu ehelen e ahwam hi Sarai? 
GEN.12.19	Kele kammuy agim hi Sarai et innang ni ahwaen ku? Awit mu et manglaw kayu!” 
GEN.12.20	Et mandalen etan ni patul ida tuu tu, et pea-allaw dad Abram, hi Sarai e ahwatu niyadda emin hu wadan hi-gada di diman e bebley da.
GEN.13.1	Hini-yan Abram hu Egypt et mambangngad di Negeb di Kanaan e ingkuyug tu ahwatu, hi Lot niyaddan emin hu wadan hi-gada. 
GEN.13.2	Kedangyan ni peteg hi Abram. Dakel hu balituk tu, ya pihhuh tu niyadda animal tu, henin kalneroh, gelding niya baka. 
GEN.13.3+GEN.13.4	Nangnanglaw ida et dumteng idad Bethel e nangkampuan da lan nunman di nambattanan ni Bethel niya Ai e yadman la hu nengapyaan tun pan-appitan. Yan nunman ni dintengan da ey dineyaw tu hi 
GEN.13.5	Hi Lot ey kedangyan dama e dakel hu kalneroh tu, ya baketu, ya gelding tu niyadda bega-en tu. 
GEN.13.6	Et humman hu, kulang law hu pampattulan da tep dakel ni peteg hu halun dan Abram. 
GEN.13.7	Ey humman kaumhulun ni kapambabakaliddan daka pampattul. Yan nunman ey naneng tudda Kanaanite niyadda Perisite ni nambebley diman.
GEN.13.8	Et kan Abram nan hi Lot ey “Beken ni kayyaggud hu ita mambekkal, anin idan taka pampattul, tep han-ama ita. 
GEN.13.9	Ya kayyaggud ey man-appil ita haggud mahkang eya puyek. Pilim hu pinhed mun panha-adan et lumaw kayudman ma-lat man-appil ita. Ya etan eleg mu pillia, ey yadman hu panha-adak.”
GEN.13.10	Et man-ang-ang-ang hi Lot ey ya etan nedeklan ni puyek e Jordan ingganah di Soar hu pinili tu e kamedennumin emin. Huyyan pintek Lot ey heni etan ni leguntan 
GEN.13.11	Humman hu pinilin nan Lot et lumaw diman e appit ni kasimmilin aggew. Humman hu impahding dan nan-appil. 
GEN.13.12	Et mambebley hi Abram di Kanaan. Nem hi Lot ey nekibebley di nedeklan ni neihnup di Sodom. 
GEN.13.13	Yadda tutu-udman ey lawah ida niya nemahhig hu liwat dan 
GEN.13.14	Yan eman ni nan-appilan di Abram nan Lot, ey kan 
GEN.13.15	Tep emin eya muka ang-ang-anga ey iddawat kun hi-gam niyaddalli helag mu et hi-gayulli hu kan puyek ni inggana. 
GEN.13.16	Ey iddawtan dakallin dakel ni helag mun eleg mebillang e henin kadinakkel ni dep-ul. 
GEN.13.17	Lakkay et mu ang-angen ni emin hu pappeg eyan puyek ni iddawat kun hi-gam.” 
GEN.13.18	Et ialdan Abram hu kampu tud kad-an idan keyew ni oak di Mamre di Hebron. Ey nengapyan pan-appitan tun 
GEN.14.1	Entanni ey wada gubat tep yadda etan epat ni patul e hi Amraphel di Babilon, hi Ariok di Ellasar, hi Kedorlaomer di Elam et hi Tidal di Goyim. 
GEN.14.2	Ginubat dadda etan liman patul e hi Bera di Sodom, hi Birsa di Gomorrah, hi Sinab di Admah, hi Semeber di Seboim et ya etan patul di Bela e Soar hu hakey ni ngadan tu. 
GEN.14.3	Humman idan liman patul ey impan-aaddum dadda sindalu dad etan di Nedeklandi Siddim e neihnup di Netey ni Baybay.
GEN.14.4	Yan hampulut dewwan toon ey hi Kedorlaomer hu ap-apu da, nem yan meikkeppulut tellun toon ey nginhay da law. 
GEN.14.5	Nem yan meikkahampulut epat ni toon ey inemung nan Kedorlaomer hu sindalu tu niyadda sindalun edum tun patul, et gubaten dadda humman ni nangngehay ni nampambebley di Repaim di Asterot Karnaim, yadda Susim di Ham, yadda helag Emim di Saveh Kiriathaim 
GEN.14.6	niyadda Horite di duntuduntug di Seir. Et pampedugen dadda ingganah di El Paran e neihnup di eleg mebebleyi. 
GEN.14.7	Et mambangngad idad En Mispat e ya ngadan tu law ey Kades, et gubaten dadda iAmalek niyadda Amorite ni nambebley di Hasason Tamal et apputen dadda.
GEN.14.8+GEN.14.9	Entanni ey yadda etan liman patul di Sodom, yad Gomorrah, yad Admah, yad Seboim, niyad Bela, e Soar hu hakey ni ngadan tu, ey impan-aaddum da sindalu da et ida mambetak di Nedeklan e Siddim et gubaten dadman hi Kedorlaomer niyadda edum tun tellun patul. 
GEN.14.10	Nem yadman ey dakel hu edallem ni bitu. Et umbebsik ida-et hu sindalun patul di Sodom niyad Gomorrah, ey nakna edum ni hi-gadadman. Nem yadda etan tellun edum dan patul ey bimmesik idad duduntug. 
GEN.14.11	Yadda etan epat ni patul ni nengapput ey nan-ala dan emin hu wadad Sodom niyad Gomorrah, anin idan kennen et handa hi-yana humman idan bebley.
GEN.14.12	Anin hi Lot e pengungngaan nan hi Abram et impeki-la da, yadda halun tu niyaddan emin hu wadan hi-gatu. 
GEN.14.13	Nem wada etan hakey ni tuun bimmesik, et tu idaddatteng nan Abram e Hebrew ni nangkampud neihnup idad keyew ni oak nan Mamre e Amorite. Hi Mamre niyadda agi tu e di Eskol nan hi Aner ey gayyum idan Abram. 
GEN.14.14	Yan nangngelan nan Abram e impeki-laddan etan ni epat ni patul hi Lot, e pengungngaan tu, ey inemung tudda tuu tun dammutun mekiggubbat, e telunggatut et hampulut walu idan emin, et unuden dadda ingganah di Dan. 
GEN.14.15	Dimmateng idadman et genedwaen Abram hu tuu tu. Et yan nunman ni hileng ey ginubat dadda humman ni patul e pindug dadda ingganah di Hobah e indalan dad Damascus. 
GEN.14.16	Et bangngaden tun emin hu imbesik da, anin hi Lot e pengungngaan tu, yadda limmu tu, yadda edum ni tuu niyadda bibi-in imbesik da.
GEN.14.17	Yan nambangngadan nan Abram ni nengapputan tun Kedorlaomer, et yadda edum tun patul ey immali patul di Sodom et tu dammuen hi Abram di Nedeklandi Sabeh e Bebley ni Patul. 
GEN.14.18	Anin ni hi Melkisedek e patul di Salem e padin Apu Dios e Keta-ta-geyyan ey inlaw tu sinapay niya meinnum. 
GEN.14.19	Et bendisyonan tu hi Abram e kantuy “Abram, iddawat Apu Dios e Keta-ta-geyyan niya nanletun kabunyan niya puyek hu panyaggudan mu. 
GEN.14.20	Medeyyaw hi Apu Dios e nemaddang ni hi-gam et mengapput ka.”
GEN.14.20	Et idwat nan Abram nan hi Melkisidek hu kapulun emin ni inapput dad nekigubatan tu. 
GEN.14.21	Entanni ey kan etan ni patul di Sodom nan hi Abram ey “Anin alam hu hipan binangngad mun imbesik da, nem pebangngad mun hi-gak ida tuuk.” 
GEN.14.22	Nem kan Abram ey “Eleg, tep insapatah kun 
GEN.14.23	e endi nak ellan ni hipan hi-gayu, anin ni bedbed ni patut yu winu sinulid ma-lat eleg mulli penghel ey kimmedangyan hi Abram tep ya indawat kun hi-gatu. 
GEN.14.24	Yan ebuh hu kinan middan sindaluk ni an nekigubat hu eggak beyyadin hi-gayu. Nem idwat mu hu bingay eyaddan gayyum kun bimmaddang ni hi-gak e hi Aner, hi Eskol et hi Mamre.”
GEN.15.1	Entanni ey nampeang-ang hi 
GEN.15.2+GEN.15.3	Nem hinumang nan Abram e kantuy “
GEN.15.4	Ey kan 
GEN.15.5	Et ipengulun 
GEN.15.6	Ey kinulug nan Abram hu inhel 
GEN.15.7	Kan mewan 
GEN.15.8	Ey kan Abram ey “
GEN.15.9	Kan 
GEN.15.10	Et an alen Abram humman idan imbagan Apu Dios ni hi-gatu, e impandewa tun ginedged, et iyayyaggud tu mewan ni hinandedwan inha-ad e impantatakdul tu. Nem yadda etan sisit ey eleg tu gedwaen. 
GEN.15.11	Entanni ey netapngan ida etan sisit ni kamengngan ni netey ni animal, nem inebul tudda.
GEN.15.12	Ey yan kamangkelinnug aggew ey naka-uyeng hi Abram, ey wada heni engeenget niya anggetakkut ni inang-ang tu. 
GEN.15.13	Ey immehel hi 
GEN.15.14	Nem kastiguen kuddalli mengihhimbut ni hi-gada. Ey yallin peni-yanan dan nunman ni bebley ey ellan dalli kinedangyan idan tuudman. 
GEN.15.15	Hi-gam ey meka-a-amma kalli et han ka matey, niya melinggep ali ketteyyan mu. 
GEN.15.16	Yadalli meikka-pat ni helag mu hu mambangngad eyad bebley. Yan nunman ali ey ihhi-met idan Amorite hu kalinawah da et kastiguen kudda.”
GEN.15.17	Yan nelinugan ni aggew et ma-nget, ey inang-ang nan Abram hu kaman-aahuk ni banga niya apuy ni kamantetebbel ni nelabah di nambattanan ida etan ni in-appit tun detag ni hinandedwa tun inha-ad. 
GEN.15.18+GEN.15.19+GEN.15.20+GEN.15.21	Et yan nunman ey kan 
GEN.16.1	Hi Sarai e ahwan Abram ey nebasi et endi u-ungnga tu. Nem wada hi Hagar e bega-en tun iEgypt. 
GEN.16.2+GEN.16.3	Et kantun Abram ey “Anin ew ni iulig mu eya bega-en ku tep ay eleg i-abulut 
GEN.16.4	In-ulig Abram hi Hagar et mambutsug.
GEN.16.4	Yan nengamtaan Hagar e nambutsug ey nemahhig hu tuka pemippihul nan Sarai. 
GEN.16.5	Et kan Sarai nan Abram ey “Bahul mu hu tuwak kapemippihulin bega-en ku. Ma-nu tep in-abulut ku e i-ulig mu, nem neipalpun nambutsugan tu ey tuwak kapippihula. Hamban anhan ang-angen 
GEN.16.6	Kan Abram ey “Hi-gam hu kan bega-en ni hi-gatu et ngenamung hu pehding mun hi-gatu.” Et nemahhig hu kapehding Sarai nan Hagar et tuka panlelehhani et lektattuy bimmesik.
GEN.16.7	Entanni ey dinteng etan ni anghel 
GEN.16.8	Kan nunman ni anghel ey “Hagar e bega-en Sarai, kele wada kadya? Attu nalpuam niya attu lawwam?” Kan Hagar ey “Bimmesikkak e hini-yan ku hi Sarai e kan bega-en ni hi-gak.” 
GEN.16.9	Ey kan etan ni anghel ni hi-gatuy “Pambangngad kan hi-gatu et hi-gam hu mannenneng ni bega-en tu. 
GEN.16.10	Iddawtan dakan dakel ni helag mu e eleg mebillang. 
GEN.16.11	Huttan ni imbutsug mu ey laki. Ya pangngeddan mullin hi-gatu ey Ismael tep dingngel 
GEN.16.12	Huttan alin u-ungngam ey heni ma-lem ni kebayyu. Anggebe-hel tullin emin tuu ey anggebe-hel dalli dama. Ey eleg tulli pinhed ni mekibbebley idan agitu.”
GEN.16.13	Kan Hagar di nemnem tuy “Kaw makulug ni inang-ang ku hi Apu Dios, ey nanengtun mategu-ak et e-ehhelen kulli meippanggep ni nunya?” Et kantuy “Hi-gam hu Dios ni kamenang-ang-ang ni hi-gak.” 
GEN.16.14	Et humman hu ya kapangngeddan idan tuu etan ni hebwak ey “Hebwak etan ni wadan ingganah ni kamenang-ang-ang ni hi-gak.” Humman ni hebwak ey wadad nambattanan ni Kades niya Bered.
GEN.16.15	Et iungngan Hagar etan u-ungnga dan Abram et ngadnan Abram ni hi Ismael. 
GEN.16.16	Ya toon Abram ni nunman ey newalut enem.
GEN.17.1	Yan nahyam et heyam hu toon Abram ey nampeang-ang mewan hi 
GEN.17.2	Mekitballak ni hi-gam et pedakkel kulli helag mu.” 
GEN.17.3	Et manyuung hi Abram ni nanlispituh tun hi-gatu. Kan Apu Dios ni hi-gatu ey 
GEN.17.4	“E-helen kun hi-gam e pan-emma dakallin dakel ni tuud kebebbebley. 
GEN.17.5	Yan nunya ey hullulan ku ngadan mu et bekken law ni hi Abram nem hi Abraham, tep pambalin dakallin aman dakel ni tuud kebebbebley. 
GEN.17.6	Iddawtan dakallin dakel ni helag mu. Mampatul idalli edum ni hi-gada niya mampambebley idallid dakel ni bebley. 
GEN.17.7	Pannananeng ku huyyan nekitbalan kun hi-gam niyadda helag mun edum ni aggew. 
GEN.17.8	Huyyan bebley e Kanaan ni nekibebleyan mu ey iddawat kun emin ni hi-gam niyaddalli helag mu ma-lat hi-gayu mengippuyyek ni ingganah, niya hi-gak ali hu Dios idan helag mu.
GEN.17.9+GEN.17.10+GEN.17.11+GEN.17.12+GEN.17.13	Mahapul ni mampekuggit ka, anin idan helag mu, ma-lat kei-ang-angan tu e pannananeng yu eya nekitbalan kun hi-gayu. Et humman hu, meippalpun nunya ey emin hu lakin helag mu, ey mahapul ni mekuggit idan meikkewwalun aggew ni neiungngaan da, anin idan i-ungngan bega-en yud baley yu niyadda himbut yun melpud edum ni bebley. Humman ni kekuggitan yu hu kei-ang-angan tu e mengmenglaw alin ingganah hu nekitbalan kun hi-gayu. 
GEN.17.14	Ya etan lakin eleg makugit ey eleg meibbillang ni tuuk tep eleg tu u-unnuden huyyan inhel ku.”
GEN.17.15	Immehel mewan hi Apu Dios nan Abraham ey kantuy “Meippalpun nunya ey mehullulan law hu ngadan Sarai e ahwam, et hi Sarah law hu ngadan tu. 
GEN.17.16	Bendisyonan ku et wadalli u-ungnga yu! Et hi Sarah hu pan-innallin dakel ni tuu et wadaddalli patul ni helag tu.”
GEN.17.17	Et dayawen nan Abraham hi Apu Dios. Nem kamangngi-ngi-ngi tep kantud nemnem tu ey “Kaw dammutu makkaw ni mewedda u-ungngak ey hanggatut law hu toon ku? Niya kaw an man-ungnga law hi Sarah ey nei-inna dama law e nahyam hu toon tu?” 
GEN.17.18	Et kan Abraham nan Apu Dios ey “Attu et hi Ismael kuma hu pengippeamnuam ni planuh mun hi-gakey?”
GEN.17.19	Nem kan Apu Dios ey “Eleg. Beken ni hi-gatu hu kangku. Man-ungngalli hi Sarah ni laki et ingngadnan mullin hi Isaac. Hi-gatu niyaddalli helag tu hu pengippeamnuan kun nekitbalan kun mannananeng ni ingganah. 
GEN.17.20	Dingngel ku hu imbagam ni panyaggudan Ismael. Et humman hu, bendisyonan ku daman dakel ni peteg ni helag tu. Hi-gatulli kehlagan ni hampulut dewwan aap-apu niya huyyaddan helag tu ey et-eteng ali hu pambebleyan da niya mandingngel idalli dama. 
GEN.17.21	Nem hi Isaac e i-ungngallin Sarah ni balin tun hanneyan tsimpuh hu pengippeamnuan ku eyan nekitbalan ku.” 
GEN.17.22	Negibbuh humman ni ung-ungbal da et hi-yanen Apu Dios hi Abraham.
GEN.17.23	Yan nunman ni aggew ey inu-unnud nan Abraham hu inhel Apu Dios et kugiten tu hi Ismael e u-ungnga tu, yadda lalakkin kamanha-ad di baley tu niyadda lalakkin u-ungngaddan himbut tu. 
GEN.17.24	Nekugit dama hi Abraham e yan nunman ey nahyam et heyam hu toon tu 
GEN.17.25	ey hampulut tellu toon Ismael. 
GEN.17.26	Nandihhan idan han-aman nekugit ni nunman ni aggew, 
GEN.17.27	anin idan emin ni lalakkin bega-en tu.
GEN.18.1	Wadan pinhakkey ni nandattek aggew e kamanyuyyuddung hi Abraham di habyen ni a-abbung tu ey nampeang-ang hi 
GEN.18.2	In-ang-ang tu, ey wada tellun lakin kaman-eh-ehneng et lumaw et manyuung ni panlispituh tun hi-gada. 
GEN.18.3+GEN.18.4	Et kantuy “Apuk ida, hedin kayyaggud yuka pannemnem ni hi-gak, panda-guh kayu ni anhan et man-iyyatu kayu eyad hengeg ni keyew et nak ali umlan danum ni pengullah yun heli yu. 
GEN.18.5	Pandammuan tun pandaddanan kun kennen yu ma-lat wada ikkelmeg yu lad dalan.” Ey kanday “Ku anin tep.”
GEN.18.6	Impapuut Abraham ni himmegep et kantun Sarah ey “Ganuim et umla ka etan ni kakkayyaggud ni alinah et menginkakapya kan sinapay.” 
GEN.18.7	Et papuut tu mewan ni limmaw di halun tu et an gumuyud ni mateban kilaw ni baka et degdegen tu hakey ni bega-en tun memalsi. 
GEN.18.8	Nelutun emin et umlan gatas niyadda edum ni kennen et tu imangdad ni kennen idan nunman ni tuudman. Ida kamammangngan ey kaman-eh-ehneng hi Abraham di hengeg idan keyew diman.
GEN.18.9	Entanni ey kanday “Attu hi Sarah e ahwamey?” Kan Abraham ey “Immen di bawang.” 
GEN.18.10	Kan 
GEN.18.10	Wada hi Sarah di habyen ni kampu di dingkuggan Abraham et dingngel tu humman ni ung-ungbal da. 
GEN.18.11	Ey gapu tep nea-amma law hi Abraham niya nei-inna dama hi Sarah et nepappeg law hu kamelpud annel tu, 
GEN.18.12	ey kamangngi-ngi-ngi hi Sarah e kantud nemnem tuy “Inna-nu makkaw ni nak pan-ungngaan ey nei-inna-ak law niya nea-amma ahwak?”
GEN.18.13	Et kan 
GEN.18.14	Kaw wada eleg kabaelin 
