GEN.1.1	Yama nagkamchakug, Apajuík nayaimpin nugkajai najanauwai. 
GEN.7.13	Nunú tsawantinig Noé niina uchiji Sem, Cam, Jafet aatus aajakua nujai, tuja niina nuwe, nuigtu kampatum niina uchiji nuwe aidau aatus arcanum egkemawajui. 
GEN.7.14	Nuigtushkam kuntin tagkumtai aidau, kuntin tagkumchatai aidau, japiinas yujau aidau, chigki wegantu aidau aatus ditajai betek chimpimauwai. 
GEN.7.15	Tuja Noé arcanum egkemtai, ashí kuntin aina duka ditashkam jimag apa apatdayas chimpimauwai. 
GEN.7.16	Ashí kuntin aidauk aishmag nuwajai apatdayas chimpimamtai, Apajuí Noén dutikata tusa tibaunak imatiksag umikui. Nunik ashí chimpimamtai Apajuí arca waitijin epeniuwai.
GEN.7.17	Nunikmatai, yumi nagkamna cuarenta tsawan, cuarenta kashi mijamtsuk tuke yutuu au. Imaniau asa nujag dujajua nugkanum pimak, arca kukag tepaun inanmiuwai. 
GEN.7.18	Nujagkek neetsuk ayatak dujaju au. Imanik dujajak arcanak aan yakí takuiniuwai. 
GEN.7.19	Imanik dujajiu asa, ashí nugkanum muja tsakaku aidaunak yutua emegkakui. 
GEN.7.20	Ashí yutua emegkak, nuigtushkam sieteya imajin yakintin ewagak piyajui. 
GEN.7.21	Imaniku asamtai aents nugkanum batsatuk ashí jinawajui, tuja chigki wegantu, kuntin tagkumtai wegantu, kuntin tagkumchatai aidaushkam, kuntin japiinas yujau aidaujaí ashí jinauwai. 
GEN.7.22	Pujutji ajamu aidau nugkanum batsatuk ashí jinauwai. 
GEN.7.23	Ima Noék, tikich niijai arcanum chimpimau aina nujaig uwemjauwai. Untsu arcanum egkemachaju aina duka ashí jinauwai. Aents, kuntin tagkumtai wegantu, chigki wegantu aidaushkam, kuntin japiinas yujau aina nujai ashí jinauwai. 
GEN.7.24	Nujagkek ashí nugkanum piyag kuyutsuk ciento cincuenta tsawan asauwai.
GEN.8.1	Imanik tsawan atai, Apajuí Noén ashí kuntin niijai arcanum chimpijaidaujai wait anenjauwai. Nuadui Apajuí abau kuyuati tusa dasen nugká ajunjauwai, dutikam nunú umpuam kuyutan nagkamdauwai. 
GEN.8.2	Tuja nugkanum waa múun ujanjamtai, yumi initkanmaya jiinaidaushkam ashí epennajui. Antsag nayaimpinmaya yumi senchi yutaushkam ashí mijaakui. 
GEN.8.3	Nunikmatai duwi diipas kuyutan nagkamdauwai. Nunik ciento cincuenta tsawan ejegak nuni senchi kuyuau. 
GEN.8.4	Nunik siete nantu taka nuigtu diecisiete tsawan wegai, muja Araratnum arca patamiuwai. 
GEN.8.5	Tuja nujagkek tuke kuyu aig, diez nantu taka nuigtu makichik tsawan tsawaju ai, muja shiig múun aidaun titiji wantinjauwai.
GEN.8.6	Tuja cuarenta tsawan nagkaemai, arcanum egkemsa niimtain Noé ujainiuwai. 
GEN.8.7	Dutika cuervon juki akupkauwai, tujash ekemainji atsau asamtai, kuyuati tusa dakak ayatak nanaak wainak wekagu. 
GEN.8.8	Nuna dutika duwi pujus, kuyua buku weatsuash tusa dekatatus makichik pauman akupkauwai. 
GEN.8.9	Tujash nugkak eke buku wantinchau asamtai, paumak nii ekemsa ayamainjin wainkachu asa wakitki arcanum tauwai. Nunikmatai Noé uwejen awentun pauman juki arcanum awayauwai.
GEN.8.10	Dutika ataktu siete tsawan dakasui, nunik awentsag pauman akupkauwai. 
GEN.8.11	Dutikamu etsa akagai, olivo dukeen tsujig apas tauwai. Nunikmatai Noé anentaimas, dekas nugkak bukuap weawa tiuwai. 
GEN.8.12	Tuja nuigtushkam siete tsawan dakasui, nunik awentsag pauman akupkauwai; tujash paumak ataktu wakitkig tachui.
GEN.8.13	Tuja nujag kuyua buku wajasua nunak Noék mijanjinak seiscientos ejeyi nuigtu makichik mijanan achiku ai nunikui. Mijan nagkamnamu yama nagkamchak nantu taka makichik tsawan tsawaju ai, Noé arca jeen chigkainiuwai. Dutika diikma kuyua nugka buku wajasun wainkauwai. 
GEN.8.14	Tuja jimag nantua nuna achika veinti siete tsawan wegai, namakak shiig kuyua buku wajasui.
GEN.8.15	Ashí kuyua buku wajasmatai Apajuí Noén chichajak: 
GEN.8.16	“Arcanum ame, amina nuwem, uchijum aidau, uchigmin nuwe aidaujai chimpigjum nunú ashí jiinjatajum. 
GEN.8.17	Tuja ashí kuntin: chigki aidau, kuntin tagkumtai aidau, kuntin japiinas yujau aidau amejai chimpija dushakam ashí jiigta. Dutikawamin ashí yantamnum shiyaktinme, nunik yujaktinme, nuniak ashí nugkanum piyaktinme”, tiuwai.
GEN.8.18	Tusa tima Noé jiinak niina nuwen, niina uchiji aidaun, tuja uchijin nuwe aidaun aatus ashí jiijui. 
GEN.8.19	Tuja ashí kuntin aidaushkam, tuja kuntin tagkumtai aidaush, tagkumchatai aidaujai, kuntin japiinas yujau aidaushkam, chigki aidaushkam ashí jiinjauwai. 
GEN.8.20	Noé arcanmaya jiinki kuntin patasa apeaku Apajuí ememattinun kaya ekenag najanauwai.
GEN.8.21	Nunú Apajuín shiig awagmakui. Nuadui Apajuí chichaak: “Yamai nagkamsanuk aents aidaun tudaujinig nugkanak ataktuk pegkegchaunmak yumigjashtatjai, wagki aents aidauk yama datsameamuik pegkegchau takatnak anentaimtin ainawai. Tuja nuigtushkam ataktu awagkinuk yamai ijinag aikanuk pujutji ajamu aina nunak ijinashtinaitjai.
GEN.8.22	Juju nugka awa junisag aigkik,
GEN.8.22	ajakma yutak tuke atinai, tuja nimpain, tsetsek,
GEN.8.22	yumi tepeau, esat, tsawai,
GEN.8.22	kashi aina duka ashí imanisag atinai”, tiuwai.
GEN.9.1	Apajuí Noén niina uchiji aidaujai pegkegnum yumigkiak aatus tiuwai: “Yujaktajum, imaniakjum nugka pampankajum pimutkatajum. 
GEN.9.2	Ashí kuntin nugkanum batsamin aidauk atumin ishamjamainak kujaitin ainawai. Chigki wegantush, kuntin aidaush, nayantsanmaya aidaushkam atumnak ashí umigtamiagtinai. 
GEN.9.3	Nuadui atumek ashí kuntin aidau, nuigtu dupa duke yujutai aina dushakam atum wakegamu yutinaitjume. Nunú aidaunak wi atumin ashí amaajime. 
GEN.9.4	Untsu kuntin maa yuwakjumesh numpe yuwawaigpajum, wagki numpanum pujut au asamtai. 
GEN.9.5	Aentsnak aishmagnash, tuja nuwanash wijai betekmamtinun najanauwaitjai. Nuadui makichik aentskesh tikich aentsun maunak niinashkam dutiksag maawagtinai, tuja kuntinkesh atumin mantamuk dushakam dutiksaik maam agtinai.
GEN.9.6	Tuja makichkikesh tikich aentsun maunak,
GEN.9.6	niinashkam dutiksag maatin ainawai, wagki
GEN.9.6	aentsuk wijai betekmamtin najanamu asamtai.
GEN.9.7	Tujash atumek uchi akigjum yujaktajum,
GEN.9.7	nuniakjum ditajai ashí nugkanum piyaktajum”, tiuwai.
GEN.9.8	Tuja nuigtushkam Apajuí Noén niina uchiji aidaujai chichajak: 
GEN.9.9	“Wi yamai atumjai chichaman umiktatag duka, atakea duish atumi uchijum wegantu agtina nujaishkam tuke asatnun umiktatjai. 
GEN.9.10	Nunak ashí kuntin atumjai arcanum chimpiju jiinjau aidau: Chigki wegantu, kuntin tagkumtai aidau, kuntin tagkumchatai aidau, ashí kuntin nugkanmaya aidaujaish umiajai. 
GEN.9.11	Atumjai wi chichaman umikag duka makichkish yapajinashtinai, nuadui atak awagkinuk aentsnak, tuja kuntin aina nunashkam yumin yutumtijanuk ijinashtinaitjai. Atakea duish yumi yutujag nugkanmayanak ijinashtinai”, tiuwai.
GEN.9.12	Tusa Apajuí chichaak: “Jujuwai chicham tuke atinun, wi atumjai, tuja kuntin aidaujaishkam umikbau iwainamua nunú. 
GEN.9.13	Yujagminum apusajai arco iris
GEN.9.14	Wi nugkan yujagkim ematai, nuwi arco iris wantintinai. 
GEN.9.15	Nuna wainkun wi atumjai, tuja kuntin aidaujaishkam chichaman umikag nuna tuke aneetnaitjai. Nuadui ataktu awenag yumi yutug piyajag ijipachagtinai. 
GEN.9.16	Nunú arco iris yujagminum wantinkui, wi waintinaitjai, nuniakun ashí aents aidaujai, tuja kuntin ashí nugkanum batsataina nujaishkam chicham tuke atinun umikag nuna tuke aneasnuke atinaitjai. 
GEN.9.17	Chicham tuke atinun ashí aents aidaujai, tuja kuntin aidau nugkanum batsataina nujaishkam umikag, nunú iwainamuk arco irisa jujuwai”, tusa aatus Apajuí Noéjai chichasui.
GEN.9.18	Noé uchiji arcanmaya jiinjau aina duka: Sem, Cam, Jafet aatus aajakui. Cam aajakui Canaágka apaji. 
GEN.9.19	Juju kampatuma nunú aajaku ainawai Noé uchiji aidau. Juna uchiji wegantu aidau atak nagkamawag dita ashí nugkan pampantuk batsamsau ainawai. 
GEN.9.20	Noé ataktu ajakmatan nagkama uva numijin ajakui. 
GEN.9.21	Tuja makichik tsawantai, Noé uva yumiji najanamun vinon uwag nampekui. Nunik niina aakji ejapeen wisu iyan kanag tepesui. 
GEN.9.22	Nunik wisu tepettaman, Cam Canaágka apaji aajakua nunú wainak ukuak, weuwai yachi jimag agá batsatun ujaktatus. Tusa ujakam, 
GEN.9.23	Sem Jafetjai, nugkutaijin yakayin awagkek, apaji wisu tepaun wainkaig tusa, ukunmataik jegantag apajin dukukajui.
GEN.9.24	Dutika ukukim tepa tepakua nampekbaujin sakapag shintaag, niina uchiji ekeu Cam dutika ukukbaun dekauwai. 
GEN.9.25	Nuna dekaa pegkegchaunum yumigkiak:
GEN.9.25	“Canaágkak yachi jimaja nuna inake atinai”, tiuwai.
GEN.9.26	Tusa nuigtu chichaak:
GEN.9.26	“Semnak mina Apajuíjua nunú shiig anentinai.
GEN.9.26	Dutikamu asa nii inatnai Canaágnak.
GEN.9.27	Apajuí Jafetan shiig kuashat nugkentin emati,
GEN.9.27	dutikam nigka tajimtamea Sem aakmagbaunum pujú atatui.
GEN.9.27	Untsu Canaán niina inake atinai”, tiuwai.
GEN.9.28	Tuja yumi yutug aentsun ijinauwa duwi nagkamas Noé trescientos cincuenta mijan pujusui. 
GEN.9.29	Aatus ashí ijumjamak novecientos cincuenta mijan pujus jakauwai.
GEN.10.1	Noé uchiji, Sem, Cam, Jafet aina nunú, yumi yutug nugkanum piyag aentsun ijinauwa duwi pujus uchin akigkaju aina nuna daaji aidauk juju ainawai:
GEN.10.2	Jafeta uchiji aidauk: Gómer, Magog, Madai, Javán, Tubal, Mésec, Tirás, aatus aajakui. 
GEN.10.3	Gómeran uchiji aidaushkam: Asquenaz, Rifat, Togarmá, aatus aajakui. 
GEN.10.4	Javánka uchiji aidaushkam: Elisa, Tarsis, Quitim, Rodanim, aatus aajakui. 
GEN.10.5	Juu aajaku ainawai Jafeta uchiji wegantu aidau, juka maki makichik tikich chichaman chichaku aajakajui. Nunidau asag dita patayi aidaujaig etegdayag, nayantsa pakajin nugka muunnum, tuja ajuntainmashkam batsamsaju ainawai.
GEN.10.6	Cam aajakua nuna uchiji juju aajaku ainawai: Cus, Mizraim, Fut, Canaán aatus. 
GEN.10.7	Cus aajakua nuna uchiji aidaushkam: Sebá, Havilá, Sabta, Raamá, Sabteca aatus aajaku ainawai. Untsu Raamá uchiji aajakui Sebá, Dedán aatus. 
GEN.10.8	Cusak nuigtushkam uchijin Nimrotan akiauwai. Duka apu ashí nugkanum nigki wagaku aajakui. 
GEN.10.9	Nimrotak Apajuí yayamu asa senchi kuntinu main aajakui. Nuwiya chicham jiinkiun chichainak: “Nimrod Apajuí yayasam, kuntinu main wajasu aajakua imanai”, tinu ainawai. 
GEN.10.10	Nii apu pujusmataig yaaktak juju aajaku ainawai: Babel, Erec, Acad, Calné aatus. Juju yaakat aina juka Sinar nugkanum aajaku ainawai. 
GEN.10.11	Nunú nugkanum pujau juwaki, Asiria nugkanum weuwai. Nunik jegaa nuwi yaaktan najankauwai. Nuna daaji aidauk: Nínive, Rehobot-ir, Quélah aatus aajakui. 
GEN.10.12	Nuigtushkam najanauwai yaakat dekas múun, Resen tutaya nuna. Duka yaakat Nínive Quélahjai niniaku aajakua nuna ejapeen aajakui.
GEN.10.13	Untsu Misraím aents wegantunmaya jiinjauwai: ludeo aidau, anameo aidau, lehabita aidau, naftuhíta aidau, 
GEN.10.14	patruseo aidau, casluhíta aidau, caftorita aidau. Untsu juwiya jiinjauwai filisteo aidau.
GEN.10.15	Untsu Canaán niina uchiji aishmagkun iwain Sidógkan akiauwai, duwi pujus Het aajakua nuna akiauwai. 
GEN.10.16	Tuja Canaán wegantunmaya jiinjauwai: Jebús aents aidau, amorreo aidau, gergeseo aidau, 
GEN.10.17	heveo aidau, araceo aidau, sineo aidau, 
GEN.10.18	arvadeo aidau, semareo aidau, nuigtu amateo aidaushkam. Juju Canaán nugkanum aents aidau dita patayi aidaujai pampagkajui. 
GEN.10.19	Cananeo aents aidaun nugkeg yaakat Sidón nagkamna nugka Guerar tutaya nuni juwaki, yaakat Gazanum nagkatkau aajakui. Tuja nuwi nagkamna yaakat Sodoma, Gomorra, Admá, Seboím aatus aajakua, nuni juwaki yaakat Lesa tutaya imanui nagkatkau aajakui. 
GEN.10.20	Cam aajakua nuna uchiji wegantu aidauk juju ainawai. Ditak maki makichik nugkentin, nuigtushkam maki makichik chichamtin aajaku ainawai. Nuadui ditá patayi aidaujaig etegdayag batsamajaku ainawai.
GEN.10.21	Jafetan yachi iwai Sem aajakua dushakam uchijinak akigkui. Tuja Heber aajakua nuna uchiji aidauk Sem wegantu aajaku ainawai. 
GEN.10.22	Seman uchiji aidauk: Elam, Asur, Arfaxad, Lud, Aram aatus aajakui. 
GEN.10.23	Araman uchiji aidauk: Us, Hul, Guéter, Mas aatus aajaku ainawai. 
GEN.10.24	Arfaxad aajakui Sélah apaji, untsu Sélah aajakui Heberan apaji. 
GEN.10.25	Heberak jimag uchijin akiauwai. Nuwiya makichik Péleg daagtin aajakui. Nunak nii pujusmatai, ashí aents aidau pampagkag maki makichik nugkentin wajasajua duwi tuu adaikau ainawai. Tuja niina yachig Joctán aajakui. 
GEN.10.26	Joctánkan uchiji aidauk: Almodad, Sélef, Hazar-Mavet, Jérah, 
GEN.10.27	Hadoram, Uzal, Diclá, 
GEN.10.28	Obal, Abimael, Sebá, 
GEN.10.29	Ofir, Havilá, Jobab aatus aajaku ainawai. 
GEN.10.30	Dita batsamsamu aidauk nugka Mesá tawa nuwi nagkamnas Sefar nugka aajakua imanui nagkatkau aajakui. Duka etsa minitaiya nuni nugka múun aajakua nuwiya ainawai 
GEN.10.31	Seman uchiji wegantu aidauk maki makichik nugkentin, maki makichik chichamtin aajaku ainawai. Nunidau asag ditá ditak patayi aidaujaig etegdayag batsamsaju ainawai.
GEN.10.32	Juju adaijag nunú ainawai Apajuí yumin yutumtikag aentsun ijinawa duwi batsamas Noé uchiji wegantu akigbau aina duka. Nuniayatak ditash kanakag tikich nugkanum pampagkag batsamsaju ainawai.
GEN.11.1	Nunú tsawantin ashí aents batsamajaku aina duka makichik chichamnak chichajaku ainawai. 
GEN.11.2	Etsa minitaijiya nuni batsatu jiinag shima shimakua Sinar nugka pakajin wainkag nuwi batsamsajui.
GEN.11.3	Makichik tsawantai ditá ditak chichainak: “Ladrillo najanka jinum jiya inagkagmi”, tusag kayajai takamainnak idayinak ladrillon ekenag takainak, cemento pachimja takamain atsau asamtai, pegkae jukiag nujai achimtikag ekenag takaidau. 
GEN.11.4	Dutikainak: “¡Kaunatajum yaakat najanawagmi, dutikaku kumpin jiika, nuwi eke ekenkawa nayaimpinum iwakmi! ¡Ibau umiku asaja, eme anentsa diitai atin amí! Tuja pampagka tikich nugkanmak shimutsuk juwig tuke batsamsatin agmi”, tuidau.
GEN.11.5	Tujash Apajuí Tuke Pujuu nugkanum taa diikma aents aidau yaaktamawag, kumpin muuntan apujawag batsamtiagtatman wainkauwai. 
GEN.11.6	Nunik anentaimas: “Ditak makichik wegantu ainawai, antsag chichamnash makichik chichaman chichaaku ainawai, nuadui juna nagkama ijuntujag takainawai, tuja juna idaimitkamainuk shiig atsawai, tusa, 
GEN.11.7	dekas akaetukmi, dutika ditá chichame pachimjukmi, dutika ajin pempeentunikiag antugdaimainchau wajastinme”, tiuwai. 
GEN.11.8	Aatus tusa, Tuke Pujuu chichaman pachimjuk, ashí nugkanum dapampaak ishiakui. Dutikamu asag yaakat najantanak idaisaju ainawai.
GEN.11.9	Nuadui nunú yaaktanak Babel adaikau ainawai. Wagki nunú nugkanum Tuke Pujuu aents aidaun chichaman pachimjuk dapampaak ashí nugkanum ishiaku asamtai.
GEN.11.10	Juju aajaku ainawai Sema uchiji wegantu aidau. Apajuí yumin yutumtikag aents aidaun ijinauwa nunú jimag mijan nagkaemai, Sem niina mijanjin cien ejeyi pujus akiauwai niina uchijin Arfaxad. 
GEN.11.11	Nuna akia nuigtushkam quinientos mijan pujusui. Tuja nuigtushkam uchiji aishmag aidaun, nuwa aidaujai akigkui.
GEN.11.12	Arfaxad treinta y cinco mijanjin ejeyi pujus akiauwai Sélah. 
GEN.11.13	Nuna akia nuigtushkam cuatrocientos tres mijan pujusui. Tuja nuigtushkam tikich uchiji aishmag aidaun, nuwa aidaujai akigkui.
GEN.11.14	Sélah treinta mijanjin ejeyi pujus akiauwai Heber. 
GEN.11.15	Nuna akia nuigtushkam cuatrocientos tres mijan pujusui. Tuja nuigtushkam tikich uchiji aishmag aidaun, nuwa aidaujai akigkui.
GEN.11.16	Heber treinta y cuatro mijanjin ejeyi pujus akiauwai Péleg. 
GEN.11.17	Nuna akia nuigtushkam pujusui cuatrocientos treinta mijan. Tuja nuigtushkam tikich uchiji aishmag aidaun, nuwa aidaujai akigkui.
GEN.11.18	Péleg treinta mijanjin ejeyi pujus akiauwai uchiji aishmagkun Reú. 
GEN.11.19	Nuna akia nuigtushkam pujusui doscientos nueve mijan. Tuja nuigtushkam tikich uchiji aishmag aidaun, nuwa aidaujai akigkui.
GEN.11.20	Reú treinta y dos mijanjin ejeyi pujus akiauwai uchiji aishmagkun Serug. 
GEN.11.21	Nuna akia nuigtushkam pujusui doscientos siete mijan. Tuja nuigtushkam tikich uchiji aishmag aidaun, nuwa aidaujai akigkui.
GEN.11.22	Serug treinta mijanjin ejeyi pujus akiauwai uchiji aishmagkun Nacor. 
GEN.11.23	Nuna akia nuigtushkam pujusui doscientos mijan. Tuja nuigtushkam tikich uchiji aishmag aidaun, nuwa aidaujai akigkui.
GEN.11.24	Nacor veintinueve mijanjin ejeyi pujus akiauwai uchiji aishmagkun Térah. 
GEN.11.25	Nuna akia nuigtushkam pujusui ciento diecinueve mijan. Tuja nuigtushkam tikich uchiji aishmag aidaun, nuwa aidaujai akigkui.
GEN.11.26	Térah uchiji aidauk: Abram, Nacor, Harán aatus aajakui. Junak sesenta mijanjin ejeyi pujus akigkui.
GEN.11.27	Juju aajaku ainawai Térah uchiji wegantu aidauk: Térah akiauwai Abram, Nacor, Harán aatus. Untsu Harán akiauwai Lotan. 
GEN.11.28	Harágkak Caldea nugkanum yaakat Ur tutai nii akiinamua nuwi pujus, apaji Térah eke iwaku pujaig niyá jakauwai.
GEN.11.29	Untsu Abram Sarain nuwatkauwai. Tuja Nacor nuwenauwai Milcájai. Milcák Harágkan nawanji iwai, Iscá tawa nuna kai aajakui. 
GEN.11.30	Untsu Saraik kaga asa uchigtuchu aajakui.
GEN.11.31	Térah caldeo aents aidau nugken yaakat Ur tutainum pujau ukuki Canaán nugkanum weuwai. Nuwi weak uchiji Abragkan, niina tijaji Lotjai ayauwai. Tuja nuigtushkam niina uchiji nuwen Sarain ayauwai. Tujash eke Canaán nugkanmak jegatsuk, yaakat Harán jegawag nuwi batsamsajui. 
GEN.11.32	Nuwig batsamas Térah doscientos cinco mijanjin ejeyi pujus jakauwai.
GEN.12.1	Makichik tsawantai Apajuí Abragkan chichajak: “¡Amina nugkem, pataim aidau, apa jeshkam ukukta, nunikam wi ame pujustinun nugkan inaktustatjam nuwi wetá! 
GEN.12.2	Ame uchijum wegantu aidaunak wi shiig kuashat uyujkatnaitjai, dutika ai shiig kuashat agtinai. Wi aminak pegkegnum yumigsattagme, tuja nuigtush eme anentsa chichagtai atatme, nuadui aminiyan tikich aidaush pegkeg yumigkin jukiagtinai. 
GEN.12.3	¡Amina pegkegnum yumigtamaidaunak wishakam dutiksanuk pegkegnum yumigsagtinaitjai! ¡Untsu amina pegkegchaunum yumigtamunak wishakam dutiksanuk pegkegchaunum yumigjatnaitjai! Nuadui ashí nugka muunnumia aidaunash amina daagmin pegkegnum yumigsagtinaitjai”, tiuwai.
GEN.12.4	Tusa tima nuna umiak Abragkak Harán pujau nuwi juwaki weuwai. Abram Canaán nugkanum weuwa nunak setenta y cinco mijanji ajujakui 
GEN.12.5	Nunik weak niina nuwe Sarain, nuigtu niina yachi uchijin Lotan ayauwai. Nunik shimuinak ashí ditá wajiji aidaunak tagkuji aidaujai yajuakajui. Tuja aents inataiji aidau Harágnumia sumakbau aidaunashkam yajuakui. Nunik wea weakua Canaán nugkanum jegauwai. 
GEN.12.6	Nunik jegaa, nuwi juwaki tikich nugkan amaka nagkagag wea weakua yaakat Siquemnum jegaa Moré tutainum numi encina ayaunum amamak, canaágnumia aents aidau batsatbaunmak niishkam nuwi pujusui. 
GEN.12.7	Nuwi pujaun Tuke Pujuu Abragkan wantintuk chichajak: “Amina uchijum wegantu aidaun juju nugkanak susagtinaitjai”, tiuwai.
GEN.12.7	Tusa tima Abram Tuke Pujuu emematku kuntin maa patasa apeatnun kaya ekenag najanauwai, wagki nuwi Tuke Pujuu wantintukbau asa.
GEN.12.8	Nuwi juwaki muja tepaju yaakat Betel
GEN.12.9	Nunik nuwi pujau Néguev nugkanum wegak aakjin tegaja yajuak, diipas jintá kanag waja wajakua weuwai.
GEN.12.10	Nunú tsawantin ashí nugkanum senchi yapajut tepeauwai. Nuadui Abram niina patayi aidaujai Egipto nugkanum pujustatus weuwai, wagki nii pujamunmag makichik yumainkesh shiig atsau asamtai. 
GEN.12.11	Egipto nugkanum jegattak wesa, Abram niina nuwe Sarain chichajak: “Antukta nijah, amek nuwauch shigmauchitam nunak wika shiig dekajai, 
GEN.12.12	nuadui egiptunmaya aents waipakag chichainak: ‘Juka nuwak juna nuwegai’ tusag, mina mantuinak aminak jujamain ainawai. 
GEN.12.13	Nuadui amina inimpainakuish, wait aneasam mina ubajui tujutta, amina shigmatjumin mina mantuawainum, wisha utugchat atsaunum jegatjai”, tiuwai.
GEN.12.14	Tusa Egipto nugkanum jegawagmatai, nuwiya aents aidau Sarai shigmauch wajaknun wainkajui. 
GEN.12.15	Antsag faraógkan atuwe aidaushkam wainkajui, nunik nuwa shigmauch tae tusa faraógkan ujakagtatus wejiajui. Dutika ujakag nuadui Sarain jukiajui faraógka jeen.
GEN.12.16	Sarai shigmauch asamtai, faraón wakejuk juwak Abragkan shiig awagmakui. Dutikak susauwai uwig aidaun, baka aidaun, burro aidaun, camello aidaunashkam, tuja nuigtushkam inak aishmag aidaun nuwa aidaujai susauwai. 
GEN.12.17	Tujash Sarai jukimunum Apajuí faraógkan ashí niina patayi aidaujai suwimkan suwak, jata ishamainun ajunjauwai. 
GEN.12.18	Dutikam waitiak, faraón Abragkan untsuka itan chichajak: “¿Wagka minash jusha jutijuaume? ¿Wagka juju nuwa jusha mina duwajui tusamesh tujutchamume? 
GEN.12.19	Ame chichaakum mina ubajui tichamkum, tau asamin wi jukin nuwatmain awajkashjak. Jujuwai nuwemek, ¡Juju jukim wamak wetá!” tiuwai. 
GEN.12.20	Nuna aatus tusa faraón
GEN.13.1	Abram niina nuwejai Egipto nugkanum pujau Néguev nugkanum wakitkiuwai. Nuwi weak ashí niina wajijinak yajuak weuwai. Nunik weak niina yachi uchijin Lotan ayauwai. 
GEN.13.2	Abragkak shiig wiakuch aajakui. Niinak ajujakui oro, jiju plata tutai najanamu aidau, tuja nuigtushkam niina tagkuji aidauk ¡shiig kuashat! ajujakui. 
GEN.13.3	Néguev pujau wakitki diipas jintá kanag waja wajakua jegauwai yaakat Betelnum. Tuja nuwi juwaki yaunchuk nii pujujakbau yaakat Betelan nagkaiki, yaakat Hai tawa nuwi jegatsuk ejapeen aajakua nuwi weuwai. 
GEN.13.4	Nunú nugkanum yaunchuk Abram Apajuín emematak kuntin maa patasa apeatnun altaran najanauwai. Nuwi Apajuí daajin adaitus segauwai.
GEN.13.5	Tuja Lotchakam antsag shiig wiakuch aajakui. Niina apaji yachi Abragjai betek ¡shiig kuashat! uwigji, bakajishkam imanisag, tuja niina inake aidaushkam ¡shiig kuashat! ajujakui. 
