GEN.1.1	Ekuqalekeni uThixo wadala amazulu nehlabathi.
GEN.8.5	Amanzi amana ewutha, kwada kwayinyanga yeshumi; ngeyeshumi ke, 
GEN.8.6	Kwathi, ekupheleni kwemihla emashumi mané, wayivula uNowa ifestile yomkhombe abeyenzile; 
GEN.8.7	wathuma ihlungulu, laphuma lamana lizulazula, ada atsha amanzi ehlabathini. 
GEN.8.8	Wasusa ihobe, ukuze abone ukuba amanzi awuthile na phezu kwehlabathi. 
GEN.8.9	Ihobe alifumanaga ndawo yakuphumza nentende yethupha lalo, labuyela kuye emkhombeni, ngokuba amanzi abephezu kwehlabathi lonke; wolula isandla sakhe, walithabatha, walingenisa kuye emkhombeni. 
GEN.8.10	Walinda eminye imihla esixhenxe, waphinda walisusa ihobe emkhombeni. 
GEN.8.11	Leza kuye ihobe ngexesha langokuhlwa; nanko, kukho igqabi lomnquma elisandula ukukhiwa emlonyeni walo; wazi uNowa, ukuba ehlile amanzi ehlabathini. 
GEN.8.12	Walinda eminye imihla ekwasixhenxe, walisusa ihobe; aliphindanga libuyele kuye kanjalo.
GEN.8.13	Kwathi, ngomnyaka wamakhulu omathandathu anamnye, ngolokuqala enyangeni yokuqala, amanzi atsha ehlabathini; uNowa walususa uphahla lomkhombe; wakhangela, nango umhlaba womile. 
GEN.8.14	Ngenyanga yesibini, ngosuku lwamashumi omabini anesixhenxe enyangeni leyo, woma kwaphela umhlaba.
GEN.8.15	Wathetha uThixo kuNowa, esithi, 
GEN.8.16	Phuma emkhombeni, wena nomkakho, noonyana bakho, nabafazi boonyana bakho, ndawonye nawe. 
GEN.8.17	Zonke izinto eziphilileyo ezikuwe, kwinyama yonke, ezintakeni, nasezintweni ezizitho ziné, nasezinambuzaneni zonke ezinambuzelayo emhlabeni, phuma nazo, zizalìse ihlabathi, ziqhame, zande ehlabathini.
GEN.8.18	Waphuma ke uNowa, noonyana bakhe, nomkakhe, nabafazi boonyana bakhe, ndawonye naye. 
GEN.8.19	Zonke izinto eziphilileyo, zonke izinambuzane, neentaka zonke, iinto zonke ezinambuzelayo emhlabeni, ngeentlobo zazo, zaphuma emkhombeni.
GEN.8.20	UNowa wamakhela uYehova isibingelelo, wathabatha kwizinto zonke ezizitho ziné ezihlambulukileyo, nakwiintaka zonke ezihlambulukileyo, wanyusa amadini anyukayo esibingelelweni eso. 
GEN.8.21	UThixo weva ivumba elithozamisayo, wathi uYehova entliziyweni yakhe, Andisayi kuphinda ndilitshabhise ihlabathi ngenxa yomntu, ngokuba ukuyila kwentliziyo yomntu kubi kwasebutsheni bakhe; andisayi kuphinda ndizibhubhise zonke izinto eziphilileyo, njengoko ndenzé ngako. 
GEN.8.22	Kuthabathela apha, ngayo yonke imihla yehlabathi, akuyi kuphela ukuhlwayela nokuvuna, ukubanda nobushushu, ihlobo nobusika, imini nobusuku.
GEN.9.1	UThixo wamsikelela uNowa noonyana bakhe, wathi kubo, Qhamani, nande, nizalise ihlabathi. 
GEN.9.2	Ukoyikeka kwenu, nokuqhiphula kwenu umbilini, makube phezu kwezinto zonke eziphilileyo zomhlaba, naphezu kweentaka zonke zezulu, nakwiinto zonke ezinambuzelayo emhlabeni, nakwiintlanzi zonke zolwandle; zona zinikélwe esandleni senu. 
GEN.9.3	Zonke izinambuzane eziphilileyo mazibe kukudla kuni; njengomfuno oluhlaza, ndininikile oko konke. 
GEN.9.4	Yinyama yodwa enomphefumlo wayo, enegazi layo, eningasayi kuyidla. 
GEN.9.5	Ligazi lenu lodwa, imiphefumlo yenu ke, endiya kulibiza; esandleni sezinto zonke eziphilileyo ndiya kulibiza, nasesandleni somntu; esandleni salowo ungumzalwana wakhe, ndiya kuwubiza umphefumlo womntu. 
GEN.9.6	Ophalaza igazi lomntu, igazi lakhe lophalazwa ngumntu, ngokuba umntu wênziwa ngokomfanekiselo kaThixo. 
GEN.9.7	Nina ke, qhamani nande, nilizalise ihlabathi, nande kulo.
GEN.9.8	Watsho uThixo kuNowa, nakoonyana bakhe ndawonye naye, ukuthi, 
GEN.9.9	Yabonani, mna ndiyawumisa umnqophiso wam nani, nembewu yenu emva kwenu, 
GEN.9.10	nayo yonke imiphefumlo ephilileyo ekuni, kwiintaka, nakwizinto ezizitho ziné, nakwizinto zonke eziphilileyo zehlabathi ezikuni; kwiinto zonke eziphume emkhombeni, ezizizinto zonke eziphilileyo zehlabathi. 
GEN.9.11	Ndiwumisé umnqophiso wam nani, ukuba ingabi sanqunyulwa yonke inyama ngamanzi onogumbe, kungabi sabakho nogumbe wokulonakalisa ihlabathi. 
GEN.9.12	Wathi uThixo, Nguwo lo umqondiso womnqophiso endiwubekayo phakathi kwam nani, nayo yonke imiphefumlo ephilileyo ekuni, kuse kwizizukulwana zasephakadeni: 
GEN.9.13	umnyàma wam ndiwubeké efini, ukuba ube ngumqondiso womnqophiso ophakathi kwam nehlabathi. 
GEN.9.14	Kothi, ndakuwusibekelisa ngelifu umhlaba, ubonakale umnyàma lowo efini; 
GEN.9.15	ndiwukhùmbule umnqophiso wam ophakathi kwam nani, nayo yonke imiphefumlo ephilileyo enyameni yonke, angabi sabakho amanzi onogumbe okonakalisa inyama yonke. 
GEN.9.16	Umnyàma woba semafini ke, ndiwukhàngele, ndikhumbule umnqophiso ongunaphakade phakathi koThixo nayo yonke imiphefumlo ephilileyo, enyameni yonke esehlabathini. 
GEN.9.17	Wathi uThixo kuNowa, Nguwo lowo umqondiso womnqophiso endiwumisileyo phakathi kwam nayo yonke inyama esehlabathini.
GEN.9.18	Ke kaloku oonyana bakaNowa, ábaphuma emkhombeni, babengooShem, noHam, noYafete; uHam ke nguyise kaKanan. 
GEN.9.19	Aba bathathu ngoonyana bakaNowa; balizaza ihlabathi lonke.
GEN.9.20	UNowa wathi, engumlimi womhlaba, waqala watyala isidiliya. 
GEN.9.21	Wasela iwayini, wanxila, wazihluba phakathi kwentente yakhe. 
GEN.9.22	UHam, uyise kaKanan, wabubona ubuzé bukayise, waxelela abakhuluwa bakhe bobabini ngaphandle. 
GEN.9.23	UShem noYafete bathabatha ingubo, bayibeka emagxeni abo bobabini, baya ngomva, babugubungela ubuzé bukayise. 
GEN.9.24	Wavuka uNowa ewayinini yakhe, wakwazi akwenzileyo unyana wakhe omnci kuye. 
GEN.9.25	Wathi,
GEN.9.25	Makaqalekiswe uKanan,
GEN.9.25	Abe sisicaka sezicaka kubazalwana bakhe.
GEN.9.26	Wathi,
GEN.9.26	Makabongwe uYehova uThixo kaShem,
GEN.9.26	UKanan abe sisicaka kubo.
GEN.9.27	UThixo makamvulele uYafete,
GEN.9.27	Ahlale ezintenteni zikaShem,
GEN.9.27	UKanan abe sisicaka kubo.
GEN.9.28	Wahlala uNowa emveni konogumbe iminyaka emakhulu mathathu anamanci mahlanu. 
GEN.9.29	Yonke imihla kaNowa yaba yiminyaka emakhulu asithoba anamanci mahlanu; wafa ke.
GEN.10.1	Yiyo le ke inzala yoonyana bakaNowa: uShem, noHam, noYafete. Bazalelwa oonyana emveni konogumbe.
GEN.10.2	Oonyana bakaYafete nguGomere, noMagogi, noMadayi, noYavan,* noTubhali, noMesheki, noTirasi. 
GEN.10.3	Oonyana bakaGomere nguAshekenazi, noRifati, noTogarma. 
GEN.10.4	Oonyana bakaYavan nguElisha, noTarshishe, ngamaKiti namaDodan. 
GEN.10.5	Zadabuka kubo abo iziqithi zeentlanga emazweni, lwaolo ngokolwimi lwalo, ngokwesizwe salo ezintlangeni zazo.
GEN.10.6	Oonyana bakaHam nguKushi,* noMitserayim,* noPuti, noKanan. 
GEN.10.7	Oonyana bakaKushi nguSebha, noHavila, noSebheta, noRama, noSabheteka; oonyana bakaRama nguShebha noDedan.
GEN.10.8	UKushi wazala uNimrodi; yena waqala waba ligorha ehlabathini. 
GEN.10.9	Yena waba ligorha lezingela phambi koYehova; ngenxa yoko kwathiwa, NjengoNimrodi, igorha lezingela phambi koYehova. 
GEN.10.10	Ukuqala kobukumkani bakhe yiBhabheli, ne-Ereki, ne-Akadi, neKalene, ezweni leShinare. 
GEN.10.11	Kulo elo zwe waphuma waya kwelaseAsiriya, wákha iNineve neRehobhotire nomzi weKala, 
GEN.10.12	neRezen, phakathi kweNineve neKala; nguloo mzi mkhulu ke lowo. 
GEN.10.13	UMitzerayim wazala amaLudi, nama-Anam, namaLehabhi, namaNafetuyi, 
GEN.10.14	namaPatrusi, namaKaseluyi, apho kwaphuma khona amaFilisti namaKafetori.
GEN.10.15	UKanan wazala uTsidon, owamazibulo wakhe, 
GEN.10.16	noHeti, namaYebhusi, nama-Amori, namaGirgashi, 
GEN.10.17	namaHivi, nama-Areki, namaSin, nama-Arvadi, 
GEN.10.18	namaTsemari, namaHamati; emveni koko zaphangalala izizwe zamaKanan. 
GEN.10.19	Umda wamaKanan wathabathela eTsidon, wasinga eGerare, wasa eGaza; wasinga eSodom, neGomora, neAdama, neTsebhoyim, wasa eLasha. 
GEN.10.20	Ngabo abo oonyana bakaHam, ngokwezizwe zabo, ngokweelwimi zabo, emazweni abo, ezintlangeni zabo.
GEN.10.21	UShem wazalelwa naye; unguyise wabo bonke oonyana bakaEbhere, ungumzalwana omkhulu kaYafete. 
GEN.10.22	Oonyana bakaShem nguElam, noAsuri, noArpakishadi, noLudi, noAram. 
GEN.10.23	Oonyana baka-Aram ngu-Utse, noHuli, noGetere, noMashi. 
GEN.10.24	UArpakishadi wazala uShela, uShela wazala uEbhere. 
GEN.10.25	UEbhere wazalelwa oonyana bababini; igama lomnye belinguPelege,* ngokuba ngemihla yakhe bahlukahluka abemi behlabathi; igama lomninawa wakhe belinguYoketan. 
GEN.10.26	UYoketan wazala uAlemodadi, noShelefe, noHatsaremavete, noYera, 
GEN.10.27	noHadoram, noUzali, noDikela, 
GEN.10.28	no-Obhali, noAbhimayeli, noShebha, 
GEN.10.29	no-Ofire, noHavila, noYobhabhi; bonke abo bangoonyana bakaYoketan. 
GEN.10.30	Ukuma kwabo kwathabathela eMesha, kwasinga eZefara, intaba yasempumalanga. 
GEN.10.31	Ngabo abo oonyana bakaShem ngokwezizwe zabo, ngokweelwimi zabo, emazweni abo, ngokweentlanga zabo.
GEN.10.32	Zizo ezo izizwe zoonyana bakaNowa, ngokweenzalo zabo, ezintlangeni zabo; zadabuka kubo abo iintlanga ehlabathini emveni konogumbe.
GEN.11.1	Ke kaloku lonke ihlabathi libe lintetho-nye, limazwi manye. 
GEN.11.2	Kwathi, ekundulukeni kwabo besinga empumalanga, bafumana ithafa ezweni laseShinare; bahlala khona. Bathi abanye kwabanye, Yizani, senze izitena, sizitshise kunene. 
GEN.11.3	Baba nezitena endaweni yamatye, nebhitumene* endaweni yodaka. 
GEN.11.4	Bathi, Yizani, sizakhele umzi, nepoma lenqaba elincopho isemazulwini; sizenzele igama, hleze sichithakalele ehlabathini lonke.
GEN.11.5	UYehova wehla, eza kukhangela umzi lowo, nenqaba leyo inde, bayakhayo oonyana boluntu. 
GEN.11.6	Wathi uYehova, Yabona, abantu banye, bantetho-nye bonke bephela; yingqalo ke le yokwenza kwabo; kaloku abayi kunqatyelwa nto bayinkqangiyeleyo ukuyenza. 
GEN.11.7	Yizani, sihle, sidube khona apho intetho yabo, ngokokuze bangevani ngentetho. 
GEN.11.8	UYehova wabachithachitha kwalapho ehlabathini lonke; bayeka ukuwakha loo mzi. 
GEN.11.9	Ngenxa yoko kwathiwa igama lawo yiBhabheli;* ngokuba uYehova wayiduba khona apho intetho yehlabathi lonke, wabachithachitha kwalapho uYehova ehlabathini lonke.
GEN.11.10	Yiyo le ke inzala kaShem: uShem ubeminyaka ilikhulu ezelwe, wazala uArpakishadi, iminyaka emibini emveni konogumbe. 
GEN.11.11	UShem wahlala emveni kokuzala kwakhe uArpakishadi iminyaka emakhulu mahlanu, wazala oonyana neentombi.
GEN.11.12	UArpakishadi wahlala iminyaka emashumi mathathu anamihlanu, wazala uShela. 
GEN.11.13	UArpakishadi wahlala emveni kokuzala kwakhe uShela iminyaka emakhulu mané anamathathu, wazala oonyana neentombi.
GEN.11.14	UShela wahlala iminyaka emashumi mathathu, wazala uEbhere. 
GEN.11.15	UShela wahlala emveni kokuzala kwakhe uEbhere iminyaka emakhulu mané anamithathu, wazala oonyana neentombi.
GEN.11.16	UEbhere wahlala iminyaka emashumi mathathu anaminé, wazala uPelege. 
GEN.11.17	UEbhere wahlala emveni kokuzala kwakhe uPelege iminyaka emakhulu mané anamanci mathathu, wazala oonyana neentombi.
GEN.11.18	UPelege wahlala iminyaka emashumi mathathu, wazala uRehu. 
GEN.11.19	UPelege wahlala emveni kokuzala kwakhe uRehu iminyaka emakhulu mabini anesithoba, wazala oonyana neentombi.
GEN.11.20	URehu wahlala iminyaka emashumi mathathu anamibini, wazala uSerugi. 
GEN.11.21	URehu wahlala emveni kokuzala kwakhe uSerugi iminyaka emakhulu mabini anesixhenxe, wazala oonyana neentombi.
GEN.11.22	USerugi wahlala iminyaka emashumi mathathu, wazala uNahore. 
GEN.11.23	USerugi wahlala emveni kokuzala kwakhe uNahore iminyaka emakhulu mabini, wazala oonyana neentombi.
GEN.11.24	UNahore wahlala iminyaka emashumi mabini anesithoba, wazala uTera. 
GEN.11.25	UNahore wahlala emveni kokuzala kwakhe uTera iminyaka elikhulu elinashumi-nye linesithoba, wazala oonyana neentombi.
GEN.11.26	UTera wahlala iminyaka emashumi asixhenxe, wazala uAbram, noNahore, noHaran.
GEN.11.27	Yiyo le ke inzala kaTera: uTera wazala uAbram, noNahore, noHaran; uHaran wazala uLote. 
GEN.11.28	Wafa uHaran esekho uTera uyise, ezweni lokuzalwa kwakhe, eUre yamaKaledi. 
GEN.11.29	UAbram noNahore bazeka abafazi; igama lomka-Abram lalinguSarayi; igama lomkaNahore lalinguMilka, intombi kaHaran, usoMilka, usoYiska. 
GEN.11.30	USarayi ebengazali, engenamntwana.
GEN.11.31	UTera wamthabatha uAbram, unyana wakhe, noLote unyana kaHaran, unyana wonyana wakhe, noSarayi umolokazana wakhe, umka-Abram unyana wakhe, baphuma nabo eUre yamaKaledi, besiya ezweni lakwaKanan; bafika kwelakwaHaran, bahlala khona. 
GEN.11.32	Imihla kaTera yaba yiminyaka emakhulu mabini anamihlanu; wafa uTera kwelakwaHaran.
GEN.12.1	Ke kaloku uYehova wathi kuAbram, Hamba, umke ezweni lakowenu, kwelokuzalwa kwakho, nasendiwini kayihlo, uye ezweni endokubonisa lona; 
GEN.12.2	ndikwènze uhlanga olukhulu, ndikusikelele, ndilikhulise igama lakho, ube yintsikelelo; 
GEN.12.3	ndibasikèlele abakusikelelayo, ndimtshabhise okuqalekisayo; zisikeleleke ngawe zonke izizwe zehlabathi.
GEN.12.4	Wahamba uAbram njengoko wathethayo uYehova kuye; wahamba naye uLote. UAbram ubeminyaka imashumi asixhenxe anamihlanu ezelwe, ukuphuma kwakhe kwelakwaHaran. 
GEN.12.5	UAbram wathabatha uSarayi umkakhe, noLote unyana womninawa wakhe, nengqwebo yabo yonke ababeyiqwebile, nabantu ababebafumene kwelakwaHaran; baphuma ke besiya ezweni lakwaKanan, bafika ke ezweni lakwaKanan. 
GEN.12.6	UAbram wacanda ilizwe, wada waya kwindawo enoShekem, wada waya eMokini* kaMore. AmaKanan abekho ngelo xesha kulo ilizwe. 
GEN.12.7	UYehova wabonakala kuAbram, wathi, Imbewu yakho ndiya kuyinika eli lizwe. Wamakhela khona isibingelelo uYehova, owabonakalayo kuye. 
GEN.12.8	Wesuka khona waya entabeni ngasempumalanga, eBheteli, wayitwabulula intente yakhe, iBheteli ingasentshonalanga, iAyi ingasempumalanga; wamakhela khona isibingelelo uYehova, wanqula igama likaYehova. 
GEN.12.9	Wanduluka uAbram, ehamba encothula, esinga kwelasezantsi.
GEN.12.10	Kwabakho indlala ezweni. Wehla uAbraham waya eYiputa, ukuze aphambukele khona; ngokuba indlala ibinzima elizweni.
GEN.12.11	Kwathi, akusondela ukuba angene eYiputa, wathi kuSarayi umkakhe, Uyabona ke, ndiyazi ukuba ungumfazi omhle imbonakalo. 
GEN.12.12	Kothi ke, akukubona amaYiputa, athi, Ngumkakhe lo; andibulale, akuyeke wena udle ubomi. 
GEN.12.13	Ùze uthi, ùngudade wethu wena; ukuze kulunge kum ngenxa yakho, umphefumlo wam udle ubomi ngenxa enawe.
GEN.12.14	Kwathi, akufika uAbram eYiputa, ambona amaYiputa umfazi ukuba uyinzwakazi. 
GEN.12.15	Bambona abathetheli bakaFaro, bamdumisa kuFaro; umfazi wasiwa endlwini kaFaro. 
GEN.12.16	Wamphatha ngokulungileyo uAbram ngenxa yakhe; wanempahla emfutshane, neenkomo, namaesile, nabakhonzi, nabakhonzazana, neemazi zamaesile, neenkamela. 
GEN.12.17	UYehova wambetha uFaro nendlu yakhe ngezibetho ezikhulu ngenxa kaSarayi, umka-Abram. 
GEN.12.18	UFaro wambiza uAbram wathi, Yintoni na le uyenzileyo kum? Yini na ukuba ungandixeleli ukuba ngumkakho? 
GEN.12.19	Yini na ukuba uthi, ngudade wenu? Ndamthabatha ukuba abe ngumfazi wam. Ngoku ke nanko umkakho, mthabathe uhambe. 
GEN.12.20	UFaro wawawisela umthetho amadoda ngaye; amkhapha yena nomkakhe, nezinto zakhe zonke.
GEN.13.1	Wenyuka uAbram, ephuma eYiputa, yena nomkakhe, neento zakhe zonke, enoLote, esinga kwelasezantsi.
GEN.13.2	UAbram waye esisityebi kunene ngemfuyo, nangesilivere, nangegolide. 
GEN.13.3	Wahamba encothula, esuka kwelasezantsi, wafika eBheteli, kuloo ndawo yayikhona intente yakhe matanci, phakathi kweBheteli neAyi, 
GEN.13.4	endaweni yesibingelelo awasenzayo khona ekuqaleni. UAbram walinqula khona igama likaYehova. 
GEN.13.5	Naye uLote, obehamba noAbram, waye enempahla emfutshane, neenkomo, neentente. 
GEN.13.6	Ilizwe elo alaba nakubathwala, ukuba bahlale ndawonye; ngokuba impahla yabo yayininzi, ababa nakuhlala ndawonye. 
GEN.13.7	Kwabakho ukubambana phakathi kwabalusi bemfuyo ka-Abram nabalusi bemfuyo kaLote. Ngelo xesha ilizwe lalimiwe ngamaKanan namaPerizi.
GEN.13.8	UAbram wathi kuLote, Makungabikho mbambano kaloku phakathi kwam nawe, naphakathi kwabalusi bam nabalusi bakho; ngokuba singamadoda azalanayo. 
GEN.13.9	Àliphambi kwakho na ilizwe lonke? Khawahluke kum; ukuba uya ekhohlo, ndoya ekunene, ukuba uya ekunene, ndoya ekhohlo. 
GEN.13.10	ULote waphakamisa amehlo akhe, wawukhangela wonke ummandla waseYordan, ngokuba ubunamanzi wonke, engekayonakalisi uYehova iSodom neGomora, unjengomyezo kaYehova, unjengelizwe laseYiputa, usingise eTsohare. 
GEN.13.11	ULote wawunyula wonke ummandla waseYordan; wanduluka uLote waya ngasempumalanga; bahlukana ke. 
GEN.13.12	UAbram wahlala ezweni lakwaKanan; uLote wahlala emizini yaloo mmandla, wayisondezela eSodom intente yakhe. 
GEN.13.13	Ke kaloku amadoda aseSodom ayengabenzi bobubi, engaboni abakhulu kuYehova.
GEN.13.14	Wathi uYehova kuAbram, emveni kokuba uLote ahlukane naye, Khawuwaphakamise amehlo akho ukuloo ndawo ukuyo, ubhekise entla, nasezantsi, nasempumalanga, nasentshonalanga; 
GEN.13.15	ngokuba lonke ilizwe olibonayo ndiya kulinika wena, nembewu yakho, kude kuse ephakadeni; 
GEN.13.16	ndiyènze imbewu yakho ibe njengothuli lomhlaba, angáthi ubani enako ukulubala uthuli lomhlaba, ayibale nembewu yakho. 
GEN.13.17	Suka, ulihambe ilizwe ngobude balo nangobubanzi balo; ngokuba ndiya kulinika wena.
GEN.13.18	Wancothula uAbram intente yakhe, waya wahlala ngaseMiokini* kaMamre eseHebron, wakhela khona uYehova isibingelelo.
GEN.14.1	Kwathi ngemihla ka-Amrafele ukumkani waseShinare, noAriyoki ukumkani wase-Elazare, noKedorlahomere ukumkani wakwaElam, noTidali ukumkani wamaGoyi,* 
GEN.14.2	benza imfazwe noBhera ukumkani waseSodom, noBhirsha ukumkani waseGomora, noShinabhi ukumkani waseAdama, noShemebhere ukumkani waseTsebhoyim, nokumkani waseBhela, eyiTsohare. 
GEN.14.3	Bonke abo baqukana entilini yaseSidim, eluLwandle lweTyuwa. 
GEN.14.4	Iminyaka elishumi elinamibini bakhonza uKedorlahomere, bathi ngomnyaka weshumi elinantathu bagwilika. 
GEN.14.5	Ngomnyaka weshumi elinaminé weza uKedorlahomere nookumkani ababanaye, bawatshabalalisa amaRafa eAshtaroti-karnayim, namaZuzi eHam, namaEma ethafeni laseKiriyatayim, 
GEN.14.6	namaHori entabeni yawo yakwaSehire, kwasà kwiElparan, engasentlango. 
GEN.14.7	Bajika, beza e-En-mishpati eyiKadeshe, balitshabalalisa lonke ilizwe lakwa-Amaleki, nama-Amori abehleli eHatsetson-tamare. 
GEN.14.8	Waphuma ukumkani waseSodom, nokumkani waseGomora, nokumkani waseAdama, nokumkani waseTsebhoyim, nokumkani waseBhela, eyiTsohare, bakha uluhlu lokulwa nabo entilini yaseSidim; 
GEN.14.9	noKedorlahomere ukumkani wakwaElam, noTidali ukumkani wamaGoyi, noAmrafele ukumkani waseShinare, noAriyoki ukumkani wase-Elazare: ookumkani abahlanu balwa nabané.
GEN.14.10	Ke intili yaseSidim yaye iyimingxuma yodwa yebhitumene;* basaba ookumkani, owaseSodom, nowaseGomora, beyela khona, amasalela asabela entabeni. 
GEN.14.11	Bayithabatha yonke impahla yaseSodom, neGomora, nako konke ukudla kwabo, bemka. 
GEN.14.12	Bamthabatha noLote, nempahla yakhe, unyana womninawa ka-Abram, bemka; kuba wayehleli eSodom.
GEN.14.13	Wafika osindileyo, waxelela uAbram, umHebhere; yena ebehleli eMiokini* kaMamre umAmori, umzalwana kaEshkoli, nomzalwana ka-Anere; bona ke bebengamanqophisana noAbram. 
GEN.14.14	Weva ke uAbram, ukuba uthinjiwe umzalwana wakhe, wawaphalaza 
GEN.14.15	Wawahlulahlula, wabawela ebusuku, yena nabakhonzi bakhe, wabagxotha, wabasukela wasa eHobha, engasekhohlo kweDamasko. 
GEN.14.16	Wazibuyisa zonke iimpahla, kwanoLote umzalwana wakhe, wazibuyisa neempahla zakhe, kwanabafazi nabantu.
GEN.14.17	Waphuma ukumkani waseSodom, esiya kumkhawulela ekubuyeni kwakhe ekutshabalaliseni uKedorlahomere, nookumkani ebabenaye, entilini yeShave, eyintili yookumkani.
GEN.14.18	UMelkitsedeke,* umkukani waseSalem, waphuma enesonka newayini; ubengumbingeleli kaThixo Osenyangweni. 
GEN.14.19	Wamsikelela wathi, Makasikelelwe uAbram nguThixo Osenyangweni, uMninimazulu nehlabathi! 
GEN.14.20	Makabongwe uThixo Osenyangweni obanikeleyo ababandezeli bakho esandleni sakho. UAbram wamnika isishumi seento zonke.
GEN.14.21	Wathi ukumkani waseSodom, kuAbram, Ndínike abantu, uthabathe impahla. 
GEN.14.22	Wathi uAbram kukumkani waseSodom, Isandla sam ndisiphakamisele kuYehova uThixo Osenyangweni, 
GEN.14.23	uMninimazulu nehlabathi, ukuba andiyi kuthabatha nosinga, nokuba ngumtya wembadada, ukuba andiyi kuthabatha kuko konke okwakho; ukuze ungàtsho ukuthi, Mna ndimtyebisile uAbram. 
GEN.14.24	Makungabikho nto iyeyam, kuphela ibe yile nto idliweyo ngabafana, nesabelo samadoda abehamba nam, uAnere, noEshkoli, noMamre; wona makasithabathe isabelo sawo.
GEN.15.1	Emveni kwezo zinto, lafika ilizwi likaYehova kuAbram ngombono, lisithi, Musa ukoyika, Abram; ndiyingweletshetshe yakho, umvuzo wakho omkhulu kunene. 
GEN.15.2	Wathi uAbram, Nkosi yam, Yehova, wondinika ntoni na? Ndihamba ndingenamntwana; indlamafa yendlu yam ngulo Eliyezere waseDamasko. 
GEN.15.3	Wathi uAbram, Yabona, akundinikanga mbewu; yabona, umntu ongowendlu yam uya kuba yindlamafa yam.
GEN.15.4	Nâlo ilizwi likaYehova lifika kuye, lisithi, Akayi kuba yindlamafa yakho lo; ngoya kuphuma ezibilini zakho, yena oya kuba yindlamafa yakho. 
GEN.15.5	Wamsa phandle, wathi, Khawubheke phezulu ezulwini, uzibale iinkwenkwezi, ukuba unokuzibala; wathi kuye, Iya kuba njalo ke imbewu yakho. 
GEN.15.6	Wakholwa kuYehova; oko wakubalela ebulungiseni kuye.
GEN.15.7	Wathi kuye, NdinguYehova owakukhuphayo eUre yamaKaledi, ukuba ndikunike eli lizwe, ulidle ilifa.
GEN.15.8	Wathi yena, Nkosi, Yehova, ndiya kwazi ngantoni na, ukuba ndiya kulidla ilifa? 
GEN.15.9	Wathi kuye, Ndíthabathele ithokazi eliminyaka mithathu, nemazi yebhokhwe eminyaka mithathu, nenkunzi yemvu eminyaka mithathu, nehobe, negobo levukuthu. 
GEN.15.10	Wamthabathela ke zonke ezo zinto, wazicanda kubini, wazibeka izahlulo, esinye sakhangelana nesinye; ke zona iintaka akazicanda. 
GEN.15.11	Ehla amaxhalanga phezu kwezidumbu, wawaphekuza uAbram.
GEN.15.12	Kwathi, xa litshonayo ilanga, efikelwe uAbram bubuthongo obukhulu, wabona efikelwa kukothuka nabubumnyama obukhulu. 
GEN.15.13	Wathi kuAbram, Yazi ke, ukuba imbewu yakho iya kuba ngumphambukeli ezweni elingelayo, ibakhonze abo, bayicinezele, iminyaka emakhulu mané. 
GEN.15.14	Kananjalo uhlanga eya kulukhonza ndiya kulugweba; emveni koko iya kuphuma ineempahla ezininzi. 
