GEN.1.1	La început Dumnezeu a creat cerul și pământul.
GEN.11.12	Și Arpacșad a trăit treizeci și cinci de ani și a născut pe Șelah;
GEN.11.13	Și Arpacșad a trăit, după ce a născut pe Șelah, patru sute trei ani; și a născut fii și fiice.
GEN.11.14	Și Șelah a trăit treizeci de ani și a născut pe Eber;
GEN.11.15	Și Șelah a trăit, după ce a născut pe Eber, patru sute trei ani; și a născut fii și fiice.
GEN.11.16	Și Eber a trăit treizeci și patru de ani și a născut pe Peleg;
GEN.11.17	Și Eber a trăit, după ce a născut pe Peleg, patru sute treizeci de ani; și a născut fii și fiice.
GEN.11.18	Și Peleg a trăit treizeci de ani și a născut pe Reu;
GEN.11.19	Și Peleg a trăit, după ce a născut pe Reu, două sute nouă ani; și a născut fii și fiice.
GEN.11.20	Și Reu a trăit treizeci și doi de ani și a născut pe Serug;
GEN.11.21	Și Reu a trăit, după ce a născut pe Serug, două sute șapte ani; și a născut fii și fiice.
GEN.11.22	Și Serug a trăit treizeci de ani și a născut pe Nahor;
GEN.11.23	Și Serug a trăit, după ce a născut pe Nahor; două sute de ani și a născut fii și fiice.
GEN.11.24	Și Nahor a trăit douăzeci și nouă de ani și a născut pe Terah;
GEN.11.25	Și Nahor a trăit, după ce a născut pe Terah, o sută nouăsprezece ani; și a născut fii și fiice.
GEN.11.26	Și Terah a trăit șaptezeci de ani și a născut pe Avram, Nahor și Haran.
GEN.11.27	Și acestea 
GEN.11.28	Și Haran a murit înaintea tatălui său, Terah, în țara nașterii sale, în Urul caldeilor.
GEN.11.29	Și Avram și Nahor și-au luat soții: numele soției lui Avram 
GEN.11.30	Dar Sarai era stearpă, ea nu 
GEN.11.31	Și Terah a luat pe Avram, fiul său, și pe Lot, fiul lui Haran, fiul fiului său, și pe Sarai, nora lui, soția fiului său, Avram, și a ieșit împreună cu ei din Urul caldeilor, ca să meargă în țara lui Canaan; și au venit la Haran și au locuit acolo.
GEN.11.32	Și zilele lui Terah au fost două sute cinci ani; și Terah a murit în Haran.
GEN.12.1	Și DOMNUL îi spusese lui Avram: Ieși din țara ta și din rudenia ta și din casa tatălui tău, spre o țară pe care ți-o voi arăta;
GEN.12.2	Și voi face din tine o mare națiune și te voi binecuvânta și voi face numele tău mare și vei fi o binecuvântare;
GEN.12.3	Și voi binecuvânta pe cel ce te binecuvântează și voi blestema pe cel ce te blestemă și în tine toate familiile pământului vor fi binecuvântate.
GEN.12.4	Astfel Avram a ieșit, cum îi spusese DOMNUL, și Lot a mers cu el; și Avram 
GEN.12.5	Și Avram a luat pe Sarai, soția lui, și pe Lot, fiul fratelui său și toată averea pe care au adunat-o și sufletele pe care le-au obținut în Haran și au ieșit să meargă în țara lui Canaan și au venit în țara lui Canaan.
GEN.12.6	Și Avram a trecut prin țară până la locul din Sihem, la câmpia lui More. Și canaanitul 
GEN.12.7	Și DOMNUL i s-a arătat lui Avram și a spus: Seminței tale voi da această țară; și acolo a zidit un altar DOMNULUI, care i s-a arătat.
GEN.12.8	Și el s-a mutat de acolo la un munte, la est de Betel, și și-a întins cortul, 
GEN.12.9	Și Avram a călătorit, mergând tot spre sud.
GEN.12.10	Și a fost o foamete în țară și Avram a coborât în Egipt să locuiască temporar acolo, pentru că foametea 
GEN.12.11	Și s-a întâmplat, când s-a apropiat să intre în Egipt, că el i-a spus Sarei, soția lui: Acum iată, știu că 
GEN.12.12	De aceea se va întâmpla, când egiptenii te vor vedea, că vor spune: Aceasta 
GEN.12.13	Spune, te rog, 
GEN.12.14	Și s-a întâmplat, pe când Avram a ajuns în Egipt, că egiptenii au văzut că femeia 
GEN.12.15	Prinții lui Faraon de asemenea au văzut-o și au lăudat-o înaintea lui Faraon; și femeia a fost luată în casa lui Faraon.
GEN.12.16	Și l-a tratat bine pe Avram din cauza ei și avea oi și boi și catâri și servitori și servitoare și măgărițe și cămile.
GEN.12.17	Și DOMNUL a lovit cu plăgi pe Faraon și casa lui, cu plăgi mari din cauza lui Sarai, soția lui Avram.
GEN.12.18	Și Faraon a chemat pe Avram și a spus: Ce 
GEN.12.19	De ce ai spus: Ea 
GEN.12.20	Și Faraon a poruncit oamenilor 
GEN.13.1	Și Avram a urcat din Egipt, el și soția lui și tot ce avea, și Lot 
GEN.13.2	Și Avram 
GEN.13.3	Și a mers în călătoriile lui din sud chiar până la Betel, până la locul unde fusese cortul său la început, între Betel și Hai;
GEN.13.4	Până la locul altarului, pe care l-a făcut acolo la început; și acolo Avram a chemat numele DOMNULUI.
GEN.13.5	Și de asemenea Lot, care a mers cu Avram, avea turme și cirezi și corturi.
GEN.13.6	Și țara nu era în stare să îi țină ca să poată locui împreună, pentru că averea lor era mare, astfel că nu puteau locui împreună.
GEN.13.7	Și a fost o ceartă între păzitorii vitelor lui Avram și păzitorii vitelor lui Lot; și canaanitul și perizitul locuiau pe atunci în țară.
GEN.13.8	Și Avram i-a spus lui Lot: Să nu fie ceartă, te rog, între mine și tine și între păzitorii mei și păzitorii tăi, pentru că 
GEN.13.9	Nu 
GEN.13.10	Și Lot și-a ridicat ochii și a privit toată câmpia Iordanului, că aceasta 
GEN.13.11	Atunci Lot a ales pentru el toată câmpia Iordanului; și Lot a călătorit spre est; și ei s-au despărțit unul de celălalt.
GEN.13.12	Avram a locuit în țara lui Canaan și Lot a locuit în cetățile din câmpie și 
GEN.13.13	Dar oamenii din Sodoma erau peste măsură de stricați și păcătoși înaintea DOMNULUI.
GEN.13.14	Și DOMNUL i-a spus lui Avram, după ce s-a despărțit Lot de el: Ridică-ți acum ochii și privește din locul în care ești spre nord și spre sud și spre est și spre vest,
GEN.13.15	Pentru că tot pământul pe care îl vezi, ție ți-l voi da și seminței tale pentru totdeauna.
GEN.13.16	Și voi face sămânța ta ca țărâna pământului, astfel încât, dacă un om poate număra țărâna pământului, 
GEN.13.17	Ridică-te, umblă prin țară în lungimea acesteia și în lățimea ei, pentru că ție ți-o voi da.
GEN.13.18	Atunci Avram 
GEN.14.1	Și s-a întâmplat în zilele lui Amrafel, împărat al Șinarului, Arioc, împărat al Elasarului, Chedorlaomer, împărat al Elamului și Tidal, împărat al națiunilor,
GEN.14.3	Toți aceștia s-au adunat în valea Sidim, care este marea sărată.
GEN.14.4	Doisprezece ani au servit lui Chedorlaomer, și în al treisprezecelea an s-au răzvrătit.
GEN.14.5	Și în al paisprezecelea an a venit Chedorlaomer și împărații care 
GEN.14.6	Și pe horiți în muntele lor Seir, spre Elparan, care 
GEN.14.7	Și ei s-au întors și au venit la Enmișpat, care 
GEN.14.8	Și au ieșit împăratul Sodomei și împăratul Gomorei și împăratul Admei și împăratul Țeboimului și împăratul din Bela (care 
GEN.14.9	Cu Chedorlaomer, împăratul Elamului, și cu Tidal împăratul națiunilor, și Amrafel, împăratul Șinarului, și Arioc, împăratul Elasarului; patru împărați cu cinci.
GEN.14.10	Și valea Sidim 
GEN.14.11	Și au luat toate bunurile Sodomei și Gomorei și toate merindele lor și au plecat.
GEN.14.12	Și au luat pe Lot, fiul fratelui lui Avram, care locuia în Sodoma, și bunurile lui și au plecat.
GEN.14.13	Și a venit unul care scăpase și a spus lui Avram, evreul, căci locuia în câmpia lui Mamre amoritul, fratele lui Eșcol și fratele lui Aner; și aceștia 
GEN.14.14	Și când a auzit Avram că fratele său a fost luat captiv, a înarmat pe 
GEN.14.15	Și s-a împărțit împotriva lor, el și servitorii lui, noaptea, și i-a lovit și i-a urmărit până la Hoba, care 
GEN.14.16	Și a adus înapoi toate bunurile și de asemenea a adus înapoi pe fratele său, Lot, și bunurile lui și pe femei de asemenea și pe oameni.
GEN.14.17	Și împăratul Sodomei a ieșit să îl întâmpine după întoarcerea lui de la măcelul lui Chedorlaomer și a împăraților care 
GEN.14.18	Și Melchisedec, împăratul Salemului, a adus pâine și vin; și el 
GEN.14.19	Și l-a binecuvântat și a spus: Binecuvântat 
GEN.14.20	Și binecuvântat fie Dumnezeul cel preaînalt care a dat pe dușmanii tăi în mâna ta. Și 
GEN.14.21	Și împăratul Sodomei i-a spus lui Avram: Dă-mi oamenii și ia bunurile pentru tine.
GEN.14.22	Și Avram a spus împăratului Sodomei: Mi-am înălțat mâna spre DOMNUL, Dumnezeul cel preaînalt, stăpânul cerului și pământului,
GEN.14.23	Că nu voi 
GEN.14.24	În afară de ceea ce tinerii au mâncat și partea oamenilor care au fost cu mine, Aner, Eșcol și Mamre, lasă-i să își ia partea lor.
GEN.15.1	După aceste lucruri, cuvântul DOMNULUI a venit la Avram într-o viziune, spunând: Nu te teme Avrame, eu 
GEN.15.2	Și Avram a spus: Doamne DUMNEZEULE, ce îmi vei da, văzând că mă duc fără copii, iar administratorul casei mele 
GEN.15.3	Și Avram a spus: Iată, nu mi-ai dat nicio sămânță și, iată, unul născut în casa mea este moștenitorul meu.
GEN.15.4	Și, iată, cuvântul DOMNULUI 
GEN.15.5	Și l-a dus afară și a spus: Privește acum spre cer și numără stelele, dacă ești în stare să le numeri; și i-a spus: Astfel va fi sămânța ta.
GEN.15.6	Iar el a crezut în DOMNUL, iar 
GEN.15.7	Și i-a spus: Eu 
GEN.15.8	Iar el a spus: Doamne DUMNEZEULE, din ce voi ști că o voi moșteni?
GEN.15.9	Iar el i-a spus: Ia-mi o vițea de trei ani și o capră de trei ani și un berbec de trei ani și o turturea și un pui de porumbel.
GEN.15.10	Și a luat la el toate acestea și le-a despicat în două și a așezat fiecare bucată una în fața alteia, dar păsările nu le-a despicat.
GEN.15.11	Și când păsările de pradă au coborât peste stârvuri, Avram le-a alungat.
GEN.15.12	Și când soarele apunea, un somn adânc a căzut peste Avram și, iată, o groază a unui mare întuneric a căzut peste el.
GEN.15.13	Iar 
GEN.15.14	Și de asemenea pe acea națiune, căreia ei îi vor servi, o voi judeca; și după aceea vor ieși 
GEN.15.15	Iar tu vei merge la părinții tăi în pace și vei fi îngropat la o bătrânețe frumoasă.
GEN.15.16	Dar în a patra generație vor veni din nou aici, pentru că nelegiuirea amoriților nu 
GEN.15.17	Și s-a întâmplat, după ce soarele a apus și era întuneric, că iată, un cuptor fumegând și o lampă arzând au trecut printre acele bucăți.
GEN.15.18	În aceeași zi DOMNUL a făcut un legământ cu Avram, spunând: Seminței tale i-am dat această țară, de la râul Egiptului până la marele râu, râul Eufrat:
GEN.15.19	Cheniții și cheniziții și cadmoniții,
GEN.15.20	Și hitiții și periziții și refaimii,
GEN.15.21	Și amoriții și canaaniții și ghirgașiții și iebusiții.
GEN.16.1	Acum Sarai, soția lui Avram, nu îi năștea copii; și ea avea o roabă, o egipteancă, al cărei nume 
GEN.16.2	Și Sarai i-a spus lui Avram: Iată acum, DOMNUL m-a oprit de la a naște; te rog, intră la servitoarea mea, poate că voi obține copii prin ea. Și Avram a dat ascultare vocii lui Sarai.
GEN.16.3	Și Sarai, soția lui Avram, a luat pe Hagar, servitoarea ei, egipteanca, după ce Avram a locuit zece ani în țara lui Canaan, și a dat-o soțului ei, Avram, să fie soția lui.
GEN.16.4	Și a intrat la Hagar și ea a rămas însărcinată; și când a văzut că a rămas însărcinată, stăpâna ei a fost disprețuită în ochii ei.
GEN.16.5	Și Sarai i-a spus lui Avram: Răul făcut mie 
GEN.16.6	Dar Avram i-a spus lui Sarai: Iată, servitoarea ta 
GEN.16.7	Și îngerul DOMNULUI a găsit-o lângă o fântână de apă în pustie, lângă fântâna pe calea spre Șur.
GEN.16.8	Și a spus: Hagar, servitoarea lui Sarai, de unde vii? Și unde mergi? Iar ea a spus: Fug de la fața stăpânei mele Sarai.
GEN.16.9	Și îngerul DOMNULUI i-a spus: Întoarce-te la stăpâna ta și supune-te sub mâinile ei.
GEN.16.10	Și îngerul DOMNULUI i-a spus: Voi înmulți sămânța ta peste măsură, încât nu va 
GEN.16.11	Și îngerul DOMNULUI i-a spus: Iată, 
GEN.16.12	Și el va fi un om sălbatic, mâna lui 
GEN.16.13	Și ea a chemat numele DOMNULUI care i-a vorbit: Tu, Dumnezeu, mă vezi, pentru că ea a spus: Nu am privit de asemenea aici spatele celui care mă vede?
GEN.16.14	De aceea fântâna a fost numită Beerlahairoi; iată, 
GEN.16.15	Și Hagar a născut lui Avram un fiu și Avram a pus fiului său, pe care Hagar l-a născut, numele Ismael.
GEN.16.16	Și Avram 
GEN.17.1	Și când Avram era în vârstă de nouăzeci și nouă de ani, DOMNUL s-a arătat lui Avram și i-a spus: Eu 
GEN.17.2	Și voi face legământul meu între mine și tine și te voi înmulți peste măsură.
GEN.17.3	Și Avram a căzut 
GEN.17.4	Cât despre mine, iată, legământul meu 
GEN.17.5	Și nu va mai fi chemat numele tău Avram, ci numele tău va fi Avraam, pentru că te-am făcut tată al multor națiuni.
GEN.17.6	Și te voi face peste măsură de roditor și voi face națiuni din tine și împărați vor ieși din tine.
GEN.17.7	Și voi întemeia legământul meu între mine și tine și sămânța ta după tine în generațiile lor, ca legământ fără de sfârșit, pentru a-ți fi Dumnezeu ție și seminței tale după tine.
GEN.17.8	Și îți voi da ție și seminței tale după tine țara în care ești străin, toată țara lui Canaan, ca stăpânire fără de sfârșit; și voi fi Dumnezeul lor.
GEN.17.9	Și Dumnezeu i-a spus lui Avraam: Tu, așadar, vei ține legământul meu, tu și sămânța ta după tine, în generațiile lor.
GEN.17.10	Acesta 
GEN.17.11	Și veți circumcide pielea prepuțului vostru și aceasta va fi un semn al legământului dintre mine și voi.
GEN.17.12	Și cel ce este în vârstă de opt zile va fi circumcis între voi, fiecare copil de parte bărbătească în generațiile voastre, cel născut în casă, sau cumpărat cu bani de la vreun străin, care nu 
GEN.17.13	Cel născut în casa ta și cel cumpărat cu banii tăi trebuie să fie circumcis, și legământul meu va fi în carnea voastră ca legământ fără de sfârșit.
GEN.17.14	Și copilul de parte bărbătească necircumcis, a cărui piele a prepuțului său nu este circumcisă, acel suflet va fi stârpit din poporul său; el a rupt legământul meu.
GEN.17.15	Și Dumnezeu i-a spus lui Avraam: Cât despre Sarai, soția ta, nu vei 
GEN.17.16	Și o voi binecuvânta și de asemenea îți voi da un fiu din ea; da, o voi binecuvânta și ea va fi 
GEN.17.17	Atunci Avraam a căzut 
GEN.17.18	Și Avraam i-a spus lui Dumnezeu: O, de ar putea trăi Ismael înaintea ta!
GEN.17.19	Și Dumnezeu a spus: Sara, soția ta, într-adevăr, îți va naște un fiu și îi vei pune numele Isaac; și voi întemeia legământul meu cu el, ca legământ fără de sfârșit, 
GEN.17.20	Și cât despre Ismael, te-am auzit: Iată, l-am binecuvântat și îl voi face roditor și îl voi înmulți peste măsură, doisprezece prinți va naște și îl voi face o mare națiune.
GEN.17.21	Dar legământul meu îl voi întemeia cu Isaac, pe care Sara ți-l va naște la timpul cuvenit, în anul viitor.
GEN.17.22	Și a terminat de vorbit cu el, iar Dumnezeu s-a înălțat de la Avraam.
GEN.17.23	Și Avraam a luat pe Ismael, fiul său, și pe toți cei născuți în casa lui și pe toți cei cumpărați cu banii lui, fiecare parte bărbătească între oamenii casei lui Avraam, și a circumcis pielea prepuțului lor chiar în aceeași zi, așa cum Dumnezeu îi spusese.
GEN.17.24	Și Avraam 
GEN.17.25	Și Ismael, fiul său, avea treisprezece ani când a fost circumcis în pielea prepuțului său.
GEN.17.26	Chiar în aceeași zi a fost Avraam circumcis și Ismael, fiul său.
GEN.17.27	Și toți oamenii din casa lui, născuți în casă și cumpărați cu bani de la străin, au fost circumciși împreună cu el.
GEN.18.1	Și DOMNUL i s-a arătat în câmpiile lui Mamre și 
GEN.18.2	Și și-a ridicat ochii și a privit și, iată, trei bărbați stăteau în picioare lângă el; și când 
GEN.18.3	Și a spus: Domnul meu, dacă am găsit acum favoare înaintea ochilor tăi, te rog, nu trece de la servitorul tău;
GEN.18.4	Lăsați să se aducă puțină apă, vă rog, și spălați-vă picioarele și odihniți-vă sub pom;
GEN.18.5	Și voi aduce o bucată de pâine și mângâiați-vă inimile; după aceea veți trece mai departe, fiindcă de aceea ați venit voi la servitorul vostru. Iar ei au spus: Așa să faci, precum ai spus.
GEN.18.6	Și Avraam s-a grăbit în cort la Sara și a spus: Pregătește repede trei măsuri din floarea făinii, frământ
GEN.18.7	Și Avraam a alergat la cireadă și a adus un vițel fraged și bun și 
GEN.18.8	Și a luat unt și lapte și vițelul pe care l-a pregătit și 
GEN.18.9	Iar ei i-au spus: Unde 
GEN.18.10	Iar el a spus: Eu cu adevărat mă voi întoarce la tine, conform timpului vieții; și, iată, Sara, soția ta, va avea un fiu. Și Sara a auzit 
GEN.18.11	Acum Avraam și Sara 
GEN.18.12	De aceea Sara a râs în ea însăși, spunând: După ce am îmbătrânit să mai am desfătare, domnul meu fiind și el bătrân?
GEN.18.13	Și DOMNUL i-a spus lui Avraam: Pentru ce a râs Sara, spunând: Cu adevărat să nasc eu, care sunt bătrână?
