GEN.1.1	Ла ынчепут
GEN.11.32	Зилеле луй Терах ау фост де доуэ суте чинч ань, ши Терах а мурит ын Харан.
GEN.12.1	Домнул
GEN.12.2	Вой фаче
GEN.12.3	Вой бинекувынта
GEN.12.4	Аврам а плекат, кум ый спусесе Домнул, ши а плекат ши Лот ымпреунэ ку ел. Аврам авя шаптезечь ши чинч де ань кынд а ешит дин Харан. 
GEN.12.5	Аврам а луат пе Сарай, невастэ-са, ши пе Лот, фиул фрателуй сэу, ымпреунэ ку тоате авериле пе каре ле стрынсесерэ ши ку тоате слуӂиле
GEN.12.6	Аврам а стрэбэтут
GEN.12.7	Домнул
GEN.12.8	Де аколо а порнит спре мунте, ла рэсэрит де Бетел, ши шь-а ынтинс кортул авынд Бетелул ла апус ши Ай ла рэсэрит. А зидит ши аколо ун алтар Домнулуй ши а кемат
GEN.12.9	Аврам шь-а урмат
GEN.12.10	А венит ынсэ о фоамете
GEN.12.11	Кынд ера апроапе сэ интре ын Еӂипт, а зис невестей сале Сарай: „Ятэ, штиу кэ ешть о фемее фрумоасэ
GEN.12.12	Кынд те вор ведя еӂиптений, вор зиче: ‘Ачаста есте неваста луй!’ Ши пе мине мэ вор оморы
GEN.12.13	Спуне
GEN.12.14	Кынд а ажунс Аврам ын Еӂипт, еӂиптений ау вэзут
GEN.12.15	Службаший чей май де фрунте ай луй Фараон ау вэзут-о ши ей ши ау лэудат-о ла Фараон, ши фемея а фост адусэ
GEN.12.16	Пе Аврам л-а примит бине
GEN.12.17	Дар Домнул а ловит
GEN.12.18	Атунч, Фараон а кемат пе Аврам ши й-а зис: „Че мь-ай фэкут? Пентру че
GEN.12.19	Де че ай зис: ‘Есте сора мя’, ши ам луат-о астфел де невастэ? Акум, ятэ-ць неваста; я-о ши плякэ!” 
GEN.12.20	Ши Фараон
GEN.13.1	Аврам с-а суит дин Еӂипт ын цара де ла мязэзи
GEN.13.2	Аврам
GEN.13.3	Дин цара де ла мязэзи
GEN.13.4	ын локул
GEN.13.5	Лот, каре кэлэторя ымпреунэ ку Аврам, авя ши ел ой, бой ши кортурь. 
GEN.13.6	Ши цинутул
GEN.13.7	С-а искат
GEN.13.8	Аврам а зис луй Лот: „Те рог, сэ
GEN.13.9	Ну-й
GEN.13.10	Лот шь-а ридикат окий ши а вэзут кэ тоатэ Кымпия
GEN.13.11	Лот шь-а алес тоатэ Кымпия Йорданулуй ши а мерс спре рэсэрит. Астфел с-ау деспэрцит ей унул де алтул. 
GEN.13.12	Аврам а локуит ын цара Канаан, яр Лот
GEN.13.13	Оамений дин Содома ерау
GEN.13.14	Домнул а зис луй Аврам дупэ че с-а деспэрцит
GEN.13.15	кэч тоатэ цара пе каре о везь ць-о дау цие
GEN.13.16	Ыць вой фаче сэмынца
GEN.13.17	Скоалэ-те, стрэбате цара ын лунг ши ын лат, кэч цие ць-о вой да.” 
GEN.13.18	Аврам шь-а ридикат кортуриле ши а венит де а локуит
GEN.14.1	Пе время луй Амрафел, ымпэратул Шинеарулуй
GEN.14.2	с-а ынтымплат кэ ей ау фэкут рэзбой ку Бера, ымпэратул Содомей, ку Бирша, ымпэратул Гоморей, ку Шинеаб, ымпэратул Адмей
GEN.14.3	Ачештя дин урмэ с-ау адунат ку тоций ын валя Сидим, адикэ
GEN.14.4	Тимп де дойспрезече ань фусесерэ супушь
GEN.14.5	Дар, ын анул ал пайспрезечеля, Кедорлаомер ши ымпэраций каре ерау ку ел ау порнит ши ау бэтут пе рефаимь
GEN.14.6	ши пе хориць
GEN.14.7	Апой с-ау ынторс, ау венит ла Ен-Мишпат, сау Кадес, ши ау бэтут пе амалечиць пе тот цинутул лор, ка ши пе амориць, каре локуяу ла Хацацон-Тамар
GEN.14.8	Атунч ау ешит ымпэратул Содомей, ымпэратул Гоморей, ымпэратул Адмей, ымпэратул Цебоимулуй ши ымпэратул Белей, сау Цоарулуй, ши с-ау ашезат ын линие де бэтае ымпотрива лор, ын валя Сидим, 
GEN.14.9	ши ануме: ымпотрива луй Кедорлаомер, ымпэратул Еламулуй, ымпотрива луй Тидеал, ымпэратул Гоиймулуй, ымпотрива луй Амрафел, ымпэратул Шинеарулуй, ши ымпотрива луй Ариок, ымпэратул Еласарулуй; патру ымпэраць ымпотрива а чинч. 
GEN.14.10	Валя Сидим ера акоперитэ ку фынтынь де смоалэ
GEN.14.11	Бируиторий ау луат тоате
GEN.14.12	Ау луат ши пе Лот, фиул фрателуй
GEN.14.13	А венит унул каре скэпасе ши а дат де штире луй Аврам, Евреул; ачеста локуя
GEN.14.14	Кум а аузит Аврам кэ фрателе
GEN.14.15	Шь-а ымпэрцит оамений ын май мулте чете, с-а арункат асупра лор ноаптя, й-а бэтут
GEN.14.16	А адус ынапой тоате
GEN.14.17	Дупэ че
GEN.14.18	Мелхиседек
GEN.14.19	Мелхиседек а бинекувынтат пе Аврам ши а зис: „Бинекувынтат
GEN.14.20	Бинекувынтат
GEN.14.21	Ымпэратул Содомей а зис луй Аврам: „Дэ-мь оамений ши цине богэцииле пентру тине.” 
GEN.14.22	Аврам а рэспунс ымпэратулуй Содомей: „Ридик
GEN.14.23	ши жур кэ
GEN.14.24	афарэ де че ау мынкат флэкэий ши партя оаменилор каре
GEN.15.1	Дупэ ачесте ынтымплэрь, Кувынтул Домнулуй а ворбит луй Аврам ынтр-о ведение
GEN.15.2	Аврам а рэспунс: „Доамне Думнезеуле, че-мь вей да? Кэч
GEN.15.3	Ши Аврам а зис: „Ятэ кэ ну мь-ай дат сэмынцэ, ши служиторул нэскут
GEN.15.4	Атунч, Кувынтул Домнулуй й-а ворбит астфел: „Ну ел ва фи моштениторул тэу, чи чел
GEN.15.5	Ши дупэ че л-а дус афарэ, й-а зис: „Уйтэ-те спре чер ши нумэрэ
GEN.15.6	Аврам а крезут
GEN.15.7	Домнул й-а май зис: „Еу сунт Домнул, каре те-ам скос
GEN.15.8	Аврам а рэспунс: „Доамне Думнезеуле, прин че вой куноаште
GEN.15.9	Ши Домнул й-а зис: „Я о жунканэ де трей ань, о капрэ де трей ань, ун бербек де трей ань, о туртуря ши ун пуй де порумбел.” 
GEN.15.10	Аврам а луат тоате добитоачеле ачестя, ле-а деспикат
GEN.15.11	Пэсэриле рэпитоаре с-ау нэпустит песте стырвурь, дар Аврам ле-а изгонит. 
GEN.15.12	Ла апусул соарелуй, ун сомн адынк
GEN.15.13	Ши Домнул а зис луй Аврам: „Сэ штий хотэрыт кэ
GEN.15.14	Дар пе нямул кэруя ый ва фи роабэ, ыл вой жудека
GEN.15.15	Ту вей
GEN.15.16	Ын ал патруля ням
GEN.15.17	Дупэ че а асфинцит соареле, с-а фэкут ун ынтунерик адынк ши ятэ кэ а ешит ун фум ка динтр-ун куптор ши ниште флэкэрь ау трекут
GEN.15.18	Ын зиуа ачея, Домнул а фэкут
GEN.15.19	ши ануме цара кеницилор, а кенизицилор, а кадмоницилор, 
GEN.15.20	а хетицилор, а ферезицилор, а рефаимицилор, 
GEN.15.21	а аморицилор, а канааницилор, а гиргасицилор ши а иебусицилор.”
GEN.16.1	Сарай, неваста луй Аврам, ну-й нэскусе
GEN.16.2	Ши Сарай а зис
GEN.16.3	Атунч, Сарай, неваста луй Аврам, а луат пе еӂиптянка Агар, роаба ей, ши а дат-о де невастэ бэрбатулуй сэу, Аврам, дупэ че Аврам локуисе
GEN.16.4	Ел а интрат ла Агар, ши еа а рэмас ынсэрчинатэ. Кынд с-а вэзут еа ынсэрчинатэ, а привит ку диспрец
GEN.16.5	Ши Сарай а зис луй Аврам: „Асупра та сэ кадэ батжокура ачаста, каре ми се фаче! Еу ынсумь ць-ам дат ын браце пе роаба мя, ши еа, кынд а вэзут кэ а рэмас ынсэрчинатэ, м-а привит ку диспрец. Сэ жудече
