GEN.1.1	La
GEN.14.13	Și unul care scăpase a venit și a spus lui Avram Evreul. Și el locuia
GEN.14.14	Și Avram a auzit că
GEN.14.15	Și s‐a împărțit, noaptea, împotriva lor el și robii săi, și
GEN.14.16	Și a adus înapoi
GEN.14.17	Și împăratul Sodomei a ieșit să‐l întâmpine
GEN.14.18	Și
GEN.14.19	Și el l‐a binecuvântat și a zis
GEN.14.20	Și
GEN.14.21	Și împăratul Sodomei a zis lui Avram: Dă‐mi mie sufletele și bunurile ia‐ți‐le ție. 
GEN.14.22	Și Avram a zis împăratului Sodomei: Mi‐am
GEN.14.23	de
GEN.14.24	Nimic pentru mine. Numai ceea ce au mâncat tinerii și partea bărbaților care
GEN.15.1	După aceste lucruri cuvântul Domnului a fost către Avram
GEN.15.2	Și Avram a zis: Doamne Dumnezeule, ce‐mi vei da tu
GEN.15.3	Și Avram a zis: Iată nu mi‐ai dat sămânță și iată
GEN.15.4	Și iată cuvântul Domnului a fost către el zicând: Nu acesta va fi moștenitorul tău, ci cel ce
GEN.15.5	Și l‐a scos afară și a zis: Privește acum spre ceruri și
GEN.15.6	Și el a
GEN.15.7	Și i‐a zis: Eu sunt Domnul care
GEN.15.8	Și el a zis: Doamne Dumnezeule
GEN.15.9	Și el i‐a zis: Adu‐mi o juncană de trei ani și o capră de trei ani și un berbece de trei ani și o turturea și un pui de porumbel. 
GEN.15.10	Și i‐a adus toate acestea și le‐a
GEN.15.11	Și s‐au coborât pasări răpitoare peste stârvuri și Avram le‐a alungat. 
GEN.15.12	Și când apunea soarele, un somn adânc
GEN.15.13	Și el a zis lui Avram: Cu adevărat să știi
GEN.15.14	Dar și pe neamul acela care îi va robi
GEN.15.15	Și
GEN.15.16	Și
GEN.15.17	Și a fost 
GEN.15.18	În ziua aceea Domnul a
GEN.15.19	pe chenit și pe chenizit și pe cadmonit 
GEN.15.20	și pe hetit și pe ferezit și pe refaimiți 
GEN.15.21	și pe amorit și pe cananit și pe ghirgasit și pe iebusit.
GEN.16.1	Și Sarai, nevasta lui Avram
GEN.16.2	 Și Sarai a zis lui Avram: Iată acum, Domnul
GEN.16.3	Și Sarai, nevasta lui Avram, a luat pe Agar egipteanca, slujnica sa, după ce Avram
GEN.16.4	Și el a intrat la Agar și ea a zămislit. Și când a văzut ea că zămislise, stăpâna sa a fost
GEN.16.5	Și Sarai a zis lui Avram: Nedreptatea mea să fie asupra ta! Eu am dat pe slujnica mea în sânul tău și ea vede că a zămislit și sunt disprețuită în ochii ei
GEN.16.6	 Și Avram a zis către Sarai
GEN.16.7	Și Îngerul Domnului a găsit‐o lângă un izvor de apă în pustie, lângă
GEN.16.8	Și a zis: Agar, slujnica Saraei, de unde vii și unde mergi? Și ea a zis: Fug de fața Saraei, stăpâna mea. 
GEN.16.9	Și Îngerul Domnului i‐a zis: Întoarce‐te la stăpâna ta și
GEN.16.10	Și Îngerul Domnului i‐a zis: Îți
GEN.16.11	Și Îngerul Domnului i‐a zis: Iată, ai zămislit și vei naște un fiu
GEN.16.12	Și el va fi
GEN.16.13	Și ea a pus numele Domnului care îi vorbise: Tu ești un Dumnezeu care vede. Căci a zis: M‐am uitat
GEN.16.14	De aceea fântâna s‐a numit fântâna
GEN.16.15	Și
GEN.16.16	Și Avram era de optzeci și șase de ani când a născut Agar lui Avram pe Ismael.
GEN.17.1	Și Avram era de nouăzeci și nouă de ani. Și
GEN.17.2	Și voi pune legământul meu între mine și tine și
GEN.17.3	Și Avram a
GEN.17.4	Eu, iată legământul meu este cu tine și vei fi
GEN.17.5	Și numele tău nu se va mai chema Avram, ci
GEN.17.6	Și te voi înmulți foarte mult și voi face
GEN.17.7	Și voi
GEN.17.8	Și
GEN.17.9	Și Dumnezeu a zis lui Avraam: Să păzești legământul meu tu și sămânța ta după tine în neamurile lor. 
GEN.17.10	Acesta este legământul meu pe care‐l veți păzi între mine și tine și sămânța ta după tine
GEN.17.11	Și veți fi tăiați împrejur în carnea prepuțului vostru și aceasta va fi
GEN.17.12	Și cel ce este de opt zile va fi
GEN.17.13	Cel născut în casa ta și cel cumpărat cu argintul tău trebuie tăiat împrejur și legământul meu va fi în carnea voastră ca un legământ veșnic. 
GEN.17.14	Și partea bărbătească netăiată împrejur care n‐a fost tăiat împrejur în carnea prepuțului său, sufletul acela va fi
GEN.17.15	Și Dumnezeu a zis lui Avraam: Cât pentru Sarai, nevasta ta, n‐o vei mai chema pe nume Sarai, ci numele ei va fi Sara. 
GEN.17.16	Și o voi binecuvânta și‐ți voi
GEN.17.17	Și Avraam a căzut pe fața sa
GEN.17.18	Și Avraam a zis lui Dumnezeu: Oh, să trăiască Ismael înaintea ta! 
GEN.17.19	Și Dumnezeu a zis: Cu adevărat Sara
GEN.17.20	Și pentru Ismael te‐am ascultat. Iată l‐am binecuvântat și‐l voi face să crească și‐l
GEN.17.21	Dar legământul meu îl voi întări cu Isaac pe
GEN.17.22	Și a încetat să vorbească cu el și Dumnezeu s‐a înălțat de la Avraam.
GEN.17.23	Și Avraam a luat pe Ismael, fiul său, și pe toți cei născuți în casa sa și pe toți cei cumpărați cu argintul său, pe orice parte bărbătească dintre oamenii casei lui Avraam, și a tăiat împrejur carnea prepuțului lor chiar în ziua aceea, cum îi zisese Dumnezeu. 
GEN.17.24	Și Avraam era de nouăzeci și nouă de ani când a fost tăiat împrejur în carnea prepuțului său. 
GEN.17.25	Și Ismael, fiul său, era de treisprezece ani când a fost tăiat împrejur în carnea prepuțului său. 
GEN.17.26	Chiar în aceeași zi au fost tăiați împrejur Avraam și Ismael, fiul său. 
GEN.17.27	Și
GEN.18.1	Și Domnul i s‐a arătat la
GEN.18.2	 Și el și‐a ridicat ochii și s‐a uitat și iată trei bărbați stăteau înaintea lui. Și când i‐a
GEN.18.3	Și a zis: Doamne, dacă am aflat acum har în ochii tăi, nu trece, rogu‐te, de la robul tău. 
GEN.18.4	Să se aducă
GEN.18.5	Și
GEN.18.6	Și Avraam s‐a dus repede în cort la Sara și a zis: Ia repede trei măsuri de floarea făinii, frământă și fă turte. 
GEN.18.7	Și Avraam a alergat la cireadă și a luat un vițel tânăr și bun și l‐a dat tânărului și s‐a grăbit să‐l pregătească. 
GEN.18.8	Și a
GEN.18.9	Și ei i‐au zis: Unde este Sara, nevasta ta? Și el a zis: Iată
GEN.18.10	Și el a zis
GEN.18.11	Și
GEN.18.12	Și Sara a
GEN.18.13	Și Domnul a zis lui Avraam: Pentru ce a râs Sara zicând: Cu adevărat să mai nasc eu bătrână? 
GEN.18.14	 Este ceva prea greu pentru Domnul
GEN.18.15	Și Sara a tăgăduit zicând: N‐am râs! Căci se temea. Și el a zis: Nu; ci ai râs.
GEN.18.16	Și bărbații s‐au sculat de acolo și s‐au uitat spre Sodoma și Avraam mergea cu ei
GEN.18.17	Și Domnul a zis
GEN.18.18	Și Avraam va fi în adevăr un neam mare și tare și
GEN.18.19	Căci l‐am cunoscut
GEN.18.20	Și Domnul a zis: Pentru că
GEN.18.21	 mă voi pogorî acum, și voi vedea dacă au făcut în totul după strigătul care a venit la mine; și dacă nu
GEN.18.22	Și bărbații
GEN.18.23	Și Avraam
GEN.18.24	 Poate că sunt cincizeci de drepți în cetate: vei prăpădi ta și nu vei cruța locul pentru cei cincizeci de drepți care sunt în el? 
GEN.18.25	Departe de tine să faci așa să ucizi pe cel drept cu cel rău
GEN.18.26	Și Domnul a zis
GEN.18.27	Și Avraam a răspuns și a zis
GEN.18.28	Poate că vor lipsi cinci din cei cincizeci de drepți: vei prăpădi tu toată cetatea pentru cei cinci? Și el a zis: Nu voi prăpădi dacă voi afla acolo patruzeci și cinci. 
GEN.18.29	Și el i‐a mai vorbit iarăși zicând: Poate că se vor afla acolo patruzeci! Și el a zis: N‐o voi face pentru cei patruzeci. 
GEN.18.30	Și el a zis: Să nu se mânie Domnul și voi vorbi: poate că se vor afla acolo treizeci! Și el a zis: N‐o voi face dacă voi afla acolo treizeci. 
GEN.18.31	Și el a zis: Iată acum am cutezat să vorbesc Domnului: poate că se vor afla acolo douăzeci. Și el a zis: Pentru cei douăzeci n‐o voi prăpădi. 
GEN.18.32	Și el a zis: Oh, să
GEN.18.33	Și Domnul s‐a dus după ce a încetat să mai vorbească cu Avraam. Și Avraam s‐a întors la locul său.
GEN.19.1	Și
GEN.19.2	Și a zis: Iată acum, domnii mei
GEN.19.3	Și a stăruit mult de ei, și ei s‐au abătut la el și au intrat în casa lui. Și le‐a făcut cină
GEN.19.4	Și mai înainte de a se culca ei, bărbații cetății, bărbații din Sodoma, au înconjurat casa de la tânăr până la bătrân, tot poporul din orice parte. 
GEN.19.5	 Și au chemat pe Lot și i‐au zis: Unde sunt bărbații care au intrat la tine astă noapte
GEN.19.6	Și
GEN.19.7	Și a zis: Rogu‐vă, fraților, nu faceți rău! 
GEN.19.8	 Iată acum am două fete care n‐au cunoscut bărbat; lăsați‐mă, vă rog, să vi le scot afară și faceți‐le cum este bine în ochii voștri; numai acestor bărbați să nu le faceți nimic, căci
GEN.19.9	Și ei au zis: Dă‐te îndărăt! Și au zis: Acesta
GEN.19.10	Și bărbații și‐au întins mâna și au tras pe Lot în casă la ei și au încuiat ușa. 
GEN.19.11	Și au lovit cu orbire pe bărbații
GEN.19.12	Și bărbații au zis lui Lot: Pe cine mai ai aici? Ginere și fiii tăi și fetele tale și pe oricine ai în cetate
GEN.19.13	Căci vom prăpădi locul acesta pentru că
GEN.19.14	Și Lot a ieșit și a vorbit ginerilor săi
GEN.19.15	Și când s‐a revărsat de ziuă, îngerii au grăbit pe Lot zicând
GEN.19.16	Și el zăbovea. Și bărbații i‐au apucat mâna lui și mâna nevestei lui și mâna celor două fete ale lui
GEN.19.17	Și a fost 
GEN.19.18	Și Lot le‐a zis
GEN.19.19	Iată acum robul tău a aflat har în ochii tăi și ai mărit îndurarea ta pe care mi‐ai arătat‐o păstrându‐mi sufletul viu. Dar nu pot scăpa la munte ca nu cumva să m‐ajungă răul și să mor. 
GEN.19.20	Iată acum această cetate este aproape ca să fug acolo, și este mică. Rogu‐te, lasă‐mă să scap acolo. Oare nu este mică? Și sufletul meu va trăi. 
GEN.19.21	Și el i‐a zis: Iată
GEN.19.22	Grăbește‐te, scapă acolo, căci
GEN.19.23	Răsărea soarele deasupra pământului când intra Lot în Țoar. 
GEN.19.24	Și
GEN.19.25	Și a nimicit cetățile acestea și toată Câmpia și pe toți locuitorii cetăților și
GEN.19.26	Și nevasta lui s‐a uitat înapoi și s‐a făcut un
GEN.19.27	Și Avraam s‐a sculat dis de dimineață 
GEN.19.28	Și s‐a uitat spre Sodoma și Gomora și spre tot ținutul câmpiei și a privit și iată
GEN.19.29	Și a fost 
GEN.19.30	Și Lot s‐a suit din Țoar și a
GEN.19.31	Și cea întâi născută a zis celei mai mici: Tatăl nostru este bătrân și nu este bărbat în țară ca să
GEN.19.32	Vino să dăm tatălui nostru să bea vin și ne vom culca cu el ca să
GEN.19.33	Și au dat tatălui lor să bea vin în noaptea aceea; și cea întâi născută a intrat și s‐a culcat cu tatăl ei și el n‐a știut, nici când s‐a culcat, nici când s‐a sculat ea. 
GEN.19.34	Și a fost 
GEN.19.35	Și au dat tatălui lor să bea vin și în noaptea aceea. Și cea mai mică s‐a sculat și s‐a culcat cu el și el n‐a știut când s‐a culcat, nici când s‐a sculat ea. 
GEN.19.36	Și amândouă fetele lui Lot au zămislit de la tatăl lor. 
GEN.19.37	Și cea întâi născută a născut un fiu și i‐a pus numele Moab
GEN.19.38	Și cea mai mică a născut și ea un fiu și i‐a pus numele Ben‐Ami. Acesta
GEN.20.1	Și Avraam a plecat
GEN.20.2	Și Avraam a zis despre Sara, nevasta sa
GEN.20.3	Dar
GEN.20.4	Dar Abimelec nu se apropiase de ea. Și a zis: Doamne
GEN.20.5	Oare nu mi‐a zis el însuș: Ea este sora mea? Și ea, chiar ea însăși mi‐a zis: El este fratele meu
GEN.20.6	Și Dumnezeu i‐a zis în vis: Da, știu că ai făcut aceasta în curăția inimii tale și
GEN.20.7	Acum, deci, înapoiază nevasta omului
GEN.20.8	Și Abimelec s‐a sculat dis‐de‐dimineață și a chemat pe toți robii săi și a spus toate aceste vorbe în urechile lor. Și bărbații s‐au spăimântat foarte mult. 
GEN.20.9	Și Abimelec a chemat pe Avraam și i‐a zis: Ce ne‐ai făcut? Și cu ce am păcătuit împotriva ta
GEN.20.10	Și Abimelec a zis lui Avraam: Ce ai văzut de ai făcut lucrul acesta? 
GEN.20.11	Și Avraam a zis: Pentru că am zis: Hotărât, nu este
GEN.20.12	Și cu adevărat este
GEN.20.13	Și a fost 
GEN.20.14	Și Abimelec a luat
GEN.20.15	Și Abimelec a zis: Iată țara
GEN.20.16	Și către Sara a zis: Iată am dat o mie de sicli de argint fratelui tău
GEN.20.17	Și Avraam
GEN.20.18	Căci Domnul încuiase
GEN.21.1	Și Domnul a
GEN.21.2	Și Sara a
GEN.21.3	Și Avraam a pus numele
GEN.21.4	Și Avraam a
GEN.21.5	Și
GEN.21.6	Și Sara a zis: Dumnezeu m‐a făcut să
GEN.21.7	Și ea a zis: Cine ar fi zis lui Avraam: Sara va alăpta copii! Căci
GEN.21.8	Și pruncul a crescut și a fost înțărcat. Și Avraam a făcut un ospăț mare în ziua când a fost înțărcat Isaac. 
GEN.21.9	Și Sara a văzut pe fiul Agarei
GEN.21.10	Și a zis lui Avraam
GEN.21.11	Și lucrul a fost foarte rău în ochii lui Avraam
GEN.21.12	Și Dumnezeu a zis lui Avraam: Să nu fie rău în ochii tăi pentru băiat și pentru roaba ta; în toate câte ți‐a zis Sara ascultă de glasul ei, căci
GEN.21.13	Dar și pe fiul acestei roabe îl voi face
GEN.21.14	Și Avraam s‐a sculat dis‐de‐dimineață și a luat pâine și un burduf cu apă și a dat Agarei, punându‐l pe umerii ei, și copilul
GEN.21.15	Și s‐a sfârșit apa din burduf și a lepădat copilul sub un copăcel. 
GEN.21.16	Și a mers și a șezut jos în fața lui departe ca la o aruncătură de arc. Căci zicea: Să nu văd moartea copilului. Și a șezut în fața lui și a ridicat glasul și a plâns. 
GEN.21.17	Și
GEN.21.18	Scoală‐te, ridică băiatul și ține‐l în mâna ta, căci îl
GEN.21.19	Și
GEN.21.20	Și Dumnezeu
GEN.21.21	Și locuia în pustia Paran. Și mama sa i‐a
GEN.21.22	Și a fost 
GEN.21.23	Și acum
GEN.21.24	Și Avraam a zis: Voi jura. 
GEN.21.25	Și Avraam a mustrat pe Abimelec pentru fântâna de apă pe care o
GEN.21.26	Și Abimelec a zis: Nu știu cine a făcut lucrul acesta; nici tu nu mi‐ai spus, nici eu n‐am auzit decât astăzi. 
GEN.21.27	Și Avraam a luat oi și boi și le‐a dat lui Abimelec și au
GEN.21.28	Și Avraam a pus de o parte șapte mioare din oile sale. 
GEN.21.29	Și Abimelec a zis lui Avraam
GEN.21.30	Și el a zis: Să iei din mâna mea aceste șapte mioare
GEN.21.31	De aceea a
GEN.21.32	Și au făcut legământ la Beer‐Șeba. Și Abimelec s‐a sculat cu Picol, mai marele oștirii sale, și s‐au întors în țara filistenilor. 
GEN.21.33	Și 
GEN.21.34	Și Avraam a stat vremelnic în țara filistenilor multe zile.
GEN.22.1	Și a fost 
GEN.22.2	Și a zis: Ia acum pe fiul tău, pe
GEN.22.3	Și Avraam s‐a sculat dis‐de‐dimineață și a pus șaua pe măgarul său și a luat pe doi din tinerii săi cu el și pe Isaac, fiul său; și a despicat lemnele pentru arderea de tot și s‐a sculat și a mers la locul despre care îi vorbise Dumnezeu. 
GEN.22.4	A treia zi Avraam și‐a ridicat ochii și a văzut locul de departe. 
GEN.22.5	Și Avraam a zis tinerilor săi: Rămâneți aici cu măgarul și eu și băiatul ne vom duce până colo și ne vom închina și vom veni iarăși la voi. 
GEN.22.6	Și Avraam a luat lemnele arderii de tot și
GEN.22.7	Și Isaac a vorbit lui Avraam, tatăl său, și a zis: Tată! Și el a zis: Iată‐mă, fiul meu! Și a zis: Iată focul și lemnele; dar unde este mielul pentru arderea de tot? 
GEN.22.8	Și Avraam a zis: Va îngriji Dumnezeu de mielul pentru arderea de tot, fiul meu. Și mergeau amândoi împreună. 
GEN.22.9	Și au venit la locul de care‐i spusese Dumnezeu. Și Avraam a zidit altarul acolo și a așezat lemnele și a legat pe Isaac, fiul său, și l‐a
GEN.22.10	Și Avraam și‐a întins mâna și a luat cuțitul ca să junghie pe fiul său. 
GEN.22.11	Și Îngerul Domnului i‐a strigat din ceruri și a zis: Avraame! Avraame! Și el a zis: Iată‐mă. 
GEN.22.12	Și a zis
GEN.22.13	Și Avraam și‐a ridicat ochii și s‐a uitat și iată înapoi un berbece prins cu coarnele lui într‐un desiș. Și Avraam a mers și a luat berbecele și l‐a adus ca ardere de tot în locul fiului său. 
GEN.22.14	Și Avraam a pus numele locului aceluia Iehova‐Iireh după cum se zice până astăzi: În muntele Domnului se va îngriji. 
GEN.22.15	Și Îngerul Domnului a strigat lui Avraam a doua oară din ceruri. 
GEN.22.16	Și a zis
GEN.22.17	te voi binecuvânta foarte mult și‐ți voi înmulți foarte mult sămânța
GEN.22.18	 Și în sămânța ta se vor binecuvânta toate neamurile pământului
GEN.22.19	Și Avraam s‐a întors la tinerii săi și s‐au sculat și au mers împreună la
GEN.22.20	Și a fost 
GEN.22.21	pe
GEN.22.22	și pe Chesed și pe Hazo și pe Pildaș și pe Iidlaf și pe Betuel. 
GEN.22.23	Și
GEN.22.24	Și țiitoarea lui cu numele Reuma a născut și ea pe Tebah și pe Gaham și pe Tahaș și pe Maaca.
GEN.23.1	Și viața Sarei a fost o sută douăzeci și șapte de ani; aceștia au fost anii vieții Sarei. 
GEN.23.2	Și Sara a murit în
GEN.23.3	Și Avraam s‐a sculat dinaintea moartei sale și a vorbit copiilor lui Het zicând: 
GEN.23.4	Eu sunt
GEN.23.5	Și copiii lui Het au răspuns lui Avraam zicându‐i: Ascultă‐ne, domnul meu. 
GEN.23.6	Tu ești
GEN.23.7	Avraam s‐a sculat și s‐a plecat înaintea poporului țării, înaintea copiilor lui Het. 
GEN.23.8	Și le‐a vorbit zicând: Dacă este voia voastră să‐mi înmormântez moarta dinaintea feței mele, ascultați‐mă și rugați pentru mine pe Efron, fiul lui Țohar, 
GEN.23.9	să‐mi dea peștera din Macpela care este a lui, care este în marginea țarinei sale; să mi‐o dea în mijlocul vostru pentru tot argintul ce face ca o moșie de înmormântare. 
GEN.23.10	Și Efron ședea în mijlocul copiilor lui Het. Și Efron Hetitul a răspuns lui Avraam în urechile copiilor lui Het, a tuturor celor ce
GEN.23.11	 Nu, domnul meu, ascultă‐mă; îți dau țarina și‐ți dau peștera care este în ea; ți‐o dau înaintea ochilor copiilor poporului meu: îngroapă‐ți moarta. 
