MAT.1.1	Coa co cuatia Jesu Cristo moñemoñajaré ypycue guare. Jaé Davidrejegua, ja Abraamrejegua avei.
MAT.6.20	Pembyaty catu pene mbaererecorâ iñongatúpyrâ pe yvagape pe ombuai ŷ jápe mbaevéichagua tiguââ terâ javê, ja umi mondajá opobyby ŷ jápe omonda jaguâ. 
MAT.6.21	Upe ne râcâteyjá oijape, upepe oimene nde pyapy avei. 
MAT.6.22	Co ñande rete rendŷva ñande resá catu. Upeicharamo, nde resá pysó pôrâ ramo, jesâcâmba vaerâ nde rete. 
MAT.6.23	Upeicha avei nde resá pysó vaí ramo, nde rete iñypytûmba vaerâ. Upeicharamo, iñypytûmba ramo upe ojesape moa vaerâ nde pyapypegua, mbaéichaguápa vaerâ co pytûeteijá? 
MAT.6.24	Ndipóri icatuva oyeyocuáiucá mocoî yárape. Upeicharamo, oñamotareŷ vaerâ peteîme, ja ojayjú vaerâ pe ambuepe, terâ oico pôrâ vaerâ peteî ndive, ja upeyave omomârâ vaerâ pe ambuepe. Peê voí ndicatui peyeyocuáiucá Tûpâ Ñandeyârape, ja upeyaveve pe teco mbaererecojá rejeguape. 
MAT.6.25	Upevareje Che jae peême ani peyepyapŷ reí jaguâ co pende recovérâ reje, pe peu vaerâ reje terâ pe peŷu vaerâ reje, terâ pende rete reje mbaépa pemonde vaerâ reje. ¿Nda tuvichavéipa ñande recové ñane rembiú gui, ja ñande rete ñande ao gui? 
MAT.6.26	Pemaêmi umi guyrai oveveva yvaga reje! Umia noñemitŷvái terâ nomonoôvái, ja noñongatúvái jendâguâme. Upeicharamo yepe, pende Ru yvagapegua omojyvâtâ ichupecuera. ¿Ja peê na pene pôrâveipa ichugui cuera? 
MAT.6.27	¿Ja máva pendejeguipa, pende pyapy pypé icatune pemboyuapŷ ipucucue reje peteî ñande yŷva pucucue? 
MAT.6.28	¿Ja maerâpa peyepyapŷ reí pende ao reje? Pemaênte umi yboty ñûmeguárejé, mbaéichapa ocacuaa? Umiva nombaapóvái, ja noipovâvái: 
MAT.6.29	upeicharamo yepe, Che jae peême pe Salomón opa iyeguaca rejeve yepe noñemondei jague peteîva umivaicha. 
MAT.6.30	Upeicharamo, pe caavó ñûmegua, coanga oico pôrâva jina ja coêramo oyeitŷ vaerâ tatacuápe, Tûpâ Ñandeyára omonde ramo cóicha, noñangareco pôrâveichepane pende reje, peê peyeroviá mîrîeteva? 
MAT.6.31	Upeicharamo, ani peyepyapŷ peyevo ¿Mbaé pipo roune? terâ ¿Mbaé pipo roŷúne? terâ ¿Mbaépe pipo royeyajoíne? 
MAT.6.32	Coa mbae reje voí umi oyejecáva umi icaraiŷva. Peêmeguarâ voí pende Ru yvapegua oicuaa pôrâ peê peicôtevêjá opa âmbae reje. 
MAT.6.33	Peyejeca raê peê co teco marangatu Jae oñembotuvicha jaguâ reje, ja pe jeco yojeipyre reje pende recorâ, ja uperire umi mbae ambue oñembo yuapŷpáne peême. 
MAT.6.34	Upévareje ani peyepyapŷ co coêramo ára peguarâ reje. Coêramo âra voínte oimene peyepyapŷ jaguâ. Jemby rei voí pe ivaiva peteî teî árape.
MAT.7.1	Ani pecaguaí ambue reje, anichene jaguâ ocaguaí pende reje avei umi ambue cuera. 
MAT.7.2	Upe pecaguaí jaicha peê, upeicha avei ocaguaí vaerâ pende reje, ja upe pejââ jague pypé, upeapŷ ojââ yeby vaerâ peême. 
MAT.7.3	¿Mbaérejepa remaê co capiími nde ryby resápe oiva reje, ja co ybyrá poguasúva nde resápe voí oiva, nde rejechacuaai? 
MAT.7.4	¿Terâpa mbaéichapa erene nde rybype: Ejaârô! Tanojê ndeve co capiimi nde resá pe oiva, oi yave nde resápe voí ybyrá poguasuva? 
MAT.7.5	Nde rovámocoî catu co nde! Enojê raê pe ybyrá nde resápe oiva, ja upemaramo rejecha pôrâne renojê jaguâ pe capiimi nde ryby resá pe oiva.
MAT.7.6	Ani pemeê mbae icaraí vaecue umi yaguape. Ani avei peity curé renondepe pende yeguajá, anichene jaguâ opyrû jesecuera ipŷ cuerape, ja upegui oyere pene mondoropá jaguâ.
MAT.7.7	Peyeruré, ja oñemeêne peême. Pejecá, ja peyujune. Pejenôi ja oyepeáne peême. 
MAT.7.8	Oimerâeva oyerurévape oñemeêne, ja pe ojecáva oyujune, ja pe ojenôivape oyepeane. 
MAT.7.9	¿Máva cuimbaepa pendejegui oime itayra oyeruréva ichupe mbuyape reje, omeêne ichupe itá? 
MAT.7.10	¿Terâpa oyerure ramo ichupe pirá reje omeêne ichupe mbói? 
MAT.7.11	Upeicha ramo, peê, pende vaí ramo yepe, pemeêcuaá ramo mbae ipôrâva pende raŷ cuerape, ¿mbaéicha pipo nuné pende Ru yvagape oiva anichene nuné omeê mbae ipôrâva jeta umi oyerurevape? 
MAT.7.12	Upeicharamo, opa mbae peê peipotáva oyapo peême umi caraí cuera, upeichaite peyapo peê avei ichupecuera. Cóicha voí oyee vaecue pe Moises cuatiápe ja umi ñemoñeêjaré cuatiápe.
MAT.7.13	Peike catu pe okê ipychiî rupi! Ipŷguasú voi pe okê ja ipŷguasú pe tapé ojova pe teco ocañyjápe, ja jeta umi oikéva upérupi. 
MAT.7.14	Ipychiî pe okê, ja ipychiîete pe tapé ojova pe tecové jaetévape, ja mbobŷ oime umi oyujúva.
MAT.7.15	Peyererecó catu umi ñemoñeêjaré iyapúvagui oúva pene rendape iñemondéjá ovechaicha ja ipyaitépe jeco aguará guasuicha imondáva rejeguáva. 
MAT.7.16	Jiacué reje pejechacuaa ichupecuera. ¿Sapya pico ñamonoô parralá caavó jatîva gui, terâpa higoá ñuatî gui? 
MAT.7.17	Upeicha opa ybyrá racâ ipôrâva guíve jiá pôrâ, ja co ybyra racâ ivaíva jiá vaí. 
MAT.7.18	Nda iyái ybyrá racâ ipôrâvape jiá vaí jaguâ. Upeicha avei co ybyra racâ ivaívape nda iyái jiá pôrâ jaguâ. 
MAT.7.19	Umi ybyrá racâ jiá pôrâ ŷ va guive toñekytîmba, ja toyeitŷ tatape. 
MAT.7.20	Upeichavo jiacué reje pejechacuaane ichupecuera. 
MAT.7.21	Nda opa jeíva Chevei: Ñandeyara! Ñandeyara! oikéne pe tetâ yvapeguape: upévante upe oyapóva Che Ru yvape oiva rembiapoucapŷ. 
MAT.7.22	Oimene jeta jei vaerâ Cheve upe jaárape: Ñandeyara! Ñandeyara! ¿no roñemoñeêipa raé co Nde rérape? ¿ja Nde rerape voípa ndo roityi raé mbaepochy? ja ¿Nde rérape pa ndo royapoi jeta mbae guasu? 
MAT.7.23	Ja uperamo aicuaaucáne umivape cuera: Máramo Che nda poicuaai raé. Peyeóinte Che jegui, peê mbaevaí apojá cuera.
MAT.7.24	Upeicharamo oimeraêva ojendu vaecue co Che ñeê ja oyapo vaecue jecópe, amboyoyáne ichupe peteî cuimbae iñâcâ pôrâva reje, omopuâ vaecue joga pe itá jâtâva ári. 
MAT.7.25	Joá ama ja tŷguasu pe ŷ, ja oipeyú jâtâ pe ybytú ja oyapipá pe óga reje ja ndoairi oñemoî jague reje japó pe itá jâtâva ári. 
MAT.7.26	Ja oimeraêva ojendú vaecue co Che ñeê ja ndo yapoi vaecue, amboyoyáne ichupe peteî cuimbae itabyva reje omopuâ vaecue joga yby cuí ári. 
MAT.7.27	Joa ama ja tŷguasú pe ŷ ja oipeyú ybytú ja oyapí pe oga reje, ja joá voí, ja oñembuaipá oyaparópaite.
MAT.7.28	Upei catu jeipámaramo Jesús coa ñeê, ojecharâmô yoa opytávo umi ybypóra pe jemimboe reje. 
MAT.7.29	Jae voí oporomboe oicóvo ichupecuera iya jáva reje jecópe ichupe, ja nda umi escriva iñarandú reíva cueraichai.
MAT.8.1	Uperire ogueyŷma ramo pe itáatŷra ári gui, jeta oime ou japycueri umi iyatŷva jicuai. 
MAT.8.2	Uperamo sapya ou avei peteî leproso iyaípáva, ja oñesû Ichupe jeivo: Che carai, Nde reipota ramo, Nde puacá che mopôtimba jaguâ. 
MAT.8.3	Ja Jae oipysó ipo ja opocó jesé, ja jei: Che aipota. Ta ne pôtínte! Ja upevove jesâimba iyaí vaí gui. 
MAT.8.4	Upei catu jei ichupe Jesús: Maêke! Anike remombeu avavépe! Terejónte, eyejechauca pe paípe, ja eicuameê pe Moises oguerúrucá vaecue, oyecuaáucá jaguâ opávape co ne resâimbámajá.
MAT.8.5	Uperire oikévo Jesús pe Capernaumpe, sapya ou Jendápe peteî mburuvicha oyerurévo ichupe, 
MAT.8.6	ja jeivo: Che carai, oime che rembiguai iyapá oñenó che rogape jasy eterei chejeguí. 
MAT.8.7	Ja Jae jei ichupe: Yajante amojesâi jaguâ ichupe. 
MAT.8.8	Ja oñeê pe mburuvicha jeivo: Che carai, che che poriajú eterei! Nda iyái cheve Nde reiké jaguâ che roga capií guŷpe. Erentena cheve peteî ñeêmínte, ja che rembiguai jesâimane. 
MAT.8.9	Che voí avei che jae caraí mburuvicha ambue po guŷpe, ja che areco che po guype che rembiyocuai cuerape, ja che jae ramo cóvape: Terejó! jae ojo voí, ja pe ambuepe: Eyo! jae ou voí, ja che rembiguaipe jae ramo: Eyapo cóva! jae oyapo voí. 
MAT.8.10	Upei catu ojenduma ramo Jesús pe jeiva ojecharâmô, ja jei umi oúvape jicuai japycueri: Che jae peême catuetei nda Israelpe yepei ndayujui jague peteî oyeroviaitévape cóvaichagúa. 
MAT.8.11	Che jae peême jeta jaguâ ou cuarajy resê guivó ja cuarajy reike guivó oguapy vaerâ Abraam ja Isaac ja Jacob ndive pe tetâ yvapeguape. 
MAT.8.12	Upegui pe tetâ yvapegua ray rângue moa oñemombóne ocape pytûnguype, pe tasê ja táîñeê jaguâme. 
MAT.8.13	Upei catu Jesus jei pe mburuvichape: Terejonte, reyeroviá jagueicha, toyeyapo ndeve. Ja upevove jesâimba pe tembiguai.
MAT.8.14	Uperire ou Jesús Pedro rógape ja ojechá jembireco sŷ oñenó jupápe âcânundu rejeve. 
MAT.8.15	Ja Jae opoco ipo reje ja oyei voi iñâcânundu, ja opuâ voi jae ja oyeyocuáiucá Ichupe. 
MAT.8.16	Ja caaruma jina ogueru Jendápe jeta umi mbaepochy remimbotarovápe, ja Jae oity umi mbaepochype iñeê reje, ja omojesâimba umi ojasa vaivape guive. 
MAT.8.17	Upeicha oico jecópe oyee jagueicha pe Isaías ñemoñeêjaré yurú rupi: Jae voínte oñembo pítuá ñande pítuá jaicha, ja oyaŷby oicovo ñane mbaasŷ pojyi gui.
MAT.8.18	Uperamo ojecha pypé Jesús iyatyjá umi jicuaiva iyerecuéreje, jei ojasa jaguâ pe yguasu mboypŷri. 
MAT.8.19	Upeyaveve ou Jendápe peteî iñarandúva ja jei Ichupe: Nde, ore mboejára, taja che Nde rapycuéri Neîrû ramo mamo rejo jaguâme. 
MAT.8.20	Ja jei ichupe Jesus: Umi aguarái oguereco icuararâ, ja umi guyra ovevéva oguereco jaitŷrâ. Co Caraí Raŷ mante ndoguerecoi omboyecó jaguâme iñâcâ. 
MAT.8.21	Ja oime ambue jemimboerâ avei jeivaecue Ichupe: Che caraí, tajamina raê añotŷ jaguâ che rúpe. 
MAT.8.22	Ja jei ichupe Jesús: Eyo Che rapycuéri, ja Ejeyánte umi omano vaecueichaguape toñotŷ umi oyejegua omano vaecuepe.
MAT.8.23	Upei catu Jae oyupi pe mbayrúpe ja jemimboe cuera oyupi japycuéri. 
MAT.8.24	Ja sapyaite joá ybytú jâtâ ja oñemomŷi tuvicha pe ŷguasu ja pe ŷ pochy oyajoí moa imbayrú, ja Jae opyta oké jina. 
MAT.8.25	Upei catu jaecuera oñemboyá Jendápe ja omombaŷ Ichupe jeivo: Carai, ore pytyvôna! Roime vaíma! 
MAT.8.26	Ja Jae jei ichupecuera: ¿Mbaéichapa pende pya mirî, peê peyeroviaŷva? Upei catu opuâ voí ja oyaó pe ybytúpe ja pe ŷguasupe, ja sapyaite ára pôrâ yebŷma. 
MAT.8.27	Ja umi cuimbae cuera ojecharâmô, ja jei: ¿Mbaévapa co carai? Ybytú ja ŷguasu yepe oyapo Jae jeiva!
MAT.8.28	Upei catu ôguajêma ramo mboypŷri, umi gadareno retâme, ou ojuvaitîvo Ichupe mocoî cuimbae mbaepochy remimbotarová osê oúvo umi oñeñoty renda gui ipochŷ eterei, ndicatui jaguâicha yepe avave ojasa upe tapé rupi. 
MAT.8.29	Ja sapyaite osapucai jeivo: ¿Maerâpa reyú oreve Nde Tûpâ Ñandeyára Ray? ¿Reyú pico coápe ore muanguecóivo ore áraŷme? 
MAT.8.30	Sapya oime mombyrymi upegui peteî curé atŷra ocarúva jicuai, 
MAT.8.31	ja umi mbaepochy oyerure ichupe jeivo: Ore reity ramo Nde, ore moingué catu umi curé atŷra pypé. 
MAT.8.32	Ja Jae jei ichupecuera: Tapejónte! ja osê voí ja oiké umi curé pypé. Ja sapyaite pe curé atŷra oyeitypá yoa pe itá yvatéva ári gui pe ŷguasúpe, ja joŷguŷpá pe ŷpe. 
MAT.8.33	Upei catu umi curé rerecuácué oñeguajêmba, ja ojo pe tetâme, ja omombeupá umimbae pe oyeju vaecue umi mbaepochy remimbo tarova vaecuepe. 
MAT.8.34	Upei catu osêmba pe tetâmegua yoa ojuvaitîvo Jesúspe, ja ojecha ramo Ichupe oyeruré ruré Ichupe oyeí jaguâ jetâgui.
MAT.9.1	Upemaramo Jae oyupi yeby pe mbayrúpe, ja ojasa mboypŷri ja ou oguetâme. 
MAT.9.2	Ja upepe ogueru Ichupe peteî iyapávape oñenó jupápe. Ja ojecha ramo Jesús oyeroviajá jaecuera Jese, Jae jei pe iyapávape: Nde pya guasúna, che raŷ! Oyepeapáma ndejegui ne angaipa! 
MAT.9.3	Ja sapya oime upepe iñarandúva jei vaecue ipyápe: Upéva oñeê vaí reí. 
MAT.9.4	Ja Jesus ojechacuaa pypé pe oimoava jina jei: ¿Mbaérejepa peimoa vaí pende pyapype? 
MAT.9.5	yajecha catu! ¿Mávapa icatuvéva yaé Oyepeapáma ndejegui ne angaipa! terâpa yaé Epuânte, eguatá? 
MAT.9.6	Ja ánga peicuaa jaguâ peê ipuacajá co Caraí Raŷ co ybyari yepe oipea jaguâ angaipa -- upevove jei pe iyapávape: Epuânte, ejupi nde rupá, ja terejó nde rogape. 
MAT.9.7	Ja jae opuâ voí ja ojo jógape. 
MAT.9.8	Upei catu umi ambue cuera iyatŷva upepe ojecha ramo upéva, okyjŷyé oñemondŷi, ja ombueté Tûpâ Ñandeyárape ombopuacá jague reje cóicha umi cuimbaepe.
MAT.9.9	Upei catu ojo Jesús upegui, ja ojecha peteî caraípe oguapŷva jina pe mbaerepy monoôjápe, jérava Mateo, ja Jae jei ichupe: Eyo Che rapycuéri. Ja jae opuâ voí ja ojo Japycuéri.
MAT.9.10	Ja sapya Jae oguapy ramo jina ocarujape upéva rogape, oime avei upepe jeta mbaerepy mbyatyjá, ja angaipavóra, ou vaecue jicuai ja oguapŷva jina pe carujápe Jesús ja jemimboe cuera ndive. 
MAT.9.11	Upei catu ojecha ramo upéva, umi fariseo jei jemimboe cuerape: ¿Mbaérejepa ocaru co pene mboejára umi mbaerepy mbyatyjá, ja tecové angaipavóra ndive? 
MAT.9.12	Ja Jae ojenduma ramo upea, jei: Umi jesâiva noicôtevêi ipôjanôjára reje, umi jasŷvaíva nte. 
MAT.9.13	Tapejó, upeicharamo, peicuaami pôrâ jaguâ mbaépa jeise coa ñeê: Peiporo poriajuvereco jaguânte, upeva catu pe aipotáva, ndajaei peñembo paí reco jaguâ. Che voí ndayui ajenôivo umi jecópe oicovape, umi angaipavórapente.
MAT.9.14	Uperamo ou Jendápe pe Juan remimboe cue cuera jeivo: ¿Mbaéichapa ore ja umi fariseo rombuetéva areté carûyreje ja co Ne remimboecuera nombuetévái areté upeicha avei. 
MAT.9.15	Ja jei ichupe cuera Jesús: ¿Mbaéicha nipo? ¿Icatúpa pe omendatava îrûnguera jasê, oico aya meme jendive cuera pe omendatava? Oune ára oyepea jaguâ ichuguicuera pe omenda ramôva, ja uperamo jaecuera ipya mbyasŷne ocaruŷrejeve. 
MAT.9.16	Na ñambobybyri ao pejenguemi pyajúva cu ao ituyáva reje: upeicharamo, pe pejengue ipyajúva osorópá pe ñande ao gui ja ivaívé vaerâ pe osoró jague. 
MAT.9.17	Upeicha avei na ñambojŷrúi vino pyajú mbae piré ituyávape; upeicharamo, osoro umi jŷrú mbae piré guigua ja oñejê reí pe vino, ja ocanŷmbá umi jyrúcué. Ñambojyrunte vino pyajú jyrú mbae piré ipyajúvape, ja upeicharamo, opytá pôrâ oñondive oñombuaiŷreje.
MAT.9.18	Uperamo oñeê yavé jina Jae umi mbae ichupecuera, ou peteî mburuvicha ja oñesû Ichupe jeivo: Omano râmôite che rayŷmi. Eyókena, ja emôi ndepo jese ja jae oicove yebyne. 
MAT.9.19	Upei catu opuâ Jesús ja ojo japycueri, ja ojo jemimboe cuera avei. 
MAT.9.20	Ja sapyaite ou peteî cuña oyapóma doce años jasy jague tuguy guasu gui, ja oñemboyá Japycue guivo, ja opoco iyao rembey reje. 
MAT.9.21	Jei nipo racaé ipyápe: Sapya apocómínte ramo iyao reje che resaimane. 
MAT.9.22	Upevove oyeré Jesús ja omaê jese ja jei: Nde pya guasunte, Che rayŷ! reyerovia jague nemojesaima: ja upeguive voínte jesâi opytávo pe cuña. 
MAT.9.23	Upeyavé ou ôguajêvo Jesús pe mburuvicha rógape ja ojecha ramo umi imbopújá cuerape ja umi jasêvape iyatŷva jicuai, 
MAT.9.24	Jae jei ichupecuera: Peyeóinte! Nomanoi co cuñami. Okente jina. Ja jaecuera opucá Jese. 
MAT.9.25	Upei catu oñemosêma ramo ocápe umi iyatŷva jicuai pe cotype, Jae oiké ja oipyjy ipo ja upévo opuâ pe cuñami.
MAT.9.26	Ja co jêrâcuâ oñejendú oparupi pe tetâ rupi. 
MAT.9.27	Upei catu ojasa pypé Jesús upegui, ojo japycuéri mocoî ojechaŷva osapucaivo ja jeivo: Ore poriajuverecomi oreve, Nde, David Ray! 
MAT.9.28	Ja ôguajêma ramo ogape yepe, ou Jendápe umi ojechaŷva, ja Jesús jei ichupecuera: ¿Peroviapa icatu jaguâ ayapo Che âmbae? Jaecuera jei Ichupe: Upeicha, carai! 
MAT.9.29	Upe catu Jae opoco jesáré cuera ja jei: Upe peyerovia jaicha, toyeyapo peême! 
MAT.9.30	Upevove oyepea jesacuera. Ja Jesús oyeruré ruré ichupecuera jeivo: Aníkena peicuaaucá avavépe cóva reje. 
MAT.9.31	Opaichavévo osê vove jaecuera upegui omojerâcuâ Ichugui oparupi pe tetâ yeréreje.
MAT.9.32	Upei catu ojo rire umia, oime ogueru Ichupe peteî iñeêngûvape mbaepochy remimbotarováva, 
MAT.9.33	ja osê maramo ichugui pe mbaepochy, oñeê pe iñeêngû vaecue. Ja ojecharâmô umi iyatŷva jicuai jeivo: Máramo ndo yejechai coaichagua mbaeguasú co Israel retâme. 
MAT.9.34	Upegui umi fariseo jei: Pe mbaepochy ruvicha guasu rupinte Jae oity umi mbaepochype.
MAT.9.35	Upeicha Jesús oyerepá umi tetâ reje ja ocára rupi avei oporomboévo itûpâope cuera, ja oñemoñeêvo co Evangelio pe yvapegua ruvicha guasu recogua gui, ja omojesâimbávo opaichagua mbaasy gui, ja opaichagua mbae ivaiva gui. 
MAT.9.36	Ja Jae ojecha ramo umi ybypóra atyrape, oiporiajuvereco ichupecuera, isarambipá jicuai ja oñemuasâi ovechaicha oguereco-ŷ-va jerecuárâ. 
MAT.9.37	Upei catu jei jemimboe cuerape: Añeté co ñemitŷngue jeta jiá. Umi monoôjárâ nte mboby. 
MAT.9.38	Upeareje peyerure catu co coga yárape ombouvé jaguâ jetavé imonoôjárâ icogape.
MAT.10.1	Upemaramo ojenôi umi doceve jemimboecuerape, ja omeê ichupecuera ipuaca jaguâ umi mbaepochy tieŷ rejeve oity jaguâ ichupecuera, ja omojesâi jaguâ opaichagua mbaasy gui, ja opambae mbaasŷguiguagui.
MAT.10.2	Coina ape umi doce jemimboe cuera réra: pe iyŷpy vaecue Simon, oyee vaecue avei Pedro, ja tybyra Andres, ja Santiago, pe Zebedeo raŷ, ja tybyra Juan, 
MAT.10.3	Felipe ja Bartolomé, Tomás ja Mateo, pe mbaerepy monoôjáracue, ja Jacobo, pe Alfeo ray, ja Tadeo, 
MAT.10.4	ja Simon, pe cananéo, ja Judas Iscariote, pe iyapyjyucájarâ avei. 
MAT.10.5	Upeicha umi docevepe omondo Jesús, omeê rire ichupe cuera jembiapoucarâ:
MAT.10.5	Ani pejo umi pytagua tapé rupi, ja umi samaritano retâme ani peiké. 
MAT.10.6	Upea rângue tapejó raê umi ovecha Israel rejeguáva ocanŷvape jicuai. 
MAT.10.7	Ja pejo aya peñemoñeê ja peye: Jiâguima oico jaguâ pe yvapegua reco marangatu: 
MAT.10.8	pemojesâi umi jasyvape cuera, pemoingové yeby umi omano vaecuepe, pemonguerá umi leproso iyaívaívape, pemosê umi mbaepochŷpe. Oñemeê reí jagueicha peême tâcâteŷŷjape, upeicha avei pemeê reínte tâcâteŷŷjápe peê avei. 
MAT.10.9	Anichene peiporu óro terâ plata terâ cobre pende cúacuape guârâ. 
MAT.10.10	Ani peraja pene rembiúrâ tapépe, terâ ao mocoî pemonde yoa jaguâ, terâ pende py rejeguarâ yoa rei, terâ ybyra yepe pende pope. Ipôrâ voí pe ombaapóvape oñemeê reí yepe jembiúrâ. 
MAT.10.11	Ja mamo peikéjápe tetâ rupi terâ ocára rupi, peporandúnte avápa pe imbae pôrâvéva umi upepegua paûme, ja upea rogape peico pesê yeby peve upegui. 
MAT.10.12	Ja peikévo pe ogape pejovasá umi ogaŷguápe, 
MAT.10.13	ja imbae pôrâva ramo umi ogaŷgua, topytá jesecuera pe pejovasa jague, ja na imbae pôrâvái ramo, toyebŷnte peême pe pejovasa jague. 
MAT.10.14	Ja oime ramo pende rerojoryŷva peême ja ojenduseŷva pene ñeê, pesênte upe oga terâ tetâ gui, ja peitybyró iyŷby cuí pende py gui. 
MAT.10.15	Che jae peême catuetei ivevuivé oyeyopŷne umi Sodoma ja Gomorra retâmegua pe ñandeve oñembo jecovia jaguâ árape upe tetâmegua gui.
MAT.10.16	Che voí anga pomondo peême ovechaicha aguará guasu apytepe; upévareje peico pene kîrîrîva mbóicha, ja pende pochŷ cuaaŷva picasúicha. 
MAT.10.17	Peyererecónte umi ybypóra gui! Umiva pene meêne peême umi ñomongueta guasu jápe ja itûpâope cuera yepe pene nupâne. 
MAT.10.18	Ja peyererajane umi mburuvichaí ja umi mburuvicha guasu renondepe yepe Che rejejape, iya jaguâ rejejápe peême peroviaucá jaguâ ichupe cuera, ja umi pytaguá ambue cue cuerape avei. 
MAT.10.19	Ja pene meê ramo peême mburuvicha pope, anichene peyepyapŷ mbaéichapa terâ mbaépa reñeê vaerâ reje. Uperamo voí oñemeêne peême pe peñeê vaerâ. 
MAT.10.20	Ndajaeichene peê vointe ñeêjarâ, pende Ru Espiritunte catu, upéva pe oñeêjarâ pende yurú rupi. 
MAT.10.21	Pe tykeyra omeêne tybŷrape oyucáucávo ichupe, ja pe túva omeêne itaŷrape, ja umi taŷra cuera opuâne itúva cuera reje ja oyucane ichupecuera. 
MAT.10.22	Ja opava pene ñamotareŷne peême, peê Che réra rejeguajá reje. Upeicharamo yepe, pe oguero puacáva ipajápeve, upéva osêne mârâŷreje. 
MAT.10.23	Upegui pende yopy ramo co tetâme, peñeguajênte pe ambuepe. Che jae peême catuetei nda peicopáichene raé Israel retâ rupi, ou mboyvé pe Caraí Raŷ.
MAT.10.24	Pe temimboe nda tuvichavéi imboejá gui, ja pe tembiguai nda tuvichavéi icaraí gui. 
MAT.10.25	Upeicharamo ipôrâma nte pe temimboepe oico imboejaicha, ja pe tembiguai icaraícha. Ja ombojéra ramo Beelzebul pe ogayárape, ¿nombojéraiche pane upeicha avei umi jogápeguape? 
MAT.10.26	Upeicharamo, ani pekyjŷyé! Ndipóri voí mbaeve oyeyajoí vaecue oyejechauca ŷ vaerâ. Ndipóri mbaeve oñemi vaecue oyecuaa ŷ vaerâ. 
MAT.10.27	Co Che jaeva peême pytûnguype, peye peê ára sâcâme, ja co pejendúva pende apysá pype, pemo jêrâcuâ ogaári guive yepe. 
MAT.10.28	Ja ani pekyjŷyé umi ñande rete yucájárâ gui, ndicatuiva yepe oyuca ñane ânga. Pekyjŷyénte pe icatúva ombuái pene ânga ja pende reté avei pe añaretâme. 
MAT.10.29	¿Noñemeêipa mocoî guyrai peteî mbaerepŷmimi reje? Upeicharamo yepe, ndipori joa jaguâ ybype peteîmiva yepe ichuguicuerava pende Ru ŷ reje. 
MAT.10.30	Pende áva pene âcârejegua yepe oyepapapa. 
MAT.10.31	Upeicharamo, ani pekyjŷyé. Peê voí pende repŷvé jeta guyrai gui. 
MAT.10.32	Oimeraêva oñemombeu vaecue Che rejeguajá umi ybypóra rovaké, Che añemombeune avei Che voí jeseguajá Che Ru yvapegua rovaké. 
MAT.10.33	Ja oimeraêva Che momârâ vaecue umi ybypóra cuera rovaké, Che amomârâne ichupe avei Che Ru yvape oiva renondepe.
