GEN.1.1	Pakutaŋga Mŋari wakasika ɗeŋga nenyika. 
GEN.7.19	Mvura ikakwirira kwaɀo‐kwaɀo panyika, makomo marefu ose pasi peɗeŋga rose akafukidzwa. 
GEN.7.20	Mvura ikakwirira kuȿikira pamakubiti anegumi namashanu pamsoro 
GEN.7.21	Ɀipenyu ɀose ɀaifamba panyika ɀikafa, ɀaiti, shiri, neɀipfuwo, nemhuka, neɀinokambaira, ɀose ɀaikambaira panyika, naʋanhu ʋose; 
GEN.7.22	ɀinhu ɀose, ɀakaŋga ɀinokufema kwomŋeya woʋupenyu mumhino dzaɀo, ɀose ɀakaŋga ɀiri pakawoma pasi, ɀikafa. 
GEN.7.23	Ɀipenyu ɀose, ɀakaŋga ɀiri pasi pose, ɀikaparadzwa, ɀaiti, ʋanhu, neɀipfuwo, neɀinokambaira, neshiri dzeɗeŋga; ɀikaparadzwa panyika; Noa oga akasara, neɀakaŋga ɀiri muareka naye. 
GEN.7.24	Mvura ikaramba yakakwirira panyika mazuʋa anezana namakumi mashanu.
GEN.8.1	Ɀino Mŋari wakaraŋgarira Noa neɀipenyu ɀose, neɀipfuwo ɀose ɀakaŋga ɀiri muareka naye; Mŋari akafambisa mhepo panyika, mvura ikaserera, 
GEN.8.2	namatsime apakadzika namawindi eɗeŋga akazarirwa, nemvura yakabva kuɗeŋga ikadziʋiswa, 
GEN.8.3	mvura ikaramba icidzoka panyika; mazuʋa anezana namakumi mashanu akati apfuʋura, mvura ikaɗerera. 
GEN.8.4	Nomŋedzi wecinomŋe, nezuʋa regumi namanomŋe romŋedzi, areka ikamira pamsoro pamakomo eArarati. 
GEN.8.5	Mvura ikaramba iciɗerera kuȿikira pamŋedzi wegumi; nomŋedzi wegumi, nezuʋa rokutaŋga romŋedzi misoro yamakomo ikaʋonekwa. 
GEN.8.6	Mazuʋa anamakumi manna akati apfuʋura, Noa akazarura windi reareka raakaŋga aita; 
GEN.8.7	akaɓuɗisa guŋguʋu, iro rikaramba ricibururukabururuka kuȿikira mvura yapxa panyika. 
GEN.8.8	Ipapo akabururusa njiʋa paakaŋga ari, kuti aʋone kana mvura yaserera panyika; 
GEN.8.9	asi njiʋa haina‐kuwana pokuzorodza rutsoka rwayo, ikadzokera kwaari kuareka, nokuti mvura yakaŋga iri pamsoro penyika yose; akatambanudza ruʋoko rwake, akaitora, akaipinza kwaari muareka. 
GEN.8.10	Ipapo akagara mamŋe mazuʋa manomŋe ɀe, akaɓuɗisa ɀe njiʋa paareka; 
GEN.8.11	njiʋa ikapinda kwaari maɗekwana; ʋonei mumuromo mayo makaŋga munorushizha rwomuorivi rwakatanhwa; naiɀoɀo Noa wakaziʋa kuti mvura yakaŋga yaserera panyika. 
GEN.8.12	Akagara ɀe mazuʋa manomŋe, akaɓuɗisa ɀe njiʋa; iyo haina‐kudzokera ɀe kwaari. 
GEN.8.13	Pagore ramazana matanhatu nerimŋe, pamŋedzi wokutaŋga, nomusi wokutaŋga womŋedzi, mvura yakaŋga yapxa panyika; ipapo Noa akabvisa ɗeŋga reareka, akatarira, ʋonei pasi pose pawoma. 
GEN.8.14	Nomŋedzi wecipiri, nezuʋa ramakumi maʋiri namanomŋe romŋedzi, nyika yakaŋga yawoma.
GEN.8.15	Ɀino Mŋari wakataura naNoa, akati: 
GEN.8.16	Ƃuɗai muareka, iwe, nomukadzi wako, naʋanakomana ʋako, naʋakadzi ʋaʋanakomana ʋako, pamŋe cete newe. 
GEN.8.17	Ƃuɗisa ʋo pamŋe cete newe ɀipenyu ɀose ɀenyama ɀinewe, ɀinoti, shiri, neɀipfuwo, neɀinokambaira ɀose, neɀinokambaira panyika, kuti ɀiwande panyika, ɀiɓereke, ɀiʋe ɀizhinji panyika. 
GEN.8.18	Ipapo Noa akaɓuɗa, iye naʋanakomana ʋake, nomukadzi wake, naʋakadzi ʋaʋanakomana ʋake pamŋe cete naye; 
GEN.8.19	nemhuka dzose, neɀinokambaira ɀose, neshiri dzose, neɀose ɀinofamba panyika, namarudzi aɀo, ɀakaɓuɗa paareka. 
GEN.8.20	Noa akaʋakira Jehova artari, akatora dzimŋe pamhuka dzose dzakanaka neshiri dzose dzakanaka, akapisira ɀipiriso ɀinopiswa paartari. 
GEN.8.21	Jehova akanzwa kunhuwira kwakanaka, Jehova akati mumŋoyo make: Handicazotuki ɀe nyika nokuɗa kwomunhu; nokuti kufuŋga kwomŋoyo womunhu kwakaipa kubva paʋuɗuku bgake; handicazoroʋi ɀe ɀipenyu ɀose, seɀandakaita. 
GEN.8.22	Ŋguʋa yose yenyika kudɀara nokuceka, kutonhora nokudziya, zhezha necando, masikati noʋusiku haɀiŋgagumi.
GEN.9.1	Ɀino Mŋari wakaropafadza Noa naʋanakomana ʋake, akati kwaʋari: Ƃerekai, muwande, muzadze nyika. 
GEN.9.2	Mhuka dzose dzenyika, neshiri dzose dzeɗeŋga, dzicakutyai nokukuvundukai; ɀose ɀinokambaira pasi, nehoʋe dzose dzeguŋgwa, ɀinoiswa pamaʋoko enyu. 
GEN.9.3	Ɀose ɀinofamba ɀipenyu ɀicaʋa ɀokudya ɀenyu; ndinokupai ɀose, seɀandakakupai miriʋo mitema. 
GEN.9.4	Asi nyama, kana inoʋupenyu bgayo, iro ropa rayo, musaidya iyo. 
GEN.9.5	Ɀirokwaɀo ropa renyu, roʋupenyu bgenyu, ndicaritȿaka; ndicaritȿaka paɀipenyu ɀose, ndicatȿaka ʋupenyu bgomunhu paruʋoko rwomunhu naparuʋoko rwehama yomunhu. 
GEN.9.6	Aninani unoteʋura ropa romunhu, ropa rake ricateʋurwa ʋo nomunhu; nokuti Mŋari wakaita munhu nomufananidzo wake. 
GEN.9.7	Asi imi ɓerekai, muwande; ɓerekai ɀikuru panyika, muwande mukati mayo.
GEN.9.8	Ɀino Mŋari wakataura naNoa naʋanakomana ʋake ʋakaŋga ʋanaye, akati: 
GEN.9.9	Tarirai, ini ndinoita suŋgano yaŋgu nemi naʋana ʋenyu ʋanokuteʋerai; 
GEN.9.10	neɀipenyu ɀose ɀinemi, ɀinoti, shiri, neɀipfuwo, nemhuka dzose dzenyika dzinemi; ɀose ɀinoɓuɗa paareka, idzo mhuka dzose dzapanyika. 
GEN.9.11	Ndicaita suŋgano yaŋgu nemi; ɀose ɀenyama haɀiŋgazopedzwi ɀe nemvura zhinji: mvura zhinji haiŋgazoʋi’po ɀe kuti iparadze nyika. 
GEN.9.12	Ipapo Mŋari wakati: Ndico ciratidzo cesuŋgano yandinoita pakati paŋgu nemi neɀipenyu ɀose ɀinemi kuȿikira kumarudzi asiŋgaperi: 
GEN.9.13	Ndinoisa muraraʋuŋgu waŋgu mugore, kuti ciʋe ciratidzo cesuŋgano pakati paŋgu nenyika. 
GEN.9.14	Ɀino ndicati kana ndikaʋuyisa gore pamsoro penyika, muraraʋuŋgu uyu ukaʋonekwa mugore, 
GEN.9.15	ndicaraŋgarira suŋgano yaŋgu iri pakati paŋgu nemi, napakati peɀipenyu ɀose ɀenyama; mvura haicazoʋi zhinji ɀe kuti iparadze ɀose ɀenyama. 
GEN.9.16	Muraraʋuŋgu ucaʋa’po mugore; ndicautarira, kuti ndiraŋgarire suŋgano isiŋgaperi pakati paMŋari neɀipenyu ɀose ɀenyama ɀiri panyika. 
GEN.9.17	Mŋari akati kunaNoa: Ndico ciratidzo cesuŋgano yandakaita pakati paŋgu neɀose ɀenyama ɀiri panyika.
GEN.9.18	Ʋanakomana ʋaNoa ʋakaɓuɗa muareka ndiʋaʋa: Shemi, naHami, naJafeti; Hami ndiye ɓaɓa ʋaKanani. 
GEN.9.19	Ndiʋaʋa ʋakaŋga ʋari ʋanakomana ʋaNoa; nyika yose yakazadzwa naʋo.
GEN.9.20	Noa wakataŋga kuʋa murimi, akarima munda womuzambiriŋga; 
GEN.9.21	akanwa waini, akaɓatwa, akaɀifukura mutente rake. 
GEN.9.22	Ɀino Hami, ɓaɓa ʋaKanani, wakaʋona kusasimira kwaɓaɓa ʋake, akaziʋisa ʋakuru ʋake ʋaʋiri. 
GEN.9.23	Ipapo Shemi naJafeti ʋakatora ŋguʋo, ʋakaiisa pamafudzi aʋo, ʋakaenda manhenda shure, ʋakafukidzira kusasimira kwaɓaɓa ʋaʋo; ɀiso ɀaʋo ɀakaŋga ɀakatarira shure, ʋakasaʋona kusasimira kwaɓaɓa ʋaʋo. 
GEN.9.24	Ɀino Noa akapeŋgenuka pawaini yake, akaziʋa ɀaakaitirwa nomŋanakomana wake muɗuku, 
GEN.9.25	akati:
GEN.9.25	Kanani ŋgaatukwe;
GEN.9.25	Ucaʋa muranda waʋaranda kuʋakuru ʋake.
GEN.9.26	Akati:
GEN.9.26	Jehova Mŋari waShemi ŋgaakudzwe,
GEN.9.26	Kanani ŋgaaʋe muranda wake.
GEN.9.27	Mŋari ŋgaakurise Jafeti,
GEN.9.27	Ŋgaagare mumatente aShemi,
GEN.9.27	Kanani ŋgaaʋe muranda wake.
GEN.9.28	Noa wakagara shure kwemvura zhinji makore anamazana matatu namakumi mashanu. 
GEN.9.29	Mazuʋa ose aNoa akaŋga ari mazana mapfumbamŋe namakumi mashanu, akafa.
GEN.10.1	Ndiwo marudzi aʋanakomana ʋaNoa, naShemi, naHami, naJafeti; iʋo ʋakaɓerekerwa ʋana shure kwemvura zhinji.
GEN.10.2	Ʋanakomana ʋaJafeti ndiʋo: Gomeri, naMagogi, naMadai, naJavani, naTubari, naMesheki, naTirasi. 
GEN.10.3	Ʋanakomana ʋaGomeri ndiʋo: Ashkenazi, naRifati, naTogarma. 
GEN.10.4	Ʋanakomana ʋaJavani ndiʋo: Erisha, naTarshisi, naKitimi, naDodanimi. 
GEN.10.5	Kwaʋari kwakabva ʋanhu ʋeɀiwi ɀakapararira. 
GEN.10.6	Ʋanakomana ʋaHami ndiʋo: Kushi, naMizraimi, naPuti, naKanani. 
GEN.10.7	Ʋanakomana ʋaKushi ndiʋo: Seba, naHavira, naSabta, naRaama, naSabteka; naʋanakomana ʋaRaama ndiʋo: Sheba naDedani. 
GEN.10.8	Kushi wakaɓereka Nimirodi, ndiye wakataŋga kuʋa nesimba panyika. 
GEN.10.9	Wakaŋga ari mudzimba mukuru pamberi paJehova; naiɀoɀo ʋanoti: SaNimirodi, mudzimba mukuru pamberi paJehova. 
GEN.10.10	Ʋushe bgake bgakataŋga paBaberi, neEreki, neAkadi, neKarine, panyika yeShinari. 
GEN.10.11	Akaɓuda kunyika iyo, akaenda Asiria, akaʋaka Ninevi, neRohoboti‐Iri, neKara, 
GEN.10.12	neReseni, pakati peNinevi neKara (iri iguta guru). 
GEN.10.13	Mizraimi wakaɓereka ʋaRudi, naʋaAnami, naʋaRehabi, naʋaNaftuhi, 
GEN.10.14	naʋaPatrusi, naʋaKasruhi, (ʋaFiristia ʋakabva kwaʋari), naʋaKaftori.
GEN.10.15	Kanani wakaɓereka Zidoni, ɗaŋgwe rake, naHeti; 
GEN.10.16	naʋaJebusi, naʋaAmori, naʋaGirgashi; 
GEN.10.17	naʋaHivi, naʋaArki, naʋaSini, 
GEN.10.18	naʋaArvadi, naʋaZemari, naʋaHamati. Shure kwaiʋaʋa mhuri dzaʋaKanani dzakapararira. 
GEN.10.19	Muganho waʋaKanani wakataŋga paZidoni, ukaenda Gerari, ukaȿika Gaza, ukaenda Sodoma, neGomora, neAdama, neZiboimi, ukaȿika paRasha. 
GEN.10.20	Ndiʋo ʋanakomana ʋaHami, mhuri dzaʋo, nendimi dzaʋo, munyika dzaʋo, nendudzi dzaʋo.
GEN.10.21	Naiye Shemi, ɓaɓa ʋaʋana ʋose ʋaEberi, mukuru waJafeti, wakaɓerekerwa ʋana. 
GEN.10.22	Ʋanakomana ʋaShemi ndiʋo: Erami, naAsheri, naArpakshadi, naRudi, naArami. 
GEN.10.23	Ʋanakomana ʋaArami ndiʋo: Uzi, naHuri, naGeteri, naMashi. 
GEN.10.24	Arpakshadi wakaɓereka Shera, Shera akaɓereka Eberi. 
GEN.10.25	Eberi akaɓerekerwa ʋanakomana ʋaʋiri, zita romumŋe rakaŋga riri Peregi, nokuti pamazuʋa ake nyika yakakamurwa; zita romunuŋuna wake rakaŋga riri Joktani. 
GEN.10.26	Joktani wakaɓereka Armodadi, naSherefi, naHazamarveti, naJera; 
GEN.10.27	naHadorami, naUsari, naDikra; 
GEN.10.28	naObari, naAbimaeri, naSheba; 
GEN.10.29	naOfiri, naHavira, naJobabi; aʋa ʋose ʋaiʋa ʋanakomana ʋaJoktani. 
GEN.10.30	Kwaʋakagara ndiko: Kubva paMesha, kuenda Sefari, kugomo rokumabvazuʋa. 
GEN.10.31	Ndiʋo ʋanakomana ʋaShemi, mhuri dzaʋo, nendimi dzaʋo, munyika dzaʋo, nendudzi dzaʋo.
GEN.10.32	Ndidzo mhuri dzaʋanakomana ʋaNoa, nedzimba dzaʋo, nendudzi dzaʋo; kwaʋari kwakabva ndudzi dzose dzakapararira, shure kwemvura zhinji.
GEN.11.1	Nyika yose yakaŋga inorurimi rumŋe nokutaura kumŋe. 
GEN.11.2	Ɀino ʋakati ʋacitamira mabvazuʋa, ʋakawana ɓani munyika yeShinari, ʋakagara’ko. 
GEN.11.3	Ʋakataurirana, ʋaciti: Ʋuyai, ŋgatiite ɀitina, tiɀipise kwaɀo. Ɀitina ɀakaʋa mabge aʋo, nebitumini rakaʋa ɗope raʋo. 
GEN.11.4	Ʋakati: Ʋuyai, ŋgatiɀiʋakire guta, noruȿiŋgo, runomusoro unoȿikira kuɗeŋga; tiɀimutsire mukurumbira, kuti tirege kupararira panyika yose. 
GEN.11.5	Ipapo Jehova wakaɓuruka kuzotarira guta noruȿiŋgo, rwakaŋga ruciʋakwa naʋanakomana ʋaʋanhu. 
GEN.11.6	Jehova akati: Tarirai, ʋanhu aʋa ndiʋamŋe, ʋanorurimi rumŋe ʋose; ɀino ndiɀo ɀaʋanotaŋga kuita; ɀino hakucinecinhu caʋaŋgaɗa kuita caʋaŋgadziʋiswa. 
GEN.11.7	Hendei, tiɓuruke, tindopesanisa rurimi rwaʋo ipapo, kuti ʋarege kunzwana kana ʋotaurirana. 
GEN.11.8	Jehova akaʋaparadzira ipapo, ʋakapararira panyika yose, ʋakarega kuʋaka guta 
GEN.11.9	Naiɀoɀo ʋakaritumidza Baberi, nokuti ipapo Jehova wakapesanisa rurimi rwenyika yose; Jehova akaʋaparadzira ipapo, ʋakaenda kunyika dzose.
GEN.11.10	Ndiwo marudzi aShemi. Shemi wakaŋga anamakore anezana, akaɓereka Arpakshadi, mvura zhinji yapfuʋura makore maʋiri; 
GEN.11.11	wakati aɓereka Arpakshadi, Shemi akagara makore anamazana mashanu; akaɓereka ʋanakomana naʋanasikana.
GEN.11.12	Arpakshadi wakagara makore anamakumi matatu namashanu, akaɓereka Shera; 
GEN.11.13	wakati aɓereka Shera, Arpakshadi akagara makore anamazana manna namatatu, akaɓereka ʋanakomana naʋanasikana.
GEN.11.14	Shera wakagara makore anamakumi matatu, akaɓereka Eberi. 
GEN.11.15	Wakati aɓereka Eberi, Shera akagara makore anamazana manna namatatu; akaɓereka ʋanakomana naʋanasikana.
GEN.11.16	Eberi wakagara makore anamakumi matatu namanna, akaɓereka Peregi, 
GEN.11.17	wakati aɓereka Peregi, Eberi akagara makore anamazana manna namakumi matatu, akaɓereka ʋanakomana naʋanasikana.
GEN.11.18	Peregi wakagara makore anamakumi matatu, akaɓereka Rehu; 
GEN.11.19	wakati aɓereka Rehu, Peregi akagara makore anamazana maʋiri namapfumbamŋe, akaɓereka ʋanakomana naʋanasikana.
GEN.11.20	Rehu wakagara makore anamakumi matatu namaʋiri, akaɓereka Serugi; 
GEN.11.21	wakati aɓereka Serugi, Rehu akagara makore anamazana maʋiri namanomŋe; akaɓereka ʋanakomana naʋanasikana.
GEN.11.22	Serugi wakagara makore anamakumi matatu, akaɓereka Nahori; 
GEN.11.23	wakati aɓereka Nahori, Serugi akagara makore anamazana maʋiri, akaɓereka ʋanakomana naʋanasikana.
GEN.11.24	Nahori wakagara makore anamakumi maʋiri namapfumbamŋe, akaɓereka Tera; 
GEN.11.25	Nahori akagara makore anezana negumi namapfumbamŋe, akaɓereka ʋanakomana naʋanasikana.
GEN.11.26	Tera wakagara makore anamakumi manomŋe, akaɓereka Abrama naNahori, naHarani.
GEN.11.27	Ndiwo marudzi aTera: Tera wakaɓereka Abrama, naNahori, naHarani; Harani akaɓereka Roti; 
GEN.11.28	Harani akafa, ɓaɓa ʋake Tera ʋaciri ʋapenyu, panyika yokuɓerekwa kwake, paUri yaʋaKardia. 
GEN.11.29	Abrama naNahori ʋakaɀiwanira ʋakadzi; zita romukadzi waAbrama rainzi Sarai; zita romukadzi waNahori rainzi Mirika, mukunda waHarani, ɓaɓa ʋaMirika, naɓaɓa ʋaIsika. 
GEN.11.30	Sarai wakaŋga asiŋgaɓereki, wakaŋga asinomŋana. 
GEN.11.31	Ɀino Tera wakatora mŋanakomana wake Abrama, naRoti, mŋanakomana waHarani, mŋanakomana womŋanakomana wake, naSarai, mukadzi womŋanakomana wake Abrama; ʋakatama naʋo ʋakabva Uri yaʋaKardia, kuti ʋaende kunyika yeKanani, ʋakaȿika Harani, ʋakagara’po. 
GEN.11.32	Mazuʋa aTera akaŋga ari makore anamazana maʋiri namashanu; Tera akafira Harani.
GEN.12.1	Ɀino Jehova wakati kunaAbrama: Ibva panyika yako, nokuhama dzako, nokuimba yaɓaɓa ʋako, uende kunyika yandicakuratidza iyo; 
GEN.12.2	ndicakuita rudzi rukuru, ndicakuropafadza, ndicakudza zita rako, iwe uropafadze ʋamŋe. 
GEN.12.3	Ndicaropafadza iʋo ʋanokuropafadza; unokutuka, ndicamutuka ʋo; marudzi ose enyika acaropafadzwa mauri. 
GEN.12.4	Naiɀoɀo Abrama wakaenda seɀaakaʋudzwa naJehova; naRoti wakaenda naye. Abrama wakaŋga anamakore anamakumi manomŋe namashanu pakubva kwake Harani. 
GEN.12.5	Abrama akatora Sarai, mukadzi wake, naRoti, mŋanakomana womunuŋuna wake, nefuma yaʋo yose yaʋakaŋga ʋaʋuŋganidza, naʋana ʋaʋakaŋga ʋaɓereka paHarani, ʋakaɓuɗa kuenda kunyika yeKanani; ʋakandoȿika kunyika yeKanani. 
GEN.12.6	Abrama akagura nenyika iyo akaȿika panɀimbo inonzi Shekemi, pamuti womuouki weMore; ŋguʋa iyo ʋaKanani ʋakaŋga ʋari munyika iyo. 
GEN.12.7	Ɀino Jehova wakaɀiratidza kunaAbrama, akati: Ndicapa ʋana ʋako nyika iyi; akaʋakira Jehova artari ipapo, iye wakaŋga aɀiratidza kwaari. 
GEN.12.8	Akabva ipapo, akaenda kugomo riri kumabvazuʋa aBeteri, akadzika’po tente rake; Beteri rakaŋga riri kumaʋirazuʋa neAi kumabvazuʋa; akaʋakira’po Jehova artari, akanamata Zita raJehova ipapo. 
GEN.12.9	Kubva ipapo Abrama wakaramba acitamira kumaʋirazuʋa.
GEN.12.10	Ɀino nzara yakaŋga iri’po panyika iyo; Abrama ndokuɓurukira Egipita kundogara’ko; nokuti nzara yakaŋga iri huru panyika iyo. 
GEN.12.11	Ɀino wakati oɗa kupinda Egipita, akati kunaSarai, mukadzi wake: Tarira, ndinoziʋa kuti uri mukadzi wakanaka paciso cako; 
GEN.12.12	kana ʋaEgipita ʋacikuʋona, ʋacati: Ndiye mukadzi wake; ʋacandiʋuraya, asi iwe ʋacakurega uri mupenyu. 
GEN.12.13	Uti hako uri hanɀadzi yaŋgu, kuti ndiitirwe ɀakanaka nokuɗa kwako, kuti mŋeya waŋgu urarame nokuɗa kwako. 
GEN.12.14	Ɀino Abrama aciȿika Egipita, ʋaEgipita ʋakaʋona mukadzi kuti wakanaka kwaɀo. 
GEN.12.15	Namacinda aFarao akamuʋona ʋo, ʋakandomurumbidza kunaFarao; mukadzi akatorwa, akaiswa mumba maFarao. 
GEN.12.16	Akaitira Abrama ɀakanaka nokuɗa kwake; waiʋa namakwai, neŋombe, namakono emboŋgoro, naʋaranda, naʋarandakadzi, namakadzi emboŋgoro, namakamera. 
GEN.12.17	Asi Jehova wakatambudza Farao naʋeimba yake namaɗambudziko makuru nokuɗa kwaSarai, mukadzi waAbrama. 
GEN.12.18	Ɀino Farao wakaɗana Abrama, akati: Cinyiko ici cawandiitira — Wakaregereiko kundiziʋisa kuti mukadzi wako? 
GEN.12.19	Wareʋereiko uciti: Ihanɀadzi yaŋgu? Naiɀoɀo ndakamutora kuti aʋe mukadzi waŋgu; naiɀoɀo ɀino hoyu mukadzi wako, mutore, uende hako. 
GEN.12.20	Ɀino Farao akaraira ʋamŋe ʋarume pamsoro pake, ʋakamuperekedza iye nomukadzi wake neɀose ɀaakaŋga anaɀo.
GEN.13.1	Ɀino Abrama wakakwira, akabva Egipita, iye nomukadzi wake, neɀose ɀaakaŋga anaɀo, naRoti ʋo anaye; ʋakaenda kurutiʋi rwenyasi. 
GEN.13.2	Abrama wakaŋga akafuma kwaɀo ŋombe, nesirveri, nendarama. 
GEN.13.3	Akafamba nzendo dzake acibva nyasi kuȿikira paBeteri, kunɀimbo iya kwaiʋa netente rake pakutaŋga, pakati peBeteri neAi; 
GEN.13.4	kunɀimbo yeartari, yaakaŋga aita’po pakutaŋga; Abrama akanamata zita raJehova ipapo. 
GEN.13.5	NaRoti ʋo, iye wakaenda naAbrama, wakaŋga anamakwai, neŋombe, namatente. 
GEN.13.6	Nyika ikasaʋariŋgana, kuti ʋagare panɀimbo imŋe; nokuti fuma yaʋo yakaŋga iri zhinji; ʋakasagona kugara panɀimbo imŋe. 
GEN.13.7	Ʋafudzi ʋeɀipfuwo ɀaAbrama naʋafudzi ʋeɀipfuwo ɀaRoti ʋakaita nharo; ʋaKanani naʋaPerezi ʋakaŋga ʋagere panyika iyo. 
GEN.13.8	Ipapo Abrama akati kunaRoti: Nharo ŋgadzirege kuʋa’po pakati paŋgu newe, napakati paʋafudzi ʋaŋgu naʋafudzi ʋako, nokuti tiri hama. 
GEN.13.9	Ko nyika yose haizi pamberi pako here? Paradzana hako neni; kana iwe ukaenda kuruɓoshwe, ini ndicaenda kurudyi; kana iwe ukaenda kurudyi, ini ndicaenda kuruɓoshwe. 
GEN.13.10	Roti akasimudzira meso ake, akaʋona ɓani rose reJoridani, kuti rakaŋga rinemvura pose, Jehova acigere kuparadza Sodoma neGomora; rakaŋga rakaita somunda waJehova, senyika yeEgipita, kana munhu acienda Zoari. 
GEN.13.11	Roti akaɀitsaurira ɓani rose reJoridani; Roti akaenda kurutiʋi rwamabvazuʋa; ʋakaparadzana haʋo. 
GEN.13.12	Abrama akagara panyika yeKanani, Roti akagara pamaguta aiʋa kuɓani, akasweɗedzera tente rake kuȿikira paSodoma. 
GEN.13.13	Ɀino ʋarume ʋeSodoma ʋakaŋga ʋakaipa, ʋaitadzira Jehova kwaɀo‐kwaɀo. 
GEN.13.14	Ɀino Roti wakati aparadzana naye, Jehova akati kunaAbrama: Simudza hako meso ako ipapo paugere, utarire kurutiʋi rwokumsoro, norwenyasi, norwokumabvazuʋa, norwokumaʋirira; 
GEN.13.15	nokuti nyika yose yaunoʋona, ndicaipa iwe naʋana ʋako nokusiŋgaperi. 
GEN.13.16	Ndicaita ʋana ʋako seguruʋa renyika; kuti kana kunomunhu unogona kuʋereŋga guruʋa renyika, naʋana ʋako ʋaŋgaʋereŋgwa ʋo. 
GEN.13.17	Simuka, ufambe nenyika pakureɓa kwayo, napaʋupamhi bgayo, nokuti ndicakupa iyo. 
GEN.13.18	Ipapo Abrama wakabvisa tente rake, akandogara pamiti yemiouki yeMamre, iri paHebroni, akaʋakira’po Jehova artari.
GEN.14.1	Ɀino neŋguʋa yaAmraferi, mambo weShinari, naArioki mambo weErasari, naKedori‐raomeri, mambo weErami, naTidari, mambo weGoyimi, 
GEN.14.2	ʋakarwa naBera, mambo weSodoma, naBerisha, mambo weGomora, naShinabi, mambo weAdama, naShemeberi, mambo weZeboimi, namambo weBera (rinonzi ʋo Zoari). 
GEN.14.3	Aʋa ʋose ʋakasoŋgana mumupata weSidimi (ndiro Guŋgwa roMunyu). 
GEN.14.4	Ʋakaŋga ʋaʋa ʋaranda ʋaKedori‐raomeri makore anegumi namaʋiri, ʋakamumukira negore regumi namatatu. 
GEN.14.5	Ipapo Kedori‐raomeri wakaʋuya negore regumi namanna, namadzimambo aakaŋga anawo, akakunda ʋaRefaimi paAshteroti‐karnaimi, naʋaZuzimi paHami, naʋaEmimi paShave‐kiriataimi, 
GEN.14.6	naʋaHori pagomo raʋo reSeiri, kuȿikira paErparani, pedyo nesaŋgo. 
GEN.14.7	Ʋakadzoka, ʋakaȿika Enimishpati (rinonzi ʋo Kadeshi), ʋakakunda nyika yose yaʋaAmareki, naʋaAmori, ʋakaŋga ʋagere paHazazonitamari. 
GEN.14.8	Ɀino mambo weSodoma, namambo weGomora, namambo weAdama, namambo weZeboimi, namambo weBera (rinonzi ʋo Zoari), ʋakaɓuɗa ʋakagadzira hondo kuzorwa naʋo pamupata weSidimi; 
GEN.14.9	kuti ʋarwe naKedori‐raomeri, mambo weErami, naTidari, mambo weGoyimi, naAmraferi, mambo weShinari, naArioki, mambo weErasari; madzimambo manna kuti arwe namadzimambo mashanu. 
GEN.14.10	Ɀino mupata weSidimi wakaŋga uzere namakomba anebitumini, madzimambo eSodoma neGomora ʋakatiza ʋakawira’mo; ʋakasara ʋakatizira kugomo. 
GEN.14.11	Ʋakatora fuma yose yeSodoma neGomora, neɀokudya ɀaʋo ɀose, ʋakaenda. 
GEN.14.12	Ʋakatora ʋo Roti, mŋanakomana womunuŋuna waAbrama wakaŋga agere paSodoma, nefuma yake, ʋakaenda. 
GEN.14.13	Ɀino mumŋe wakaŋga apukunyuka wakaȿika, akaʋudza Abrama, muHeberu; iye wakaŋga agere pamiti yemiouki yaMamre, muAmori, munuŋuna waEshkori, nomunuŋuna waAneri; aʋa ʋakaŋga ʋaita suŋgano naAbrama 
GEN.14.14	Ɀino Abrama wakati acinzwa kuti hama yake yatapxa, akaraira ʋarume ʋake ʋakaŋga ʋadzidziswa kurwa, ʋakaɀarwa paimba yake, ʋanamazana matatu negumi naʋasere, akaʋateʋerera kuȿikira paDani; 
GEN.14.15	akakamura ʋarwi ʋake ʋusiku, iye naʋaranda ʋake, akaʋakunda, akaʋateʋerera kuȿikira paHoba, riri kurudyi rweDamasiko. 
GEN.14.16	Akadzosa fuma yose, akadzosa ʋo Roti, hama yake, nefuma yake, naʋakadzi ʋo naʋanhu. 
GEN.14.17	Ipapo mambo weSodoma wakaɓuɗa kundosoŋgana naye pakudzoka kwake pakuʋuraya Kedori‐raomeri namadzimambo akaŋga anaʋo pamupata weShave (ndiwo mupata wamambo). 
GEN.14.18	Merkizedeki, mambo weSaremi, akaʋuya neciŋgwa newami; iye wakaŋga ari muprista waMŋari woKuɗeŋga‐ɗeŋga. 
GEN.14.19	Akamuropafadza, akati: Abrama ŋgaaropafadzwe naMŋari woKuɗeŋga‐ɗeŋga, muridzi wokuɗeŋga napasi. 
GEN.14.20	Mŋari woKuɗeŋga‐ɗeŋga ŋgaakudzwe, wakapa ʋaʋeŋgi ʋenyu mumaʋoko enyu. Akamupa cegumi ceɀose. 
GEN.14.21	Ɀino mambo weSodoma akati kunaAbrama: Ndipe ʋanhu, iwe utore hako fuma. 
GEN.14.22	Abrama akati kunamambo weSodoma: Ndakasimudzira ruʋoko rwaŋgu kunaJehova, Mŋari woKuɗeŋga‐ɗeŋga, muridzi wokuɗeŋga napasi, 
GEN.14.23	kuti handiŋgatori rucinda kana rukanda rweshaŋgu, kana cinhu cimŋe ceɀinhu ɀenyu, kuti murege kuzoti: Ndini ndakafumisa Abrama; 
